Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK,Stadspas,x,y
Tafeltennis,Buurtvereniging Bloemenkwartier,www.bloemenkwartier.nl,Buurtvereniging Bloemenkwartier,Wingerdweg 260 B,1032AN,Amsterdam,Noord,,40535396,,52.39671714,4.91871302
Tafeltennis,I.S.V.,www.dewijeilp.nl,De Wijde Ilp,Den Ilp 73,1127PG,Den Ilp,Buiten Amsterdam,,40624216,,52.45072996,4.90887144
Tafeltennis,Meo,www.kindervreugd.org,Gebouw Kindervreugd,Kramatweg 31 A,1095JS,Amsterdam,Oost,,,,52.36478255,4.94644649
Tafeltennis,UnitedOost,www.unitedoost.nl,Gebouw Kindervreugd,Kramatweg 31 A,1095JS,Amsterdam,Oost,,32079730,,52.36478255,4.94644649
Tafeltennis,TTV De Volewijckers,www.ttvdevolewijckers.nl,Gymzaal Adelaarsweg 113,Adelaarsweg 113,1021BZ,Amsterdam,Noord,,34266688,ja,52.38860742,4.92026769
Tafeltennis,Racketsport 4 Everyone,www.racketsport4everyone.nl,Gymzaal Nachtwachtlaan 35,Nachtwachtlaan 35,1058EB,Amsterdam,Nieuw-West,,67087418,ja,52.36060875,4.84395972
Tafeltennis,JOVO,www.ttvjovo.nl,Gymzaal Wachterliedpaviljoen,Wachterliedplantsoen 1,1055SB,Amsterdam,West,,40532118,,52.37763867,4.85384756
Tafeltennis,TTV Patrios,www.facebook.com/ttvpatrios,Sportcentrum Caland,Eliza van Calcarstraat 2,1068RR,Amsterdam,Nieuw-West,,,,52.35443917,4.80713356
Tafeltennis,Holendrecht,www.ttvholendrecht.nl,Sporthal Gaasperdam,Ravenswaaipad 5,1106AW,Amsterdam,Zuidoost,,40537839,,52.29676965,4.97825726
Tafeltennis,TTV Amsterdam,www.ttvamsterdam.nl,Sporthal Laan van Spartaan,Rinus Michelslaan 26,1061MB,Amsterdam,West,,56688040,ja,52.37335349,4.83917473
Tafeltennis,TTV De Volewijckers,www.ttvdevolewijckers.nl,Sporthal Wethouder Verheij,Polderweg 300,1093KP,Amsterdam,Oost,,34266688,ja,52.35788575,4.93135106
Tafeltennis,UnitedOost,www.unitedoost.nl,Sporthal Wethouder Verheij,Polderweg 300,1093KP,Amsterdam,Oost,,32079730,,52.35788575,4.93135106
Tafeltennis,AMVJ,www.amvj-tafeltennis.nl,Sportpark 't Loopveld,Aanloop 4,1183SZ,Amsterdam,Zuid,,40533621,,52.31967237,4.88697187
Tafeltennis,TTV Diemen,www.ttvdiemen.nl,Sportzaal Eva Besnyöstraat 491,Eva Besnyöstraat 491,1087LG,Amsterdam,Zuid,,40532096,ja,52.35008822,5.00795858
Tafeltennis,Amsterdam '78,www.amsterdam78.nl,Tafeltenniscentrum,Baarsjesweg 265-H,1058AC,Amsterdam,West,,40531055,,52.36075608,4.85662722
Tafeltennis,Tempo Team,www.ttv-tempoteam.nl,Tempo-Team,President Kennedylaan 5,1079MB,Amsterdam,Zuid,,40531641,,52.33984549,4.90488593
Tafeltennis,US Tafeltennis,www.ustafeltennis.nl,Tempo-Team,President Kennedylaan 5,1079MB,Amsterdam,Zuid,,40531993,,52.33984549,4.90488593
Tafeltennis,Tafeltennisvereniging Amstelveen,www.ttvamstelveen.com,TTV Amstelveen,Landtong 14,1186GP,Amstelveen,Buiten Amsterdam,,40530091,,52.28788328,4.87256394
Tafeltennis,A.S.S.V.,www.assv.org,Zwembad & Sportcentrum Wethouder Duran,Ouderkerkerlaan 10,1115NS,Duivendracht,Buiten Amsterdam,,40530845,,52.32084685,4.93842698
Tafeltennis,TTV Diemen,www.ttvdiemen.nl,Zwembad & Sportcentrum Wethouder Duran,Ouderkerkerlaan 10,1112BE,Diemen,Buiten Amsterdam,,40532096,ja,52.33599411,4.95880523
Tai Chi,Henk Janssen Tai Chi / Chi Kung: Balans in Beweging,www.henkjanssentaijiquan-qigong.nl,Amstelpark,Amstelpark 7,1083HZ,Amsterdam,Zuid,,,,52.328656,4.89289331
Tai Chi,Henk Janssen Tai Chi / Chi Kung: Balans in Beweging,www.henkjanssentaijiquan-qigong.nl,Doornburg/Huize Buitenveldert,Doornburg 2,1081JB,Amsterdam,Zuid,,,,52.3228937,4.86136258
Tai chi,Xing Yu Men Kungfuschool Amsterdam,,,Akerwateringstraat 218,1069GE,Amsterdam,Nieuw-West,,52652084,ja,52.35480996,4.784179428
Tennis,A.L.T.C. De Aemstelburgh,wwww.aemstelburgh.nl,Aemstelburgh,Amsterdamsweg 253,1182GZ,Amstelveen,Buiten Amsterdam,,,,52.3137459,4.8438117
Tennis,Smashing Pink,www.smashing-pink.nl,Amstelpark,Koenenkade 8,1081KH,Amsterdam,Zuid,,40539369,,52.33101422,4.85234665
Tennis,Frans Ottenstadion,www.fransottenstadion.nl,Frans Otten Stadion,IJsbaanpad 43,1076CV,Amsterdam,Zuid,,33125126,,52.33911327,4.850591
Tennis,T.V. Linnaeushof,www.tvlinnaeushof.nl,Linnaeushof,Linnaeushof 46,1098KM,Amsterdam,Oost,,,,52.35220312,4.93541642
Tennis,Stichting Jeugdtennis Amsterdam Zuidoost,www.jeugdtenniszuidoost.nl,Playground Reigersbos,Poederooienstraat 166,1106CM,Amsterdam,Zuidoost,,34105981,ja,52.29849153,4.97976605
Tennis,Sportcentrum De Wildenhorst,www.wildenhorst.nl,Sportcentrum De Wildenhorst,Sloterweg 301,1171VB,Badhoevedorp,Buiten Amsterdam,,40597350,,52.33375683,4.77153832
Tennis,Stichting Jeugdtennis Amsterdam Zuidoost,www.jeugdtenniszuidoost.nl,Sporthal Gaasperdam,Ravenswaaipad 5,1106AW,Amsterdam,Zuidoost,,34105981,ja,52.29676965,4.97825726
Tennis,Tennisvereniging A.M.V.J.,www.amvjtennis.nl,Sportpark 't Loopveld,Aanloop 2,1183SZ,Amstelveen,Zuid,,40532978,,52.32047213,4.88479553
Tennis,Amstelpark Tennisclub,www.amstelpark.nl,Sportpark Amstelpark,Koenenkade 8,1081KH,Amsterdam,Zuid,,40534990,,52.33101422,4.85234665
Tennis,T.C. ABN AMRO Amsterdam,www.tcabnamro.nl,Sportpark Amsterdamse Bos,Jan Tooroplaan 48,1182AE,Amsterdam,Zuid,,,,52.31958603,4.85457287
Tennis,Tennis Club Amsterdam,www.tcamsterdam.info,Sportpark Amsterdamse Bos,Nieuwe Kalfjeslaan 19a,1182AA,Amsterdam,Zuid,,40532297,,52.32050307,4.85301362
Tennis,A.L.T.C. Buitenveldert,www.altc-buitenveldert.nl,Sportpark Buitenveldert West,Van der Boechorststraat 38,1081BT,Amsterdam,Zuid,,40531208,,52.32928369,4.85984585
Tennis,Maccabi,www.maccabi-tennis.nl,Sportpark Buitenveldert West,Van der Boechorststraat 38,1081BT,Amsterdam,Zuid,,40533868,,52.32928369,4.85984585
Tennis,T.V. Geuzenveld,www.tvgeuzenveld.nl,Sportpark De Eendracht,Tom Schreursweg 12,1067MC,Amsterdam,Nieuw-West,,40538803,,52.38319017,4.78357976
Tennis,Tennis De Kegel,www.tvdekegel.nl,Sportpark De Kegel,Bovenkerkerweg 81,1187XC,Amstelveen,Buiten Amsterdam,,40530938,,52.27753766,4.83690201
Tennis,De Meer Tennis,www.demeertennis.nl,Sportpark Drie Burg,Drie Burgpad 8,1097HK,Amsterdam,Oost,,34356560,,52.33928369,4.9320116
Tennis,S.V. Geinburgia,www.geinburgia.nl,Sportpark Driemond,Stammerlandweg 10,1109BR,Amsterdam,Zuidoost,,40531522,,52.30881441,5.01467674
Tennis,Tennisclub IJburg,www.tennisclubijburg.nl,Sportpark IJburg Oost,Zandzeggestraat 1,1087SL,Amsterdam,Oost,,51015439,ja,52.34536045,5.00572701
Tennis,A.L.T.C. D.D.V. ,www.altcddv.nl,Sportpark IJsbaanpad,IJsbaanpad 43,1076CV,Amsterdam,Zuid,,40532503,,52.33911327,4.850591
Tennis,Tennisvereniging Blauw-Wit,www.akcblauwwit.nl,Sportpark Joos Banckersweg,Joos Banckersweg 18A,1056EP,Amsterdam,West,,40531926,,52.3757839,4.85669711
Tennis,A.T.C. Kadoelen,www.atckadoelen.nl,Sportpark Kadoelen,Sportpark Kadoelen 4,1035NB,Amsterdam,Noord,,40533567,ja,52.41498241,4.91030345
Tennis,S.V. T.O.B. afdeling Tennis,www.tobtennis.nl,Sportpark Melkweg,Meteorenweg 274,1035RN,Amsterdam,Noord,,40530737,ja,52.41980485,4.87283985
Tennis,A.S.T.V. Chip & Charge,www.chipencharge.nl,Sportpark Middenmeer,Radioweg 80,1098NJ,Amsterdam,Oost,,33305798,,52.34779887,4.94727555
Tennis,T.V. Osdorp,www.tvosdorp.nl,Sportpark Ookmeer,Han Hollanderlaan 1,1067BB,Amsterdam,Nieuw-West,,40537058,,52.36949896,4.79562639
Tennis,APGS,apgs-amsterdam.nl/sporten/tennis,Sportpark Overamstel,Ouderkerkerdijk 150,1096CR,Amsterdam,Oost,,,,52.3276652,4.9054468
Tennis,Tennisvereniging P.S.T.,www.tennisclubpst.nl,Sportpark Parkschouwburg,Plantage Parklaan 20A,1018ST,Amsterdam,Centrum,,34166549,,52.3681904,4.90974937
Tennis,L.T.C. Strandvliet,www.strandvliet.nl,Sportpark Strandvliet,Zwartelaantje 5,1114BA,Amsterdam-Duivendrecht,Buiten Amsterdam,,40533271,ja,52.31850793,4.93652335
Tennis,T.V. Tie-Breakers,www.tiebreakers.nl,Sportpark Valentijnkade,Valentijnkade 132,1095KH,Amsterdam,Oost,,40539107,,52.35913146,4.95434169
Tennis,Triaz tennis,www.triaz.nl,Sportpark Van Heenvlietlaan,Van Heenvlietlaan 6,1083CL,Amsterdam,Zuid,,34163529,,52.33065251,4.88191651
Tennis,T.C. Elzenhagen,www.elzenhagen.nl,Sportpark Vliegenbos,Nieuwendammerkade 15,1022AB,Amsterdam,Noord,,40537216,,52.38968057,4.93661901
Tennis,L.T.C. Festina,www.ltcfestina.nl,Sportpark Vondelpark,Vondelpark 2a,1071AA,Amsterdam,Zuid,,40530397,,52.35879479,4.86835053
Tennis,V.V.G.A.,www.vvga.nl,Sportpark Voorland,Wembleylaan 5,1098WG,Amsterdam,Oost,,40532889,,52.3446218,4.9485104
Tennis,A.L.T.C. De Algemene,www.dealgemene.nl,Sportpark Zuid,IJsbaanpad 45,1076CV,Amsterdam,Zuid,,40530717,,52.34048973,4.85088251
Tennis,T.C. IJsbaanpad,www.ijsbaanpad.nl,Sportpark Zuid,IJsbaanpad 45,1076CV,Amsterdam,Zuid,,34113506,,52.34048973,4.85088251
Tennis,K-Zone Sports,www.kzonesports.nl,Tennisbaan Kraaiennest,Kruitberg 3016,1104CA,Amsterdam,Zuidoost,,34166847,ja,52.3178963,4.97721219
Tennis,TC Twiske,www.tc-twiske.nl,Tennisclub 't Twiske,Twiskeweg 99,1511BW,Oostzaan,Buiten Amsterdam,,40617242,,52.44688462,4.87848794
Tennis,Badhoevedorp T.V.,www.tvbadhoevedorp.nl,Tennispark ,Snelliuslaan 41,1171CZ,Badhoevedorp,Buiten Amsterdam,,40594121,,52.34150304,4.77275328
Tennis,SVU TeniSTA,www.tenista.nl,Tennispark A.L.T.C. Aemstelburgh,Amsterdamseweg 253,1182GZ,Amsterdam,Zuid,,40535178,,52.31368698,4.84372443
Tennis,A.T.V. Diemen,www.atvd.nl,Tennispark A.T.V.D.,Willem de Zwijgerlaan 4,1111ZS,Diemen,Buiten Amsterdam,,40532169,,52.34026162,4.97140844
Tennis,St. Verder in Balans (ViB),www.verderinbalans.nl,Tennispark Jaagpad,Jaagpad 48,1059BP,Amsterdam,Zuid,ja,34151287,,52.33887898,4.84515093
Tennis,A.L.T.C. Joy Jaagpad,www.joyjaagpad.nl,Tennispark Jaagpad,Jaagpad 48,1059BP,Amsterdam,Zuid,,40530309,,52.33887898,4.84515093
Tennis,Junior Joy by Inspire,www.joyjaagpad.nl,Tennispark Jaagpad,Jaagpad 48,1059BP,Amsterdam,Zuid,,,ja,52.33887898,4.84515093
Tennis,T.C. Kattenlaan,www.tennisclubkattenlaan.nl,Tennispark Kattenlaan (Vondelpark),Kattenlaan 13,1054KA,Amsterdam,West,,34252462,,52.35949078,4.86515681
Tennis,A.T.C. Sloterplas,www.atcsloterplas.nl,Tennispark Sloterplas,August Vermeylenstr 50,1064AB,Amsterdam,Nieuw-West,,40532514,,52.37189268,4.83324888
Tennis,L.T.C. Startbaan,www.ltcstartbaan.nl,Tennispark Startbaan,Startbaan 2,1185XR,Amstelveen,Buiten Amsterdam,,,,52.28561157,4.85736538
Tennis,TV Heb Durf,www.hebdurf.nl,TV Heb Durf,Sportpark 9,1121MS,Landsmeer,Buiten Amsterdam,,,,52.43158028,4.90490947
Tennis,USC Tennis,www.usc.uva.nl,USC Tennis,Radioweg 80,1098NJ,Amsterdam,Oost,,,,52.34779887,4.94727555
Tennis,TV De Vliegende Hollander,www.dvh-tennis.nl,Wimbledonpark,Wimbledonpark 161,1185XM,Amstelveen,Buiten Amsterdam,,40531990,,52.28946001,4.84427778
Triatlon,Trivana,www.trivana.nl,Bijlmer Sportpark,Karspeldreef 505,1102BX,Amsterdam,Zuidoost,,64361691,,52.3114262,4.96474872
Triatlon,De Dolfijn,www.triathlonweb.nl/dedolfijn,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,40532114,ja,52.37001857,4.81712029
Urban Sports,This is Soul,www.thisissoul.nl/skateles,Buikslotermeerplein,Buikslotermeerplein,1025ES,Amsterdam,Noord,,37130124,ja,52.39996806,4.93590171
Urban Sports,Jump Freerun,www.freerununiversity.com,Freerun University,J.A. van Seumerenlaan 1,1422XS,Uithoorn,Buiten Amsterdam,,75933845,ja,52.23674371,4.84001687
Urban Sports,Jump Freerun,www.freerununiversity.com,Freerun University,Keienbergweg 29,1101EX,Amsterdam,Zuidoost,,75933845,ja,52.30847345,4.93666751
Urban Sports,Griffioen Outdoor,www.griffioenoutdoor.nl,Griffioen Outdoor,Willinklaan 7,1067SL,Amsterdam,Nieuw-West,,32120847,,52.37081422,4.80333655
Urban Sports,Xplore Freerunning,www.xplorefreerunning.nl,Gymzaal Braeburnstraat 1,Braeburnstraat 1,1036LD,Amsterdam,Nieuw-West,,70385262,ja,52.40800966,4.90337736
Urban Sports,Xplore Freerunning,www.xplorefreerunning.nl,Gymzaal Theophile de Bockstraat 100,Theophile de Bockstraat 100,1058VC,Amsterdam,Zuid,,70385262,ja,52.35510924,4.84614077
Urban Sports,Xplore Freerunning,www.xplorefreerunning.nl,Gymzaal Verbindingstraat 2,Verbindingstraat 2,1073TJ,Amsterdam,Zuid,,70385262,ja,52.35284882,4.89884731
Urban Sports,This is Soul,www.thisissoul.nl/skateles,Olympiaplein,Olympiaplein 116,1076AK,Amsterdam,Zuid,,37130124,ja,52.34672434,4.865527546
Urban Sports,Xplore Freerunning,www.xplorefreerunning.nl,Rosa Boekdrukkerschool,Vancouverstraat 3-5,1056DT,Amsterdam,West,,70385262,ja,52.3731714,4.855348
Urban Sports,Xplore Freerunning,www.xplorefreerunning.nl,Sportzaal Borgerstraat 109,Borgerstraat 109,1053PE,Amsterdam,West,,70385262,ja,52.36466138,4.86575665
Urban Sports,This is Soul,www.thisissoul.nl/skateles,Skatepark Nieuw-West,Willinklaan 5,1051VS,Amsterdam,West,,37130124,ja,52.37141402,4.80306224
Urban Sports,VROG Parkour/Freerunning,www.vrog.nl,Vrog Parkour/Freerunning,Kruislaan 222B,1098SL,Amsterdam,Oost,,57396906,ja,52.34911258,4.94526652
Vecht- en krachtsport,Team Aqua,www.amsterdam-bjj.nl,Amsterdam Training Center,H.J.E. Wenckebachweg 6V-5,1096AN,Amsterdam,Oost,,,,52.33669611,4.92759236
Vecht- en krachtsport,HSW Krav Maga,www.sportschoolhsw.nl,Apollohal,Apollolaan 4,1077BA,Amsterdam,Zuid,,27243817,,52.34806995,4.88444373
Vecht- en krachtsport,Wing Chun Federatie-Amsterdam,www.vechtsportschoolamsterdm.nl,Apollohal,Apollolaan 4,1077BA,Amsterdam,Zuid,,,,52.34806995,4.88444373
Vecht- en krachtsport,Shin-ShinBuKen budovereniging,www.shin-shinbuken.nl,Budovereniging Shin-ShinBuKen,Lodewijk van Deysselstraat 107,1064HM,Amsterdam,Nieuw-West,,,,52.37764394,4.81047224
Vecht- en krachtsport,Fightin Nabil,www.fightinnabil.nl,Centrum voor vrije tijd,Ed Pelsterpark 8,1087EJ,Amsterdam,Oost,,51100053,ja,52.35682337,4.99617033
Vecht- en krachtsport,Inside Defence,www.insidedefence.nl,Centrum voor vrije tijd,Ed Pelsterpark 8,1087EJ,Amsterdam,Oost,,55375049,,52.35682337,4.99617033
Vecht- en krachtsport,HSW Krav Maga,www.sportschoolhsw.nl,Damstede College,Rode Kruisstraat 83,1025KM,Amsterdam,Noord,,27243817,,52.39539993,4.92660183
Vecht- en krachtsport,Poekoelan Kung Fu,www.poekoelan.nl,Frans Otten Stadion,IJsbaanpad 43,1076CV,Amsterdam,Zuid,,,,52.33911327,4.850591
Vecht- en krachtsport,Fightin Nabil,www.fightinnabil.nl,Gymzaal August Allebéplein 7,August Allebéplein 7,1062AA,Amsterdam,Nieuw-West,,51100053,ja,52.36308312,4.8386618
Vecht- en krachtsport,Nei Gong - school voor Traditionele Tai Chi Chuan,www.neigong.nl,Gymzaal Bankastraat 18,Bankastraat 18,1094ED,Amsterdam,Oost,,34342887,,52.36472212,4.93283709
Vecht- en krachtsport,Stichting Wuji,www.taiji.nl,Gymzaal Bankastraat 18,Bankastraat 18,1094ED,Amsterdam,Oost,,,,52.36472212,4.93283709
Vecht- en krachtsport,Matuari,www.matuari.org,Gymzaal Borneokade 103,Borneokade 103,1019KZ,Amsterdam,Oost,,41203045,,52.37050696,4.93906246
Vecht- en krachtsport,FysCultura,www.fyscultura.nl,Gymzaal de Schakel,Alexander Dumaslaan 17,1102WD,Amsterdam,Zuidoost,,55797431,,52.32390618,4.94160088
Vecht- en krachtsport,Stichting Evolution Sports,www.evolutionsports.nl,Gymzaal Faas Wilkesstraat 453,Faas Wilkesstraat 453,1095MD,Amsterdam,Oost,,34120573,ja,52.37229936,4.97028657
Vecht- en krachtsport,Shaolin Wuhun Helan,www.shaolinwuhun.nl,Gymzaal het Klaverblad,Darlingstraat 1,1102MX,Amsterdam,Zuidoost,,34391007,,52.31976822,4.94979206
Vecht- en krachtsport,HSW Krav Maga,www.sportschoolhsw.nl,Gymzaal John Hadleystraat 2,John Hadleystraat 2,1086WB,Amsterdam,Oost,,27243817,,52.36123334,4.98192068
Vecht- en krachtsport,Nei Gong - school voor Traditionele Tai Chi Chuan,www.neigong.nl,Gymzaal MFC Binnenhof,Arent Janszoon Ernststraat 112,1082LP,Amsterdam,Zuid,,34342887,,52.33231476,4.87822551
Vecht- en krachtsport,Samurai Sport,www.samuraisports.nl,Gymzaal Prof. Dr. H. Kraemerschool,Nieuwe laan 34,1068BZ,Amsterdam,Nieuw-West,,52505634,,52.36281186,4.79905217
Vecht- en krachtsport,Nei Gong - school voor Traditionele Tai Chi Chuan,www.neigong.nl,Gymzalen Willem Witsenstraat 6-8,Willem Witsenstraat 6-8,1077AZ,Amsterdam,Zuid,,34342887,,52.35123583,4.87034696
Vecht- en krachtsport,Zelfverdedigingsschool Nusantara,www.zelfverdedigingschoolnusantara.nl,Gymzalen Willem Witsenstraat 6-8,Willem Witsenstraat 6-8,1077AZ,Amsterdam,Zuid,,37119393,,52.35123583,4.87034696
Vecht- en krachtsport,YKR Amsterdam,ykrjujitsu.com,Huis van de Wijk De Evenaar,Kometensingel 189,1033BE,Amsterdam,Noord,,63453762,,52.41438071,4.88645465
Vecht- en krachtsport,HSW Krav Maga,www.sportschoolhsw.nl,Joop Westerweelschool,Balboaplein 44,1057VS,Amsterdam,West,,27243817,,52.36886108,4.85619257
Vecht- en krachtsport,Kimekai Gym,www.kimekaigym.nl,Kimekai Gym,Erich Salomonstraat 432,1087JA,Amsterdam,Oost,,34284240,ja,52.35504689,4.99984093
Vecht- en krachtsport,AAC Hercules Amsterdam,www.aachercules.nl,Krachtsportcentrum,Dokter Meurerlaan 6,1067SM,Amsterdam,Nieuw-West,,40532387,ja,52.36920809,4.80570704
Vecht- en krachtsport,Luk Hop Moon,www.lukhopmoon.nl,Luk Hoop Moon,Pieter Nieuwlandstraat 95,1093XN,Amsterdam,Oost,,34311450,,52.36230249,4.92999908
Vecht- en krachtsport,Mike's Gym ,www.mikesgym.nl,Mikes Gym,Skoon 19-21,1511HV,Oostzaan,Buiten Amsterdam,,34184646,,52.43131638,4.87497107
Vecht- en krachtsport,Pancration,www.pancration.nl,Pancration,Zilverberg 68 B,1025CJ,Amsterdam,Noord,,34178012,ja,52.40026832,4.94230271
Vecht- en krachtsport,Tijgertje,www.tijgertje.nl,Readegebouw,Overtoom 283,1054HW,Amsterdam,West,,40539506,,52.36037903,4.86684929
Vecht- en krachtsport,Dave van der Poel Ving Tsun,www.wslvt.nl,School Amsterdam West,Eerste Helmersstraat 102,1054EG,Amsterdam,West,,08139319,,52.36279231,4.87200345
Vecht- en krachtsport,Fightin Nabil,www.fightinnabil.nl,Sportcentrum Caland,Eliza van Calcarstraat 2,1068RR,Amsterdam,Nieuw-West,,51100053,ja,52.35443917,4.80713356
Vecht- en krachtsport,DBJ Coaching,www.dbjcoaching.nl,Sportcentrum De Pijp,Lizzy Ansinghstraat 88,1072RD,Amsterdam,Zuid,,72018119,ja,52.34975372,4.89371511
Vecht- en krachtsport,Liu He Men Kung Fu school,www.liuhemen.nl,Sportcentrum De Pijp,Lizzy Ansinghstraat 88,1072RD,Amsterdam,Zuid,,34212965,,52.34975372,4.89371511
Vecht- en krachtsport,Body Fit,www.sportcentrumkops.nl,Sportcentrum Kops,Weesperzijde 115,1091EN,Amsterdam,Oost,,40535111,,52.35071883,4.91212422
Vecht- en krachtsport,Kops,www.sportcentrumkops.nl,Sportcentrum Kops,Weesperzijde 115,1091EN,Amsterdam,Oost,,40535111,,52.35071883,4.91212422
Vecht- en krachtsport,Sportcentrum Pleizier,www.sportcentrumpleizier.nl,Sportcentrum Pleizier,Wisseloordplein 4,1106MH,Amsterdam,Zuidoost,,40538671,ja,52.29700286,4.9886486
Vecht- en krachtsport,Fightin Nabil,www.fightinnabil.nl,Sportcentrum Sloten,Sloterweg 1043T,1066CC,Amsterdam,Nieuw-West,,51100053,ja,52.34013284,4.80943351
Vecht- en krachtsport,Fudoshin Ryu ,www.fudoshinryu.nl,Sporthal Laan van Spartaan,Rinus Michelslaan 26,1061MB,Amsterdam,West,,37157802,,52.37335349,4.83917473
Vecht- en krachtsport,Mousid Gym,www.mousidgym.nl,Sporthal Wethouder Verheij,Polderweg 300,1093KP,Amsterdam,Oost,,34161657,,52.35788575,4.93135106
Vecht- en krachtsport,Katsujinken,www.katsujinken.nl,Sporthallen Zuid,Burgerweeshuispad 54,1076EP,Amsterdam,Zuid,,34229242,,52.33997926,4.85410708
Vecht- en krachtsport,Spark United,www.sparkunited.nl/gebruikers/spark-united-buurtsportvereniging,Sportpark De Eendracht,Bok de Korverweg 20,1067HR,Amsterdam,Nieuw-West,,55541542,,52.37924265,4.78522141
Vecht- en krachtsport,K-Zone Sports,www.kzonesports.nl,Sportzaal Klateringpad 1-3,Klateringpad 1-3,1104KW,Amsterdam,Zuidoost,,34166847,ja,52.31497894,4.97310349
Vecht- en krachtsport,Tajiquan & Qigong Centre Amsterdam,www.tajiicentre.nl,Studio Seven,Eerste Nassaustraat 7,1052BD,Amsterdam,West,,34336517,,52.38303811,4.87950875
Vecht- en krachtsport,Vos Gym Amsterdam,www.vosgymamsterdam.com,Vos gym,Van Slingelandtstraat 33A,1051CG,Amsterdam,West,,61342726,ja,52.38288773,4.8655864
Vecht- en krachtsport,Kawayan Fighting Arts School,www.kawayan.org,WG-terrein,Ketelhuisplein 41,1054RD,Amsterdam,West,,,,52.36356313,4.86945461
Vecht- en krachtsport,Amsterdamse Wing-Chun Kung-Fu,www.wing-chun.nl,Wing Chun,Varenweg 4,1031CB,Amsterdam,Noord,,40407772,,52.3899589,4.91656623
Vecht- en krachtsport,Xena Sports,www.xenasports.nl,Xena Sports,Van Hallstraat 52,1051HH,Amsterdam,West,,34111082,ja,52.38185859,4.87036798
Vecht- en krachtsport,ZeeburgSport,www.zeeburgsport.nl,Zeeburg Sport,Cruquiusweg 98M,1019AJ,Amsterdam,Oost,,,,52.36773552,4.95021998
Vecht- en krachtsport,The JYM movement,thejymmovement.nl/nl/,,haarlemmer Houttuinen 519,1013 GM,Amsterdam,West,,,ja,52.38275036,4.888327605
Vecht- en krachtsport,FFC ,www.ffcbijlmer.com,,Kempering 63,1104KG,Amsterdam,Zuidoost,,68233841,ja,52.31496525,4.977989951
Voetbal,Voetjebal,www.amsterdam.panasj.nl,Basisschool De Vlinderboom,Nicolaas Beetsstraat 40,1053RM,Amsterdam,West,,60501057,ja,52.36639941,4.86448822
Voetbal,Voetjebal,www.amsterdam.panasj.nl,Basisschool Het Roer ,Roggeveenstraat 12,1013PV,Amsterdam,West,,60501057,ja,52.38983826,4.88712851
Voetbal,Golden Talent Academy,goldentalent.nl,Bijlmer Sportcentrum,Anton de Komplein 157,1102DR,Amsterdam,Zuidoost,,67215017,ja,52.31527429,4.95762875
Voetbal,Lesley Boys,www.facebook.com/fclesleyboys,Bijlmer Sportcentrum,Anton de Komplein 157,1102DR,Amsterdam,Zuidoost,,63300354,ja,52.31527429,4.95762875
Voetbal,Golden Talent Academy,goldentalent.nl,Bijlmer Sportpark,Karspeldreef 500,1102BX,Amsterdam,Zuidoost,,67215017,ja,52.3104767,4.96459083
Voetbal,Zuidoost United,www.zuidoostunited.nl,Bijlmer Sportpark,Karspeldreef 505,1102BX,Amsterdam,Zuidoost,,40536151,ja,52.3114262,4.96474872
Voetbal,Voetjebal,www.amsterdam.panasj.nl,Cornelis Vrijschool,Van de Veldestraat 3,1071CW,Amsterdam,Zuid,,60501057,ja,52.35959043,4.87980641
Voetbal,FC Peuter Profs,www.fcpeuterprofs.nl,Gymzaal 't Koggeschip,Abr. Kuyperplein 2,1067DE,Amsterdam,Nieuw-West,,,ja,52.38240887,4.802113856
Voetbal,Voetjebal,www.amsterdam.panasj.nl,De Amsterdamse Montessorischool,Willem Witsenstraat 14,1077AZ,Amsterdam,Zuid,,60501057,ja,52.35096622,4.8703501
Voetbal,DVVA,www.dvva.nl,DVVA,Drie Burgpad 5,1097HK,Amsterdam,Oost,,40532106,,52.34054322,4.93233618
Voetbal,Voetjebal,www.amsterdam.panasj.nl,Gymzaal Galileïplantsoen 39,Galileïplantsoen 39,1098LW,Amsterdam,Oost,,60501057,ja,52.35417565,4.93888977
Voetbal,Voetjebal,www.amsterdam.panasj.nl,Gymzaal Meidoornschool,Chasséstraat 59,1057JA,Amsterdam,West,,60501057,ja,52.36905504,4.86138813
Voetbal,Voetjebal,www.amsterdam.panasj.nl,Huizingaschool,Jacob Geelstraat 42,1065VT,Amsterdam,West,,60501057,ja,52.36071341,4.83026349
Voetbal,Geinburgia,www.geinburgia.com,MatchZO,Stammerlandweg 10,1109BR,Amsterdam,Zuidoost,,40531522,,52.30881441,5.01467674
Voetbal,OFC,www.ofc-oostzaan.nl,OFC Terrein,Twiskeweg 8,1511BZ,Oostzaan,Buiten Amsterdam,,,,52.44476725,4.87953995
Voetbal,KLM sport,klmsv.blogspot.com,Sportcentrum KLM,Wimbledonpark 2,1185XN,Amstelveen,Buiten Amsterdam,,,,52.28913047,4.84527371
Voetbal,Hoofddorp s.v.,www.svhoofddorp.nl,Sportcomplex De IJvelden,IJweg 1155,2133MJ,Hoofddorp,Buiten Amsterdam,,,,52.30645997,4.65081044
