jaar;variabele;gem;SD;bron
2050;BEV0_17_PROG_P;16.5;5.113;sdbc
2049;BEV0_17_PROG_P;16.5;5.146;sdbc
2048;BEV0_17_PROG_P;16.5;5.161;sdbc
2047;BEV0_17_PROG_P;16.6;5.195;sdbc
2046;BEV0_17_PROG_P;16.5;5.222;sdbc
2045;BEV0_17_PROG_P;16.5;5.235;sdbc
2044;BEV0_17_PROG_P;16.5;5.273;sdbc
2043;BEV0_17_PROG_P;16.5;5.299;sdbc
2042;BEV0_17_PROG_P;16.4;5.322;sdbc
2041;BEV0_17_PROG_P;16.4;5.345;sdbc
2040;BEV0_17_PROG_P;16.3;5.379;sdbc
2039;BEV0_17_PROG_P;16.3;5.389;sdbc
2038;BEV0_17_PROG_P;16.2;5.404;sdbc
2037;BEV0_17_PROG_P;16.1;5.425;sdbc
2036;BEV0_17_PROG_P;16.1;5.441;sdbc
2035;BEV0_17_PROG_P;16.0;5.462;sdbc
2034;BEV0_17_PROG_P;16.0;5.473;sdbc
2033;BEV0_17_PROG_P;15.9;5.493;sdbc
2032;BEV0_17_PROG_P;15.9;5.507;sdbc
2031;BEV0_17_PROG_P;15.9;5.494;sdbc
2030;BEV0_17_PROG_P;15.9;5.489;sdbc
2029;BEV0_17_PROG_P;15.9;5.459;sdbc
2028;BEV0_17_PROG_P;16.0;5.421;sdbc
2027;BEV0_17_PROG_P;16.1;5.404;sdbc
2026;BEV0_17_PROG_P;16.1;5.41;sdbc
2025;BEV0_17_PROG_P;16.2;5.406;sdbc
2024;BEV0_17_PROG_P;16.3;5.43;sdbc
2023;BEV0_17_PROG_P;16.4;5.529;sdbc
2050;BEV18_64_PROG_P;65.7;6.133;sdbc
2049;BEV18_64_PROG_P;65.7;6.249;sdbc
2048;BEV18_64_PROG_P;65.7;6.257;sdbc
2047;BEV18_64_PROG_P;65.8;6.257;sdbc
2046;BEV18_64_PROG_P;65.8;6.297;sdbc
2045;BEV18_64_PROG_P;65.9;6.303;sdbc
2044;BEV18_64_PROG_P;66.0;6.324;sdbc
2043;BEV18_64_PROG_P;66.1;6.361;sdbc
2042;BEV18_64_PROG_P;66.2;6.379;sdbc
2041;BEV18_64_PROG_P;66.3;6.398;sdbc
2040;BEV18_64_PROG_P;66.5;6.417;sdbc
2039;BEV18_64_PROG_P;66.6;6.419;sdbc
2038;BEV18_64_PROG_P;66.8;6.457;sdbc
2037;BEV18_64_PROG_P;67.0;6.449;sdbc
2036;BEV18_64_PROG_P;67.2;6.482;sdbc
2035;BEV18_64_PROG_P;67.5;6.507;sdbc
2034;BEV18_64_PROG_P;67.7;6.534;sdbc
2033;BEV18_64_PROG_P;67.9;6.597;sdbc
2032;BEV18_64_PROG_P;68.1;6.634;sdbc
2031;BEV18_64_PROG_P;68.4;6.697;sdbc
2030;BEV18_64_PROG_P;68.6;6.773;sdbc
2029;BEV18_64_PROG_P;68.9;6.824;sdbc
2028;BEV18_64_PROG_P;69.1;6.895;sdbc
2027;BEV18_64_PROG_P;69.3;6.986;sdbc
2026;BEV18_64_PROG_P;69.6;7.155;sdbc
2025;BEV18_64_PROG_P;69.8;7.217;sdbc
2024;BEV18_64_PROG_P;70.0;7.329;sdbc
2023;BEV18_64_PROG_P;70.2;7.444;sdbc
2050;BEV65PLUS_PROG_P;17.8;4.422;sdbc
2049;BEV65PLUS_PROG_P;17.8;4.541;sdbc
2048;BEV65PLUS_PROG_P;17.7;4.573;sdbc
2047;BEV65PLUS_PROG_P;17.7;4.616;sdbc
2046;BEV65PLUS_PROG_P;17.6;4.677;sdbc
2045;BEV65PLUS_PROG_P;17.6;4.717;sdbc
2044;BEV65PLUS_PROG_P;17.5;4.787;sdbc
2043;BEV65PLUS_PROG_P;17.4;4.836;sdbc
2042;BEV65PLUS_PROG_P;17.4;4.905;sdbc
2041;BEV65PLUS_PROG_P;17.3;4.956;sdbc
2040;BEV65PLUS_PROG_P;17.2;5.003;sdbc
2039;BEV65PLUS_PROG_P;17.1;5.039;sdbc
2038;BEV65PLUS_PROG_P;17.0;5.065;sdbc
2037;BEV65PLUS_PROG_P;16.9;5.078;sdbc
2036;BEV65PLUS_PROG_P;16.7;5.132;sdbc
2035;BEV65PLUS_PROG_P;16.5;5.14;sdbc
2034;BEV65PLUS_PROG_P;16.3;5.173;sdbc
2033;BEV65PLUS_PROG_P;16.1;5.197;sdbc
2032;BEV65PLUS_PROG_P;16.0;5.196;sdbc
2031;BEV65PLUS_PROG_P;15.7;5.237;sdbc
2030;BEV65PLUS_PROG_P;15.5;5.254;sdbc
2029;BEV65PLUS_PROG_P;15.2;5.276;sdbc
2028;BEV65PLUS_PROG_P;14.9;5.262;sdbc
2027;BEV65PLUS_PROG_P;14.6;5.213;sdbc
2026;BEV65PLUS_PROG_P;14.3;5.188;sdbc
2025;BEV65PLUS_PROG_P;14.0;5.165;sdbc
2024;BEV65PLUS_PROG_P;13.7;5.139;sdbc
2023;BEV65PLUS_PROG_P;13.4;5.181;sdbc
2050;BEV75PLUS_PROG_P;9.9;2.75;sdbc
2049;BEV75PLUS_PROG_P;9.8;2.837;sdbc
2048;BEV75PLUS_PROG_P;9.7;2.865;sdbc
2047;BEV75PLUS_PROG_P;9.6;2.897;sdbc
2046;BEV75PLUS_PROG_P;9.5;2.92;sdbc
2045;BEV75PLUS_PROG_P;9.3;2.935;sdbc
2044;BEV75PLUS_PROG_P;9.2;2.957;sdbc
2043;BEV75PLUS_PROG_P;9.1;2.969;sdbc
2042;BEV75PLUS_PROG_P;8.9;2.996;sdbc
2041;BEV75PLUS_PROG_P;8.8;3.007;sdbc
2040;BEV75PLUS_PROG_P;8.6;3.0;sdbc
2039;BEV75PLUS_PROG_P;8.4;2.993;sdbc
2038;BEV75PLUS_PROG_P;8.2;2.988;sdbc
2037;BEV75PLUS_PROG_P;8.1;2.96;sdbc
2036;BEV75PLUS_PROG_P;7.9;2.971;sdbc
2035;BEV75PLUS_PROG_P;7.7;2.952;sdbc
2034;BEV75PLUS_PROG_P;7.5;2.963;sdbc
2033;BEV75PLUS_PROG_P;7.3;2.951;sdbc
2032;BEV75PLUS_PROG_P;7.1;2.941;sdbc
2031;BEV75PLUS_PROG_P;6.9;2.947;sdbc
2030;BEV75PLUS_PROG_P;6.8;2.958;sdbc
2029;BEV75PLUS_PROG_P;6.6;2.949;sdbc
2028;BEV75PLUS_PROG_P;6.4;2.942;sdbc
2027;BEV75PLUS_PROG_P;6.2;2.919;sdbc
2026;BEV75PLUS_PROG_P;6.1;2.888;sdbc
2025;BEV75PLUS_PROG_P;5.9;2.897;sdbc
2024;BEV75PLUS_PROG_P;5.7;2.878;sdbc
2023;BEV75PLUS_PROG_P;5.5;2.88;sdbc
2022;BEVMAN_P;49.6;2.984;sdbc
2021;BEVMAN_P;49.6;2.904;sdbc
2020;BEVMAN_P;49.6;2.886;sdbc
2019;BEVMAN_P;49.6;3.081;sdbc
2018;BEVMAN_P;49.5;3.021;sdbc
2017;BEVMAN_P;49.5;3.265;sdbc
2016;BEVMAN_P;49.4;3.323;sdbc
2015;BEVMAN_P;49.3;3.792;sdbc
2014;BEVMAN_P;49.3;3.968;sdbc
2013;BEVMAN_P;49.2;3.935;sdbc
2012;BEVMAN_P;49.2;4.208;sdbc
2011;BEVMAN_P;49.2;4.259;sdbc
2010;BEVMAN_P;49.3;4.48;sdbc
2009;BEVMAN_P;49.2;4.396;sdbc
2008;BEVMAN_P;49.2;3.343;sdbc
2007;BEVMAN_P;49.2;3.252;sdbc
2006;BEVMAN_P;49.3;3.209;sdbc
2005;BEVMAN_P;49.3;3.337;sdbc
2022;BEVVROUW_P;50.4;2.987;sdbc
2021;BEVVROUW_P;50.4;2.904;sdbc
2020;BEVVROUW_P;50.4;2.889;sdbc
2019;BEVVROUW_P;50.4;3.081;sdbc
2018;BEVVROUW_P;50.5;3.021;sdbc
2017;BEVVROUW_P;50.5;3.265;sdbc
2016;BEVVROUW_P;50.6;3.323;sdbc
2015;BEVVROUW_P;50.7;3.792;sdbc
2014;BEVVROUW_P;50.7;3.968;sdbc
2013;BEVVROUW_P;50.8;3.93;sdbc
2012;BEVVROUW_P;50.8;4.208;sdbc
2011;BEVVROUW_P;50.8;4.259;sdbc
2010;BEVVROUW_P;50.7;4.48;sdbc
2009;BEVVROUW_P;50.8;4.396;sdbc
2008;BEVVROUW_P;50.8;3.343;sdbc
2007;BEVVROUW_P;50.8;3.252;sdbc
2006;BEVVROUW_P;50.7;3.207;sdbc
2005;BEVVROUW_P;50.7;3.337;sdbc
2021;BEVDICHT;5333.0;7698.708;sdbc
2020;BEVDICHT;5352.0;7695.462;sdbc
2019;BEVDICHT;5292.0;7695.165;sdbc
2018;BEVDICHT;5240.0;7745.151;sdbc
2017;BEVDICHT;5130.0;7765.439;sdbc
2016;BEVDICHT;5065.0;7784.608;sdbc
2015;BEVDICHT;4994.0;7710.624;sdbc
2022;BEVINST_P;0.7;1.269;sdbc
2021;BEVINST_P;0.8;1.484;sdbc
2020;BEVINST_P;0.8;2.165;sdbc
2019;BEVINST_P;0.8;2.392;sdbc
2018;BEVINST_P;0.9;2.02;sdbc
2017;BEVINST_P;0.9;2.208;sdbc
2016;BEVINST_P;1.0;2.685;sdbc
2015;BEVINST_P;1.0;3.806;sdbc
2014;BEVINST_P;1.0;4.819;sdbc
2013;BEVINST_P;1.0;5.529;sdbc
2012;BEVINST_P;1.0;3.539;sdbc
2011;BEVINST_P;1.0;3.001;sdbc
2010;BEVINST_P;1.1;4.176;sdbc
2009;BEVINST_P;1.1;3.787;sdbc
2008;BEVINST_P;1.2;2.01;sdbc
2007;BEVINST_P;1.4;2.558;sdbc
2006;BEVINST_P;1.3;2.658;sdbc
2005;BEVINST_P;1.5;3.226;sdbc
2022;BEVINST65PLUS_P;0.3;0.562;sdbc
2021;BEVINST65PLUS_P;0.3;0.624;sdbc
2020;BEVINST65PLUS_P;0.3;0.672;sdbc
2019;BEVINST65PLUS_P;0.3;0.698;sdbc
2018;BEVINST65PLUS_P;0.3;0.73;sdbc
2017;BEVINST65PLUS_P;0.3;0.737;sdbc
2022;BEVPOTBBV15_74_P;81.0;6.225;sdbc
2021;BEVPOTBBV15_74_P;80.9;6.074;sdbc
2020;BEVPOTBBV15_74_P;80.7;5.845;sdbc
2019;BEVPOTBBV15_74_P;80.6;5.993;sdbc
2018;BEVPOTBBV15_74_P;80.4;6.043;sdbc
2017;BEVPOTBBV15_74_P;80.2;6.06;sdbc
2016;BEVPOTBBV15_74_P;80.0;6.185;sdbc
2015;BEVPOTBBV15_74_P;79.7;6.195;sdbc
2014;BEVPOTBBV15_74_P;79.5;6.331;sdbc
2013;BEVPOTBBV15_74_P;79.4;6.466;sdbc
2012;BEVPOTBBV15_74_P;79.3;6.662;sdbc
2011;BEVPOTBBV15_74_P;79.2;6.739;sdbc
2010;BEVPOTBBV15_74_P;79.2;6.829;sdbc
2009;BEVPOTBBV15_74_P;79.1;6.822;sdbc
2008;BEVPOTBBV15_74_P;78.9;6.61;sdbc
2007;BEVPOTBBV15_74_P;78.7;6.613;sdbc
2006;BEVPOTBBV15_74_P;78.5;6.519;sdbc
2005;BEVPOTBBV15_74_P;78.3;6.269;sdbc
2022;BEVSUR_P;7.1;7.505;sdbc
2021;BEVSUR_P;7.3;7.647;sdbc
2020;BEVSUR_P;7.4;7.798;sdbc
2019;BEVSUR_P;7.5;7.976;sdbc
2018;BEVSUR_P;7.6;8.108;sdbc
2017;BEVSUR_P;7.7;8.226;sdbc
2016;BEVSUR_P;7.9;8.458;sdbc
2015;BEVSUR_P;8.1;8.626;sdbc
2014;BEVSUR_P;8.3;8.796;sdbc
2013;BEVSUR_P;8.5;8.898;sdbc
2012;BEVSUR_P;8.7;9.112;sdbc
2011;BEVSUR_P;8.8;9.368;sdbc
2010;BEVSUR_P;9.0;9.556;sdbc
2009;BEVSUR_P;9.1;9.71;sdbc
2008;BEVSUR_P;9.2;9.736;sdbc
2007;BEVSUR_P;9.3;9.602;sdbc
2006;BEVSUR_P;9.4;9.44;sdbc
2005;BEVSUR_P;9.5;9.275;sdbc
2022;BEVANTIL_P;1.4;1.266;sdbc
2021;BEVANTIL_P;1.4;1.278;sdbc
2020;BEVANTIL_P;1.4;1.272;sdbc
2019;BEVANTIL_P;1.4;1.315;sdbc
2018;BEVANTIL_P;1.4;1.357;sdbc
2017;BEVANTIL_P;1.5;1.4;sdbc
2016;BEVANTIL_P;1.5;1.487;sdbc
2015;BEVANTIL_P;1.5;1.519;sdbc
2014;BEVANTIL_P;1.5;1.558;sdbc
2013;BEVANTIL_P;1.5;1.584;sdbc
2012;BEVANTIL_P;1.5;1.591;sdbc
2011;BEVANTIL_P;1.5;1.608;sdbc
2010;BEVANTIL_P;1.5;1.687;sdbc
2009;BEVANTIL_P;1.5;1.747;sdbc
2008;BEVANTIL_P;1.5;1.773;sdbc
2007;BEVANTIL_P;1.5;1.815;sdbc
2006;BEVANTIL_P;1.5;1.871;sdbc
2005;BEVANTIL_P;1.6;1.905;sdbc
2022;BEVTURK_P;5.1;4.377;sdbc
2021;BEVTURK_P;5.1;4.452;sdbc
2020;BEVTURK_P;5.1;4.498;sdbc
2019;BEVTURK_P;5.1;4.572;sdbc
2018;BEVTURK_P;5.1;4.633;sdbc
2017;BEVTURK_P;5.1;4.674;sdbc
2016;BEVTURK_P;5.1;4.715;sdbc
2015;BEVTURK_P;5.2;4.771;sdbc
2014;BEVTURK_P;5.2;4.801;sdbc
2013;BEVTURK_P;5.3;4.882;sdbc
2012;BEVTURK_P;5.3;4.915;sdbc
2011;BEVTURK_P;5.3;4.933;sdbc
2010;BEVTURK_P;5.3;4.92;sdbc
2009;BEVTURK_P;5.2;4.933;sdbc
2008;BEVTURK_P;5.2;4.907;sdbc
2007;BEVTURK_P;5.2;4.942;sdbc
2006;BEVTURK_P;5.2;4.895;sdbc
2005;BEVTURK_P;5.1;4.808;sdbc
2022;BEVMAROK_P;8.8;7.334;sdbc
2021;BEVMAROK_P;8.9;7.417;sdbc
2020;BEVMAROK_P;8.8;7.446;sdbc
2019;BEVMAROK_P;8.9;7.53;sdbc
2018;BEVMAROK_P;8.9;7.534;sdbc
2017;BEVMAROK_P;9.0;7.708;sdbc
2016;BEVMAROK_P;9.0;7.784;sdbc
2015;BEVMAROK_P;9.0;7.831;sdbc
2014;BEVMAROK_P;9.0;7.842;sdbc
2013;BEVMAROK_P;9.0;7.947;sdbc
2012;BEVMAROK_P;9.0;8.032;sdbc
2011;BEVMAROK_P;9.1;8.068;sdbc
2010;BEVMAROK_P;9.0;8.072;sdbc
2009;BEVMAROK_P;9.0;8.091;sdbc
2008;BEVMAROK_P;9.0;8.367;sdbc
2007;BEVMAROK_P;8.9;8.118;sdbc
2006;BEVMAROK_P;8.8;8.049;sdbc
2005;BEVMAROK_P;8.7;7.823;sdbc
2022;BEVOVNW_P;14.5;7.171;sdbc
2021;BEVOVNW_P;13.8;6.799;sdbc
2020;BEVOVNW_P;13.5;6.754;sdbc
2019;BEVOVNW_P;12.9;6.664;sdbc
2018;BEVOVNW_P;12.4;6.556;sdbc
2017;BEVOVNW_P;11.9;6.501;sdbc
2016;BEVOVNW_P;11.3;6.574;sdbc
2015;BEVOVNW_P;11.0;6.991;sdbc
2014;BEVOVNW_P;10.7;6.811;sdbc
2013;BEVOVNW_P;10.6;6.643;sdbc
2012;BEVOVNW_P;10.5;6.73;sdbc
2011;BEVOVNW_P;10.3;6.578;sdbc
2010;BEVOVNW_P;10.1;6.266;sdbc
2009;BEVOVNW_P;9.9;6.412;sdbc
2008;BEVOVNW_P;9.7;5.85;sdbc
2007;BEVOVNW_P;9.6;6.034;sdbc
2006;BEVOVNW_P;9.5;6.134;sdbc
2005;BEVOVNW_P;9.4;7.16;sdbc
2022;BEVWEST_P;20.3;9.094;sdbc
2021;BEVWEST_P;19.7;7.424;sdbc
2020;BEVWEST_P;19.3;7.497;sdbc
2019;BEVWEST_P;18.6;7.434;sdbc
2018;BEVWEST_P;18.0;7.06;sdbc
2017;BEVWEST_P;17.3;7.401;sdbc
2016;BEVWEST_P;16.8;7.022;sdbc
2015;BEVWEST_P;16.3;6.833;sdbc
2014;BEVWEST_P;15.9;6.729;sdbc
2013;BEVWEST_P;15.7;6.938;sdbc
2012;BEVWEST_P;15.5;7.003;sdbc
2011;BEVWEST_P;15.3;6.813;sdbc
2010;BEVWEST_P;14.9;6.447;sdbc
2009;BEVWEST_P;14.8;6.232;sdbc
2008;BEVWEST_P;14.4;6.28;sdbc
2007;BEVWEST_P;14.1;5.952;sdbc
2006;BEVWEST_P;14.1;5.942;sdbc
2005;BEVWEST_P;14.1;6.069;sdbc
2022;BEVAUTOCH_P;42.9;15.333;sdbc
2021;BEVAUTOCH_P;43.9;14.621;sdbc
2020;BEVAUTOCH_P;44.5;14.81;sdbc
2019;BEVAUTOCH_P;45.6;14.979;sdbc
2018;BEVAUTOCH_P;46.6;15.308;sdbc
2017;BEVAUTOCH_P;47.5;15.555;sdbc
2016;BEVAUTOCH_P;48.3;15.863;sdbc
2015;BEVAUTOCH_P;49.0;16.51;sdbc
2014;BEVAUTOCH_P;49.3;16.451;sdbc
2013;BEVAUTOCH_P;49.4;16.627;sdbc
2012;BEVAUTOCH_P;49.5;16.836;sdbc
2011;BEVAUTOCH_P;49.7;16.847;sdbc
2010;BEVAUTOCH_P;50.1;16.954;sdbc
2009;BEVAUTOCH_P;50.5;17.138;sdbc
2008;BEVAUTOCH_P;51.0;17.449;sdbc
2007;BEVAUTOCH_P;51.4;17.658;sdbc
2006;BEVAUTOCH_P;51.5;17.748;sdbc
2005;BEVAUTOCH_P;51.7;17.57;sdbc
2022;BEVNW_P;36.8;18.037;sdbc
2021;BEVNW_P;36.5;18.196;sdbc
2020;BEVNW_P;36.2;18.259;sdbc
2019;BEVNW_P;35.8;18.448;sdbc
2018;BEVNW_P;35.4;18.698;sdbc
2017;BEVNW_P;35.1;19.034;sdbc
2016;BEVNW_P;34.8;19.399;sdbc
2015;BEVNW_P;34.7;19.64;sdbc
2014;BEVNW_P;34.8;19.675;sdbc
2013;BEVNW_P;34.9;19.804;sdbc
2012;BEVNW_P;35.0;20.0;sdbc
2011;BEVNW_P;35.0;20.25;sdbc
2010;BEVNW_P;34.9;20.557;sdbc
2009;BEVNW_P;34.7;20.718;sdbc
2008;BEVNW_P;34.6;21.204;sdbc
2007;BEVNW_P;34.5;21.254;sdbc
2006;BEVNW_P;34.3;21.253;sdbc
2005;BEVNW_P;34.2;20.944;sdbc
2022;BEVNSTEDELING_P;27.7;12.928;sdbc
2021;BEVNSTEDELING_P;28.0;13.299;sdbc
2020;BEVNSTEDELING_P;28.3;13.462;sdbc
2019;BEVNSTEDELING_P;28.7;13.759;sdbc
2018;BEVNSTEDELING_P;29.1;13.999;sdbc
2017;BEVNSTEDELING_P;29.3;14.195;sdbc
2016;BEVNSTEDELING_P;29.4;14.387;sdbc
2015;BEVNSTEDELING_P;29.4;14.608;sdbc
2014;BEVNSTEDELING_P;29.2;14.42;sdbc
2013;BEVNSTEDELING_P;29.0;14.463;sdbc
2012;BEVNSTEDELING_P;28.8;14.763;sdbc
2011;BEVNSTEDELING_P;28.6;14.89;sdbc
2010;BEVNSTEDELING_P;28.0;15.044;sdbc
2009;BEVNSTEDELING_P;27.9;15.326;sdbc
2008;BEVNSTEDELING_P;27.9;15.82;sdbc
2007;BEVNSTEDELING_P;27.6;16.229;sdbc
2006;BEVNSTEDELING_P;27.4;16.203;sdbc
2005;BEVNSTEDELING_P;27.2;15.427;sdbc
2018;BEVOPLLAAG_P;23.0;10.011;sdbc
2017;BEVOPLLAAG_P;24.0;10.79;sdbc
2016;BEVOPLLAAG_P;24.0;11.064;sdbc
2015;BEVOPLLAAG_P;25.0;11.905;sdbc
2014;BEVOPLLAAG_P;26.0;11.534;sdbc
2013;BEVOPLLAAG_P;26.0;12.172;sdbc
2012;BEVOPLLAAG_P;27.0;12.971;sdbc
2011;BEVOPLLAAG_P;28.0;12.898;sdbc
2010;BEVOPLLAAG_P;28.0;13.148;sdbc
2018;BEVOPLMID_P;31.0;6.22;sdbc
2017;BEVOPLMID_P;32.0;6.809;sdbc
2016;BEVOPLMID_P;32.0;7.637;sdbc
2015;BEVOPLMID_P;32.0;7.113;sdbc
2014;BEVOPLMID_P;34.0;7.121;sdbc
2013;BEVOPLMID_P;34.0;6.426;sdbc
2012;BEVOPLMID_P;34.0;6.378;sdbc
2011;BEVOPLMID_P;34.0;6.69;sdbc
2010;BEVOPLMID_P;34.0;6.93;sdbc
2018;BEVOPLHOOG_P;46.0;14.294;sdbc
2017;BEVOPLHOOG_P;45.0;14.597;sdbc
2016;BEVOPLHOOG_P;44.0;14.813;sdbc
2015;BEVOPLHOOG_P;43.0;15.023;sdbc
2014;BEVOPLHOOG_P;40.0;16.072;sdbc
2013;BEVOPLHOOG_P;39.0;15.882;sdbc
2012;BEVOPLHOOG_P;39.0;16.16;sdbc
2011;BEVOPLHOOG_P;38.0;16.218;sdbc
2010;BEVOPLHOOG_P;38.0;16.391;sdbc
2021;BEVEENOUDERHH_P;8.5;4.15;sdbc
2020;BEVEENOUDERHH_P;8.6;4.164;sdbc
2019;BEVEENOUDERHH_P;8.7;4.266;sdbc
2018;BEVEENOUDERHH_P;8.8;4.302;sdbc
2017;BEVEENOUDERHH_P;8.9;4.399;sdbc
2016;BEVEENOUDERHH_P;8.9;4.449;sdbc
2015;BEVEENOUDERHH_P;9.0;4.595;sdbc
2014;BEVEENOUDERHH_P;9.0;4.55;sdbc
2013;BEVEENOUDERHH_P;9.1;4.556;sdbc
2012;BEVEENOUDERHH_P;9.1;4.601;sdbc
2011;BEVEENOUDERHH_P;9.1;4.576;sdbc
2010;BEVEENOUDERHH_P;9.0;4.657;sdbc
2021;BEVALLEENHH_P;53.4;11.102;sdbc
2020;BEVALLEENHH_P;53.1;10.463;sdbc
2019;BEVALLEENHH_P;53.1;11.006;sdbc
2018;BEVALLEENHH_P;53.3;11.639;sdbc
2017;BEVALLEENHH_P;53.1;11.495;sdbc
2016;BEVALLEENHH_P;53.1;11.527;sdbc
2015;BEVALLEENHH_P;53.1;11.27;sdbc
2014;BEVALLEENHH_P;53.3;11.352;sdbc
2013;BEVALLEENHH_P;53.4;11.424;sdbc
2012;BEVALLEENHH_P;53.6;11.666;sdbc
2011;BEVALLEENHH_P;53.7;12.1;sdbc
2010;BEVALLEENHH_P;54.0;12.343;sdbc
2021;BEVPAARZKINDHH_P;21.4;4.792;sdbc
2020;BEVPAARZKINDHH_P;21.2;4.442;sdbc
2019;BEVPAARZKINDHH_P;20.9;4.305;sdbc
2018;BEVPAARZKINDHH_P;20.7;4.781;sdbc
2017;BEVPAARZKINDHH_P;20.6;4.654;sdbc
2016;BEVPAARZKINDHH_P;20.4;4.871;sdbc
2015;BEVPAARZKINDHH_P;20.3;4.838;sdbc
2014;BEVPAARZKINDHH_P;20.1;3.828;sdbc
2013;BEVPAARZKINDHH_P;19.9;4.015;sdbc
2012;BEVPAARZKINDHH_P;19.9;4.343;sdbc
2011;BEVPAARZKINDHH_P;20.0;4.349;sdbc
2010;BEVPAARZKINDHH_P;20.0;4.454;sdbc
2021;BEVPAARMKINDHH_P;15.7;9.169;sdbc
2020;BEVPAARMKINDHH_P;15.8;7.963;sdbc
2019;BEVPAARMKINDHH_P;15.9;8.253;sdbc
2018;BEVPAARMKINDHH_P;15.9;8.449;sdbc
2017;BEVPAARMKINDHH_P;16.0;8.349;sdbc
2016;BEVPAARMKINDHH_P;16.2;8.314;sdbc
2015;BEVPAARMKINDHH_P;16.2;8.177;sdbc
2014;BEVPAARMKINDHH_P;16.3;8.335;sdbc
2013;BEVPAARMKINDHH_P;16.2;8.269;sdbc
2012;BEVPAARMKINDHH_P;16.1;8.247;sdbc
2011;BEVPAARMKINDHH_P;16.0;8.419;sdbc
2010;BEVPAARMKINDHH_P;15.8;8.493;sdbc
2021;BEVOVERIGHH_P;1.1;0.396;sdbc
2020;BEVOVERIGHH_P;1.2;0.477;sdbc
2019;BEVOVERIGHH_P;1.3;0.498;sdbc
2018;BEVOVERIGHH_P;1.3;0.53;sdbc
2017;BEVOVERIGHH_P;1.4;0.678;sdbc
2016;BEVOVERIGHH_P;1.4;0.652;sdbc
2015;BEVOVERIGHH_P;1.4;0.682;sdbc
2014;BEVOVERIGHH_P;1.4;0.597;sdbc
2013;BEVOVERIGHH_P;1.3;0.926;sdbc
2012;BEVOVERIGHH_P;1.3;0.984;sdbc
2011;BEVOVERIGHH_P;1.2;0.597;sdbc
2010;BEVOVERIGHH_P;1.2;0.831;sdbc
2021;BEVHHMKIND_P;24.2;11.059;sdbc
2020;BEVHHMKIND_P;24.5;10.209;sdbc
2019;BEVHHMKIND_P;24.7;10.567;sdbc
2018;BEVHHMKIND_P;24.7;10.798;sdbc
2017;BEVHHMKIND_P;24.9;10.73;sdbc
2016;BEVHHMKIND_P;25.0;10.729;sdbc
2015;BEVHHMKIND_P;25.2;10.685;sdbc
2014;BEVHHMKIND_P;25.3;10.739;sdbc
2013;BEVHHMKIND_P;25.3;10.731;sdbc
2012;BEVHHMKIND_P;25.2;10.746;sdbc
2011;BEVHHMKIND_P;25.1;10.889;sdbc
2010;BEVHHMKIND_P;24.9;11.043;sdbc
2021;BEV1P75PLUS_P;2.6;1.502;sdbc
2020;BEV1P75PLUS_P;2.6;1.5;sdbc
2019;BEV1P75PLUS_P;2.5;1.519;sdbc
2018;BEV1P75PLUS_P;2.5;1.55;sdbc
2017;BEV1P75PLUS_P;2.5;1.595;sdbc
2020;BEVMUTNL_P;15.5;7.251;sdbc
2019;BEVMUTNL_P;14.8;8.07;sdbc
2018;BEVMUTNL_P;14.4;6.784;sdbc
2017;BEVMUTNL_P;14.8;7.882;sdbc
2016;BEVMUTNL_P;15.0;7.832;sdbc
2015;BEVMUTNL_P;14.7;9.924;sdbc
2014;BEVMUTNL_P;14.2;7.231;sdbc
2013;BEVMUTNL_P;13.9;5.144;sdbc
2012;BEVMUTNL_P;13.9;5.152;sdbc
2011;BEVMUTNL_P;14.0;4.479;sdbc
2010;BEVMUTNL_P;14.5;4.72;sdbc
2020;BEVMUTTOT_P;18.8;9.385;sdbc
2019;BEVMUTTOT_P;19.1;12.705;sdbc
2018;BEVMUTTOT_P;18.5;11.368;sdbc
2017;BEVMUTTOT_P;18.6;12.521;sdbc
2016;BEVMUTTOT_P;18.3;13.2;sdbc
2015;BEVMUTTOT_P;17.9;15.827;sdbc
2014;BEVMUTTOT_P;17.4;13.431;sdbc
2013;BEVMUTTOT_P;17.2;7.336;sdbc
2012;BEVMUTTOT_P;17.2;7.103;sdbc
2011;BEVMUTTOT_P;17.2;6.351;sdbc
2010;BEVMUTTOT_P;17.8;6.666;sdbc
2022;BEVWOONDUUR;8.9;2.944;sdbc
2021;BEVWOONDUUR;9.0;2.953;sdbc
2020;BEVWOONDUUR;8.8;2.821;sdbc
2019;BEVWOONDUUR;8.8;2.843;sdbc
2018;BEVWOONDUUR;8.7;2.844;sdbc
2017;BEVWOONDUUR;8.6;2.766;sdbc
2016;BEVWOONDUUR;8.6;2.703;sdbc
2015;BEVWOONDUUR;8.5;2.71;sdbc
2014;BEVWOONDUUR;8.5;2.638;sdbc
2013;BEVWOONDUUR;8.3;2.67;sdbc
2012;BEVWOONDUUR;8.2;2.651;sdbc
2011;BEVWOONDUUR;8.1;2.662;sdbc
2010;BEVWOONDUUR;8.1;2.544;sdbc
2009;BEVWOONDUUR;8.1;2.594;sdbc
2008;BEVWOONDUUR;8.1;2.583;sdbc
2007;BEVWOONDUUR;8.2;2.428;sdbc
2006;BEVWOONDUUR;8.2;2.388;sdbc
2005;BEVWOONDUUR;8.1;2.335;sdbc
