buurtnr;naam;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
140606;De Wijert-Zuid;87;90;82;96;104;109;125;133;139;149;169;161;174;188;213;215;210;223
140700;Corpus den Hoorn;119;116;118;127;135;155;182;200;207;220;239;246;260;268;283;315;351;362
140701;Hoornse Meer;156;153;155;163;172;199;225;256;282;297;305;309;310;330;308;324;343;362
140702;Hoornse Park;25;30;31;32;40;41;51;60;60;55;60;59;59;60;62;63;59;58
140703;Van Swieten;85;88;115;103;107;111;114;115;103;102;106;106;122;138;150;170;186;201
140704;Piccardthof;40;50;54;55;71;81;80;89;88;92;98;98;95;97;105;103;101;103
140705;Bruilwering;0;0;0;0;0;1;2;4;7;5;6;6;4;2;6;7;5;6
140800;Hoogkerk Dorp;97;105;113;112;125;126;135;146;155;154;150;148;153;156;165;165;168;152
140801;Hoogkerk-Zuid;92;101;111;126;149;171;191;208;206;203;196;206;213;205;209;209;208;227
140802;Westpoort;2;2;2;2;2;2;2;3;4;4;4;4;4;5;6;6;6;7
140803;Vierverlaten;14;15;14;17;15;16;19;15;16;14;16;16;15;15;13;12;12;12
140804;Zuidwending;21;21;21;19;19;19;24;23;22;22;24;22;21;21;22;20;19;19
140805;Leegkerk;8;9;9;10;11;13;13;14;14;12;12;12;12;11;12;13;12;13
140806;Gravenburg;32;29;37;45;59;75;84;97;102;108;115;113;126;127;137;133;134;140
140807;Suikerfabriekterrein;2;2;2;2;1;0;0;;;;;2;6;6;6;6;10;19
140808;Peizerweg;46;42;41;40;43;46;49;60;71;65;69;67;64;63;60;64;96;105
140809;Bangeweer;17;18;20;20;16;19;22;28;30;28;31;37;38;38;40;44;44;50
140810;De Buitenhof;35;35;40;38;48;52;64;67;79;92;97;93;101;110;102;93;90;92
140811;Kranenburg;19;24;27;33;35;30;36;37;39;42;42;46;49;49;50;52;53;59
140812;De Kring;6;10;13;19;23;23;22;23;29;30;30;27;24;25;27;27;29;30
140900;Vinkhuizen-Noord;74;84;94;92;97;126;147;159;170;170;175;178;188;188;202;232;257;262
140901;Vinkhuizen-Zuid;63;89;86;94;103;122;137;142;148;165;159;148;163;180;193;225;234;245
140902;Hoendiep;129;126;128;121;121;135;125;135;139;151;149;161;156;158;199;219;219;217
140903;Friesestraatweg;35;36;35;31;36;32;30;42;48;44;38;42;51;54;48;58;53;77
140904;Reitdiep;14;26;32;45;53;79;110;122;130;154;160;157;165;170;170;185;218;241
140905;Dorkwerd;10;12;13;13;12;11;12;17;14;15;16;15;12;12;12;13;15;13
140906;De Held;65;78;81;92;98;110;123;143;149;160;157;155;164;157;153;156;164;160
140907;Westpark;5;5;4;4;4;5;6;7;5;7;8;6;7;8;11;10;11;10
141000;Selwerd;112;112;114;118;130;151;159;181;187;211;196;208;203;215;229;243;275;289
141001;Paddepoel-Zuid;37;43;45;51;62;73;80;79;92;105;108;112;135;148;145;144;178;198
141002;Paddepoel-Noord;174;178;176;178;190;197;209;225;243;261;246;245;256;270;292;311;307;338
141003;Zernike Campus;102;117;126;138;160;150;132;124;145;153;136;121;116;121;112;103;100;112
141004;Selwerderhof;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2
141005;Tuinwijk;27;33;39;39;42;41;47;63;80;86;79;82;87;96;104;100;106;118
141100;Beijum-West;179;187;191;203;215;233;254;272;299;308;304;294;320;352;345;356;372;398
141101;Beijum-Oost;153;167;173;189;223;243;254;282;287;294;302;291;294;313;330;346;371;383
141102;De Hunze;70;77;77;84;96;110;120;125;133;141;143;144;141;159;159;170;166;179
141103;Van Starkenborgh;21;27;26;35;36;41;43;49;57;64;69;65;63;65;64;64;71;80
141104;Noorderhoogebrug;26;23;25;27;27;32;34;39;42;47;42;42;42;42;42;40;43;47
141105;Het Witte Lam;39;54;62;74;85;82;87;88;90;84;86;88;99;104;91;89;90;92
141106;Koningslaagte;14;13;14;14;17;18;17;17;15;12;11;13;16;12;11;14;14;14
141107;Hunzeboord;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;2;1
141200;Lewenborg-Noord;103;103;102;116;118;118;122;157;168;178;188;182;182;187;191;192;197;216
141201;Lewenborg-Zuid;63;66;70;74;85;106;115;122;130;129;130;124;139;147;161;170;186;187
141202;Lewenborg-West;43;47;51;60;67;78;96;91;97;106;100;100;101;100;107;119;124;139
141203;Oosterhoogebrug;150;153;156;150;154;174;174;194;212;231;227;221;229;212;226;237;252;261
141204;Ulgersmaborg;194;183;191;200;211;214;218;234;241;253;250;235;249;256;281;299;298;306
141205;Hunzepark;8;11;12;13;12;13;10;11;11;9;13;12;11;11;12;11;11;13
141206;Zilvermeer;8;8;7;7;11;12;11;12;13;14;13;14;14;14;13;15;15;18
141207;Kardinge;12;12;13;14;16;16;17;15;15;16;14;14;13;13;12;14;15;14
141208;Drielanden;31;33;38;39;43;43;42;48;52;55;51;45;47;52;49;52;50;54
141209;Noorddijk;11;9;11;10;12;12;13;12;15;13;12;16;16;16;16;19;21;25
141210;Ruischerbrug;13;11;14;16;20;24;23;20;25;26;30;33;36;39;44;42;44;48
141211;Ruischerwaard;13;14;15;16;19;26;31;39;48;53;53;50;51;64;70;83;81;80
141300;Middelbert;13;13;13;13;13;12;12;13;13;12;14;14;14;18;17;16;14;16
141301;Engelbert;45;50;52;54;63;68;72;80;83;82;84;76;72;84;85;96;98;101
141302;Klein Harkstede;3;3;3;3;4;6;5;4;8;10;9;9;11;9;9;6;6;6
141400;Meeroevers;;;;;;;;;;;;;;;30;46;52;63
141401;Harkstede (GN);;;;;;;;;;;;;;;28;34;40;38
141402;Lageland (GN);;;;;;;;;;;;;;;23;28;24;23
141403;Groenewei;;;;;;;;;;;;;;;;;;
141404;Tersluis;;;;;;;;;;;;;;;;1;6;17
141405;De Zeilen;;;;;;;;;;;;;;;;;;
141406;De Wierden;;;;;;;;;;;;;;;5;5;5;4
141500;Ten Boer;;;;;;;;183;206;194;200;206;223;215;218;202;204;218
141501;Buitengebied ten Boer-Zuid;;;;;;;;16;18;17;17;17;17;15;14;15;16;19
141502;Garmerwolde;;;;;;;;55;62;56;59;56;58;61;64;70;64;66
141503;Thesinge;;;;;;;;75;81;80;82;78;75;70;72;73;74;75
141504;Sint-Annen;;;;;;;;29;29;32;34;35;34;32;34;33;33;35
141505;Buitengebied ten Boer-Noord;;;;;;;;5;5;5;5;6;4;4;3;2;3;8
141506;Bedrijventerrein Dijkshorn;;;;;;;;18;23;23;21;19;22;21;22;22;30;32
141600;Ten Post;;;;;;;;60;69;70;68;68;63;60;57;59;63;60
141601;Lellens;;;;;;;;14;14;12;12;12;13;13;13;11;12;12
141602;Woltersum;;;;;;;;27;31;29;28;29;29;30;30;29;26;34
141603;Winneweer;;;;;;;;20;20;21;19;20;20;20;20;20;21;23
141604;Wittewierum;;;;;;;;11;13;14;15;14;12;12;15;13;13;15
141605;Buitengebied Ten Post;;;;;;;;21;22;20;19;15;16;16;16;14;13;12
141700;Haren-Centrum;;;;;;;;238;253;244;243;237;229;230;225;217;225;239
141701;Haren-Zuidwest;;;;;;;;248;288;275;281;280;294;298;293;303;265;274
141702;Haren-Zuidoost;;;;;;;;218;249;251;258;247;255;253;267;282;260;264
141703;Haren-Noord;;;;;;;;137;145;152;165;193;218;223;242;275;283;315
141704;Essen;;;;;;;;13;13;10;11;11;16;16;17;15;17;16
141705;Buitengebied Haren-Noordwest;;;;;;;;;;;;;;;;;1;1
141706;Nesciopark;;;;;;;;;;;;;;;;;;
141707;Paterswoldsemeer;;;;;;;;24;27;25;27;27;26;26;30;33;30;33
141708;Buitengebied Haren-Zuidoost;;;;;;;;51;53;53;58;53;48;45;45;48;42;49
141709;Wolddelen;;;;;;;;9;9;9;9;10;10;9;11;13;1;1
141710;Buitengebied Haren-Zuidwest;;;;;;;;;;;;;;;;1;1;1
141800;Oosterhaar;;;;;;;;186;217;212;228;215;217;216;227;255;269;278
141801;Tuindorp;;;;;;;;29;37;33;31;30;34;40;45;49;49;53
141802;Felland;;;;;;;;41;46;47;45;43;49;50;46;44;41;43
141803;Buitengebied Haren-Noordoost;;;;;;;;;;;;;;;;;;
141900;Glimmen Dorp;;;;;;;;81;86;87;83;82;82;75;76;83;104;97
141901;Onnen Dorp;;;;;;;;24;25;24;33;31;27;24;25;26;33;36
141902;Noordlaren Dorp;;;;;;;;35;35;35;35;36;33;35;41;40;46;48
141903;Buitengebied Glimmen;;;;;;;;67;71;64;61;62;62;61;60;67;49;51
141904;Buitengebied Onnen;;;;;;;;35;43;43;42;48;43;43;45;51;31;30
141905;Buitengebied Noordlaren;;;;;;;;33;34;32;38;39;39;36;33;35;27;29
141906;Zuidlaardermeer;;;;;;;;1;1;3;3;3;3;3;3;3;2;2
141907;Noordlaarderbos;;;;;;;;;;;;;;;;;;
141908;Appelbergen Glimmen;;;;;;;;6;6;6;9;7;7;6;4;5;2;2
141909;Appelbergen Onnen;;;;;;;;;;;;;;;;;;
200000;buurt onbekend;;;;;;;;12;;;;;;;;;74;92
;totaal oude gemeente;;9545;9957;10260;10759;11599;12569;13419;14495;15235;15739;15723;15724;16170;16646;17393;;
Eindtotaal;totaal nieuwe gemeente;;;;;;;;16517;17466;17917;17962;17953;18448;18904;19706;20630;21384;22504
