OBJECTID,GZNIDENT,GZNOMSCH,GZNSOORT,GLOBALID,LEG_ZIENSWIJZE,LEG_GEREED_VOOR_CL,KWKSTATU,WSZDEELGEBIED,Shape__Area,Shape__Length
196,BC25843,Binnentalud WRW,10,7ecf6d7a-268c-4f91-908a-85d3f3d3ca1b,,,300,,1043.72494506836,980.022175780223
197,BC25849,Binnentalud WRW,10,283f76b3-7fcf-4dec-9bdb-a300992f797c,,,300,,330.468818664551,266.694930371289
198,BC25858,Binnentalud WRW,10,03d80132-a6da-4f49-9fce-2fd369f384be,,,300,,177.963882446289,335.150298913664
199,BC25863,Buitentalud WRW,10,7b6c97c6-e387-4039-8edf-5dd9770a3f69,,,300,,3625.15763092041,1142.84244159037
200,BC25867,Buitentalud WRW,10,21dafeb5-8341-42bb-9b29-13858cdd4dad,,,300,,9955.79108428955,5703.23540660639
201,BC25870,Buitentalud WRW,10,a29db225-95b9-4c16-9114-37778d8eacd5,,,300,,30180.0471343994,4736.80499088341
202,178367,zone WGS,20,c391c58b-2e78-4f79-a4ce-2ece9b3b3c2d,,,300,,260768.421470642,15630.1873518103
203, ,Zonering Reeve Diep,19,8275cb2b-9fbb-4a78-bef0-990cce8c2a5b,,,300,,607065.010948181,13495.1240235155
204, ,Zonering Reeve Diep,19,93ae7c52-e9ea-4d6a-bb86-e67673597389,,,300,,920392.594848633,16359.3577178783
205, ,Zonering Reeve Diep,18,df6455fe-c07d-4504-bb96-eba3b3d2456c,,,300,,85137.9952163696,14246.8061792261
206,217402,zone WGS,19,0b27d6f6-0982-46e0-85e0-9f43b2375160,,,300,,0.00995635986328125,0.508520362813488
207,217414,zone WGS,19,35fafd37-17b4-4838-95d7-00f8cabc2329,,,300,,602850.437339783,15179.9622035133
208,217421,zone WGS,18,a46b0c9e-88a5-4145-9537-32fdec0bfcc5,,,300,,60857.8722915649,7137.72398897622
209,217438,BZA Zwartemeerpolder 101,18,dcc6007f-5e91-4222-a2b4-52e4fcd2f9b7,,,300,,7271.35176849365,3251.6026110125
210,BC10129,zone WGS,15,1af4a837-65e8-49ea-9576-83b759af49d7,,,300,,1837357.78806305,169424.287046174
211,BC10379,zone WGS,18,c50b1959-902d-43ae-9c8b-ceed7ef4de06,,,300,,52710.9501419067,3568.73064425696
212,BC10382,zone WGS,18,1ff915f3-dd27-4088-b6e0-26f56e4e9682,,,300,,56882.2724685669,2908.81026778996
213,BC10400,zone WGS,18,4e14c116-e9d0-4bfb-8105-11fd06873a79,,,300,,5832.06488800049,1250.56830055169
214,BC10404,zone WGS,18,631041e0-bd95-41eb-9938-4b2c28dbd381,,,300,,1253.5969543457,395.770884655347
215,BC10406,zone WGS,18,504d5e8d-6af2-4261-b1da-e2271858d309,,,300,,550.792556762695,134.572585487561
216,BC10424,zone WGS,18,c9149be6-317b-4ebe-adda-bcb6a7ac56d5,,,300,,6470.87590026855,1784.61377891575
