Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Executive Lets South West Limited;;2;;;;2
Expert Dieren B.V.;1;;;;;1
Fa. Van Effrink & Malestein;1;;;;;1
Farnell (Netherlands) B.V.;;;1;;;1
FietsNED B.V.;3;;;;;3
Firgos Antilles Holding B.V.;;1;;;;1
Firma J. Jorna en Zn.;1;;;;;1
Fletcher Landgoed Hotel Restaurant Avegoor;1;;;;;1
Fliteline B.V.;;4;;;;4
FMF S.R.L.;;2;;;;2
Foto De Boer;1;;;;;1
Frank Jaspers;;2;;;;2
Frank-Michael Hannemann;;2;;;;2
Friened;;;;;2;2
Fudura B.V.;;;3;;;3
Future Services General Trading & Cont.;;2;;;;2
FysioSupplies B.V.;1;;;;;1
G.V. Stage Equipment B.V.;1;;;;;1
G³nther Fraenkel;;1;;;;1
Garage Cordia Aruba N.V.;;1;;;;1
Garage Cordia B.V.;;2;;;;2
Gardenbroek Veevoeders B.V.;1;;;;;1
General Air Services N.V.;;1;;;;1
Gentec Energy B.V.;;;2;;;2
Georg Fischer N.V.;;2;;;;2
Geostick Nederlandse Etikettenindustrie B.V.;1;;;;;1
Gibbs Gillespie Lettings Ltd;;2;;;;2
Giga Gaas BV;;1;;;;1
GiMi Beheer;;1;;;;1
Glashandel Martin de Boer;1;;;;;1
Global Motors B.V.;;1;;;;1
Green Laundry B.V.;;2;;;;2
Greenz B.V.;1;;;;;1
Greidanus;1;;;;;1
Guus Theissen Customs;;2;;;;2
H+G & SCO Hausverwaltungen GmbH;;1;;;;1
Haber Textile Dienste GmbH;;1;;;;1
Hako B.V.;1;;;;;1
Hakron-Nunspeet B.V.;;1;;;;1
Handelmaatschappij Ackerman N.V.;;1;;;;1
Happy Own Carpenter Company;;1;;;;1
Hatenboer-Water B.V.;;;1;;;1
Hatz-Nederland B.V.;;;2;;;2
Hausgemeinschaft Stamm;;1;;;;1
Hausverwaltung Heckmann GmbH;;1;;;;1
HCS Gebõudereinigung GmbH;;2;;;;2
Headq. Nato Rapid Corps Italy;;1;;;;1
Headquarters NAEWC Force Personnel Services Branch, FHMP;;1;;;;1
Health2Work B.V.;1;;;;;1
Hectas Facility Services Stiftung & Co. KG;;1;;;;1
Heijmans Timmerwerken;1;;;;;1
Helga und Hans-Werner Fuhrmann;;1;;;;1
Hertek B.V.;1;;;;;1
Hessel's Toiletwagenverhuur B.V.;1;;;;;1
Hilco Welding Consumables Curaþao N.V.;;1;;;;1
HIVACUFLEX;;1;;;;1
HM VÚdelemgazdasßgi Hivatal;;1;;;;1
Hoefsmederij Wouter Duijns;1;;;;;1
Hoekstra Management Consulting;;;1;;;1
Holland Safety B.V.;;2;;;;2
Hollandse Telecommunicatie Maatschappij;1;;;;;1
Horticoop B.V.;1;;;;;1
HQ NAEW&C Force GK;;1;;;;1
IMMOBIL Frank Wittkopp;;2;;;;2
Immobilienverwaltung GbR Geiser und Jansweidt;;1;;;;1
Impacto;;5;;;;5
IMS mechanical & electrical repairs;;2;;;;2
Inbraakpreventie 'M.I.B.' B.V.;1;;;;;1
Inchcape Shipping Services B.V.;;5;;;;5
Industrial Solutions Zuid-Oost B.V.;;;2;;;2
Ingenieursbureau Ebatech B.V.;;;4;;;4
Innogy SE;;1;1;;;1
Interbike N.V.;;1;;;;1
Intersafe Groeneveld B.V.;1;;;;;1
Intronics;1;;;;;1
IP Lawton;;2;;;;2
Isaak;;1;;;;1
Island Water World (Curaþao) N.V.;;1;;;;1
Isocool N.V.;;1;;;2;2
itsme B.V.;;2;;;;2
Iworld B.V.;;1;;;;1
J.C.H. Timmermans;1;;;;;1
Jaap van Roozendaal Decorbouw;1;;;;;1
Jankowska, Sylwia;;1;;;;1
Jankowski, Jaroslaw;;1;;;;1
Jimmy Electronics N.V.;;1;;;;1
Joulz Infradiensten B.V.;;;2;;;2
Kadanz;;1;;;;1
Kantoren Perenhout;1;;;;;1
Karb Waldemar;;1;;;;1
Kemper en van Twist Diesel B.V.;;6;4;;;6
King Nederland B.V.;1;;;;;1
Klaassen, H.J.M.;;2;;;;2
Klaus Wolf;;2;;;;2
KLM Passagekantoor Eindhoven;;1;;;;1
Kooyman Aruba N.V.;;1;;;;1
Kooyman B.V.;;1;;;;1
Kop Beveiliging B.V.;1;;;;;1
KPN B.V.;1;;;;;1
KRAH Elektronische Bauelemente GmbH;;;1;;;1
Krauss, M. und H.;;;;;1;1
Krauss-Maffei Wegmann GmbH;;;1;;;1
Kringapotheek Velperweg;1;;;;;1
Kruitbosch en De Weerd Deventer B.V.;;;1;;;1
Kruizinga B.V.;1;;;;;1
Kuipers Waterbouw Dokkum B.V.;1;;;;;1
Kumpulan Congres- en Reuniecentrum;1;;;;;1
Kuzeta B.V.;;2;;;;2
Kwartier Mess Eguermin - M4462;;1;;;;1
Kwint B.V.;1;;;;;1
Lambert Lockmann;;1;;;;1
Lampdirect.nl Any Lamp B.V.;;1;;;;1
Lang Town & Country;;2;;;;2
Lang Town & Country Waterside;;1;;;;1
Leds4You B.V.;;2;;;;2
Lekker Energie GmbH;;1;;;;1
Lekkerkerker;;;;;1;1
Let's Let Residential Lettings & Ma;;2;;;;2
Liander N.V.;;;7;;;7
Liebherr-Nederland B.V.;;;1;;;1
Linde Gas Curaþao N.V.;;1;;;;1
LIV Group Ltd;;1;;;;1
Lohmann Grundbesitz GbR;;1;;;;1
London Borough of Hillingdon;;2;;;;2
Lopital Nederland B.V.;1;;;;;1
Louis Meulstee Photography;1;;;;;1
Luchttechnisch Revis.-Bureau Van Elewout B.V.;;2;;;;2
Ly, Hoang Kein Nghia;;1;;;;1
M&T Projectmanagement;;;1;;;1
M. Schall GmbH & Co. KG;;;1;;;1
M³ller, G. und G.;;1;;;1;1
Ma´tÚ Gaudrand;;2;;;;2
Mag. 45 B.V.;;;1;;;1
Manuel Borst;;1;;;;1
Manuel Decker;;1;;;;1
Manutan B.V.;1;;;;;1
Margarita Steinhart;;2;;;;2
Margret Simon und Thomas Simon;;1;;;;1
Marine Construction Consultancy;;1;;;;1
Martina Plumbing;;1;;;;1
Masell, B.;;;;;1;1
Mastermate Brinkman B.V.;1;2;;;;2
Mastermate Jan van Leusen;;1;;;;1
Matthams, S.;;1;;;;1
Maveco Consultancy N.V.;;1;;;;1
Mazier, W.A.;;2;;;;2
Mazzelshop Exploitatie B.V.;1;;;;;1
Mechanical Machine Shop Gabriela;;1;;;;1
Meer Dan Licht;1;;;;;1
Mercedes-Benz Cars Nederland B.V.;;;1;;;1
Mercon B.V.;;2;;;;2
Mess KTOMM Bronbeek;1;;;;;1
Metaal Centrum DUNNING B.V.;;;2;;;2
Metos B.V.;1;;;;;1
Michael Hemmersbach;;2;;;;2
Michaela Bott;;1;;;;1
Mifihotspot.nl;1;;;;;1
Ministry of Defence DBS Finance;;2;;;;2
MinistÞre de la DÚfense;;1;;;;1
Mitchel Daniel Aluminium Welding;;2;;;;2
Moesson Tjalie Robinson;1;;;;;1
Molnßr Lagos;;2;;;;2
Monuta Uitvaartverzorging;1;;;;;1
MORE Apps B.V.;1;;;;;1
Mo-Tech Industries;1;;;;;1
Motoren Revisiebedrijf Curaþao (M.R.C.) N.V.;;1;;;;1
Mouw, A. Rijwielen en bromfietsen;1;;;;;1
Mr B. Sweetman;;2;;;;2
Mrs S Maxa;;2;;;;2
MTG Miettreuhandgesellschchaft mbH;;1;;;;1
MultiMart B.V.;;2;;;;2
Muscle Power B.V.;;1;;;;1
N.V. PWN Waterleidingbedrijf Noord-Holland;;;5;;;5
N.V. Rendo;;;3;;;3
N.V. Waterbedrijf Drenthe;;;3;;;3
N.V. Waterbedrijf Groningen;;;2;;;2
Naew E-3A Component;;1;;;;1
Naider Chen & Vicky Sun;;1;;;;1
NAMA;1;;;;;1
Namfi HQ;;1;;;;1
National Defence;;2;;;;2
Nato Allied Joint Force Command Nap;;1;;;;1
NATO JFC HQ BRUNSSUM;;;1;;;1
NATO Shape Supreme Headquarters Allied Powers;;4;1;;;4
NATO Support Agency ORG.INTERNAT (NSPA);;5;1;;;5
NATO Supreme Allied Command Transformation;;1;;;;1
Nauta B.V.;1;;;;;1
NCI Agency CSA - The Hague;;4;;;;4
Ned-Deck Marine;;4;;;;4
Neho-Speciaal-Techniek B.V.;;;1;;;1
Netherlands Training Detachment;;1;;;;1
Netsupport;1;;;;;1
NEVI-Purspective B.V.;;2;;;;2
New B.V.;;1;;;;1
Newman, K.;;1;;;;1
NMM Company B.V.;;;;;7;7
Nobby Crew & Xulak Company for Cathering and Cleaning;;7;;;;7
Noll Entsorgung GmbH + Co.KG;;1;;;;1
Northpark Associates II LP;;1;;;;1
Norwegian Defence Forsvarets regnskapsadministrasjon;;4;;;;4
NOVA GLOBAL SUPPLY AND SERVICES LLC;;6;;;;6
Npower Limited;;1;;;;1
Nuovo Mondo SRL;;4;;;;4
OkÚ-PC FryslÔn;1;;;;;1
Olijslager Verf B.V.;1;;;;;1
Osma;1;;;;;1
Ouwehands Dierenpark B.V.;1;;;;;1
P&O North Sea Ferries B.V.;;;;;1;1
P.B.N. Sport & Adventure B.V.;;;;;1;1
Pae?ens;;1;;;;1
Pagid Benelux B.V.;;;1;;;1
Papyrus Groep Nederland B.V.;1;;;;;1
Pas, A.P. v.d.;;2;;;;2
Paul und Martha Schmitz;;2;;;;2
PCElburg;1;;;;;1
Peter Harlos;;1;;;;1
Pfalzwerke Aktiengesellschaft;;1;;;;1
Pion Kunststoffen B.V.;;1;;;;1
Pirate Cruises N.V.;;1;;;;1
Plieger B.V.;;1;;;;1
Pohland Projekt & Bau GmbH;;1;;;;1
Pohland Projekt & Bau GmbH (Baugemeinschaft Fl÷tenstrasse);;1;;;;1
Polygarde B.V.;1;;;;;1
PontMeyer Deventer;;2;;;;2
PontMeyer Handelsbedrijven B.V.;;1;;;;1
Popular Agencies N.V.;;1;;;;1
Post Carlyle Square Leasing Office;;2;;;;2
Power Sound Facilitair;1;;;;;1
Powerlease Caribbean;;1;;;;1
Powertec Diesel Services B.V.;2;;;;;2
Pro Water B.V.;;1;;;;1
Productive Business Solutions (Curaþao) B.V.;;1;;;;1
Prof. Dr. Harald Motzki;;;;;1;1
Professional Pest Control of Curaþao N.V;;2;;;;2
Publi House Publishers B.V.;1;;;;;1
PÚter Molnßr;;2;;;;2
R & M Professional Pest Control N.V;;1;;;;1
R.A.P. Building & Developments;;2;;;;2
Raca Batteries Nederland B.V.;1;;;;;1
Radio Holland Curacao NV;;1;;;;1
Ralf Glettenberg;;1;;;;1
Randstad Resource Bedrijf Zakelijk B.V.;2;;;;;2
Randstad Uitzendbureau;4;;;;;4
Rapenburg Plaza B.V.;1;;;;;1
ReÃƒÂ¼niecommissie 432e Bataljon Infanterie;1;;;;;1
RECOMPENSA PARK;;;1;;;1
Reg. Bur. vr Toerisme Knpp. Arnhem Nijm. B.V.;1;;;;;1
Regardz Business Center;1;;;;;1
Reinartz GbR;;2;;;;2
Reintjes Benelux BVBA;;1;;;;1
Reisaco B.V.;1;;;;;1
Resort Brunssummerheide B.V.;;4;;;1;4
RheinEnergie AG;;1;;;;1
Ricas Inst. v. Risico-Adv. en Veiligheidsopl.;2;;;;;2
Rijkaart;1;;;;;1
Ritzen, A.F.M. en/of Ritzen, H.F.M.;;2;;;;2
Robert Krystowski;;1;;;;1
Robsons Residential Lettings;;3;;;;3
Rotom Nederland;1;;;;;1
Rotterdam Airport Vastgoed B.V.;;;2;;;2
RPS Analyse B.V.;;1;;;;1
Rubie, C., Dr.;;;;;1;1
RUGGIANO Mariano;;2;;;;2
Ruijter, E.W.A. De;;1;;;;1
RUnic Desig R.U. Kleering van Beerenbergh;1;;;;;1
RWE International SE;;;1;;;1
Safe Site B.V.;;1;;;;1
Safety Support B.V.;;1;;;;1
Sahouri Insurance & Financial Inc.;;2;;;;2
Satijn, P.C.M.;;2;;;;2
Savills (L&P) Ltd;;2;;;;2
Schibbe;;1;;;;1
Schiphol Nederland B.V.;;;;;1;1
Seal Productions;;1;;;;1
Securitas Beveiliging B.V.;1;;;;;1
Selikor N.V.;;1;;;;1
Sevako Vagyonkezel÷ Kft;;1;;;;1
Seveninvest Immobilien GmbH & Co. K;;1;;;;1
Shape Inn;;4;;;;4
Sharon Matthams;;2;;;;2
SHH-Immobilien GbR;;2;;;;2
Shop Interiors;1;;;;;1
Sijmons, R.;;1;;;;1
Sijperda Verhuur B.V.;1;;;;;1
Sissel Thaule EiendomsMegler 1;;1;;;;1
Sleut.- & Safespecial. W. van den Hoogen B.V.;1;;;;;1
Sligro B.V.;1;;;;;1
Slim Inrichten;1;;;;;1
Sondergaard, I.B.;;1;;;;1
Sßndor Kozma;;1;;;;1
STAAL ANTILLEN N V;;1;;;;1
STADTKASSE MUENSTER;;2;;;;2
Stadtwerk Am See;;1;;;;1
Stadtwerke Goch;;1;;;;1
Stadtwerke Kalkar GmbH & Co. KG;;1;;;;1
Stadtwerke Kiel;;1;;;;1
Stadtwerke Kleve GmbH;;1;;;;1
Stadtwerke M³nster;;4;;;;4
Stadtwerke Ramstein Miesenbach;;1;;;;1
Stadtwerke Sigmaringen;;1;;;;1
Staples Nederland B.V.;1;;;;;1
Stedin;;;6;;;6
Stephanie Ludwig;;2;;;;2
Stertil B.V.;;;;;1;1
Stg. Recreatiecomplex Nieuwe Haven Witte Raaf;1;;;;;1
Stichting Abrona;3;;;;;3
Stichting Museum Kura Hulanda;;1;;;;1
Stitch One N.V.;;1;;;;1
Stoffeerderij The May;;2;;;;2
Strijbosch B.V.;2;1;;;;2
Supreme Foodservice GmbH;;1;;;;1
SWB Energie und Wasser;;1;;;;1
T.T. Frijlink thodn De Gelderse IJzerhandel;1;;;;;1
Technical Contracting TC NV;;;;;1;1
Technisch Bureau Magema B.V.;2;1;1;;;2
Technische Unie B.V.;;4;;;;4
Tempo-Team Professionals B.V.;2;;;;;2
Tentenverhuur De Weerd Voorst;1;1;;;;1
Terrenum GmbH;;2;;;;2
Tetens, S. und O.;;;;;1;1
The MasterMind Company B.V.;;5;;;;5
Therasia Wiedemann;;1;;;;1
Thomas Rosner Garten- & Landschafts;;1;;;;1
Threadneedle UK Property Trust;;2;;;;2
Toma en Venne Van Der;;1;;;;1
Top Movers Nederland B.V.;;2;;7;;7
Topcleaning Beheer B.V.;1;;;;;1
Total Quality Services N.V.;;3;;;;3
Totalezorgwinkel.nl;1;;;;;1
Transportbedrijf Albert Riksen B.V.;;1;;;;1
TRC Cleanfix N.V.;;1;;;;1
Trenton B.V.;;;2;;;2
TRI-BIKE & FYSIO N.V.;;1;;;;1
Trincone, Milena;;4;;;;4
Truckwash Oeverlanden;1;;;;;1
Tuin! Leeuwarden;1;;;;;1
Tweewielergroothandel Kik-Goes;1;;;;;1
Tyco Fire and Security Nederland B.V.;;2;;;;2
Ulrike und Thomas Horbach;;1;;;;1
Unica Datacenters B.V.;;5;;;;5
Ursel Neuwirth;;2;;;;2
UTS st maarten;;;1;;;1
VALERO REFINING COMPANY - ARUBA N.V.;;;1;;;1
Van Dam Garagedeuren;1;;;;;1
Van der Bijl Diervoeders B.V.;1;;;;;1
Van der Valk Congres Hotel Mons;;1;;;;1
Van der Voort Amsterdam Lucht en Milieu B.V.;1;;;;;1
Van Reekum Materials B.V.;;1;;;;1
Van Rumpt Recycling N.V.;;1;;;;1
Van Werven Infra & Bouwstoffen;;1;;;;1
Van Zwanenburg Handelmaatschappij B.V.;1;;;;;1
Vattenfall Europe Sales GmbH;;1;;;;1
VDL Weweler Parts B.V.;;;1;;;1
Vello Elektro B.V.;;3;1;;;3
Velmon Service en Revisie B.V.;1;;;;;1
Venequip Curacao N.V.;;1;;;1;1
Verbandsgemeindewerke;;1;;;;1
Verhaaf B.V.;1;;;;;1
Vermaat Leisure B.V.;1;;;;;1
Vickers;;2;;;;2
Vidipro-International;;1;;;;1
Villa Avellino Residence;;1;;;;1
Vitens N.V.;;;6;;;6
Vossenberg Holding B.V.;;2;;;;2
Vreugdenhil Berging B.V.;1;;;;;1
Vullings, H;;2;;;;2
VVV Business B.V.;1;;;;;1
Warwick Centre;;2;;;;2
Washmobile V.O.F.;1;;;;;1
Waternet;;;2;;;2
Wavin Nederland;;2;;;;2
Web B.V.;;;2;;;2
Welding Construction BV;;2;;;;2
Westland Infra Netbeheer B.V.;;;4;;;4
Wetsports;1;;;;;1
Wiba Zevenaar B.V.;;;4;;;4
Wiig Eiendom AS EiendomsMegler 1;;2;;;;2
Wildkamp B.V.;;1;;;;1
Wilhelm K÷hler Verlag GmbH&Co KG;;1;;;;1
Willi Klein;;1;;;;1
Wiltec B.V.;;1;;;;1
Winkens Makelaardij B.V.;1;;;;;1
Workx Materieelverhuur B.V.;1;;;;;1
Wõscherei Baader GmbH;;2;;;;2
WTTP B.V.;;;2;;;2
Yorcom Computers B.V.;1;;;;;1
Ziggo Services B.V.;1;;;;;1
Zonnegilde B.V.;;1;;;;1
Anoniem 31;;;1;;;1
Anoniem 163;1;;;;;1
Anoniem 194;;3;;;;3
Anoniem 252;1;;;;;1
Anoniem 254;;;1;;;1
Anoniem 280;2;;;;;2
Anoniem 294;;1;;;;1
Anoniem 309;1;;;;;1
Anoniem 344;1;;;;;1
Eindtotaal;7;9;11;7;7;11
