Gebrek identificatie,Ingangsdatum gebrek,Einddatum gebrek,Gebrek paragraaf nummer,Gebrek artikel nummer,Gebrek omschrijving,Ingangsdatum gebrek DT,Einddatum gebrek DT
053,20170401,,,5.*.4,Bovenbouw ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
054,20170401,,,5.*.4,"Bovenbouw ondeugdelijk bevestigd, sterkte  >50 % afgenomen",04/01/2017 12:00:00 AM,
055,20170401,,,5.*.4,Ondersteuning laadvloer/laadruimte ondeugdelijk,04/01/2017 12:00:00 AM,
056,20210501,,,5.*.4,"Boven-, op-, aanbouw ondeugdelijk bevestigd",05/01/2021 12:00:00 AM,
057,20210501,,,5.*.4,"Ondersteuning boven-, op-, aanbouw ondeugdelijk",05/01/2021 12:00:00 AM,
058,20170401,,,5.*.5,Accu aanhangwagen ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
059,20170401,,,5.*.5,Bedrading aanhangwagen niet goed geisoleerd,04/01/2017 12:00:00 AM,
05A,20170401,20170402,,5.*.55,Verpl. licht werkt niet (goed) (geen richtingaanw./remlicht),04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
060,20170401,,,5.*.5,Bedrading aanhangwagen ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
067,20170401,,,5.*.6,Breedte van het voertuig meer dan toegestaan,04/01/2017 12:00:00 AM,
068,20170401,,,5.*.6,Hoogte van het voertuig meer dan toegestaan,04/01/2017 12:00:00 AM,
069,20170401,,,5.*.6,Kopstraal oplegger meer dan toegestaan,04/01/2017 12:00:00 AM,
06A,20170401,20170402,,5.*.55,Lichten niet van gelijke grootte/sterkte/kleur,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
070,20170401,,,5.*.6,Lengte van het voertuig meer dan toegestaan,04/01/2017 12:00:00 AM,
076,20170401,,,5.*.9,Brandstofleidingen gescheurd,04/01/2017 12:00:00 AM,
077,20170401,,,5.*.9,Brandstoflekkage,04/01/2017 12:00:00 AM,
078,20170401,,,5.*.9,Brandstoflekkage; ernstig,04/01/2017 12:00:00 AM,
079,20170401,,,5.*.9,Brandstofsysteem onveilig,04/01/2017 12:00:00 AM,
07A,20170401,20170402,,5.*.55,Glas van lichtarmatuur ernstig beschadigd,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
080,20170401,,,5.*.9,Brandstofsysteem in ernstige mate onveilig,04/01/2017 12:00:00 AM,
081,20170401,20180520,,5.*.9,"Controle alle brandstoffen niet mogelijk, niet gemeld",04/01/2017 12:00:00 AM,05/20/2018 12:00:00 AM
082,20170401,,,5.*.9,Onderdeel brandstofsysteem ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
083,20170401,,,5.*.9,Tankdop (passende) ontbreekt,04/01/2017 12:00:00 AM,
084,20170401,,,5.*.9,Onderdelen brandstofsysteem niet veilig / ondeugdelijk beves,04/01/2017 12:00:00 AM,
085,20170401,,,5.*.9,Brandstofsysteem vertoont geringe lekkage,04/01/2017 12:00:00 AM,
08A,20170401,20170402,,5.*.55,Lichten en/of retroreflectie ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
090,20170401,,,5.*.10,LPG-tank heeft deuk(en),04/01/2017 12:00:00 AM,
091,20170401,,,5.*.10,LPG-tank in motorruimte,04/01/2017 12:00:00 AM,
092,20170401,,,5.*.10,LPG-tank niet permanent aangebracht,04/01/2017 12:00:00 AM,
093,20170401,,,5.*.10,LPG-tank vertoont overmatige corrosie,04/01/2017 12:00:00 AM,
094,20170401,,,5.*.10,Andere verbruikers op LPG-installatie aangesloten,04/01/2017 12:00:00 AM,
095,20170401,,,5.*.10,Gasdichte behuizing LPG mondt niet uit in buitenlucht,04/01/2017 12:00:00 AM,
096,20170401,,,5.*.10,Gasdichte behuizing LPG ontbreekt of ondeugdelijk,04/01/2017 12:00:00 AM,
097,20170401,,,5.*.10,Gasvoerende slangen LPG zichtbaar beschadigd,04/01/2017 12:00:00 AM,
098,20170401,,,5.*.10,Leidingen LPG geknikt of door corrosie aangetast,04/01/2017 12:00:00 AM,
099,20170401,,,5.*.10,LPG lekkage,04/01/2017 12:00:00 AM,
09A,20170401,20170402,,5.*.55,Glas gerepareerd/bewerkt,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
100,20170401,,,5.*.10,LPG-onderdeel vertoont overmatige corrosie,04/01/2017 12:00:00 AM,
101,20170401,,,5.*.10,Vulaansluiting LPG niet voorzien van stofkap,04/01/2017 12:00:00 AM,
102,20170401,,,5.*.10,Vulaansluiting LPG onjuist geplaatst,04/01/2017 12:00:00 AM,
103,20170401,,,5.*.10a,CNG-/LNG- tank heeft deuk(en),04/01/2017 12:00:00 AM,
104,20170401,,,5.*.10a,CNG-/LNG- tank in motorruimte,04/01/2017 12:00:00 AM,
105,20170401,,,5.*.10a,CNG-/LNG- tank niet permanent aangebracht,04/01/2017 12:00:00 AM,
106,20170401,,,5.*.10a,Andere verbruikers op CNG-/LNG- installatie aangesloten,04/01/2017 12:00:00 AM,
108,20170401,,,5.*.10a,Gasvoerende slangen CNG/LNG zichtbaar beschadigd,04/01/2017 12:00:00 AM,
109,20170401,,,5.*.10a,Leidingen of gasvoerende slangen CNG/LNG geknikt,04/01/2017 12:00:00 AM,
10A,20170401,20170402,,5.*.55,Lichtoppervlak >25% afgenomen (bij meerdere lichtbronnen),04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
111,20170401,,,5.*.10a,Overmatige corrosie/ernstige beschadigingen CNG-/ LNG- onder,04/01/2017 12:00:00 AM,
112,20170401,,,5.*.10a,Vulaansluiting CNG/LNG niet voorzien van stofkap,04/01/2017 12:00:00 AM,
113,20170401,,,5.*.11,Geluidsniveau hoger dan toegestaan,04/01/2017 12:00:00 AM,
115,20170401,,,5.*.11,Uitlaatsysteem niet gasdicht / onveilige afvoer uitlaatgasse,04/01/2017 12:00:00 AM,
116,20170401,,,5.*.11,Uitlaatsysteem niet over gehele lengte gasdicht,04/01/2017 12:00:00 AM,
117,20170401,,,5.*.11,Uitlaatsysteem ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
119,20180519,,,5.*.11a,Overmatige vloeistoflekkage overige vloeistoffen,05/19/2018 12:00:00 AM,
11A,20170401,20170402,,5.*.55,Asymmetrische plaatsing lichten/retroreflectie t.o.v. midden,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
122,20170401,,,5.*.11,CO meer dan wettelijk toegestaan,04/01/2017 12:00:00 AM,
123,20170401,,,5.*.11,CO > 2x wettelijk toegestaan,04/01/2017 12:00:00 AM,
124,20170401,,,5.*.11,Emissiebestrijdingssysteem niet compleet,04/01/2017 12:00:00 AM,
125,20170401,20180520,,5.*.11,EOBD-systeem bevat emissiegerelateerde fouten,04/01/2017 12:00:00 AM,05/20/2018 12:00:00 AM
126,20170401,20180520,,5.*.11,EOBD-waarschuwingsinrichting functioneert niet/niet aanwezig,04/01/2017 12:00:00 AM,05/20/2018 12:00:00 AM
127,20170401,20180520,,5.*.11,"EOBD-waarschuwingsinrichting, status niet overeenkomstig uit",04/01/2017 12:00:00 AM,05/20/2018 12:00:00 AM
128,20170401,,,5.*.11,Lambdawaarde wijkt af,04/01/2017 12:00:00 AM,
129,20170401,,,5.*.11,Voorgeschreven toerental niet in te stellen of wijkt af,04/01/2017 12:00:00 AM,
12A,20170401,20170402,,5.*.55,Schakelaar ondeugdelijk,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
130,20170401,,,5.*.11,CO% te hoog (<=2x wettelijke toegestane waarde),04/01/2017 12:00:00 AM,
131,20170401,,,5.*.11,CO% veel te hoog(> 2x wettelijke toegestane waarde),04/01/2017 12:00:00 AM,
132,20170401,,,5.*.11,CO% bij verhoogd toerental te hoog  (<=2x toegestane waarde),04/01/2017 12:00:00 AM,
135,20170401,,,5.*.11,Emissiebestrijdingssysteem niet compleet,04/01/2017 12:00:00 AM,
136,20170401,,,5.*.11,"Lambdawaarde wijkt af > 0,5 en <=1,5 wettelijke toegestane w",04/01/2017 12:00:00 AM,
137,20170401,,,5.*.11,"Lambdawaarde wijkt af <=0,5 en > 1,5 wettelijke toegestane w",04/01/2017 12:00:00 AM,
138,20170401,,,5.*.11,Absorptiecoefficient te hoog,04/01/2017 12:00:00 AM,
139,20170401,,,5.*.11,Absorptiecoefficient <=100% te hoog,04/01/2017 12:00:00 AM,
13A,20170401,20170402,,5.*.55,Licht -/retroreflector afgeschermd,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
140,20180519,,,5.*.11,Roetfilter niet aanwezig of duidelijk defect,05/19/2018 12:00:00 AM,
141,20230101,,,5.*.11,"Roetfilter werkt niet goed, aantal deeltjes meer dan toegest",01/01/2023 12:00:00 AM,
142,20170401,20180520,,5.*.11,EOBD-waarschuwingsinrichting functioneert niet/niet aanwezig,04/01/2017 12:00:00 AM,05/20/2018 12:00:00 AM
143,20170401,20180520,,5.*.11,"EOBD-waarschuwingsinrichting, status niet overeenkomstig uit",04/01/2017 12:00:00 AM,05/20/2018 12:00:00 AM
144,20170401,,,5.*.11,Voorgeschreven toerental niet in te stellen of wijkt af,04/01/2017 12:00:00 AM,
145,20170401,,,5.*.12,Accu ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
146,20170401,,,5.*.12,Bedrading niet goed geïsoleerd,04/01/2017 12:00:00 AM,
147,20170401,,,5.*.12,Bedrading ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
148,20170401,,,5.*.12a,Elektrische aandrijflijn niet goed afgeschermd,04/01/2017 12:00:00 AM,
149,20170401,,,5.*.12a,"Gevaarlijke situatie, elektrische aandrijflijn beschadigd",04/01/2017 12:00:00 AM,
14A,20170401,20170402,,5.*.61,Lichten/lichtsignalen/retroreflectie niet juist aangebracht,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
150,20170401,,,5.*.12a,Onderdeel elektrische aandrijflijn beschadigd,04/01/2017 12:00:00 AM,
151,20170401,,,5.*.12a,Onderdeel elektrische aandrijflijn niet goed geisoleerd,04/01/2017 12:00:00 AM,
152,20170401,,,5.*.12a,Onderdeel elektrische aandrijflijn ondeugdelijk,04/01/2017 12:00:00 AM,
153,20170401,,,5.*.12a,Onderdeel elektrische aandrijflijn ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
154,20170401,,,5.*.12a,Onderdeel elektrische aandrijflijn vertoont lekkage,04/01/2017 12:00:00 AM,
155,20170401,,,5.*.13,Motorsteunen ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
156,20170401,,,5.*.13,"Motorsteunbout, -moer ondeugdelijk bevestigd",04/01/2017 12:00:00 AM,
157,20170401,,,5.*.13,Motorsteun ernstig beschadigd,04/01/2017 12:00:00 AM,
158,20170401,,,5.*.13,Motorsteunrubber doorgescheurd/vulkanisatie geheel los,04/01/2017 12:00:00 AM,
15A,20170401,20170402,,GR1,Afkeurpunt met gradatie 1,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
167,20170401,,,5.*.15,Snelheidsmeter ontbreekt,04/01/2017 12:00:00 AM,
168,20170401,,,5.*.15,Bandomtrek volgens installatieplaatje onjuist,04/01/2017 12:00:00 AM,
169,20170401,,,5.*.15,Geldigheidsduur tachograaf verstreken,04/01/2017 12:00:00 AM,
16A,20170401,20170402,,GR2,Afkeurpunt met gradatie 2,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
170,20170401,,,5.*.15,Installatieplaatje tachograaf niet volgens voorschriften,04/01/2017 12:00:00 AM,
171,20170401,,,5.*.15,Verzegeling tachograaf niet intact of ontbreekt,04/01/2017 12:00:00 AM,
172,20170401,,,5.*.15,Installatieplaatje snelheidsbegrenzer niet volgens voorschri,04/01/2017 12:00:00 AM,
173,20170401,,,5.*.15,Snelheidsbegrenzer niet aanwezig,04/01/2017 12:00:00 AM,
174,20170401,,,5.*.15,Verzegeling snelheidsbegrenzer niet intact of ontbreekt,04/01/2017 12:00:00 AM,
175,20170401,,,5.*.16,Aandrijving ondeugdelijk,04/01/2017 12:00:00 AM,
176,20170401,,,5.*.16,Bevestiging aandrijving ondeugdelijk,04/01/2017 12:00:00 AM,
177,20170401,,,5.*.16,Stofhoes aandrijfas ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
178,20170401,,,5.*.16,Stofhoes aandrijfas beschadigd en dicht niet af,04/01/2017 12:00:00 AM,
179,20170401,,,5.*.18,As of wielgeleidingselement ondeugdelijk,04/01/2017 12:00:00 AM,
17A,20170401,20170402,,GR3,Afkeurpunt met gradatie 3,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
180,20170401,,,5.*.18,As of wielgeleidingselement ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
181,20170401,,,5.*.18,Doorgeroest wielgeleidingselement gerepareerd,04/01/2017 12:00:00 AM,
182,20170401,,,5.*.18,"Roestschade as, wielgeleidingselement of reactiestang",04/01/2017 12:00:00 AM,
183,20170401,,,5.*.18,Veerstrop as zit los,04/01/2017 12:00:00 AM,
184,20170401,,,5.*.19,Draaipunt onafhankelijke wielophanging te veel speling,04/01/2017 12:00:00 AM,
185,20170401,,,5.*.19,Fusee(kogel) ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
186,20170401,,,5.*.19,Fusee(kogel) te veel speling,04/01/2017 12:00:00 AM,
187,20170401,,,5.*.19,Fuseekogel of fuseekogelhuis vertoont corrosie,04/01/2017 12:00:00 AM,
188,20170401,,,5.*.19,Stofhoes fuseekogel beschadigd en dicht niet af,04/01/2017 12:00:00 AM,
189,20170401,,,5.*.19,Stofhoes fuseekogel ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
18A,20170401,20170402,,GR4,Afkeurpunt met gradatie 4,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
190,20170401,,,5.*.20,Slijtage/beschadiging wiellager hoorbaar of voelbaar,04/01/2017 12:00:00 AM,
191,20170401,,,5.*.20,Wiellager te veel speling,04/01/2017 12:00:00 AM,
192,20170401,,,5.*.21,Verschil wielbasis tussen links-rechts te groot,04/01/2017 12:00:00 AM,
193,20170401,20180520,,5.*.21,Verschil wielbasis tussen links-rechts meer dan 3cm,04/01/2017 12:00:00 AM,05/20/2018 12:00:00 AM
194,20170401,,,5.*.22,Verschil recht of kruislings te groot,04/01/2017 12:00:00 AM,
195,20170401,,,5.*.24,Wiel of velg ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
196,20170401,,,5.*.24,Een wielbout/-moer ondeugdelijk (bevestigd),04/01/2017 12:00:00 AM,
197,20170401,,,5.*.24,Wiel of velg ondeugdelijk,04/01/2017 12:00:00 AM,
198,20170401,,,5.*.24,"Wiel of velg ernstig beschadigd, vervormd of gecorrodeerd",04/01/2017 12:00:00 AM,
199,20170401,,,5.*.25,Wielnaaf ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
200,20170401,,,5.*.26,"Stabilisator ondeugdelijk bevestigd, gebroken of gescheurd",04/01/2017 12:00:00 AM,
203,20170401,,,5.*.27,Band beschadigd,04/01/2017 12:00:00 AM,
204,20170401,,,5.*.27,Band ernstig beschadigd,04/01/2017 12:00:00 AM,
205,20170401,,,5.*.27,Band onvoldoende profiel,04/01/2017 12:00:00 AM,
206,20170401,,,5.*.27,"Band onvoldoende profiel (< 1,4 mm)",04/01/2017 12:00:00 AM,
207,20170401,,,5.*.27,Band vertoont uitstulping(en),04/01/2017 12:00:00 AM,
208,20170401,,,5.*.27,"Bandenspanning niet op juiste waarde (> 0,5 bar afwijking)",04/01/2017 12:00:00 AM,
209,20170401,,,5.*.27,"Bandenspanning op 1 as niet gelijk (> 0,5 bar verschil)",04/01/2017 12:00:00 AM,
210,20170401,,,5.*.27,Bandenspanning niet op juiste waarde,04/01/2017 12:00:00 AM,
211,20170401,,,5.*.27,Bandenspanning op 1 as niet gelijk,04/01/2017 12:00:00 AM,
212,20180519,,,5.*.27,Waarschuwingsinrichting controlesysteem bandenspanning geeft,05/19/2018 12:00:00 AM,
213,20170401,,,5.*.27,Montage band niet volgens voorschriften,04/01/2017 12:00:00 AM,
214,20170401,,,5.*.27,Band is onterecht nageprofileerd,04/01/2017 12:00:00 AM,
215,20170401,,,5.*.27,Banden op 1 as niet voorzien van dezelfde maataanduiding,04/01/2017 12:00:00 AM,
216,20170401,,,5.*.27,Loadindex band kleiner dan maximum aslast,04/01/2017 12:00:00 AM,
217,20170401,,,5.*.27,Loadindex band niet vast te stellen,04/01/2017 12:00:00 AM,
218,20170401,,,5.*.27,Nood- of reservewiel gemonteerd,04/01/2017 12:00:00 AM,
220,20170401,,,5.*.28,Doorgeroeste veerschotel gerepareerd,04/01/2017 12:00:00 AM,
221,20170401,,,5.*.28,Roestschade onderdeel veersysteem,04/01/2017 12:00:00 AM,
222,20170401,,,5.*.28,Roestschade veerschotel,04/01/2017 12:00:00 AM,
223,20170401,,,5.*.28,Veer gebroken/gescheurd/kans op vervolgschade of losraken,04/01/2017 12:00:00 AM,
224,20170401,,,5.*.28,Veer gebroken of gescheurd,04/01/2017 12:00:00 AM,
225,20170401,,,5.*.28,"Veerschotel, -hand gescheurd",04/01/2017 12:00:00 AM,
226,20170401,,,5.*.28,Onderdeel veersysteem ondeugdelijk (bevestigd),04/01/2017 12:00:00 AM,
227,20170401,,,5.*.28,Veerbevestiging ondeugdelijk,04/01/2017 12:00:00 AM,
228,20170401,,,5.*.28,Veerbevestiging ondeugdelijk/kans op vervolgschade/losraken,04/01/2017 12:00:00 AM,
229,20170401,,,5.*.28,Veerhand beschadigd,04/01/2017 12:00:00 AM,
230,20170401,,,5.*.28,Werking veersysteem ondeugdelijk,04/01/2017 12:00:00 AM,
231,20990101,,,5.*.28,Ernstige luchtlekkage gasveersysteem,01/01/2099 12:00:00 AM,
232,20170401,,,5.*.28,Gasveerbevestiging ondeugdelijk,04/01/2017 12:00:00 AM,
234,20170401,,,5.*.28,Koordlagen van luchtveerbalg beschadigd,04/01/2017 12:00:00 AM,
235,20170401,,,5.*.28,Onderdeel gasveersysteem ondeugdelijk (bevestigd),04/01/2017 12:00:00 AM,
236,20170401,,,5.*.28,Roestschade onderdeel gasveersysteem,04/01/2017 12:00:00 AM,
237,20170401,,,5.*.28,"Veerschotel, -hand gasveersysteem gescheurd",04/01/2017 12:00:00 AM,
238,20170401,,,5.*.28,Werking gasveersysteem ondeugdelijk,04/01/2017 12:00:00 AM,
239,20170401,,,5.*.28,Schokdemper ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
240,20170401,,,5.*.28,Schokdemper niet aanwezig,04/01/2017 12:00:00 AM,
241,20170401,,,5.*.28,Schokdemper werkt niet (goed),04/01/2017 12:00:00 AM,
242,20170401,,,5.*.29,Onderdeel stuurinrichting ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
243,20170401,,,5.*.29,Eén van meerdere bevestigingsbouten/-moeren stuurinrichting,04/01/2017 12:00:00 AM,
244,20170401,,,5.*.29,Flexibele koppeling gescheurd/vulkanisatie los,04/01/2017 12:00:00 AM,
245,20170401,,,5.*.29,Onderdeel stuurinrichting vervormd,04/01/2017 12:00:00 AM,
246,20170401,,,5.*.29,Onderdeel stuurinrichting ernstig vervormd,04/01/2017 12:00:00 AM,
247,20170401,,,5.*.29,Onderdeel stuurinrichting gebroken of gescheurd,04/01/2017 12:00:00 AM,
248,20170401,,,5.*.29,Onderdeel stuurinrichting niet geborgd,04/01/2017 12:00:00 AM,
249,20170401,,,5.*.29,Stuurkogel(huis) door corrosie aangetast,04/01/2017 12:00:00 AM,
250,20170401,,,5.*.29,"Stofhoes stuurinrichting beschadigd, dicht niet af",04/01/2017 12:00:00 AM,
251,20170401,,,5.*.29,Stofhoes stuurinrichting ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
252,20170401,,,5.*.29,Band of wiel loopt aan in uiterste stuurstand,04/01/2017 12:00:00 AM,
253,20170401,,,5.*.29,Weerstand bij draaiing stuurwiel voelbaar,04/01/2017 12:00:00 AM,
254,20170401,,,5.*.29,Wielen reageren niet goed op draaiing stuurwiel,04/01/2017 12:00:00 AM,
255,20170401,,,5.*.29,Onderdeel stuurbekrachtiger ernstige lekkage,04/01/2017 12:00:00 AM,
256,20170401,,,5.*.29,Slang stuurbekrachtiger beschadigd,04/01/2017 12:00:00 AM,
257,20170401,,,5.*.29,Slang stuurbekrachtiger raakt bewegend deel,04/01/2017 12:00:00 AM,
258,20170401,,,5.*.29,Stuurbekrachtiger functioneert niet (goed),04/01/2017 12:00:00 AM,
259,20170401,,,5.*.29,Stuurkogel te veel speling,04/01/2017 12:00:00 AM,
260,20170401,,,5.*.29,"Stuurkogel te veel speling, kans op losraken",04/01/2017 12:00:00 AM,
261,20170401,,,5.*.29,Verbinding stangenstelsel stuurinrichting te veel speling,04/01/2017 12:00:00 AM,
262,20180520,,,5.*.26,Waarschuwingsinrichting stabiliteitscontrolesysteem geeft de,05/20/2018 12:00:00 AM,
263,20180520,,,5.*.29,Waarschuwingsinrichting elektronische stuurbekrachtiging gee,05/20/2018 12:00:00 AM,
264,20170401,,,5.*.29,Gestuurde wielen reageren niet goed op trekkend voertuig,04/01/2017 12:00:00 AM,
265,20170401,,,5.*.29,Hydraulisch besturingssysteem lekt,04/01/2017 12:00:00 AM,
266,20170401,,,5.*.29,Slang besturingssysteem beschadigd,04/01/2017 12:00:00 AM,
267,20170401,,,5.*.29,Slang besturingssysteem raakt bewegend deel,04/01/2017 12:00:00 AM,
268,20170401,,,5.*.30,Balhoofdlagering zichtbare speling,04/01/2017 12:00:00 AM,
269,20170401,,,5.*.30,Voorvork heeft zwaar punt bij verdraaien,04/01/2017 12:00:00 AM,
270,20170401,,,5.*.30,Draaikrans ondeugdelijk bevestigd of geborgd,04/01/2017 12:00:00 AM,
271,20170401,,,5.*.30,Draaikransdelen ingesleten / te veel speling,04/01/2017 12:00:00 AM,
272,20170401,,,5.*.30,Een draaikransbout los,04/01/2017 12:00:00 AM,
273,20170401,,,5.*.30,Roestschade ondersteuningsprofielen draaikrans,04/01/2017 12:00:00 AM,
274,20170401,,,5.*.30,Roestschade >50 % van ondersteuningsprofiel draaikrans,04/01/2017 12:00:00 AM,
277,20170401,,,5.*.31,Borging remonderdelen ontbreekt,04/01/2017 12:00:00 AM,
278,20170401,,,5.*.31,"Hoofdcilinder werkt niet juist/zit los, rem werkt nog",04/01/2017 12:00:00 AM,
279,20170401,,,5.*.31,Hoofdcilinder zit los,04/01/2017 12:00:00 AM,
280,20170401,,,5.*.31,"Onderdeel reminrichting beschadigd, gescheurd of gebroken",04/01/2017 12:00:00 AM,
281,20170401,,,5.*.31,Onderdeel reminrichting niet juist bevestigd,04/01/2017 12:00:00 AM,
282,20170401,,,5.*.31,Onderdeel reminrichting ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
283,20170401,,,5.*.31,Remonderdelen te veel gecorrodeerd,04/01/2017 12:00:00 AM,
284,20170401,,,5.*.31,Rempedaal niet stroef,04/01/2017 12:00:00 AM,
