index,jaar,fase,verantwoordelijk_minister,hoofdstuk_naam,hoofdstuk_nummer,artikel_naam,artikel_nummer,beleid_of_niet_beleid,rbv_model,artikelonderdeel_naam,artikelonderdeel_nummer,instrument_of_uitsplitsing_apparaat_naam,instrument_of_uitsplitsing_apparaat_nummer,regeling_detailniveau_naam,regeling_detailniveau_nummer,vuo,bedrag
XV.6.35236.0.0.V,2020,OWB,"W. Koolmees","Sociale Zaken en Werkgelegenheid",XV,"Ziekte en zwangerschap",6,,,,35236,0,0,,,V,0
XVI.1.26420.1.332420.U,2020,OWB,"Hugo de Jonge (Minister van Volksgezondheid, Welzijn en Sport) en Bruno Bruins (Minister voor Medische Zorg en Sport)","Volksgezondheid, Welzijn en Sport",XVI,Volksgezondheid,1,,,"2. Ziektepreventie",26420,"Subsidies (regelingen)",1,Bevolkingsonderzoeken,332420,U,0
XIII.40.35236.16.332421.U,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Apparaatsuitgaven Kerndepartement",40,,,,35236,"Materiële uitgaven",16,SSO's,332421,U,0
XVII.2.45641.10.332422.U,2020,OWB,"S.A.M. Kaag","Buitenlandse Handel & Ontwikkelingssamenwerking",XVII,"Duurzame ontwikkeling, voedselzekerheid, water en klimaat",2,,,"2.3 Klimaat",45641,"Bijdrage aan (inter-)nationale organisaties",10,"Contributie IZA/IZT",332422,U,0
XII.23.46583.10.332423.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,"Meteorologie, seismologie en aardobservatie",23,,,"1 Meteorologie en seismologie",46583,"Bijdrage aan (inter-)nationale organisaties",10,"Contributie World Meteorological Organization (HGIS)",332423,U,0
XVII.1.25506.0.0.O,2020,OWB,"S.A.M. Kaag","Buitenlandse Handel & Ontwikkelingssamenwerking",XVII,"Duurzame economische ontwikkeling,handel en investeringen",1,,,"Ontvangsten duurzame economische ontwikkeling, handel en investeringen",25506,0,0,,,O,0
VII.1.45863.7.332424.U,2020,OWB,"K.H. Ollongren","Binnenlandse Zaken en Koninkrijksrelaties",VII,"Openbaar bestuur en democratie",1,,,"1.1 Bestuur en regio",45863,"Bijdrage aan agentschappen",7,RVB,332424,U,0
IIB.3.35236.16.0.U,2020,OWB,"K.H. Ollongren","Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",IIB,"De Nationale ombudsman",3,,,,35236,"Materiële uitgaven",16,,,U,0
XV.7.35236.0.332425.O,2020,OWB,"W. Koolmees","Sociale Zaken en Werkgelegenheid",XV,Kinderopvang,7,,,,35236,0,0,"Restituties terugontvangsten",332425,O,0
XIII.4.35236.9.332426.U,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Een doelmatige energievoorziening en beperking van de klimaatverandering",4,,,,35236,"Bijdrage aan medeoverheden",9,Uitkoopregeling,332426,U,0
XIII.5.35236.0.0.O,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Een veilig Groningen met perspectief",5,,,,35236,0,0,,,O,0
XIII.4.35236.8.332427.U,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Een doelmatige energievoorziening en beperking van de klimaatverandering",4,,,,35236,"Bijdrage aan ZBOs/RWTs",8,"Doorsluis COVA-heffing",332427,U,0
V.6.35236.0.0.V,2020,OWB,S.A.Blok,"Buitenlandse Zaken",V,"Nog onverdeeld",6,,,,35236,0,0,,,V,0
VII.1.45863.9.332428.U,2020,OWB,"K.H. Ollongren","Binnenlandse Zaken en Koninkrijksrelaties",VII,"Openbaar bestuur en democratie",1,,,"1.1 Bestuur en regio",45863,"Bijdrage aan medeoverheden",9,"Lokale culturele voorzieningen",332428,U,0
VII.3.46124.7.332429.U,2020,OWB,"K.H. Ollongren","Binnenlandse Zaken en Koninkrijksrelaties",VII,Woningmarkt,3,,,"3.3 Woningbouw",46124,"Bijdrage aan agentschappen",7,Woningbouwimpuls,332429,U,0
XII.17.25171.1.332430.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,Luchtvaart,17,,,Luchtvaart,25171,"Subsidies (regelingen)",1,"Overige subsidies",332430,U,0
XVI.1.26419.1.332431.U,2020,OWB,"Hugo de Jonge (Minister van Volksgezondheid, Welzijn en Sport) en Bruno Bruins (Minister voor Medische Zorg en Sport)","Volksgezondheid, Welzijn en Sport",XVI,Volksgezondheid,1,,,"4. Ethiek",26419,"Subsidies (regelingen)",1,"Medische Ethiek",332431,U,0
V.7.35236.15.332432.U,2020,OWB,S.A.Blok,"Buitenlandse Zaken",V,Apparaat,7,,,,35236,"Personele uitgaven",15,"Externe inhuur",332432,U,0
XII.16.46581.7.332433.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,"Openbaar vervoer en spoor",16,,,"1 Spoor",46581,"Bijdrage aan agentschappen",7,RVO,332433,U,0
VII.3.24887.0.0.O,2020,OWB,"K.H. Ollongren","Binnenlandse Zaken en Koninkrijksrelaties",VII,Woningmarkt,3,,,Ontvangsten,24887,0,0,,,O,0
XVI.1.26418.1.332434.U,2020,OWB,"Hugo de Jonge (Minister van Volksgezondheid, Welzijn en Sport) en Bruno Bruins (Minister voor Medische Zorg en Sport)","Volksgezondheid, Welzijn en Sport",XVI,Volksgezondheid,1,,,"1. Gezondheidsbeleid",26418,"Subsidies (regelingen)",1,"(Lokaal) gezondheidsbeleid",332434,U,0
IIA.1.24887.0.0.O,2020,OWB,"K.H. Ollongren",Staten-Generaal,IIA,"Wetgeving en controle EK",1,,,Ontvangsten,24887,0,0,,,O,0
XVI.1.26421.1.332435.U,2020,OWB,"Hugo de Jonge (Minister van Volksgezondheid, Welzijn en Sport) en Bruno Bruins (Minister voor Medische Zorg en Sport)","Volksgezondheid, Welzijn en Sport",XVI,Volksgezondheid,1,,,"3. Gezondheidsbevordering",26421,"Subsidies (regelingen)",1,"Bevordering van seksuele gezondheid",332435,U,0
XVII.1.45723.6.332436.U,2020,OWB,"S.A.M. Kaag","Buitenlandse Handel & Ontwikkelingssamenwerking",XVII,"Duurzame economische ontwikkeling,handel en investeringen",1,,,"1.3 Versterkte private sector en arbeidsmarkt in ontwikkelingslanden",45723,Opdrachten,6,(Jeugd)werkgelegenheid,332436,U,0
A.12.46585.7.332437.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga",Infrastructuurfonds,A,Hoofdwegennet,12,,,"12.02 Beheer, onderhoud en vervanging",46585,"Bijdrage aan agentschappen",7,RWS,332437,U,0
V.4.25480.6.332438.U,2020,OWB,S.A.Blok,"Buitenlandse Zaken",V,"Consulaire dienstverlening en uitdragen Nederlandse waarden",4,,,"Uitdragen Nederlandse waarden en belangen",25480,Opdrachten,6,"Programma ondersteuning buitenlands beleid",332438,U,0
XVII.1.45723.1.332439.U,2020,OWB,"S.A.M. Kaag","Buitenlandse Handel & Ontwikkelingssamenwerking",XVII,"Duurzame economische ontwikkeling,handel en investeringen",1,,,"1.3 Versterkte private sector en arbeidsmarkt in ontwikkelingslanden",45723,"Subsidies (regelingen)",1,Infrastructuurontwikkeling,332439,U,0
XVII.1.46586.1.332440.U,2020,OWB,"S.A.M. Kaag","Buitenlandse Handel & Ontwikkelingssamenwerking",XVII,"Duurzame economische ontwikkeling,handel en investeringen",1,,,"1.2 Versterkte Nederlandse handels- en investeringspositie",46586,"Subsidies (regelingen)",1,"Invest Internationaal",332440,U,0
V.4.25481.6.332441.U,2020,OWB,S.A.Blok,"Buitenlandse Zaken",V,"Consulaire dienstverlening en uitdragen Nederlandse waarden",4,,,"Samen met (keten) partners het personenverkeer reguleren",25481,Opdrachten,6,Ambtsberichtenonderzoek,332441,U,0
XII.21.25183.1.332442.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,Duurzaamheid,21,,,"Duurzame productketens",25183,"Subsidies (regelingen)",1,"Subsidie duurzame productketens",332442,U,0
III.1.35236.0.0.O,2020,OWB,"Rutte, M.","Algemene Zaken",III,"Eenheid van het algemeeen regeringsbeleid",1,,,,35236,0,0,,,O,0
XVII.1.46586.3.332443.U,2020,OWB,"S.A.M. Kaag","Buitenlandse Handel & Ontwikkelingssamenwerking",XVII,"Duurzame economische ontwikkeling,handel en investeringen",1,,,"1.2 Versterkte Nederlandse handels- en investeringspositie",46586,Garanties,3,"Dutch Trade and Investment Fund",332443,U,0
