woonplaats;wijk;buurt;periode;aantal_ritten_in_periode;aantal_passagiers_in_periode;aantal_kilometers_per_periode;gemiddeld_aantal_km_per_rit
Assendelft;Assendelft-Zuid;Centrum;201512;198;198;1968.90;9.9
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201612;39;41;194.10;5.0
Zaandam;Zaandam Zuid;Achtersluispolder;201703;2;2;28.50;14.3
Wormerveer;Wormerveer;Wormerveer Zuid;201703;133;136;1066.40;8.0
Wormerveer;Wormerveer;Industriebuurt;201808;2;;28.40;14.2
Wormerveer;Wormerveer;Wormerveer Noord;201708;341;343;2836.30;8.3
Zaandam;Zaandam Zuid;Achtersluispolder;201705;2;2;39.60;19.8
Wormerveer;Wormerveer;Wormerveer Zuid;201705;140;145;1255.70;9.0
Assendelft;Assendelft-Zuid;De Zuid;201509;39;39;473.40;12.1
Westzaan;Westzaan;Westzaan Zuid;201807;22;;160.40;7.3
Zaandam;Oude Haven;Russische buurt;201601;125;126;1214.00;9.7
Westzaan;Westzaan;J.J. Allanbuurt;201611;9;9;55.90;6.2
Krommenie;Krommenie West;Noorderham;201805;98;98;971.87;9.9
Krommenie;Krommenie Oost;Rosariumbuurt;201707;148;148;1375.50;9.3
Krommenie;Krommenie West;Willis;201607;6;6;50.50;8.4
Zaandam;Zaandam Noord;Kalf;201812;251;;2062.48;8.2
Zaandam;Nieuw West;Westerspoor;201805;61;61;484.06;7.9
Krommenie;Krommenie Oost;Rosariumbuurt;201507;139;141;1380.10;9.9
Zaandam;Oude Haven;Het Eiland;201610;183;183;1312.70;7.2
Zaandijk;Rooswijk;Rooswijk;201809;129;;1164.14;9.0
;;;201804;168;173;1978.87;11.8
Wormerveer;Wormerveer;Wormerveer Noord;201701;569;570;4615.90;8.1
Krommenie;Krommenie West;Willis;201901;12;;94.50;7.9
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201510;24;25;245.10;10.2
Zaandijk;Rooswijk;Rooswijk;201705;148;150;1206.70;8.2
Zaandam;Oude Haven;Het Eiland;201607;139;143;752.60;5.4
Westzaan;Westzaan;J.J. Allanbuurt;201706;10;10;61.20;6.1
Zaandam;Poelenburg;Poelenburg;201506;323;342;2589.90;8.0
Krommenie;Krommenie West;Zuiderham;201612;72;75;692.30;9.6
Wormerveer;Wormerveer;Wormerveer Zuid;201809;157;;1601.36;10.2
Zaandam;Kogerveldwijk;Kogerveld;201606;59;59;303.00;5.1
Zaandam;Zaandam Zuid;Achtersluispolder;201809;4;;49.40;12.4
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201601;61;64;593.20;9.7
Assendelft;Assendelft-Noord;Parkrijk;201712;120;120;1205.10;10.0
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201705;36;37;343.40;9.5
Westzaan;Westzaan;Westzaan Noord;201603;87;89;856.20;9.8
Westzaan;Westzaan;J.J. Allanbuurt;201508;8;8;62.70;7.8
Zaandam;Nieuw West;Westerspoor;201604;78;78;491.90;6.3
Assendelft;Assendelft-Noord;Waterrijk;201805;103;106;1183.40;11.5
Zaandam;Nieuw West;Westerwatering;201810;235;;1638.55;7.0
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201509;328;331;2070.60;6.3
Assendelft;Assendelft-Noord;Langeheit;201605;31;31;204.70;6.6
Zaandijk;Rooswijk;Rooswijk Noord;201504;201;204;1265.70;6.3
Zaandam;Zaandam Zuid;Bomenbuurt;201708;164;165;1080.20;6.6
Krommenie;Krommenie West;Noorderham;201801;89;91;767.82;8.6
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201703;264;264;2009.40;7.6
Zaandam;Oude Haven;Russische buurt;201811;152;;1648.98;10.8
Krommenie;Krommenie West;Krommeniedijk;201808;3;;55.90;18.6
Westzaan;Westzaan;Westzaan Noord;201709;87;87;823.50;9.5
Assendelft;Assendelft-Noord;Parkrijk;201705;104;106;1123.60;10.8
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201712;38;38;248.70;6.5
;;;201601;95;101;866.50;9.1
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201508;24;24;204.70;8.5
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201507;409;417;2957.80;7.2
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201706;152;152;1075.70;7.1
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201707;259;262;2253.40;8.7
Zaandam;Nieuw West;Westerwatering;201812;248;;1795.40;7.2
Zaandam;Zaandam Zuid;Bomenbuurt;201806;161;166;1324.90;8.2
Zaandam;Zaandam West;Spoorbuurt;201503;95;95;651.00;6.9
Zaandijk;Rooswijk;Rooswijk;201712;139;139;988.10;7.1
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201706;12;12;157.90;13.2
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201508;207;210;1114.70;5.4
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201704;60;61;533.20;8.9
Westzaan;Westzaan;Westzaan Noord;201710;113;113;867.60;7.7
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201502;398;401;2785.00;7.0
Zaandam;Zaandam Zuid;Bomenbuurt;201701;95;95;565.90;6.0
Assendelft;Assendelft-Noord;Waterrijk;201605;68;69;845.70;12.4
Zaandam;Oude Haven;Russische buurt;201804;88;89;759.38;8.6
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201609;67;69;750.30;11.2
Zaandam;Nieuw West;Westerspoor;201801;65;65;504.50;7.8
Assendelft;Assendelft-Noord;Langeheit;201805;64;64;433.78;6.8
Krommenie;Krommenie Oost;Rosariumbuurt;201509;187;190;1544.10;8.3
Zaandam;Oude Haven;Russische buurt;201704;66;67;615.40;9.3
Zaandijk;Oud Zaandijk;Oud Zaandijk;201701;113;113;616.30;5.5
Westzaan;Westzaan;J.J. Allanbuurt;201510;13;13;112.40;8.6
Zaandam;Oude Haven;Havenbuurt;201501;2;2;3.40;1.7
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201804;92;92;665.90;7.2
Krommenie;Krommenie West;Krommeniedijk;201608;10;10;59.50;6.0
Krommenie;Krommenie West;Krommeniedijk;201711;2;2;7.30;3.7
Zaandam;Oude Haven;Havenbuurt;201512;29;29;213.70;7.4
Zaandam;Oude Haven;Russische buurt;201609;113;119;1188.90;10.5
Zaandam;Zaandam Noord;Kalf;201810;265;;2186.69;8.3
Zaandam;Zaandam West;Spoorbuurt;201709;37;37;466.30;12.6
Zaandam;Pelders- en Hoornseveld;Peldersveld;201606;157;161;996.10;6.3
Zaandam;Zaandam West;Oud West;201502;230;232;1162.60;5.1
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201611;205;209;1134.70;5.5
Westzaan;Westzaan;Westzaan Noord;201503;166;167;1279.80;7.7
Assendelft;Assendelft-Zuid;De Zuid;201502;46;46;535.30;11.6
Zaandam;Poelenburg;Poelenburg;201602;334;342;2556.90;7.7
Krommenie;Krommenie West;Noorderham;201605;49;49;532.80;10.9
Assendelft;Assendelft-Noord;Langeheit;201604;39;39;165.80;4.3
Westknollendam;Wormerveer;Industriebuurt;201807;2;;31.80;15.9
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201611;37;37;373.70;10.1
Westzaan;Westzaan;Westzaan Zuid;201803;36;36;297.60;8.3
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201612;231;242;1597.50;6.9
Zaandam;Nieuw West;Westerspoor;201605;121;124;949.20;7.8
Zaandijk;Oud Zaandijk;Oud Zaandijk;201806;158;163;1420.40;9.0
Assendelft;Assendelft-Noord;Waterrijk;201801;79;79;761.40;9.6
Zaandam;Zaandam West;Oud West;201707;215;215;1461.40;6.8
Zaandam;Rosmolenwijk;Rosmolenbuurt;201506;510;512;3248.10;6.4
Assendelft;Assendelft-Zuid;De Zuid;201707;18;18;206.50;11.5
Westzaan;Westzaan;Westzaan Zuid;201902;21;;149.70;7.1
Zaandijk;Oud Zaandijk;Oud Zaandijk;201708;167;169;1187.00;7.1
Zaandam;Zaandam West;Spoorbuurt;201710;40;41;468.90;11.7
Assendelft;Assendelft-Zuid;Centrum;201810;185;;1741.80;9.4
Koog aan de Zaan;Westerkoog;Westerkoog;201606;351;353;2744.30;7.8
Wormerveer;Wormerveer;Wormerveer Zuid;201712;163;175;1573.10;9.7
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201811;67;;476.10;7.1
Zaandam;Zaandam Noord;Zaanse Schans;201601;9;10;68.80;7.6
Assendelft;Assendelft-Noord;Parkrijk;201809;187;;1890.04;10.1
Zaandam;Zaandam West;Oud West;201507;163;163;1047.60;6.4
Assendelft;Assendelft-Zuid;De Zuid;201507;53;53;602.30;11.4
Assendelft;Assendelft-Noord;Parkrijk;201612;157;159;1720.60;11.0
Zaandam;Pelders- en Hoornseveld;Peldersveld;201511;229;231;1155.30;5.0
Zaandijk;Oud Zaandijk;Oud Zaandijk;201604;142;148;1025.50;7.2
Krommenie;Krommenie West;Zuiderham;201712;106;114;992.60;9.4
Assendelft;Assendelft-Noord;Langeheit;201806;57;57;378.90;6.6
Zaandam;Rosmolenwijk;Rosmolenbuurt;201508;401;408;2581.70;6.4
Zaandam;Oude Haven;Russische buurt;201902;121;;1369.40;11.3
Westzaan;Westzaan;Westzaan Noord;201702;60;60;559.20;9.3
Assendelft;Assendelft-Noord;Langeheit;201708;21;21;161.70;7.7
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201608;225;226;2272.20;10.1
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201711;174;177;1515.20;8.7
Krommenie;Krommenie West;Willis;201509;8;8;117.70;14.7
Zaandam;Zaandam Noord;Kalf;201505;242;250;2115.30;8.7
Zaandam;Oude Haven;Russische buurt;201803;113;114;1189.60;10.5
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201809;426;;2636.68;6.2
Assendelft;Assendelft-Zuid;De Zuid;201607;62;62;529.70;8.5
Koog aan de Zaan;Westerkoog;Westerkoog;201511;281;282;2087.70;7.4
Zaandam;Zaandam West;Oud West;201607;175;176;1267.60;7.2
Zaandam;Zaandam West;Spoorbuurt;201504;58;58;483.20;8.3
Assendelft;Assendelft-Noord;Langeheit;201701;47;47;320.20;6.8
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201610;321;325;2450.80;7.6
Assendelft;Assendelft-Zuid;Centrum;201505;165;165;1603.30;9.7
Zaandam;Zaandam Zuid;Bomenbuurt;201805;151;152;1216.29;8.1
Westzaan;Westzaan;J.J. Allanbuurt;201602;10;10;61.50;6.2
Zaandam;Oude Haven;Havenbuurt;201812;97;;471.30;4.9
Westzaan;Westzaan;Westzaan Noord;201802;140;143;1241.52;8.9
Assendelft;Assendelft-Zuid;De Zuid;201901;26;;221.10;8.5
Zaandam;Zaandam West;Oud West;201901;199;;1357.00;6.8
Zaandam;Poelenburg;Poelenburg;201510;370;375;2606.10;7.0
Zaandam;Kogerveldwijk;Kogerveld;201608;81;81;542.70;6.7
Westzaan;Westzaan;Westzaan Zuid;201609;16;16;133.00;8.3
Zaandam;Kogerveldwijk;Kogerveld;201711;104;105;576.90;5.5
Wormerveer;Wormerveer;Wormerveer Noord;201801;493;496;4550.29;9.2
Westzaan;Westzaan;Westzaan Zuid;201704;11;11;82.10;7.5
Zaandam;Rosmolenwijk;Rosmolenbuurt;201706;413;419;2634.90;6.4
Westknollendam;Wormerveer;Westknollendam;201511;4;4;31.70;7.9
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201607;320;322;2306.80;7.2
Westzaan;Westzaan;Westzaan Zuid;201804;57;57;447.30;7.8
Krommenie;Krommenie Oost;Snuiverbuurt;201712;152;152;1272.40;8.4
Zaandam;Zaandam West;Oud West;201610;258;258;2062.50;8.0
Assendelft;Assendelft-Zuid;De Zuid;201610;53;53;510.00;9.6
Zaandam;Zaandam West;Spoorbuurt;201702;43;45;392.20;9.1
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201506;242;242;1464.90;6.1
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201901;557;;3642.90;6.5
Zaandijk;Oud Zaandijk;Oud Zaandijk;201805;211;217;1351.80;6.4
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201808;180;;1670.14;9.3
Westzaan;Westzaan;Westzaan Noord;201504;160;161;1090.80;6.8
Assendelft;Assendelft-Noord;Parkrijk;201703;153;156;1683.60;11.0
;;;201807;78;;568.19;7.3
Wormerveer;Wormerveer;Wormerveer Noord;201605;572;577;5321.00;9.3
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201803;69;69;474.10;6.9
Zaandam;Zaandam West;Spoorbuurt;201802;47;47;357.60;7.6
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201506;35;42;233.50;6.7
Zaandam;Oude Haven;Het Eiland;201509;118;118;748.80;6.3
Zaandam;Nieuw West;Westerwatering;201512;216;221;1557.80;7.2
Zaandijk;Rooswijk;Rooswijk Noord;201603;186;190;1124.10;6.0
Zaandam;Kogerveldwijk;Kogerveld;201808;104;;547.04;5.3
Zaandam;Nieuw West;Westerwatering;201501;204;207;1630.40;8.0
Zaandam;Zaandam Zuid;Bomenbuurt;201604;133;133;783.00;5.9
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201705;241;247;1746.10;7.2
Westzaan;Westzaan;Westzaan Zuid;201811;26;;190.50;7.3
Zaandam;Rosmolenwijk;Rosmolenbuurt;201611;471;476;3654.00;7.8
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201902;88;;697.20;7.9
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201607;56;56;465.10;8.3
Zaandam;Zaandam West;Spoorbuurt;201508;94;98;632.00;6.7
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201503;29;33;200.30;6.9
Zaandam;Nieuw West;Westerwatering;201708;160;160;1160.00;7.3
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201511;51;51;542.00;10.6
Zaandam;Zaandam Zuid;Bomenbuurt;201812;142;;1108.80;7.8
Krommenie;Krommenie West;Noorderham;201505;92;92;1087.70;11.8
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201703;203;203;1874.80;9.2
Zaandam;Oude Haven;Havenbuurt;201805;92;92;468.50;5.1
Zaandam;Nieuw West;Westerwatering;201806;182;182;1642.79;9.0
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201901;122;;874.70;7.2
Zaandam;Oude Haven;Russische buurt;201610;109;111;1121.10;10.3
Krommenie;Krommenie Oost;Snuiverbuurt;201606;164;164;1365.30;8.3
Zaandijk;Rooswijk;Rooswijk Noord;201602;160;163;987.30;6.2
Zaandijk;Rooswijk;Rooswijk;201511;138;138;1017.70;7.4
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201803;512;516;3649.65;7.1
Zaandam;Nieuw West;Westerspoor;201505;102;104;649.20;6.4
Assendelft;Assendelft-Noord;Parkrijk;201808;130;;1468.26;11.3
Zaandam;Rosmolenwijk;Rosmolenbuurt;201504;532;534;3319.40;6.2
Westzaan;Westzaan;Westzaan Noord;201611;96;96;816.40;8.5
Zaandam;Oude Haven;Het Eiland;201601;151;151;1050.80;7.0
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201503;347;350;1825.20;5.3
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201902;525;;3969.10;7.6
Krommenie;Krommenie West;Krommeniedijk;201705;2;2;22.30;11.2
Zaandam;Zaandam West;Spoorbuurt;201706;68;69;674.50;9.9
Zaandam;Nieuw West;Westerwatering;201701;153;156;1100.70;7.2
Zaandam;Kogerveldwijk;Kogerveld;201703;51;51;230.50;4.5
Westzaan;Westzaan;J.J. Allanbuurt;201603;13;13;87.70;6.7
Westzaan;Westzaan;Westzaan Noord;201508;61;61;655.70;10.7
Krommenie;Krommenie West;Willis;201601;13;13;44.30;3.4
Zaandam;Oude Haven;Havenbuurt;201604;36;36;163.50;4.5
Assendelft;Assendelft-Zuid;De Zuid;201803;19;19;239.79;12.6
Zaandam;Zaandam West;Oud West;201803;263;268;2103.86;8.0
Westzaan;Westzaan;Westzaan Zuid;201507;17;17;132.60;7.8
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201709;51;51;422.80;8.3
Zaandam;Kogerveldwijk;Kogerveld;201612;85;85;521.90;6.1
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201710;147;148;814.80;5.5
Zaandam;Zaandam West;Oud West;201902;198;;1407.80;7.1
Westzaan;Westzaan;Westzaan Zuid;201707;20;20;171.30;8.6
Assendelft;Assendelft-Zuid;De Zuid;201902;24;;226.30;9.4
Krommenie;Krommenie West;Zuiderham;201606;144;146;1108.40;7.7
Zaandam;Rosmolenwijk;Rosmolenbuurt;201702;399;399;2324.60;5.8
Krommenie;Krommenie West;Krommeniedijk;201809;2;;17.90;9.0
Zaandam;Rosmolenwijk;Rosmolenbuurt;201802;421;426;2937.83;7.0
Assendelft;Assendelft-Noord;Parkrijk;201608;73;75;865.20;11.9
Assendelft;Assendelft-Noord;Parkrijk;201711;116;118;1390.20;12.0
Zaandijk;Oud Zaandijk;Oud Zaandijk;201812;236;;1684.91;7.1
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201709;123;123;713.70;5.8
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201710;54;54;446.80;8.3
Zaandam;Oude Haven;Russische buurt;201901;99;;1162.40;11.7
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201610;99;105;1087.40;11.0
Krommenie;Krommenie Oost;Rosariumbuurt;201807;157;;2122.31;13.5
Assendelft;Assendelft-Noord;Langeheit;201512;29;29;91.00;3.1
Assendelft;Assendelft-Noord;Langeheit;201501;25;25;91.20;3.6
Westzaan;Westzaan;Westzaan Noord;201706;66;66;753.30;11.4
Westzaan;Westzaan;Westzaan Zuid;201502;26;26;238.80;9.2
Wormerveer;Wormerveer;Wormerveer Zuid;201511;101;108;819.30;8.1
Wormerveer;Wormerveer;Wormerveer Noord;201810;604;;5296.69;8.8
Zaandam;Zaandam West;Spoorbuurt;201611;41;43;448.70;10.9
Zaandam;Oude Haven;Russische buurt;201607;131;141;1329.10;10.1
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201612;214;214;2337.20;10.9
Assendelft;Assendelft-Noord;Waterrijk;201505;44;44;524.80;11.9
Zaandam;Pelders- en Hoornseveld;Peldersveld;201712;253;259;1632.00;6.5
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201608;281;282;1932.00;6.9
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201711;352;352;2221.10;6.3
Assendelft;Assendelft-Noord;Langeheit;201812;77;;537.30;7.0
Zaandijk;Oud Zaandijk;Oud Zaandijk;201501;179;181;1203.70;6.7
Krommenie;Krommenie West;Zuiderham;201511;161;162;1266.80;7.9
Westzaan;Westzaan;Westzaan Zuid;201607;11;11;75.20;6.8
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201504;218;220;1493.90;6.9
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201804;548;550;3856.08;7.0
Zaandijk;Oud Zaandijk;Oud Zaandijk;201512;104;104;660.20;6.3
Zaandam;Zaandam Noord;Kalf;201801;221;221;1459.11;6.6
Zaandam;Oude Haven;Russische buurt;201502;204;204;1891.40;9.3
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201809;161;;1682.54;10.5
Zaandam;Oude Haven;Havenbuurt;201701;48;48;284.60;5.9
Assendelft;Assendelft-Zuid;De Zuid;201609;70;70;724.20;10.3
Zaandam;Zaandam West;Oud West;201609;238;245;1687.30;7.1
Zaandam;Rosmolenwijk;Rosmolenbuurt;201503;604;606;2958.10;4.9
Zaandam;Zaandam West;Oud West;201704;220;222;1504.80;6.8
Assendelft;Assendelft-Zuid;De Zuid;201704;48;48;472.30;9.8
Westzaan;Westzaan;Westzaan Zuid;201901;19;;126.90;6.7
Krommenie;Krommenie Oost;Rosariumbuurt;201601;229;232;1745.00;7.6
Wormerveer;Wormerveer;Wormerveer Zuid;201606;136;137;931.80;6.9
Koog aan de Zaan;Westerkoog;Westerkoog;201712;379;381;2976.90;7.9
Zaandam;Nieuw West;Westerwatering;201805;175;175;1433.98;8.2
Zaandam;Oude Haven;Havenbuurt;201806;92;92;480.30;5.2
Zaandam;Kogerveldwijk;Kogerveld;201809;111;;493.12;4.4
Assendelft;Assendelft-Noord;Waterrijk;201810;109;;1477.37;13.6
Krommenie;Krommenie West;Krommeniedijk;201612;4;4;52.70;13.2
Zaandam;Oude Haven;Russische buurt;201707;82;82;877.60;10.7
Zaandam;Zaandam Noord;Zaanse Schans;201509;9;9;84.10;9.3
Zaandam;Oude Haven;Russische buurt;201507;86;94;1001.40;11.6
Wormerveer;Wormerveer;Wormerveer Noord;201505;673;699;6982.00;10.4
Krommenie;Krommenie West;Willis;201807;1;;9.30;9.3
Zaandam;Poelenburg;Poelenburg;201603;382;390;2918.30;7.6
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201504;36;42;250.50;7.0
Zaandam;Oude Haven;Havenbuurt;201708;52;52;215.90;4.2
Assendelft;Assendelft-Zuid;Centrum;201801;150;153;1469.09;9.8
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201811;736;;5331.60;7.2
Westzaan;Westzaan;Middel;201808;2;;21.90;11.0
Westzaan;Westzaan;Westzaan Noord;201506;92;94;656.50;7.1
Zaandam;Rosmolenwijk;Rosmolenbuurt;201709;426;430;3082.30;7.2
Westknollendam;Wormerveer;Westknollendam;201712;28;32;510.60;18.2
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201606;40;42;303.90;7.6
Krommenie;Krommenie West;Krommeniedijk;201703;2;2;23.90;12.0
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201702;35;35;282.30;8.1
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201802;148;150;713.89;4.8
Zaandam;Oude Haven;Het Eiland;201807;72;;458.70;6.4
Krommenie;Krommenie Oost;Snuiverbuurt;201511;208;210;1736.70;8.3
Zaandam;Kogerveldwijk;Kogerveld;201705;67;67;466.30;7.0
Krommenie;Krommenie West;Noorderham;201810;101;;1018.13;10.1
;;;201509;84;85;662.40;7.9
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201808;420;;2716.18;6.5
Zaandam;Zaandam Noord;Kalf;201605;171;174;1306.60;7.6
Assendelft;Assendelft-Zuid;De Zuid;201811;42;;413.99;9.9
Zaandam;Zaandam West;Oud West;201811;253;;1654.12;6.5
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201707;60;60;541.50;9.0
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201507;83;85;805.90;9.7
Zaandam;Zaandam West;Oud West;201804;211;217;1604.75;7.6
Assendelft;Assendelft-Zuid;Centrum;201605;163;163;1808.30;11.1
Assendelft;Assendelft-Zuid;De Zuid;201804;16;16;210.69;13.2
Westzaan;Westzaan;Westzaan Zuid;201610;14;14;109.30;7.8
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201705;168;170;1749.70;10.4
Westzaan;Westzaan;Middel;201608;1;1;22.70;22.7
Zaandijk;Rooswijk;Rooswijk Noord;201510;173;173;957.80;5.5
Zaandijk;Rooswijk;Rooswijk;201606;109;109;708.40;6.5
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201702;206;206;1127.00;5.5
Zaandam;Zaandam Zuid;Bomenbuurt;201501;134;135;727.60;5.4
Zaandam;Kogerveldwijk;Boerejonkerbuurt;201802;47;47;415.20;8.8
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201609;262;266;2009.30;7.7
Zaandam;Zaandam West;Spoorbuurt;201506;52;52;450.10;8.7
Zaandam;Zaandam Zuid;Bomenbuurt;201512;125;126;855.10;6.8
Zaandam;Nieuw West;Westerspoor;201810;84;;644.68;7.7
Krommenie;Krommenie Oost;Zuiderhoofdbuurt;201502;72;72;663.80;9.2
Zaandam;Nieuw West;Westerwatering;201604;203;204;1522.60;7.5
Zaandam;Pelders- en Hoornseveld;Hoornseveld;201704;342;350;2424.00;7.1
Zaandam;Rosmolenwijk;Rosmolenbuurt;201710;476;478;3473.30;7.3
Westzaan;Westzaan;Westzaan Noord;201602;92;93;880.00;9.6
;;;201502;88;91;728.20;8.3
Krommenie;Krommenie Oost;Rosariumbuurt;201811;182;;1882.05;10.3
Krommenie;Krommenie West;Zuiderham;201608;153;155;1371.20;9.0
Krommenie;Krommenie West;Zuiderham;201711;94;97;722.10;7.7
Zaandam;Poelenburg;Poelenburg;201503;421;426;3147.00;7.5
Krommenie;Krommenie Oost;Snuiverbuurt;201808;155;;1668.65;10.8
Zaandam;Zaandam Zuid;Burgemeestersbuurt;201511;257;258;1684.70;6.6
Zaandam;Zaandam Noord;Kalf;201805;257;263;2237.73;8.7
Zaandam;Pelders- en Hoornseveld;Peldersveld;201809;198;;1395.84;7.0
Westknollendam;Wormerveer;Industriebuurt;201610;2;2;23.30;11.7
Zaandam;Nieuw West;Westerspoor;201812;92;;958.74;10.4
Krommenie;Krommenie Oost;Noorderhoofdbuurt;201712;148;151;1363.50;9.2
Zaandam;Rosmolenwijk;Rosmolenbuurt;201603;558;566;3696.00;6.6
Zaandam;Zaandam Zuid;Bomenbuurt;201505;134;139;844.20;6.3
Assendelft;Assendelft-Zuid;Centrum;201805;133;136;1506.66;11.3
