FID,categorie,type,aanlegjaar,geometrie
O10002_Rioolkaart_streng_OD.41,rioolleiding,droogweerafvoer,1994,"MULTILINESTRING ((178036.483 504207.619, 178039.744 504253.304))"
O10002_Rioolkaart_streng_OD.42,rioolleiding,droogweerafvoer,1994,"MULTILINESTRING ((178188.266 504357.646, 178165.599 504362.467))"
O10002_Rioolkaart_streng_OD.43,rioolleiding,hemelwaterafvoer,1994,"MULTILINESTRING ((178034.22 504208.913, 178037.268 504253.71))"
O10002_Rioolkaart_streng_OD.44,rioolleiding,droogweerafvoer,1994,"MULTILINESTRING ((178100.79 504252.617, 178116.285 504310.407))"
O10002_Rioolkaart_streng_OD.45,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((183575.108 496132.036, 183550.7 496082.07))"
O10002_Rioolkaart_streng_OD.46,rioolleiding,gemengd stelsel,1993,"MULTILINESTRING ((183528.08 496037.82, 183505.53 495993.57))"
O10002_Rioolkaart_streng_OD.47,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((182993 495044.65, 183012.86 495089.06))"
O10002_Rioolkaart_streng_OD.48,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((181915.35 493894.87, 181951.37 493927.93))"
O10002_Rioolkaart_streng_OD.49,rioolleiding,overig,2000,"MULTILINESTRING ((177595.003 504560.913, 177589.412 504565.271))"
O10002_Rioolkaart_streng_OD.50,rioolleiding,overig,2000,"MULTILINESTRING ((177566.084 504568.876, 177557.29 504568.216))"
O10002_Rioolkaart_streng_OD.51,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176889.879 502732.18, 176889.509 502722.42))"
O10002_Rioolkaart_streng_OD.52,rioolleiding,hemelwaterafvoer,2004,"MULTILINESTRING ((176927.661 505716.339, 176995.282 505700.953))"
O10002_Rioolkaart_streng_OD.53,rioolleiding,droogweerafvoer,1995,"MULTILINESTRING ((176671.721 505665.671, 176636.3 505594.464))"
O10002_Rioolkaart_streng_OD.54,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((181951.37 493927.93, 181988.568 493959.778))"
O10002_Rioolkaart_streng_OD.55,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((182936.244 494965.464, 182964.419 495005.244))"
O10002_Rioolkaart_streng_OD.56,rioolleiding,hemelwaterafvoer,2007,"MULTILINESTRING ((178516.707 505106.703, 178522.78 505105.599))"
O10002_Rioolkaart_streng_OD.57,rioolleiding,overig,1975,"MULTILINESTRING ((178508.796 505067.905, 178504.998 505050.467))"
O10002_Rioolkaart_streng_OD.58,rioolleiding,hemelwaterafvoer,2007,"MULTILINESTRING ((178510.395 505048.098, 178504.637 505049.269))"
O10002_Rioolkaart_streng_OD.59,rioolleiding,droogweerafvoer,2007,"MULTILINESTRING ((175437.76 504820.357, 175437.21 504873.646))"
O10002_Rioolkaart_streng_OD.60,rioolleiding,hemelwaterafvoer,2009,"MULTILINESTRING ((175467.949 504983.62, 175465.155 504972.959))"
O10002_Rioolkaart_streng_OD.61,rioolleiding,droogweerafvoer,2011,"MULTILINESTRING ((176632.47 496414.984, 176576.727 496384.282))"
O10002_Rioolkaart_streng_OD.62,rioolleiding,droogweerafvoer,1994,"MULTILINESTRING ((172941.325 509654.782, 173005.679 509614.413))"
O10002_Rioolkaart_streng_OD.63,rioolleiding,droogweerafvoer,1994,"MULTILINESTRING ((172991.581 509611.793, 173005.679 509614.413))"
O10002_Rioolkaart_streng_OD.64,rioolleiding,hemelwaterafvoer,1971,"MULTILINESTRING ((172941.409 508764.5, 172905.949 508788.38))"
O10002_Rioolkaart_streng_OD.65,rioolleiding,hemelwaterafvoer,1970,"MULTILINESTRING ((172988.449 508565.03, 173013.609 508602.41))"
O10002_Rioolkaart_streng_OD.66,rioolleiding,droogweerafvoer,1971,"MULTILINESTRING ((172840.799 508640.19, 172869.799 508681.22))"
O10002_Rioolkaart_streng_OD.67,rioolleiding,droogweerafvoer,1990,"MULTILINESTRING ((176132.599 503095.98, 176104.509 503107.74))"
O10002_Rioolkaart_streng_OD.68,rioolleiding,droogweerafvoer,1990,"MULTILINESTRING ((176323.34 502941.26, 176283.1 502957.97))"
O10002_Rioolkaart_streng_OD.69,rioolleiding,droogweerafvoer,1990,"MULTILINESTRING ((176227.19 502884.56, 176247.26 502933.27))"
O10002_Rioolkaart_streng_OD.70,rioolleiding,droogweerafvoer,1990,"MULTILINESTRING ((176075.03 502955.14, 176042.92 502968.39))"
O10002_Rioolkaart_streng_OD.71,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((177131.699 503040.56, 177148.129 503033.71))"
O10002_Rioolkaart_streng_OD.72,rioolleiding,droogweerafvoer,1995,"MULTILINESTRING ((175793.905 504982.619, 175826.16 504980.699))"
O10002_Rioolkaart_streng_OD.73,rioolleiding,droogweerafvoer,1993,"MULTILINESTRING ((175879.451 504923.282, 175869.412 504873.505))"
O10002_Rioolkaart_streng_OD.74,rioolleiding,hemelwaterafvoer,1999,"MULTILINESTRING ((176042.834 505006.17, 176039.23 504987.818))"
O10002_Rioolkaart_streng_OD.75,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176821.839 503300.12, 176823.319 503314.709))"
O10002_Rioolkaart_streng_OD.76,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176290.47 502855.83, 176265.869 502832.073))"
O10002_Rioolkaart_streng_OD.77,rioolleiding,hemelwaterafvoer,1994,"MULTILINESTRING ((172071.065 508405.356, 172056.757 508399.788))"
O10002_Rioolkaart_streng_OD.78,rioolleiding,hemelwaterafvoer,1991,"MULTILINESTRING ((171878.979 509437.28, 171875.257 509452.025))"
O10002_Rioolkaart_streng_OD.79,rioolleiding,hemelwaterafvoer,1995,"MULTILINESTRING ((176520.206 505062.374, 176553.257 505031.577))"
O10002_Rioolkaart_streng_OD.80,rioolleiding,hemelwaterafvoer,1995,"MULTILINESTRING ((176525.424 504877.153, 176569.282 504924.565))"
O10002_Rioolkaart_streng_OD.81,rioolleiding,hemelwaterafvoer,1999,"MULTILINESTRING ((175885.405 505045.336, 175812.815 505060.558))"
O10002_Rioolkaart_streng_OD.82,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176542.289 503119.93, 176525.25 503079.14))"
O10002_Rioolkaart_streng_OD.83,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176576.529 502783.08, 176591.999 502820.25))"
O10002_Rioolkaart_streng_OD.84,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176776.899 502721.16, 176764.329 502690.71))"
O10002_Rioolkaart_streng_OD.85,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176524.069 502849.63, 176539.549 502887.07))"
O10002_Rioolkaart_streng_OD.86,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176607.959 502858.86, 176575.029 502872.59))"
O10002_Rioolkaart_streng_OD.87,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176267.719 503289.01, 176254.359 503305.48))"
O10002_Rioolkaart_streng_OD.88,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176396.339 503234.92, 176358.959 503250.49))"
O10002_Rioolkaart_streng_OD.89,rioolleiding,hemelwaterafvoer,1981,"MULTILINESTRING ((176459.344 496477.103, 176439.169 496462.55))"
O10002_Rioolkaart_streng_OD.90,rioolleiding,hemelwaterafvoer,1981,"MULTILINESTRING ((176133.939 496428.61, 176106.839 496433.05))"
O10002_Rioolkaart_streng_OD.91,rioolleiding,hemelwaterafvoer,1974,"MULTILINESTRING ((175931.922 496609.817, 175979.997 496639.684))"
O10002_Rioolkaart_streng_OD.92,rioolleiding,hemelwaterafvoer,1999,"MULTILINESTRING ((176310.073 504461.732, 176311.079 504491.905))"
O10002_Rioolkaart_streng_OD.93,rioolleiding,hemelwaterafvoer,1999,"MULTILINESTRING ((176325.225 504519.008, 176346.396 504533.673))"
O10002_Rioolkaart_streng_OD.94,rioolleiding,droogweerafvoer,2005,"MULTILINESTRING ((176586.723 505447.498, 176578.133 505465.028))"
O10002_Rioolkaart_streng_OD.95,rioolleiding,droogweerafvoer,2008,"MULTILINESTRING ((175057.417 506042.465, 175104.611 506022.719))"
O10002_Rioolkaart_streng_OD.96,rioolleiding,droogweerafvoer,1987,"MULTILINESTRING ((178175.144 504296.086, 178188.266 504357.646))"
O10002_Rioolkaart_streng_OD.97,rioolleiding,hemelwaterafvoer,1994,"MULTILINESTRING ((178113.752 504309.792, 178170.228 504279.022))"
O10002_Rioolkaart_streng_OD.98,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((172349.5 489034.071, 172294.921 488994.81))"
O10002_Rioolkaart_streng_OD.99,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((170981.1 487763.27, 171006.086 487818.149))"
O10002_Rioolkaart_streng_OD.100,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((171069.78 487954.58, 171106.037 488018.838))"
O10002_Rioolkaart_streng_OD.101,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((171106.037 488018.838, 171147.55 488080.36))"
O10002_Rioolkaart_streng_OD.102,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((171261.36 488180.4, 171292.08 488232.94))"
O10002_Rioolkaart_streng_OD.103,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((179490.128 492020.287, 179538.918 492036.651))"
O10002_Rioolkaart_streng_OD.104,rioolleiding,gemengd stelsel,1993,"MULTILINESTRING ((179093.271 492049.366, 179142.014 492040.601))"
O10002_Rioolkaart_streng_OD.105,rioolleiding,hemelwaterafvoer,1994,"MULTILINESTRING ((178037.268 504253.71, 178046.877 504296.55))"
O10002_Rioolkaart_streng_OD.106,rioolleiding,hemelwaterafvoer,1994,"MULTILINESTRING ((178092.959 504213.338, 178098.353 504253.049))"
O10002_Rioolkaart_streng_OD.107,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((183874.465 496667.521, 183840.41 496630.01))"
O10002_Rioolkaart_streng_OD.108,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((183626.1 496270.8, 183618.3 496218.62))"
O10002_Rioolkaart_streng_OD.109,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((183419.14 495824.07, 183441.23 495867.68))"
O10002_Rioolkaart_streng_OD.110,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((183396.79 495780.88, 183419.14 495824.07))"
O10002_Rioolkaart_streng_OD.111,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((183700.98 496456.224, 183680.364 496415.425))"
O10002_Rioolkaart_streng_OD.112,rioolleiding,gemengd stelsel,1993,"MULTILINESTRING ((183118.1 495309.983, 183144.082 495351.249))"
O10002_Rioolkaart_streng_OD.113,rioolleiding,gemengd stelsel,1965,"MULTILINESTRING ((177099.963 503730.29, 177103.976 503771.342))"
O10002_Rioolkaart_streng_OD.114,rioolleiding,gemengd stelsel,1965,"MULTILINESTRING ((177268.249 503630.84, 177272.259 503670.6))"
O10002_Rioolkaart_streng_OD.115,rioolleiding,overig,1986,"MULTILINESTRING ((178202.192 503980.629, 178254.825 503979.161))"
O10002_Rioolkaart_streng_OD.116,rioolleiding,gemengd stelsel,1960,"MULTILINESTRING ((177717.044 504099.728, 177750.546 504096.434))"
O10002_Rioolkaart_streng_OD.117,rioolleiding,droogweerafvoer,1974,"MULTILINESTRING ((176041.97 496716.559, 176047.155 496780.826))"
O10002_Rioolkaart_streng_OD.118,rioolleiding,hemelwaterafvoer,1999,"MULTILINESTRING ((176369.449 504522.529, 176384.032 504489.773))"
O10002_Rioolkaart_streng_OD.119,rioolleiding,hemelwaterafvoer,1999,"MULTILINESTRING ((176343.664 504413.518, 176321.6 504434.381))"
O10002_Rioolkaart_streng_OD.120,rioolleiding,droogweerafvoer,1977,"MULTILINESTRING ((172711.549 509609.83, 172681.619 509562.73))"
O10002_Rioolkaart_streng_OD.121,rioolleiding,droogweerafvoer,1987,"MULTILINESTRING ((172639.002 509512.826, 172627.679 509526.27))"
O10002_Rioolkaart_streng_OD.122,rioolleiding,droogweerafvoer,1977,"MULTILINESTRING ((172681.619 509562.73, 172652.997 509517.798))"
O10002_Rioolkaart_streng_OD.123,rioolleiding,droogweerafvoer,1992,"MULTILINESTRING ((172903.859 509413.08, 172933.799 509394.07))"
O10002_Rioolkaart_streng_OD.124,rioolleiding,gemengd stelsel,1964,"MULTILINESTRING ((171858.317 508994.294, 171883.295 508954.824))"
O10002_Rioolkaart_streng_OD.125,rioolleiding,gemengd stelsel,1964,"MULTILINESTRING ((171833.499 509033.336, 171858.317 508994.294))"
O10002_Rioolkaart_streng_OD.126,rioolleiding,hemelwaterafvoer,1996,"MULTILINESTRING ((172056.495 508181.06, 172073.64 508206.344))"
O10002_Rioolkaart_streng_OD.127,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((179142.014 492040.601, 179192.434 492031.315))"
O10002_Rioolkaart_streng_OD.128,rioolleiding,hemelwaterafvoer,1994,"MULTILINESTRING ((172281.367 508332.238, 172330.235 508299.25))"
O10002_Rioolkaart_streng_OD.129,rioolleiding,hemelwaterafvoer,1999,"MULTILINESTRING ((176080.429 505262.532, 176069.285 505250.386))"
O10002_Rioolkaart_streng_OD.130,rioolleiding,hemelwaterafvoer,1999,"MULTILINESTRING ((176132.331 505192.103, 176069.285 505250.386))"
O10002_Rioolkaart_streng_OD.131,rioolleiding,hemelwaterafvoer,1999,"MULTILINESTRING ((176024.696 505314.094, 176080.429 505262.532))"
O10002_Rioolkaart_streng_OD.132,rioolleiding,droogweerafvoer,1990,"MULTILINESTRING ((176283.779 503118.46, 176252.509 503131.53))"
O10002_Rioolkaart_streng_OD.133,rioolleiding,droogweerafvoer,1990,"MULTILINESTRING ((176237.019 503411.66, 176234.319 503370.75))"
O10002_Rioolkaart_streng_OD.134,rioolleiding,droogweerafvoer,1990,"MULTILINESTRING ((176003.451 503376.083, 175969.983 503381.403))"
O10002_Rioolkaart_streng_OD.135,rioolleiding,droogweerafvoer,1990,"MULTILINESTRING ((176178.059 503121.34, 176194.419 503161.02))"
O10002_Rioolkaart_streng_OD.136,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((177265.529 502978.2, 177235.569 502990.8))"
O10002_Rioolkaart_streng_OD.137,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((177281.169 503047.53, 177237.879 503065.43))"
O10002_Rioolkaart_streng_OD.138,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((177224.549 503033.35, 177237.879 503065.43))"
O10002_Rioolkaart_streng_OD.139,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((177237.879 503065.43, 177204.649 503079.44))"
O10002_Rioolkaart_streng_OD.140,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((177238.519 503255.98, 177249.079 503289.559))"
O10002_Rioolkaart_streng_OD.141,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176986.419 502907.84, 177000.209 502941.27))"
O10002_Rioolkaart_streng_OD.142,rioolleiding,droogweerafvoer,1979,"MULTILINESTRING ((177618.149 503106.82, 177635.959 503148.61))"
O10002_Rioolkaart_streng_OD.143,rioolleiding,droogweerafvoer,1979,"MULTILINESTRING ((177544.929 503076.65, 177507.119 503060.89))"
O10002_Rioolkaart_streng_OD.144,rioolleiding,hemelwaterafvoer,1994,"MULTILINESTRING ((178160.788 504119.315, 178140.409 504123.78))"
O10002_Rioolkaart_streng_OD.145,rioolleiding,gemengd stelsel,1962,"MULTILINESTRING ((175679.749 496399.53, 175650.877 496432.032))"
O10002_Rioolkaart_streng_OD.146,rioolleiding,gemengd stelsel,1962,"MULTILINESTRING ((175574.979 496580.92, 175586.053 496568.411))"
O10002_Rioolkaart_streng_OD.147,rioolleiding,gemengd stelsel,1967,"MULTILINESTRING ((175253.739 496329.09, 175272.403 496345.754))"
O10002_Rioolkaart_streng_OD.148,rioolleiding,gemengd stelsel,1966,"MULTILINESTRING ((177711.79 505526.795, 177687.81 505484.818))"
O10002_Rioolkaart_streng_OD.149,rioolleiding,gemengd stelsel,1976,"MULTILINESTRING ((177632.215 505725.159, 177681.467 505697.354))"
O10002_Rioolkaart_streng_OD.150,rioolleiding,overig,2000,"MULTILINESTRING ((177482.402 504618.327, 177564.238 504609.103))"
O10002_Rioolkaart_streng_OD.151,rioolleiding,hemelwaterafvoer,1974,"MULTILINESTRING ((172605.127 508657.357, 172632.679 508638.55))"
O10002_Rioolkaart_streng_OD.152,rioolleiding,hemelwaterafvoer,1974,"MULTILINESTRING ((172617.399 508738.604, 172596.413 508707.389))"
O10002_Rioolkaart_streng_OD.153,rioolleiding,hemelwaterafvoer,1971,"MULTILINESTRING ((172750.731 508674.105, 172772.139 508701.344))"
O10002_Rioolkaart_streng_OD.154,rioolleiding,hemelwaterafvoer,1971,"MULTILINESTRING ((172738.554 508723.728, 172713.017 508740.956))"
O10002_Rioolkaart_streng_OD.155,rioolleiding,hemelwaterafvoer,1971,"MULTILINESTRING ((172836.335 508782.418, 172815.286 508796.518))"
O10002_Rioolkaart_streng_OD.156,rioolleiding,hemelwaterafvoer,1971,"MULTILINESTRING ((172650.115 508828.594, 172616.23 508856.081))"
O10002_Rioolkaart_streng_OD.157,rioolleiding,droogweerafvoer,1999,"MULTILINESTRING ((176714.146 505609.602, 176790.905 505591.96))"
O10002_Rioolkaart_streng_OD.158,rioolleiding,droogweerafvoer,2008,"MULTILINESTRING ((177478.116 504440.587, 177529.767 504435.155))"
O10002_Rioolkaart_streng_OD.159,rioolleiding,hemelwaterafvoer,2008,"MULTILINESTRING ((177528.333 504437.155, 177546.817 504435.312))"
O10002_Rioolkaart_streng_OD.160,rioolleiding,droogweerafvoer,2009,"MULTILINESTRING ((175608.34 496680.889, 175563.931 496731.859))"
O10002_Rioolkaart_streng_OD.161,rioolleiding,droogweerafvoer,2012,"MULTILINESTRING ((176409.607 506565.112, 176383.427 506526.178))"
O10002_Rioolkaart_streng_OD.162,rioolleiding,droogweerafvoer,2012,"MULTILINESTRING ((175858.497 506950.754, 175903.876 506920.22))"
O10002_Rioolkaart_streng_OD.163,rioolleiding,droogweerafvoer,2012,"MULTILINESTRING ((175790.753 506996.161, 175824.959 506973.336))"
O10002_Rioolkaart_streng_OD.164,rioolleiding,droogweerafvoer,1977,"MULTILINESTRING ((172827.889 509792.927, 172794.598 509740.623))"
O10002_Rioolkaart_streng_OD.165,rioolleiding,droogweerafvoer,1977,"MULTILINESTRING ((172794.598 509740.623, 172769.362 509700.974))"
O10002_Rioolkaart_streng_OD.166,rioolleiding,gemengd stelsel,1963,"MULTILINESTRING ((177709.501 504389.044, 177677.156 504395.731))"
O10002_Rioolkaart_streng_OD.167,rioolleiding,gemengd stelsel,1970,"MULTILINESTRING ((178158.234 504508.584, 178114.504 504517.93))"
O10002_Rioolkaart_streng_OD.168,rioolleiding,gemengd stelsel,1970,"MULTILINESTRING ((178084.945 504848.604, 178040.824 504858.031))"
O10002_Rioolkaart_streng_OD.169,rioolleiding,gemengd stelsel,1970,"MULTILINESTRING ((178040.824 504858.031, 178038.522 504847.179))"
O10002_Rioolkaart_streng_OD.170,rioolleiding,gemengd stelsel,1970,"MULTILINESTRING ((178078.244 504818.373, 178034.384 504827.705))"
O10002_Rioolkaart_streng_OD.171,rioolleiding,gemengd stelsel,1970,"MULTILINESTRING ((178160.324 504795.004, 178149.266 504741.969))"
O10002_Rioolkaart_streng_OD.172,rioolleiding,gemengd stelsel,1961,"MULTILINESTRING ((177459.703 504756.488, 177508.573 504746.057))"
O10002_Rioolkaart_streng_OD.173,rioolleiding,hemelwaterafvoer,1979,"MULTILINESTRING ((178506.22 505019.236, 178496.732 504970.993))"
O10002_Rioolkaart_streng_OD.174,rioolleiding,hemelwaterafvoer,1999,"MULTILINESTRING ((175885.405 505045.336, 175884.467 505039.484))"
O10002_Rioolkaart_streng_OD.175,rioolleiding,hemelwaterafvoer,1999,"MULTILINESTRING ((175912.32 505147.867, 175897.443 505102.808))"
O10002_Rioolkaart_streng_OD.176,rioolleiding,hemelwaterafvoer,1999,"MULTILINESTRING ((176069.285 505250.386, 176045.397 505217.382))"
O10002_Rioolkaart_streng_OD.177,rioolleiding,hemelwaterafvoer,2001,"MULTILINESTRING ((176265.645 505222.713, 176248.807 505191.827))"
O10002_Rioolkaart_streng_OD.178,rioolleiding,hemelwaterafvoer,1999,"MULTILINESTRING ((176248.807 505191.827, 176213.532 505153.657))"
O10002_Rioolkaart_streng_OD.179,rioolleiding,droogweerafvoer,1999,"MULTILINESTRING ((176312.419 504491.744, 176326.48 504518.112))"
O10002_Rioolkaart_streng_OD.180,rioolleiding,hemelwaterafvoer,1977,"MULTILINESTRING ((176293.981 496549.52, 176268.659 496585.467))"
O10002_Rioolkaart_streng_OD.181,rioolleiding,hemelwaterafvoer,2004,"MULTILINESTRING ((176199.061 505729.627, 176206.286 505734.431))"
O10002_Rioolkaart_streng_OD.182,rioolleiding,droogweerafvoer,2009,"MULTILINESTRING ((175608.34 496680.889, 175564.161 496641.578))"
O10002_Rioolkaart_streng_OD.183,rioolleiding,droogweerafvoer,2012,"MULTILINESTRING ((176315.01 506424.697, 176309.45 506416.384))"
O10002_Rioolkaart_streng_OD.184,rioolleiding,droogweerafvoer,2012,"MULTILINESTRING ((176320.508 506639.363, 176364.459 506609.661))"
O10002_Rioolkaart_streng_OD.185,rioolleiding,gemengd stelsel,1969,"MULTILINESTRING ((178994.928 492066.2, 179040.725 492057.762))"
O10002_Rioolkaart_streng_OD.186,rioolleiding,gemengd stelsel,1959,"MULTILINESTRING ((180177.296 510167.711, 180173.317 510156.589))"
O10002_Rioolkaart_streng_OD.187,rioolleiding,hemelwaterafvoer,1970,"MULTILINESTRING ((172932.879 508482.03, 172960.669 508523.41))"
