FID,loc_nr,oid,loc_type,loc_des,roadnumber,roadname,first_name,secnd_name,junct_ref,exit_nr,hstart_pos,hend_pos,hstart_neg,hend_neg,hecto_char,hecto_dir,pos_in,pos_out,neg_in,neg_out,dir,area_ref,lin_ref,inter_ref,pos_off,neg_off,urban_code,pres_pos,pres_neg,far_away,city_distr,top_sign,type_code,mw_ref,rw_nr,aw_ref,gdb_geomattr_data,shape
spoorwegovergang_66.3722,11636,3782,P3.43,Spoorwegovergang,N240, ,Spoorwegovergang, ,0, ,227,227,227,227, ,-1,0,0,0,0, ,2448,3890,0,11637,11635,0,1,1,0, , ,0,0,0,0,,POINT (134706.55209999904 530952.5590000004)
spoorwegovergang_66.3812,13424,4402,P3.43,Spoorwegovergang,N319, ,Spoorwegovergang hm 11.3, ,0, ,113,113,113,113, ,1,0,0,0,0, ,2336,4642,0,13425,13423,0,1,1,0, , ,0,0,0,0,,POINT (219489.03090000153 457802.26740000024)
spoorwegovergang_66.3815,13427,4405,P3.43,Spoorwegovergang,N319, ,Spoorwegovergang hm 17.6, ,0, ,176,176,176,176, ,1,0,0,0,0, ,2322,4642,0,13428,13447,0,1,1,0, , ,0,0,0,0,,POINT (225232.998399999 456125.3770000003)
spoorwegovergang_66.3958,13854,4549,P3.43,Spoorwegovergang,N336, ,Spoorwegovergang, ,0, ,93,93,93,93, ,1,0,0,0,0, ,2372,4790,0,13860,13853,0,1,1,0, , ,0,0,0,0,,POINT (203417.34380000085 437269.0505999997)
spoorwegovergang_66.3971,13877,4562,P3.43,Spoorwegovergang,N337, ,Spoorwegovergang, ,0, ,206,206,206,206, ,1,0,0,0,0, ,2281,4800,0,13878,13876,0,1,1,0, , ,0,0,0,0,,POINT (206481.44909999892 492517.7842999995)
spoorwegovergang_66.3991,13911,4583,P3.43,Spoorwegovergang,N339, ,Spoorwegovergang, ,0, ,27,27,27,27, ,1,0,0,0,0, ,2344,4820,0,13912,13910,0,1,1,0, , ,0,0,0,0,,POINT (212222.45199999958 469880.4332000017)
spoorwegovergang_66.4062,14035,4655,P3.43,Spoorwegovergang,N343, ,Spoorwegovergang, ,0, ,376,376,376,376, ,1,0,0,0,0, ,2269,4880,0,14036,14034,0,1,1,0, , ,0,0,0,0,,POINT (238842.7115000002 508553.6325000003)
spoorwegovergang_66.4095,14099,4688,P3.43,Spoorwegovergang,N345, ,Spoorwegovergang hm 13.8, ,0, ,138,138,138,138, ,1,0,0,0,0, ,2310,4900,0,14100,14098,0,1,1,0, , ,0,0,0,0,,POINT (206725.97569999844 463588.36030000076)
spoorwegovergang_66.4097,14101,4690,P3.43,Spoorwegovergang,N345, ,Spoorwegovergang hm 16.0, ,0, ,160,160,160,160, ,1,0,0,0,0, ,2373,4900,0,14102,14100,0,1,1,0, , ,0,0,0,0,,POINT (208078.01309999824 462366.7269000001)
spoorwegovergang_66.4103,14123,4696,P3.43,Spoorwegovergang,N346, ,Spoorwegovergang, ,0, ,57,57,57,57, ,1,0,0,0,0, ,2373,4910,0,14124,14122,0,1,1,0, , ,0,0,0,0,,POINT (215829.8772 461768.42909999937)
spoorwegovergang_66.4137,14201,4730,P3.43,Spoorwegovergang,N347, ,Spoorwegovergang, ,0, ,369,369,369,369, ,1,0,0,0,0, ,2282,4921,0,14205,14200,0,1,1,0, , ,0,0,0,0,,POINT (225073.94060000032 502967.07550000027)
spoorwegovergang_66.4152,14272,4747,P3.43,Spoorwegovergang,N350, ,Spoorwegovergang, ,0, ,40,40,40,40, ,1,0,0,0,0, ,2285,4940,0,14277,14271,0,1,1,0, , ,0,0,0,0,,POINT (227117.01359999925 478297.4919000007)
