Leveranciersnaam;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Arcadis Nederland BV;;;1;;;;;1
Architectuurcentrum Amsterdam;;;1;;;;;1
ARDIS ORGANISATIE ONTWIKKELING;;1;1;;;;;1
Ardis Organisatieontwikkeling B.V.;;1;;;;;;1
ARGUMENTENFABRIEK DE;;;2;;;;;2
Arup B.V.;;1;;;;;;1
ARXLABS;;;2;;;;;2
Asp4all Hosting B.V.;;;;;;6;;6
ATOS NEDERLAND;;;3;;;;;3
Atos Nederland B.V.;;;2;;;3;;4
ATRIVE;;;3;;;;;3
Auxilium B.V.;;2;;;;;;2
AWARENESS;;;1;;;;;1
AWVN;;;1;;;;;1
Backup Transport & Depot Services B.V.;;;;;;2;;2
Balance Juridica;;1;;;;;;1
Bastenhof Consultancy B.V.;;;2;;;;;2
Bauhaus Artitech B.V.;;;;;;1;;1
BBA BBA;;;2;;;;;2
BBA Binnenmilieu B.V.;;2;;;;;;2
BDG Architecten Ingenieurs Zwolle B.V.;;2;;;;;;2
BedrijfsMotivaties B.V.;;2;;;;;;2
Behartiging Opleidingen Bouwnijverheid B.V.;;1;;;;;;1
BEHR GROEP NEDERLAND;;;1;;;;;1
BEKKER ADVIES;;;1;;;;;1
BERENSCHOT;;1;5;;;;;5
Between B.V.;;;;;;3;;3
Bex* communicatie;;;;2;;;;2
BINNENLANDS BESTUUR;;;1;;;;;1
BIRCH CONSULTANTS;;;1;;;;;1
BiZFiTS B.V.;;;1;;;;;1
BLAUW RESEARCH B.V.;;;2;;;;;2
Blus Support bv;;;2;;;;;2
BMC ADVIES;;;4;;;;;4
BMT Consultants;;1;;;;;;1
Bodee Advocaten;;;;;1;;;1
Boom B.V.;;;1;;;;;1
Bouwadvies;;2;;;;;;2
Bouwkennis B.V.;;1;;;;;;1
Bouwstart;;;1;;;;;1
BouwWise;;2;;;;;;2
BPI Services B.V.;;;;;;1;;1
Bremen Bouwadviseurs;;;2;;;;;2
Brink Groep B.V.;;;3;;;;;3
BRINK MANAGEMENT & ADVIES;;;1;;;;;1
Brink Management & Advies B.V.;;2;;;;;;2
Brooklands Horeca B.V.;;1;;;;;;1
BSDV;;;2;;;;;2
BT Professional Services Nederland B.V.;;;;;;2;;2
BTS;;1;;;;;;1
Bureau de Groot Volker;;;2;;;;;2
Bureau Meervelt;;;2;;;;;2
Bureau 'Mevrouw de Voorzitter';;1;;;;;;1
Bureau Monument en;;;2;;;;;2
BUREAU QUESTE;;;2;;;;;2
Bureau Waardenburg B.V.;;;2;;;;;2
BVS ADVIES;;;1;;;;;1
Bvsadvies;;2;;;;;;2
Cadvisual Benelux B.V.;;2;;;;;;2
Cameon Holding B.V.;;;2;;;;;2
Capgemini Nederland B.V.;;7;;;;6;;7
Carthago ICT;;;;;;2;;2
CASHEW;;;1;;;;;1
Castermans Engineers B.V.;;;2;;;;;2
CE DELFT;;;2;;;;;2
Cebeon Centrum Beleidsadviserend;;;5;;;;;5
Cecile Seignette Public Relations;;;;;;2;;2
CEES ADVOCATEN N.V.;;;;;1;;;1
CENTRUM VOOR CIVILISEREN EN INNOVEREN;;;3;;;;;3
Centrum voor conflicthantering;;;2;;;;;2
CGI Nederland B.V.;;;4;;;5;;5
CHvV Associates;;;2;;;;;2
Coaching by Nature;;;1;;;;;1
Cohezy, platform voor projectcoaching Stichting;;1;;;;;;1
COMPANEN;;;4;;;;;4
COMPAREX Nederland B.V.;;2;;;;3;;3
Computest Services B.V.;;;2;;;;;2
Con-c B.V.;;;5;;;;;5
Coöperatie Exploitatie Bouwcampus UA;;3;;;;;;3
CRISISPLAN;;;1;;;;;1
Customeyes B.V.;;;2;;;;;2
De Bedouine Hoeve;;;1;;;;;1
DE BELEIDSONDERZOEKERS;;;3;;;;;3
De Brauw Blackstone Westbroek;;;1;;;;;1
DE PERSGROEP NEDERLAND B.V.;;;2;;;;;2
De Thaam;;;4;;;;;4
DEBAT.NL;;;1;;;;;1
deBIMspecialist;;1;;;;;;1
Decisio B.V.;;;3;;;;;3
Deloitte Accountancy & Advies B.V.;;3;;;;;;3
DENC B.V.;;;1;;;;;1
Designmine B.V.;;2;;;;;;2
Detron Communication Solutions;;;;;;1;;1
DGMR Bouw B.V.;;;2;;;;;2
Diemen & Van Gestel Select B.V.;;;2;;;;;2
DIGNITAS MEDIATION COACHING EN CONFLICT;;1;;;;;;1
Dijkstra Jansen Bergman Notarissen;;;1;;;;;1
DJVDL Architectuur  en bouwmanageme;;;3;;;;;3
Dotweb Systems B.V.;;;;;;2;;2
DSP GROEP;;;2;;;;;2
DUIDT;;;2;;;;;2
Duif ICT;;;;;;1;;1
Dunit B.V.;;;;;;7;;7
Duo Market Research B.V.;;2;;;;;;2
DUONdoen;;2;;;;;;2
Dutch Consultancy Group B.V.;;;;;;3;;3
DWA;;;2;;;;;2
DYNA VISION;;1;;;;;;1
Ebbinge B.V.;;1;;;;;;1
Ecogroen B.V.;;;2;;;;;2
Ecologisch Adviesbureau Viridis B.V.;;;2;;;;;2
Econsultancy B.V.;;;1;;;;;1
ECORYS;;;4;;;;;4
EFFECTORY;;;2;;;;;2
Effectory B.V.;;;2;;;;;2
EFPC;;;1;;;;;1
Eindhoven Airport N.V.;;;1;;;;;1
Elco;;;1;;;;;1
ELICIT B.V.;;;2;;;;;2
EMMA COMMUNICATIE;;;2;;;;;2
ENERGIEONDERZOEK CENTRUM NED.;;;3;;;;;3
ENGIE Services Noord locatie Leeuwarden;;1;;;;;;1
EPAM Consulting;;;;;;6;;6
ER;;1;;;;;;1
ERNST & YOUNG;;;2;;;;;2
ERNST & YOUNG BELASTINGADVISEURS LLP;;2;;;;;;2
EUKN EGTC;;;2;;;;;2
Exploitatiemij. Grand Hotel Karel V B.V.;;1;;;;;;1
ezCompany B.V.;;;1;;;;;1
FaceValue;;;1;;;;;1
Faculteit Governance and Global Affairs;;;1;;;;;1
FAKTON;;;4;;;;;4
Fakton B.V.;;;2;;;;;2
Falck BV;;;2;;;;;2
FARESCON;;;1;;;;;1
FEDEC;;;1;;;;;1
FIRMM INFORMATION/SERVICE DESIGN B.V.;;;3;;;;;3
Fokker Aircraft Services B.V.;;;1;;;;;1
FOX-IT;;;2;;;;;2
FREECOLLECTIVE;;;2;;;;;2
Frisia Makelaars BV;;;1;;;;;1
Fujitsu Technology Solutions B.V.;;;;;;4;;4
GARTNER NEDERLAND;;;2;;;;;2
Gartner Nederland B.V.;;4;;;;;;4
gBOU B.V.;;1;;;;;;1
Geofox-Lexmond B.V.;;;1;;;;;1
GEREGELD;;1;2;;;;;2
Getting the picture B.V.;;;1;;;;;1
Geurts Civiele Techniek;;;2;;;;;2
GFK PANEL SERVICES BENELUX;;;2;;;;;2
GGN HOLDING NV;;;;;1;;;1
GITP;;1;;;;;;1
Gloudemans;;;2;;;;;2
GMBK B.V.;;;;;;2;;2
Goed Gebouw;;;1;;;;;1
Gunnebo Nederland B.V.;;;2;;;;;2
Gymnast. Verenig. 'Kwaliteit Is Ons Streven';;;1;;;;;1
Habenu-van de Kreeke Bouw B.V.;;;1;;;;;1
Harlinger Watertaxi;;;1;;;;;1
HARVEY NASH;;;2;;;;;2
HASKONINGDHV NEDERLAND;;;1;;;;;1
HaskoningDHV Nederland B.V.;;;3;;;;;3
HAUBEN ARCHITECTUUR & STEDENBOUW;;;1;;;;;1
Heijmans Utiliteit;;;2;;;;;2
HET KOOKPLEIN;;1;;;;;;1
Holding Beheermaatschappij Ropeni B.V.;;1;;;;;;1
HOLLAND CONSULTING GROUP;;1;;;;;;1
Huijbregts-Breitkopf Simone;;1;;;;;;1
I&O RESEARCH;;;2;;;;;2
ICOP B.V.;;1;;;;;;1
ICP Nederland B.V.;;;2;;;;;2
ICT loket.nl B.V.;;4;;;;;;4
Ideacura;;;4;;;;;4
IJKX;;;2;;;;;2
IMPECCABLE COMMUNICATIE;;;2;;;;;2
Improven BV;3;;;;;;;3
In2Content B.V.;;1;;;;;;1
INCREDIBLE CROWDS B.V.;;;;;2;;;2
Independent Recruitment B.V.;;2;;;;;;2
INFORMATION BUILDERS;;;1;;;;;1
INFORMATION SECURITY ACADEMY;;;2;;;;;2
Ingenieursbureau Inpijn-Blokpoel Son B.V.;;;1;;;;;1
Ingenieursbureau 'Oranjewoud' III B.V.;;;3;;;;;3
InRIO holding B.V.;;;1;;;;;1
Instituut Maatschappelijke Innovatie;;;2;;;;;2
Instituut voor Wijsbegeerte B.V.;;1;;;;;;1
Intelligence Group B.V.;;;1;;;;;1
Interpulse Automatisering B.V.;;;;;;1;;1
IOVIO BPT B.V.;;;1;;;1;;1
IT-Staffing Nederland B.V.;;;;;;2;;2
Jan Montijn Beheer B.V.;;;1;;;;;1
JonkersenKo;;1;;;;;;1
Kaldenbach grafische producties;;;1;;;;;1
Kamera Express Rotterdam B.V.;;1;;;;;;1
KESSELS & SMIT;;1;;;;;;1
KINE ADVIES;;;1;;;;;1
KIWA Compliance;;;1;;;;;1
Knippenberg Coachend Interim Management;;1;;;;;;1
KnowledgePlaza Professional Services B.V.;;;;;;2;;2
KOERS ONDERZOEK & ADVIES;;;2;;;;;2
KOUDIJS JT HOLDING;;;1;;;;;1
KPMG Advisory N.V.;;3;2;;;;;4
KPMG BUSINESS ADVISORY SERVICES;;;4;;;;;4
KPN Consulting B.V.;;;;;;3;;3
Kragten B.V.;;;3;;;;;3
Kris Kras context, content and design;;;2;;;;;2
KWINK GROEP;;;2;;;;;2
LA JUPE SAUVAGE;;;2;;;;;2
Landmeetkundig Bureau Gubbels B.V.;;;1;;;;;1
Leadingwise;;1;;;;;;1
Leemans Speciaalwerken B.V.;;;1;;;;;1
Leenders Architekten B.V.;;;3;;;;;3
LEENE COMMUNICATIE;;;2;;;;;2
LEGALDAY;;;1;;;;;1
Leike van Oss Organisatievragen;;;1;;;;;1
LIGTHART ADVIES;;;2;;;;;2
Lineair Bouwmanagement;;;1;;;;;1
Lingewaard Incasso;;;1;;;;;1
Linguist Link Europe;;;1;;;;;1
Lloyd's Register Nederland B.V.;;3;;;;;;3
Louter EEN B.V.;;;2;;;;;2
LTC & C Installatiemanagement B.V.;;;2;;;;;2
M VAN DEN HOVEN;;;1;;;;;1
Maatschap Agile Partners;;1;;;;;;1
MAHIEU WEB DEVELOPMENT;;;1;;;;;1
MARKETRESPONCE;;;2;;;;;2
Marketresponse Nederland B.V.;;;2;;;;;2
Marosel B.V.;;;;;;1;;1
Mavim B.V.;;1;;;;;;1
mbstudio;;;2;;;;;2
Melkveebedrijf de Ferbining;;;1;;;;;1
Menasse;;1;;;;;;1
Messe München GMBH;;1;;;;;;1
METIER ACADEMY BENELUX;;;;;2;;;2
METRIXLAB NEDERLAND;;;2;;;;;2
Meyburg;;;2;;;;;2
Milieukundig en Geotechnisch;;;1;;;;;1
Millers;;1;;;;;;1
MOBILEE CONSULTANCY;;;2;;;;;2
Mobility Mixx B.V.;;1;;;;;;1
Montopinto;;1;;;;;;1
Motus B.V.;;1;;;;;;1
MOUSSAULT CONSULTANCY & MANAGEMENT;;;2;;;;;2
MUG Ingenieursbureau;;;2;;;;;2
MUG Noord Holland B.V.;;1;;;;;;1
Muzieklestwello;;;1;;;;;1
MVO NEDERLAND;;;2;;;;;2
MVO Nederland Stichting;;2;;;;;;2
MWM2 B.V.;;;1;;;;;1
NACO;;;1;;;;;1
Nationale Jeugdraad;;;2;;;;;2
NATUURBALANS/LIMES DIVERGENS B.V.;;;2;;;;;2
NCOI Techniek Trainingen B.V.;;4;;;;;;4
NDC mediagroep B.V.;;;1;;;;;1
NECKER VAN NAEM;;;2;;;;;2
NED SCHOOL VOOR OPENBAAR BESTUUR;;;4;;;;;4
Nederland Beweegt Stichting;;1;;;;;;1
NEDERLAND ICT;;;2;;;;;2
Nederland. Vereniging voor Aanbestedingsrecht;;1;;;;;;1
Nederlandse Vereniging;;1;;;;;;1
NEDERLANDSE VERENIGING VAN MAKELAARS;;;2;;;;;2
NET2LEGAL CONSULTANTS;;;2;;;;;2
NETCREATORS B.V.;;1;3;;;;;3
Netprofiler B.V.;;;2;;;;;2
NEW BABYLON MEETING CENTER B.V.;;;1;;;;;1
Nieuwsgierige Werken;;1;;;;;;1
Notuleerservice Nederland B.V.;;;1;;;;;1
NOVAGRAAF;;;1;;;;;1
Novius Adv.groep v. Inf. & Organisatie B.V.;;1;;;;;;1
OECD;;;2;;;;;2
OmnicomMediaGroup Nederland B.V.;;;;1;;;;1
Ooranje B.V.;;1;;;;;;1
OPTIMA FORMA;;;1;;;;;1
Oracle Nederland;;2;;;;;;2
Ordina Business Consulting & Solutions B.V.;;;;;;5;;5
Ordina Technologie & Competenties B.V.;;;;;;2;;2
Orphent Stichting;;1;;;;;;1
ORTEC FINANCE;;;4;;;;;4
P.&P. Regisseurs;;2;;;;;;2
PALMBOUT Urban Landscapes B.V.;;;1;;;;;1
PANTEIA B.V.;;;5;;;;;5
PBLQ B.V.;;;4;;;;;4
Pels Rijcken & Droogleever Fortuijn;;;;;2;;;2
Pels Rijcken & Droogleever Fortuijn N.V.;;4;2;;6;;;6
Peutz B.V.;;;1;;;;;1
PHYLEON;;1;;;;;;1
Pieters Bouwtechniek Utrecht B.V.;;;1;;;;;1
Plein 9 A B.V.;;1;;;;;;1
Ploum Technology B.V.;;;1;;;;;1
Port of Amsterdam International B.V.;;;1;;;;;1
Port of Rotterdam;;;1;;;;;1
POSG PROFESSIONALS;;4;;;;;;4
PRICEWATERHOUSECOOPERS;;;3;;;;;3
Pricewaterhousecoopers Advisory N.V.;;3;;;;;;3
Pricewaterhousecoopers N.V.;;;2;;;;;2
PricewaterhouseCoopers Pensions,;;;1;;;;;1
PRO FACTO;;;4;;;;;4
Pro3P;;;3;;;;;3
Promotie.nl B.V.;;1;;;;;;1
PROOF ADVISEURS;;;3;;;;;3
Protinus IT B.V.;;1;1;;;2;;2
PROVADA B.V.;;2;;;;;;2
Public Partners B.V.;;2;;;;;;2
PUBLICON;;;2;;;;;2
PuRe-net Public Real Estate Network;;1;;;;;;1
R2B Inspecties B.V.;;;1;;;;;1
RAI Amsterdam B.V.;;2;;;;;;2
RAVESTEIN & ZWART BEDRIJFSCOM;;;1;;;;;1
Reasult B.V.;;;2;;;;;2
REBEL STRATEGY EN FINANCE;;;3;;;;;3
Regas IP B.V.;;;;;;5;;5
REGIOPLAN ONDERZOEK;;;3;;;;;3
RHO;;;1;;;;;1
RIGO;;;5;;;;;5
Riigi Kinnisvara;;1;;;;;;1
Rijkaart;;;1;;;;;1
Rijksvastgoedbedrijf;;1;;;;;;1
RIJNVELD BELEIDSMEDIATION;;;2;;;;;2
RIR;;;1;;;;;1
Robix B.V.;;;2;;;;;2
Root B.V.;;2;;;;;;2
Sabel Communicatie B.V.;;;2;;;;;2
SCIENCEWORKS;;;2;;;;;2
Sensus;;1;;;;;;1
SEO ECONOMISCH ONDERZOEK;;;5;;;;;5
SGS Search Milieu;;;1;;;;;1
Shared Business B.V.;;1;;;;;;1
SIGHT Landscaping B.V.;;;1;;;;;1
SIGNIFICANT;;;3;;;;;3
Significant B.V.;;;2;;;;4;4
Sinke Emmeloord B.V.;;;1;;;;;1
SIRA CONSULTING;;;3;;;;;3
SKARP WONINGCORPORATIES BV;;;4;;;;;4
SLTN IT Professionals B.V.;;;;;;3;;3
SMART-ICT B.V.;;;2;;;;;2
SOCIAAL NL SCHULDSANERING;;;;;;;1;1
Sodexo B.V.;;1;;;;;;1
SoftwareONE B.V.;;1;;;;;;1
Sogeti Nederland B.V.;;;;;;7;;7
Solau Music;;1;;;;;;1
SOLID SENSE;;1;;;;;;1
SPANJERSBERG ORGANISATIEADVIES;;1;;;;;;1
Sprengers advocaten;;1;;;2;;;2
ST NEDERLANDS COMITE VOOR IUCN;;;2;;;;;2
STATISFACT B.V.;;;2;;;;;2
Stede Advies;;;;;2;;;2
Steinbuch Consultancy;;2;;;;;;2
STG ECONOMISCH INST VOOR DE BOUW;;;4;;;;;4
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;2;1;;;;;2
Stg. Standaardbestek Burg.- en Utiliteitsbouw;;2;;;;;;2
STICHTING ACCESSIBILITY;;;1;;;;;1
Stichting BIM Loket;;4;;;;;;4
STICHTING BOUWKWALITEIT;;;2;;;;;2
Stichting Bouwreflectie;;1;;;;;;1
Stichting Brabantse Milieufederatie;;;1;;;;;1
Stichting Bureau Documentatie Bouwwezen;;1;;;;;;1
Stichting Buurtschap Heimolen;;;1;;;;;1
Stichting CAOP;;;2;;;;;2
STICHTING CODE VERANTWOORDELIJK MARKTGED;;;1;;;;;1
Stichting Connekt;;1;;;;;;1
Stichting De Bouwcampus;;4;;;;;;4
Stichting Deltares;;;2;;;;;2
Stichting Design for Humanity;;;1;;;;;1
STICHTING HOLLAND PROPERTY PLAZA;;2;;;;;;2
Stichting Kennis Gebiedsontwikkeling (SKG);;1;;;;;;1
STICHTING KLIMAATVERBOND;;;1;;;;;1
STICHTING MAATSCHAPPIJ EN VEILIGHEID;;;2;;;;;2
Stichting Milieuplatform Leeuwarden;;;1;;;;;1
Stichting MOVISIE;;;2;;;;;2
Stichting Nispen Blues;;;1;;;;;1
STICHTING SBRCURNET;;2;3;;;;;3
STICHTING SOCRATES NEDERLAND;;;1;;;;;1
Stichting Stimular;;;2;;;;;2
Stichting SVB-BGT;;;4;;;;;4
Stoof Verhuizingen;;1;;;;;;1
Strict Consultancy B.V.;;;1;;;;;1
STUDIO COKS PRINS AMSTERDAM;;;2;;;;;2
SUSTAINABLE CHANGE;;;2;;;;;2
Sustainable Change B.V.;;2;;;;;;2
Sweco Nederland B.V.;;;2;;;;;2
Sweegers en de Bruijn B.V.;;;3;;;;;3
Task Engineering & Projectmanagement B.V.;;2;;;;;;2
Tauw B.V.;;;1;;;;;1
Teeling Interim;;;2;;;;;2
TER HAAR GEOINNOVATION LIMITED;;;2;;;;;2
Textinfo B.V.;;;;;;6;;6
The Language Lab B.V.;;;1;;;;;1
The Resources Factory B.V.;;;3;;;;;3
Things To Make And Do B.V.;;1;;;;;;1
TIME LEX;;;;;2;;;2
TNO;;;4;;;;;4
TNO B.V.;;;4;;;;;4
TNS NIPO B.V.;;2;2;;;;;3
TRANSCRIPTIE ONLINE;;;;;;1;;1
Trots Consultancy & Detachering B.V.;;;4;;;;;4
TUV RHEINLAND;;;1;;;;;1
TWYNSTRA GUDDE;;;2;;;;;2
TWYNSTRA GUDDE MOBILITEIT &;;;2;;;;;2
Uneto-VNI;;1;;;;;;1
Unique Sources Advies;;2;;;;;;2
Unisys Nederland B.V.;;2;;;;;;2
Unit 13 Shop B.V.;;;2;;;;;2
Unzip Holding B.V.;;2;;;;;;2
UrbanPerspectives;;2;;;;;;2
USG MARKETING COMMUNICATION & SALES PROF;;;1;;;;;1
UvA Cafe de Krater;;1;;;;;;1
VADEZI;;;1;;;;;1
Van Boven & Van der Hek Exploitatie;;1;;;;;;1
Van de Laar;;;1;;;;;1
Van der Heijden Milieu- en Install.techn.;;;1;;;;;1
Van der Linden-van Giersbergen B.V.;;;3;;;;;3
Van der Vleuten interim- & project;;;1;;;;;1
VAN DICHTBIJ B.V.;;;2;;;;;2
Van Iperen Interim Management;;;;2;;;;2
Van Ledden Infra B.V.;;;1;;;;;1
Van Loon Technisch Consult;;;1;;;;;1
Van Nistelrode Holding B.V.;;;1;;;;;1
VAN ZUTHPEN ECONOMISCH ADVIES;;;1;;;;;1
VANDENBOOG ATELIER;;;1;;;;;1
VAROSKUTATAS;;;1;;;;;1
Vastgoeddata Nederland B.V.;;2;;;;;;2
Vastint Netherlands B.V.;;;2;;;;;2
VCD CSS;;;;;;2;;2
VEKTIS;;;1;;;;;1
Velocity Landscapes;;2;;;;;;2
Ver. v. Eigen. Complex De Omloop IV te Dokkum;;;1;;;;;1
VERDONCK KLOOSTER & ASSOCIATES;;;3;;;;;3
Verdonck, Klooster & Associates B.V.;;;2;;;;2;2
Vereniging Gelderse Natuur en Milieufederatie;;;1;;;;;1
Vereniging van Bos- en Natuurterreineigenaren;;1;;;;;;1
Verhaaren Consult;;1;;;;;;1
Verhoeven en Leenders Beheer B.V.;;;3;;;;;3
VERT VAN NED IN DE NED ANTILLEN;;;1;;;;;1
VERTAALBUREAU BOTHOF;;;1;;;;;1
Vigier Infra Projecten B.V.;;;1;;;;;1
Visser Dana;;1;;;;;;1
Vitruvius Consultancy B.V.;;;2;;;;;2
Volantis B.V.;;;1;;;;;1
Vrijhof Michael;;1;;;;;;1
WagenaarHoes B.V.;;;1;;;;;1
Wastewatchers B.V.;;;1;;;;;1
Waterbouwers van Vereniging;;2;;;;;;2
Watercollectief BV;;;2;;;;;2
Westmarc Pschychotherapie & Coaching;;1;;;;;;1
WHR Installatie-adviseurs Breda B.V.;;;2;;;;;2
Wim Drees Stichting voor Openbare Financiën;;1;;;;;;1
Wink legal & procurement;;;2;;;;;2
Wirtz, Film & Experience Agency B.V.;;;;2;;;;2
Witteveen+Bos;;;4;;;;;4
WORTGEWANDT;;;1;;;;;1
Xerox (Nederland) B.V.;;1;1;;;;;1
Xerox Document Supplies BV;;;1;;;;;1
YNFORMED;;;1;;;;;1
Zecc Architecten B.V.;;1;;;;;;1
Zonneveld ingenieurs B.V.;;2;;;;;;2
Anoniem 867;;2;;;;;;2
Eindtotaal;3;7;9;3;6;8;4;10
