LOCATIE;VINDPLAATSNUMMER;PERIODE_AARD;PROJECT;OBJECTID;X;Y;LONG;LAT
Ereprijsweg ;20;MEV, MEL, Nederzetting;Vindplaats 20;18;76907.0291000009;454038.090100003;4.248226390789659;52.069118383897305
Lohengrinstraat ;21;IJZL, Losse vondst;Vindplaats 21;19;76319.0144000016;453531.132000001;4.239768741457119;52.06447930703448
Hengelolaan ;23;IJZM, Nederzetting;Vindplaats 23;20;78576.9770999998;451550.548700003;4.273134573067083;52.04699653675984
Strand Kijkduin tussen hoofden 20 en 21 ;24;IJZL, Nederzetting;Vindplaats 24;21;73719.9882999994;452711.0601;4.202068890134905;52.05673436370776
Dedemsvaartweg ;25;"IJZM, Beschoeiing; ROMM, Nederzetting";DED89;22;78069.4083000012;451724.907000001;4.265697505711547;52.04849321030859
Groenmarkt*;26;MEL, Stadskasteel van Brederode;Vindplaats 26;23;81047.9318000004;454951.014100001;4.308412615563485;52.077891082591584
Strand Kijkduin bij hoofd 24 ;28;IJZL, Nederzetting;Vindplaats 28;24;74292.0152999982;453390.169700002;4.210247391024171;52.06292085590192
Solleveld ;29;MEV, Grafveld;SOL04o, Braat 1954;25;73954.2987000011;452125.3783;4.205623608272684;52.05150543671766
Dorpersdreef ;30;MEL, Huisplaats;Vindplaats 30;26;77620.8795999996;450140.025400001;4.259518727212396;52.034187865981906
Lozerlaan (vanaf Erasmusweg tot Sterflat), Lozerlaan (bij Sterflat);31;ROMV, ROMM, Cultusplaats, Nederzetting;LZL00o, LZL92, LZL93, LZL94, Vindplaats 31, LZL94, GAS90;27;77470.8207000011;449803.740500002;4.257408475131997;52.03114479589657
Jonkersdreef ;32;IJZM, Losse vondst;Vindplaats 32;28;77806.1656999998;449995.0763;4.262251213271507;52.03291107936206
Gravendreef ;33;ROM, MEL, Losse vondst;Vindplaats 33;29;77653.9200000018;449973.102899999;4.260037902089456;52.032692388328854
Wijndaelerplantsoen, Meer en Bosch ;34;"BRONSM, Nederzetting; IJZ, Nederzetting, Akker";WDP07o, Vindplaats 34;30;75902.1444999986;453334.1791;4.233736161342781;52.062649986631634
Erasmusweg ;35;ROM, Nederzetting;Vindplaats 35;31;78423.0439000018;450236.037600002;4.271185444950484;52.03516210247181
Grote Markt 6-7 Prinsegracht 1-3*;36;"MEL, NT, St. Elizabethklooster, kerkhof; NT, huisplaats, markt- en waaggebouwen";Vindplaats 36;32;81046.4199000001;454697.539100001;4.308445505489688;52.075612960107655
Wateringse Veld Rhijenhof ;39;ROMM, Nederzetting;RHY99;33;78858.8176999986;450034.858800004;4.277579980038534;52.033414183665315
Den Helderstraat ;40;"MEL, Huisplaats; NT, Schuilkerk";Vindplaats 40;34;78218.0368999988;453447.964999999;4.267476511255006;52.063998447901874
Gevangenpoort*;41;MEL, NT, Poortgebouw Binnenhof ;GEV07b, Vindplaats 41, GEV09w, GEV13a, GEV16a;35;81171.7065000012;455133.6012;4.310178383748604;52.07954846744283
De Werf ;42;MEL, Huisplaats;Vindplaats 42;36;76570.7659000009;450985.260200003;4.244023893095876;52.041636142208475
Nikkelwerf ;43;ROMM, Nederzetting;NKW99;37;76751.9574000015;451049.464499997;4.246649734252303;52.042238738616504
Johan de Wittlaan (Congresgebouw) ;44;"BRONSM, Nederzetting; IJZL, Vondstlaag; MEL, Vondstlaag";Vindplaats 44;38;79285.9913999998;456607.031100004;4.282346823823748;52.092535059652036
Sportlaan ;45;IJZL, Nederzetting;Vindplaats 45;39;76762.9486000017;454639.068200001;4.245987617517437;52.074498811423254
Monsterseweg ;46;PREH, ROM, Vondstlaag;GAS90;40;74873.0711000003;451702.081300003;4.219115179335984;52.04783507733918
Lozerlaan (volkstuintjes) ;47;IJZM, Losse vondst;Vindplaats 47;41;76339.8623999991;450900.118600001;4.240678489183077;52.04083827722192
Zinkwerf ;48;IJZM, Losse vondst;Vindplaats 48;42;76804.9320000001;451584.106600002;4.247299439968874;52.047050874978645
Wateringse Veld ;49;MEL, Stenen Kamer ‘Huis ten Hoeke’;HAA98;43;80242.1689000018;449387.423000002;4.297877868248832;52.027784063479906
Willem III straat (Hervormde Kerk) ;50;MEL, Kloosterkerk met begravingen;Vindplaats 50;44;75977.8933000006;452006.092100002;4.235147837477397;52.05072577880495
Oude Molstraat/Nobelstraat*;52;MEL, Steenbouw;Vindplaats 52;45;80973.9285000004;455012.120200001;4.307320003006086;52.078430340017306
Strand Kijkduin tussen hoofden 25 en 26 ;53;IJZL, Aardewerk in veen;Vindplaats 53;46;74583.125500001;453736.0052;4.214410321098204;52.066071070707125
Madestein Stenen Kamer ;54;"NEOL, Nederzetting; MEL, NT, Stenen Kamer";MAD08w;47;75024.3013999983;451347.158599998;4.221402432782207;52.04466737424495
Noordweg 74 ;56;ROM, Nederzetting;Vindplaats 56;48;79311.9237999991;450294.1076;4.284124653517706;52.035806051518335
Badhuisweg 115, Nieuwe Parklaan 59 ;57;IJZL, Nederzetting, Akker;BAD16o. BAD16p;49;79989.2309999988;458196.722199999;4.292257118064105;52.10691687959248
De Uithof ;58;"ROMM, Nederzetting; MEL, Kloostermoppen";Vindplaats 58;50;76675.0971000009;449683.0933;4.245842585599058;52.0299487216254
Nobelstraat 1A-G*;59;NTV, Huis;NOB84;51;80966.5940999984;455063.1529;4.307201953453273;52.07888797807641
Oude Molstraat 20-24, 30-32A, 36 en 40*;60;MEL, NT, Huis;Vindplaats 60;52;80929.9012999982;455109.101200001;4.3066567930911495;52.079295997069686
Uithof (Wennetjessloot) ;62;"ROM, Nederzetting; MEL, Verkaveling";Vindplaats 62;53;76468.8839999995;450166.247599999;4.242727258747808;52.03426150910165
Jan Hendrikstraat*;63;MEL, NTV, Beerput;Vindplaats 63;54;80964.0124000013;454688.967700004;4.3072454958877735;52.075524919304726
Gedempte Gracht*;64;MEL, NT, Huis;Vindplaats 64;55;81506.9191999994;454819.105600002;4.315135469820121;52.07676676005212
Spui (Nieuwe Kerk)*;65;"MEL, Steenbouw; NTV, Kerkhof";Vindplaats 65;56;81547.1750000007;454770.9003;4.315732973329182;52.07633889083288
De Bataaf ;66;BRONS, Nederzetting;BAT97;57;80291.4272999987;457145.151000002;4.296898141765382;52.09750762514397
Korte Vijverberg 29 (Mauritshuis)*;67;NTL, Steenbouw;Vindplaats 67;58;81461.9748000018;455212.019900001;4.314395267737724;52.08029182666619
Loosduinse Hoofdstraat/Arnold Spoelstraat ;68;"ROM, Akker; MEL, Veenwinning; NT, Steenbouw";LSD83;59;75917.2842999995;452296.585999999;4.234197151983784;52.05332769242116
Hoge Nieuwstraat 17-19*;69;MEL, NTV, Steenbouw;Vindplaats 69;60;81281.8764000014;455327.040600003;4.311743493562977;52.08130154158466
Oude Waalsdorperweg (TNO) ;70;MEL, Akker;TNO83;61;82344.5293999985;458444.1775;4.326579336191106;52.109455030256875
Wagenstraat 57*;72;MEL, Steenbouw;CS84;62;81318.8170000018;454719.817600002;4.312413465881924;52.07584948364275
Korte Houtstraat 27-33*;73;"NTV, Kademuur, Steiger; NT, Steenbouw";KH84;63;81651.6129000001;455041.1366;4.31719807610898;52.07878129027906
Westduinen, Solleveld ;74;MEL, NT, Boerderij;Vindplaats 74;64;73594.9750999995;451918.069800004;4.200435414831126;52.04958977159732
Johan van Oldenbarneveltlaan 91-99, Scheveningseweg 80-82, Frankenslag ;75;"IJZ, ROM, Akker; MEV, Akker, Nederzetting; MEL, Akker";FHL07o, FRA87, FRS96, JOB84, JOB93;65;79165.7388000003;457305.803500001;4.280436880066742;52.09879822981141
Scheveningseweg 62-66 ;76;"ROMV, Nederzetting; ROMM, Vicus; MEV, Akker";SCH84;66;79357.8205000013;457178.8552;4.283267903718491;52.09768367895914
Uithofspolder ;77;IJZM, Nederzetting;UHP84;67;77015.014800001;450403.873500001;4.25063063363453;52.03647408681669
Spui Houtmarkt*;78;NT, Steenbouw;SH85;68;81679.7217999994;454837.843100001;4.3176517487334385;52.076958057846944
Riviervismarkt 3- 5*;79;MEL, NT, Steenbouw;RIV03o;69;80972.4305999987;454808.4363;4.307342350483277;52.07659968092961
Katerstraat*;80;NT, Verkaveling;Katerstraat;70;81224.1715999991;454488.175000002;4.311083187592885;52.073755162074384
Westeinde 48*;81;NT, Steenbouw;WES86;71;80682.8685000017;454728.263000001;4.303136615489844;52.07584039669516
Kazernestraat 50-52*;82;NTL, Steenbouw;KAZ86;72;81295.8583000005;455591.133100003;4.311890372044616;52.083676740630004
Gedempte Gracht*;83;MEL, NT, Steenbouw;BIJ86;73;81376.1004000008;454764.191600001;4.313239344518698;52.07625588205991
Grote Kerk, Kerkplein*;84;"PREH, Akker; MEL, NT, Kerk en Kerkhof";GRK87, GRK02w, GRK03w, GRK04o, GRK04w, GRK05o, GRK05w, GRK06w, GRK07o, GRK08w, GRK10w, GRK16h, GRK17o, GRK20w;74;80963.3724999986;454905.3361;4.3071892128351985;52.077469285427235
Bronovo (ziekenhuis) ;85;"BRONSM, Nederzetting; IJZ, Akker";BRO86, BRO90;75;81780.9549000003;457581.145500001;4.318539133893254;52.10162488404705
Eisenhowerlaan 142-152 ;86;"IJZL, Akker; MEV, Akker";EIS86;76;79324.9587000012;456848.757700002;4.282861689520829;52.09471270789679
Ockenrode / Solleveld (Westlandse Duinwaterleiding Maatschappij) ;87;MEV, Nederzetting;WDM86, WDM87;77;74085.4362999983;452340.384700001;4.207484181648587;52.05345677143699
Spui 138-146 / Oude Brouwerij*;88;"MEL, Steenbouw; NTV, Brouwerij ‘De Ooyevaar’";STH88, TUF88;78;81602.6922999993;454876.392999999;4.316519984946584;52.07729429257819
Churchillplein ;90;IJZL, Akker ;CHU89, CHU90;79;79387.6002999991;456768.515799999;4.283793468873359;52.094000162345615
Spui / Amsterdamse Veerkade e.o.*;91;MEL, NT, Huis;SPU90;80;81615.7710000016;454730.517700003;4.31674211341744;52.07598507590955
Monsterseweg 29-37 ;93;"IJZL-ROM, Nederzetting; MEL, Nederzetting";GAS90, MOW04o;81;74505.7049000003;451555.324000004;4.213795347587703;52.046462984536504
Lange- / Korte Voorhout (voormalige Amerikaanse ambassade)*;94;"BRONSM, Akker; MEL, NT, Ophogingspakketten";AAM91;82;81481.1634999998;455458.620299998;4.314622005122352;52.08251051707519
Annastraat 8-14*;95;"IJZL, ROM, Akker; MEL, NT, Steenbouw";ANN91;83;81044.6405000016;455018.6532;4.30834994886848;52.07849849963643
Prinsegracht 79-93 97-99*;96;NTL, Steenbouw ;PRI96;84;80550.0575000011;454417.607200002;4.3012674101582675;52.07303076948553
Boekhorststraat 16-20, 19-23*;97;MEL, NT, Turfwinning, Steenbouw;BKH91;85;81104.3938000016;454582.188000004;4.309316005188054;52.074584065602295
Lozerlaan / Erasmusweg ;98;IJZM, Nederzetting;LZL91;86;77454.511500001;449699.439800003;4.257194498028085;52.030205192050424
Bierstraat 18-20, Bierstraat 8-16, Bierstraat 7-11, Bierstraat 31*;99;MEL, NT, Huizen;BIR92, BIR94, BIR95, BIR98;87;81687.8079000003;454641.947200001;4.31781177486357;52.07519865327776
Lange Voorhout*;100;"MEL, Afvalkuilen; NTV, Huis ";LVH92;88;81316.3502000011;455383.0833;4.312234234205261;52.08180977334318
Spui 173*;101;MEL, NT, Huis;Vindplaats 101;89;81569.157900002;454821.217400002;4.316042759069289;52.07679399532946
Sint Jacobstraat, Wagenstraat*;102;"MEL, Verkaveling; NTV, Steenbouw";JAC97, WAG92;90;81478.6218999997;454667.439500004;4.314755437858425;52.07540001343212
Han Stijkelplein ;103;"ROM, Nederzetting; MEV, Nederzetting";HSP92;91;80792.7536999993;458146.951200004;4.303995115905264;52.10657796975892
Jan Willem Frisolaan ;104;ROM, Nederzetting;JWF92;92;79588.3365999982;456847.082600005;4.286704909270923;52.09473360766501
Hardans Nobelstraat 11, Nobelstraat 11-19*;105;"IJLL, ROM, Akker; MEL, NT, Steenbouw";HAR98, KOR93;93;80878.1330000013;455007.685699999;4.305923752583922;52.078377672891364
Vlamingstraat 40*;106;MEL, NT, Steenbouw;VLA93;94;81083.7386000007;454750.7849;4.308978244255824;52.076096450454145
Spui tussen Grote Marktstraat en Amsterdamse Veerkade*;107;MEL, NT, Kademuur, Steenbouw;Vindplaats 107;95;81639.0692999996;454828.220500001;4.317060903325027;52.07686619725494
Lange Voorhout (Rekenkamer)*;108;"IJZL, Akker; MEL, NT, Dominicanerklooster";REK94;96;81146.7939000018;455447.390100001;4.309747077718576;52.08236509167498
Boekhorststraat, Zuidwal*;109;NTM, Leerlooierij, Steenbouw en Erven;ROX95, ZWL94;97;81258.1616999991;454346.442299999;4.311609521553501;52.07248596841017
Bleijenburg 8, 30-32*;110;NTM, Steenbouw;BLB95;98;81687.9877000004;455285.066700002;4.317676200510142;52.08097825468037
Grote Markt*;111;MEL, NT, Elisabethklooster, Steenbouw, Kademuur Prinsegracht;GML02o, GML03o, GML95;99;81071.7184999995;454720.786299998;4.3088094353205895;52.075825255362425
Spui 39-43*;112;MEL, NT, Steenbouw;HMH95;100;81439.493900001;454928.437399998;4.314128508145217;52.07774034781959
Ockenburgh (zuiddeel) ;113;IJZ, Vondstlaag;Vindplaats 113;101;74633.8531000019;452324.069000001;4.215482252808266;52.053389976812944
Lange Voorhout 7*;114;"PREH, Akker; MEL, NT, Steenbouw";LVH96;102;81217.4318000003;455338.676300001;4.310800966065803;52.081397524566874
Zieken*;115;MEL, NT, Herberg, Pottenbakkerij;ZIE96;103;81842.9120000005;454569.806200003;4.320089338317276;52.074570848895235
Wateringse Veld ;116;NEOM, Losse vondst;GRO96;104;79891.0854000002;449128.342999998;4.292819860164692;52.0254083057903
Wateringse Veld (Lage Veld) ;117;NEOM, Losse vondst;LAG96, LAG97;105;80184.4620999992;448971.195700003;4.297128161919969;52.0240357097056
Wateringse Veld ;118;ROM, Nederzettingen, Verkavelingen;OLS96, OLS97, OVE96, VIS98, WEL96, WEL97;106;79625.5419000015;449248.896200005;4.288924845966637;52.0264556627344
Grote Marktstraat / Voldersgracht / 1e Haagpoort*;119;MEL, NT, Kade, Steenbouw;SOU97;107;81356.2027999982;454833.5339;4.312934177088056;52.076876399980776
Herengracht 1 / Fluwelen Burgwal 2-6*;120;NTM, Steenbouw en Erven;HER99;108;81751.4155000001;455201.245700003;4.318619373564803;52.08023336833389
Isabellaland ;121;NT, Landscheiding;IBL97;109;85387.4521000013;456688.704700001;4.371351663700365;52.094070029032835
Wateringse Veld ;122;"ROMM, Nederzetting, Verkaveling; MEL, NT, Boerderij";STE99;110;79593.5364000015;450800.6311;4.288116443383345;52.04039645608245
Wateringse Veld ;123;ROMM, Mijlpalen, Grafveld, Duiker;VEL97;111;79514.2474000007;449329.403700002;4.287285700027852;52.02716402840874
Spui / Grote Marktstraat*;124;MEL, NT, Spuikade, Steenbouw en Erven;per 22/4 in Gisib (oa onderdeel v SOU97);112;81468.9820000007;454901.168100001;4.314564474788864;52.0774992012857
Lutherse Burgwal-Raamstraat -Achterraamstraat-Grote Marktstraat*;125;MEL, NT, Steenbouw en Erven, Kade;per 22/4 in Gisib (oa onderdeel v SOU97);113;81160.7228000015;454709.323399998;4.310110003264;52.07573411626864
Grote Marktstraat / Wagenstraat*;126;MEL, NT, Steenbouw, Leerbewerking;SOU97;114;81248.6851999983;454766.462800001;4.311380542034415;52.076259337428915
Oud Eik en Duinen ;127;MEL, NT, Kloostermoppen;EIK98;115;78040.2932999991;453836.587300001;4.264797306985121;52.06746620311875
Driehoekjes / Grote Halstraat / Annastraat*;128;MEL, NT, St. Nicolaasgasthuis;DRI99;116;81043.9508000016;454983.304400003;4.30834755212973;52.07818073620276
Uithof ;129;ROM, Crematiegraf, Verkaveling;UHV99;117;76502.8770999983;450407.637700001;4.243167156318819;52.03643562205174
Dr Van Welylaan 2 (voormalig Juliana Kinderziekenhuis) ;130;IJZM, IJZL, Nederzetting ;JKZ99o;118;77498.3649999983;455705.555599998;4.256470583052612;52.08418637845416
Wateringse Veld ;131;ROMM, Verkaveling;HAA98;119;80241.9402000011;449387.585400004;4.297874500859067;52.02778549210674
Wateringse Veld / Rhijenhof ;132;NEOL, Nederzetting;GSC00o, JON00o, RHY00o;120;78831.3902000002;450189.057500001;4.277146001751034;52.034796165799214
Rabbijn Maarsenplein, Gedempte Gracht 39-85*;133;MEL, NT, Steenbouw;BEZ00o, GDG03o;121;81443.1600000002;454729.476600002;4.3142248727409145;52.075952817939914
Kettingstraat / Achterom 36-40*;134;MEL, NT, Steenbouw, Overkluizing;KET00o, KET02o, KET03o;122;81204.8480000012;454952.335800002;4.310700987305377;52.07792389526735
Oosteinde 114, Wateringse Veld ;135;ROMM, Weg, Verkaveling;OOS07o, RUY01o;123;80159.0320000015;449587.889199999;4.296622800417345;52.02957440512288
Wateringse Veld (Hoge Veld) ;136;"IJZL, Huisplaats; ROMV, ROMM, Nederzetting, Verkaveling; MEL, NT, Verkaveling";HVE01o;124;79305.2978000008;449668.742800002;4.284166507599558;52.030185117143944
Boekhorststraat 77-83*;137;"MEL, Veenwinning; NT, Steenbouw";BHH01o;125;81117.6565999985;454449.9445;4.309538063769455;52.073397392763304
Willem Lodewijklaan (Chinese ambassade) ;138;"BRONS, IJZ, Akker, Nederzetting; ME, Akker";WLL01o;126;79530.1118000001;456641.318000001;4.285900928854962;52.092876529049846
Wateringse Veld ;139;"ROMM, Grafheuvel, Verkaveling, Weg; MEL, NT, Steenbouw";TNK02o;127;79633.6129000001;449384.941500004;4.289012457922394;52.02767937481428
Lange Houtstraat*;140;MEL, NT, Steenbouw;LHS02o;128;81608.3464000002;455256.529599999;4.316520672008077;52.08071124688793
Hofweg *;141;NT, Steenbouw;HBK02w;129;81288.4233000018;455042.761400001;4.311900415588582;52.07874766153451
Fahrenheitstraat / Weimarstraat ;142;MEL, Veenwinning;WIT02o;130;78675.8731999994;454419.222100002;4.273934849623388;52.07279012735578
Lange Voorhout (Diligentia)*;143;MEL, NT, Steenbouw;DIL02w;131;81181.7551999986;455329.689300003;4.310282518951709;52.081312004988526
Wateringse Veld (Boezemland-Noordhof) ;144;"IJZV, Nederzetting, Akker, Zoutwinning; IJZL, Nederzetting, Akker, Dam; ROMM, Nederzetting, Verkaveling; MEL, Nederzetting, Akker, Verkaveling";BOE03o, NOF03w, NOF06o, NOF06p, NOF09p, NOF13o;132;79508.6524999998;450330.179599999;4.2869833100215;52.036157050864205
Houtrust ;145;"IJZ, Akker; MEL, Akker";HST03o;133;78481.1407000013;455911.397999999;4.27076027843302;52.08617294619573
Uithofslaan ;146;"IJZL, Nederzetting; ROMM, Nederzetting, Verkaveling; MEL, NT, Uithofsboerderij van klooster Leeuwenhorst";UHL01p, UHL02p, UHL02p, UHL03o, UHL03o, UHL05o, UHL05o, UHL05o, UHL15o;134;76708.5546000004;449606.998499999;4.246347456478142;52.02926960585177
Landscheidingsweg ;147;MEL, Verkaveling;LAN03w, Vindplaats 147;135;84713.6152999997;457766.637600002;4.361297619395871;52.10367211981758
Voldersgracht*;148;MEL, NT, Kade/loswal, gracht;VOL04o;136;81429.7912000008;454814.897300003;4.314011475432031;52.07671869898679
Oude Waalsdorperweg 37-38 Alexanderkazerne ;149;"BRONSM, Nederzetting; BRONSL, Crematiegrafveld; IJZL, Nederzetting; MEV, Akker; MEL, Boerderij";OWW03p, OWW04o;137;82214.7105999998;458240.859600001;4.324727999960274;52.107610798544194
Buitenhof*;150;MEL, NTV, Valkhuis, Hondenhuis, Stallen ;VIJV05o;138;81151.8922999986;455117.010600002;4.309892969981819;52.079396729250604
Rotterdamseweg-Buitenplaats Delfvliet ;151;NT, Buitenplaats Delfvliet;Vindplaats 151;139;83852.1477999985;451467.5697;4.350038904606264;52.0469531267498
Westvlietweg-Huis den Hoonaert ;152;NT, Huis den Hoonaert, Baroktuin;Vindplaats 152;140;84689.568599999;453253.878600002;4.361876884207434;52.063113410323695
Hoornwijck-Johannahoeve ;156;NT, Johannahoeve;Vindplaats 156;141;84188.8381999992;451650.581000003;4.35490833759169;52.048640947056874
Ypenburg-Nieuwe Broekmolen ;158;NT, Poldermolen;Vindplaats 158;142;84489.3980999999;451304.787000002;4.3593606040378585;52.045571626888375
Ypenburg-Locatie 4 ;159;NEOM, Nederzetting, Grafveld, Akker;Vindplaats 159;143;85129.7600000016;450779.4542;4.368801186734477;52.04093154443873
Leidschenveen-Veenweg ;160;MEL, Dijk;Vindplaats 160;144;87515.3269000017;453359.075300005;4.403057621446733;52.06441014344955
Ypenburg-Boslaan locatie 5 ;161;NTL, Houtbouw;Vindplaats 161;145;85104.0945999995;451237.445900002;4.36833349707503;52.04504426913557
Ypenburg-Boslaan locatie 6 ;162;MEL, Losse vondst;Vindplaats 162;146;85198.9600000009;451140.830700002;4.369735864697331;52.04418794200287
Ypenburg locatie 9 ;163;MEL, Losse vondst;Vindplaats 163;147;85541.7333999984;451586.388700002;4.374641035103296;52.04823521047182
Ypenburg-locatie 25 (GAVI kavel) ;164;NEOL, Nederzetting;GAV21b, Vindplaats 164;148;85945.3187000006;452624.546100003;4.380313761060327;52.05761552851678
Herinrichtingsgebied Leidschendam/Nootdorp ;165;"ROM, Verkaveling; MEL, Verkaveling; NT, Verkaveling";Vindplaats 165;149;84196.4068000019;452423.040399999;4.354858566128808;52.05558394586272
Leeuwenberg ;166;ROM, Nederzetting;LWB18o;150;84400.2996000015;452171.555500005;4.357882912455604;52.053349880589906
Hertenrade ;168;ROM, Nederzetting;HRR06o;151;77856.2364000008;451578.913300001;4.262623380180089;52.047151567620396
Loevesteijnlaan e.o. ;169;NEO, ROM, Huisplaats;AHR33;152;79207.4277999997;451890.787300004;4.282247964786524;52.05014077277111
Dunne Bierkade 4*;170;NT, Steenbouw ;DBK04o;153;81571.1515000016;454487.6481;4.316143618409233;52.07379654353074
Achter Raamstraat*;173;MEL, NT, Steenbouw;ARA05p;154;81230.0401000008;454669.604200003;4.311129550136384;52.075386407485226
Malieveld ;174;NT, Stadslaag;MAL05o;155;81796.2608000003;455630.566100003;4.319181350610859;52.08409750903548
Norgstraat ;175;MEL, Verkaveling;NOR05p;156;78419.5227000006;451439.114000002;4.270864641524619;52.045973363358506
Harstenhoekweg ;176;"IJZL, Nederzetting; MEV, Akker";Vindplaats 176;157;80474.8878000006;459092.142700001;4.299149172371845;52.11502938029325
Catshuis ;177;NT, Catshuis, Tuin;CAT03o;158;79455.0665999986;456369.736000004;4.28486619910271;52.09042566869682
Spui Lamgroen*;178;NT, Steenbouw;SPL09o;159;81862.1457000002;454655.953600002;4.320351381037034;52.07534757840195
Gaslaan 125 (Groenesteijn) ;179;MEL, Boerderij;GSL08o;160;79645.6706000007;454447.128299998;4.288071707029722;52.07317373696269
Westvlietweg ;180;"NEOM, Nederzetting; NEOL, Depositie";WVW08p;161;85662.7439000011;453898.944800001;4.3759353725895105;52.06903321211743
Madepolderweg 45 en 55-57 ;181;"NEOL, Vondststrooiing; IJZ, Nederzetting, Akker, Veenweg/Veenbrug; ROMM, Nederzetting; MEL, Nederzetting";MAW17p;162;74757.2201999986;450163.330100003;4.217787818906221;52.03399016058914
Wateringse Binnentuinen ;182;"NEOM, Jachtkamp/Extractiekamp; NEOL, Nederzetting";WBT11o, WBT11o, WBT11o, WBT12o, WBT12p;163;79796.3005000018;450567.874400001;4.291122512560656;52.038332268016106
Bezuidenhoutseweg 104 ;183;MEL, NTL, Steenbouw;BHW18o;164;82698.3674000017;455914.5046;4.332280471878085;52.086767747443545
Eiberplein ;184;IJZ, Nederzetting, Akker;EIP12o;165;76962.1284999997;455013.471500003;4.248806802380591;52.07789154214642
ESDO-locatie ;185;"IJZM, Nederzetting, Veekraal; ROMV, Nederzetting; ROMM, Akker/moestuin; MEL, Zandwinning; NT, Akker";ESD12p;166;78743.311999999;450400.510100001;4.2758154555457875;52.0366843328974
Fazantplein ;186;IJZ, Nederzetting, Akker;FAZ10p;167;77394.3223999999;455417.493900001;4.255018448647936;52.08158309754762
Prinsestraat Nobelstraat (Korzotheater)*;187;MEL, NT, Steenbouw;KOR09p;168;80840.5108000003;455026.5451;4.305370919624163;52.078542120170624
Kwartellaan ;188;IJZV, Nederzetting, Akker ;KWL11o;169;77166.6446000002;455287.975200002;4.251727042908946;52.080387195268166
Meppelweg 1401-1403 ;189;"ROMM, Nederzetting; MEL, Nederzetting";MPW15p;170;76665.6132000014;450961.6593;4.245411528135126;52.041437463084655
Nieuwe Haagse Passage*;190;MEL, NTL, Steenbouw;NHP11o;171;81329.2311999985;454877.302800002;4.312531348169754;52.077266153509036
Noordweg 76 (volkstuinen), ;191;"NEOL, Nederzetting; IJZ, Nederzetting; ROM, Nederzetting; MEL, Akkers";NOO17p, NOO18p, NOO19p, STY12o, STY17o;172;79435.7826999984;450547.645000001;4.28587342562987;52.03810143829821
Noordwal / Veenkade*;192;NTL, Kade/loswal;NWL11p;173;80689.490699999;455175.078600002;4.3031358753561175;52.079856706433425
