Monumentnummer,Wkpb inschrijfnummer,Datum besluit,Locatieomschrijving,Monumenttype,Categorisering,Bouwtype,Architect,Bouwstijlen,Bouwperiode,Naam van monument,Gemeente,CBS Gemeentecode,Wijknaam,CBS Wijknummer,BAG Referentienummer,Straatnaam,Huisnummer,Postcode,Plaats,Extra adresaanduiding,RDX,RDY,latitude,longitude
GM2002-01,19,20010410000000,Oude Sluis 17,pand,woonhuis,diep huis,,"traditioneel, classicistische elementen",1800-1850,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000019902,Oude Sluis,17,3433ZC,Nieuwegein,,135005.76,446244.4,52.004213,5.096019
GM2001-15,20,20010410000000,Oude Sluis 21,pand,onderwijs,school,"Willemse, N. (uitvoerder)",eclecticisme,1850-1880,Bewaarschool,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000019905,Oude Sluis,21,3433ZC,Nieuwegein,,134999.05,446226.69,52.004053,5.095923
GM2001-16,21,20010410000000,Overeindseweg 38 ,pand,agrarisch,boerderij,,traditioneel,1700-1800,,Nieuwegein,GM0356,Wijk 20 Laagraven,WK035620,356200000020128,Overeindseweg,38,3439LP,Nieuwegein,,136868.5,450001.22,52.038043,5.122948
GM2001-18,22,20010410000000,Utrechtsestraatweg 1,pand,onderwijs,onderwijzerswoning,,neogotiek,1910-1920,Schoolmeesterswoning Nicolaasschool,Nieuwegein,GM0356,Wijk 02 Zuilenstein,WK035602,356200000025629,Utrechtsestraatweg,1,3438AK,Nieuwegein,,134998,450092.87,52.038802,5.095682
GM2001-03,23,20010410000000,Utrechtsestraatweg 6,pand,religie,kosterswoning,,neogotiek,1910-1920,,Nieuwegein,GM0356,Wijk 02 Zuilenstein,WK035602,356200000025632,Utrechtsestraatweg,6,3438AK,Nieuwegein,,135018.79,450168.87,52.039486,5.09598
GM2001-04,129,20010410000000,Dorpsstraat 49,pand,woonhuis,"horeca, diep huis",,,1800-1900,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000007437,Dorpsstraat,49,3433CL,Nieuwegein,Molenstraat 2,134934.58,446233.79,52.004115,5.094983
GM2001-11,130,20010410000000,Gildenborglaan - Begraafplaats N.H. Gemeente Vreeswijk ,gebied,begraafplaats,begraafplaats,,,1800-1900,Begraafplaats N.H. Gemeente Vreeswijk ,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000034370,Gildenborglaan,2B,3433ZG,Nieuwegein,,135127,446340,52.005076,5.09778
GM2001-20,132,20010410000000,Oude Sluis 6,pand,winkel-woonhuis,diep huis,,eclecticisme,1850-1880,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000019893,Oude Sluis,6,3433ZC,Nieuwegein,,135009.8,446311.97,52.00482,5.096074
GM2001-05,213,20010410000000,Dorpsstraat 50,pand,winkel-woonhuis,"winkelwoonhuis, diep huis",,,1800-1900,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000007438,Dorpsstraat,50,3433CM,Nieuwegein,,134925.09,446217.27,52.003966,5.094846
GM2001-19,290,20010410000000,Wiersedreef 1,pand,woonhuis,woonhuis-horeca-kelder,"Vianen, Ghijsbert Theunisz van",,1600-1700,Huis de Wiers,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000031415,Wiersedreef,1-11,3433ZX,Nieuwegein,,135230.45,447178.84,52.012619,5.099238
GM2001-17,17,20010423000000,Oude Sluis 1 ,pand,winkel-woonhuis,"winkelwoonhuis, diep huis",,traditioneel,1700-1800,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000019888,Oude Sluis,1,3433ZC,Nieuwegein,,135015.46,446334.18,52.00502,5.096155
GM2006-01,25,20060214000000,Vreeswijksestraatweg 10,pand,agrarisch,"boerderij, woonhuis",,traditioneel,1700-1800,Voormalige pachtboerderij behorende bij Kasteel Oudegein,Nieuwegein,GM0356,Wijk10 Fokkesteeg,WK035610,356200000027317,Vreeswijksestraatweg,10,3432NA,Nieuwegein,,135088.91,448220.18,52.021974,5.097115
GM2007-01,2,20070417000000,Dorpsstraat 18,pand,religie,zaalkerk,"Barneveld, R.",neorenaissance,1880-1900,Noorderkerk (voormalige gereformeerde kerk),Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000008488,Dorpsstraat,18,3433CH,Nieuwegein,,134950.29,446405.98,52.005663,5.095202
GM2010-07,134,20101014000000,Molenstraat 1-3-5 ,bouwblok,woonhuis,woonhuizen,,traditioneel,,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000018633,Molenstraat,1-5,3433CN,Nieuwegein,,134917.53,446222.41,52.004012,5.094736
GM2010-02,74,20101019000000,Dorpsstraat 36,pand,winkel-woonhuis,"herenhuis, diep huis",,neoclassicisme elementen,1850-1880,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000007424,Dorpsstraat,36,3433CL,Nieuwegein,,134943.14,446280.05,52.004531,5.095105
GM2010-04,76,20101019000000,Dorpsstraat 55,pand,woonhuis-bedrijfspand,"woonhuis, dwars huis",,,1800-1850,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000030645,Dorpsstraat,55,3433CM,Nieuwegein,,134900.67,446182.09,52.003649,5.094493
GM2010-05,77,20101019000000,Handelskade 16,pand,woonhuis,herenhuis,,neoclassicisme elementen,1880-1900,,Nieuwegein,GM0356,Wijk 16 Zandveld,WK035616,356200000009063,Handelskade,16,3434BA,Nieuwegein,,134931.02,446989.74,52.010909,5.094887
GM2010-12,78,20101019000000,Kerkstraat 38-50/Schoolstraat 2 ,pand,onderwijs,schoolgebouw,,eclecticisme,1880-1900,Voormalige Openbare Lagere School Jutphaas,Nieuwegein,GM0356,Wijk 01 Jutphaas Wijkersloot,WK035601,356200000023981,Schoolstraat,2,3431CZ,Nieuwegein,Kerkstraat 38-50,134777.55,449760.25,52.035805,5.092488
GM2010-06,79,20101019000000,Lekdijk-Oost 1,pand,agrarisch,"langhuisboerderij, schuur, hooiberg",,traditioneel,1850-1880,,Nieuwegein,GM0356,Wijk 18 Het Klooster,WK035618,356200000029705,Lekdijk Oost,1,3433NE,Nieuwegein,,136567.1,446276.21,52.004552,5.118756
GM2010-08,81,20101019000000,Oude Sluis 2 ,pand,woonhuis,diep huis,,traditioneel,1800-1850,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000019889,Oude Sluis,2,3433ZC,Nieuwegein,,135012.15,446329.05,52.004974,5.096108
GM2010-09,82,20101019000000,Oude Sluis 5,pand,woonhuis-horeca,diep huis,,traditioneel,1880-1900,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000019892,Oude Sluis,5,3433ZC,Nieuwegein,,135010.14,446317.45,52.004869,5.096079
GM2010-01,84,20101019000000,Dorpsstraat 35,pand,winkel-woonhuis,"winkelwoonhuis, dwarshuis",,,1800-1850,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000034289,Dorpsstraat,35,3433CL,Nieuwegein,,134945.12,446292.16,52.00464,5.095134
GM2010-11,86,20101019000000,"Kerkveld 14, 15, 16, 17, 18 en 19 (St.-Elisabethshofje)",bouwblok,woonhuis,hofje,,neorenaissance elementen,1900-1910,St. Elisabethhofje,Nieuwegein,GM0356,Wijk 01 Jutphaas Wijkersloot,WK035601,356200000013309,Kerkveld,14-19,3431EB,Nieuwegein,,134376,450001,52.037954,5.086622
GM2010-03,292,20101019000000,Dorpsstraat 37,pand,winkel-woonhuis,"herenhuis, diep huis",,neoclassicisme elementen,1800-1850,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000007426,Dorpsstraat,37,3433CL,Nieuwegein,,134941.49,446270.98,52.004449,5.095082
GM2010-10,294,20101019000000,Herenstraat 77 tegenover,bouwwerk,infrastructuur,sluis,,,1880-1900,Sluis in de Doorslag,Nieuwegein,GM0356,Wijk 21 Plettenburg,WK035621,,,,,Nieuwegein,tegenover 77,134631,449340,52.032022,5.090378
GM2018-05,343,20180323000000,Raadhuisplein 9,pand,infrastructuur,sluiswachtershuisje,,traditioneel,1910-1920,Voormalig sluiswachtershuisje,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000020943,Raadhuisplein,9,3433ZA,Nieuwegein,,134969.91,446209.29,52.003896,5.095499
GM2018-01,344,20180323000000,Dorpsstraat 34,pand,winkel-woonhuis,"winkelwoonhuis, diep huis","Graaf, C. de","zakelijk, Amsterdamse school elementen",1930-1940,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000007422,Dorpsstraat,34,3433CK,Nieuwegein,,134948.88,446302.8,52.004735,5.095188
GM2018-04,345,20180323000000,Overeindseweg 27 ,pand,agrarisch,"boerderij, hooiberg",,,1880-1900,"Voormalige boerderij, op erf met landbouwschuur en hooiberg",Nieuwegein,GM0356,Wijk 20 Laagraven,WK035620,356200000020118,Overeindseweg,27,3439LP,Nieuwegein,,136531.07,450020.74,52.038207,5.118029
GM2018-06,346,20180323000000,Vreeswijksestraatweg 9,pand,agrarisch,boerderij,,traditioneel,1920-1930,Voormalige boerderij,Nieuwegein,GM0356,Wijk10 Fokkesteeg,WK035610,356200000027316,Vreeswijksestraatweg,9,3432NA,Nieuwegein,,135168.26,448628.76,52.025649,5.098248
GM2018-03,347,20180323000000,Prins Hendriklaan 27,pand,onderwijs,school,"Kuiler, M.E.",traditioneel,1910-1920,Voormalige Openbare lagere school,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000023157,Prins Hendriklaan,27,3433EH,Nieuwegein,,135026,446722,52.008506,5.096286
GM2018-02,348,20180323000000,Julianaweg 28,pand,onderwijs,school,"Ebbers, G.A.",traditioneel,1920-1930,Voormalige Vriezenwijkschool,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000013000,Julianaweg,28,3433EB,Nieuwegein,,134954.71,446736.74,52.008636,5.095247
GM2022-01,178028,20220309000000,Herenstraat 108,pand,industrie,fabriek,"Bentum, E.C. van",functioneel,1948,Staalfabriek Gebr. Van Bentum,Nieuwegein,GM0356,Wijk 01 Jutphaas Wijkersloot,WK035601,356200000013153,Herenstraat,108,3431CB,Nieuwegein,,134489.05,449103.51,52.02989,5.08833
GM2022-02,178940,20220722000000,Blauwe Brug,bouwwerk,infrastructuur,beweegbare brug,,functioneel,1981,Blauwe Brug,Nieuwegein,GM0356,Wijk 25 Rijnhuizen,WK035625,,,,,Nieuwegein,Symfonielaan-Structuurbaan,135226,450440,52.04193,5.09899
