FID,type,categorie,geometrie
O10002_Speelomgeving_OD.16,Kunstgras,speelondergrond,"MULTIPOLYGON (((174955.838 505644.33, 174956.912 505635.213, 174966.025 505636.294, 174964.948 505645.398, 174955.838 505644.33)))"
O10002_Speelomgeving_OD.17,Kunstgras,speelondergrond,"MULTIPOLYGON (((174962.344 505660, 174963.873 505651.515, 174967.035 505652.102, 174965.483 505660.539, 174962.344 505660)))"
O10002_Speelomgeving_OD.18,Zand,speelondergrond,"MULTIPOLYGON (((175334.099 505580.595, 175333.555 505578.922, 175333.806 505577.249, 175336.443 505574.446, 175338.87 505573.296, 175341.507 505572.502, 175344.039 505573.338, 175345.796 505575.722, 175346.32 505579.235, 175345.441 505580.678, 175340.419 505583.606, 175337.824 505584.171, 175335.355 505583.292, 175334.099 505580.595)))"
O10002_Speelomgeving_OD.19,Dekowood,speelondergrond,"MULTIPOLYGON (((172078.119 509597.76, 172079.507 509599.01, 172079.706 509599.439, 172079.852 509599.962, 172079.907 509600.519, 172079.875 509601.004, 172079.775 509601.458, 172079.628 509601.853, 172079.416 509602.245, 172079.127 509602.633, 172078.797 509602.96, 172078.468 509603.205, 172078.202 509603.36, 172077.818 509603.529, 172077.431 509603.805, 172076.901 509604.111, 172076.444 509604.32, 172075.823 509604.529, 172075.263 509604.654, 172074.755 509604.716, 172074.158 509604.732, 172073.774 509604.709, 172073.207 509604.628, 172072.589 509604.471, 172072.047 509604.27, 172071.512 509604.006, 172070.965 509603.657, 172070.614 509603.383, 172070.318 509603.115, 172069.999 509602.779, 172069.647 509602.02, 172069.537 509601.686, 172069.407 509601.12, 172069.346 509600.609, 172069.341 509600.018, 172069.428 509599.305, 172069.61 509598.623, 172069.834 509598.08, 172070.088 509597.614, 172070.386 509597.183, 172070.76 509596.75, 172071.127 509596.407, 172071.556 509596.081, 172071.877 509595.88, 172072.158 509595.73, 172072.958 509595.259, 172073.348 509594.943, 172073.906 509594.452, 172074.42 509593.954, 172074.869 509593.478, 172075.473 509592.768, 172076.007 509592.057, 172076.354 509591.543, 172076.623 509591.112, 172076.868 509590.69, 172078.229 509591.58, 172078.02 509591.806, 172077.707 509592.215, 172077.448 509592.646, 172077.235 509593.114, 172077.105 509593.504, 172077.018 509593.867, 172076.976 509594.118, 172076.943 509594.456, 172076.935 509594.806, 172076.958 509595.184, 172077.035 509595.672, 172077.201 509596.249, 172077.4 509596.715, 172077.629 509597.121, 172077.916 509597.524, 172078.119 509597.76)))"
O10002_Speelomgeving_OD.20,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177999.361 503200.748, 177999.483 503195.808, 178007.785 503196.003, 178007.566 503203.985, 178004.157 503203.887, 178004.036 503200.821, 177999.361 503200.748)))"
O10002_Speelomgeving_OD.21,Rubber tegels,speelondergrond,"MULTIPOLYGON (((175792.67 505299.231, 175792.315 505295.733, 175795.312 505295.433, 175795.665 505298.934, 175792.67 505299.231)))"
O10002_Speelomgeving_OD.22,Rubber tegels,speelondergrond,"MULTIPOLYGON (((175881.851 505366.39, 175884.632 505364.239, 175886.433 505366.601, 175887.691 505368.25, 175889.487 505370.605, 175886.768 505372.817, 175884.937 505370.424, 175883.652 505368.744, 175881.851 505366.39)))"
O10002_Speelomgeving_OD.23,Dekowood,speelondergrond,"MULTIPOLYGON (((175833.219 495900.456, 175835.54 495902.531, 175836.641 495921.649, 175830.1 495921.915, 175829.905 495919.17, 175828.801 495900.614, 175833.219 495900.456)))"
O10002_Speelomgeving_OD.24,Dekowood,speelondergrond,"MULTIPOLYGON (((177786.447 503126.663, 177783.548 503124.649, 177786.871 503119.171, 177790.69 503114.012, 177793.2 503111.291, 177801.085 503117.192, 177793.589 503128.536, 177788.073 503124.684, 177786.447 503126.663)))"
O10002_Speelomgeving_OD.25,Dekowood,speelondergrond,"MULTIPOLYGON (((178330.596 503698.805, 178330.384 503697.481, 178330.355 503697.207, 178341.259 503695.49, 178340.258 503688.249, 178343.225 503687.84, 178344.254 503695.059, 178345.332 503694.883, 178347.695 503709.764, 178342.623 503710.591, 178341.282 503710.838, 178332.747 503712.167, 178330.596 503698.805)))"
O10002_Speelomgeving_OD.26,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177434.538 503878.698, 177434.034 503873.632, 177436.495 503873.424, 177436.94 503878.461, 177434.538 503878.698)))"
O10002_Speelomgeving_OD.27,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177439.459 503880.026, 177439.002 503875.03, 177442.397 503874.714, 177442.889 503879.769, 177439.459 503880.026)))"
O10002_Speelomgeving_OD.28,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177434.629 503869.531, 177434.369 503866.51, 177441.563 503865.843, 177441.841 503868.808, 177434.629 503869.531)))"
O10002_Speelomgeving_OD.29,Dekowood,speelondergrond,"MULTIPOLYGON (((176893.349 502977.12, 176892.122 502977.419, 176890.828 502977.485, 176889.601 502977.187, 176888.937 502976.756, 176888.44 502975.993, 176888.473 502975.065, 176888.738 502974.004, 176889.501 502972.943, 176890.529 502972.347, 176893.747 502970.49, 176895.207 502970.325, 176896.799 502970.291, 176898.192 502970.557, 176898.789 502971.286, 176898.955 502972.28, 176898.756 502973.308, 176898.093 502974.336, 176897.197 502975.198, 176895.97 502975.927, 176893.349 502977.12)))"
O10002_Speelomgeving_OD.30,Kunstgras,speelondergrond,"MULTIPOLYGON (((174930.476 505881.146, 174942.026 505873.901, 174950.822 505891.522, 174937.736 505895.554, 174930.476 505881.146)))"
O10002_Speelomgeving_OD.31,Kunstgras,speelondergrond,"MULTIPOLYGON (((176412.504 504021.487, 176413.653 504018.021, 176416.532 504018.929, 176415.43 504022.387, 176412.504 504021.487)))"
O10002_Speelomgeving_OD.32,Beton,speelondergrond,"MULTIPOLYGON (((172334.694 509353.792, 172334.627 509353.836, 172332.981 509354.915, 172332.333 509353.931, 172334.106 509352.769, 172334.694 509353.792)))"
O10002_Speelomgeving_OD.33,Kunstgras,speelondergrond,"MULTIPOLYGON (((175177.171 504894.947, 175178.653 504886.525, 175182.303 504887.201, 175180.794 504895.586, 175177.171 504894.947)))"
O10002_Speelomgeving_OD.34,Aarde / gras,speelondergrond,"MULTIPOLYGON (((178012.857 503073.67, 178012.981 503067.56, 178018.024 503061.263, 178020.985 503063.215, 178016.196 503068.82, 178016.006 503073.985, 178012.857 503073.67)))"
O10002_Speelomgeving_OD.35,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177820.636 502747.939, 177824.863 502737.73, 177826.768 502736.959, 177832.882 502739.45, 177831.371 502743.169, 177831.819 502743.368, 177831.066 502745.118, 177839.448 502746.496, 177839.034 502749.533, 177828.345 502747.802, 177826.998 502751.047, 177820.636 502747.939)))"
O10002_Speelomgeving_OD.36,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177897.174 504718.678, 177898.477 504724.844, 177890.633 504726.516, 177889.311 504720.345, 177897.174 504718.678)))"
O10002_Speelomgeving_OD.37,Dekowood,speelondergrond,"MULTIPOLYGON (((178006.208 504677.031, 178013.521 504675.299, 178016.732 504678.22, 178020.121 504677.507, 178022.046 504686.748, 178008.59 504689.581, 178006.208 504677.031)))"
O10002_Speelomgeving_OD.38,Overig,speelondergrond,"MULTIPOLYGON (((175362.96 505572.84, 175356.257 505570.792, 175355.217 505566.065, 175354.588 505563.034, 175353.257 505560.002, 175360.052 505557.207, 175362.383 505559.58, 175363.539 505561.963, 175364.252 505564.757, 175364.372 505567.52, 175363.935 505570.252, 175362.96 505572.84)))"
O10002_Speelomgeving_OD.39,,speelondergrond,"MULTIPOLYGON (((175891.473 505427.878, 175891.09 505423.738, 175895.047 505423.366, 175895.451 505427.506, 175891.473 505427.878)))"
O10002_Speelomgeving_OD.40,,speelondergrond,"MULTIPOLYGON (((175891.255 505374.357, 175891.124 505374.113, 175891.094 505373.838, 175891.168 505373.571, 175891.336 505373.351, 175894.226 505371.13, 175894.478 505370.989, 175894.765 505370.961, 175895.04 505371.048, 175895.258 505371.238, 175897.453 505374.126, 175897.584 505374.377, 175897.61 505374.659, 175897.528 505374.93, 175897.349 505375.149, 175894.471 505377.338, 175894.221 505377.462, 175893.942 505377.481, 175893.677 505377.395, 175893.464 505377.214, 175891.255 505374.357)))"
O10002_Speelomgeving_OD.41,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177168.062 503880.762, 177168.872 503889.368, 177160.779 503890.18, 177159.96 503881.626, 177168.062 503880.762)))"
O10002_Speelomgeving_OD.42,Kunstgras,speelondergrond,"MULTIPOLYGON (((176417.351 504002.146, 176420.419 503992.322, 176425.205 503993.81, 176422.123 504003.611, 176417.351 504002.146)))"
O10002_Speelomgeving_OD.43,,speelondergrond,"MULTIPOLYGON (((174994.352 505388.289, 174994.166 505388.472, 174993.938 505388.601, 174993.685 505388.665, 174993.423 505388.662, 174993.172 505388.591, 174992.948 505388.457, 174992.766 505388.269, 174992.639 505388.04, 174992.577 505387.786, 174992.582 505387.525, 174992.655 505387.274, 174992.791 505387.051, 174992.991 505386.855, 174993.238 505386.722, 174993.511 505386.662, 174993.791 505386.681, 174994.054 505386.776, 174994.281 505386.94, 174994.454 505387.16, 174994.559 505387.42, 174994.588 505387.699, 174994.539 505387.975, 174994.415 505388.226, 174994.352 505388.289)))"
O10002_Speelomgeving_OD.44,,speelondergrond,"MULTIPOLYGON (((174964.97 505390.594, 174957.581 505386.604, 174958.952 505384.01, 174966.373 505388.042, 174964.97 505390.594)))"
O10002_Speelomgeving_OD.45,,speelondergrond,"MULTIPOLYGON (((175033.838 505391.653, 175034.139 505391.667, 175034.427 505391.752, 175034.687 505391.903, 175034.904 505392.112, 175035.064 505392.366, 175035.16 505392.652, 175035.184 505392.952, 175035.136 505393.249, 175034.847 505396.027, 175034.821 505396.323, 175034.729 505396.606, 175034.576 505396.86, 175034.369 505397.074, 175034.119 505397.235, 175033.84 505397.336, 175033.545 505397.371, 175033.249 505397.339, 175030.461 505397.051, 175030.163 505397.025, 175029.878 505396.933, 175029.621 505396.778, 175029.406 505396.569, 175029.244 505396.317, 175029.143 505396.035, 175029.108 505395.738, 175029.142 505395.44, 175029.429 505392.636, 175029.455 505392.338, 175029.548 505392.053, 175029.705 505391.798, 175029.916 505391.586, 175030.17 505391.428, 175030.454 505391.333, 175030.753 505391.306, 175031.049 505391.349, 175033.838 505391.653)))"
O10002_Speelomgeving_OD.46,Dekowood,speelondergrond,"MULTIPOLYGON (((177942.505 504247.494, 177950.959 504237.262, 177951.443 504236.916, 177951.845 504236.844, 177952.478 504237.037, 177962.549 504244.39, 177962.274 504244.94, 177955.672 504253.487, 177953.551 504256.232, 177950.37 504253.716, 177942.505 504247.494)))"
O10002_Speelomgeving_OD.47,Kunstgras,speelondergrond,"MULTIPOLYGON (((175719.091 505416.709, 175719.379 505414.109, 175721.387 505412.411, 175724.008 505412.638, 175725.68 505414.64, 175725.385 505417.254, 175723.412 505418.905, 175720.802 505418.707, 175719.091 505416.709)))"
O10002_Speelomgeving_OD.48,Dekowood,speelondergrond,"MULTIPOLYGON (((176893.449 502984.546, 176892.089 502981.098, 176899.353 502978.015, 176900.746 502981.563, 176893.449 502984.546)))"
O10002_Speelomgeving_OD.49,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177834.985 504274.612, 177832.744 504274.823, 177833.196 504279.832, 177827.265 504280.444, 177826.348 504271.459, 177834.582 504270.641, 177834.985 504274.612)))"
O10002_Speelomgeving_OD.50,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177846.795 504276.318, 177846.527 504273.406, 177852.433 504272.831, 177852.702 504275.82, 177846.795 504276.318)))"
O10002_Speelomgeving_OD.51,Zand,speelondergrond,"MULTIPOLYGON (((175284.586 505572.295, 175283.548 505571.283, 175283.976 505570.184, 175285.358 505568.122, 175286.294 505566.472, 175287.882 505563.156, 175289.54 505561.103, 175290.984 505559.297, 175292.244 505557.408, 175294.052 505556.015, 175295.17 505555.3, 175296.827 505554.334, 175297.806 505553.882, 175299.024 505553.443, 175300.217 505553.117, 175301.912 505553.192, 175302.944 505553.645, 175304.67 505554.827, 175306.809 505556.572, 175306 505559, 175300.255 505557.346, 175299.439 505557.283, 175298.71 505557.421, 175297.781 505557.81, 175297.153 505558.4, 175296.199 505559.215, 175295.442 505560.539, 175294.877 505561.681, 175294.463 505562.848, 175289.952 505572.148, 175287.252 505573.528, 175284.586 505572.295)))"
O10002_Speelomgeving_OD.52,Rubber tegels,speelondergrond,"MULTIPOLYGON (((175837.703 505363.684, 175837.57 505361.763, 175839.645 505361.649, 175839.721 505363.551, 175837.703 505363.684)))"
O10002_Speelomgeving_OD.53,Gravier d'Or,speelondergrond,"MULTIPOLYGON (((172194.05 509224.43, 172196.548 509226.433, 172193.831 509229.821, 172177.624 509216.662, 172180.232 509213.349, 172182.978 509215.551, 172182.343 509216.392, 172193.422 509225.308, 172194.05 509224.43)))"
O10002_Speelomgeving_OD.54,Dekowood,speelondergrond,"MULTIPOLYGON (((176129.71 495777.857, 176134.69 495788.724, 176126.72 495792.538, 176121.699 495781.773, 176129.71 495777.857)))"
O10002_Speelomgeving_OD.68,Kunstgras,speelondergrond,"MULTIPOLYGON (((175270.083 505845.028, 175269.31 505845.416, 175268.081 505845.561, 175267.083 505845.359, 175266.135 505844.798, 175265.304 505843.857, 175264.905 505842.453, 175265.089 505841.081, 175265.792 505839.925, 175266.949 505839.121, 175268.21 505838.874, 175269.522 505839.112, 175270.694 505839.913, 175271.405 505841.082, 175271.593 505842.263, 175271.328 505843.452, 175270.808 505844.375, 175270.083 505845.028)))"
O10002_Speelomgeving_OD.55,Dekowood,speelondergrond,"MULTIPOLYGON (((176112.831 495787.464, 176113.206 495787.482, 176113.562 495787.532, 176113.937 495787.62, 176114.188 495787.702, 176114.464 495787.813, 176114.777 495787.971, 176115.044 495788.134, 176115.263 495788.291, 176115.507 495788.494, 176115.696 495788.677, 176115.875 495788.875, 176116.066 495789.119, 176116.253 495789.402, 176116.425 495789.722, 176116.54 495789.985, 176116.627 495790.227, 176116.703 495790.493, 176116.769 495790.816, 176116.806 495791.119, 176116.82 495791.469, 176116.799 495791.859, 176116.753 495792.182, 176116.684 495792.485, 176116.565 495792.854, 176116.455 495793.12, 176116.336 495793.357, 176116.197 495793.592, 176116.023 495793.845, 176115.845 495794.065, 176115.63 495794.295, 176115.375 495794.525, 176115.14 495794.705, 176114.861 495794.886, 176114.593 495795.031, 176114.275 495795.171, 176113.936 495795.285, 176113.618 495795.363, 176113.255 495795.418, 176112.831 495795.441, 176112.495 495795.427, 176112.129 495795.379, 176111.725 495795.285, 176111.289 495795.131, 176110.911 495794.949, 176110.588 495794.751, 176110.38 495794.599, 176110.095 495794.355, 176109.792 495794.036, 176109.509 495793.661, 176109.359 495793.417, 176109.203 495793.11, 176109.086 495792.826, 176108.998 495792.556, 176108.908 495792.173, 176108.864 495791.873, 176108.842 495791.472, 176108.854 495791.138, 176108.901 495790.771, 176108.959 495790.492, 176109.029 495790.245, 176109.153 495789.908, 176109.307 495789.584, 176109.49 495789.274, 176109.704 495788.976, 176110.04 495788.603, 176110.376 495788.308, 176110.818 495788.009, 176111.2 495787.813, 176111.641 495787.645, 176112.099 495787.532, 176112.484 495787.479, 176112.831 495787.464)))"
O10002_Speelomgeving_OD.56,Dekowood,speelondergrond,"MULTIPOLYGON (((177383.23 503553.912, 177381.942 503553.992, 177381.52 503548.213, 177386.079 503540.349, 177391.645 503539.815, 177392.794 503552.921, 177383.23 503553.912)))"
O10002_Speelomgeving_OD.57,Dekowood,speelondergrond,"MULTIPOLYGON (((176271.868 496532.955, 176270.447 496534.93, 176269.408 496536.375, 176268.489 496536.551, 176267.356 496536.768, 176266.638 496536.905, 176265.073 496537.205, 176261.577 496537.874, 176260.059 496538.165, 176257.68 496538.621, 176249.042 496540.275, 176249.907 496520.994, 176252.352 496516.568, 176256.735 496520.383, 176257.054 496520.511, 176257.448 496520.738, 176257.824 496521.049, 176263.634 496525.656, 176268.914 496529.311, 176269.022 496529.455, 176269.13 496529.628, 176269.242 496529.863, 176269.328 496530.122, 176269.368 496530.302, 176269.394 496530.518, 176269.389 496530.875, 176269.357 496531.093, 176269.383 496531.291, 176269.482 496531.462, 176269.627 496531.576, 176269.793 496531.63, 176271.868 496532.955)))"
O10002_Speelomgeving_OD.58,Zand,speelondergrond,"MULTIPOLYGON (((176366.499 496078.443, 176366.368 496078.657, 176366.234 496078.838, 176366 496079.092, 176365.814 496079.263, 176365.565 496079.445, 176365.353 496079.564, 176365.093 496079.714, 176364.808 496079.823, 176364.503 496079.896, 176363.974 496079.989, 176363.399 496079.973, 176363.103 496079.915, 176361.82 496079.355, 176359.649 496077.766, 176350.398 496070.595, 176349.984 496070.3, 176349.68 496070.149, 176349.266 496070.017, 176348.831 496069.946, 176348.234 496069.957, 176347.728 496070.068, 176347.273 496070.22, 176346.899 496070.432, 176346.551 496070.72, 176345.138 496072.216, 176344.92 496072.491, 176344.647 496073.001, 176344.386 496073.597, 176344.224 496074.069, 176344.063 496074.84, 176344.013 496075.735, 176344.075 496076.406, 176344.199 496077.152, 176344.448 496077.997, 176344.858 496078.842, 176345.279 496079.457, 176350.191 496086.257, 176353.476 496091.18, 176353.924 496092.864, 176353.892 496093.175, 176353.839 496093.419, 176353.753 496093.796, 176353.639 496094.168, 176353.515 496094.488, 176353.357 496094.798, 176353.224 496095.051, 176353.004 496095.385, 176352.761 496095.728, 176352.451 496096.081, 176352.059 496096.451, 176350.805 496094.03, 176350.557 496093.774, 176350.349 496093.622, 176350.157 496093.51, 176349.893 496093.462, 176349.605 496093.462, 176349.388 496093.494, 176349.116 496093.526, 176348.828 496093.678, 176348.628 496093.87, 176348.484 496094.126, 176348.396 496094.358, 176348.348 496094.679, 176348.372 496094.991, 176348.436 496095.319, 176348.667 496095.847, 176349.865 496097.959, 176346.577 496097.606, 176346.084 496097.539, 176345.652 496097.415, 176345.316 496097.299, 176344.604 496096.894, 176344.042 496096.394, 176343.61 496095.86, 176343.226 496095.103, 176338.358 496084.669, 176335.525 496079.49, 176331.323 496072.079, 176327.68 496064.948, 176325.9 496062.417, 176325.103 496060.679, 176322.882 496056.562, 176322.556 496055.167, 176322.526 496054.973, 176322.547 496054.585, 176322.644 496054.218, 176322.795 496053.895, 176322.99 496053.636, 176323.346 496053.377, 176323.755 496053.193, 176324.165 496053.14, 176324.403 496053.14, 176324.802 496053.215, 176325.104 496053.393, 176328.4 496057.424, 176330.267 496059.435, 176333.223 496063.536, 176333.379 496063.747, 176333.516 496063.909, 176333.678 496064.059, 176333.88 496064.202, 176334.106 496064.331, 176334.363 496064.441, 176334.592 496064.511, 176334.851 496064.547, 176335.053 496064.566, 176335.294 496064.554, 176335.521 496064.514, 176335.747 496064.456, 176335.93 496064.389, 176336.064 496064.324, 176336.266 496064.204, 176341.608 496059.017, 176342.07 496058.303, 176342.417 496057.565, 176342.808 496056.48, 176342.996 496055.641, 176343.082 496054.86, 176343.088 496053.945, 176342.793 496053.211, 176342.388 496052.416, 176341.882 496051.635, 176341.434 496051.027, 176340.826 496050.333, 176340.146 496049.726, 176339.256 496049.064, 176338.594 496048.875, 176337.968 496048.635, 176337.434 496048.315, 176336.927 496047.955, 176336.62 496047.675, 176336.287 496047.314, 176335.994 496046.954, 176335.607 496046.341, 176335.273 496045.661, 176335.127 496045.22, 176335.02 496044.794, 176334.962 496044.336, 176331.287 496040.139, 176329.513 496038.283, 176326.654 496034.871, 176326.557 496034.303, 176326.503 496033.922, 176326.549 496033.598, 176326.665 496033.182, 176326.988 496032.616, 176327.508 496032.13, 176327.855 496031.934, 176328.421 496031.795, 176328.791 496031.795, 176329.231 496031.864, 176329.544 496031.983, 176330.758 496032.338, 176338.77 496041.404, 176339.475 496041.699, 176340.208 496042.166, 176341.209 496042.94, 176341.956 496043.82, 176342.636 496045.007, 176342.836 496045.527, 176342.969 496045.967, 176343.047 496046.333, 176349.682 496053.404, 176359.319 496063.343, 176364.652 496069.052, 176365.467 496069.945, 176365.847 496070.442, 176366.286 496071.159, 176366.578 496071.89, 176366.784 496072.603, 176367.415 496075.634, 176363.978 496073.812, 176363.879 496073.799, 176363.756 496073.796, 176363.554 496073.823, 176363.397 496073.878, 176363.237 496073.967, 176363.09 496074.083, 176362.984 496074.223, 176362.916 496074.36, 176362.857 496074.537, 176362.834 496074.687, 176362.837 496074.834, 176362.847 496074.947, 176362.881 496075.08, 176362.943 496075.21, 176362.997 496075.306, 176363.101 496075.426, 176366.499 496078.443)))"
O10002_Speelomgeving_OD.59,Zand,speelondergrond,"MULTIPOLYGON (((176319.241 496132.063, 176318.457 496131.985, 176317.703 496131.757, 176317.008 496131.385, 176316.399 496130.885, 176315.9 496130.276, 176315.528 496129.582, 176315.3 496128.828, 176315.222 496128.044, 176315.3 496127.26, 176315.528 496126.506, 176315.9 496125.811, 176316.399 496125.202, 176317.008 496124.702, 176317.703 496124.331, 176318.457 496124.102, 176319.241 496124.025, 176320.025 496124.102, 176320.779 496124.331, 176321.474 496124.702, 176322.083 496125.202, 176322.583 496125.811, 176322.954 496126.506, 176323.183 496127.26, 176323.26 496128.044, 176323.183 496128.828, 176322.954 496129.582, 176322.583 496130.276, 176322.083 496130.885, 176321.474 496131.385, 176320.779 496131.757, 176320.025 496131.985, 176319.241 496132.063)))"
O10002_Speelomgeving_OD.60,Zand,speelondergrond,"MULTIPOLYGON (((175798.714 505267.524, 175798.412 505272.42, 175793.563 505272.096, 175793.85 505267.109, 175798.714 505267.524)))"
O10002_Speelomgeving_OD.61,Rubber tegels,speelondergrond,"MULTIPOLYGON (((172383.006 509057.384, 172386.232 509059.408, 172382.132 509065.632, 172379.051 509063.648, 172383.006 509057.384)))"
O10002_Speelomgeving_OD.62,Rubber tegels,speelondergrond,"MULTIPOLYGON (((172390.079 509046.43, 172393.74 509048.85, 172390.851 509053.056, 172389.741 509054.876, 172386.097 509052.618, 172387.257 509050.751, 172387.836 509049.889, 172390.079 509046.43)))"
O10002_Speelomgeving_OD.63,Zand,speelondergrond,"MULTIPOLYGON (((176526.21 503116.276, 176529.551 503114.933, 176529.755 503114.89, 176529.961 503114.9, 176530.151 503114.959, 176530.366 503115.101, 176530.464 503115.208, 176530.541 503115.331, 176531.873 503118.706, 176531.909 503118.828, 176531.925 503118.952, 176531.923 503119.041, 176531.901 503119.176, 176531.836 503119.342, 176531.788 503119.42, 176531.714 503119.511, 176531.587 503119.618, 176531.477 503119.679, 176528.139 503120.919, 176528.068 503120.942, 176527.897 503120.969, 176527.747 503120.961, 176527.642 503120.938, 176527.552 503120.906, 176527.444 503120.85, 176527.379 503120.804, 176527.292 503120.725, 176527.221 503120.639, 176527.175 503120.567, 176527.135 503120.484, 176525.775 503117.238, 176525.735 503117.065, 176525.731 503116.935, 176525.771 503116.735, 176525.863 503116.551, 176525.98 503116.419, 176526.098 503116.331, 176526.21 503116.276)))"
O10002_Speelomgeving_OD.64,Rubber tegels,speelondergrond,"MULTIPOLYGON (((176526.535 503106.345, 176529.393 503105.157, 176531.449 503110.196, 176528.558 503111.352, 176526.535 503106.345)))"
