FID,naam_laagdefinitie,geometrie
O10002_Open_Strooiroutes.32,Buitengebied,"MULTILINESTRING ((172918.17 500728.047, 172649.854 501123.196, 172329.973 501607.036, 172142.423 501889.753, 172011.237 502090.574, 171953.514 502185.491))"
O10002_Open_Strooiroutes.33,Buitengebied,"MULTILINESTRING ((172859.601 508305.672, 172690.717 508055.557))"
O10002_Open_Strooiroutes.34,Buitengebied,"MULTILINESTRING ((175830.374 496853.869, 175878.62 496807.331, 175913.819 496784.728, 175963.258 496760.415, 176019.146 496738.952))"
O10002_Open_Strooiroutes.35,Buitengebied,"MULTILINESTRING ((175754.041 496961.514, 175745.604 496973.695))"
O10002_Open_Strooiroutes.36,Buitengebied,"MULTILINESTRING ((175754.041 496961.514, 175763.147 496948.672))"
O10002_Open_Strooiroutes.37,Buitengebied,"MULTILINESTRING ((169528.177 491391.957, 169524.066 491387.958))"
O10002_Open_Strooiroutes.38,Buitengebied,"MULTILINESTRING ((176115.259 495680.387, 176232.677 495942.423))"
O10002_Open_Strooiroutes.39,Buitengebied,"MULTILINESTRING ((175009.86 497963.242, 174390.133 498763.418))"
O10002_Open_Strooiroutes.40,Buitengebied,"MULTILINESTRING ((173431.567 500026.482, 173850.314 499460.541))"
O10002_Open_Strooiroutes.41,Buitengebied,"MULTILINESTRING ((176865.653 493986.435, 177028.361 493640.041, 177098.353 493490.177, 177330.899 492993.554, 177454.12 492729.428))"
O10002_Open_Strooiroutes.42,Buitengebied,"MULTILINESTRING ((171807.119 509661.161, 171685.27 509626.394, 171534.223 509587.372, 171385.788 509544.186, 171335.812 509525.195, 171265.323 509490.074, 171208.634 509455.213, 171164.625 509423.734, 171147.469 509408.905, 171110.919 509375.866, 171098.985 509363.378, 171068.775 509333.071, 171021.41 509280.779, 170950.722 509202.47, 170896.869 509149.923, 170839.81 509104.085, 170801.664 509078.148, 170742.041 509043.489, 170675.366 509014.868, 170642.029 509001.675, 170472.455 508952.93))"
O10002_Open_Strooiroutes.43,Buitengebied,"MULTILINESTRING ((174105.619 499801.421, 174064.586 499710.312, 174049.071 499676.997, 174029.86 499641.65, 174005.625 499607.376, 173980.728 499575.53, 173960.04 499552.642, 173919.955 499516.953, 173885.338 499488.019))"
O10002_Open_Strooiroutes.44,Buitengebied,"MULTILINESTRING ((183736.377 497023.869, 183727.476 497031.941))"
O10002_Open_Strooiroutes.45,Buitengebied,"MULTILINESTRING ((176379.428 496335, 176374.906 496331.528, 176367.029 496325.164, 176364.807 496323.103))"
O10002_Open_Strooiroutes.46,Buitengebied,"MULTILINESTRING ((176450.714 496380.247, 176442.042 496375.269, 176433.393 496370.249, 176424.779 496365.168, 176416.22 496359.991, 176407.735 496354.685, 176399.343 496349.219, 176391.061 496343.559, 176382.91 496337.673, 176379.428 496335))"
O10002_Open_Strooiroutes.47,Buitengebied,"MULTILINESTRING ((176450.714 496380.247, 176651.248 496494.839))"
O10002_Open_Strooiroutes.48,Buitengebied,"MULTILINESTRING ((176291.86 496216.579, 176292.021 496217.006))"
O10002_Open_Strooiroutes.49,Buitengebied,"MULTILINESTRING ((176269.357 496127.622, 176271.305 496137.43, 176273.29 496147.231, 176275.35 496157.017, 176277.517 496166.782, 176279.831 496176.518, 176282.326 496186.219, 176285.041 496195.875, 176288.011 496205.481, 176291.273 496215.029, 176291.86 496216.579))"
O10002_Open_Strooiroutes.50,Buitengebied,"MULTILINESTRING ((179980.617 510240.953, 179977.861 510241.584, 179975.088 510242.138, 179972.301 510242.616, 179969.502 510243.018, 179966.694 510243.343, 179963.877 510243.59, 179961.054 510243.76, 179958.228 510243.852, 179955.401 510243.867, 179952.574 510243.804, 179949.75 510243.664, 179946.931 510243.446, 179944.119 510243.151, 179941.316 510242.779, 179938.524 510242.33, 179935.746 510241.804, 179932.983 510241.203, 179930.238 510240.525, 179927.512 510239.773, 179924.808 510238.946, 179922.128 510238.045, 179919.474 510237.071, 179916.847 510236.025, 179914.25 510234.907, 179911.685 510233.718, 179909.153 510232.459, 179906.657 510231.131, 179904.198 510229.734, 179901.778 510228.271, 179899.4 510226.742, 179897.064 510225.149, 179894.773 510223.492, 179892.528 510221.772, 179890.332 510219.992, 179888.185 510218.152, 179886.089 510216.253, 179884.047 510214.298, 179882.058 510212.288, 179880.126 510210.224, 179878.251 510208.107, 179876.435 510205.94))"
O10002_Open_Strooiroutes.51,Buitengebied,"MULTILINESTRING ((179503.703 507688.316, 179647.19 507931.184, 179731.716 508074.378, 179950.86 508457.792, 179970.142 508508.869))"
O10002_Open_Strooiroutes.52,Buitengebied,"MULTILINESTRING ((179696.77 509985.495, 179876.435 510205.94))"
O10002_Open_Strooiroutes.53,Buitengebied,"MULTILINESTRING ((186694.006 506338.437, 186708.601 506250.955, 186712.465 506221.615, 186720.854 506172.766, 186722.62 506154.975, 186726.815 506114.554))"
O10002_Open_Strooiroutes.54,Buitengebied,"MULTILINESTRING ((183161.782 500759.42, 183183.371 500740.616, 183319.355 500606.111, 183432.035 500487.071, 183530.786 500373.914))"
O10002_Open_Strooiroutes.55,Buitengebied,"MULTILINESTRING ((171605.88 512478.856, 171588.149 512538.815, 171539.601 512706.088, 171510.237 512802.149, 171478.432 512905.46, 171470.478 512931.84, 171464.761 512956.705, 171460.603 512981.391, 171457.303 513042.157))"
O10002_Open_Strooiroutes.56,Buitengebied,"MULTILINESTRING ((171918.501 507146.214, 171996.88 507155.479, 172044.601 507169.138, 172088.599 507193.493, 172125.845 507224.923, 172156.574 507262.278, 172171.938 507285.317, 172332.317 507523.714, 172619.151 507949.736, 172670.194 508025.163))"
O10002_Open_Strooiroutes.57,Buitengebied,"MULTILINESTRING ((169578.255 502868.007, 169129.122 502803.102, 168802.155 502755.983, 168661.421 502735.165))"
O10002_Open_Strooiroutes.58,Buitengebied,"MULTILINESTRING ((170123.003 502929.203, 169578.255 502868.007))"
O10002_Open_Strooiroutes.59,Buitengebied,"MULTILINESTRING ((173850.314 499460.541, 173380.26 499091.765, 173235.723 498980.008, 173059.726 498844.91))"
O10002_Open_Strooiroutes.60,Buitengebied,"MULTILINESTRING ((175763.147 496948.672, 175830.374 496853.869))"
O10002_Open_Strooiroutes.61,Buitengebied,"MULTILINESTRING ((175474.206 497356.335, 175399.086 497458.31, 175009.86 497963.242))"
O10002_Open_Strooiroutes.62,Buitengebied,"MULTILINESTRING ((178624.672 506158.597, 178824.22 506509.203))"
O10002_Open_Strooiroutes.63,Buitengebied,"MULTILINESTRING ((179861.52 502578.919, 180086.413 502526.081, 180347.99 502465.872, 180617.009 502403.615, 180720.985 502378.973, 180891.112 502339.819, 181091.765 502293.235, 181194.078 502269.491, 181249.365 502253.5, 181308.369 502231.272, 181369.23 502202.648, 181411.741 502178.501, 181450.883 502152.436, 181571.707 502057.253))"
O10002_Open_Strooiroutes.64,Buitengebied,"MULTILINESTRING ((170827.667 488246.474, 170854.42 488301.984, 170873.572 488335.007, 170887.755 488358.835, 170899.613 488377.176))"
O10002_Open_Strooiroutes.65,Buitengebied,"MULTILINESTRING ((176768.501 494188.184, 176759.46 494206.674, 176626.928 494451.025, 176582.247 494532.074, 176331.402 494987.34, 176172.031 495276.903, 176129.518 495353.948, 176107.721 495392.694, 176094.056 495424.273, 176084.845 495448.464))"
O10002_Open_Strooiroutes.66,Buitengebied,"MULTILINESTRING ((179930.361 497779.686, 180066.821 497697.233))"
O10002_Open_Strooiroutes.67,Buitengebied,"MULTILINESTRING ((179981.59 493843.649, 179852.23 493750.672))"
O10002_Open_Strooiroutes.68,Buitengebied,"MULTILINESTRING ((183530.786 500373.914, 183557.769 500342.995, 183649.712 500230.745, 183694.027 500169.136, 183721.037 500114.418, 183732.053 500087.194, 183748.433 500034.731, 183755.765 500000.199))"
O10002_Open_Strooiroutes.69,Buitengebied,"MULTILINESTRING ((176651.248 496494.839, 176683.063 496513.019))"
O10002_Open_Strooiroutes.70,Buitengebied,"MULTILINESTRING ((177323.648 500353.164, 177207.414 500096.468))"
O10002_Open_Strooiroutes.71,Buitengebied,"MULTILINESTRING ((179989.495 508924.92, 179937.165 509096.697, 179843.893 509384.379, 179805.033 509503.362))"
O10002_Open_Strooiroutes.72,Buitengebied,"MULTILINESTRING ((182480.183 510298.509, 182862.199 510298.283, 183205.481 510297.475, 183260.626 510295.749, 183325.24 510289.039, 183381.221 510279.261))"
O10002_Open_Strooiroutes.73,Buitengebied,"MULTILINESTRING ((173431.567 500026.482, 173201.959 500336.967))"
O10002_Open_Strooiroutes.74,Buitengebied,"MULTILINESTRING ((170133.937 508860.12, 169870.334 508788.368, 169584.276 508708.999, 169146.943 508590.901, 168967.919 508542.029, 168661.466 508456.674, 168603.708 508435.811, 168577.66 508424.388))"
O10002_Open_Strooiroutes.75,Buitengebied,"MULTILINESTRING ((186665.814 506447.892, 186660.762 506545.659))"
O10002_Open_Strooiroutes.76,Buitengebied,"MULTILINESTRING ((184999.921 508806.822, 185174.75 508616.469, 185356.77 508418.88, 185646.398 508105.983, 185900.086 507829.477, 186051.757 507663.878, 186264.706 507432.582, 186379.765 507308.083, 186395.603 507289.498, 186425.862 507252.531, 186442.983 507229.877, 186465.62 507196.223, 186483.596 507168.134, 186514.556 507118.734, 186519.218 507109.414, 186545.423 507053.604, 186584.116 506957.32, 186596.781 506919.377, 186613.277 506843.939, 186624.03 506779.223, 186627.672 506759.044, 186647.525 506629.604, 186660.762 506545.659))"
O10002_Open_Strooiroutes.77,Buitengebied,"MULTILINESTRING ((179980.617 510240.953, 180156.018 510198.296))"
O10002_Open_Strooiroutes.78,Buitengebied,"MULTILINESTRING ((178824.22 506509.203, 178911.48 506662.32))"
O10002_Open_Strooiroutes.79,Buitengebied,"MULTILINESTRING ((178911.48 506662.32, 178972.347 506769.125, 179053.218 506910.709, 179118.777 507026.775, 179342.825 507416.694, 179418.559 507544.2, 179503.703 507688.316))"
O10002_Open_Strooiroutes.80,Buitengebied,"MULTILINESTRING ((180879.944 510233.962, 180913.37 510233.999, 181124.451 510234.016, 181246.226 510233.941, 181302.93 510235.923, 181349.246 510239.973, 181404.199 510246.522, 181520.635 510257.875, 181579.699 510266.342, 181853.037 510296.133, 181885.622 510298.05, 181908.739 510298.817, 181958.531 510299.982, 182051.893 510299.392, 182102.586 510298.733, 182480.183 510298.509))"
O10002_Open_Strooiroutes.81,Buitengebied,"MULTILINESTRING ((185000.326 506548.338, 185240.503 506521.999, 185546.723 506487.163, 185902.09 506446.372, 186018.459 506433.352, 186096.778 506426.193, 186160.226 506422.033, 186232.066 506419.26, 186303.571 506418.798, 186362.788 506419.659, 186447.06 506424.008, 186518.16 506429.392, 186575.219 506435.877, 186618.172 506440.822, 186675.981 506449.572))"
O10002_Open_Strooiroutes.82,Buitengebied,"MULTILINESTRING ((182211.105 501544.544, 182252.125 501511.642, 182490.153 501320.315, 182857.077 501024.814, 183161.782 500759.42))"
O10002_Open_Strooiroutes.83,Buitengebied,"MULTILINESTRING ((175021.815 501923.094, 174858.221 501527.534, 174641.364 501003.516, 174568.12 500826.387, 174482.124 500627.238, 174473.565 500608.32))"
O10002_Open_Strooiroutes.84,Buitengebied,"MULTILINESTRING ((173964.19 506459.296, 174224.586 506846.252))"
O10002_Open_Strooiroutes.85,Buitengebied,"MULTILINESTRING ((172904.458 508372.986, 172859.601 508305.672))"
O10002_Open_Strooiroutes.86,Buitengebied,"MULTILINESTRING ((175161.337 507573.397, 174901.359 507745.741))"
O10002_Open_Strooiroutes.87,Buitengebied,"MULTILINESTRING ((176564.431 506632.899, 176122.129 506927.718))"
O10002_Open_Strooiroutes.88,Buitengebied,"MULTILINESTRING ((174390.133 498763.418, 174375.17 498782.738, 173850.314 499460.541))"
O10002_Open_Strooiroutes.89,Buitengebied,"MULTILINESTRING ((178788.026 502896.291, 179156.825 502783.434, 179676.626 502627.637, 179762.232 502605.081))"
O10002_Open_Strooiroutes.90,Buitengebied,"MULTILINESTRING ((172045.802 493788.479, 172006.23 493752.907, 171820.904 493578.212, 171644.975 493411.645, 171312.237 493099.708, 171063.121 492863.143, 170832.699 492645.293, 170592.081 492417.698))"
O10002_Open_Strooiroutes.91,Buitengebied,"MULTILINESTRING ((174473.565 500608.32, 174417.677 500484.799, 174199.148 500006.146))"
O10002_Open_Strooiroutes.92,Buitengebied,"MULTILINESTRING ((179449.967 498070.169, 179486.567 498048.056, 179643.639 497953.538, 179930.361 497779.686))"
O10002_Open_Strooiroutes.93,Buitengebied,"MULTILINESTRING ((171949.599 502191.928, 171945.685 502198.365))"
O10002_Open_Strooiroutes.94,Buitengebied,"MULTILINESTRING ((171953.514 502185.491, 171949.599 502191.928))"
O10002_Open_Strooiroutes.95,Buitengebied,"MULTILINESTRING ((169634.415 507063.181, 169649.377 506653.955))"
O10002_Open_Strooiroutes.96,Buitengebied,"MULTILINESTRING ((173188.128 508796.412, 173153.085 508744.559, 173039.855 508574.524, 172904.458 508372.986))"
O10002_Open_Strooiroutes.97,Buitengebied,"MULTILINESTRING ((171605.88 512478.856, 171651.231 512336.87))"
O10002_Open_Strooiroutes.98,Buitengebied,"MULTILINESTRING ((171019.416 491063.111, 171087.729 491056.608))"
O10002_Open_Strooiroutes.99,Buitengebied,"MULTILINESTRING ((173885.338 499488.019, 173850.314 499460.541))"
O10002_Open_Strooiroutes.100,Buitengebied,"MULTILINESTRING ((176232.677 495942.423, 176269.357 496127.622))"
O10002_Open_Strooiroutes.101,Buitengebied,"MULTILINESTRING ((175561.332 497235.094, 175551.106 497249.497, 175474.206 497356.335))"
O10002_Open_Strooiroutes.102,Buitengebied,"MULTILINESTRING ((175676.825 497072.993, 175600.883 497179.385, 175561.332 497235.094))"
O10002_Open_Strooiroutes.103,Buitengebied,"MULTILINESTRING ((175912.969 491194.507, 176016.842 491246.17))"
O10002_Open_Strooiroutes.104,Buitengebied,"MULTILINESTRING ((180066.821 497697.233, 180304.171 497552.867))"
O10002_Open_Strooiroutes.105,Buitengebied,"MULTILINESTRING ((183763.23 499890.628, 183763.808 499924.412, 183762.925 499938.377, 183760.761 499967.415, 183757.864 499988.988, 183755.765 500000.199))"
O10002_Open_Strooiroutes.106,Buitengebied,"MULTILINESTRING ((179805.033 509503.362, 179755.873 509654.943))"
O10002_Open_Strooiroutes.107,Buitengebied,"MULTILINESTRING ((179696.77 509985.495, 179695.049 509983.323, 179693.39 509981.105, 179691.792 509978.841, 179690.258 509976.534, 179688.788 509974.186, 179687.384 509971.797, 179686.047 509969.371, 179684.777 509966.908, 179683.576 509964.411, 179682.445 509961.882, 179681.384 509959.323, 179680.395 509956.735, 179679.477 509954.121, 179678.633 509951.482, 179677.861 509948.821, 179677.164 509946.14, 179676.542 509943.44, 179675.994 509940.724, 179675.522 509937.994, 179675.126 509935.252, 179674.805 509932.5, 179674.562 509929.74, 179674.394 509926.974, 179674.304 509924.205, 179674.29 509921.435, 179674.353 509918.665, 179674.493 509915.898, 179674.709 509913.136, 179675.002 509910.38, 179675.371 509907.635, 179675.815 509904.9, 179676.336 509902.179, 179676.932 509899.473, 179677.602 509896.785, 179678.347 509894.116, 179679.165 509891.469))"
O10002_Open_Strooiroutes.108,Buitengebied,"MULTILINESTRING ((175002.575 503377.661, 174433.895 503345.421))"
O10002_Open_Strooiroutes.109,Buitengebied,"MULTILINESTRING ((181571.707 502057.253, 181611.825 502025.649, 181776.422 501893.608, 182040.41 501681.462, 182211.105 501544.544))"
O10002_Open_Strooiroutes.110,Buitengebied,"MULTILINESTRING ((174901.359 507745.741, 174781.424 507827.247, 173940.906 508354.896, 173676.591 508521.692, 173446.995 508664.376, 173421.414 508673.07, 173370.252 508698.109, 173341.719 508714.453, 173313.678 508730.102, 173271.862 508755.836, 173226.36 508783.333))"
O10002_Open_Strooiroutes.111,Buitengebied,"MULTILINESTRING ((170472.455 508952.93, 170133.937 508860.12))"
O10002_Open_Strooiroutes.112,Buitengebied,"MULTILINESTRING ((174105.619 499801.421, 174199.148 500006.146))"
O10002_Open_Strooiroutes.113,Buitengebied,"MULTILINESTRING ((171494.583 497680.657, 171473.885 497663.94, 171282.101 497504.626, 171012.517 497274.965, 170681.734 496994.192, 170548.525 496879.726, 170485.961 496827.732, 170381.611 496744.573, 170311.271 496690.395, 170189.239 496601.296, 170113.384 496548.864, 170002.247 496476.526, 169987.292 496467.007))"
O10002_Open_Strooiroutes.114,Buitengebied,"MULTILINESTRING ((173506.501 495089.043, 173452.991 495040.049, 173339.058 494939.302, 173043.452 494676.32, 172883.863 494534.427, 172790.922 494454.304, 172404.21 494106.118, 172183.54 493912.297, 172045.802 493788.479))"
O10002_Open_Strooiroutes.115,Buitengebied,"MULTILINESTRING ((180985.06 497144.807, 181083.394 497090.738, 181349.668 496953.958, 181904.547 496669.828, 182162.631 496537.548, 182263.799 496486.48, 182288.856 496474.751, 182321.494 496461.571, 182349.784 496452.9, 182379.704 496445.936, 182413.569 496440.395, 182445.434 496436.509, 182471.977 496435.592, 182498.26 496436.013, 182518.49 496436.931, 182546.451 496440.011, 182579.92 496445.675, 182750.821 496481.657, 182778.57 496488.596, 182796.832 496493.679, 182821.224 496501.966, 182849.534 496513.487, 182866.714 496522.217, 182881.771 496530.047, 182908.348 496544.881, 182920.685 496552.523, 182956.374 496579.08, 183019.873 496638.132, 183324.352 496942.547, 183423.037 497041.297))"
O10002_Open_Strooiroutes.116,Buitengebied,"MULTILINESTRING ((176364.807 496323.103, 176361.449 496320.109, 176358.143 496317.058, 176354.89 496313.95, 176351.692 496310.786, 176348.549 496307.567, 176345.462 496304.294, 176342.432 496300.968, 176339.46 496297.59, 176336.547 496294.162, 176333.694 496290.683, 176330.901 496287.156, 176328.17 496283.581, 176325.501 496279.959, 176322.895 496276.292, 176320.353 496272.58, 176317.876 496268.824, 176315.464 496265.026, 176313.118 496261.187, 176310.839 496257.308, 176308.627 496253.391, 176306.483 496249.435, 176304.409 496245.443, 176302.403 496241.416, 176300.468 496237.355, 176298.603 496233.26, 176296.809 496229.134, 176295.087 496224.978, 176293.437 496220.792, 176291.86 496216.579))"
O10002_Open_Strooiroutes.117,Buitengebied,"MULTILINESTRING ((176683.063 496513.019, 176715.236 496531.572, 176962.35 496673.097, 177031.407 496712.937, 177421.112 496935.732, 177498.014 496984.923, 177536.512 497012.454, 177679.147 497114.696, 177954.339 497311.413, 178030.084 497365.854, 178307.091 497563.64, 178876.831 497971.084, 178931.268 498010.02, 179072.06 498109.141, 179110.886 498130.224, 179152.886 498143.888, 179191.434 498151.215, 179234.297 498153.988, 179268.817 498151.215, 179298.16 498145.671, 179334.119 498135.571, 179366.625 498120.521, 179449.967 498070.169))"
O10002_Open_Strooiroutes.118,Buitengebied,"MULTILINESTRING ((184009.935 504482.252, 184009.941 503872.908))"
O10002_Open_Strooiroutes.119,Buitengebied,"MULTILINESTRING ((182027.934 503976.065, 182148.779 504593.498))"
O10002_Open_Strooiroutes.120,Buitengebied,"MULTILINESTRING ((183381.221 510279.261, 183437.48 510266.415, 183484.548 510252.996, 183562.253 510225.963, 183602.079 510208.516, 183650.819 510184.55, 183706.521 510153.491, 183753.589 510122.623, 183803.34 510086.673, 183854.131 510043.633, 183886.16 510012.765, 183917.616 509979.158, 184029.77 509859.859, 184285.184 509582.913, 184416.865 509439.696, 184768.595 509057.632, 184999.921 508806.822))"
O10002_Open_Strooiroutes.121,Buitengebied,"MULTILINESTRING ((183052.791 506249.473, 183573.705 506401.557, 183831.011 506475.099, 183972.111 506509.433, 184009.6 506516.548))"
O10002_Open_Strooiroutes.122,Buitengebied,"MULTILINESTRING ((174433.895 503345.421, 174002.38 503320.958, 173891.115 503314.755, 173426.892 503288.312, 173254.547 503277.398, 173129.227 503264.583, 172867.48 503235.224, 172470.258 503191.394, 172243.128 503166.363))"
O10002_Open_Strooiroutes.123,Buitengebied,"MULTILINESTRING ((175074.377 502049.772, 175246.663 502465.397, 175262.184 502503.411, 175307.563 502612.998))"
O10002_Open_Strooiroutes.124,Buitengebied,"MULTILINESTRING ((172371.303 509815.992, 171808.086 509661.437))"
O10002_Open_Strooiroutes.125,Buitengebied,"MULTILINESTRING ((169987.292 496467.007, 169938.761 496436.117, 169569.335 496211.628, 169174.052 495971.097, 168971.629 495847.672, 168706.046 495686.738, 168533.243 495581.08))"
O10002_Open_Strooiroutes.126,Buitengebied,"MULTILINESTRING ((170592.081 492417.698, 170550.116 492378.004, 170284.39 492121.684, 170097.454 491941.213, 169778.178 491632.837, 169596.804 491458.714, 169528.177 491391.957))"
O10002_Open_Strooiroutes.127,Buitengebied,"MULTILINESTRING ((179762.232 502605.081, 179861.52 502578.919))"
O10002_Open_Strooiroutes.128,Buitengebied,"MULTILINESTRING ((176281.87 497977.168, 176235.409 497863.919, 176179.939 497726.41, 176143.806 497648.865, 176110.392 497585.91, 176074.729 497524.497, 176049.807 497485.894))"
O10002_Open_Strooiroutes.129,Buitengebied,"MULTILINESTRING ((176076.051 495566.205, 176075.409 495561.841, 176074.841 495557.466, 176074.348 495553.082, 176073.929 495548.691, 176073.585 495544.293, 176073.315 495539.89, 176073.12 495535.483, 176073 495531.073, 176072.954 495526.662, 176072.984 495522.251, 176073.088 495517.841, 176073.267 495513.433, 176073.521 495509.029, 176073.85 495504.63, 176074.253 495500.237, 176074.73 495495.852, 176075.282 495491.475, 176075.909 495487.108, 176076.609 495482.753, 176077.383 495478.41, 176078.23 495474.081, 176079.151 495469.767, 176080.145 495465.469, 176081.211 495461.188, 176082.351 495456.926, 176083.562 495452.685, 176084.845 495448.464))"
O10002_Open_Strooiroutes.130,Buitengebied,"MULTILINESTRING ((176095.52 495634.442, 176099.264 495643.722))"
O10002_Open_Strooiroutes.131,Buitengebied,"MULTILINESTRING ((176079.27 495583.152, 176080.018 495586.597))"
O10002_Open_Strooiroutes.132,Buitengebied,"MULTILINESTRING ((178979.543 493126.274, 178999.74 493140.581, 179161.458 493257.277, 179481.869 493486.313, 179852.23 493750.672))"
O10002_Open_Strooiroutes.133,Buitengebied,"MULTILINESTRING ((170447.891 487009.149, 170488.202 487048.923, 170536.903 487097.294, 170558.433 487121.895, 170590.166 487160.125, 170617.55 487198.23, 170639.517 487232.5, 170663.832 487275.127, 170675.388 487298.521, 170690.463 487336.471, 170710.805 487387.642, 170711.586 487390.353))"
O10002_Open_Strooiroutes.134,Buitengebied,"MULTILINESTRING ((176364.807 496323.103, 176364.433 496322.756))"
O10002_Open_Strooiroutes.200,Buitengebied,"MULTILINESTRING ((171365.45 488777.981, 171412.397 488814.632, 171531.918 488905.722, 171663.03 489004.375, 171744.48 489068.013, 171789.097 489100.606))"
O10002_Open_Strooiroutes.393,Wegen,"MULTILINESTRING ((175846.034 496384.334, 175822.203 496362.247))"
