FID,stripid,shape_leng,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wschelde_2015.35,13,42301.515522,15-04-2015,,,"LINESTRING (44519.335999999195 390389.63800000027, 55181.11899999902 390388.9670000002, 34699.879000000656 390397.06700000167, 44516.37999999896 390389.5929999985, 43174.39799999818 390393.27600000054)"
vlieglijnen_wschelde_2015.36,23,28736.8071322,15-04-2015,,,"LINESTRING (34689.49700000137 390150.83199999854, 55187.65900000185 390143.07499999925, 48326.75800000131 390137.5150000006, 49704.49799999967 390138.5799999982)"
vlieglijnen_wschelde_2015.37,171,32132.0375108,15-04-2015,,,"MULTILINESTRING ((41749.16539999843 377505.1638999991, 42102.686000000685 377325.8350000009), (41749.16539999843 377505.1638999991, 47139.07899999991 374850.4600000009, 40883.5549999997 377944.2580000013, 41749.16539999843 377505.1638999991), (25800.640999998897 385360.3189999983, 41749.16539999843 377505.1638999991))"
vlieglijnen_wschelde_2015.38,181,24901.9131507,15-04-2015,,,"LINESTRING (47784.802999999374 373994.34699999914, 25783.019999999553 384806.26900000125, 26127.495000001043 384629.68299999833)"
vlieglijnen_wschelde_2015.39,191,36661.0343901,15-04-2015,,,"LINESTRING (34671.83900000155 379890.16899999976, 25311.072999998927 384499.1460000016, 46633.05200000107 373996.0929999985, 44423.19000000134 375073.7679999992)"
vlieglijnen_wschelde_2015.40,201,39045.5263093,15-04-2015,,,"LINESTRING (39974.90700000152 376710.4050000012, 47251.20199999958 373155.0029999986, 25094.640999998897 384051.8049999997, 30698.162999998778 381270.3220000006)"
vlieglijnen_wschelde_2015.41,211,36504.0594225,15-04-2015,,,"LINESTRING (28338.151999998838 381870.8779999986, 24825.22599999979 383616.4759999998, 46089.51999999955 373147.02899999917, 38119.47899999842 377061.4930000007)"
vlieglijnen_wschelde_2015.42,261,24032.5512785,15-04-2015,,,"LINESTRING (45515.482999999076 373328.8269999996, 44464.55999999866 371633.5549999997, 53610.46900000051 386353.5320000015, 51122.21700000018 382356.7250000015)"
vlieglijnen_wschelde_2015.43,271,24479.5813202,15-04-2015,,,"LINESTRING (51077.10099999979 381336.4930000007, 54222.03400000185 386389.6950000003, 45016.98699999973 371597.6739999987, 45602.62299999967 372535.1279999986)"
vlieglijnen_wschelde_2015.44,281,36119.7134585,15-04-2015,,,"MULTILINESTRING ((50699.25899999961 379819.87900000066, 45790.9299999997 371887.9050000012, 51191.273099999875 380575.64660000056), (51191.273099999875 380575.64660000056, 51414.34400000051 380918.2479999997), (51191.273099999875 380575.64660000056, 54980.53799999878 386671.58399999887, 50700.59899999946 379822.0489999987, 51191.273099999875 380575.64660000056))"
vlieglijnen_wschelde_2015.45,291,23354.8660433,15-04-2015,,,"LINESTRING (55810.47800000012 387046.0089999996, 46621.55700000003 372280.2100000009, 49073.80700000003 376221.4050000012, 48375.29800000042 375099.5799999982)"
vlieglijnen_wschelde_2015.46,301,22532.695251,15-04-2015,,,"LINESTRING (46726.243000000715 371511.94000000134, 56680.73900000006 387514.6779999994, 55442.38399999961 385513.1429999992, 56147.11899999902 386644.42599999905)"
vlieglijnen_wschelde_2015.47,541,21019.014208,15-04-2015,,,"LINESTRING (57739.88699999824 382048.2049999982, 74867.99100000039 371382.97300000116, 74228.2890000008 371794.34699999914, 74296.36300000176 371749.96499999985)"
vlieglijnen_wschelde_2015.48,551,39641.444687,15-04-2015,,,"LINESTRING (74265.45899999887 371169.6070000008, 66190.70600000024 376192.6860000007, 74729.84899999946 370880.73800000176, 57997.125 381296.71400000155, 58304.65799999982 381099.2280000001)"
vlieglijnen_wschelde_2015.49,561,25592.986051,15-04-2015,,,"LINESTRING (58039.23000000045 380686.2569999993, 57209.46299999952 381188.1649999991, 72580.17100000009 371633.563000001, 67040.29899999872 375080.9270000011)"
