Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd door de bezoekers (in seconden),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec) na het hier in te voeren.,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
sport-in-utrecht/zwembaden/zwembad-de-krommerijn/programma-tarieven/index,914,1256,178339,8,855,0.001,8.695,102,259,29422,64,498,868,90,469,195,63%,54%,0.549,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-krommerijn/programma-tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-krommerijn%2Fprogramma-tarieven%2F,
subsidiehulp/index,910,1330,70123,62,1070,0.001,5.565,319,2147,152908,64,167,890,309,165,77,20%,18%,0.516,http://www.utrecht.nl/subsidiehulp/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsubsidiehulp%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=1061,902,1166,166708,7,826,0.002,16.2,287,1203,110353,161,432,873,265,419,185,56%,48%,1.07,https://pki.utrecht.nl/Loket//prodcat/products/getProductDetailsAction.do?id=1061,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2F%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1061,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bijlagen,897,1291,107229,1,1193,0.001,16.918,16,119,6371,7,37,881,15,36,120,44%,4%,0.576,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Dbijlagen,
Loket/prodcat/products/getProductDetailsAction.do?id=1083,891,1177,93729,18,991,0.001,20.383,593,2788,223700,191,303,875,577,295,105,32%,34%,0.807,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1083,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1083,
Loket/prodcat/products/getProductDetailsAction.do?name=Individuele inkomenstoeslag,882,1240,129799,189,986,0.001,22.206,452,3983,326853,158,268,842,422,260,147,35%,30%,0.914,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Individuele+inkomenstoeslag,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DIndividuele+inkomenstoeslag,
sport-in-utrecht/zwembaden/reguliere-zwemles-kinderen/index,880,1191,142760,13,692,0.001,10.496,185,692,74982,72,249,850,177,237,162,39%,28%,0.694,http://www.utrecht.nl/sport-in-utrecht/zwembaden/reguliere-zwemles-kinderen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Freguliere-zwemles-kinderen%2F,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=selecteerVergunning,876,1221,44599,,972,0.007,25.249,6,20,1975,2,74,859,6,72,51,33%,8%,0.526,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=selecteerVergunning,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3DselecteerVergunning,
gemeenteraad/raadsvergadering/index,876,1183,92389,10,922,0.001,7.294,155,643,51917,43,266,830,143,256,105,28%,30%,0.492,http://www.utrecht.nl/gemeenteraad/raadsvergadering/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsvergadering%2F,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=uwgegevens_personen,875,1306,62986,2,1069,0.005,32.074,16,94,7479,4,95,826,15,86,72,25%,11%,1.342,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3Duwgegevens_personen,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/meivakantierooster/index,868,1317,138794,8,776,0.002,21.933,50,174,27822,27,218,837,44,211,160,54%,25%,0.537,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/meivakantierooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fopeningstijden-tarieven%2Fmeivakantierooster%2F,
college-van-b-en-w/burgemeester-en-wethouders/index,849,1123,95008,17,850,0.001,6.86,167,535,45282,69,269,827,161,264,112,41%,32%,0.557,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=overzicht,849,1013,41622,1,935,0.031,193.182,7,198,32193,2,9,839,7,9,49,29%,1%,2.677,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Doverzicht,
stadsparken-en-landgoederen/maximapark/ridderhofstad-den-engh/index,849,1131,155925,6,601,0.002,260.228,566,1648,202714,320,492,834,553,484,184,57%,58%,1.179,http://www.utrecht.nl/stadsparken-en-landgoederen/maximapark/ridderhofstad-den-engh/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2Fmaximapark%2Fridderhofstad-den-engh%2F,
stadsparken-en-landgoederen/index,848,1139,102546,9,790,0.001,34.425,547,2520,193523,227,371,819,525,355,121,41%,44%,0.698,http://www.utrecht.nl/stadsparken-en-landgoederen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bevestiging,846,929,116906,,855,0.001,19.742,15,26,2504,12,311,833,13,306,138,80%,37%,0.655,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Dbevestiging,
Formulieren/process/add/report/locationAction.do,843,1753,149158,2,1457,0.027,148.642,11,62,1699,6,31,826,11,31,177,55%,4%,2.053,https://pki.utrecht.nl/Formulieren/process/add/report/locationAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FlocationAction.do,
Loket/prodcat/process/checkPreconditionsAction.do?name=Uittreksel GBA aanvragen&processName=Aanvraag met DigiD,840,1056,96530,4,805,0.002,45.392,34,271,18111,8,80,815,33,78,115,24%,10%,0.831,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Uittreksel+GBA+aanvragen&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DUittreksel+GBA+aanvragen%26processName%3DAanvraag+met+DigiD,
Loket/prodcat/products/getProductDetailsAction.do?id=1152,834,1036,123453,15,760,0.002,31.442,351,2235,237522,114,210,798,326,195,148,32%,25%,1.535,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1152,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1152,
werken-en-leren-bij-utrecht/traineeprogramma/index,833,1238,86478,6,1044,0.001,16.013,484,1693,102552,181,422,823,477,415,104,37%,51%,0.596,http://www.utrecht.nl/werken-en-leren-bij-utrecht/traineeprogramma/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2Ftraineeprogramma%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Afval huishoudens, restafval,825,920,64362,72,612,0.036,31.645,320,1274,93105,82,163,812,314,161,78,26%,20%,1.332,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Afval+huishoudens%2C+restafval,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DAfval+huishoudens%2C+restafval
nieuws/?osadcampaign=Persberichten,809,1097,47853,11,752,0.001,9.44,80,249,17572,33,183,675,75,174,59,41%,23%,0.559,http://www.utrecht.nl/nieuws/?osadcampaign=Persberichten,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fnieuws%2F%3Fosadcampaign%3DPersberichten,
bouwen-en-verbouwen/afspraak-maken/index,797,1118,183212,23,818,0.001,19.01,49,148,12961,21,180,778,49,175,230,43%,23%,0.943,http://www.utrecht.nl/bouwen-en-verbouwen/afspraak-maken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fafspraak-maken%2F,
nieuws/index,796,1075,70638,15,837,0.001,16.952,176,713,71384,61,205,732,138,183,89,35%,26%,0.557,http://www.utrecht.nl/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fnieuws%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Wijzigen kenteken&processName=Aanvraag met DigiD,784,896,72564,,646,0.005,8.604,29,223,16611,5,71,752,27,69,93,17%,9%,0.687,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Wijzigen+kenteken&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DWijzigen+kenteken%26processName%3DAanvraag+met+DigiD,
Formulieren/process/add/report/attachmentAction.do,779,1104,47499,1,889,0.008,11.946,7,21,1832,5,12,763,7,12,61,71%,2%,0.651,https://pki.utrecht.nl/Formulieren/process/add/report/attachmentAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FattachmentAction.do,
sport-in-utrecht/zwembaden/zwembad-den-hommel/zwemles/index,778,1119,36243,3,723,0.001,13.543,227,1634,132001,19,72,763,223,70,47,8%,9%,0.623,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fzwemles%2F,
wonen-in-veemarkt/woningaanbod/index,777,1525,116098,7,845,0.001,5.043,68,313,30145,29,201,753,65,192,149,43%,26%,0.497,http://www.utrecht.nl/wonen-in-veemarkt/woningaanbod/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fwoningaanbod%2F,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=uwgegevens_personen,776,1069,29293,,829,0.006,10.99,1,7,60,0,21,745,1,21,38,0%,3%,1.351,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3Duwgegevens_personen,
Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=BijzondereBijstand,773,6546,143920,6,5929,0.001,26.227,43,819,37401,10,93,743,40,92,186,23%,12%,0.785,https://pki.utrecht.nl/Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=BijzondereBijstand,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fdecisiontree%2FrenderAction.do%3Ftree_type%3Dformuliertoegang%26tree_name%3DBijzondereBijstand,
Formulieren/process/add/report/startOverviewAction.do,764,955,50279,1,770,0.027,19.978,5,10,21,3,22,749,5,22,66,60%,3%,1.206,https://pki.utrecht.nl/Formulieren/process/add/report/startOverviewAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FstartOverviewAction.do,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=huidigAdres,763,1028,24143,1,895,0.001,22.736,5,26,272,1,61,732,2,59,32,20%,8%,0.53,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=huidigAdres,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3DhuidigAdres,
werk-en-inkomen/hulp-bij-schulden/index,763,1197,76977,31,945,0.001,13.001,270,1867,150716,60,161,749,262,156,101,22%,21%,0.545,http://www.utrecht.nl/werk-en-inkomen/hulp-bij-schulden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fhulp-bij-schulden%2F,
kabinetzaken/utrechts-oranje-comite/activiteiten/index,755,954,53896,93,674,0.001,4.639,12,40,8040,6,190,748,12,188,71,50%,25%,0.555,http://www.utrecht.nl/kabinetzaken/utrechts-oranje-comite/activiteiten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fkabinetzaken%2Futrechts-oranje-comite%2Factiviteiten%2F,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=selecteerVergunning,749,945,20111,,754,0.001,8.743,1,2,18,0,35,719,1,32,27,0%,5%,0.526,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=selecteerVergunning,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3DselecteerVergunning,
index.php?id=51102,748,997,53701,6,820,0.001,6.658,22,68,3645,11,63,731,21,62,72,50%,8%,0.555,http://www.utrecht.nl/index.php?id=51102,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Findex.php%3Fid%3D51102,
melding-wens-klacht-bezwaar/index,740,950,44315,36,707,0.001,7.289,246,2359,176639,36,110,720,237,109,60,15%,15%,0.5,http://www.utrecht.nl/melding-wens-klacht-bezwaar/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fmelding-wens-klacht-bezwaar%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/recreatief-zwemmen/index,740,913,63161,9,569,0.001,12.174,107,434,30397,33,135,722,104,126,85,31%,18%,0.731,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/recreatief-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fvrij-zwemmen%2Frecreatief-zwemmen%2F,
verkeersbeleid/milieuzone/?utm_content=300x250,739,797,72287,,603,0.001,20.258,736,2415,256438,479,514,664,661,459,98,65%,70%,0.672,http://www.utrecht.nl/verkeersbeleid/milieuzone/?utm_content=300x250,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2F%3Futm_content%3D300x250,
Loket/prodcat/process/checkPreconditionsAction.do?name=Ldtnieuw aanvragen&processName=Aanvraag met DigiD,737,982,94238,5,793,0.002,7.579,21,168,12649,8,90,707,19,84,128,38%,12%,0.594,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Ldtnieuw+aanvragen&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DLdtnieuw+aanvragen%26processName%3DAanvraag+met+DigiD,
zoeken/index,734,916,27604,455,657,0.001,30.698,36,68,5125,26,91,729,35,89,38,72%,12%,0.525,http://www.utrecht.nl/zoeken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fzoeken%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=467,722,848,52470,7,623,0.001,25.199,171,733,59282,46,116,715,167,115,73,27%,16%,1.538,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=467,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D467,
gemeenteraad/wie-zit-er-in-de-raad/index,719,1728,81497,16,1190,0.001,88.743,167,1227,79711,44,169,689,159,163,113,26%,24%,0.588,http://www.utrecht.nl/gemeenteraad/wie-zit-er-in-de-raad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fwie-zit-er-in-de-raad%2F,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=kenteken,714,991,43141,,786,0.002,6.702,4,53,2464,1,34,690,4,34,60,25%,5%,0.445,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=kenteken,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3Dkenteken,
bestemmingsplannen/index,711,1176,79596,86,893,0.001,19.97,367,2393,193477,74,165,700,358,160,112,20%,23%,0.486,http://www.utrecht.nl/bestemmingsplannen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbestemmingsplannen%2F,
wijk-vleuten-de-meern/nieuws/index,711,938,61517,38,671,0.001,7.813,318,1328,134846,107,211,688,307,206,87,34%,30%,0.769,http://www.utrecht.nl/wijk-vleuten-de-meern/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-vleuten-de-meern%2Fnieuws%2F,
wonen/woning-zoeken/index,706,899,49555,13,717,0.001,11.969,280,1131,89410,92,183,695,275,183,70,33%,26%,0.704,http://www.utrecht.nl/wonen/woning-zoeken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen%2Fwoning-zoeken%2F,
Formulieren/process/add/report/ - Andere,701,713,114562,,575,0.003,55.996,3,3,0,3,402,701,3,402,163,100%,57%,1.692,,,
"Loket/prodcat/products/getProductDetailsAction.do?name=Geboorte, aangifte,701,963,97938,42,666,0.014,18.731,307,1532,150853,106,194,682,289,187,140,35%,28%,1.2,""https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Geboorte,+aangifte"",pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DGeboorte%2C+aangifte",,,,,,,,,,,,,,,,,,,,,,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=formulier,700,864,193069,1,743,0.001,7.589,6,57,3675,1,28,697,6,28,276,17%,4%,0.565,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=formulier,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Dformulier,
gemeenteraad/raadsinformatieavond/programma/index,698,976,65242,3,734,0.001,109.195,274,805,60990,133,280,641,252,261,93,49%,40%,0.679,http://www.utrecht.nl/gemeenteraad/raadsinformatieavond/programma/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsinformatieavond%2Fprogramma%2F,
leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/kavels-hoge-weide/index,696,1037,43925,5,679,0.001,4.8,285,2486,137102,35,87,651,267,80,63,12%,13%,0.531,http://www.utrecht.nl/leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/kavels-hoge-weide/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fvrije-kavels-leidsche-rijn%2Fkavels%2Fkavels-hoge-weide%2F,
wonen-in-veemarkt/nieuws/index,694,947,111214,23,626,0.001,16.515,221,758,63349,93,253,659,203,238,160,42%,36%,0.931,http://www.utrecht.nl/wonen-in-veemarkt/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fnieuws%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/vrij-zwemmen/index,692,898,43891,3,557,0.001,9.563,62,259,15997,16,79,681,58,73,63,26%,11%,0.695,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/vrij-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fvrij-zwemmen%2F,
wijk-west/nieuws/index,687,939,55174,5,672,0.001,10.592,425,1447,116985,125,202,669,413,199,80,29%,29%,0.673,http://www.utrecht.nl/wijk-west/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-west%2Fnieuws%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/index,681,967,37703,3,590,0.001,12.479,130,819,67625,25,67,670,129,67,55,19%,10%,0.649,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fzwemles%2F,
leidsche-rijn/vrije-kavels-leidsche-rijn/index,680,1002,45062,18,643,0.001,46.152,352,4468,244840,46,102,652,342,100,66,13%,15%,0.674,http://www.utrecht.nl/leidsche-rijn/vrije-kavels-leidsche-rijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fvrije-kavels-leidsche-rijn%2F,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=overzicht,676,896,30153,,709,0.036,180.297,5,25,933,2,20,667,4,19,45,40%,3%,2.406,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3Doverzicht,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=bevestiging,661,678,68243,,528,0.001,31.317,16,35,2105,10,456,653,16,450,103,63%,69%,1.046,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3Dbevestiging,
utrecht-en-veiligheid/prostitutie/index,657,812,89065,20,584,0.001,36.034,266,707,83403,150,261,642,256,254,136,56%,40%,0.667,http://www.utrecht.nl/utrecht-en-veiligheid/prostitutie/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-en-veiligheid%2Fprostitutie%2F,
Loket/persondetails/displayPersonDetailsAction.do,651,841,36717,4,744,0.003,9.254,14,50,1842,8,49,645,13,48,56,57%,8%,0.683,https://pki.utrecht.nl/Loket/persondetails/displayPersonDetailsAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fpersondetails%2FdisplayPersonDetailsAction.do,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=vergunningNieuw,647,1365,75170,,1060,0.002,22.636,14,35,947,11,29,642,14,29,116,79%,4%,0.678,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=vergunningNieuw,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3DvergunningNieuw,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bijlagen,646,777,19071,1,671,0.009,17.689,5,14,377,0,6,644,5,6,30,0%,1%,0.674,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Dbijlagen,
Loket/prodcat/products/getProductDetailsAction.do?name=Gemeentebelasting,645,879,41604,275,779,0.006,35.917,61,328,20216,21,87,643,60,87,65,34%,13%,0.839,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Gemeentebelasting,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DGemeentebelasting,
gevonden-voorwerpen/zoeken-en-ophalen/index,641,753,33053,21,553,0.001,29.65,130,476,42992,39,106,613,123,98,52,30%,17%,0.703,http://www.utrecht.nl/gevonden-voorwerpen/zoeken-en-ophalen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgevonden-voorwerpen%2Fzoeken-en-ophalen%2F,
Loket/prodcat/topics/getTopicsAction.do?id=137,638,740,15404,3,627,0.016,27.727,10,75,7290,1,4,635,10,4,24,10%,1%,0.964,https://pki.utrecht.nl/Loket/prodcat/topics/getTopicsAction.do?id=137,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Ftopics%2FgetTopicsAction.do%3Fid%3D137,
bouwen-en-verbouwen/vergunningen-op-een-rij/index,637,954,54441,70,678,0.001,5.406,115,1252,122255,23,79,623,111,78,85,20%,12%,0.545,http://www.utrecht.nl/bouwen-en-verbouwen/vergunningen-op-een-rij/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fvergunningen-op-een-rij%2F,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=overzicht,635,711,29467,,611,0.04,180.353,1,1,0,1,18,634,1,18,46,100%,3%,2.114,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Doverzicht,
verkeersbeleid/milieuzone/?utm_content=728x90,635,678,47213,2,500,0.001,68.801,631,2323,229363,382,407,579,575,373,74,61%,64%,0.613,http://www.utrecht.nl/verkeersbeleid/milieuzone/?utm_content=728x90,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2F%3Futm_content%3D728x90,
welzijn/toegankelijk-utrecht/toegankelijkheidsprijs/index,633,823,41466,3,625,0.001,12.067,471,1370,110598,118,184,594,436,177,66,25%,29%,0.602,http://www.utrecht.nl/welzijn/toegankelijk-utrecht/toegankelijkheidsprijs/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwelzijn%2Ftoegankelijk-utrecht%2Ftoegankelijkheidsprijs%2F,
stadhuis/index,631,781,71595,12,574,0.001,22.421,398,1626,149789,175,269,611,380,253,113,44%,43%,0.647,http://www.utrecht.nl/stadhuis/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadhuis%2F,
