"JAAR","PERIODE","BELEIDSPROGRAMMA","ORGANISATIE","SUBSIDIE_BESCHIKT","BEKOSTIGD_UIT_RIJKSINKOMSTEN","WETTELIJKE_TAAK","GLOB_OVERZ_GESUB_ACTIVITEITEN","INLEES_DATUM","GEMEENTE","GEMEENTE_CODE","LAND_CODE"
2016,"Q4","Programma Kunst en Cultuur","Stichting Big Ben",12000,"Nee","Nee","Organisatie van het beiaardfestival Met de Klokken mee.

",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Verder Kijken",12500,"Nee","Nee","Voro de activiteiten 2016 ontwerp en constructieve tekeningen ",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Buitenbios / Filmtheater Het Zeepaard",13000,"Nee","Nee","Welzijnssubsidie: aanbieden culturele filmvertoningen en het aanbieden van cultuureducatie.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Vlaardings Centrum voor Amateurtoneel",14450,"Nee","Nee","Welzijnssubsidie: het aanbieden repetitieruimte, podium en voorstellingen en een festival.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Stadspodium ",470000,"Nee","Nee","Opstart organisatie. Aanbieden podiumkunsten.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",1300,"Ja","Nee","Het organiseren van NT2 middag.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",1487,"Ja","Ja","Verhoging taalniveau pedagogisch medewerkers werkzaam op een peuterspeelzaal of kinderopvang in Vlaardingen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Wijzer in Opvang & Onderwijs",2600,"Ja","Ja","5 VVE  trajecten voor 5 doelgroepkinderen op de dagopvang.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Kinderopvang Mini Academie",2668,"Ja","Ja","Verleturen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Federatie Nederlandse Levensmiddelen Industrie",4000,"Nee","Nee","Het organiseren van de Week van de Levensmiddelenindustrie / Futureproef 2016 voor met name jongeren en hun leerkrachten en ouders om instroom op opleidingen levensmiddelentechnologie te bevorderen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",4815,"Ja","Ja","Incidentele aanvulling op structurele subsidie: extra inzet toeleiding doelgroepkinderen naar vve-voorzieningen. Betaling middels aanwezige reserve bij de stichting.

",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Mister Dutch B.V.",4920,"Ja","Ja","Uitvoeren van herkansing taaltoetsen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Wijzer in Opvang & Onderwijs",5000,"Ja","Ja","VVE taaltraject pedagogische medewerkers. ",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",6237,"Ja","Ja","Verhoging taalniveau pedagogisch medewerkers.",10/02/17,"Vlaardingen",622,"NL"
