OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,INWINMETHODE,AZIMUT,TIJDSTIP_REGISTRATIE,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,Z,LATITUDE,LONGITUDE,KM_SPOORTAK,KM_SPOORTAK_T,STK_OFFSET,STK_OFFSET_T
11,4ea21e0c-9537-4800-97b2-734c0ec0516a,,60,Bestaand,,Fotogrammetrie,,2022/04/18 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.289262,"88,289262",5.660958,"5,660958",ProRail,Noord-Oost,NO,BASIS,Veluwe,430,IJsselstreek,31,Strukton Rail,194979.792,469167.266,0,52.20915355,5.97212401,,,,
12,0a3bc047-d27a-4bb6-9446-114956b7f0c3,,60,Bestaand,,Fotogrammetrie,,2022/04/18 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.098045,"88,098045",-6.64582,"-6,645820",ProRail,Noord-Oost,NO,BASIS,Veluwe,430,IJsselstreek,31,Strukton Rail,194789.43,469190.749,0,52.20937836,5.96934183,,,,
13,98ae36e0-e975-45ec-9b9e-bde94e4e9dff,,60,Bestaand,,Fotogrammetrie,,2022/04/18 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.377436,"88,377436",-9.203923,"-9,203923",ProRail,Noord-Oost,NO,BASIS,Veluwe,430,IJsselstreek,31,Strukton Rail,195068.85,469176.134,0,52.20922678,5.97342795,,,,
14,0e03f4ba-6d3a-4169-8bb1-fe5e30084cbd,,60,Bestaand,,Fotogrammetrie,,2022/04/18 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.237497,"88,237497",-7.079298,"-7,079298",ProRail,Noord-Oost,NO,BASIS,Veluwe,430,IJsselstreek,31,Strukton Rail,194929.011,469183.344,0,52.20930172,5.971383,,,,
15,d4137cf7-bf0f-49dc-894e-eeb5355ba87a,,60,Bestaand,,Fotogrammetrie,,2020/11/05 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.118693,"1,118693",-37.7728,"-37,772800",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Overijssel,34,ASSET Rail,201752.831,501456.335,0,52.4988051,6.07570024,,,,
16,8afef34c-f16d-495a-81a8-ee9eb4d7a545,,60,Bestaand,,Fotogrammetrie,0,2020/11/05 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,0.496078,"0,496078",9.321275,"9,321275",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Overijssel,34,ASSET Rail,201536.174,500854.253,0,52.49341279,6.07242598,,,,
17,6bdcc5cd-dde4-4903-92f2-a1070a10fbee,,60,Bestaand,,Fotogrammetrie,0,2020/11/05 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.890039,"2,890039",41.144147,"41,144147",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Overijssel,34,ASSET Rail,202849.929,502078.58,0,52.50430213,6.09194438,,,,
18,a3fc0942-6609-48ee-8563-f252c667b617,,60,Bestaand,,Fotogrammetrie,0,2020/11/05 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,3.08581,"3,085810",-8.616542,"-8,616542",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Overijssel,34,ASSET Rail,203043.062,502027.348,0,52.50382478,6.09478127,,,,
19,2764c653-16e1-4c10-837f-9f218d763489,,60,Bestaand,,Fotogrammetrie,0,2020/11/05 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.659488,"2,659488",-25.95026,"-25,950260",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Overijssel,34,ASSET Rail,202682.162,502256.393,0,52.50591475,6.08949909,,,,
20,d4c8eaa6-7e07-4519-9dca-d2132cd9c855,,60,Bestaand,,Fotogrammetrie,0,2020/11/05 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.928513,"2,928513",7.753545,"7,753545",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Overijssel,34,ASSET Rail,202898.908,502088.61,0,52.50438798,6.09266713,,,,
21,c1da8184-5b3e-46e4-ba5a-8b8a1b80714d,,60,Bestaand,,Fotogrammetrie,0,2020/11/05 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.14444,"1,144440",6.880365,"6,880365",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Overijssel,34,ASSET Rail,201803.063,501467.616,0,52.49890218,6.07644149,,,,
22,a85a0567-5218-4793-af62-f16cafce6357,,60,Bestaand,,Fotogrammetrie,0,2020/11/05 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,0.496599,"0,496599",50.167643,"50,167643",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Overijssel,34,ASSET Rail,201569.038,500829.99,0,52.49319195,6.07290646,,,,
23,454c72b4-7c73-41b4-a4c7-f7c9db1304d6,,60,Bestaand,,Fotogrammetrie,0,2020/11/05 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,0.376212,"0,376212",52.180052,"52,180052",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Overijssel,34,ASSET Rail,201484.172,500724.505,0,52.49225119,6.07164227,,,,
24,d631b5f3-6b8c-4367-bb81-6ce2832a01f8,,60,Bestaand,,Fotogrammetrie,0,2020/11/05 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,0.645611,"0,645611",42.326289,"42,326289",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Overijssel,34,ASSET Rail,201656.292,500965.386,0,52.49440129,6.07421006,,,,
25,7bc54606-edb5-4da4-9276-f22c282138b1,,60,Bestaand,,Fotogrammetrie,,2021/08/24 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,20.582462,"20,582462",-4.047105,"-4,047105",ProRail,Noord-Oost,NO,BASIS,Wadden,420,Friesland,36,Strukton Rail,173484.128,561497.623,0,53.04006071,5.66278967,,,,
26,1a2b2728-3657-40d4-bb10-a25a46be954b,,60,Bestaand,,Fotogrammetrie,0,2021/08/24 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,1.1868,"1,186800",0.549494,"0,549494",ProRail,Noord-Oost,NO,BASIS,Wadden,420,Friesland,36,Strukton Rail,157636.897,575974.658,0,53.17046062,5.42663879,,,,
27,ad607146-eda9-4a7b-ae49-5e6760b4f1c7,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,51.074378,"51,074378",14.495119,"14,495119",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,161919.564,383886.174,0,51.444026,5.48673032,,,,
28,cf974b2b-3e30-4231-8b68-1f4c18073b9d,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,50.729447,"50,729447",-40.524949,"-40,524949",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,162270.39,383907.644,0,51.44421457,5.49177703,,,,
29,c3a89ad1-32ec-4a03-b075-5e8c7359b6f4,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,51.096618,"51,096618",-43.252405,"-43,252405",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,161909.508,383824.88,0,51.44347518,5.48658447,,,,
30,d95a6e84-f898-4c66-8deb-fc702d35a112,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,50.609589,"50,609589",-38.879615,"-38,879615",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,162385.678,383933.705,0,51.44444732,5.49343588,,,,
31,6b4f690d-f585-4776-bb43-d4a40dade27a,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,50.240889,"50,240889",-4.812422,"-4,812422",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,162742.019,384019.62,0,51.44521479,5.49856341,,,,
32,ebb7a8dc-e326-4712-a554-5d5d7ebfaa81,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,50.351038,"50,351038",7.090581,"7,090581",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,162631.102,384022.817,0,51.44524504,5.49696801,,,,
33,17fc39b3-768d-4529-a1c7-21d4d78ac262,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,50.044867,"50,044867",-34.439697,"-34,439697",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,162935.926,383980.09,0,51.44485677,5.50135174,,,,
34,a36df84e-20e1-44e0-9e7c-84e511af32ce,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,50.26817,"50,268170",-86.042393,"-86,042393",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,162716.982,383937.52,0,51.44447717,5.49820147,,,,
35,77c15b67-4110-4159-bbac-2081641e75c6,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,50.266851,"50,266851",-98.671447,"-98,671447",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,162718.738,383924.942,0,51.44436408,5.49822646,,,,
36,39f0f2c2-fd13-4eaa-af99-44bbdd3a2f4f,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,50.266305,"50,266305",-108.485104,"-108,485104",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,162719.617,383915.152,0,51.44427607,5.49823889,,,,
37,04698fb4-ce7d-4cf3-9d13-4531765b16a0,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,50.839195,"50,839195",2.198751,"2,198751",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,162154.495,383925.603,0,51.44437748,5.49011036,,,,
38,7020f882-eb4a-4598-8595-4cd5464d518f,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,50.738739,"50,738739",14.075209,"14,075209",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,162249.669,383958.997,0,51.44467643,5.49148003,,,,
39,7af13019-25fe-4e51-9a7d-0aa9c97bffdb,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,50.598296,"50,598296",15.673025,"15,673025",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,162385.4,383989.382,0,51.44494779,5.49343305,,,,
40,f59ce2ac-aa75-4415-bd7e-8e54f3789d37,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,50.471456,"50,471456",2.322804,"2,322804",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,162512.18,384000.864,0,51.44504931,5.49525693,,,,
41,b2faacd0-bc3c-4e93-9f3c-c91c8b770949,,60,Bestaand,,Fotogrammetrie,,2020/11/04 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,31.351424,"31,351424",-0.465947,"-0,465947",ProRail,Randstad Zuid,RZ,BASIS,Dordrecht,140,Dordrecht,5,ASSET Rail,103692.094,425356.535,0,51.81446878,4.64312623,,,,
42,3a483335-d7e1-4eb3-87f1-e32c4e08f984,,60,Bestaand,,Fotogrammetrie,,2020/12/22 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,31.491728,"31,491728",-0.508683,"-0,508683",ProRail,Randstad Zuid,RZ,BASIS,Dordrecht,140,Dordrecht,5,ASSET Rail,103575.399,425436.857,0,51.81517994,4.6414221,,,,
43,0d18b8bd-e3a9-4843-aaa8-dff0917c30c1,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Ut-Btl,Utrecht Centraal - Boxtel ,513,a,513,513_a,Geldermalsen,25.72641,"25,726410",27.236725,"27,236725",ProRail,Zuid,Z,BASIS,Betuwe,320,Geldermalsen,22,Strukton Rail,146987.233,432736.911,0,51.88310664,5.27082366,,,,
44,7a0e5c3f-833a-49aa-99b4-ac4f296238ab,,60,Bestaand,,Fotogrammetrie,,2022/02/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Ut-Btl,Utrecht Centraal - Boxtel ,513,a,513,513_a,Geldermalsen,25.803704,"25,803704",27.836274,"27,836274",ProRail,Zuid,Z,BASIS,Betuwe,320,Geldermalsen,22,Strukton Rail,147006.274,432662.51,0,51.88243818,5.27110194,,,,
45,e8a9aad9-26ea-49c4-a932-8392078fd204,,60,Bestaand,,Fotogrammetrie,,2021/04/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,46.549301,"46,549301",3.779177,"3,779177",ProRail,Randstad Noord,RN,BASIS,Amstelsepoort,230,Weesp,11,Strukton Rail,163795.155,506761.658,0,52.54841362,5.5168695,,,,
46,c06ddab6-56f9-400c-bf07-82807bf36b3f,,60,Bestaand,,Fotogrammetrie,,2021/04/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,45.363879,"45,363879",-3.35395,"-3,353950",ProRail,Randstad Noord,RN,BASIS,Amstelsepoort,230,Weesp,11,Strukton Rail,162615.199,506864.258,0,52.54935341,5.49947615,,,,
47,e1ef76d7-2fb9-4ff9-88f9-4aaed1cc2bed,,60,Bestaand,,Fotogrammetrie,,2021/04/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,45.486274,"45,486274",16.839589,"16,839589",ProRail,Randstad Noord,RN,BASIS,Amstelsepoort,230,Weesp,11,Strukton Rail,162737.498,506847.824,0,52.549204,5.50127882,,,,
48,88b7212e-a37c-4113-98e2-ae4c8036816c,,60,Bestaand,,Fotogrammetrie,,2021/04/23 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,46.086486,"46,086486",-0.985,"-0,985000",ProRail,Randstad Noord,RN,BASIS,Amstelsepoort,230,Weesp,11,Strukton Rail,163336.944,506823.449,0,52.54897612,5.5101158,,,,
49,2ec33290-216f-457e-af8e-de40facc0d18,,60,Bestaand,,Fotogrammetrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asd-Zp,Amsterdam Centraal - Zutphen ,506,b,506,506_b,Amersfoort,43.993078,"43,993078",-118.410162,"-118,410162",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,153471.531,462927.996,0,52.15452364,5.36486905,,,,
50,0c56245b-5551-4438-8db3-2818755670e0,,60,Bestaand,,Fotogrammetrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,940,,940,940__,Amersfoort Bokkeduinen,42.941255,"42,941255",-6.602072,"-6,602072",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,152529.034,463363.715,0,52.15843647,5.35109377,,,,
51,871ec054-d1c7-4504-9d66-fb18465325fa,,60,Bestaand,,Fotogrammetrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asd-Zp,Amsterdam Centraal - Zutphen ,506,b,506,506_b,Amersfoort,43.76614,"43,766140",-100.668658,"-100,668658",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,153195.223,462939.717,0,52.15462816,5.36083147,,,,
52,a24f7ae2-9964-4bab-adbe-231c9490df98,,60,Bestaand,,Fotogrammetrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,940,,940,940__,Amersfoort Bokkeduinen,43.046094,"43,046094",23.738319,"23,738319",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,152570.951,463263.96,0,52.15754007,5.35170704,,,,
53,656a6ad2-6aa5-4f09-9822-77387b5c380e,,60,Bestaand,,Fotogrammetrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asd-Zp,Amsterdam Centraal - Zutphen ,506,b,506,506_b,Amersfoort,44.640383,"44,640383",-35.848004,"-35,848004",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,154112.366,462865.114,0,52.15395985,5.37423334,,,,
54,9286b9ea-78d9-4c2c-8d06-fc924d65d330,,60,Bestaand,,Fotogrammetrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,940,,940,940__,Amersfoort Bokkeduinen,43.047561,"43,047561",34.212845,"34,212845",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,152563.516,463256.438,0,52.15747243,5.35159844,,,,
55,7a6bb914-1b09-4e61-ad46-246e55453ef2,,60,Bestaand,,Fotogrammetrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,940,,940,940__,Amersfoort Bokkeduinen,42.939793,"42,939793",-25.968516,"-25,968516",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,152542.839,463377.375,0,52.15855931,5.35129542,,,,
