Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;Eindtotaal
KeurigConcepts;;1;1
Kick Smeets Fotografie;;1;1
Klasse Tekst;1;;1
Kleine Spui;;1;1
Kluwer;1;;1
Kluwer Opleidingen;6;;6
KNMP Holding B.V.;1;;1
Kno-Tech Productbeveiliging;1;;1
Knowledge Exchange B.V.;1;;1
Kon. Ned. Veren. van Informatieprofessionals;1;;1
Kon. Verenig. van Archivarissen in Nederland;1;;1
Koninklijke Nederl. Ver. voor Int. Recht;1;;1
Koninklijke van der Most B.V.;2;1;2
Koud Bloed B.V.;1;;1
Kris Kras context, content and design;1;2;2
Kris Kras Design B.V.;;2;2
Kroese Compact Discs;1;;1
KSB Repro;;1;1
Kunst- en Antiek Initiatieven B.V.;1;;1
L. C.G. Malmberg B.V.;1;;1
Laila Ontwerpt;;1;1
Lankveld Persfotografie;;1;1
LDC Business;1;;1
LeesGigant.nl;1;;1
Leeskring en Videoshop Demob B.V.;1;;1
Leesland;1;;1
Leidsch Dagblad;1;;1
Leidse Schouwburg - Stadsgehoorzaal;;2;2
Lenthe Publishers B.V.;1;;1
Ligtenberg;;1;1
Linguist Link Europe;1;;1
Lof Media B.V.;;1;1
Logeion;1;;1
LTP Advies B.V.;;1;1
Maarten Slooves Grafische Vormgeving B.V.;2;;2
Magenta Communicatieprojecten B.V.;1;;1
Mainpress B.V.;4;;4
Maklu B.V.;1;;1
Management Media B.V.;1;;1
Marco Zwinkels Fotografie en Vormgeving;1;;1
Marleens Bureau;1;1;1
Martijn Beekman Fotografie;;1;1
Martijn van Dam Fotografie;;1;1
MASconsultancy;1;;1
Maters & Hermsen Journalistiek B.V.;;2;2
Max Koot Studio;;1;1
Maximum Alliances B.V.;1;;1
MCW Studio's B.V.;;2;2
Media Business Press B.V.;1;;1
Media Groep Limburg B.V.;1;;1
Media Markt Leeuwarden B.V.;;1;1
Mediageniek;;1;1
Mediawerf;1;;1
Meer van Tekst;;1;1
Memory Online B.V.;;1;1
Merlin Security Services B.V.;;1;1
Mooijontwerp;;1;1
Multicopy Amsterdam-Noord;1;;1
Music Trends Events Holding B.V.;1;;1
Mutinct;;1;1
MVA Communicatie;;1;1
MXM Creatives;;1;1
MYbusinessmedia B.V.;1;;1
Nationale Beeldbank B.V.;;1;1
Nauta B.V.;1;;1
Nbd-biblion B.V.;1;;1
NDC mediagroep B.V.;1;1;1
NEBO Foto-Video-Digitaal;1;1;1
Ned. Ver. van HRD-Prof. in Ontw. en Opleiden;1;;1
Ned. Verenig. voor Intern. Belastingr.;1;;1
Nederlands Architectuur Forum;1;;1
Nederlands Dagblad B.V.;1;;1
Nederlands Instituut van Psychologen (N.I.P.);1;;1
Nederlandsche Uitgeversmaatschappij B.V.;1;;1
Nederlandse Vereniging Bedrijfshulpverlening;1;;1
Nederlandse Vereniging voor Burgerzaken;1;;1
Nederlandstalige Moodle Vereniging;1;;1
Nedo B.V.;1;;1
NEVI-Purspective B.V.;1;;1
NHG Uitgeverij B.V.;1;;1
NIBHV B.V.;1;;1
Nijgh Periodieken B.V.;1;;1
Nitro Publishing;1;;1
NLUUG;1;;1
NOA B.V.;1;;1
Novagraaf Nederland B.V.;;1;1
NRC Handelsblad Weekeditie voor buitenland;2;;2
