STRAATNAAM;BUURT;WIJK;STADSDEEL;FOTO;ID;COUNTER
De Voswater;Waterbuurt;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\DeVoswater.jpg;1198126;139
Mieogvaart;Waterbuurt;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Mieogvaart.jpg;1198127;140
Wijkpark Bokkefort;Houtwijk;Loosduinen;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\WijkparkBokkefort2.jpg;1198128;141
Slobeendpad;De Vissen;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Slobeendpad.jpg;1198129;142
Bieremalaan-recreatieveld;Singels;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Bieremalaan1.jpg;1198130;143
Zilverreigerstraat;De Vissen;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Zilverreigerstraat.jpg;1198131;144
Helsinkihof;Lage Veld;Wateringse Veld;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Helsinkihof.jpg;1198132;145
Goudkarpersingel;De Vissen;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Goudkarpersingel.jpg;1198133;146
Rubensstraat;Schildersbuurt-noord;Schildersbuurt;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Rubenstraat.jpg;1198134;147
Jan Hanlostraat;Erasmus Veld;Wateringse Veld;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\JanHanlostraat.jpg;1198135;148
Drebbelstraat;Noordpolderbuurt;Laakkwartier en Spoorwijk;Laak;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Drebbelstraat2.jpg;1198153;166
Bosrank;Bosweide;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Bosrank.jpg;1198154;167
Lisdoddeveld;De Velden;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\LisdoddeveldTennisbaan204294.jpg;1198155;168
Strausslaan;Nieuw Waldeck;Waldeck;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Strausslaan.jpg;1198156;169
Laan van der Kroft;Houtwijk;Loosduinen;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\LaanvanderKroft.jpg;1198157;170
Buurtpark t Kleine Hout;Houtwijk;Loosduinen;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Buurtparktkleinehout.jpg;1198158;171
Schoolzijde;Zijden, Steden en Zichten;Bouwlust;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\schoolzijde2.jpg;1198159;172
Pachtersdreef;Dreven en Gaarden;Bouwlust;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Pachtersdreef.jpg;1198160;173
Eekhoornrade;Venen, Oorden en Raden;Bouwlust;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Eekhoornrade.jpg;1198161;174
Zuiderpark;Zuiderpark;Zuiderpark;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Zuiderparkenkelklimtoestel.jpg;1198162;175
Volendamlaan;Leyenburg;Leyenburg;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Volendamlaan.jpg;1198163;176
Vlierboomplein;Heesterbuurt;Valkenboskwartier;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Vlierboomplein.jpg;1198113;177
Westduinweg;Vissershaven;Scheveningen;Scheveningen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Menninckstraat.jpg;1198114;178
Bunschotensestraat;Rustenburg;Rustenburg en Oostbroek;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Bunschotensestraat.jpg;1198136;149
Stiemensvaart;Waterbuurt;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Stiemensvaart.jpg;1198137;150
Houtzagerssingel;Schildersbuurt-noord;Schildersbuurt;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Houtzagerssingel.jpg;1198138;151
Jan Bootlaan;De Lanen;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\JanBootlaan.jpg;1198139;152
Zandberglaan;De Lanen;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Zandbergenstraat.jpg;1198140;153
Pluimzegge;De Bras;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Pluimzegge.jpg;1198141;154
Goudvisplein;De Vissen;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Goudvisplein.jpg;1198142;155
Jonkheer van Riemsdijklaan;Singels;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\JonkheervanRiemsdijklaan.jpg;1198143;156
Kerkuillaan;Morgenweide;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Kerkuillaan.jpg;1198144;157
Koekoekhof;Morgenweide;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Koekoekhof.jpg;1198145;158
Lisdoddeveld;De Velden;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Lisdoddeveld1.jpg;1198146;159
Pijlkruidveld;De Velden;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Pijlkruidveld.jpg;1198147;160
Serpentine;Bosweide;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Serpetine.jpg;1198148;161
Wethouder Fischerplantsoen;Singels;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\WethouderFischerplantsoen.jpg;1198149;162
Wethouder Verheulplantsoen;Singels;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\WethouderVerheulplantsoen.jpg;1198150;163
Zaagbekstraat;De Vissen;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Zaagbekstraat1.jpg;1198151;164
Laakweg;Laakhaven-oost;Laakkwartier en Spoorwijk;Laak;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Laakweg.jpg;1198152;165
Katerstraat;Zuidwal;Centrum;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Katerstraat.JPG;1198079;65
De Heemstraat;Schildersbuurt-west;Transvaalkwartier;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\DeHeemstraat.jpg;1198080;66
Madestein west;Kraayenstein;Kraayenstein en Vroondaal;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Madesteinnoordwest2.jpg;1198081;67
Schelpenhof;De Vissen;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Schelpenhof.jpg;1198083;68
Blaricumseplein;Rustenburg;Rustenburg en Oostbroek;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Blaricumseplein.jpg;1198084;69
Voorthuizenstraat;Oostbroek-noord;Rustenburg en Oostbroek;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Voorthuizenstraat2.jpg;1198085;70
Hengelolaan;Venen, Oorden en Raden;Bouwlust;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Hengelolaan1.jpg;1198086;71
De Bruijnvaart;Waterbuurt;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\DeBruijnvaart.jpg;1198087;72
Van Pomerenvaart;Waterbuurt;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\VanPomerenvaart.jpg;1198088;73
Van der Voortvaart;Waterbuurt;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\VanderVoortvaart.jpg;1198089;74
Henri Duparcplantsoen;Nieuw Waldeck;Waldeck;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\HenriDuparcplantsoen.jpg;1198090;75
Morelstraat;Vruchtenbuurt;Vruchtenbuurt;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Morelstraat(2).jpg;1198016;76
Newtonplein;Valkenboskwartier;Valkenboskwartier;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Newtonplein.jpg;1198017;77
Rode Kruisplantsoen;Bomenbuurt;Bomen- en Bloemenbuurt;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Rodekruisplantsoen.jpg;1198018;78
Vlielandsestraat;Duindorp;Duindorp;Scheveningen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Vlielandsestraat.jpg;1198019;79
Westbroekpark Speelweiden;Westbroekpark;Westbroekpark en Duttendel;Scheveningen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Westbroekpark.jpg;1198020;80
Dr. de Visserplein;Oud Scheveningen;Scheveningen;Scheveningen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\DrdeVisserplein.jpg;1198021;81
Frankenstraat;Statenkwartier;Geuzen- en Statenkwartier;Scheveningen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Frankenstraat.jpg;1198022;82
Frederik Hendrikplein;Statenkwartier;Geuzen- en Statenkwartier;Scheveningen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\FrederikHendriklaan.jpg;1198023;83
Visdiefjestraat;De Vissen;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Visdiefjesstraat2.jpg;1198024;84
Visdiefjestraat;De Vissen;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Visdiefjesstraat1.jpg;1198025;85
Visdiefjestraat;De Vissen;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Visdiefjesstraat3.jpg;1198026;86
Eendenplein;De Vissen;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Eendenplein.jpg;1198027;87
Faberlaan;Singels;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Faberlaan.jpg;1198028;88
Ganzenplantsoen;Morgenweide;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Ganzenplantsoen.jpg;1198029;89
Van Diesenstraat;Laakhaven-west;Laakkwartier en Spoorwijk;Laak;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\VanDiessenstraat.jpg;1198030;90
Laakweg;Laakhaven-oost;Laakkwartier en Spoorwijk;Laak;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Laakweg5.jpg;1198031;91
Boerhaavestraat;Laakhaven-oost;Laakkwartier en Spoorwijk;Laak;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\VanLeeuwenhoekstraat.jpg;1198032;92
Schimmelweg;Spoorwijk;Laakkwartier en Spoorwijk;Laak;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Schimmelweg.jpg;1198033;93
Schoeplaan;Noordpolderbuurt;Laakkwartier en Spoorwijk;Laak;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Schoeplaan.jpg;1198034;94
Stuwstraat;Noordpolderbuurt;Laakkwartier en Spoorwijk;Laak;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Stuwstraat.jpg;1198035;95
Havenkade;Scheveningen Badplaats;Scheveningen;Scheveningen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Havenkade.jpg;1198036;96
Laakkade;Laakkwartier-oost;Laakkwartier en Spoorwijk;Laak;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\LaakkadeVoetbalkooi-205649.JPG;1198037;97
Laakweg;Laakhaven-oost;Laakkwartier en Spoorwijk;Laak;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Laakweg4.jpg;1198038;98
Van der Wyckstraat;Bezuidenhout-oost;Bezuidenhout;Haagse Hout;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\VanderWyckstraat.jpg;1198039;99
's-Gravenzandelaan;Schildersbuurt-west;Schildersbuurt;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\sGravenzandelaan.jpg;1198040;100
Hannemanplantsoen;Schildersbuurt-noord;Schildersbuurt;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Hannemanplantsoen.jpg;1198041;101
Hekkelaan;Uilebomen;Centrum;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Hekkelaan.jpg;1198042;102
Huijgenspark;Huygenspark;Stationsbuurt;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Huygenspark.jpg;1198043;103
