OBJECTID,FYSIEK_VOORKOMEN,OP_TALUD,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,SUBTYPE,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,TIJDSTIP_REGISTRATIE,Shape__Area,Shape__Length
118,open verharding,Nee,G0153,Enschede,bestaand,0,verkeerseiland,11.137,283,,2022/11/03 06:44:29+00,11.1373985,22.1943856967696
119,open verharding,Nee,G0153,Enschede,bestaand,0,verkeerseiland,22.48,283,,2022/11/03 06:44:29+00,22.4803805,30.1372972590336
120,gesloten verharding: asfalt,Nee,P0020,Groningen,bestaand,0,verkeerseiland,13.912,283,,2016/02/03 12:49:12+00,13.91123626,15.6654890755104
121,groenvoorziening: gras- en kruidachtigen,Nee,P0020,Groningen,bestaand,0,verkeerseiland,71.271,283,,2016/02/03 12:49:12+00,71.2707055,29.94952571049
122,open verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,17.538,283,,2023/01/05 16:15:57+00,17.5378065,24.1669785551843
123,open verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,1.957,283,,2015/11/20 08:00:17+00,1.956485545,6.51608174003441
124,gesloten verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,2.42,283,,2015/11/20 08:00:17+00,2.41937517,6.3506798077253
125,gesloten verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,2.214,283,,2018/11/14 09:18:01+00,2.212750685,6.03926456316783
126,open verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,2.405,283,,2023/01/05 16:15:57+00,2.40547,6.813290665381
127,open verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,41.447,283,,2018/11/14 09:18:01+00,41.42608277,39.5054204868336
128,gesloten verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,11.879,283,,2018/11/14 09:18:01+00,11.877398235,13.1251410732628
129,open verharding,Nee,L0004,Prorail,bestaand,0,verkeerseiland,3.688,283,,2022/08/17 10:09:51+00,3.687525,16.7691587930344
130,open verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,3.853,283,,2022/12/29 12:01:19+00,3.852951,7.28537252471538
131,gesloten verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,8.064,283,,2022/12/29 12:01:19+00,8.0635775,12.3996203370937
132,open verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,19.357,283,,2015/11/20 08:41:24+00,19.33273815,15.591557971468
133,open verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,48.856,283,,2015/11/20 08:41:24+00,48.75148901,28.4885714985177
134,open verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,18.604,283,,2015/11/20 08:41:24+00,18.58026657,15.2852745019174
135,gesloten verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,13.203,283,,2022/12/29 12:01:19+00,13.202668,18.8931589334481
136,open verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,18.614,283,,2015/11/20 08:00:17+00,18.594177335,25.6583243172115
137,open verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,7.632,283,,2023/01/05 16:15:57+00,7.6315735,10.7701029763269
138,open verharding: betonstraatstenen,Nee,G1507,Horst aan de Maas,bestaand,0,verkeerseiland,3.752,283,,2019/02/06 11:29:09+00,3.75192732,8.83160285650979
139,open verharding: betonstraatstenen,Nee,G1507,Horst aan de Maas,bestaand,0,verkeerseiland,5.256,283,,2019/02/06 11:29:09+00,5.25592401,10.4952913011696
140,gesloten verharding: cementbeton,Nee,G1904,Stichtse Vecht,bestaand,0,verkeerseiland,4.116,283,,2022/11/11 08:33:59+00,4.115538,20.9613162880814
141,gesloten verharding: cementbeton,Nee,G1904,Stichtse Vecht,bestaand,0,verkeerseiland,3.334,283,,2022/11/11 08:33:59+00,3.3341925,17.9238170554354
142,gesloten verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,19.981,283,,2019/06/25 07:06:14+00,19.981378,24.0076230027304
143,gesloten verharding: cementbeton,Nee,G1904,Stichtse Vecht,bestaand,0,verkeerseiland,8.752,283,,2022/11/11 08:33:59+00,8.751561,44.688498919242
144,gesloten verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,24.722,283,,2019/06/25 07:06:14+00,24.722442,24.8796032926605
145,gesloten verharding: cementbeton,Nee,G1904,Stichtse Vecht,bestaand,0,verkeerseiland,2.631,283,,2022/11/11 08:33:59+00,2.6309955,13.6198305039379
146,open verharding,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,8.829,283,,2015/11/06 09:11:47+00,8.82906889,12.8056085756842
147,open verharding,Nee,G1742,Rijssen-Holten,bestaand,0,verkeerseiland,10.345,283,,2015/11/20 09:58:50+00,10.349468855,15.8801194172992
148,open verharding,Nee,G1742,Rijssen-Holten,bestaand,0,verkeerseiland,162.685,283,,2022/04/22 10:02:14+00,162.649841905,65.4283556329919
149,open verharding,Nee,G1742,Rijssen-Holten,bestaand,0,verkeerseiland,5.691,283,,2015/11/20 09:58:50+00,5.68387527,51.7742454272333
150,open verharding,Nee,G1742,Rijssen-Holten,bestaand,0,verkeerseiland,5.381,283,,2015/11/20 09:58:50+00,5.377237175,8.27719922431035
151,open verharding,Nee,G1742,Rijssen-Holten,bestaand,0,verkeerseiland,2.93,283,,2015/11/20 09:58:50+00,2.929125195,7.3719469549081
152,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,88.901,283,,2015/10/20 09:02:30+00,88.900564,83.3317664620157
153,open verharding,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,11.333,283,,2015/10/20 09:02:30+00,11.33286,15.0075695549996
154,open verharding,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,85.733,283,,2015/10/20 09:02:30+00,85.732801,40.6884816503175
155,open verharding,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,3.21,283,,2015/10/20 09:02:30+00,3.2104515,7.02799403202589
156,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,2.766,283,,2015/11/05 15:25:17+00,2.766069,7.18108985137469
157,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,2.599,283,,2015/11/05 15:25:17+00,2.5990785,7.0574578285365
158,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,41.427,283,,2015/11/05 15:25:17+00,41.42662675,54.7506139314424
159,open verharding,Nee,G1742,Rijssen-Holten,bestaand,0,verkeerseiland,3.546,283,,2020/11/16 10:14:40+00,3.5458305,7.7813690198643
160,open verharding,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,61.398,283,,2015/11/05 14:50:46+00,61.397837,84.7563802759307
161,open verharding,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,10.79,283,,2015/11/05 14:50:46+00,10.789855,13.3253197645865
162,open verharding,Nee,G0518,'s-Gravenhage,bestaand,0,verkeerseiland,1.3,283,,2018/04/06 20:16:20+00,1.3002285,5.62136759673495
163,open verharding: betonstraatstenen,Nee,P0027,Noord-Holland,bestaand,0,verkeerseiland,33.47,283,,2022/11/17 15:51:35+00,33.470256,23.2589857656625
164,open verharding,Nee,G1916,Leidschendam-Voorburg,bestaand,0,verkeerseiland,13.877,283,,2021/12/16 16:06:33+00,13.87713,16.0723703764474
165,open verharding,Nee,G1916,Leidschendam-Voorburg,bestaand,0,verkeerseiland,15.709,283,,2021/12/16 16:06:33+00,15.695615935,27.0771869130881
166,open verharding,Nee,G1916,Leidschendam-Voorburg,bestaand,0,verkeerseiland,2.802,283,,2022/05/26 13:04:24+00,2.801712,8.08352689798105
167,open verharding,Nee,G1916,Leidschendam-Voorburg,bestaand,0,verkeerseiland,2.538,283,,2017/08/30 13:28:30+00,2.538374,6.60831830114055
