BAG-nr openbare ruimte,Straatcode,Openbare ruimtenaam BAG,Woonplaats,Type
0344300000002373,18742,Achtkantenmolenvliet,De Meern,Water
0344300000001436,220,Achttienhovensedijk,Utrecht,Weg
0344300000000305,5478,Adam van Harenhof,Utrecht,Weg
0344300000001687,5480,Adam van Harenstraat,Utrecht,Weg
0344300000002178,245,Adama van Scheltemabaan,Utrecht,Weg
0344300000002278,17036,Adderwortel,De Meern,Weg
0344300000002411,225,Adelaarhof,Utrecht,Weg
0344300000001287,230,Adelaarstraat,Utrecht,Weg
0344300000001437,240,Adelboldstraat,Utrecht,Weg
0344300000000306,250,Adenauerlaan,Utrecht,Weg
0344300000003488,255,Adikade,Utrecht,Weg
0344300000000307,260,Admiraal Helfrichlaan,Utrecht,Weg
0344300000002089,17682,Admiraal Helfrichstraat,De Meern,Weg
0344300000001438,4910,Admiraal van Gentstraat,Utrecht,Weg
0344300000002412,270,Adonisdreef,Utrecht,Weg
0344300000002156,9973,Adriaan Menninckkwartier,Utrecht,Weg
0344300000003501,10374,Adriaan Morriënlaan,De Meern,Weg
0344300000003648,10470,Adriaan Mulderstraat,Utrecht,Weg
0344300000000308,1418,Adriaan van Bergenplein,Utrecht,Weg
0344300000003352,1420,Adriaan van Bergenstraat,Utrecht,Weg
0344300000000309,17610,Adriaan van Zwietenstraat,Utrecht,Weg
0344300000002413,280,Adriaanstraat,Utrecht,Weg
0344300000001657,1580,Adriaen Beyerkade,Utrecht,Weg
0344300000000310,11530,Adriaen van Ostadelaan,Utrecht,Weg
0344300000000311,290,Afrikalaan,Utrecht,Weg
0344300000000312,300,Agaatlaan,Utrecht,Weg
0344300000002617,302,Agaatvlindersingel,Utrecht,Weg
0344300000002414,310,Agamemnondreef,Utrecht,Weg
0344300000000313,314,Agavedreef,Utrecht,Weg
0344300000002081,315,Agilioweg,De Meern,Weg
0344300000001703,8730,Agnes van Leeuwenberchstraat,Utrecht,Weg
0344300000000314,320,Agnietenstraat,Utrecht,Weg
0344300000001637,10715,Agostinho Netostraat,Utrecht,Weg
0344300000002405,4530,A.H.G. Fokkerstraat,Utrecht,Weg
0344300000002415,330,Ahornstraat,Utrecht,Weg
0344300000003356,340,Aidadreef,Utrecht,Weg
0344300000000315,350,Ajaxdreef,Utrecht,Weg
0344300000003103,17037,Akkerdistel,De Meern,Weg
0344300000002188,355,Akkrumerraklaan,Utrecht,Weg
0344300000003494,356,Albanusweg,De Meern,Weg
0344300000001719,18505,Albatrosbrug,Utrecht,Kunstwerk
0344300000000316,360,Albatrosstraat,Utrecht,Weg
0344300000001270,15220,Alberdingk Thijmstraat,Utrecht,Weg
0344300000002416,10730,Albert Neuhuysstraat,Utrecht,Weg
0344300000001439,13930,Albert Schweitzerdreef,Utrecht,Weg
0344300000003755,17999,Albert Schweitzerhof,Vleuten,Weg
0344300000002101,17878,Albert Schweitzerlaan,Vleuten,Weg
0344300000000317,3253,Albert van Dalsumlaan,Utrecht,Weg
0344300000002149,16008,Albert Verweystraat,Utrecht,Weg
0344300000000318,370,Alblasstraat,Utrecht,Weg
0344300000002417,375,Albrachthof,Utrecht,Weg
0344300000003578,15130,Albrecht Thaerlaan,Utrecht,Weg
0344300000002687,19519,Aldo van Eyckplantsoen,Utrecht,Weg
0344300000003414,18763,Alendorper Wetering,De Meern,Water
0344300000003395,18762,Alendorper Wetering,Utrecht,Water
0344300000002374,18743,Alendorper wetering,Vleuten,Water
0344300000003405,384,Alendorperplaats,De Meern,Weg
0344300000002604,383,Alendorperplaats,Vleuten,Weg
0344300000003060,378,Alendorperweg,Vleuten,Weg
0344300000003693,379,Alendorperweg,Utrecht,Weg
0344300000001440,380,Alendorpstraat,Utrecht,Weg
0344300000002232,17879,Alenveltpark,Vleuten,Weg
0344300000000319,382,Aleppodreef,Utrecht,Weg
0344300000003789,6716,Aletta Jacobshaghe,Utrecht,Weg
0344300000003788,6741,Aletta Jacobspad,Utrecht,Weg
0344300000001441,5310,Alexander de Grotelaan,Utrecht,Weg
0344300000002418,11080,Alexander Numankade,Utrecht,Weg
0344300000003178,17009,Alexandralaan,Haarzuilens,Weg
0344300000001736,8686,Alexandre Lecocqsingel,Utrecht,Weg
0344300000003795,2436,Alida Buitendijkhaghe,Utrecht,Weg
0344300000002233,17880,Alidahoeve,Vleuten,Weg
0344300000000133,386,Alkhof,Utrecht,Weg
0344300000001924,387,Al-Masoedilaan,Utrecht,Weg
0344300000003296,388,Alpenpad,Utrecht,Weg
0344300000000320,3470,Alphons Diepenbrockplein,Utrecht,Weg
0344300000002083,405,Amabilispad,De Meern,Weg
0344300000000321,410,Amaliadwarsstraat,Utrecht,Weg
0344300000002419,420,Amaliastraat,Utrecht,Weg
0344300000000322,430,Amandelstraat,Utrecht,Weg
0344300000003353,440,Amazonedreef,Utrecht,Weg
0344300000000323,450,Ambachtstraat,Utrecht,Weg
0344300000003108,17101,Ambachtsweg,Utrecht,Weg
0344300000001336,460,Ambonstraat,Utrecht,Weg
0344300000002420,463,Ameland,Utrecht,Weg
0344300000000324,465,Amerhof,Utrecht,Weg
0344300000000325,470,Amerikalaan,Utrecht,Weg
0344300000000773,11,Amerongseberg,Utrecht,Weg
0344300000000765,471,Amethistweg,Utrecht,Weg
0344300000002421,473,Amiranten,Utrecht,Weg
0344300000000326,483,Ammandreef,Utrecht,Weg
0344300000002422,490,Ampèrestraat,Utrecht,Weg
0344300000000327,500,Amstelstraat,Utrecht,Weg
0344300000003292,18701,Amsterdam-Rijnkanaal,Utrecht,Water
0344300000000328,510,Amsterdamsestraatweg,Utrecht,Weg
0344300000002423,520,Ananasstraat,Utrecht,Weg
0344300000002650,531,Anderstein,Vleuten,Weg
0344300000001288,533,Andesdreef,Utrecht,Weg
0344300000002785,16243,André Voltenlaan,Utrecht,Weg
0344300000000329,537,Andreashof,Utrecht,Weg
0344300000000330,540,Andreasstraat,Utrecht,Weg
0344300000003344,13534,Andrej Sacharowplein,Utrecht,Weg
0344300000001310,13535,Andrej Sacharowstraat,Utrecht,Weg
0344300000002424,550,Androsdreef,Utrecht,Weg
0344300000000331,560,Anemoonstraat,Utrecht,Weg
0344300000003183,17683,Angstel,De Meern,Weg
0344300000002351,565,Anijsstraat,Utrecht,Weg
0344300000000332,570,Anjelierstraat,Utrecht,Weg
0344300000002425,573,Ankaradreef,Utrecht,Weg
0344300000002606,1671,Anna Blamanstraat,Utrecht,Weg
0344300000000333,1880,Anna Boleyndreef,Utrecht,Weg
0344300000001855,17684,Anna Jacominaplaat,De Meern,Weg
0344300000001442,13900,Anna Maria van Schurmanstraat,Utrecht,Weg
0344300000003779,13586,Anna Swellengrebelhaghe,Utrecht,Weg
0344300000003792,2086,Anna van Bossehaghe,Utrecht,Weg
0344300000001668,2450,Anna van Burendreef,Utrecht,Weg
0344300000000334,13580,Anna van Saksendreef,Utrecht,Weg
0344300000002426,580,Annastraat,Utrecht,Weg
0344300000000766,590,Anne Frankplein,Utrecht,Weg
0344300000003023,13787,Annie M.G. Schmidtstraat,Utrecht,Weg
0344300000003809,13314,Annie Romeinhaghe,Utrecht,Weg
0344300000002047,13317,Annie Salomonsstraat,Utrecht,Weg
0344300000003790,5554,Annie van Hattumhaghe,Utrecht,Weg
0344300000003791,5556,Annie van Hattumkade,Utrecht,Weg
0344300000000335,600,Anthoniedijk,Utrecht,Weg
0344300000000336,635,Antillen,Utrecht,Weg
0344300000001443,640,Antilopedreef,Utrecht,Weg
0344300000002427,4880,Anton Geesinkstraat,Utrecht,Weg
0344300000003021,4882,Anton Koolhaasstraat,Utrecht,Weg
0344300000002124,12216,Anton Pieckhof,Utrecht,Weg
0344300000002614,13310,Anton Rooskenshof,Utrecht,Weg
0344300000003498,3993,Anton van Duinkerkenlaan,De Meern,Weg
0344300000003162,12286,Antoninus Pius,De Meern,Weg
0344300000001746,10415,Antonio Morohof,Vleuten,Weg
0344300000000337,9820,Antonius Matthaeuslaan,Utrecht,Weg
0344300000003354,643,Antoniushof,Utrecht,Weg
0344300000000338,645,Apennijnen,Utrecht,Weg
0344300000001337,650,Aphroditedreef,Utrecht,Weg
0344300000002428,660,Apollodreef,Utrecht,Weg
0344300000003824,669,Appaloosastraat,Utrecht,Weg
0344300000001444,670,Appelstraat,Utrecht,Weg
0344300000000339,680,Aquamarijnlaan,Utrecht,Weg
0344300000000292,4380,A.R. Falckstraat,Utrecht,Weg
0344300000001289,685,Arabelladreef,Utrecht,Weg
0344300000003184,17685,Archemerberg,De Meern,Weg
0344300000003166,19518,Archeologiepark,Utrecht,Landschappelijk gebied
0344300000001445,695,Archimedeslaan,Utrecht,Weg
0344300000001766,19069,Archimedesviaduct,Utrecht,Kunstwerk
0344300000000340,697,Ardennen,Utrecht,Weg
0344300000001649,707,Argentiniëdreef,Utrecht,Weg
0344300000002429,710,Argonautendreef,Utrecht,Weg
0344300000001840,715,Argusvlinder,Utrecht,Weg
0344300000000341,720,Ariadnedreef,Utrecht,Weg
0344300000002430,730,Ariënslaan,Utrecht,Weg
0344300000000342,740,Arizonadreef,Utrecht,Weg
0344300000000343,750,Arkansasdreef,Utrecht,Weg
0344300000001415,765,Arkenspoort,Utrecht,Weg
0344300000001856,17686,Arne,De Meern,Weg
0344300000000344,770,Arnodreef,Utrecht,Weg
0344300000001258,13330,Arnoldus Rotterdamstraat,Utrecht,Weg
0344300000003482,14885,Arthur Sullivanhof,Utrecht,Weg
0344300000001261,13705,Arthur van Schendelstraat,Utrecht,Weg
0344300000002431,797,Arubadreef,Utrecht,Weg
0344300000003579,820,Asselijnstraat,Utrecht,Weg
0344300000000345,830,Asserlaan,Utrecht,Weg
0344300000002432,840,Asterstraat,Utrecht,Weg
0344300000002304,842,Atalantahof,Utrecht,Weg
0344300000003880,25042,Athenestraat,Utrecht,Weg
0344300000001338,870,Atlasdreef,Utrecht,Weg
0344300000000346,880,Atoomweg,Utrecht,Weg
0344300000000347,890,Attleeplantsoen,Utrecht,Weg
0344300000002433,897,Aucklands,Utrecht,Weg
0344300000001397,13601,Augusto Sandinostraat,Utrecht,Weg
0344300000001797,905,Augustusweg,De Meern,Weg
0344300000003170,898,Aureliahof,Utrecht,Weg
0344300000003355,900,Auriollaan,Utrecht,Weg
0344300000000348,910,Aurorastraat,Utrecht,Weg
0344300000003504,911,Austerlitz,Vleuten,Weg
0344300000002644,912,Austerlitzplaats,Vleuten,Weg
0344300000002434,920,Australiëlaan,Utrecht,Weg
0344300000003637,930,Averkamplaan,Utrecht,Weg
0344300000003028,935,Avitusweg,De Meern,Weg
0344300000001857,17687,Avondrood,De Meern,Weg
0344300000000349,938,Aymaradreef,Utrecht,Weg
0344300000000350,940,Azaleastraat,Utrecht,Weg
0344300000001339,950,Aziëlaan,Utrecht,Weg
0344300000002435,955,Azoren,Utrecht,Weg
0344300000002436,960,Baanstraat,Utrecht,Weg
0344300000001446,964,Baarsstraat,Utrecht,Weg
0344300000000352,980,Baden-Powellweg,Utrecht,Weg
0344300000000353,990,Badstraat,Utrecht,Weg
0344300000002437,1004,Bagdaddreef,Utrecht,Weg
0344300000001447,1007,Bahamadreef,Utrecht,Weg
0344300000002683,1008,Bakemastraat,Utrecht,Weg
0344300000003185,17688,Bakerlaan,De Meern,Weg
0344300000000354,1010,Bakhuizen van den Brinkstraat,Utrecht,Weg
0344300000001721,18507,Bakkerbrug,Utrecht,Kunstwerk
0344300000000355,1020,Bakkerstraat,Utrecht,Weg
0344300000000356,1030,Balderikstraat,Utrecht,Weg
0344300000000357,1035,Balearen,Utrecht,Weg
0344300000002950,18508,Balijebrug,Utrecht,Kunstwerk
0344300000000358,1060,Balijelaan,Utrecht,Weg
0344300000000359,1040,Balistraat,Utrecht,Weg
0344300000000360,1045,Balkan,Utrecht,Weg
0344300000000361,1050,Balkstraat,Utrecht,Weg
0344300000000362,1055,Baltimoredreef,Utrecht,Weg
0344300000000363,1070,Bandoengstraat,Utrecht,Weg
0344300000000364,1075,Bangkokdreef,Utrecht,Weg
0344300000000365,1080,Bankaplein,Utrecht,Weg
0344300000000366,1090,Bankastraat,Utrecht,Weg
0344300000000367,1100,Bankstraat,Utrecht,Weg
0344300000000368,1110,Bantamstraat,Utrecht,Weg
0344300000001340,1120,Bantoedreef,Utrecht,Weg
0344300000000369,1140,Barkasstraat,Utrecht,Weg
0344300000000370,1150,Barnsteenlaan,Utrecht,Weg
0344300000001448,5650,Baron van Heemstrastraat,Utrecht,Weg
0344300000000371,1153,Baronie,Utrecht,Weg
0344300000003140,1155,Baronpeerlaan,Vleuten,Weg
0344300000001685,4200,Barthold Entesstraat,Utrecht,Weg
0344300000003444,18509,Bartholomeïbrug,Utrecht,Kunstwerk
0344300000001651,1170,Bartóklaan,Utrecht,Weg
0344300000003580,1160,Bartolomeo Diazlaan,Utrecht,Weg
0344300000001747,1172,Basilicumstraat,Utrecht,Weg
0344300000000372,1175,Bastionweg,Utrecht,Weg
0344300000003357,1180,Bataviastraat,Utrecht,Weg
0344300000003115,1185,Batjanhof,Utrecht,Weg
0344300000001923,1189,Battutalaan,Utrecht,Weg
0344300000000373,1210,Bazuinhof,Utrecht,Weg
0344300000001399,18201,Beatrixpark,Utrecht,Landschappelijk gebied
0344300000002307,17689,Beaufort,De Meern,Weg
0344300000001959,1215,Beefland,De Meern,Weg
0344300000000374,1220,Beekstraat,Utrecht,Weg
0344300000001965,1221,Beeldentuinlaan,Vleuten,Weg
0344300000003555,1223,Beeldhouwersdijk,Utrecht,Weg
0344300000002075,1225,Beemdgrassingel,Vleuten,Weg
0344300000002642,1242,Beerschoten,Vleuten,Weg
0344300000002962,1234,Beerthuizenplantsoen,Utrecht,Weg
0344300000000375,1240,Beerzestraat,Utrecht,Weg
0344300000001341,1250,Beethovenlaan,Utrecht,Weg
0344300000001449,1260,Beethovenplein,Utrecht,Weg
0344300000000376,1290,Begijnehof,Utrecht,Weg
0344300000000377,1300,Begijnekade,Utrecht,Weg
0344300000000378,1310,Begijnesteeg,Utrecht,Weg
0344300000002439,1280,Begoniastraat,Utrecht,Weg
0344300000001450,1326,Beiroetdreef,Utrecht,Weg
0344300000002977,1414,Bekerzwamsingel,Vleuten,Weg
0344300000002151,1337,Bekkeringhof,Utrecht,Weg
0344300000000379,1340,Bekkerstraat,Utrecht,Weg
0344300000002678,1356,Belcampostraat,Utrecht,Weg
0344300000003878,25040,Belgradostraat,Utrecht,Weg
0344300000000380,1350,Bellamystraat,Utrecht,Weg
0344300000001755,1355,Belleperenlaan,Vleuten,Weg
0344300000003297,6315,Belo Horizontedreef,Utrecht,Weg
0344300000002440,1370,Bemuurde Weerd O.Z.,Utrecht,Weg
0344300000000382,1380,Bemuurde Weerd W.Z.,Utrecht,Weg
0344300000002441,1390,Beneluxlaan,Utrecht,Weg
0344300000003514,5069,Benny Goodmanstraat,Utrecht,Weg
0344300000000383,1400,Benschoplaan,Utrecht,Weg
0344300000003827,1401,Bentheimerstraat,Utrecht,Weg
0344300000000384,1407,Berberdreef,Utrecht,Weg
0344300000002142,1408,Berekuil,Utrecht,Weg
0344300000002442,1410,Berezinadreef,Utrecht,Weg
0344300000001763,1415,Bergamotteperenlaan,Vleuten,Weg
0344300000000385,1430,Bergstraat,Utrecht,Weg
0344300000000386,1440,Berkelstraat,Utrecht,Weg
0344300000002443,1450,Berkstraat,Utrecht,Weg
0344300000000387,1460,Berlagestraat,Utrecht,Weg
0344300000001896,1462,Berlijnplein,Utrecht,Weg
0344300000000388,1480,Bernadottelaan,Utrecht,Weg
0344300000002444,16470,Bernard de Waalstraat,Utrecht,Weg
0344300000003665,17881,Bernard van Hamstraat,Vleuten,Weg
0344300000003500,16198,Bert Voetenplantsoen,De Meern,Weg
0344300000001268,14912,Bertha von Suttnerlaan,Utrecht,Weg
0344300000003535,21,Bertus Aafjeslaan,De Meern,Weg
0344300000000389,1510,Bessemerlaan,Utrecht,Weg
0344300000000390,1530,Bethlehemweg,Utrecht,Weg
0344300000001858,17690,Bethunepolder,De Meern,Weg
0344300000003358,1535,Betuwe,Utrecht,Weg
0344300000003706,1549,Beukenboslaan,Vleuten,Weg
0344300000003490,1545,Beukenburg,Vleuten,Weg
0344300000002623,1547,Beukenburghof,Vleuten,Weg
0344300000002622,1546,Beukenburgplaats,Vleuten,Weg
0344300000003491,1548,Beukenburgstede,Vleuten,Weg
0344300000000391,1540,Beukstraat,Utrecht,Weg
0344300000001756,1555,Beurréperenlaan,Vleuten,Weg
0344300000001945,1412,Beurszwam,Vleuten,Weg
0344300000002445,1560,Beverstraat,Utrecht,Weg
0344300000001451,1570,Bevinlaan,Utrecht,Weg
0344300000001812,1575,Bevrijdingslaan,Utrecht,Weg
0344300000001722,18510,Bezembrug,Utrecht,Kunstwerk
0344300000000351,14870,B.F. Suermanstraat,Utrecht,Weg
0344300000002666,1586,Bielsstraat,Utrecht,Weg
0344300000002140,1583,Bieslookstraat,Utrecht,Weg
0344300000000392,2540,Bijleveldstraat,Utrecht,Weg
0344300000002234,17882,Bijleveldweg,Vleuten,Weg
0344300000001723,18511,Bijlhouwerbrug,Utrecht,Kunstwerk
0344300000000393,2550,Bijlhouwerstraat,Utrecht,Weg
0344300000003186,17691,Bikkerspolder,De Meern,Weg
0344300000003359,1590,Bilderdijkstraat,Utrecht,Weg
0344300000003810,6171,Billie Holidaystraat,Utrecht,Weg
0344300000001342,1600,Billitonkade,Utrecht,Weg
0344300000002446,1610,Billitonstraat,Utrecht,Weg
0344300000003432,18702,Biltsche Grift,Utrecht,Water
0344300000000394,1615,Biltse Rading,Utrecht,Weg
0344300000001452,1620,Biltsestraatweg,Utrecht,Weg
0344300000000395,1630,Biltstraat,Utrecht,Weg
0344300000001990,1629,Binnentuinlaan,Vleuten,Weg
0344300000003538,1631,Birkhoven,Vleuten,Weg
0344300000002727,1632,Birkhovenplaats,Vleuten,Weg
0344300000003062,1635,Birstumerraklaan,Utrecht,Weg
0344300000002447,1640,Bisschopsplein,Utrecht,Weg
0344300000002641,1642,Bisschopssteeg,Utrecht,Weg
0344300000003623,18703,Bisschopswetering,Utrecht,Water
0344300000001290,1650,Bizetlaan,Utrecht,Weg
0344300000003820,1653,Blaarkopstraat,Utrecht,Weg
0344300000001453,1660,Bladstraat,Utrecht,Weg
0344300000003119,1662,Bladvlinder,Utrecht,Weg
0344300000001818,1665,Blaeulaan,Utrecht,Weg
0344300000000397,1673,Blankvoornstraat,Utrecht,Weg
0344300000003890,25054,Blauwe kaaszwam,Vleuten,Weg
0344300000000398,1680,Blauwe-Vogelweg,Utrecht,Weg
0344300000002448,1690,Blauwkapelseweg,Utrecht,Weg
0344300000000217,1710,Bleekstraat,Utrecht,Weg
0344300000002878,1720,Blekerstraat,Utrecht,Weg
0344300000000218,1730,Bleyenburgstraat,Utrecht,Weg
0344300000001255,1740,Blindesteeg thans Springweg,Utrecht,Weg
0344300000001973,1765,Bloementuinlaan,Vleuten,Weg
0344300000000219,1760,Bloemstraat,Utrecht,Weg
0344300000002879,1770,Bloesemstraat,Utrecht,Weg
0344300000003734,1785,Blois van Treslongplein,Utrecht,Weg
0344300000000220,1780,Blois van Treslongstraat,Utrecht,Weg
0344300000000221,1790,Blokstraat,Utrecht,Weg
0344300000002880,1804,Boadreef,Utrecht,Weg
0344300000003534,1806,Boccacciopad,Utrecht,Weg
0344300000002087,17011,Bochtdijk,Haarzuilens,Weg
0344300000003873,25035,Boekareststraat,Utrecht,Weg
0344300000003031,17692,Boekbinderslaan,De Meern,Weg
0344300000000222,1810,Boekelaan,Utrecht,Weg
0344300000002881,1820,Boelesteinlaan,Utrecht,Weg
0344300000000223,1830,Boerhaavelaan,Utrecht,Weg
0344300000000224,1840,Boerhaaveplein,Utrecht,Weg
0344300000002341,1842,Boeroehof,Utrecht,Weg
0344300000003360,1845,Bogotadreef,Utrecht,Weg
0344300000002882,1860,Boisotstraat,Utrecht,Weg
0344300000001947,1871,Bokaalzwam,Vleuten,Weg
0344300000002730,1875,Bokkeduinen,Vleuten,Weg
0344300000003541,1877,Bokkeduinenhof,Vleuten,Weg
0344300000002731,1876,Bokkeduinenplaats,Vleuten,Weg
0344300000000225,1870,Bokstraat,Utrecht,Weg
0344300000001343,1887,Boliviadreef,Utrecht,Weg
0344300000001454,1890,Bolksbeekstraat,Utrecht,Weg
0344300000000226,1900,Bollenhofsestraat,Utrecht,Weg
0344300000000227,1903,Bolognalaan,Utrecht,Weg
0344300000002883,1910,Bolstraat,Utrecht,Weg
0344300000000228,1923,Bombaydreef,Utrecht,Weg
0344300000001455,1927,Bonairedreef,Utrecht,Weg
0344300000002133,1928,Bonenkruidstraat,Utrecht,Weg
0344300000003304,1930,Bonistraat,Utrecht,Weg
0344300000002884,1950,Bontekoelaan,Utrecht,Weg
0344300000000229,1960,Boogstraat,Utrecht,Weg
0344300000003361,1970,Boomgaardlaan,Utrecht,Weg
0344300000000230,1980,Boomstraat,Utrecht,Weg
0344300000002885,1990,Boorstraat,Utrecht,Weg
0344300000001344,2000,Boothstraat,Utrecht,Weg
0344300000000231,2020,Borneostraat,Utrecht,Weg
0344300000002049,2035,Bosbesplantsoen,Utrecht,Weg
0344300000001456,2050,Bosboom Toussaintstraat,Utrecht,Weg
0344300000000232,2040,Bosboomstraat,Utrecht,Weg
0344300000002645,19527,Bosch en Duinpark,Vleuten,Landschappelijk gebied
0344300000002886,2070,Bosch van Drakesteinlaan,Utrecht,Weg
0344300000000233,2078,Bosschahof,Utrecht,Weg
0344300000003575,2080,Bosschastraat,Utrecht,Weg
0344300000000234,2095,Bostondreef,Utrecht,Weg
0344300000001808,2105,Boterbloemsingel,Vleuten,Weg
0344300000002887,2100,Boterstraat,Utrecht,Weg
0344300000001859,17693,Boteyken,De Meern,Weg
0344300000001748,19066,Bottensteinbrug,Vleuten,Kunstwerk
0344300000002235,17883,Bottensteinweg,Vleuten,Weg
0344300000002048,2433,Boudewijn Büchstraat,Utrecht,Weg
0344300000002236,17884,Boutensstraat,Vleuten,Weg
0344300000000235,2140,Bouwstraat,Utrecht,Weg
0344300000003887,25050,Boven Catharijnepoort,Utrecht,Weg
0344300000000236,2142,Boven Clarenburg,Utrecht,Weg
0344300000002888,2148,Boven Vredenburg,Utrecht,Weg
0344300000003768,16353,Boven Vredenburgpassage,Utrecht,Weg
0344300000001285,2149,Boven Zevenwouden,Utrecht,Weg
0344300000001860,17694,Bovenpolder,De Meern,Weg
0344300000003335,961,Boylelaan,Utrecht,Weg
0344300000000237,2150,Braamstraat,Utrecht,Weg
0344300000000238,2170,Brailledreef,Utrecht,Weg
0344300000001639,2185,Bramerijweg,Utrecht,Weg
0344300000002889,2200,Brandenburchdreef,Utrecht,Weg
0344300000001662,2210,Brandstraat,Utrecht,Weg
0344300000000239,2222,Brasemstraat,Utrecht,Weg
0344300000001906,2226,Bratislavapromenade,Utrecht,Weg
0344300000001345,2238,Braziliëdreef,Utrecht,Weg
0344300000001457,2240,Brederoplein,Utrecht,Weg
0344300000000240,2250,Breedstraat,Utrecht,Weg
0344300000002749,2252,Breeveen,Vleuten,Weg
0344300000002751,2253,Breeveenhof,Vleuten,Weg
0344300000002750,2254,Breeveenplaats,Vleuten,Weg
0344300000000241,2260,Breitnerlaan,Utrecht,Weg
0344300000002890,2270,Bremstraat,Utrecht,Weg
0344300000003362,2275,Brennerbaan,Utrecht,Weg
0344300000001724,18512,Brennerbrug,Utrecht,Kunstwerk
0344300000000242,2277,Bretagne,Utrecht,Weg
0344300000001725,18513,Brigittenbrug,Utrecht,Kunstwerk
0344300000000243,2300,Brigittenstraat,Utrecht,Weg
0344300000001458,2310,Briljantlaan,Utrecht,Weg
0344300000001847,17012,Brink,Haarzuilens,Weg
0344300000003179,17013,Brinkstraat,Haarzuilens,Weg
0344300000002891,2320,Broeder Alarmstraat,Utrecht,Weg
0344300000002237,17885,Broederschaplaan,Vleuten,Weg
0344300000000244,2340,Broekhuysendreef,Utrecht,Weg
0344300000001459,2350,Broerestraat,Utrecht,Weg
0344300000000245,2370,Brouwerstraat,Utrecht,Weg
0344300000000246,2380,Brucknerlaan,Utrecht,Weg
0344300000002393,2390,Brugsteeg,Utrecht,Weg
0344300000000247,2400,Brugstraat,Utrecht,Weg
0344300000003167,2405,Bruidsbloemlaan,Vleuten,Weg
0344300000003363,2420,Bruisdreef,Utrecht,Weg
0344300000002394,2424,Bruntenhof,Utrecht,Weg
0344300000000248,2425,Bruntensteeg,Utrecht,Weg
0344300000001900,2427,Brusselplein,Utrecht,Weg
0344300000002964,18643,Brusselviaduct,Utrecht,Kunstwerk
0344300000000249,2430,Bucheliusstraat,Utrecht,Weg
0344300000002395,2440,Budapestlaan,Utrecht,Weg
0344300000002760,2441,Buiten de Burchten,Vleuten,Weg
0344300000001946,2451,Bundelzwam,Vleuten,Weg
0344300000000250,2445,Bunnikseweg,Utrecht,Weg
0344300000002761,2443,Burchtplateau,Vleuten,Weg
0344300000003689,2444,Burchtplein,Vleuten,Weg
0344300000002591,2449,Burchtpoort,Vleuten,Weg
0344300000002589,2447,Burchtpromenade,Vleuten,Weg
0344300000002740,18761,Burchtvijver,Vleuten,Water
0344300000002590,2448,Burchtwal,Vleuten,Weg
0344300000002396,4500,Burgemeester Fockema Andreaelaan,Utrecht,Weg
0344300000002700,10112,Burgemeester Middelweerdbaan,De Meern,Weg
0344300000002998,10114,Burgemeester Middelweerdplaats,De Meern,Weg
0344300000000251,11050,Burgemeester Norbruislaan,Utrecht,Weg
0344300000003717,11051,Burgemeester Norbruispad,Utrecht,Weg
0344300000000252,12950,Burgemeester Reigerstraat,Utrecht,Weg
0344300000000253,14170,Burgemeester Smitsstraat,Utrecht,Weg
0344300000003187,17698,Burgemeester Taets van Amerongenlaan,De Meern,Weg
