Leverancier;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Detron Communication Solutions;;2;4;3;5;;1;4;6
Detron ICT Rental Solutions;;1;;;;;;;1
DGMR Software B.V.;;;;1;;;;;1
Digidentity B.V.;;;;2;;;;2;3
Digital Development Group B.V.;;;;;;;;2;2
Diractivity-Software B.V.;;;;1;;;;;1
Discountoffice.nl B.V.;;1;;;;;;;1
Dotweb Systems B.V.;;;;1;1;;;;2
DPI Animation House B.V.;;;;;1;;;2;2
DROG B.V.;;;;;;;;1;1
eelloo;;;;1;;;;;1
Elsevier Business Information;;;;1;;;;;1
EMMA Communicatie B.V.;;;;;;;;5;5
Employee Performance Group B.V.;;;;3;1;;;;3
EMS Distribution B.V.;;;;;1;;;;1
En nu online;;;;;;;;1;1
EnablE-U B.V.;;;;2;;;;;2
EnergyGo B.V.;;;2;;;;;;2
E-Office B.V.;;;;2;;;;;2
EPAM Consulting;;;;4;;;;;4
EPI-USE B.V.;;;;;2;;;;2
EPI-USE Labs BeNeLux;;;;;1;;;;1
Equinix (Netherlands) B.V.;;;;;;5;;;5
Ernst & Young Certifypoint B.V.;;;;;;;;4;4
Esri Nederland;;;1;4;;;;2;4
Eurotempest B.V.;;1;;;;;;;1
Event Media B.V.;;1;;;;;;;1
Evention Inc.;;;;;1;;;;1
Exact Software Nederland B.V.;;;;;3;;;;3
Expleo Netherlands B.V.;;;;;;;;2;2
Explore-IT B.V.;;;;;1;;;;1
FaberExposize B.V.;;;;;;;;1;1
Face Two B.V.;;;;;;;;2;2
Facilion B.V.;;;;1;;;;;1
Firm Ground;;;;;;;;2;2
For Conference B.V.;;;;;;;1;;1
Fugro NL Land B.V.;;;1;;;;;;1
Fujitsu Technology Solutions B.V.;;;1;;;;;5;5
Future Communication Consultants B.V.;;;;;4;;;;4
Futureproof Document Solutions;;;;;2;;;;2
Gartner Nederland B.V.;;;;2;;2;;2;4
Gebruikersvereniging Zaaksysteem.NL;;;;;1;;;;1
Gemet B.V.;;;;;;1;;;1
Gemnet B.V.;;;1;;;;;;1
Genesys Telecommunications Laboratories B.V.;;;;;4;;;2;4
Geodan B.V.;;;;;;;;5;5
Gettid B.V.;;;;;;;;1;1
GitHub B.V.;;;;;1;;;;1
GPersoon B.V.;;;;;;;;2;2
GW Cross Media B.V.;;;;;1;;;1;1
H.K. Business & Advisory Services B.V.;;;;;;;;2;2
Hackdefense B.V.;;;;;;;;2;2
HAGAR Quality Management;;;;;;;;1;1
HAPPY TABS;;;;;;;;2;2
Haproma Nederland B.V.;;;;;;2;;1;2
headON RESULTS B.V.;;;;;;;;1;1
Heuvelman Sound & Vision B.V.;;4;6;;;;;;6
Hilti Nederland B.V.;;;;1;;;;;1
HMCM;;;1;;;;;;1
Hollandse Hoogte B.V.;;;;;;;;1;1
Hooghiemstra & Partners B.V.;;;;;;;;2;2
HP Nederland B.V.;;;1;;;;;;1
Human Resource Implementation Services BV HuRis;;;;;;;;1;1
iBabs B.V.;;;;1;;;;;1
iBestuur Magazine;;;;;;;;2;2
IBM Nederland B.V.;;;;;7;;;;7
Ideoma Intelligent Systems B.V.;;;;1;;;;;1
Ieder-In;;;;;;;;1;1
Ilumy Innovation B.V.;;;;2;;;;;2
in60seconds B.V.;;;;;;;;3;3
Infoprojects;;;1;2;;;;1;2
Information Builders (Benelux) B.V.;;;;1;;;;2;2
Informed Products B.V.;;;;;1;;;;1
ING Bank N.V.;;;;;1;;;;1
ING Corparate Card;;2;;;2;;;;2
Inkesta B.V.;;;;1;;;;;1
InnoValor B.V.;;;;2;;;;3;3
Innovero Software Solutions B.V.;;;;;1;;;;1
Inprocess Consultants B.V.;;;;;;;;1;1
Insight Enterprises Netherlands B.V.;;;1;2;9;;;2;9
InsightsWorld B.V.;;;;1;;;;;1
Integrated Environmental Solutions Ltd;;;;1;;;;;1
Intelec Systems B.V.;;;;1;;;;;1
Internedservices;;;;1;;;;;1
Interstate Planning;;;;;;;;2;2
Involon B.V.;;;;1;;;;;1
IPD European Social Property Services;;;;1;;;;;1
iProov Limited;;;;2;;;;;2
Iris Huys;2;;;;;;;;2
Iris-International;;;;1;;;;;1
ItaQ;;;;;;;;5;5
It's Us B.V.;;;;;3;;;;3
itslearning Nederland B.V.;;;;;;;;3;3
iWelcome B.V.;;;;;;2;;2;2
JetBrains N.V.;;;;1;;;;;1
Kaliber Interactive B.V.;;;;;1;;;;1
Kamera Express;;1;;;;;;;1
Kantar Netherlands B.V.;;;;;;;;2;2
Kardex Systemen B.V.;;1;;;;;;;1
Kavel 10 B.V.;;;4;;;;;;4
KBenP;;;;;;;;1;1
KBenP Talent B.V.;;;;;;;;2;2
KCM Survey B.V.;;;;;;;;2;2
Kinly Benelux;;4;;;;;;;4
KlusIT Computerverhuur;;;;;;;1;;1
Knowledge Exchange B.V.;;;;;2;;;;2
KnowledgePlaza Professional Services B.V.;;;;;7;;;;7
Konica Minolta Business Solutions Ned. B.V.;;;2;1;;;;;2
Koning & Hartman B.V.;;;;;;;4;;4
Koninklijke Kampert en Helm Rotaform B.V.;;;;;;;;4;4
Korton Computer Communication (KCC) B.V.;;;;;;;;3;3
KPMG Advisory N.V.;;;;;;;;7;7
KPN ADM 160 VASTE VERBINDINGEN;;;;;;;1;;1
KPN B.V.;;1;2;;4;2;5;9;9
KPN Corporate Market;;;1;;1;;;2;2
KPN Internedservices;;;;;2;3;;5;5
KPN Lokale Overheid (voorh Gemnet);;;;;;6;;;6
KPN XL;;;;;4;;1;;4
Kroon B.V.;;1;;;;;;;1
Kubus architectural solutions;;;;2;;;;;2
Landgoed B.V.;;;;;;;;2;2
Laptopsverhuur B.V.;;1;;;;;;;1
LBP Sight B.V.;;;;;;;;2;2
License Audit B.V.;;;;;;;;1;1
License Partners Cloud Solutions B.V.;;;;;;3;;;3
LimoenGroen B.V.;;;;;;;;3;3
Linguist Link Europe;;;;;;;;2;2
Ljs Automatisering B.V.;;;;1;;;;;1
Lost Lemon B.V.;;;;;;;;3;3
MachtigingOnline;;;;1;;;;;1
MacroCad B.V.;;;;1;;;;;1
Madurodam B.V.;;;;;;;;1;1
Mahieu Web Development B.V.;;;;1;;;;;1
Manutan B.V.;;1;;;;;;;1
Marosel B.V.;;;;;;;;;
MatchFlex B.V.;;;;;;;;1;1
Matroos Vertalingen;;;;;;;;1;1
Maxd'Oro B.V.;;;;;2;;;2;2
MaxServ B.V.;;;;1;;3;;;3
Maykin Media;;;;;;;;2;2
Meetingselect B.V.;;;;;;;;4;4
Messagebird;;;;;;;1;;1
Metaalbew. bedrijf Van Der Velde Delft B.V.;;;;;;1;;;1
Mett;;;;1;;;;2;2
MichielB.com;;;;1;;;;;1
Mintlab B.V.;;;;1;2;;;1;2
Mobiel Centre Marktonderzoek B.V.;;;;;;;;2;2
Mwee beeld licht geluid;;;;;;;1;;1
myBrand;;;1;;;;;;1
Nawwara BV Communicatieadvies, Tekst en Ontwerp;;;;;;;;3;3
NCC Group Escrow Europe B.V.;;;1;;;;;;1
Nedcomp Hosting B.V.;;;;;2;;;;2
Nederlands Diensten Centrum voor ICT B.V.;;;;;;1;;;1
Negometrix B.V.;;;;3;;;;;3
Netcompany Netherlands B.V.;;;;3;;;;;3
Nétive VMS B.V.;;;;;5;;;;5
Network Innovations;;;;;;;5;;5
Network Innovations Services;;;;;;2;;;2
NFGD Zoetermeer B.V.;;6;;;;;;;6
NLdigital B.V.;;;;;;;;3;3
Nou&Off;;;;;;;;2;2
NSD International NL B.V.;;1;1;;;;;;1
OBI Internet Marketing B.V.;;;;;1;;;;1
OCLC B.V.;;;;2;;;;;2
Odendaal advies;;;2;;;;;;2
Odeon A/S;;;;1;;;;;1
Odyssee B.V.;;;;1;;;;;1
Onesto Automatisering;;1;;1;;;;;2
Onlineafspraken.nl B.V.;;;;;2;;;;2
Ontrack Studio;;;;;;;1;;1
Open State Foundation;;;;;;;;2;2
Open Text Coöperatief U.A.;;;;;5;;;;5
Oracle Nederland;;;4;7;6;;;;7
Ordina Beheer & Outsourcing;;;2;1;;;;;2
Ordina N.V.;;;;;1;7;;5;7
Oribi Software B.V.;;;;;2;;;;2
OSSO Network B.V.;;;;;1;;;;1
Otys International B.V.;;;;;1;;;;1
Pactechno;;;1;;;;;;1
Panteia B.V.;;;;;;;;2;2
Paralax B.V.;;;;;3;;;1;3
Pardon Consult;;;;1;;;;2;2
PBLQ B.V.;;;;;;;;1;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;1;;;;;;1
Peutz Data B.V.;;;;1;;;;;1
Pianohandel Mos en Spetter;;;1;;;;;;1
Planon B.V.;;;;;5;;;;5
Postcode.eu;;;;1;;;;;1
Postcode.NL B.V.;;;;1;;;;;1
PQR B.V.;;2;4;;;1;;;4
Previder;;;;1;;;;;1
Pricewaterhousecoopers N.V.;;;;;;4;;4;5
Prisma Groep B.V.;;;1;;;;;;1
Promio;;;;;;;;1;1
Protinus IT B.V.;;7;6;7;8;2;1;7;9
Proud Professionals B.V.;;;;;;;;;
Publiek Denken;;;;;;;;1;1
Quootz B.V.;;;;;;;;1;1
QuoVadis Trustlink B.V.;;;;1;3;2;1;2;4
RBit Informatica B.V.;;;;;;;;2;2
RDMG Uitgeverij B.V.;;;;1;;;;;1
RedNose IT B.V.;;;;6;;;;;6
Regas IP B.V.;;;;;3;;;;3
Reindeer inc;;;;;1;;;;1
Remlicht;;;;;;;;1;1
Renewi Nederland B.V.;;;1;;;;;;1
Retriever Media Informatie B.V.;;;;;1;;;;1
Rework Apps B.V.;;;;;;;1;;1
Ricoh Nederland B.V.;;;2;;;;;;2
RIPE NCC;;;;;;;;1;1
ROI B.V.;;;;;;;;1;1
Ruigrok NetPanel;;;;;;;;2;2
Sabel Communicatie B.V.;;;;;;;;2;2
SAP Nederland B.V.;;;;;7;;;;7
SBR Nexus;;;;;;;;2;2
Scan Sys B.V.;;;;;1;;;;1
Scholten Awater B.V.;;1;4;1;;3;;;4
Schut-Copex B.V.;;1;;;;;;;1
Sdu Uitgevers B.V.;;;;2;;;;;2
Securify B.V.;;;;;;;;3;3
Service Telefoon Centrale B.V.;;;;;;;1;;1
Servitect B.V.;;;;;1;;;;1
SG Equipment Finance Benelux B.V.;;;;;5;;;;5
SHARP Electronics Benelux B.V.;;;1;;;;;;1
Social Brothers B.V.;1;;;;;;;;1
Softcrow Trusted Electronic Services B.V.;;;;1;;;;;1
Software Improvement Group B.V.;;;;;2;;;2;3
SoftwareONE B.V.;;;;1;;;;;1
Sogeti Nederland B.V.;;;;;1;3;;7;7
SolidWare Consultancy B.V.;;;;;;;;1;1
SolutionLab B.V.;;;2;;;;;;2
Solvinity;;1;1;1;4;7;;2;7
SPOTinfo;;;;;;;;2;2
Spotler Nederland B.V.;;;;;1;;;1;1
Sprout Social Inc.;;;;;2;;;;2
SQUARE INFORMATION SYSTEMS;;;;1;;;;;1
Stabiplan B.V.;;;;2;2;;;;3
STB Automatisering & Advies B.V.;;;;1;;;;;1
Stemmenbank.nl;;;;;;;;1;1
Stg. Beheer Derdengelden Cannock Outsourcing;;;;;;;1;1;1
Sticht. Internet Domeinregistratie Nederland;;;;;1;;;;1
Stichting Accessibility;;;;;;;;2;2
Stichting Beheer Derdengelden X Pact;;;;;;;;1;1
Stichting BIM Loket;;;4;;;;;;4
Stichting Bravis ziekenhuis;;;;;;;;1;1
Stichting Digisterker;;;;;;;;1;1
stichting government roaming nederland;;;;;;;2;;2
Stichting ISSO;;;;2;;;;;2
Stichting Kafkabrigade;;;;;;;;1;1
Stichting Landelijk Informatiesysteem;;;;;;;;1;1
Stichting Nationaal ICT Instituut in de Zorg;;;;1;;;;;1
Stichting New Trust Foundation;;;;;;6;;;6
Stichting Open Preservation (NL);;;;;;;;2;2
Stichting Open State Foundation;;;;;;;;2;2
Stichting Pleio;;;;1;1;;;3;3
Stichting ProDemos;;;;;3;;;;3
Stichting RINIS;;;;;6;2;;;6
Stichting SDGHUBNL;;;;;;;;2;2
Stichting Simplerinvoicing;;;;;;;;1;1
Stichting Stimular;;;;1;;;;;1
Stichting Xbrl Nederland;;;;;;;;1;1
Studio 38C;;;;;;;;2;2
Sumatra Software B.V.;;;;;1;;;;1
SurePay B.V.;;;;;;;;2;2
Swis B.V.;;;;;;;;1;1
T Systems Nederland B.V.;;;;;;1;;;1
T&T Compet&t.b.v.;;;;2;;;1;;2
TAALdigiTAAL B.V.;;;;;;;2;;2
Tangram B.V.;;;;1;;;;1;1
Tappan B.V.;;;;;;;;1;1
Technosoft B.V.;;;;1;;;;;1
Tel en Tel B.V.;;;;;;1;1;;1
Tele2 Nedeland B.V.;;;;;;;2;;2
Tele2 Nederland B.V.;;;5;;;;7;2;7
Tele2-Versatel;;;;;;;3;;3
TelefonischOverleg.NL;;;;;;;1;;1
Telfort Zakelijk B.V.;;;;;;;1;;1
Telindus-ISIT B.V.;;8;7;;7;7;;5;9
Textinfo B.V.;;;;7;;;;;7
The People Group - Ingenieurs & Specialisten;;;1;;;;;;1
The Right Productions;;;;1;;;;;1
The Three Engineers Consultants B.V.;;;;2;;;;;2
Things To Make And Do B.V.;;;;;;;;2;2
Tie Nederland B.V.;;;;;1;;;2;2
Timp & Simons Electronics B.V.;;1;;;;;;;1
T-Mobile Netherlands B.V.;;;;;;;4;;4
TNO B.V.;;;;;;;;2;2
TODAY DESIGNERS B.V.;;;;;;;;2;2
TOPdesk Nederland B.V.;;;1;1;;;;;1
Topgeschenken Nederland B.V.;;;;;;;;1;1
Transformation Technologies B.V.;;;;;1;;;;1
TransIP B.v;;;;;;;;1;1
Transposafe Systems Holland B.V.;;1;;;;;;;1
Trefoil Hydrology;;;;;;;;1;1
Tribe29 GmbH;;;1;;;;;;1
Triply B.V.;;;;;;;;1;1
Two Kings B.V.;;;;1;;;;1;2
U2Pi.BV (Copyshop Denhaag);;;;;;;;1;1
Ultimo Software Solutions B.V.;;;2;;;;;;2
UniCarriers Netherlands B.V.;;1;;;;;;;1
VABI Software B.V.;;;;1;;;;;1
Vacuas;;;2;;;;;;2
Valsplat B.V.;;;;;;;1;;1
Van Buttingha Wichers Notarissen;;;;3;;;;;3
VCD Business Solutions B.V.;;;;;1;;;2;2
VCK Travel B.V.;;;;;;;;1;1
Vellekoop & Meesters;;;;1;;;;;1
Vening;;;;;;;;1;1
Verbelco B.V.;;;;;;;;1;1
Verdonck, Klooster & Associates B.V.;;;;;;;;4;4
Verizon Nederland B.V.;;;;;1;;1;;1
Videohelden;;;;;;;;1;1
Videonieuwsbericht B.V.;;;;;;;;1;1
Vierkante Meter;;;;;;;;1;1
Virtu Secure Webservices B.V.;;;;;7;9;;10;11
VisionsConnected;;;;3;;;;;3
Visma Software B.V.;;;;;2;;;;2
Vitalmindz B.V.;;;;;;;;1;1
Vodafone;;;;;;;5;;5
Vodafone Libertel B.V.;;;;;;;7;4;7
VoorMeerWaarde B.V.;;;;;1;;;1;2
VormVijf;;;;;;;;1;1
WCAG.nl;;;;;1;;;;1
We ID;;;;;1;;;;1
Webfleet Solutions Sales B.V.;;;;;2;;;;2
Webhelp Nederland B.V.;;;;;;;;7;7
Welox Internet Services;;;;1;;;;;1
WeSeeDo B.V.;;;;;;;1;;1
Worldmeetings.com B.V.;;;;;;;;1;1
WWplus B.V.;;;;;;;;3;3
Xerox (Nederland) B.V.;;1;7;;;;;1;7
XS4ALL Internet B.V.;;;;;;;1;;1
Yellowtail Control Solutions B.V.;;;;;2;;;;2
Yenlo Cloud Services B.V.;;;;;1;;;;1
Ziggo B.V.;;;;;;;3;1;3
Ziggo Services B.V.;;;;;;1;1;;1
Ziggo Zakelijk Services B.V.;;;;;;1;1;;1
Zoom International B.V.;;;;;3;;;;3
ZoomBIM;;;;;1;;;;1
Eindtotaal;2;10;9;9;11;9;9;11;13
