;7110 - Gebruik en onderhoud gebouw en terreinen;7410 - Verwerven en afstoten;Eindtotaal;
GW Cross Media B.V.;1;;1;
Haagevents Signing & Logistics B.V.;2;;2;
Happy Spirits;1;;1;
Hélène Damen;2;;2;
Het Nutshuis;1;;1;
Het Scheepvaartmuseum Enterprise B.V.;2;;2;
Holding Beheermaatschappij Ropeni B.V.;1;;1;
Huis van Verbeelding;1;;1;
Huub en Adelheid Kortekaas;1;;1;
IDEMIA The Netherlands B.V.;5;;5;
In Pace B.V.;1;;1;
Indonesisch Restaurant Poentjak;1;;1;
ING Bank N.V.;1;;1;
Inkesta B.V.;1;;1;
Instock Amsterdam;1;;1;
Intact;2;;2;
ISS Integrated Facility Services B.V.;1;;1;
ISSOS B.V.;;4;4;
IT-Contracts.NL;1;;1;
Jagafer Consulting Services JCS;1;;1;
Jill Whittaker Communications;1;;1;
Job Verberne media;1;;1;
Kamera Express;2;;2;
Kenlog B.V.;1;;1;
Klantenservice Federatie;1;;1;
KLARNA AB (PUBL);1;;1;
Knowingo B.V.;2;;2;
Knyfe Ealdormann B.V.;1;;1;
Korte Poten 1-3 B.V.;1;;1;
Kris Kras Design B.V.;1;;1;
Kruizinga B.V.;1;;1;
KSG Trainers & Consultants;2;;2;
Lanting consult;2;;2;
Lenneke Hoedemaker;1;;1;
Lexyca;1;;1;
Linguist Link Europe;2;;2;
Livewords;1;;1;
Loetje aan 't IJ B.V.;1;;1;
Maarten Wolterink;1;;1;
Maestro Orkestprodukties;1;;1;
Makmende Media B.V.;1;;1;
Marketresponse International Group B.V.;2;;2;
Maters & Hermsen Journalistiek B.V.;1;;1;
Matsuzaki Communications B.V.;1;;1;
Maya de Wit Sign Lang. Interpret. Consultancy;1;;1;
MB Safety B.V.;1;;1;
Meetingselect B.V.;2;;2;
Merk in Beeld;1;;1;
Mettler-Toledo B.V.;1;;1;
Microsoft B.V.;4;;4;
MobileXpense SA;6;;6;
Moduli Print B.V.;3;;3;
Moree Gelderblom Advocaten;1;;1;
Mulder-Hardenberg B.V.;1;;1;
My HBM Support B.V.;;1;1;
Naktuinbouw;1;;1;
Nalta Software B.V.;1;;1;
Nauta Security Storage B.V.;1;;1;
NEBO de Fotospecialist;1;;1;
Ned.Org.voor toegepast-nat.wetensch. o.z. TNO;;2;2;
Nespresso Nederland B.V.;1;;1;
Nexthop;1;;1;
NFGD Zoetermeer B.V.;2;;2;
Nieuwe of Litteraire Sociëteit De Witte;2;;2;
Nieuw-Europa;1;;1;
NINOK;1;;1;
NOVI Educational Services B.V.;1;;1;
Novitas Heritage;1;;1;
NRNL Consultancy;1;;1;
Off. for Metropol. Architect. Stedebouw B.V.;2;;2;
Organisatie Groep Zuid (O.G.Z.) B.V.;1;;1;
Orihana de Wekker;1;;1;
ORTEC B.V.;2;;2;
P.W. Akkerman B.V.;1;;1;
Part-up B.V.;1;;1;
Pastis Den Haag B.V.;1;;1;
PayPlaza B.V.;1;;1;
PEC Zwolle Werkt;1;;1;
Pels Rijcken & Droogleever Fortuijn N.V.;2;;2;
Perlent;1;;1;
PinsandMore.nl;1;;1;
Postcode.eu;1;;1;
Pricewaterhousecoopers B.V.;2;;2;
Printerette;1;;1;
privacymanager;1;;1;
Protinus IT B.V.;2;;2;
PvIB: Platform voor informatiebeveiliging;1;;1;
Quality Support B.V.;1;;1;
Quinton Brandveiligheid B.V.;1;;1;
QuoVadis Trustlink B.V.;1;;1;
Randstad Uitzendbureau B.V.;1;;1;
RDN-Holding B.V.;1;;1;
Rederij Brands;1;;1;
Refinitiv Netherlands B.V.;2;;2;
Réseaux IP Européens Network Coord. Centre;1;;1;
Restaurant De Basiliek B.V.;1;;1;
Restaurant De Knip;1;;1;
Restaurant Luden Den Haag Kiosk;1;;1;
Restaurant Onz;1;;1;
Restaurant Spijs;1;;1;
Retulp Custom B.V.;2;;2;
RIB School Scheveningen;1;;1;
Rikxoort Event Dressing B.V.;1;;1;
Royal HaskoningDHV;;2;2;
S.S. Walker;1;;1;
SAD Administraties B.V.;1;;1;
SafeSat;1;;1;
SalesQ B.V.;1;;1;
SaySimple B.V.;1;;1;
Schetswinkel;1;;1;
Schiphol Nederland B.V.;2;;2;
Schuberg Philis B.V.;1;;1;
Schut-Copex B.V.;1;4;4;
Sdu Uitgevers B.V.;4;;4;
Secrid B.V.;1;;1;
Signalutions B.V.;1;;1;
Snelservice Schoenmakerij;1;;1;
SoftwareONE B.V.;2;;2;
SolBeach B.V.;1;;1;
Soundfocus B.V.;1;;1;
Speer Publications;1;;1;
Stairway Productions;1;;1;
Stanneke Kusters training & coaching;1;;1;
Stg. Foundation Max vd Stoel For D.D.D. (FMS);1;;1;
Stg. Fund for Exc. of the Royal Conservatoire;1;;1;
Stichting Butterfly Works;1;;1;
Stichting De Ooievaart;1;;1;
Stichting Escher Collectie;1;;1;
Stichting Fonds Instituut Clingendael;1;;1;
Stichting Fundatie J.H.C. Voorhoeve;1;;1;
Stichting Humanity House;1;;1;
Stichting Internat. Perscentrum 'Nieuwspoort';1;;1;
Stichting Keys to Music Foundation;1;;1;
Stichting Klant Interactie Research Centrum;1;;1;
Stichting ONL voor Ondernemers;1;;1;
Stichting The Hague Humanity Hub;2;;2;
Stichting Theatergroep MES;1;;1;
Stichting Voorlinden;1;;1;
Stichting What Design Can Do;1;;1;
Stichting World Press Photo;1;;1;
Strandpaviljoen De Kwartel B.V.;1;;1;
Strayshop B.V.;1;;1;
Sumo Den Haag 2 Sushi en Grill restaurant;1;;1;
T&T Compet&t.b.v.;2;;2;
T.O.P.T. Vestigingen B.V.;1;;1;
Talent Talks B.V.;1;;1;
Taxibedrijf Van der Wijst;1;;1;
TBK Technisch Aannemer;1;1;1;
Team Heiner B.V.;1;;1;
Teambuildingspellen.nl B.V.;1;;1;
Technisch Bureau Verhagen B.V.;1;;1;
TeekensKarstens Advocaten B.V.;1;;1;
Tele2-Versatel;1;;1;
Tentoo Directors Cast & Crew B.V.;1;;1;
The Hague Marriott;1;;1;
The Language Collective;1;;1;
The Maastricht Forensic Institute B.V.;1;;1;
Tilkema Horeca B.V.;1;;1;
Tindemans Translations B.V.;1;;1;
TNO B.V.;1;;1;
Tokeneke B.V.;1;;1;
Topgeschenken Nederland B.V.;1;;1;
Tower Leisure B.V.;1;;1;
TRAC Development Consultants;1;;1;
Tri Tunggal;1;;1;
TRIBES Holding B.V.;1;5;5;
TRIK;1;;1;
Troje Training en Theater;2;;2;
Van de Reyt Meststoffen B.V.;1;;1;
Van der Valk Hotel Bijhorst;1;;1;
Van Eijk Research & Consultancy;1;;1;
Van Hengstum & Stolp Netwerk Notarissen;1;;1;
Van Ierschot interim B.V.;2;;2;
Van Slobbe B.V.;1;;1;
VCK Travel B.V.;1;;1;
Veer Stichting;1;;1;
Ver. v. Corp. Real Estate Manag. Execut.;1;;1;
Vigo Entertainment;1;;1;
Virtual Sciences Solutions B.V.;2;;2;
Vital Change B.V.;1;;1;
VNSG Diensten B.V.;1;;1;
Vodafone Libertel B.V.;1;;1;
Walter Benedict;1;;1;
Weena B.V.;1;;1;
Westcoast Concepts B.V.;1;;1;
Westvliet B.V.;1;;1;
Witte Kruis Middelen B.V.;1;;1;
Witters Veiligheid;1;;1;
Wizzconcept Holding B.V.;1;;1;
Worktrainer B.V.;1;;1;
Worldmeetings.com B.V.;3;;3;
Write IT right;1;;1;
Xerox (Nederland) B.V.;2;;2;
YESGIFTS.NL B.V.;1;;1;
Your Choice Catering;1;;1;
Ypma Piano's-Vleugels-Keyboards;1;;1;
ZijSpreekt;1;;1;
Zuiderstrandtheater;2;;2;
Eindtotaal;7;6;7;
