FID,AANT_SB,OPENINGSTIJDEN,ROLSTOELTOEG,SB_AANDUIDING,SB_ADRES,SB_NAAM,SB_POSTCODE,SB_WOONPLAATS,LONGITUDE,LATITUDE
Stembureaus2021_Woe.190,1,7:30 tot 21:00 uur,Ja,,Hof der Gedachten 20,Mobiel Stembureau Het Pluspunt,3823WB,Amersfoort,5.39517730479627,52.1873334147264

Stembureaus2021_Woe.191,1,7:30 tot 21:00 uur,Nee,,Utrechtseweg 73,Nieuw-Apostolische Kerk,3818EB,Amersfoort,5.37842405048113,52.150145113957

Stembureaus2021_Woe.192,1,7:30 tot 21:00 uur,Nee,,Matthias Withoosstraat 34,Orthodoxe Parochie,3812ST,Amersfoort,5.37300532231491,52.1577132725627

Stembureaus2021_Woe.193,1,7:30 tot 21:00 uur,Ja,,Stadhuisplein 5,Oude Stadhuis,3811LM,Amersfoort,5.38546910278532,52.156607749282

Stembureaus2021_Woe.194,1,7:30 tot 21:00 uur,Nee,,Stradivariusstraat 37,Overseldert,3822DL,Amersfoort,5.40708134898442,52.1826664752348

Stembureaus2021_Woe.195,1,7:30 tot 21:00 uur,Ja,,Componistenpad 4,Prins Willem III-flat,3816DM,Amersfoort,5.40121424758653,52.1554493500599

Stembureaus2021_Woe.196,1,7:30 tot 21:00 uur,Ja,,Zangvogelweg 152,Schoolgebouw de Baander,3815DR,Amersfoort,5.40301924669514,52.1649448250407

Stembureaus2021_Woe.197,1,7:30 tot 21:00 uur,Nee,,De Weergang 2,Schoolgebouw De Dubbelster,3823BV,Amersfoort,5.38676909572126,52.1855279972572

Stembureaus2021_Woe.198,1,7:30 tot 21:00 uur,Ja,,Zwartsluiskade 2,Schoolgebouw De Gondelier,3826EG,Amersfoort,5.42300381150352,52.2043908236582

Stembureaus2021_Woe.199,1,7:30 tot 21:00 uur,Ja,,Koning Karelpad 2,Schoolgebouw De Zevensprong,3813 HC,Amersfoort,5.38724446127344,52.1701462031832

Stembureaus2021_Woe.200,1,7:30 tot 21:00 uur,Ja,,Trombonestraat 62,Schoolgebouw De Zonnewijzer,3822CH,Amersfoort,5.40599297057202,52.1813553238319

Stembureaus2021_Woe.201,1,7:30 tot 21:00 uur,Ja,,Arnhemseweg 65,Schoolgebouw GSG Guido vmbo,3817CB,Amersfoort,5.38655650745137,52.1484224871634

Stembureaus2021_Woe.202,1,7:30 tot 21:00 uur,Ja,,Burgemeester de Widtstraat 5 24,Seniorenflat Otto Scheltus,3811LW,Amersfoort,5.38186290156691,52.1544037974354

Stembureaus2021_Woe.203,1,7:30 tot 21:00 uur,Nee,,Jacob Catslaan 28,Sint Ansfriduskerk,3818 WK,Amersfoort,5.37216406599884,52.143673166801

Stembureaus2021_Woe.204,4,7:30 tot 21:00 uur,Ja,,Hof 1,Sint Joriskerk,3811CP,Amersfoort,5.39021831899444,52.1565142670704

Stembureaus2021_Woe.205,1,7:30 tot 21:00 uur,Ja,,Garietstraat 205,Sociëteitsruimte Seniorenflat,3813BL,Amersfoort,5.38404642897615,52.1669392795829

Stembureaus2021_Woe.206,2,7:30 tot 21:00 uur,Ja,,De Velduil 2,Sportcomplex Amerena,3815 XT,Amersfoort,5.41312456100321,52.1598316740655

Stembureaus2021_Woe.207,4,7:30 tot 21:00 uur,Ja,,Breelandhof 8,Sporthal De Bieshaar,3828VL,Hoogland,5.37611143377265,52.1887289020561

Stembureaus2021_Woe.208,2,7:30 tot 21:00 uur,Ja,,Wezeperberg 6,Sporthal De Brink,3825DJ,Amersfoort,5.4162571485235,52.1976257353629

Stembureaus2021_Woe.209,4,7:30 tot 21:00 uur,Ja,,Disselplein 6,Sporthal De Dissel,3829MD,Hooglanderveen,5.43473645801929,52.1840437238847

Stembureaus2021_Woe.210,3,7:30 tot 21:00 uur,Ja,,Lovink 10,Sporthal Icoon,3825 MP,Amersfoort,5.43264896030233,52.1932714354937

Stembureaus2021_Woe.211,3,7:30 tot 21:00 uur,Ja,,Graaf Hendriklaan 166,Sporthal Juliana van Stolberg,3818DN,Amersfoort,5.38186977474821,52.1464306312391

Stembureaus2021_Woe.212,4,7:30 tot 21:00 uur,Ja,,Zeldertsedreef 3,Sporthal Nieuwland,3824EJ,Amersfoort,5.37556861949346,52.2006044403483

Stembureaus2021_Woe.213,4,7:30 tot 21:00 uur,Ja,,Fürglerplein 3,Sporthal Rustenburg,3815KZ,Amersfoort,5.41598112225897,52.1682940053442

Stembureaus2021_Woe.214,4,7:30 tot 21:00 uur,Ja,,Trompetstraat 3,Sporthal Zielhorst,3822CK,Amersfoort,5.40205763307961,52.1788581482151

Stembureaus2021_Woe.215,1,7:30 tot 21:00 uur,Ja,,Stationsplein 51,Station NS Hoofdingang,3818LE,Amersfoort,5.37410118416882,52.1533452884677

Stembureaus2021_Woe.216,2,7:30 tot 21:00 uur,Ja,,Coninckstraat 60,Theater De Flint,3811 WK,Amersfoort,5.39280077875374,52.1595475937567

Stembureaus2021_Woe.217,1,7:30 tot 21:00 uur,Ja,,Undinestraat 1 2,Undineflat,3816GB,Amersfoort,5.40967698037577,52.1536388131496

Stembureaus2021_Woe.218,1,7:30 tot 21:00 uur,Ja,,Grote Koppel 65,Verenigingsgebouw Juliana en Bernhard,3813AB,Amersfoort,5.38097336651206,52.1618466180358

Stembureaus2021_Woe.219,1,7:30 tot 21:00 uur,Ja,,Sportpark Bokkeduinen 6,Volkstuinvereniging 'Het Soesterkwartier',3819 BD,Amersfoort,5.34883550770783,52.1586272724964

Stembureaus2021_Woe.220,1,7:30 tot 21:00 uur,Ja,,Bergenboulevard 11,Wellant College,3825 AG,Hooglanderveen,5.40379719209881,52.1983875618106

Stembureaus2021_Woe.221,1,7:30 tot 21:00 uur,Ja,,Lingestraat 10,Westerkerk,3812GB,Amersfoort,5.37057845591601,52.1604668346877

Stembureaus2021_Woe.222,1,7:30 tot 21:00 uur,Ja,,Weberstraat 2,Wijkcentrum Het Klokhuis,3816VC,Amersfoort,5.40905891825918,52.1506414629752

Stembureaus2021_Woe.223,1,7:30 tot 21:00 uur,Ja,,Paladijnenweg 275,Woon- en zorgcentrum De Koperhorst,3813KA,Amersfoort,5.39101857699411,52.1688177496694

Stembureaus2021_Woe.224,1,7:30 tot 21:00 uur,Ja,besloten,Schuilenburgerplein 1,De Schuilenburght,3816TD,Amersfoort,5.41517073158792,52.1530399667691

Stembureaus2021_Woe.225,1,7:30 tot 21:00 uur,Ja,besloten,Randenbroekerweg 122,Woon- en zorgcentrum Nijenstede,3816BL,Amersfoort,5.40092801155861,52.1511055330257

Stembureaus2021_Woe.226,1,7:30 tot 21:00 uur,Ja,besloten,Dorresteinseweg 49 623,De Eemgaarde,3817GB,Amersfoort,5.39835928893773,52.1385937217025

Stembureaus2021_Woe.227,1,7:30 tot 21:00 uur,Ja,besloten,Utrechtseweg 266,Zon en Schild,3818EW,Amersfoort,5.34133622114232,52.1341990303433

Stembureaus2021_Woe.228,1,7:30 tot 21:00 uur,Ja,besloten,Soesterweg 533,Verpleeghuis Birkhoven,3819BA,Amersfoort,5.34601912327966,52.160556912089

Stembureaus2021_Woe.229,1,7:30 tot 21:00 uur,Ja,besloten,Puntenburgerlaan 100,Woon- en zorgcentrum Puntenburg,3812CG,Amersfoort,5.37450135534809,52.1589870314517

Stembureaus2021_Woe.230,1,7:30 tot 21:00 uur,Ja,besloten,Wervershoofstraat 157,St. Pieters en Bloklands Gasthuis,3826EM,Amersfoort,5.42232663042812,52.2026662669053

Stembureaus2021_Woe.231,1,7:30 tot 21:00 uur,Ja,besloten,Achter Davidshof 1,"St. Pieters en Bloklands Gasthuis, locatie Davidshof",3811 BD,Amersfoort,5.38479537681715,52.1576638116942

Stembureaus2021_Woe.232,1,7:30 tot 21:00 uur,Ja,Xtra toegankelijk,Stadhuisplein 7,Stadscafé De Observant,3811 LM,Amersfoort,5.38504385717539,52.1567389638721

