OBJECTID,KDUVORM,KDUHGA1,KDUBOKBO,KDUBOKBE,KDULENGT,KDUBREED,XXXMATER,KDUSOORT,KWKAFSL1,KWKARCH,KWKDATUM,KWKOPME,KWKPLAAN,OSMOMSCH,KWKAFSL2,IWS_MEMO,KWKNAAM,IWS_LEGGERSTATUS,IWS_OH_RENOVATIEJAAR,KDUIDENT,IWS_WATERBEHEERFUNCTIE,IWS_AFST_B,KDUMOEBE,KDUMOEBO,KWKKEREN,OBJECTID_1,KDUIDENT_1,ONDERHOUDSPLICHTIGE_1,ONDERHOUDSVERPLICHTING_1,ONDERHOUDSPLICHTIGE_2,ONDERHOUDSVERPLICHTING_2,Shape__Length,RICHTING
15,1,,2.9,2.9,0.3,1.55,11,,4,,,,,Dam met duiker en inlaat,,"Stuw Max 3,707
Stuw Min 2,827
Breedte 1,50",O-04-02-10A,1,,O-04-02-10A,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,0.849410199028502,
16,1,,-0.39,-0.05,76,0.5,3,,,,,,,,,,,1,,ST.10.8-D88,3,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Onderhoud hoofdconstructie,75.9694947865173,
17,2,0.33,-1.27,-1.44,6.5,0.35,3,,4,,1900,zie memo veld,"Bruins Mandjeswaardweg, Mandjeswaard",inlaat,99,"Vlotterton geplaatst in 1995

Afsluitmiddel     = Schuif
Matyeriaalsoort = Aluminium",Inlaat Bruins,1,,MW-D51,3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.4989579810265,
18,,,,,,,,,4,,,effluentieleiding zuivering Hessenpoort hm 19.8,,rioolpersleiding (afsluiter),,,effluentleiding Hessenpoort,1,,IWK-09-0160,3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,Onbekend,Onbekend,5.99029381613933,
19,,,,,,,,,4,,,,,rioolleiding Frankhuis,,"Gewoon onderhoud is gemeente, buitengewoon onderhoud WDOD.",rioolleiding Frankhuis,1,,IWK-10-0270,3,2,,,1,,,,,,,35.3554211152889,
20,1,,12.97,12.39,12.4,0.4,20,,4,,,Knjipduiker gelegd,De Spannenweg,Kade met duiker en afsluiter,,"Hoogte op ijzeren vlak. Noordkant
eigenaar SHDL",D3622,1,,D3622,3,2,,,2,,,Houder vergunning,Gewoon en buitengewoon en constructie,,,3.43661932751472,
21,1,,5.78,5.78,7,0.5,22,4,4,,2004,Berging Dieverbrug,,Dam met duiker en inlaat,,"Meetbout.
2006 voorzien van Telemetrie",959 BERGING DIEVERBRUG,1,,959 BERGING DIEVERBRUG,3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.09163520231551,
22,1,,-0.8,-1.47,25.5,0.4,20,4,4,,,Zit gekoppeld aan onderleider,,Inlaat,,"NTM beheer
Duiker (Onderleider) met inlaat.
Constructie is zo gemaakt dat VH2019 kan lozen of inlaten op de boezem VH80",D3688,1,,D3688,3,2,,,,,,Aangeland,Gewoon en buitengewoon en constructie,,,1.98617726433908,
23,1,,,,,,21,,4,,,,,,,,,1,,D753317,3,,,,,,,Waterschap,Geheel onderhoud,,,3.30200000107288,
24,1,,2.6,2.6,13.1,0.5,3,,4,,1990,"Plan Stouwe; (st.overstortschuif type ROVSP)",,,,Meetspijker in damwand bij peilschaal zuidkant Kampen DW,Nabij Kampendwarsweg Telgenbelt,1,,DV.30.240-D1,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,13.1056735627947,
25,1,,2,2,7.2,1,3,,4,,1994,"Plan Stouwe; stalen overstortschuif type HKS",,,,,Plaggenveld,1,,SZ.335-D17,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.06175362670141,
26,1,,-2.08,-2.08,21.74,0.7,3,2,4,,,Zie ook informatie Put,,Weg met duiker met een put en inlaatfunctie,5,"Inlaat 
Alles RVS qua materiaal.
Min hoogte is -1,37
Max hoogte is -0,84
Breedte is 0,70",,1,,VH80I7,3,2,,,,,,Waterschap,Onderhoud doorstroomprofiel duiker,Gemeente,Onderhoud van de gehele dam (grondlichaam),21.7399000470307,
27,1,,-0.88,0,14,0.6,3,,,,1988,,,,,Meetspijker in damwand Oostkant Nieuwendijk/Scholtenkampsweg ,Nieuwendijk Borger,1,,SZ.25.214-DK763,3,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,14.4937196342331,
28,1,,0.66,-0.19,5,0.3,20,,,,,,,,,,,1,,SW.45.56-D639,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,5.04484786572393,
29,1,,-0.97,-0.97,31.35,0.4,3,2,5,,,zie ook informatie Put,,Weg met duiker met een put en inlaatfunctie,,"Inlaat 
Alles RVS qua materiaal.
Min hoogte is -1,37
Max hoogte is -0,84
Breedte is 0,40",,1,,VH80I8,3,2,,,,,,Waterschap,Onderhoud doorstroomprofiel duiker,Gemeente,Onderhoud van de gehele dam (grondlichaam),31.348309080955,
30,1,,-0.39,-0.42,10.5,0.4,3,,,,,met terugslagklep,,,,,,1,,DV.5.194-D2,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,10.5195234139339,
31,1,,,,7.5,0.6,3,,,,1930,zie memo veld,,,,"Afsluitmiddel    = Schuif TBS
Materiaalsoort = Aluminium en kunstof",,1,,AD.00-D66,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.50019226382382,
32,1,,4.39,4.39,4.89,0.3,20,4,4,,,,,Dam met duiker en inlaat,,"Inlaat Mat. RVS
Breed 0,40
Min stuw is 4,352
Max stuw is 5,110",,1,,D740811,3,2,,,,,,Aangeland,Geheel onderhoud,,,4.89351224687981,
33,1,,11.83,11.83,9.4,0.3,20,4,4,,2022,,,Dam met duiker en inlaat,,"RVS inlaat  Br.0,40 Min.11,762 Max. 12,354",,2,,SM020I1,3,2,,,,,,Waterschap,Geheel onderhoud,,,9.39656588101463,
34,99,,,,11.2,,98,,,,,,,,,,,1,,MB.115.19-D209,3,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,11.1726515328465,
35,1,,10.23,10.23,17.24,0.5,3,3,4,,2020,,,Inlaat Hellingwijk,4,"Inlaten
Noordkant
Br 0,80 Afsluiter
Alles RVS
Zuidkant
Br 0,50 Afsluiter
Alles RVS",,1,,10303I,3,1,,,,,,Waterschap,Geheel onderhoud,,,17.0911649334387,
36,2,,11.99,11.99,0.2,0.5,28,,4,,2020,,,Inlaat Timmerswijk,,"Inlaat
Hoofd is Beton en de rest is RVS
Min. 11,872 (Weet niet of deze wel goed is. Misschien dat de peilbeheerder hier naar gaat kijken.)
Max. 11,992",Inlaat Timmerswijk,1,,Inlaat Timmerswijk,3,2,,,,,,Waterschap,Geheel onderhoud,,,0.553890033420339,
37,1,,11.26,11.02,28.2,0.7,3,,,,,,,,,,,1,,D740814,3,,,,,,,Waterschap,Gewoon en buitengewoon,Aangeland,Gewoon en buitengewoon en constructie,28.0948843530855,
38,1,,6.55,6.63,74,0.4,20,1,,,,Beduikerd.,,Dam met duiker en inlaat,4,,OD4-12_A_2,1,,OD4-12_A_2,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,90.030226130308,
39,1,,-1.03,-1.03,13,0.5,3,,,,,,,,,,,1,,MB.195-D2,3,2,,,2,,,Waterschap,Bediening afsluiter,Gemeente,Onderhoud hoofdconstructie,13.4994679977421,
40,1,,10.2,10.18,9.88,0.3,3,2,4,,2020,,,Weg met duiker en 2 inlaatschuiven,4,"Inlaatschuif kant Drentsche Hoofdvaart
Schuifafsluiter type PRA-G ∅300 mm,
Min. 10,20
Max. 10,50
Materiaal RVS
Inlaatschuif kant Wijk Kloosterveen
Schuifafsluiter type PRA-M ∅600mm,
Min 9,56
Max 10,16
Materiaal RVS",,1,,D748491,3,2,,,,,,Waterschap,Onderhoud doorstroomprofiel duiker,Gemeente,Onderhoud van de gehele dam (grondlichaam),9.88200161855526,
41,2,,,,,,28,3,,,,,,Inlaat De Schans,,,,1,,10046I,3,,,,,,,Waterschap,Geheel onderhoud,,,27.1778698637129,
42,1,,-1.1,-1.1,6.85,0.4,20,,,,,,,,4,,,1,,10556I,3,,,,,,,Waterschap,Geheel onderhoud,,,6.84993951624482,
43,1,,-1.34,-1.92,13.3,0.3,6,,4,,,,,Inlaatleiding Tussen De Diepen,,,,1,,10388I,3,,,,,,,Waterschap,Geheel onderhoud,,,13.3321229899085,
44,1,,-1.14,-1.14,7,0.3,3,,,,1969,zie memo veld,,,,"geen peilgrens

Afsluitmiddel   = Sollie Schuif
Materiaalsoort = Staal",,1,,KV.140.30-D48,3,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,6.28181588710473,
45,1,,,-0.05,5,0.3,20,,,,1979,zie memo veld,,,,"peilgebied zonder peilgrens

Duiker wordt pas afgesloten bij extreem hoog water anders loopt gebied aan watergang AD.5.28 onder dus staat deze meestal open (iom peilbeheerder J.Rave JosK. 09-12-2010)

Afsluitmiddel   = Sollie Schuif
Materiaalsoort = Staal",,1,,AD.5.28-D67,3,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,4.55236032192505,
46,1,,-1.44,-1.44,15.41,0.3,20,2,4,,,,,Inlaat (gemeente),,"Inlaat
Breed: 0,40
Min. -1,310
Max. -0,18",VH53I1,1,,VH53I1,3,2,,,,,,Gemeente,Geheel onderhoud,,,15.4076744848006,
47,1,,-1.45,-1.45,12.26,0.5,20,2,4,,,,,Dam met duiker met inlaat,,"Inlaat
Breed 0,50
Min. -1,695
Max. -0,307",VH80I9,1,,VH80I9,3,2,,,,,,Gemeente,Geheel onderhoud,,,12.2646954974984,
48,1,,-1,-1,16,0.5,3,,,,,,,,,,,1,,KV.290-D206,3,2,,,2,,,Waterschap,Bediening afsluiter,Waterschap,Gewoon en buitengewoon,17.261327433178,
49,1,,14.22,14.22,11,0.5,3,,,,,,Verlengde Middenraai,Weg met duiker en inlaat,,,MR-02-12_A_4,1,,MR-02-12_A_4,3,2,,,2,,,Waterschap,Onderhoud doorstroomprofiel duiker,Gemeente,Onderhoud hoofdconstructie,15.5909607838485,
50,1,,9.13,9.13,10,1,3,,,,,DH1 204OV-112 Telemetrie,Vorrelveen Noordlake Straat Beilervaart,Weg met duiker en inlaat,,,346 VORRELVEEN (KIN),1,,346 VORRELVEEN (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,14.5256194164697,
51,1,,-1.04,-1.1,9.8,0.4,3,,,,1968,zie memo veld,,,,"Afsluitmiddel   = Schuif
Materiaalsoort = Aluminium",,1,,KV.70.26-D14,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,9.88259929030649,
52,1,,0.34,0.15,19,0.8,3,,4,,,2610I,Inlaat Wapserveense Aa achter Hellinga,Dam met duiker en inlaat in de kade,,,2610I,1,,2610I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,21.1945931770387,
53,1,,-1.41,-1.56,8.35,0.3,13,4,,,,836E,Hillegerspoortweg,Dam met duiker en inlaat,,"Meetspijker
Duiker verlengd tot 15,00 meter in 2012 zie watervergunning 2012-2489",836E,1,,836E,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,21.5646852977011,
54,1,,14.5,14.5,17.2,0.7,3,,4,,2011,2003-2,Westerborkerveld,Weg met duiker met inlaat,,Spoed/Slag 0.6,0337 WESTERBORKERVELD,1,,0337 WESTERBORKERVELD,3,1,,,2,,,Waterschap,Onderhoud doorstroomprofiel duiker,Gemeente,Onderhoud hoofdconstructie,17.1853481116037,
55,1,,,,7.4,0.3,98,,4,,,,,,,,OV.00-D45,1,,OV.00-D45,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.37012904490622,
56,1,,4.39,0,14.7,1.2,3,,,,,,,,,Meetspijker in damwand bij stuw Weth. Petterweg,OV.80.10-DK962,1,,OV.80.10-DK962,3,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Onderhoud hoofdconstructie,14.6920323909479,
57,1,,-1.49,-1.52,5,0.4,13,,4,,2006,838D,IJsselhammerwanden,Dam met duiker en inlaat,,Hoogte op hoek ijzeren staaf. Westkant.,838D,1,,838D,3,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,Aangeland,Onderhoud geheel bij rechter aangeland,4.98102909135359,
58,,,,,,,,,,,,"sloot bodem is +3,816 m NAP",,toekomstige locatie duiker,,,duiker Varsenerdijk,1,,IWK-09-0030,3,2,,,1,,,Onbekend,Onbekend,,,5.98991819567348,
59,2,0.6,-1.37,-1.37,25,0.6,28,2,,,2009,"-0,42 HWZ",Inlaat Lindedijk,861 LINDEDIJK (KIN),,,861 LINDEDIJK (KIN),1,,861 LINDEDIJK (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,2.54556669076722,
60,2,1.5,4.82,5.82,2,1.5,3,4,,,,"Breedte 0,70 Max 5,82 min 4,82   Mat:hout,bet.ijzer",,Inlaat,,,SNELWEG,1,,SNELWEG,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,1.94417196342375,
61,1,,-1.22,-1.22,2,0.3,20,2,,,,,,Spindel inlaat,,Meetspijker.,851D,1,,851D,3,2,,,2,,,Waterschap,Bediening afsluiter,,,15.5164524028896,
62,1,,-1.43,-1.45,2,0.13,20,4,,,,,,Spindel inlaat,,Meetspijker van de inlaat 851D.,851C,1,,851C,3,2,,,2,,,Waterschap,Bediening afsluiter,,,6.100561056638,
63,1,,11,10.7,5,0.4,3,,,,,O.58.8,,Dam met duiker en inlaatwerk,,Niet te vinden. HR,O-58-08_C_12,1,,O-58-08_C_12,3,2,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,13.0433662630344,
64,1,,1.56,1.83,7.6,0.3,20,,4,,,,,Dam met duiker en inlaatwerk,,,O-06_H_34,1,,O-06_H_34,3,2,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.84947742070105,
65,2,4.6,-2.4,-2.4,6.05,3.5,3,,4,,1998,847,Inlaat Stroink 46b,Inlaat bij het gemaal A.F. Stroink,4,Bout in de muur aan de zuidkant van het gebouw. Geen NAP bout.,845 STROINK (KIN),1,,845 STROINK (KIN),3,1,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.04278929660212,
66,1,,12,12.2,1.62,0.5,20,4,4,,2020,OK2 110OV Telemetrie,Oranjekanaal Noordzijde Inlaat Hijken,Weg met duiker en inlaatwerk,4,"Dit is het meetpunt op de stuw O-62-18_B_8.
Naverkenning (Incl. NAP)

Gemeten constructie hoogte inlaat Oranjekanaalzijde 14,1957
Gemeten constructie hoogte inlaat slootkant 13,8158
Materiaal inlaat RVS
Breedte slootzijde inlaat 0,60
Breedte kanaalzijde inlaat 0,50
",312 HIJKEN (KIN),1,2018,312 HIJKEN (KIN),3,1,,,2,,,Waterschap,Onderhoud doorstroomprofiel duiker,Gemeente,Onderhoud hoofdconstructie,16.1523084781487,
67,1,,9.69,9.69,8,0.5,3,,,,,,,Dam met duiker en inlaat,,"Inlaat Rond 0,40 min. 9,628 max. 10,028 Mat. RVS Hout en RVS.",,1,,O-56-06_A_6,3,2,,,2,,,Waterschap,Onderhoud doorstroomprofiel duiker,Aangeland,Onderhoud van de dam rechts (grondlichaam),9.40795256123031,
68,1,,4.28,4.28,11,0.2,20,,,,,Geen schuif meer aanwezig. Funtioneert niet.,201,Dam met duiker en inlaat,,Meetspijker,O-22-02-04_A_2,1,,O-22-02-04_A_2,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,12.3829393961945,
69,1,,8,8,8,0.6,3,4,4,,,O.46.2,173,Dam met duiker en inlaat,,Meetspijker,O-46-02_A_4,1,,O-46-02_A_4,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,9.25157253813486,
70,1,,4.68,4.68,5.6,0.78,3,4,4,,,911A,199,Dam met duiker en inlaat,,,911A,1,,911A,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,5.40337205217514,
71,1,,4.35,4.35,13,0.8,3,,4,,,,203,Dam met duiker en inlaat,,Meetspijker,O-22-08_A_14,1,,O-22-08_A_14,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,11.9509092827668,
72,1,,-1.26,-1.26,2,1.4,3,2,,,2011,in combinatie met 838 Hagenbroek,,838 HAGENBROEK (KIN),,Let op De meetbout van het gemaal is ook het meetpunt van de inlaat HR,838 HAGENBROEK (KIN),1,,838 HAGENBROEK (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,21.6125527075824,
73,2,2,6.45,6.45,6.6,5,22,2,,,2012,847A,inlaat Vollenhoofse dijk,"Brug/inlaat,duiker in Vollenhoofsedijk",,"Meetbout. Hart. Oostkant.

Zit een inlaat aan de zuidoostkant van de historische boog.
Schatting rechthoekig breed 0,40
Geen NAP kunnen meten",847A,1,,847A,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.46569256732933,
74,1,,-1.07,-1.07,25,0.3,20,4,4,,,,,Dam met duiker en inlaat,,bovenkant ijz damwnd (Hoogvns vrt-Meppelrdp) bij trap,D4004,1,,D4004,3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,25.6910971721386,
75,1,,-0.69,-0.67,9.4,0.25,3,4,4,,,816B,Vollenhovenmeer,Waterkering met duiker en inlaat,,"Hoogte op ijzeren constructie.
Zuidkant.",816B,2,,816B,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,9.40569300897859,
76,,,,,8,,,2,,,,827A,Steenwijkerdiep,Dam met duiker en inlaat,,Niet te vinden HR,827A,1,,827A,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.03240747833594,
77,1,,,,12.8,,20,2,,,2012,827B. Door provincie vernieuwd 2012,"Steenwijkerdiep ( t.o.  Voorwijk, De Boer)",Dam met duiker en inlaat,,Niet te vinden HR,827B,1,,827B,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,12.0405203796703,
78,2,,0.14,0.14,2,1,10,,4,,,,,Stuwput met schuif,,"Stuwput

Max. kruin beheer 1.1
Min. kruin beheer 0.48 Legger 1.25",OHV-04-18,1,,OHV-04-18,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,0.898203716483839,
79,1,,10.86,10.86,15,0.5,20,2,4,,2007,2007 ingebruik genomen,inlaat Leemdijk,Dam met duiker en inlaat,,"NAP hoogte is bout aan linkerkant van inlaat.
de inlaat is tevens voorzien van een trap, bovenkant trap is 14.00+NAP",40I,1,,40I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,14.5828747977921,
80,1,,-1.79,-1.84,8,0.5,3,,,,,838C,IJsselhammerwanden (zandweg),Dam met duiker en inlaat,,Bout op inlaat. Noordkant van de inlaten. Dus geen meetbout/meetspijker,838C,1,,838C,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.99006729458662,
81,1,,1.97,1.97,82.3,0.3,20,4,4,,,,,,,"Inlaat
Br 0,40
Constructiehoogte -0,1229
Stuw min -0,1229 ?? bijna ntm HR
stuw max -0,119 ?? bijna ntm HR",,2,,D740812,3,2,,,,,,Waterschap,Geheel onderhoud,,,82.2813229453948,
82,1,,5.55,5.55,2,0.4,3,4,,,,Velt en Vecht VenVRM,Braambergersloot,Inlaatwerk,,"Meetspijker

",BRAAMBERGERSLOOT (KIN),1,,BRAAMBERGERSLOOT (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,0.486199519065639,
83,1,,2.67,2.64,6,0.4,3,4,4,,,,229,Dam met duiker en inlaat,,"Stuw Max 3,536
Stuw Min 2,705
Breedte 0,70",O-06-10_D_12,1,,O-06-10_D_12,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,9.22465665618174,
84,1,,8.65,8.65,13.7,0.5,3,4,4,,,,,957 GRAAFSTRA (KIN),,Meetspijker,957 GRAAFSTRA (KIN),1,,957 GRAAFSTRA (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,13.714066883661,
85,1,,1.61,1.61,18.3,0.4,13,4,4,,,,,568 MESU (KIN),,"Schuif breedte is 0,5",568 MESU (KIN),1,,568 MESU (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,18.2962643436947,
86,2,,1.32,2,2,1,13,,4,,,"Doorbr 1 m, Max. 2,79 Min. 1,48",Eggeweg,Inlaat,,,WA-08-06-10,1,,WA-08-06-10,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,0.539773851655327,
87,1,,-1.32,-1.32,2,0.2,20,4,,,2003,,,Dam met duiker en inlaat,,Meetspijker. In paal aan de oostkant van de uitstroomduiker.,D3400,1,,D3400,3,2,,,2,,,Houder vergunning,Gewoon en buitengewoon en constructie,,,6.13673940923319,
88,2,1,-1.4,-1.4,51,1.5,3,,4,,1990,zie memo veld,,inlaatduiker Stoter,,"Afsluitmiddel    = Dubbele schuif
Materiaalsoort = Aluminium/RVS",Inlaatduiker Stoter,2,,MB.30.124-D95,3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,49.7658649234965,
89,1,,-1.05,-1.02,36.8,0.5,3,2,,,,Meppelzijde zit een put met afsluiter,Steenwijkerstraatweg gemeente Meppel,Weg met duiker en inlaat,,Meetbout ingemeten door RB,D3428,1,,D3428,3,2,,,2,,,Provincie,Gewoon en buitengewoon en constructie,,,40.6186981842009,
90,1,,4.48,4.49,14.45,1,3,,4,,,"Midden-West;Inlaat, krooshek,handm spindelschuif",,,,,,2,,SW.55.97-D1A,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,14.4464037033212,
91,1,,0.23,0.23,36,0.4,4,2,,,,,,Dam met duiker en inlaatwerk,,Meetpunt van de stuw.,R02-06_D_32,1,,R02-06_D_32,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,35.9928453683315,
92,1,,13.13,13.13,8.64,0.4,3,2,4,,2013,schroefspindel met buis rond 400,,Weg met duiker en inlaat,,,MV004I,1,,MV004I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.63658281982253,
93,1,,-1.1,-1.2,27,1.1,13,4,4,,2014,,,Dam met duiker en inlaat,,,VH2101I1,1,,VH2101I1,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Aangeland,Onderhoud van de gehele dam (grondlichaam),28.256099998951,
94,1,,-1.7,-1.7,28.64,0.5,13,3,4,,2010,,,Instroomduiker,,Let op: Meetbout zit op de pelk van het gemaal.,836 POLLESTEEG (KIN),1,,836 POLLESTEEG (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,28.6355734253295,
95,,,,,,,,,,,,,,uitlaat duiker,,"Gewoon onderhoud is Provincie, buitengewoon onderhoud WDOD.",duiker Stouwe,1,,IWK-09-0040,3,2,,,1,,,,,,,5.98949747299766,
96,1,,8.15,7.7,7.5,0.3,20,4,,,,"dkr in mv-rug, spindelafsluiter",,Dam met duiker en inlaat,,"Geen Meetpunt hoogte.
WB21,  knijpconstructie",D3646 (KDU),1,,D3646 (KDU),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.85087167962006,
97,1,,-0.1,-0.1,0.6,0.5,3,1,4,,2009,0.5 per slag,,Inlaat met duiker,,Meetspijker,WA345I3,1,,WA345I3,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.57495068596233,
