OBJECTID,PUIC,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,FYSIEK_VOORKOMEN,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BEHEERDER,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,NAAM,OP_TALUD,Shape__Area,Shape__Length
11,fc3278776f624eeb880c536fc40edde6,2015/05/20 14:50:12+00,L0004,Prorail,bestaand,0,open verharding,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,42.905082,"42,905082",Randstad Noord,RN,Weesp,11,BASIS,Amstelsepoort,BASIS,Randstad Noord,RN,ProRail,161058.971625,505126.4485,52.53375448,5.47650065,13.201399,283,gerealiseerd,,Ja,13.2013985,23.127713685089
12,b073df6262c54061e0530b29a8c0a175,2020/10/09 23:15:51+00,L0004,Prorail,bestaand,0,gesloten verharding,204,,204,204__,Herfte Aansl. - Mariënberg,Hea-Emn,Herfte Aansl. - Emmen ,12.117851,"12,117851",Noord-Oost,NO,Overijssel,34,BASIS,Drenthe,BASIS,Noord-Oost,NO,ProRail,214205.453067,501546.639,52.49840969,6.25907765,2.61271,283,gerealiseerd,,,2.61271,6.62672533058028
13,c09413ea9d924ef284a9756ee69105c9,2020/10/09 23:19:29+00,L0004,Prorail,bestaand,0,gesloten verharding,205,,205,205__,Mariënberg - Almelo,Mrb-Aml,Mariënberg - Almelo ,17.118194,"17,118194",Noord-Oost,NO,Twente,32,BASIS,Twente,BASIS,Noord-Oost,NO,ProRail,240128.352847,487315.5565,52.3671127,6.63713282,1.890396,283,gerealiseerd,,Ja,1.890396,6.37205428982404
14,3b36d4cee156482fa47ac3c51f035b69,2020/10/09 23:19:13+00,L0004,Prorail,bestaand,0,gesloten verharding,205,,205,205__,Mariënberg - Almelo,Mrb-Aml,Mariënberg - Almelo ,7.810255,"7,810255",Noord-Oost,NO,Twente,32,BASIS,Twente,BASIS,Noord-Oost,NO,ProRail,235837.999135,495479.8785,52.44112526,6.57611916,3.368553,283,gerealiseerd,,Ja,3.368553,10.9642756959729
15,f24a4b8cdaa344ae9a1663834c0f7d4b,2015/08/17 08:53:20+00,L0004,Prorail,bestaand,0,gesloten verharding,205,,205,205__,Mariënberg - Almelo,Mrb-Aml,Mariënberg - Almelo ,16.090612,"16,090612",Noord-Oost,NO,Twente,32,BASIS,Twente,BASIS,Noord-Oost,NO,ProRail,239573.409184,488181.3905,52.37497872,6.62920444,11.705936,283,gerealiseerd,,Ja,11.7059365,19.3511240184447
16,b0aaa4476d4b3ecee0530b29a8c06c68,2020/10/09 23:18:37+00,L0004,Prorail,bestaand,1,gesloten verharding,205,,205,205__,Mariënberg - Almelo,Mrb-Aml,Mariënberg - Almelo ,16.813967,"16,813967",Noord-Oost,NO,Twente,32,BASIS,Twente,BASIS,Noord-Oost,NO,ProRail,239972.225521,487578.5975,52.36950053,6.63490746,3.708847,283,gerealiseerd,,,3.7088475,8.57771974643777
17,582fef4353bc4a919fd869a67a0848d7,2022/01/20 11:44:24+00,L0004,Prorail,bestaand,1,open verharding,011,,11,011__,Assen - Haren,Mp-Gn,Meppel - Groningen ,69.551847,"69,551847",Noord-Oost,NO,n.v.t.,,,n.v.t.,BASIS,n.v.t.,,Derden - Overig,238037.2055,575772.695268,53.16222207,6.62875284,0.85957,283,gerealiseerd,,,0.8595695,3.75676950489711
18,9e78ae52f49b4feaa357771cb7f5a403,2018/03/20 02:43:45+00,L0004,Prorail,bestaand,0,gesloten verharding,205,,205,205__,Mariënberg - Almelo,Mrb-Aml,Mariënberg - Almelo ,17.118498,"17,118498",Noord-Oost,NO,Twente,32,BASIS,Twente,BASIS,Noord-Oost,NO,ProRail,240132.884012,487318.6805,52.36714006,6.63720013,3.540599,283,gerealiseerd,,Ja,3.5405985,9.52035466011423
19,73cd40012ec54ae484c99ade34e299b4,2018/03/17 10:49:21+00,L0004,Prorail,bestaand,0,gesloten verharding,205,,205,205__,Mariënberg - Almelo,Mrb-Aml,Mariënberg - Almelo ,16.669703,"16,669703",Noord-Oost,NO,Twente,32,BASIS,Twente,BASIS,Noord-Oost,NO,ProRail,239883.347401,487692.62,52.37053886,6.6336315,4.357845,283,gerealiseerd,,Ja,4.357845,10.1955698712491
20,0b16dd77865d4bbb979d160cb1c885f4,2020/07/10 08:11:13+00,L0004,Prorail,bestaand,0,gesloten verharding,034,,34,034__,Velperbroek Aansl. - Dieren,Ah-Zl,Arnhem - Zwolle ,1.295298,"1,295298",Noord-Oost,NO,Achterhoek,30,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,193146.666,444491.822967,51.98750845,5.94254271,7.600709,283,gerealiseerd,,Ja,7.6007085,11.9818467378386
21,73b7fda308094152a4177a619c5e0f6d,2015/02/11 12:56:56+00,L0004,Prorail,bestaand,0,gesloten verharding,034,,34,034__,Velperbroek Aansl. - Dieren,Ah-Zl,Arnhem - Zwolle ,1.290583,"1,290583",Noord-Oost,NO,Achterhoek,30,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,193150.643,444476.445327,51.98736997,5.94259889,7.151271,283,gerealiseerd,,Ja,7.151271,10.8947622951899
22,8ad6d66861c7481c8aea365401fec5a8,2015/02/11 12:56:56+00,L0004,Prorail,bestaand,0,gesloten verharding,034,,34,034__,Velperbroek Aansl. - Dieren,Ah-Zl,Arnhem - Zwolle ,1.183608,"1,183608",Noord-Oost,NO,Achterhoek,30,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,193060.0305,444420.058961,51.9868694,5.94127355,8.307813,283,gerealiseerd,,Ja,8.3078125,14.026201211286
23,8beac010e998447e9d47777ca220f1e3,2015/02/10 14:17:12+00,L0004,Prorail,bestaand,0,gesloten verharding,033,,33,033__,Dieren - Zutphen,Ah-Zl,Arnhem - Zwolle ,17.299102,"17,299102",Noord-Oost,NO,Achterhoek,30,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,205799.756605,453406.353,52.06661391,6.12805799,1.799317,283,gerealiseerd,,Ja,1.799317,6.40910284102759
24,a987c4dbba0e6bf7e05332a1e90aaab9,2020/07/10 08:07:52+00,L0004,Prorail,bestaand,0,gesloten verharding,033,,33,033__,Dieren - Zutphen,Ah-Zl,Arnhem - Zwolle ,16.886856,"16,886856",Noord-Oost,NO,Achterhoek,30,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,205565.147799,453064.493,52.06356293,6.12458612,2.129025,283,gerealiseerd,,,2.129025,7.32288563163824
25,e797dd348f694bfe9ce1c97fe669181b,2015/03/18 10:18:59+00,L0004,Prorail,bestaand,0,gesloten verharding,609,,609,609__,Zutphen,Ah-Zl,Arnhem - Zwolle ,26.6603,"26,660300",Noord-Oost,NO,IJsselstreek,31,BASIS,Veluwe,BASIS,Noord-Oost,NO,ProRail,209402.4625,461838.095151,52.1420503,6.18194123,3.741251,283,gerealiseerd,,Ja,3.7412505,9.78623868769291
26,4323f5a8c35049d4813453331ee6196c,2021/11/17 13:40:53+00,L0004,Prorail,bestaand,0,gesloten verharding,041,,41,041__,Arnhem - Elst,Ah-Vl,Arnhem - Venlo ,5.622542,"5,622542",Noord-Oost,NO,Maas en Waal,28,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,187000.166376,439739.85,51.94518642,5.85262162,2.114955,283,gerealiseerd,,Nee,2.1149555,6.04106927406715
27,2c8a3668cf8c426590ce3b0e2ee499f5,2015/02/10 14:17:10+00,L0004,Prorail,bestaand,0,gesloten verharding,033,,33,033__,Dieren - Zutphen,Ah-Zl,Arnhem - Zwolle ,15.857463,"15,857463",Noord-Oost,NO,Achterhoek,30,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,204977.965854,452213.923,52.05597176,6.11589949,1.537274,283,gerealiseerd,,Ja,1.5372735,4.96085216572993
28,28ddf4cce4b54c9a8bea675fc2141488,2015/02/11 12:56:56+00,L0004,Prorail,bestaand,0,gesloten verharding,034,,34,034__,Velperbroek Aansl. - Dieren,Ah-Zl,Arnhem - Zwolle ,1.898071,"1,898071",Noord-Oost,NO,Achterhoek,30,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,193615.807246,444874.6455,51.99091674,5.94941531,1.056697,283,gerealiseerd,,Ja,1.056697,4.11585837409993
29,1d6ce43bcf2446c39757c5cd084b6fe8,2016/10/13 10:02:12+00,L0004,Prorail,bestaand,0,gesloten verharding,034,,34,034__,Velperbroek Aansl. - Dieren,Ah-Zl,Arnhem - Zwolle ,1.287606,"1,287606",Noord-Oost,NO,Achterhoek,30,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,193149.9725,444471.876957,51.98732895,5.94258862,6.306366,283,gerealiseerd,,Ja,6.306366,10.2230655908919
30,e0363ee317734a9486200fdcbd2e7821,2020/09/28 08:45:52+00,L0004,Prorail,bestaand,0,gesloten verharding,034,,34,034__,Velperbroek Aansl. - Dieren,Ah-Zl,Arnhem - Zwolle ,1.29027,"1,290270",Noord-Oost,NO,Achterhoek,30,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,193141.352718,444490.861,51.98750017,5.94246526,10.398704,283,gerealiseerd,,Ja,10.3987045,13.0022598543718
31,9d3bdb80e60d46f8a4f7603b03375543,2022/08/31 13:16:47+00,L0004,Prorail,bestaand,0,gesloten verharding,033,,33,033__,Dieren - Zutphen,Ah-Zl,Arnhem - Zwolle ,22.746016,"22,746016",Noord-Oost,NO,Achterhoek,30,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,207710.531913,458466.91,52.11191641,6.15670455,4.004802,283,gerealiseerd,,Ja,4.004802,10.6129052407074
32,ee4d16bb54ff40b2b8f4a0a180d7b0aa,2015/02/02 09:50:30+00,L0004,Prorail,bestaand,0,open verharding,023,,23,023__,Apeldoorn - Deventer,Apd-Dv,Apeldoorn - Deventer ,12.820166,"12,820166",Noord-Oost,NO,IJsselstreek,31,BASIS,Veluwe,BASIS,Noord-Oost,NO,ProRail,206364.484599,473911.6155,52.25084863,6.13939408,6.940305,283,gerealiseerd,,Ja,6.940305,13.7933832687699
33,f575a42563e2433b82dec5bfeccde1d9,2015/03/18 10:18:59+00,L0004,Prorail,bestaand,0,gesloten verharding,609,,609,609__,Zutphen,Ah-Zl,Arnhem - Zwolle ,27.231746,"27,231746",Noord-Oost,NO,IJsselstreek,31,BASIS,Veluwe,BASIS,Noord-Oost,NO,ProRail,209934.187,462051.524761,52.14391584,6.18974269,8.567586,283,gerealiseerd,,Ja,8.5675855,15.4970489633854
34,cf66c9f82ece41a0b439890037a9d908,2015/02/17 15:08:46+00,L0004,Prorail,bestaand,0,open verharding,041,,41,041__,Arnhem - Elst,Ah-Vl,Arnhem - Venlo ,1.73689,"1,736890",Noord-Oost,NO,Maas en Waal,28,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,187481.960205,443527.739,51.97920382,5.85998737,8.289299,283,gerealiseerd,,Ja,8.289299,14.749299047831
35,292f188720614dbe8d4a7d29f536140f,2016/03/09 09:05:39+00,L0004,Prorail,bestaand,0,open verharding,098,,98,098__,Breukelen - Utrecht Centraal,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,31.959873,"31,959873",Randstad Noord,RN,Woerden,14,BASIS,Neerlands Midden,BASIS,Randstad Noord,RN,ProRail,133845.316156,457961.676,52.10948396,5.07839427,9.380983,283,gerealiseerd,,Ja,9.380983,18.8325922314762
36,ec6da83768f54fb7a52775f858688d98,2015/02/10 14:17:08+00,L0004,Prorail,bestaand,0,gesloten verharding,033,,33,033__,Dieren - Zutphen,Ah-Zl,Arnhem - Zwolle ,21.106274,"21,106274",Noord-Oost,NO,Achterhoek,30,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,207232.766528,456889.5905,52.09778581,6.14948855,0.952929,283,gerealiseerd,,Ja,0.9529285,4.1211460804583
37,94bf221112f44f48b9d2b73eba49f4b6,2015/02/10 14:17:09+00,L0004,Prorail,bestaand,0,gesloten verharding,033,,33,033__,Dieren - Zutphen,Ah-Zl,Arnhem - Zwolle ,21.292941,"21,292941",Noord-Oost,NO,Achterhoek,30,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,207272.813132,457071.894,52.09942045,6.15010091,1.242396,283,gerealiseerd,,Ja,1.242396,5.16979047460432
38,169d6ee0c4684f77b7f782670070295b,2015/03/18 10:18:59+00,L0004,Prorail,bestaand,0,gesloten verharding,609,,609,609__,Zutphen,Ah-Zl,Arnhem - Zwolle ,26.661922,"26,661922",Noord-Oost,NO,IJsselstreek,31,BASIS,Veluwe,BASIS,Noord-Oost,NO,ProRail,209411.195,461820.516288,52.14189146,6.18206598,4.322708,283,gerealiseerd,,Ja,4.322708,10.0134597613251
39,ed7e250bda674dd5a162dad1a8d98071,2020/07/10 08:10:46+00,L0004,Prorail,bestaand,0,gesloten verharding,034,,34,034__,Velperbroek Aansl. - Dieren,Ah-Zl,Arnhem - Zwolle ,1.286927,"1,286927",Noord-Oost,NO,Achterhoek,30,BASIS,Gelre,BASIS,Noord-Oost,NO,ProRail,193136.670599,444492.078,51.98751143,5.94239723,11.431288,283,gerealiseerd,,Ja,11.4312885,13.7417385977236
40,faa47db9cbb94b91a5dd9658ffb442ac,2016/02/11 10:16:37+00,L0004,Prorail,bestaand,0,open verharding,023,,23,023__,Apeldoorn - Deventer,Apd-Dv,Apeldoorn - Deventer ,3.809188,"3,809188",Noord-Oost,NO,IJsselstreek,31,BASIS,Veluwe,BASIS,Noord-Oost,NO,ProRail,198234.634747,470429.5875,52.22025259,6.0199018,0.443025,283,gerealiseerd,,Ja,0.443025,2.66517952485857
41,0dbbf0f151fa44b89621a7e427b78252,2015/09/07 13:11:59+00,L0004,Prorail,bestaand,0,open verharding,940,,940,940__,Amersfoort Bokkeduinen,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,43.68507,"43,685070",Randstad Noord,RN,Amersfoort,12,BASIS,Eemland,BASIS,Randstad Noord,RN,ProRail,153027.051981,462788.248,52.15326561,5.35837487,1.041925,283,gerealiseerd,,Nee,1.041925,4.49159149893643
42,b88beda55fa2491884e014f5a1902169,2023/01/04 13:56:28+00,L0004,Prorail,bestaand,0,open verharding,940,,940,940__,Amersfoort Bokkeduinen,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,43.182114,"43,182114",Randstad Noord,RN,Amersfoort,12,BASIS,Eemland,BASIS,Randstad Noord,RN,ProRail,152697.125676,463187.5885,52.15685358,5.35355131,5.820543,283,gerealiseerd,,Ja,5.820543,13.4955578549566
43,2274d36cd91f4f4db4dcc978dd0d9308,2023/01/03 13:01:39+00,L0004,Prorail,bestaand,0,gesloten verharding,940,,940,940__,Amersfoort Bokkeduinen,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,43.181484,"43,181484",Randstad Noord,RN,Amersfoort,12,BASIS,Eemland,BASIS,Randstad Noord,RN,ProRail,152710.479623,463198.016,52.15694736,5.35374638,4.414625,283,gerealiseerd,,Ja,4.414625,11.9931028327477
44,911a8572c2a84e72bf40c7cfad7a6f98,2015/09/09 10:50:12+00,L0004,Prorail,bestaand,0,gesloten verharding,080,,80,080__,Amsterdam Bijlmer - Nieuwersluis=Loenen,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,8.54776,"8,547760",Randstad Noord,RN,Duivendrecht,10,BASIS,Amstelsepoort,BASIS,Randstad Noord,RN,ProRail,126345.95252,478160.5665,52.29068726,4.96721688,3.842449,283,gerealiseerd,,Ja,3.8424485,9.23741607445231
45,52b115ee5349409a86f9d5ba4e685e0a,2015/09/11 08:54:50+00,L0004,Prorail,bestaand,0,gesloten verharding,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,17.834874,"17,834874",Randstad Noord,RN,Haarlem,8,BASIS,Kennemerland,BASIS,Randstad Noord,RN,ProRail,109153.431,478867.526922,52.29587739,4.71514068,15.682361,283,gerealiseerd,,Ja,15.682361,28.6653510712835
46,df95f7b46f94432d9c7a371a180e71f4,2017/01/21 11:29:12+00,L0004,Prorail,bestaand,0,open verharding,523,a,523,523_a,Amsterdam Sloterdijk,Sgra-Asra,Amsterdam Singelgracht Aansl. - Amsterdam Riekerpolder Aansl. ,53.861714,"53,861714",Randstad Noord,RN,Amsterdam,9,BASIS,Amsterdam,BASIS,Randstad Noord,RN,ProRail,117507.2585,487791.031039,52.37670804,4.83659957,5.773795,283,gerealiseerd,,Ja,5.773795,16.5503403589875
47,6a792b49a4104e5cbb3ef6c0efd3eb5c,2015/09/07 13:11:59+00,L0004,Prorail,bestaand,0,open verharding,940,,940,940__,Amersfoort Bokkeduinen,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,43.680404,"43,680404",Randstad Noord,RN,Amersfoort,12,BASIS,Eemland,BASIS,Randstad Noord,RN,ProRail,153018.202418,462779.0365,52.15318279,5.35824561,1.33655,283,gerealiseerd,,Nee,1.33655,4.85457023881636
48,b5a701462299496b9d0120fac03d5fd1,2015/09/11 08:54:49+00,L0004,Prorail,bestaand,0,gesloten verharding,,,,,,,,,,Randstad Noord,RN,Haarlem,8,BASIS,Kennemerland,BASIS,Randstad Noord,RN,ProRail,106761.660555,477543.5245,52.28377392,4.68027152,13.418603,283,gerealiseerd,,Ja,13.4186035,28.5588194766293
49,3c404f37c5d34e7db5eb86549f2658fb,2015/08/26 15:47:50+00,L0004,Prorail,bestaand,0,gesloten verharding,021,,21,021__,Barneveld Noord - Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,84.148416,"84,148416",Noord-Oost,NO,Gelderse Vallei,29,BASIS,Veluwe,BASIS,Noord-Oost,NO,ProRail,191538.959,467075.950709,52.19059616,5.92155969,2.592725,283,gerealiseerd,,Ja,2.592725,6.70969150516674
50,ab16f8c74a8e6508e05332a1e90aa656,2020/07/24 13:31:46+00,L0004,Prorail,bestaand,0,gesloten verharding,211,,211,211__,Barneveld Noord - Ede=Wageningen,Bnn-Ed,Barneveld Noord - Ede=Wageningen ,14.722915,"14,722915",Noord-Oost,NO,Gelderse Vallei,29,BASIS,Veluwe,BASIS,Noord-Oost,NO,ProRail,168877.2485,461364.211355,52.14029543,5.58991847,5.186084,283,gerealiseerd,,,5.186084,9.87015814860985
51,ac9a7ad175514fcae0530b29a8c0022a,2020/08/24 11:47:01+00,L0004,Prorail,bestaand,0,gesloten verharding,523,f,523,523_f,Amsterdam Sloterdijk,Awhv-Ass,Amsterdam Westhaven (gebied) - Amsterdam Sloterdijk ,1.338331,"1,338331",Randstad Noord,RN,Amsterdam,9,BASIS,Amsterdam,BASIS,Randstad Noord,RN,ProRail,117608.859461,489534.7555,52.39238618,4.83789747,9.865875,283,gerealiseerd,,,9.865875,25.1196899587383
52,25428639c6b34335862cc4ec095caa5c,2017/03/27 14:27:49+00,L0004,Prorail,bestaand,0,gesloten verharding,089,,89,089__,Amersfoort - Amersfoort Aansl.,Asd-Zp,Amsterdam Centraal - Zutphen ,45.630868,"45,630868",Randstad Noord,RN,Amersfoort,12,BASIS,Eemland,BASIS,Randstad Noord,RN,ProRail,154822.9665,463512.541033,52.15977896,5.38461634,3.039672,283,gerealiseerd,,Ja,3.039672,7.29632603657677
53,1edafe208ed64cafb0dbdaf010ef4602,2015/08/26 15:47:49+00,L0004,Prorail,bestaand,0,gesloten verharding,021,,21,021__,Barneveld Noord - Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,81.676028,"81,676028",Noord-Oost,NO,Gelderse Vallei,29,BASIS,Veluwe,BASIS,Noord-Oost,NO,ProRail,189124.5835,467255.916467,52.19236824,5.88627063,1.897824,283,gerealiseerd,,Ja,1.8978245,5.93790354751912
54,784f7f0759ee4042a4481b1bee34055c,2015/08/26 15:47:50+00,L0004,Prorail,bestaand,0,gesloten verharding,021,,21,021__,Barneveld Noord - Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,83.538281,"83,538281",Noord-Oost,NO,Gelderse Vallei,29,BASIS,Veluwe,BASIS,Noord-Oost,NO,ProRail,190953.5175,466900.852464,52.18906092,5.91297981,5.678313,283,gerealiseerd,,Ja,5.6783125,14.1835282690244
55,d6475c0b3b4d4d05959f5bf230813247,2015/08/26 15:47:50+00,L0004,Prorail,bestaand,0,gesloten verharding,021,,21,021__,Barneveld Noord - Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,83.002036,"83,002036",Noord-Oost,NO,Gelderse Vallei,29,BASIS,Veluwe,BASIS,Noord-Oost,NO,ProRail,190418.974,466952.328493,52.18955814,5.90516845,5.664015,283,gerealiseerd,,Ja,5.664015,11.7935464082719
56,a21293059c1a2747e05332a1e90a8878,2020/04/14 16:28:19+00,L0004,Prorail,bestaand,0,gesloten verharding,021,,21,021__,Barneveld Noord - Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,84.497825,"84,497825",Noord-Oost,NO,Gelderse Vallei,29,BASIS,Veluwe,BASIS,Noord-Oost,NO,ProRail,191828.9155,467275.398262,52.19236943,5.92582158,3.627161,283,gerealiseerd,,,3.6271605,8.03909170197491
