FID,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2004.137,15-04-2004,,,"LINESTRING (138776 596411, 144392 598004)"
vlieglijnen_kust_2004.138,15-04-2004,,,"LINESTRING (138826 596113, 144423 597700)"
vlieglijnen_kust_2004.139,15-04-2004,,,"LINESTRING (138925 595829, 144508 597413)"
vlieglijnen_kust_2004.140,15-04-2004,,,"LINESTRING (139291 595621, 144597 597126)"
vlieglijnen_kust_2004.141,16-04-2004,,,"LINESTRING (139387 595337, 144693 596842)"
vlieglijnen_kust_2004.142,16-04-2004,,,"LINESTRING (139452 595044, 144765 596550)"
vlieglijnen_kust_2004.143,16-04-2004,,,"LINESTRING (139830 594839, 144810 596251)"
vlieglijnen_kust_2004.144,16-04-2004,,,"LINESTRING (140285 594656, 144974 595986)"
vlieglijnen_kust_2004.145,16-04-2004,,,"LINESTRING (141804 601012, 164304 607393)"
vlieglijnen_kust_2004.146,29-03-2004,,,"LINESTRING (126360 587881, 133637 592082)"
vlieglijnen_kust_2004.147,25-03-2004,,,"LINESTRING (84900 465425, 66352 444583)"
vlieglijnen_kust_2004.148,25-03-2004,,,"LINESTRING (84068 464039, 66582 444390)"
vlieglijnen_kust_2004.149,25-03-2004,,,"LINESTRING (69814 447570, 67438 444900)"
vlieglijnen_kust_2004.150,25-03-2004,,,"LINESTRING (84676 465624, 66126 444780)"
vlieglijnen_kust_2004.151,25-03-2004,,,"LINESTRING (90579 475007, 85652 466240)"
vlieglijnen_kust_2004.152,25-03-2004,,,"LINESTRING (91552 477352, 84578 464942)"
vlieglijnen_kust_2004.153,25-03-2004,,,"LINESTRING (97969 492177, 91021 475403)"
vlieglijnen_kust_2004.154,25-03-2004,,,"LINESTRING (98246 492062, 92822 478967)"
vlieglijnen_kust_2004.155,17-03-2004,,,"LINESTRING (101287 503320, 98191 491765)"
vlieglijnen_kust_2004.156,17-03-2004,,,"LINESTRING (100975 503316, 97876 491748)"
vlieglijnen_kust_2004.157,17-03-2004,,,"LINESTRING (100201 501584, 98436 494996)"
vlieglijnen_kust_2004.158,17-03-2004,,,"LINESTRING (99305 499401, 98298 495641)"
vlieglijnen_kust_2004.159,17-03-2004,,,"LINESTRING (98489 497512, 98246 496605)"
vlieglijnen_kust_2004.160,17-03-2004,,,"LINESTRING (98171 497485, 98019 496917)"
vlieglijnen_kust_2004.161,31-03-2004,,,"LINESTRING (105575 531858, 101696 504262)"
vlieglijnen_kust_2004.162,31-03-2004,,,"LINESTRING (105211 531423, 101186 502785)"
vlieglijnen_kust_2004.163,31-03-2004,,,"LINESTRING (109374 544334, 105760 530846)"
vlieglijnen_kust_2004.164,31-03-2004,,,"LINESTRING (109664 544257, 106472 532346)"
vlieglijnen_kust_2004.165,31-03-2004,,,"LINESTRING (110339 555716, 109209 543611)"
vlieglijnen_kust_2004.166,17-03-2004,,,"LINESTRING (63678 437447, 61312 434400)"
vlieglijnen_kust_2004.167,30-03-2004,,,"LINESTRING (58584 437736, 60356 437002)"
vlieglijnen_kust_2004.168,17-03-2004,,,"LINESTRING (64140 430194, 64140 428917)"
vlieglijnen_kust_2004.169,17-03-2004,,,"LINESTRING (64397 429370, 60862 427104)"
vlieglijnen_kust_2004.170,17-03-2004,,,"LINESTRING (63892 437233, 61519 434178)"
vlieglijnen_kust_2004.171,30-03-2004,,,"LINESTRING (58560 438070, 60330 437338)"
vlieglijnen_kust_2004.172,30-03-2004,,,"LINESTRING (61029 441568, 58727 437661)"
vlieglijnen_kust_2004.173,30-03-2004,,,"LINESTRING (62117 438518, 63856 437084)"
vlieglijnen_kust_2004.174,30-03-2004,,,"LINESTRING (60718 442363, 60918 441079)"
vlieglijnen_kust_2004.175,30-03-2004,,,"LINESTRING (59720 437505, 62448 438488)"
vlieglijnen_kust_2004.176,30-03-2004,,,"LINESTRING (60881 441908, 58453 437786)"
vlieglijnen_kust_2004.177,30-03-2004,,,"LINESTRING (58709 437359, 60474 436628)"
vlieglijnen_kust_2004.178,31-03-2004,,,"LINESTRING (110648 555798, 109513 543643)"
vlieglijnen_kust_2004.179,31-03-2004,,,"LINESTRING (109626 551306, 109300 547812)"
vlieglijnen_kust_2004.180,31-03-2004,,,"LINESTRING (106527 534867, 105436 530794)"
vlieglijnen_kust_2004.181,31-03-2004,,,"LINESTRING (104548 528862, 100863 502646)"
vlieglijnen_kust_2004.182,25-03-2004,,,"LINESTRING (93321 481740, 90187 474173)"
vlieglijnen_kust_2004.183,25-03-2004,,,"LINESTRING (86244 468520, 84353 465154)"
vlieglijnen_kust_2004.184,30-03-2004,,,"LINESTRING (60030 437297, 62758 438281)"
vlieglijnen_kust_2004.185,17-03-2004,,,"LINESTRING (61464 434605, 64450 429602)"
vlieglijnen_kust_2004.186,17-03-2004,,,"LINESTRING (61206 434452, 64193 429449)"
vlieglijnen_kust_2004.187,30-03-2004,,,"LINESTRING (60422 442317, 60669 440723)"
vlieglijnen_kust_2004.188,01-04-2004,,,"LINESTRING (110109 555265, 114650 557008)"
vlieglijnen_kust_2004.189,01-04-2004,,,"LINESTRING (109757 555451, 114567 557297)"
vlieglijnen_kust_2004.190,01-04-2004,,,"LINESTRING (109823 555797, 114338 557531)"
vlieglijnen_kust_2004.191,01-04-2004,,,"LINESTRING (109787 556105, 114327 557848)"
vlieglijnen_kust_2004.192,01-04-2004,,,"LINESTRING (109766 556418, 114307 558162)"
vlieglijnen_kust_2004.193,01-04-2004,,,"LINESTRING (121192 574959, 119223 577933)"
vlieglijnen_kust_2004.194,01-04-2004,,,"LINESTRING (110159 556745, 109251 560786)"
vlieglijnen_kust_2004.195,01-04-2004,,,"LINESTRING (109788 556748, 114003 558366)"
vlieglijnen_kust_2004.196,01-04-2004,,,"LINESTRING (109564 561155, 118511 578099)"
vlieglijnen_kust_2004.197,01-04-2004,,,"LINESTRING (109478 561633, 117064 576002)"
vlieglijnen_kust_2004.198,01-04-2004,,,"LINESTRING (109503 562324, 114959 572658)"
vlieglijnen_kust_2004.199,01-04-2004,,,"LINESTRING (109707 563353, 113494 570526)"
vlieglijnen_kust_2004.200,01-04-2004,,,"LINESTRING (120926 574817, 118789 578046)"
vlieglijnen_kust_2004.201,01-04-2004,,,"LINESTRING (121438 575130, 119659 577818)"
vlieglijnen_kust_2004.202,01-04-2004,,,"LINESTRING (109867 556679, 109086 560151)"
vlieglijnen_kust_2004.203,01-04-2004,,,"LINESTRING (117887 575633, 120327 580254)"
vlieglijnen_kust_2004.204,01-04-2004,,,"LINESTRING (118660 576454, 119415 577884)"
vlieglijnen_kust_2004.205,01-04-2004,,,"LINESTRING (109661 560695, 120099 580464)"
vlieglijnen_kust_2004.206,01-04-2004,,,"LINESTRING (110452 556811, 109326 561821)"
vlieglijnen_kust_2004.207,01-04-2004,,,"LINESTRING (110745 556877, 109539 562240)"
vlieglijnen_kust_2004.208,01-04-2004,,,"LINESTRING (109442 563493, 113229 570666)"
vlieglijnen_kust_2004.209,01-04-2004,,,"LINESTRING (109574 556613, 108794 560085)"
vlieglijnen_kust_2004.210,30-03-2004,,,"LINESTRING (139985.1409999989 589770.688000001, 137149.1409999989 587242)"
vlieglijnen_kust_2004.211,30-03-2004,,,"LINESTRING (139864.5780000016 589980.75, 136690.813000001 587230.188000001)"
vlieglijnen_kust_2004.212,30-03-2004,,,"LINESTRING (139676.0159999989 590192.5, 136616.3280000016 587578.625)"
vlieglijnen_kust_2004.213,30-03-2004,,,"LINESTRING (139331.063000001 590288.625, 136452.0159999989 587842.25)"
vlieglijnen_kust_2004.214,30-03-2004,,,"LINESTRING (139016.2340000011 590414.438000001, 136258.3909999989 588064)"
vlieglijnen_kust_2004.215,30-03-2004,,,"LINESTRING (138721.4840000011 590561.5, 136192.6090000011 588385)"
vlieglijnen_kust_2004.216,30-03-2004,,,"LINESTRING (138360.2340000011 590659.438000001, 136226.9530000016 588738.313000001)"
vlieglijnen_kust_2004.217,30-03-2004,,,"LINESTRING (138054.9530000016 590744.063000001, 136338.9840000011 589335.625)"
