Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;6-ICT
Rocket Software B.V.;;;;3;;;;3
RS Components;1;;1;1;;2;;2
Safety Solutions Consultants;;;;;;1;;1
SBRCURnet Stg Bouwresearch;;;;1;;;;1
Schiphol Telematics;;;;;;6;;6
Schippers IT;;1;;1;;2;;2
Scholten Awater & Partners;7;6;;3;1;4;;7
Seceurtronics Nederland;1;;;;;;;1
SES New Skies Satellites B.V.;;;;;;6;;6
SKF Asset Man Services;;;;;;2;;2
Socia;;;;;;4;;4
Software AG Nederland;;;1;1;;;2;2
SoftwareOne;;;;1;;;;1
Solipsis;;;;2;;;;2
Staples (incl. Advantage, Corporate Express);;;;;;1;;1
Stemmer Imaging B.V.;;;;;;1;;1
Stichting Groennetwerk;;;;;;1;;1
Stipte (vh Scarlet Telecom);;;;;;1;;1
Storage Quality Solutions BV;;;;1;;;;1
Surfmarket (vh surfdiensten);;;;;;4;;4
Surfnet;;;;;;5;;5
Synergy;;;;4;;;;4
Syntro;;;;;;;2;2
Talk & Vision;2;;;;2;;;2
Tapes Mediaproducties;2;;;;;;;2
Tech Repair;1;;;;;;;1
Technical Logistic Solutions;;1;;;;;;1
Technische Unie;1;;;;;;1;1
Technosoft;;;;1;;;;1
Telecats;;;;;;;1;1
Telpoint Benelux B.V.;;1;;;;;;1
Telpress Benelux;;;2;1;;;;2
Teunis Industrietechniek;1;;;;;;;1
The Future Store;2;;;;;;;2
The Game Master B.V.;;;1;;;;;1
Time 4 Gifts;1;;;;;;;1
T-Mobile Netherlands;;;;;;1;;1
Tolenaar Paul Fotografie;2;;;;;;;2
Topdesk;;;;;;1;;1
Trin-iT Software Solutions;1;;;;;;;1
Trotec Laser;;;1;;;;;1
Ultimo Software Solutions;;;;4;;;2;4
Unit 4 Business Software;;;2;2;;1;3;4
United (incl. United4all);3;;;;;;;3
Up Learning (vh Stoas);2;;;2;;;1;3
Valerie Kuypers Fotografie;2;;;;;;;2
Van den Corput All Office B.V.;1;;;;;;;1
Van der Veer Media;;;;;;1;;1
Van Dijk Zakelijk (incl. Selexyz, Donner, Scholtens, Scheltema, Kooyker, de Tille, Gianotte, Broese,...);;;;;;4;;4
Van Doorne Advocaten;;;;;;;4;4
Van Randwijk Paperflow Solutions;;;;;;1;;1
VCD Groep (incl. Automatisering/Business Inteligence/Css);;;;;;;2;2
Vector Eyes;;1;;;;1;;1
Vertimart Consultants;;;;3;;;;3
Vicrea Solutions;;;;2;;;;2
Viteau Watercoolers (incl. Viteau Direct);1;;;;;;;1
VKA Verdonck Klooster & Associates;;;;;;;5;5
Vodafone (incl. Libertel);1;;;1;;1;;1
V-Sign (Video Duplication);2;;;;;;;2
WD-SAT;1;;;;;;;1
Wolters Kluwer (incl. Kluwer);;;;;;;2;2
XS4ALL Internet;;;;1;;1;;1
Z³nd Benelux Beta Services B.V.;;;;;;1;;1
Eindtotaal;8;6;9;8;4;9;7;11
