FID,id,filenaam,links,rechts,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vliegln_krib_waal_2003.23,23,w23,403.7,-483,2003-02-09T00:00:00,,,"LINESTRING (153594.6409999989 424092.6559999995, 151625.9530000016 423743.125)"
vliegln_krib_waal_2003.24,24,w24,426.7,-416.5,2003-02-09T00:00:00,,,"LINESTRING (152148.6559999995 423750.3440000005, 149856.4690000005 426287.688000001)"
vliegln_krib_waal_2003.25,25,w25,433.9,-394.6,2003-02-09T00:00:00,,,"LINESTRING (150164.563000001 426332.875, 144590.1719999984 425308.6559999995)"
vliegln_krib_waal_2003.26,26,w26,469.9,-435,2003-02-09T00:00:00,,,"LINESTRING (148652.313000001 426700.813000001, 142051.311999999 424150.813000001)"
vliegln_krib_waal_2003.27,27,w27,420.3,-431,2003-02-09T00:00:00,,,"LINESTRING (143415.2030000016 424114.688000001, 139900.8440000005 425633.625)"
vliegln_krib_waal_2003.28,28,w28,416.9,-461.9,2003-02-09T00:00:00,,,"LINESTRING (141839.0940000005 425608.4690000005, 136859.4530000016 424998.9059999995)"
vliegln_krib_waal_2003.29,29,w29,429.2,-468,2003-02-09T00:00:00,,,"LINESTRING (138081.4530000016 424366.563000001, 134018.0469999984 427270.125)"
vliegln_krib_waal_2003.30,30,w30a,378.4,-466.9,2003-02-09T00:00:00,,,"LINESTRING (134674.5469999984 426681.6559999995, 132917.2340000011 426028.125)"
vliegln_krib_waal_2003.31,31,w30b,319.5,-729.9,2003-02-09T00:00:00,,,"LINESTRING (133769.375 426268.2190000005, 130340.11699999869 424958.311999999)"
vliegln_krib_waal_2003.32,32,w30c,655.9,-378.7,2003-02-09T00:00:00,,,"LINESTRING (133814.936999999 426607.875, 129537.97700000182 424912.1559999995)"
vliegln_krib_waal_2003.33,33,w31a,417.3,-403.3,2003-02-09T00:00:00,,,"LINESTRING (132186.438000001 425222.063000001, 127464.29699999839 426395.875)"
vliegln_krib_waal_2003.34,34,w31b,412.2,-372.7,2003-02-09T00:00:00,,,"LINESTRING (131419.375 425221.125, 127230.5390000008 426236.563000001)"
vliegln_krib_waal_2003.35,35,w33da,439.2,-427.1,2003-02-09T00:00:00,,,"LINESTRING (200501.5469999984 432834.686999999, 199256.811999999 430836.125)"
vliegln_krib_waal_2003.36,36,w33db,422.8,-412.6,2003-02-09T00:00:00,,,"LINESTRING (200177.4530000016 432374.25, 199238.7659999989 430798.0309999995)"
vliegln_krib_waal_2003.37,37,w34da,452.7,-436.2,2003-02-09T00:00:00,,,"LINESTRING (158793.625 431521.313000001, 157835.4840000011 432768.0940000005)"
vliegln_krib_waal_2003.38,38,w34db,440.7,-455.5,2003-02-09T00:00:00,,,"LINESTRING (159082.313000001 431390.1559999995, 157337.4840000011 433025.125)"
vliegln_krib_waal_2003.39,39,w35db,423.2,-435.8,2003-02-09T00:00:00,,,"LINESTRING (134762.1409999989 425647.563000001, 133923.438000001 428014.5309999995)"
