OBJECTID,GPLIDENT,RAPPORT,OPMERKING,DATUM,GPL_LEGENDA,FIGUURWEERGAVE,RICHTING,GlobalID,SHAPE_Length
13,BC2345,DHV X.0044-01.001 W2654-003,profiel 5,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 3.dwg,,{6A10A720-B4EA-4077-9682-DEA758B7D8DC},0.037754971007355
14,BC2346,DHV X.0044-01.001 W2654-003,profiel 6,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 3.dwg,,{E268D046-F4F7-45D2-823F-96DDE7412D3C},0.0286458632586465
15,BC2347,DHV X.0044-01.001 W2654-004,profiel 7,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 4.dwg,,{679E76AA-47E4-4A6F-8D8A-ECA0527E893E},0.0264786692723204
16,BC2348,DHV X.0044-01.001 W2654-004,profiel 8,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 4.dwg,,{A2826B38-0475-4D4B-B611-C4974B20C733},0.0257542574309598
17,BC2349,DHV X.0044-01.001 W2654-005,profiel 9,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 5.dwg,,{88F1BA95-F933-4D2E-A8BF-16417F11E598},0.026555103734902
18,BC2302, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_2.dwg,,{4CF3EEC3-5011-48EA-ADA9-6781DCEFD052},0.00923581757607204
19,BC2350,DHV X.0044-01.001 W2654-005,profiel 10,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 5.dwg,,{EABCF485-F625-4DAE-9204-5ED2A8E8C26C},0.0320306396125151
20,BC2351,DHV X.0044-01.001 W2654-006,profiel 11,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 6.dwg,,{CF655F5E-9F33-49DA-8FAD-0A0CC523A795},0.0276903405581507
21,BC2352,DHV X.0044-01.001 W2654-006,profiel 12,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 6.dwg,,{20724B18-5ADB-47A5-99B3-A3F87D0A8B3C},0.0257648572381061
22,BC2353,DHV X.0044-01.001 W2654-007,profiel 13,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 7.dwg,,{B0311C2C-3935-4632-886B-D66A499EBBBD},0.029698751692564
23,BC2354,DHV X.0044-01.001 W2654-007,profiel 14,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 7.dwg,,{21088FF6-08E5-4CFE-85AB-EC03C71F0BE1},0.0259851073501825
24,BC2355,DHV X.0044-01.001 W2654-008,profiel 15,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 8.dwg,,{A3F2B115-0891-41C0-8EC2-FA1B727AD7F7},0.0307456001955249
25,BC2303, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_24.dwg,,{973C9FD9-CA04-44E4-AE11-221880E65127},0.00698605683155395
26,BC2304, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\Z_1.dwg,,{C5A41BAA-24E9-4BE2-A998-6151A13E1C52},0.00927665702053906
27,BC2305, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\Z_7.dwg,,{FD8FFF5A-A999-4047-B3A7-D305D43874B0},0.00738336866272322
28,BC2306, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_5.dwg,,{10837E33-49FB-412A-9246-0609C31428CB},0.0089765850741619
29,BC2307, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\Z_6.dwg,,{EEFB93A2-BED5-4E15-9A82-F3DA71329EC9},0.00803333225983106
30,BC2308, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_8.dwg,,{194F51D2-64C6-49B4-9038-B01593F83024},0.00761324943681006
31,BC2309, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_10.dwg,,{287FF8B8-3BD4-43B9-ACED-3E0C9BCD3FEA},0.00705725400083459
32,BC2310, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_17.dwg,,{96795CF2-78BD-4C99-95ED-BF3BCFCDA85C},0.00735858167847306
33,BC2311, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\Z_2.dwg,,{6470742E-41A6-4186-9FC2-4908AED42DC4},0.00890227530512905
34,BC2335,Grondmechanica Delft CO-366050,bij enkele kaart zijn boringen en sonderingen toevoegd door DHV,1997/02/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring09\hass-g6.dwg,,{DDDA1352-DDD8-4FC0-B0FD-077FC7710090},0.0352939685390778
35,BC2336,Grondmechanica Delft CO-366050,bij enkele kaart zijn boringen en sonderingen toevoegd door DHV,1997/02/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring09\hass-g7.dwg,,{9A34BFE1-CC74-415C-AA3F-AB067F0C0984},0.0335754577402122
36,BC2342,DHV X.0044-01.001 W2654-001,profiel 2,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 1.dwg,,{59DCB09E-D875-4E65-AE3B-4662596B686D},0.0358537825151282
37,BC2343,DHV X.0044-01.001 W2654-002,profiel 3,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 2.dwg,,{B3E0B300-3BC8-43FD-9036-6F212C27E64B},0.0345368618773612
38,BC2344,DHV X.0044-01.001 W2654-002,profiel 4,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 2.dwg,,{EE92D4C6-BE05-4BC7-AC2C-8BF8180B223E},0.0225425888909713
39,BC2324, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\SZ_4.dwg,,{22A9D60E-D124-478C-8E66-9DFA6E8B117F},0.00925556948607427
40,BC2325, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\Z_4.dwg,,{C2D283F3-F659-4F70-8823-44A3E7192955},0.00907997250694597
41,BC2326, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\Z_5.dwg,,{77EC1D33-CF95-411C-8051-334B97E7A1DE},0.00874082618973761
42,BC2327, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\SZ_2.dwg,,{28AE04FE-8BDE-48D3-85E6-174B6562A318},0.00750226293074268
43,BC2328, , ,1900/01/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring10\profiel1.dwg,,{894C1837-6313-4C51-A03F-F5ED7E5EEA34},0.190766063037158
44,BC2329, , ,1900/01/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring10\profiel2.dwg,,{941CC8FE-D9A2-400C-9501-9A95F51BF6AB},0.186703533138533
45,BC2330, , ,1900/01/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring25\profiel3.dwg,,{9D011496-5A8F-4A1A-83A1-E4DCA696EC13},0.0806778854490365
46,BC2331,Grondmechanica Delft CO-366050,bij enkele kaart zijn boringen en sonderingen toevoegd door DHV,1997/02/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring09\W2654-G3.dwg,,{6CCD48AE-3438-4B49-B129-7FC77A09C7F1},0.0252874513938989
47,BC2332,Grondmechanica Delft CO-366050,bij enkele kaart zijn boringen en sonderingen toevoegd door DHV,1997/02/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring09\W2654-G2.dwg,,{FCAB00B5-02BB-45FB-BCA0-741363EEDF0D},0.0236265275807443
48,BC2333,Grondmechanica Delft CO-366050,bij enkele kaart zijn boringen en sonderingen toevoegd door DHV,1997/02/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring09\W2654-G4.dwg,,{6E66452D-FA0D-4F99-8046-1F08C5D4B570},0.0266196291115929
49,BC2334,Grondmechanica Delft CO-366050,bij enkele kaart zijn boringen en sonderingen toevoegd door DHV,1997/02/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring09\hass-g5.dwg,,{A7EF2966-971A-4B08-8274-38DBB0B9D4D3},0.0231034327871985
50,BC2290, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\SZ_1.dwg,,{5C40FE24-B9F3-4146-A2A7-9D64EB340E28},0.00776860342548879
51,BC2292, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_13.dwg,,{AA6719FD-9E13-49F5-8A75-4679BB2F7E3A},0.00627349746615039
52,BC2293, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_21.dwg,,{1E6C6C85-3070-4FCC-B8AE-6C7C56B11379},0.00500765250271619
53,BC2294, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_19.dwg,,{13CF0036-4FA8-4889-9A84-D240CEF51EA0},0.00344009002090319
54,BC2295, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_16.dwg,,{97FDC471-337F-431B-9255-6F11B10484A8},0.00877284376486895
55,BC2291, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_3.dwg,,{1F73103E-EB3E-40D4-AD26-5C5F9D216342},0.00900152080078622
56,BC2296, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\SZ_5.dwg,,{A39485C5-E04D-4084-B17A-14D17A7B679F},0.00804509956671047
57,BC2297, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_4.dwg,,{9B20625D-4C08-4110-87CB-4B19A003DB80},0.00950100899977079
58,BC2298, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\SZ_3.dwg,,{93A731AE-4353-45A1-ADD5-286F29C02835},0.00802886177894505
59,BC2299, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_23.dwg,,{77BB87CB-594E-4E4B-84C0-91C839590ABB},0.00690168391190215
60,BC2300, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_1.dwg,,{F5D3E860-27B5-42CB-A273-59DFCE336376},0.009096016750492
61,BC2301, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_25.dwg,,{B7472A64-65E8-4717-B7F0-784BEFE0E7B8},0.00311368586525132
62, ,InpijnB-02p008781/go hwbp ma-zm/JOIN:------,InpijnB-02p008781/go hwbp ma-zm/JOIN:83642,2017/04/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring10\Lengteprofiel_rev01.pdf,,{73CE9022-D6C1-40AA-BE35-296620E8FA58},0.172093777248153
63,BC2337,Grondmechanica Delft CO-366050,bij enkele kaart zijn boringen en sonderingen toevoegd door DHV,1997/02/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring09\hass-g8.dwg,,{9E9D47DD-E299-45EA-98F3-CED137700412},0.0266275149824446
64,BC2338,Grondmechanica Delft CO-366050,bij enkele kaart zijn boringen en sonderingen toevoegd door DHV,1997/02/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring09\W2654-G9.dwg,,{D3F8AE3F-DB43-4BDC-A339-D8E6014E7A60},0.040082452289588
65,BC2339,Grondmechanica Delft CO-366050,bij enkele kaart zijn boringen en sonderingen toevoegd door DHV,1997/02/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring09\W2654-G10.dwg,,{39A5D771-E881-41A9-8EE4-3FBF4ED6CA58},0.0533344622909206
66,BC2340,Grondmechanica Delft CO-366050,bij enkele kaart zijn boringen en sonderingen toevoegd door DHV,1997/02/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring09\W2654-G1.dwg,,{89B6C8D0-EE9B-4102-9BBF-58E53C29BEBA},0.0286451827809774
67,BC2341,DHV X.0044-01.001 W2654-001,profiel 1,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 1.dwg,,{A77F8D85-CAED-4A8C-A333-D974DE9EBE56},0.0319983617156247
68,BC2356,DHV X.0044-01.001 W2654-008,profiel 16,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 8.dwg,,{2C785D31-2FB9-4FEF-B5F8-A718163E3133},0.0318352148420242
69,BC2357,DHV X.0044-01.001 W2654-009,profiel 17,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 9.dwg,,{F792FD72-A48F-49BA-9C92-8148F1106C45},0.0315097739064572
70,BC2358,DHV X.0044-01.001 W2654-009,profiel 18,2006/05/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53a\Blad - 9.dwg,,{0B1F7D2A-BB9D-4245-AF12-B1525A194AE4},0.0108185536106489
71, ,Fugro 10-3 Mastenbroek IJssel 1318-0263-101,Profielen-10-04.4_10-47.4_2,2019/04/15 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring10\1318-0263-101_Profielen-10-04.4_10-47.4_2.pdf,,{D8E424D0-0089-44E8-BC1D-42F8652E2940},0.0452268233955161
72, VN-76180-1,"Wiertsema & Partners, VN-76180-1  JOIN 153028",VN-76180-1,2020/12/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring09\Geotechnisch lengteprofiel Noord.pdf,,{DDAAC1C8-7B1A-4627-9CCA-DF98482A5955},0.115198700163543
73, ,Fugro HWBP Vecht Dalfsen West 1318-0305-000,1318-0305-000_Zuid Bijl Z3 Kruin.pdf,2018/12/31 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring53b\1318-0305-000_Zuid Bijl Z3 Kruin.pdf,,{EBC10D20-B975-48D8-BA28-CEDA70C85581},0.0278210471220131
74, ,R1800737 HWBPstadsdijken Join105962,profiel-92.3-93.6.pdf,2018/07/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring53b\profiel-92.3-93.6.pdf,,{4C8C15CA-CD9E-4B7E-B495-672FDDFE66AB},0.0128460252863277
75, ,Fugro HWBP Vecht Dalfsen West 1318-0305-000,1318-0305-000_Noord-Bijl N3 Kruin.pdf,2018/12/31 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring09\1318-0305-000_Noord-Bijl N3 Kruin.pdf,,{B844C66E-62F7-41F9-8E66-7A1D37E3D4F6},0.0276200678639287
76, ,Fugro HWBP Vecht Dalfsen West 1318-0305-000,1318-0305-000_Zuid Bijl Z2 Kruin.pdf,2018/12/31 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring53b\1318-0305-000_Zuid Bijl Z2 Kruin.pdf,,{BC362E48-78A8-447B-96E2-23B9FE25BE91},0.038652918412209
77, ,Fugro HWBP Vecht Dalfsen West 1318-0305-000,1318-0305-000_Noord-Bijl N2 Kruin.pdf,2018/12/31 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring09\1318-0305-000_Noord-Bijl N2 Kruin.pdf,,{CD801379-0BDE-432F-ACE8-0ED768489AAE},0.0392652595267466
78, ,Fugro HWBP Vecht Dalfsen West 1318-0305-000,1318-0305-000_Zuid Bijl Z4 Kruin.pdf,2018/12/31 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring53b\1318-0305-000_Zuid Bijl Z4 Kruin.pdf,,{F89E9516-DF56-4C2A-BE16-A4B9A1C57517},0.0121238944612066
79, ,R1800737 HWBPstadsdijken Join105962,profiel-48.5-49.3.pdf,2018/07/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring53b\profiel-48.5-49.3.pdf,,{627BA727-4259-449F-A04B-3560AFC225D7},0.0120774790649739
80, ,R1800737 HWBPstadsdijken Join105962,profiel-90.2-92.3.pdf,2018/07/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring53b\profiel-90.2-92.3.pdf,,{B4003679-DBD2-4D0D-9744-4BDC47F1F0A8},0.0222608313958302
81, ,R1800737 HWBPstadsdijken Join105962,profiel-89.7-90.2.pdf,2018/07/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring53b\profiel-89.7-90.2.pdf,,{09CEF359-06C0-4024-83D7-B5C29E19CEA2},0.00666536104164357
82, ,R1800737 HWBPstadsdijken Join105962,profiel-94.2-95.4.pdf,2018/07/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring53b\profiel-94.2-95.4.pdf,,{57BAE3C4-7350-4936-9557-9D1D6D92B904},0.00273918848835349
83, ,R1800737 HWBPstadsdijken Join105962,profiel-47.6-48.3.pdf,2018/07/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring53b\profiel-47.6-48.3.pdf,,{9FB47D58-C27F-477D-97EB-5F9C022500A2},0.0103240385644426
84, ,Fugro HWBP Vecht Dalfsen West 1318-0305-000,1318-0305-000_Noord-Bijl N1 Kruin.pdf,2018/12/31 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring09\1318-0305-000_Noord-Bijl N1 Kruin.pdf,,{BAED3FB8-7A56-48CC-ACA4-D29F796FC3F8},0.0393580249349957
85, ,R1800737 HWBPstadsdijken Join105962,profiel-46.7-47.5.pdf,2018/07/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring53b\profiel-46.7-47.5.pdf,,{CAEC9853-24D2-4080-83F0-6F167F4F7E9E},0.0106007706062474
86, ,Fugro HWBP Vecht Dalfsen West 1318-0305-000,1318-0305-000_Zuid Bijl Z1 Kruin.pdf,2018/12/31 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring53b\1318-0305-000_Zuid Bijl Z1 Kruin.pdf,,{A4BF955A-4244-43D0-B774-6A64B0672474},0.0370682552958639
87,Genemuiden-Hasselt,"MOS R1501350-RH_2, decos HWBP-959",Genemuiden-Hasselt,2015/09/03 00:00:00+00,,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring10\Profiel Genemuiden-Hasselt.pdf,,{F52BE00D-CBC2-4DE6-8ADB-B6AD21A99C59},0.0505459926752744
88,mastenbroek-IJssel,"MOS R1501350-RH_3, decos HWBP-1083",mastenbroek-IJssel,2015/08/13 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring10\Profiel mastenbroek-IJssel.pdf,,{D94F074F-4573-4D3C-8FDE-73D0A0A1CD8D},0.142377435402208
89, ,Mos grondmechanica Ma-Zw JOIN nr 19187,1315-0453-101,2016/03/01 00:00:00+00,,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring10\1315-0453-101 BIJL 2_versie 1.pdf,,{4E3B29B5-1C9C-46B1-B1E9-F954F6203EE1},0.127984469759824
90,6646,02P014234-adv-01 Inpijn&Blokp Join:?,,2019/11/27 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring09\02P014234-GLP01-R2-A1L.pdf,,{044FC128-D295-4111-AB84-F6FA55C15007},0.0175272782873681
91,Stenendijk_kruin,Rap.Geot.Ond.PLOEGAM_FUGRO 1320-176014,Stenendijk_kruin,2021/01/21 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring09\GTLP_Stenendijk_kruin.pdf,,{310FBB65-3FDB-4733-86F2-1FC2EBDE04C9},0.0161534694806878
92, ,Fugro 10-3 Mastenbroek IJssel 1318-0263-101,Profielen-10-09.4_10-04.4,2019/04/15 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring10\1318-0263-101_Profielen-10-09.4_10-04.4.pdf,,{17CB3FC9-1073-47A3-8ACE-B6AC800964BE},0.0668991629266264
93, ,Fugro 10-3 Mastenbroek IJssel 1318-0263-101,Profielen-25-00.0_10-09.4,2019/04/15 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring10\1318-0263-101_Profielen-25-00.0_10-09.4.pdf,,{12898B07-6E65-43A7-9779-BD139D16A9B3},0.058256586415089
94,Stenendijk_buitenteen,Rap.Geot.Ond.PLOEGAM_FUGRO 1320-176014,Stenendijk_buitenteen,2021/01/21 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring09\GTLP_Stenendijk_buitenteen.pdf,,{C51EAB83-2AAF-4CEA-9E47-F778E3C95310},0.0161534418415891
95,Stenendijk_binnenteen,Rap.Geot.Ond.PLOEGAM_FUGRO 1320-176014,Stenendijk_binnenteen,2021/01/21 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring09\GTLP_Stenendijk_binnenteen.pdf,,{0C3C0FE7-B8C4-4BDC-BA0B-2A48E75603BE},0.0161535100637198
96,7605,"Wiertsema & Partners, VN-77812-1",77812-1_Lengteprofiel 020821,2021/04/07 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring25\77812-1_Lengteprofiel 020821.pdf,,{CA3050D8-7D30-4603-A3B5-0BC8BFCB48B1},0.117106237161512
97,VN-76180-1,"Wiertsema & Partners, VN-76180-1  JOIN 153028",VN-76180-1,2020/12/01 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring53b\Geotechnisch lengteprofiel Zuid.pdf,,{C33C0A15-24A0-4B22-8CEA-1F040FEA3018},0.123058821833683
98,VN-76416-1,"Wiertsema & Partners, VN-76416-1",VN-76416-1,2020/12/03 00:00:00+00,99,Y:\GEO\GISProducten\Documenten\Geoprofielen\Keringen\Dijkring53a\76416_Geotechnisch lengteprofiel.pdf,,{3AF0166E-33D5-40CB-A081-B47D8519699D},0.218975440877802
