FID,omschr,voorz_vop,voorz_fop,voorz_vri,rijrtnghrb,rijrtngzij,afbuiging,invent_oms,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
kruispunten_wegvak.22,Kruispunt zonder voorrangsregeling,N,N,N,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor de linker zijstraat (D4),,VOSDONK                        VOSDONK,600115416,2019-02-01T00:00:00,6,060011541620190201,KPK0001073577,I,,POINT (101219.86169999838 396594.4257999994)
kruispunten_wegvak.23,T-kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,L,MIDDENVLIE,600121101,2021-04-01T00:00:00,147,060012110120210401,KPK0001068940,I,,POINT (114852.86630000174 547584.9386)
kruispunten_wegvak.24,T-kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,L,MIDDENVLIE,229495011,2021-07-01T00:00:00,9,022949501120210701,KPK0001068940,I,,POINT (114835.36809999868 547575.6829000004)
kruispunten_wegvak.25,Pseudo T-kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,REGULIERSLAAN,220430055,2021-04-01T00:00:00,15,022043005520210401,KPK0001075395,I,,POINT (110239.32050000131 515040.4807999991)
kruispunten_wegvak.26,Pseudo T-kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,REGULIERSLAAN,600446179,2021-08-01T00:00:00,843,060044617920210801,KPK0001075395,I,,POINT (110218.98589999974 515036.1926999986)
kruispunten_wegvak.27,Kruispunt met voorrangsregeling,N,N,N,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,GADERINGVIADUCT,170264033,2021-04-01T00:00:00,23,017026403320210401,KPK0001090131,I,,POINT (85321.06689999998 432266.4283000007)
kruispunten_wegvak.28,Kruispunt met voorrangsregeling,N,N,N,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,N492,179262025,2019-11-01T00:00:00,37,017926202520191101,KPK0001090143,I,,POINT (89955.50450000167 431314.41310000047)
kruispunten_wegvak.29,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,NIEUWEWEG,600101061,2019-02-01T00:00:00,26,060010106120190201,KPK0000891746,I,,POINT (70281.67159999907 431059.78599999845)
kruispunten_wegvak.30,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,ZWARTEDIJK=N496                NOORDDIJK,600101059,2019-02-01T00:00:00,22,060010105920190201,KPK0000891747,I,,POINT (67678.4171999991 430606.5416000001)
kruispunten_wegvak.31,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,NIEUWEWEG,140262015,2014-11-01T00:00:00,2,014026201520141101,KPK0000891749,I,,POINT (70291.87829999998 431025.09479999915)
kruispunten_wegvak.32,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,ZWARTEDIJK=N496                NOORDDIJK,135261022,2014-11-01T00:00:00,7,013526102220141101,KPK0000891750,I,,POINT (67680.79500000179 430572.6015999988)
kruispunten_wegvak.33,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,OMMERWEG (N34),465415014,2021-06-01T00:00:00,29,046541501420210601,KPK0001014912,I,,POINT (232969.31329999864 508019.5329999998)
kruispunten_wegvak.34,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,OMMERWEG (N34),600152025,2021-07-01T00:00:00,25,060015202520210701,KPK0001014913,I,,POINT (232927.94460000098 507998.8156000003)
kruispunten_wegvak.35,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,MAURITSFORT,85138056,2021-12-01T00:00:00,0,008513805620211201,KPK0001015296,I,,POINT (42873.91600000113 369416.493999999)
kruispunten_wegvak.36,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,MAURITSFORT,85138057,2021-12-01T00:00:00,21,008513805720211201,KPK0001015296,I,,POINT (42873.91600000113 369416.493999999)
kruispunten_wegvak.37,Kruispunt zonder voorrangsregeling,N,N,N,Rechtdoor met linksaf toegestaan (rechtsaf verbod) voor de rechter hoofdrijbaan (D6L),Rechtdoor met rechtsaf toegestaan en keerverbod voor beide zijstraten (D6R + F7),,RW059 vbw 42 d Heusden,600127944,2021-08-01T00:00:00,2,060012794420210801,KPK0001057067,I,,POINT (139532.50290000066 412263.29729999974)
kruispunten_wegvak.38,Pseudo T-kruispunt met een linksafvak in de hoofdrijbaan,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,VERBINDINGSWEG,245490022,2014-11-01T00:00:00,162,024549002220141101,KPK0001071523,I,,POINT (122752.0337000005 545159.5280000009)
kruispunten_wegvak.39,Pseudo rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,KONINGSWEG,249491025,2014-11-01T00:00:00,24,024949102520141101,KPK0001071524,I,,POINT (124743.11639999971 545702.8610999994)
kruispunten_wegvak.40,Pseudo rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,KONINGSWEG,600124857,2019-02-01T00:00:00,15,060012485720190201,KPK0001071525,I,,POINT (124728.36740000173 545733.2520000003)
kruispunten_wegvak.41,Rotonde,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,ELFT,254493029,2014-11-01T00:00:00,18,025449302920141101,KPK0001071526,I,,POINT (127140.19310000166 546747.2967000008)
kruispunten_wegvak.42,Rotonde,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,ELFT,600125712,2019-02-01T00:00:00,13,060012571220190201,KPK0001071527,I,,POINT (127125.73299999908 546773.7265999988)
kruispunten_wegvak.43,Pseudo rotonde,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,GESTERWEG                      ZUID GESTERWEG,261498034,2014-11-01T00:00:00,20,026149803420141101,KPK0001071530,I,,POINT (130811.34319999814 549059.8944999985)
kruispunten_wegvak.44,Rotonde,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,LELYWEG                        RIJKSSTRAATWEG,240488025,2020-09-01T00:00:00,13,024048802520200901,KPK0001087280,I,,POINT (120277.84409999847 544474.7168999985)
kruispunten_wegvak.45,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,LELYWEG                        RIJKSSTRAATWEG,600124991,2019-07-01T00:00:00,17,060012499120190701,KPK0001087281,I,,POINT (120289.21070000157 544495.4193000011)
kruispunten_wegvak.46,Pseudo kruispunt met voorrangsregeling,N,N,N,"Rechtdoor, rechtdoor met rechtsaf OF rechtdoor met linksaf toegestaan (D4 + D6R + D6L)",Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,AMSTELDIEPWEG                  RIJKSSTRAATWEG,240488019,2021-08-01T00:00:00,227,024048801920210801,KPK0001087282,I,,POINT (120568.39319999889 544536.6614999995)
kruispunten_wegvak.47,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,PROVINCIALEWEG=N497,130259023,2014-11-01T00:00:00,16,013025902320141101,KPK0001116961,I,,POINT (65504.55070000142 429661.8531999998)
kruispunten_wegvak.48,T-kruispunt met voorrangsregeling,N,N,J,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,N300,600212229,2019-11-01T00:00:00,9,060021222920191101,KPK0000931152,I,,POINT (189850.05260000005 326896.2848000005)
kruispunten_wegvak.49,Kruispunt met voorrangsregeling,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,BOOTSWEG                       TAAIJERSWEG,600455462,2021-07-01T00:00:00,9,060045546220210701,KPK0001105811,I,,POINT (48645.294900000095 412209.4208999984)
kruispunten_wegvak.50,T-kruispunt met een linksafvak in de hoofdrijbaan,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,VERSEPUTSEWEG,99221002,2021-07-01T00:00:00,2,009922100220210701,KPK0001105820,I,,POINT (49917.88089999929 410598.8242000006)
kruispunten_wegvak.51,T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Rechtdoor met linksaf toegestaan (rechtsaf verbod) voor de linker hoofdrijbaan (D6L),,,WEG NAAR DE VAL=N256,110215015,2022-10-01T00:00:00,2,011021501520221001,KPK0000852946,I,,POINT (55084.86490000039 407818.73330000043)
kruispunten_wegvak.52,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,RW036,600150072,2020-08-01T00:00:00,33,060015007220200801,KPK0000897634,I,,POINT (224868.45120000094 507492.9043000005)
kruispunten_wegvak.53,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,RW036,449414020,2021-03-01T00:00:00,7,044941402020210301,KPK0000817325,I,,POINT (224923.28700000048 507472.1640999988)
kruispunten_wegvak.54,Kruispunt met fysieke scheiding van de rijbanen,J,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,KOELMANSSTRAAT,600950224,2022-06-01T00:00:00,18,060095022420220601,KPK0001223505,I,,POINT (209534.28170000017 499175.12689999864)
kruispunten_wegvak.55,Kruispunt met fysieke scheiding van de rijbanen,J,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,KOELMANSSTRAAT,600950253,2022-06-01T00:00:00,0,060095025320220601,KPK0001223506,I,,POINT (209545.1490000002 499183.16800000146)
kruispunten_wegvak.56,Kruispunt met fysieke scheiding van de rijbanen,J,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,NIEUWE DEVENTERWEG             BURGEMEESTER ZUIDWIJKLAAN,429381025,2022-06-01T00:00:00,493,042938102520220601,KPK0001223513,I,,POINT (214961.57059999928 490628.42639999837)
kruispunten_wegvak.57,Kruispunt met voorrangsregeling,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,NIJVERDALSEWEG,433377027,2022-06-01T00:00:00,173,043337702720220601,KPK0001223514,I,,POINT (217125.13320000097 488801.4283999987)
kruispunten_wegvak.58,Kruispunt met voorrangsregeling,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,SLAGBOOM,434377003,2022-06-01T00:00:00,1,043437700320220601,KPK0001223517,I,,POINT (217219.07339999825 488778.0476000011)
kruispunten_wegvak.59,Kruispunt met voorrangsregeling,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,NIJVERDALSEWEG,434377003,2022-06-01T00:00:00,179,043437700320220601,KPK0001223518,I,,POINT (217391.73690000176 488734.7888999991)
kruispunten_wegvak.60,Kruispunt met voorrangsregeling,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,NIJVERDALSEWEG,434377003,2022-06-01T00:00:00,232,043437700320220601,KPK0001223519,I,,POINT (217443.27380000055 488722.44110000134)
kruispunten_wegvak.61,Niet indeelbaar,N,N,N,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,OVERSTEEKPLAATS,434377003,2022-06-01T00:00:00,374,043437700320220601,KPK0001223520,I,,POINT (217583.05380000174 488697.46079999954)
kruispunten_wegvak.62,Kruispunt met fysieke scheiding van de rijbanen,N,J,J,"Rechtdoor, rechtsaf OF linksaf OF beide afslagen toegestaan (D4 + D5r of D4 + D5L  of D4 + D7)",,,MIDDENWEG                      STOLPWEG,600944160,2022-06-01T00:00:00,6,060094416020220601,KPK0001222868,I,,POINT (58994.852699998766 407231.32140000165)
kruispunten_wegvak.63,Kruispunt met fysieke scheiding van de rijbanen,N,J,J,"Rechtdoor, rechtsaf OF linksaf OF beide afslagen toegestaan (D4 + D5r of D4 + D5L  of D4 + D7)",,,MIDDENWEG                      STOLPWEG,600952212,2022-06-01T00:00:00,18,060095221220220601,KPK0001222869,I,,POINT (58993.26110000163 407240.30099999905)
kruispunten_wegvak.64,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,J,J,"Rechtdoor, rechtsaf OF linksaf OF beide afslagen toegestaan (D4 + D5r of D4 + D5L  of D4 + D7)",,,PROVINCIALEWEG=N498            PROVINCIALEWEG,600944485,2022-06-01T00:00:00,26,060094448520220601,KPK0001222875,I,,POINT (79403.81300000101 412901.95699999854)
kruispunten_wegvak.65,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,J,J,"Rechtdoor, rechtsaf OF linksaf OF beide afslagen toegestaan (D4 + D5r of D4 + D5L  of D4 + D7)",,,PROVINCIALEWEG=N498            PROVINCIALEWEG,600952373,2022-06-01T00:00:00,0,060095237320220601,KPK0001222876,I,,POINT (79400 412915)
kruispunten_wegvak.66,Pseudo T-kruispunt met voorrangsregeling,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,PPL.+ CARP.PL.,600123468,2021-10-01T00:00:00,10,060012346820211001,KPK0001223005,I,,POINT (119711.70120000094 410736.9340999983)
kruispunten_wegvak.67,Niet indeelbaar,N,N,N,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,OVERSTEEKPLAATS,600946736,2022-06-01T00:00:00,3,060094673620220601,KPK0001223017,I,,POINT (148708.86789999902 414246.77219999954)
kruispunten_wegvak.68,Pseudo kruispunt zonder voorrangsregeling,N,J,N,Rechtdoor met rechtsaf toegestaan (linksaf verbod) voor de rechter hoofdrijbaan (D6R),Rechtdoor met rechtsaf toegestaan en keerverbod voor beide zijstraten (D6R + F7),,OVERSTEEKPLAATS,600953267,2022-06-01T00:00:00,2,060095326720220601,KPK0001223018,I,,POINT (148702.9074999988 414447.8247999996)
kruispunten_wegvak.69,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,HOOFDWEG                       FINLANDWEG,600093546,2021-01-01T00:00:00,16,060009354620210101,KPK0001223023,I,,POINT (47230.14840000123 368495.2467)
kruispunten_wegvak.70,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,HOOFDWEG                       FINLANDWEG,600944053,2022-06-01T00:00:00,24,060094405320220601,KPK0001223023,I,,POINT (47254.3674999997 368494.628800001)
kruispunten_wegvak.71,Kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,TRACTAATWEG                    GUIDO GEZELLESTRAAT,96138013,2015-02-01T00:00:00,7,009613801320150201,KPK0001223026,I,,POINT (48320.143599998206 369417.7479999997)
kruispunten_wegvak.72,Kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,TRACTAATWEG                    GUIDO GEZELLESTRAAT,96138018,2021-12-01T00:00:00,15,009613801820211201,KPK0001223027,I,,POINT (48310.53559999913 369418.4210000001)
kruispunten_wegvak.73,Kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,TRACTAATWEG                    GUIDO GEZELLESTRAAT,600093447,2019-02-01T00:00:00,15,060009344720190201,KPK0001223027,I,,POINT (48303.393399998546 369432.39339999855)
kruispunten_wegvak.74,Pseudo kruispunt met fysieke scheiding van de rijbanen,J,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,DE BREAUTELAAN                 MARTINILAAN,600953236,2022-06-01T00:00:00,1,060095323620220601,KPK0001223034,I,,POINT (147378.1724999994 406982.4384999983)
kruispunten_wegvak.75,Pseudo kruispunt met fysieke scheiding van de rijbanen,J,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,DE BREAUTELAAN                 MARTINILAAN,600946683,2022-06-01T00:00:00,9,060094668320220601,KPK0001223035,I,,POINT (147381.08989999816 406966.4215000011)
kruispunten_wegvak.76,Pseudo T-kruispunt met voorrangsregeling,N,N,N,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij een zijstraat (D6R + F7)",Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor de rechter zijstraat (D4),,DE VISELAAN,600953235,2022-06-01T00:00:00,65,060095323520220601,KPK0001223036,I,,POINT (147311.36140000075 406937.4349000007)
kruispunten_wegvak.77,Pseudo kruispunt met fysieke scheiding van de rijbanen,J,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,BOSLAAN                        VIJVERBOSWEG,600953234,2022-06-01T00:00:00,13,060095323420220601,KPK0001223043,I,,POINT (147013.67440000176 406733.3964000009)
kruispunten_wegvak.78,Pseudo kruispunt met fysieke scheiding van de rijbanen,J,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,BOSLAAN                        VIJVERBOSWEG,600946681,2022-06-01T00:00:00,2,060094668120220601,KPK0001223048,I,,POINT (147021.69099999964 406721.06799999997)
kruispunten_wegvak.79,Niet indeelbaar,N,N,N,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,OVERSTEEKPLAATS,600954870,2022-09-01T00:00:00,116,060095487020220901,KPK0001223073,I,,POINT (144288.44959999993 404329.3324000016)
kruispunten_wegvak.80,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,KOOLHOFWEG                     MGR.ZWIJSENSTRAAT,600946408,2022-06-01T00:00:00,15,060094640820220601,KPK0001223077,I,,POINT (142453.30959999934 402770.4215000011)
kruispunten_wegvak.81,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,HEUSDENSEBAAN,600953113,2022-06-01T00:00:00,18,060095311320220601,KPK0001223080,I,,POINT (141072.54140000045 401493.5918000005)
kruispunten_wegvak.82,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,HEUSDENSEBAAN,600946407,2022-06-01T00:00:00,3,060094640720220601,KPK0001223081,I,,POINT (141086.10080000013 401482.1416000016)
kruispunten_wegvak.83,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,N,J,Rechtdoor met linksaf toegestaan (rechtsaf verbod) voor de rechter hoofdrijbaan (D6L),Rechtdoor en linksaf toegestaan voor de rechter zijstraat (D6L),,VBW. b (RW 27)                 VBW. a (RW 27),240222024,2022-05-01T00:00:00,170,024022202420220501,KPK0001203468,I,,POINT (120278.1323999986 411062.71559999883)
kruispunten_wegvak.84,Niet indeelbaar,N,N,N,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,OVERSTEEKPLAATS,600940800,2022-06-01T00:00:00,539,060094080020220601,KPK0001223174,I,,POINT (188152.28220000118 378044.0185999982)
kruispunten_wegvak.85,Niet indeelbaar,N,N,N,Rechtdoor met rechtsaf toegestaan (linksaf verbod) voor de rechter hoofdrijbaan (D6R),Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,OVERSTEEKPLAATS,600940799,2022-06-01T00:00:00,0,060094079920220601,KPK0001223175,I,,POINT (188127.29830000177 378223.4776000008)
kruispunten_wegvak.86,T-kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,L,MIDDENVLIE,229495011,2021-07-01T00:00:00,9,022949501120210701,KPK0000736766,I,,POINT (114835.36809999868 547575.6829000004)
kruispunten_wegvak.87,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),,,VBW.c & d =RW.  4,600112340,2020-05-01T00:00:00,15,060011234020200501,KPK0001047820,I,,POINT (94966.29179999977 461623.58359999955)
kruispunten_wegvak.88,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),,,VBW.c & d =RW.  4,189323029,2018-04-01T00:00:00,3,018932302920180401,KPK0001047820,I,,POINT (94967.76920000091 461619.8462000005)
