Handelsnaam anonimiseerd;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Anoniem 1236;;;;;1;;;;;1
Anoniem 1237;;;;;;1;;;;1
Anoniem 1238;;;;1;;;;;;1
Anoniem 1239;1;;;2;2;1;3;;;4
Anoniem 1242;;;;;;;1;;;1
Anoniem 1245;;;;;;;1;;;1
Anoniem 1246;;;;;;1;;;;1
Anoniem 1247;;;;;;;1;;;1
Anoniem 1248;;;;1;;;;;;1
Anoniem 1249;;;1;;;;;;;1
Anoniem 1250;;;;;1;;;;;1
Anoniem 1251;;;;;;2;;;;2
Anoniem 1252;;;;;;;1;;;1
Anoniem 1253;;;;;;;1;;;1
Anoniem 1254;;;;;;1;;;;1
Anoniem 1255;;;1;;;;;;;1
Anoniem 1256;;;1;;;;;;;1
Anoniem 126;;;1;;;;;;;1
Anoniem 1261;;;;;;1;;;;1
Anoniem 1262;;;;;;;1;;;1
Anoniem 1265;;;;;;1;;;;1
Anoniem 127;;;1;;;;;;;1
Anoniem 1272;;;;;;1;;;;1
Anoniem 128;;;;1;;;;;;1
Anoniem 1286;;;;;;;1;;;1
Anoniem 129;;;;1;;;;;;1
Anoniem 1292;;;;;;;1;;;1
Anoniem 1293;;;;;1;3;;;;3
Anoniem 1295;;;;1;;;;;;1
Anoniem 1296;;;;;;;1;;;1
Anoniem 1298;;;;;1;;;;;1
Anoniem 130;;;;;1;;;;;1
Anoniem 1300;;;;;;1;;;;1
Anoniem 1301;;;;;;1;;;;1
Anoniem 1307;;;;;;;1;;;1
Anoniem 1309;;;;1;;;;;;1
Anoniem 1310;;;;1;;;;;;1
Anoniem 1311;;;;;;;1;;;1
Anoniem 1313;;;;;;1;;;;1
Anoniem 1316;;;;;;1;;;;1
Anoniem 1317;;;1;;;;;;;1
Anoniem 1319;;;;1;;;;;;1
Anoniem 1320;;;;1;;;;;;1
Anoniem 1321;;;;;;1;;;;1
Anoniem 1322;;;;;;1;;;;1
Anoniem 1328;;;;;;;1;;;1
Anoniem 133;;;;;;;1;;;1
Anoniem 1332;;;;;;;1;;;1
Anoniem 1334;;;;1;;;;;;1
Anoniem 1338;;;;;;1;;;;1
Anoniem 1340;;;;;;1;;;;1
Anoniem 1341;;;;1;;;;;;1
Anoniem 1345;;;;;;;1;;;1
Anoniem 1349;;;;;1;;;;;1
Anoniem 1352;;;;;;3;;;;3
Anoniem 1355;;;1;;;;;;;1
Anoniem 1356;;;;;;3;;;;3
Anoniem 1357;;;;;;2;;;;2
Anoniem 1358;;;;;;1;;;;1
Anoniem 1359;;;;;;1;;;;1
Anoniem 1360;;;;;;2;;;;2
Anoniem 1361;;;;;;1;;;;1
Anoniem 1366;;;;1;;;;;;1
Anoniem 1367;;;;;;2;;;;2
Anoniem 1368;;;;1;;;;;;1
Anoniem 137;;;;;1;;;;;1
Anoniem 1370;;;;1;;;;;;1
Anoniem 1373;;;1;;;1;;;;1
Anoniem 1375;;;;;;;1;;;1
Anoniem 1377;;;;1;;;;;;1
Anoniem 1378;;;;;;1;;;;1
Anoniem 1380;;;;;;;1;;;1
Anoniem 1381;;;;;;1;;;;1
Anoniem 1386;;;;;;;1;;;1
Anoniem 1387;;;;;1;;;;;1
Anoniem 1388;;;;;;1;;;;1
Anoniem 139;;;;1;;;;;;1
Anoniem 1390;;;;;;1;;;;1
Anoniem 1392;;;;;;2;;;;2
Anoniem 1393;;;;;;1;;;;1
Anoniem 1397;;;;;;1;;;;1
Anoniem 1398;;;1;;;;;;;1
Anoniem 1399;;;;;;2;;;;2
Anoniem 14;;;1;1;;1;;;;1
Anoniem 140;;;;1;;;;;;1
Anoniem 1400;;;;;;1;;;;1
Anoniem 1401;;;;;1;;;;;1
Anoniem 1406;;;;;;1;;;;1
Anoniem 1407;;;;;;1;;;;1
Anoniem 1408;;;1;;;;;;;1
Anoniem 141;;;;1;;;;;;1
Anoniem 1413;;;;1;;;;;;1
Anoniem 1415;;;;;;1;;;;1
Anoniem 1416;;;;1;;;;;;1
Anoniem 1417;;;;;;;1;;;1
Anoniem 1419;;;;;;1;;;;1
Anoniem 142;;;;1;;;;;;1
Anoniem 1421;;;;;;1;;;;1
Anoniem 1422;;;;;;1;;;;1
Anoniem 1424;;;;;;1;;;;1
Anoniem 1428;;;;;;;1;;;1
Anoniem 1429;;;;;;1;;;;1
Anoniem 143;;;;1;;;1;;;1
Anoniem 1430;;;;;;1;;;;1
Anoniem 1432;;;;;;1;;;;1
Anoniem 1436;;;;;1;;;;;1
Anoniem 1437;;;;1;;;;;;1
Anoniem 1439;;;;;;1;;;;1
Anoniem 144;;;;1;;;;;;1
Anoniem 1440;;;;1;;;;;;1
Anoniem 1443;;;;1;;;;;;1
Anoniem 1447;;;;;;1;;;;1
Anoniem 1448;;;;;1;;;;;1
Anoniem 145;;;1;;;;;;;1
Anoniem 1450;;;1;;;;;;;1
Anoniem 1453;;;1;;;;;;;1
Anoniem 1454;;;;;;;1;;;1
Anoniem 1456;;;;;1;;;;;1
Anoniem 1457;;;;;;;1;;;1
Anoniem 1458;;;;;2;;;;;2
Anoniem 1459;;;;;1;;;;;1
Anoniem 146;;;;1;;;;;;1
Anoniem 1461;;;;;1;;;;;1
Anoniem 1464;;;;;;1;;;;1
Anoniem 1465;;;;1;;;;;;1
Anoniem 1467;;;;;;;1;;;1
Anoniem 1468;;;;;1;;;;;1
Anoniem 1469;;;;;;1;1;;;1
Anoniem 147;;;;1;;;;;;1
Anoniem 1470;;;;;;1;;;;1
Anoniem 1472;;;;1;;;;;;1
Anoniem 1473;;;;;;1;;;;1
Anoniem 1477;;;1;;;;;;;1
Anoniem 1479;;;;;;;1;;;1
Anoniem 148;;;;1;;;;;;1
Anoniem 1485;;;;1;;;;;;1
Anoniem 1486;;;;;;1;;;;1
Anoniem 1490;;;;;;;1;;;1
Anoniem 1493;;;;;;1;;;;1
Anoniem 1495;;;;;;1;;;;1
Anoniem 1496;;;;;;1;;;;1
Anoniem 1497;;;;;;;1;;;1
Anoniem 1499;;;;;1;;;;;1
Anoniem 15;;;;;;2;;;;2
Anoniem 150;;;;1;;;;;;1
Anoniem 151;;;;1;;;;;;1
Anoniem 153;;;;;;;1;;;1
Anoniem 155;;;;1;;;1;;;1
Anoniem 157;;;;1;;;;;;1
Anoniem 159;;;;1;;;;;;1
Anoniem 160;1;;;;;;;;;1
Anoniem 161;;;;1;;;;;;1
Anoniem 163;;;;1;;;;;;1
Anoniem 164;;;;1;;;;;;1
Anoniem 166;;;;;1;;;;;1
Anoniem 167;;;;;1;;;;;1
Anoniem 168;;;;;;;1;;;1
Anoniem 169;;;;;;1;;;;1
Anoniem 170;;;;;;;1;;;1
Anoniem 172;;;;;;;1;;;1
Anoniem 173;;;;;;1;;;;1
Anoniem 174;;;;;1;;;;;1
Anoniem 175;;;;1;;;;;;1
Anoniem 176;;;;;;1;;;;1
Anoniem 179;;;;;1;;2;;;2
Anoniem 18;;;;1;;;1;;;1
Anoniem 183;;;;1;;;;;;1
Anoniem 184;;;1;;;1;;;;1
Anoniem 186;;;;;1;;;;;1
Anoniem 19;;;;;;;1;;;1
Anoniem 190;;;;;;1;;;;1
Anoniem 193;;;;;;;1;;;1
Anoniem 194;;;;;;;1;;;1
Anoniem 2;;;;1;;;;;;1
Anoniem 202;1;;;;;;;;;1
Anoniem 211;;;;;;;1;;;1
Anoniem 213;;;;;;1;;;;1
Anoniem 215;;;;;1;;;;;1
Anoniem 217;;;;;;1;;;;1
Anoniem 218;;;;;;;1;;;1
Anoniem 219;;;;;;;1;;;1
Anoniem 220;;;;;;;1;;;1
Anoniem 221;;;;1;;;;;;1
Anoniem 222;;;;;;;1;;;1
Anoniem 223;;;;;;1;;;;1
Anoniem 228;;;;1;;;;;;1
Anoniem 231;;;;;;1;;;;1
Anoniem 232;;;;1;;;;;;1
Anoniem 233;;;1;;;;;;;1
Anoniem 234;;;;1;;;;;;1
Anoniem 237;;;;1;;;;;;1
Anoniem 238;;;;;;1;;;;1
Anoniem 239;;;;1;;;;;;1
Anoniem 24;1;;;1;1;;1;;;1
Anoniem 240;;;;;1;;;;;1
Anoniem 242;;;;;;;1;;;1
Anoniem 245;;;1;;;;;;;1
Anoniem 249;;;;;;1;;;;1
Anoniem 250;;;;;;;1;;;1
Anoniem 251;;;;;;1;;;;1
Anoniem 252;;;;;1;;;;;1
Anoniem 256;;;;;;1;;;;1
Anoniem 26;;;1;;;;;;;1
Anoniem 263;;;;;;1;;;;1
Anoniem 264;;;1;;;;;;;1
Anoniem 265;;;;1;;;;;;1
Anoniem 269;;;;1;;;;;;1
Anoniem 27;;;;;;1;;;;1
Anoniem 270;;;;;;1;;;;1
Anoniem 274;;;;;;;1;;;1
Anoniem 276;;;;;;1;;;;1
Anoniem 28;;;;;;1;;;;1
Anoniem 284;;;;;;;1;;;1
Anoniem 288;;;;;;1;;;;1
Anoniem 289;;;;1;;;;;;1
Anoniem 29;;;;;;1;;;;1
Anoniem 291;;;;;;1;;;;1
Anoniem 296;;;;1;;;;;;1
Anoniem 297;;;;1;;;;;;1
Anoniem 298;;;1;;;;;;;1
Anoniem 30;;;;;;2;;;;2
Anoniem 305;;;;;;1;;;;1
Anoniem 306;;;;1;;;1;;;1
Anoniem 308;;;;;;1;;;;1
Anoniem 313;;;;1;;;;;;1
Anoniem 314;;;;;1;;;;;1
Anoniem 315;;;;1;;;;;;1
Anoniem 318;;;;1;;;;;;1
Anoniem 319;1;;;;;;;;;1
Anoniem 326;;;;1;;;;;;1
Anoniem 327;;;;1;;;;;;1
Anoniem 329;;;;;;1;;;;1
Anoniem 33;;;;;1;;;;;1
Anoniem 334;1;;;;;;;;;1
Anoniem 337;;;;;;;1;;;1
Anoniem 339;;2;;;;;;;;2
Anoniem 34;;;;;;1;;;;1
Anoniem 340;;;;;;1;1;;;1
Anoniem 343;;;;;;1;;;;1
Anoniem 35;;;;;;;1;;;1
Anoniem 358;;;;;;1;1;;;1
Anoniem 359;;;;;;1;;;;1
Anoniem 360;;;;;;;1;;;1
Anoniem 361;;;1;;;;;;;1
Anoniem 362;;;;;;;1;;;1
Anoniem 363;;;;;;;1;;;1
Anoniem 364;;;;;;;1;;;1
Anoniem 365;;;;;;1;;;;1
Anoniem 369;1;;;;;;;;;1
Anoniem 372;;;;1;;;1;;;1
Anoniem 374;;;;;1;;;;;1
Anoniem 377;;;;1;;;;;;1
Anoniem 378;;;;;1;;;;;1
Anoniem 379;;;;1;;;;;;1
Anoniem 38;;;;;1;;;;;1
Anoniem 382;;;;;;1;;;;1
Anoniem 386;;;;;;1;;;;1
Anoniem 387;;;;;;3;;;;3
Anoniem 388;;;1;;;;1;;;1
Anoniem 389;;;;;;2;;;;2
Anoniem 390;;;;;;3;;;;3
Anoniem 393;;;;;;1;;;;1
Anoniem 395;;;;;1;;;;;1
Anoniem 399;;;;;1;;;;;1
Anoniem 4;;;;1;;;;;;1
