FID,soort_kuns,globalid,codebpn,disk_beh_o,districtna,objectnaam,objecttype,risicoaand,materiaal,status,beheersreg,contract,opmerking,info1,info2,info3,info4,info5,stichtings,muteerder,mutatie,geobron,hoofdwater,watersyste,watersys_1,subcat,zijde,km,element,beheerder,eigenaar,onderhoude,monument,et_source,se_anno_cad_data,gdb_geomattr_data,shape
kunstwerk_lijn.11,35,{A863ED39-7908-4E9A-9D26-EA0BAC3A5941},"109A.KM.-.971,655",44B-002-01,WNZ Z,Remmingwerk Binnenhoofd L1 Spieringsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-12-03T00:00:00,Matthias Buijze,Rijn-Maasmonding,Middendeel,109A,KM,-,971.655,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111905.62099999934 421274.80900000036, 111906.40399999917 421274.3590000011, 111931 421266.3979999982)"
kunstwerk_lijn.12,35,{4BBBBBED-2580-4176-9B8B-5FCA64E579D5},"109A.KM.-.971,657",44B-002-01,WNZ Z,Remmingwerk Binnenhoofd R1 Spieringsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-12-03T00:00:00,Matthias Buijze,Rijn-Maasmonding,Middendeel,109A,KM,-,971.657,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111902.83999999985 421267.9290000014, 111909.18800000101 421262.66899999976)"
kunstwerk_lijn.13,35,{80C47D2F-F675-43C5-99E5-13D54B69EFBA},"109A.KM.-.971,658",44B-002-01,WNZ Z,Remmingwerk Buitenhoofd R1 Spieringsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-12-03T00:00:00,Matthias Buijze,Rijn-Maasmonding,Middendeel,109A,KM,-,971.658,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111848.89299999923 421296.9530000016, 111840.43200000003 421299.4829999991, 111822.78599999845 421300.7430000007)"
kunstwerk_lijn.14,35,{84BC611A-6272-4FFF-84E8-80A413E37930},"109A.KM.-.971,659",44B-002-01,WNZ Z,Remmingwerk Buitenhoofd L1 Spieringsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-04-10T00:00:00,Matthias Buijze,Rijn-Maasmonding,Middendeel,109A,KM,-,971.659,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111852.27199999988 421303.36300000176, 111846.0549999997 421308.2179999985)"
kunstwerk_lijn.15,35,{08E3376D-0E83-4C90-911C-3E1D3F96B0C3},"109A.KM.-.971,651",44B-001-01,WNZ Z,Remmingswerk Buitenhoofd Links Biesboschsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-02-20T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109A,KM,-,971.651,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (119778.26000000164 424135.8509999998, 119778.1649999991 424138.51999999955, 119769.22700000182 424171.6490000002)"
kunstwerk_lijn.16,35,{20ABFA72-CBE8-46F8-B980-CB52589032F0},"109C.KM.-.7,02",44B-003-01,WNZ Z,Remmingswerk Binnenhoofd Links Ottersluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,7.02,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111893.96200000122 422884.37999999896, 111891.80900000036 422902.1649999991)"
kunstwerk_lijn.17,35,{1AB564B9-CE8B-4B89-B762-41B174FAFA12},"109C.KM.-.7,021",44B-003-01,WNZ Z,Remmingswerk Binnenhoofd Rechts Ottersluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,7.021,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111880.14400000125 422888.23000000045, 111887.29600000009 422880.88699999824)"
kunstwerk_lijn.18,35,{AA6E6850-DB62-4892-B347-38B54012B6BA},"109C.KM.-.7,022",44B-003-01,WNZ Z,Remmingswerk Kolk L2 Ottersluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,7.022,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111910.95699999854 422860.5489999987, 111908.54699999839 422864.96599999815)"
kunstwerk_lijn.19,35,{DD0B5D05-BFAE-42F2-842B-F438C4FD7975},"109C.KM.-.7,023",44B-003-01,WNZ Z,Remmingswerk Kolk L1 Ottersluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,7.023,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111914.25299999863 422846.70600000024, 111912.74199999869 422856.62000000104)"
kunstwerk_lijn.20,35,{54FA2F5D-BFB6-4494-AFCC-EB774852276D},"109C.KM.-.7,024",44B-003-01,WNZ Z,Remmingswerk Kolk L3 Ottersluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,7.024,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111906.3740000017 422868.09899999946, 111899.05200000107 422875.1479999982)"
kunstwerk_lijn.21,35,{39259631-7A94-4426-9021-AF8E2A1E7392},"109C.KM.-.7,025",44B-003-01,WNZ Z,Remmingswerk Kolk R2 Ottersluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,7.025,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111897.23800000176 422853.0329999998, 111894.94099999964 422857.4149999991)"
kunstwerk_lijn.22,35,{BEF8AE47-6303-4795-861A-5DC92456A750},"109C.KM.-.7,026",44B-003-01,WNZ Z,Remmingswerk Kolk R1 Ottersluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,7.026,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111906.31599999964 422842.6339999996, 111899.29300000146 422849.6020000018)"
kunstwerk_lijn.23,35,{146D13DA-E099-4245-8D88-3C912BFBF707},"109C.KM.-.7,027",44B-003-01,WNZ Z,Remmingswerk Kolk R3 Ottersluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,7.027,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111893.4059999995 422861.2100000009, 111892.11199999973 422871.438000001)"
kunstwerk_lijn.24,35,{11C545B6-22D4-40F3-9602-98217CE81E66},"109C.KM.-.7,028",44B-003-01,WNZ Z,Remmingswerk Buitenhoofd Links Ottersluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,7.028,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111917.36699999869 422838.9239999987, 111918.37900000066 422837.0480000004, 111926.90399999917 422832.0879999995, 111943.37000000104 422818.81799999997, 111959.16600000113 422800.8189999983)"
kunstwerk_lijn.25,35,{F19DD116-0C32-4E1E-B719-10A03BFFCD7A},"109C.KM.-.7,029",44B-003-01,WNZ Z,Remmingswerk Buitenhoofd Rechts Ottersluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,7.029,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111911.80200000107 422823.3139999993, 111911.91600000113 422833.57400000095, 111910.97700000182 422835.31799999997)"
kunstwerk_lijn.26,35,{9D62E090-A5E9-464D-86E8-B6FD15B35B27},"109C.KM.-.9,501",44B-353-01,WNZ Z,Remmingwerk Binnenhoofd Rechts Helsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-05-07T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,9.501,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (113302.0159999989 424778.3979999982, 113297.80600000173 424797.6000000015, 113289.45800000057 424813.5329999998)"
kunstwerk_lijn.27,35,{601DC310-116A-4415-B4CD-D368B11BD39B},"109C.KM.-.9,502",44B-353-01,WNZ Z,Remmingwerk Binnenhoofd Links Helsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-05-07T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,9.502,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (113282.34299999848 424801.19200000167, 113282.66600000113 424812.09099999815)"
kunstwerk_lijn.28,35,{EBE2D656-1DAC-4DD0-A5B8-714105135935},"109C.KM.-.9,507",44B-353-01,WNZ Z,Remmingwerk Kolk R3 Helsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-05-07T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,9.507,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (113279.64400000125 424855.243999999, 113285.47399999946 424846.0249999985)"
kunstwerk_lijn.29,35,{54B8ECB4-E881-4ED5-8E7F-FB7662FFA3B6},"109C.KM.-.9,508",44B-353-01,WNZ Z,Remmingwerk Kolk L3 Helsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-05-07T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,9.508,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (113271.61100000143 424843.1039999984, 113272.81199999899 424853.743999999)"
kunstwerk_lijn.30,35,{90EA78AB-EC54-4553-A616-D533EEDFEB13},"109C.KM.-.9,505",44B-353-01,WNZ Z,Remmingwerk Kolk R2 Helsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-05-07T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,9.505,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (113287.40799999982 424842.2589999996, 113289.0159999989 424835.64499999955)"
kunstwerk_lijn.31,35,{5A01FEA9-531C-4D23-8C96-A001EBCE7165},"109C.KM.-.9,506",44B-353-01,WNZ Z,Remmingwerk Kolk L2 Helsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-05-07T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,9.506,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (113273.43299999833 424832.3909999989, 113272.01700000092 424838.7410000004)"
kunstwerk_lijn.32,35,{39A65015-BB98-4148-B7EB-2028E678F61A},"109C.KM.-.9,503",44B-353-01,WNZ Z,Remmingwerk Kolk R1 Helsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-05-07T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,9.503,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (113288.77899999917 424832.0480000004, 113287.67399999872 424821.0219999999)"
