FID,OVW_STARTDATUM,BOOMKLASSE,BOOMHOOGTE,BUURT,EIGENAAR,FUNCTIE,KROONDIAMETER,PLANTWIJZE,STAMDIAMETER,STANDPLAATS,WIJKNAAM,ID,NEDERLANDSE_NAAM,BOOMSOORT,GEOMETRIE,PLANTJAAR,LONGITUDE,LATITUDE,OVW_MAX_SIZE
Gemeentelijke_bomen.15955489,2023-02-03,Geen vrije uitgroei,6-9 m,Rustenburg-Zuid,Gemeente Amersfoort,Rijkswegen,3,Bomenrij,11-25 cm,Heesters,Rustenburg,306,gewone es cv.,Fraxinus excelsior Westhofs Glorie,POINT (52.16860827342666 5.422395978934797),1994,5.42239572230238,52.1686048721739,0

Gemeentelijke_bomen.15955490,2023-02-03,Geen vrije uitgroei,6-9 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,3,Bomenrij,11-25 cm,Ruw gras,Buitengebied-Oost,161,zomereik,Quercus robur,POINT (52.16294042618344 5.439937905302572),2008,5.43993765556866,52.1629371572123,0

Gemeentelijke_bomen.15955491,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,6,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,162,zomereik,Quercus robur,POINT (52.16294679557806 5.439763992838254),1983,5.43976374379892,52.1629435254974,0

Gemeentelijke_bomen.15955492,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,6,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,163,zomereik,Quercus robur,POINT (52.162952228769576 5.439673385461162),1983,5.43967313674902,52.1629489581015,0

Gemeentelijke_bomen.15955493,2023-02-03,Geen vrije uitgroei,9-12 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,6,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,672,zomereik,Quercus robur,POINT (52.16326983621229 5.4572454802941825),1950,5.45724514531207,52.1632666765462,0

Gemeentelijke_bomen.15955494,2023-02-03,Geen vrije uitgroei,9-12 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,6,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,673,zomereik,Quercus robur,POINT (52.16327156116574 5.457187981244565),1950,5.45718764649755,52.1632684011131,0

Gemeentelijke_bomen.15955495,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,493,zomereik,Quercus robur,POINT (52.16296491711025 5.45219172608781),1950,5.45219141963541,52.1629617258094,0

Gemeentelijke_bomen.15955496,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,494,zomereik,Quercus robur,POINT (52.162968909853205 5.452114660479355),1950,5.45211435431266,52.1629657180351,0

Gemeentelijke_bomen.15955497,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,495,zomereik,Quercus robur,POINT (52.16296763676478 5.452035446017072),1950,5.45203514023617,52.1629644444394,0

