Handelsnaam;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Sticht. Exploit. Schietsportcentrum 'De Helm';;;;2;2
Sticht. Multifunction. Accommodatie B'smilde;;;;1;1
Stichting Parkmanagement Amsterdam Teleport;;;;2;2
Stichting Schietsportcentrum Drechtstreek;;;;3;3
Stichting Sport en Welzijn Ridderkerk;;;;2;2
Stichting Videma;;1;;;1
Stichting Zwembad 'De Zeehond';;;;1;1
Strukton Groningen;1;;;;1
Technicon;1;;;;1
Technische Unie;4;;;;4
Ter Hoeven & Partners B.V.;1;;;;1
Top Movers Nederland B.V.;;;1;;1
TOP Technisch Beheer B.V.;2;;;;2
Transposafe Systems;1;;;;1
Trichtglas B.V.;1;;;;1
TRINK-ABWASSERVERBAND;;2;;;2
Unica Installatietechniek;3;;;;3
Unica Installatietechniek B.V.;1;;;;1
Unica Networks & Services B.V.;1;;;;1
UPC Nederland;;1;;;1
UTS Nederland;1;;5;1;5
V.O.F. De Sleutelkoning;1;;;;1
Vaanster IV B.V.;;1;;;1
van Barneveld B.V.;1;;;;1
van Bon Installaties;1;;;;1
Van den Berg Schild.- en Afwerkingsbedr. B.V.;1;;;;1
Van der Horst Paradise Productions;1;;;;1
Van der Kreeft Vorkheftrucks;1;;;;1
Van der Velden Rioleringsbeh. Eindhoven B.V.;1;;;;1
Van der Velden Rioleringsbeheer Tilburg B.V.;1;;;;1
Van Gansewinkel Milieuserv. Overh.dnst. B.V.;1;;;;1
Van Ginkel Veenendaal B.V.;5;;;;5
Van Ginkel West Nederland B.V.;2;;;;2
Veolia Water Systems Nederland Holding B.V.;;1;;;1
Verhagen Leiden B.V.;1;;;;1
Verheij Groenvoorzieningen B.V.;4;;;;4
Verkuil & Moree BV;5;;;;5
Vette Finance B.V.;1;;;;1
Via-Direct;1;;;;1
VijfB;1;;;;1
Vink Lisse B.V.;1;;;;1
VSK III;1;;;;1
W.Th. Pot en Zoons B.V.;;;5;;5
Werkgeversvereniging FNV-Organisaties;1;;;;1
WEWO EUROPE BV.;1;;;;1
Wiek de Laat Beveiliging B.V.;1;;;;1
Wiersma Verhuizingen;;;1;;1
ZENDESK, INC;;1;;;1
Zetacom B.V.;2;;;;2
Ziggo B.V.;;2;;;2
Ziggo Services B.V.;1;;;;1
Zovia;1;;;;1
Zweegers/TCS B.V.;2;;;;2
annoniem 2;1;;;1;2
annoniem 99;1;;;;1
annoniem 104;;;;2;2
Eindtotaal;8;7;6;7;8
