buurtnummer,buurtnaam,oppervlakte
3801,tweestedenziekenhuis,538732
3802,het zand noord-west,149255
3803,het zand noord-oost,142359
3804,jagersbuurt west,198730
3805,jagersbuurt oost,146602
3806,luchthavenbuurt west,138395
3807,luchthavenbuurt oost,134961
3808,westermarkt,192693
3207,groenewoud midden,198201
3208,groenewoud west,81797
3209,groenewoud zuid,288241
3301,stappegoor noord,705198
3302,zuiderpark,69176
3303,stappegoor zuid,271841
3401,bedrijventerrein het laar,555967
3402,goirleseweg west,74142
3501,de blaak noord-west,512130
3502,de blaak noord-oost,403909
3503,de blaak zuid-west,577246
3504,de blaak zuid-oost,447995
3103,elisabethziekenhuis,216567
3104,leijhoeven,329460
3201,ezelvense akkers,254483
3202,landbouwbuurt,87069
4801,huibeven west,336219
4802,huibeven midden,205424
4803,huibeven oost,295325
4804,huibeven zuid,422098
4901,campenhoef west,138681
4902,campenhoef midden,281286
4903,campenhoef oost,149946
5001,heyhoef,72692
5101,heerevelden west,298703
5102,heerevelden oost,165905
5201,dongewijk noord,472742
5202,dongewijk zuid,90051
5301,de kievit noord-west,200496
5302,de kievit noord-oost,267786
3809,tiendschuur,156254
3810,vijverlaan,145117
3811,station universiteit,112531
3812,bokhamer west,100812
3813,bokhamer,83233
3814,rooi pannen,267613
3901,wandelbos noord-west,289057
3902,kruidenbuurt west,243574
3903,kruidenbuurt oost,268471
3904,kruidenbuurt zuid,158481
3905,kleurenbuurt noord,170229
4001,het wandelbos / drijflanen,938210
4002,auteursbuurt,342875
4003,kleurenbuurt zuid,165723
4101,de oude warande,1462215
4201,stokhasselt noord-west,124115
4202,stokhasselt noord-oost,268325
4203,stokhasselt west,100839
4204,stokhasselt oost,192573
4205,stokhasselt zuid-west,125308
4206,stokhasselt zuid-oost,169996
4207,stokhasselt zuid,309467
4301,heikant noord-west,187792
4302,heikant noord-oost,100374
4303,heikant west,215130
4304,heikant oost,321917
4305,heikant zuid-west,211007
4306,heikant zuid-oost,299604
4307,lijnse hoek west,267371
4308,lijnse hoek oost,167593
4401,quirijnstok noord-west,206190
4402,quirijnstok noord-oost,112526
4403,quirijnstok west,209551
4404,quirijnstok zuid-west,191505
4405,quirijnstok zuid-oost,366639
4406,quirijnstokpark,258071
4501,ind.terrein loven noord,1574039
4502,ind.terrein loven zuid,510446
4601,bosscheweg,397065
4701,moerse dreef,386346
4702,gesworen hoek west,149393
4703,gesworen hoek zuid,143643
4704,gesworen hoek oost,222615
5403,dalemweide,143549
5404,leeuwerik west,287228
5405,leeuwerik midden,258158
5406,leeuwerik oost,271693
5407,leeuwerik zuid,339877
5501,dalem noord i,150987
6101,de katsbogten,978295
6102,tradepark 58 noord,342323
6103,tradepark 58 zuid,235477
6202,buitengebied zuid-oost,912141
6301,wijkevoort,1725964
6302,buitengebied gilzerbaan west,7128837
6303,buitengebied gilzerbaan oost,5183934
6304,amarant piusoord,624007
6401,buitengebied noord-oost,6425451
6402,rugdijk-hazennest,1647499
6403,oostkamer west ,396927
6501,buitengebied noord-west,6376386
6601,bedrijventerrein schepersven,275251
6602,oostkamer oost,631610
5502,dalem noord ii,290154
5503,stadsrand dalem noord,216749
5601,dalem zuid i,294245
5602,dalem zuid ii,436481
5603,stadsrand dalem zuid,269941
5701,koolhoven noord,236726
5702,koolhoven zuid,272153
5703,koolhoven buiten,166243
5704,buitengebied koolhoven,542246
5705,koolhoven oost,435602
5801,witbrant west,287192
5802,witbrant oost,428145
5803,buitengebied witbrant,950665
5901,buitengebied kraaiven west,601226
5902,buitengebied kraaiven oost,740984
5903,bedrijventerrein kraaiven west,185871
5904,bedrijventerrein kraaiven,2056491
5905,bedrijventerrein kraaiven pdv,190965
6001,bedrijventerrein vossenberg west ii,1184638
6002,bedrijventerrein vossenberg west i,1337895
6003,bedrijventerrein vossenberg scheg,779230
6004,bedrijventerrein vossenberg,1945887
6005,bedrijventerrein vossenberg scheg oost,244974
6006,bedrijventerrein vossenberg pdv,130662
6007,bedrijventerrein albion,451881
5303,de kievit zuid-west,226419
5304,de kievit zuid-oost,290481
5401,lange rekken,755513
5402,reeshofweide,334427
6708,buitengebied udenhout zuid-oost,1780511
6709,buitengebied udenhout zuid-west,1135297
6710,buitengebied udenhout noord,12030628
6801,kern biezenmortel,531817
6802,huize assisië ,499930
6803,buitengebied biezenmortel,9299132
6603,buitengebied b-e noord-west,936529
6604,buitengebied b-e noord-oost,1937044
6605,bedrijventerrein rhijnkant,87734
6606,berkel noord,497672
6607,berkelse akkers,148385
6608,ruiven,696154
6609,eikenbosch,407924
6610,koningsoord,313021
6611,rauwbraken,387516
6612,enschot oost,464597
6613,enschot midden,318892
6614,enschotse akkers,96421
6615,bedrijventerrein enschot,248625
6616,enschot west,418885
6617,enschot zuid,573938
6618,buitengebied b-e zuid-west,1028436
6619,buitengebied b-e zuid-oost,628809
6620,buitengebied b-e zuid,1659120
6701,groenstraat,435926
6702,achthoeven,454304
6703,den bogerd,197481
6704,de mortel,215522
6705,de kuil,350271
6706,zeshoeven,776848
6707,bedrijventerrein kreitenmolen,401358
