Instelling; Verleend 
Meppeler Hockey Vereniging; 3.777,07 
Meppeler Korfbalvereniging Mek; 398,54 
Meppeler Lawn Tennis Club MLTC; 1.420,04 
Meppeler Mannenkoor; 1.865,12 
Meppeler Muiters; 620,80 
Meppeler Schaak Vereniging; 338,10 
Meppeler Schaak Vereniging; 320,63 
Meppeler Sport Club MSC; 2.984,95 
Meppeler Sport Club MSC; 350,00 
Meppeler Voetbalvereniging Alc; 3.902,65 
Meppeler Voetbalvereniging Alc; 1.322,40 
Meppeler Zwem- en Polo Club 'D; 58.444,89 
Meppeler Zwem- en Polo Club 'D; 1.980,41 
Meppeler Zwem- en Polo Club 'D; 1.038,13 
Mini Meppel; 2.415,38 
Muziekvereniging Euphonia; 2.861,02 
Nijeveense Tennisclub De Tusse; 115,94 
Nijeveense Volleybal Club; 106,27 
Onderwatersportvereniging Arch; 1.795,98 
Onderwatersportvereniging Arch; 96,62 
Oranjevereniging Nijeveen; 61,89 
Partou Kinderopvang; 11.851,00 
Popkoor The Midges; 1.597,22 
Reddingsbrigade De Dukers Nije; 173,88 
Reddingsbrigade De Dukers Nije; 5.945,10 
Slachtofferhulp Nederland; 4.625,93 
Sonkei Budo Meppel; 1.961,08 
Speel-o-theek De Boemerang; 20.246,64 
Speeltuin- en Buurtvereniging; 1.400,93 
Speeltuinvereniging Jeugdland; 27.340,00 
Speeltuinvereniging Jeugdland; 917,85 
Sport Drenthe; 173.337,92 
Sport Vereniging Nijeveen (S.V; 1.632,54 
Sportclub Hartentroef; 579,69 
Stichting Altiband; 1.721,02 
Stichting Biblionet Drenthe; 10.000,00 
Stichting BIZ Centrum Meppel; 185.000,00 
Stichting Cosis; 67.533,89 
Stichting Cultuurplatform Mepp; 18.048,00 
Stichting Cultuurplatform Mepp; 4.830,75 
Stichting Donderdag Meppeldag; 20.746,00 
Stichting 'Drents Poppenspelfe; 8.834,48 
Stichting Drentse Fiets4daagse; 2.723,00 
Stichting Een Wereld van Vrouw; 4.830,75 
Stichting Euro Jeugd Voetbal M; 3.864,60 
Stichting Event Support Meppel; 5.796,90 
Stichting Jeugdfonds Sport & C; 65.215,00 
Stichting Joods Monument; 3.000,00 
Stichting Joods Monument; 483,08 
Stichting Kijk Je Ogen Uit; 724,61 
Stichting Kindercircus Okidoki; 3.331,50 
Stichting Kinderopvang Zuidwes; 7.407,00 
Stichting Kindsupport; 16.161,50 
Stichting Kleine Nodenhulp; 386,46 
Stichting Lokale Omroep Meppel; 21.081,39 
Stichting Lokale Omroep Meppel; 4.830,75 
Stichting Meppel Event Desk; 75.000,00 
Stichting Meppeler Draaiorgel; 1.014,46 
Stichting Merk Meppel; 48.307,50 
Stichting Nationaal feestcomit; 872,76 
Stichting Natuurbeschermingswa; 241,54 
Stichting Nederlandse Bach Aca; 250,00 
Stichting Ondernemersfonds Mep; 219.862,00 
Stichting Ooievaars Buitenstat; 2.424,57 
Stichting Openbare Bibliotheek; 576.774,74 
Stichting Openbare Bibliotheek; 1.116,00 
Stichting Oud Meppel; 250,00 
Stichting Paardrijden Gehandic; 956,43 
Stichting Popwaarts; 1.449,23 
Stichting Present Meppel; 5.796,90 
Stichting Scala Centrum voor d; 310.286,80 
Stichting Schuldhulp Meppel; 5.797,00 
Stichting Scouting Meppel; 1.400,93 
Stichting Sportgala Meppel; 2.656,91 
Stichting Stedenband Most-Mepp; 4.000,00 
Stichting Toeristische Promoti; 2.500,00 
Stichting Top Spin; 724,61 
Stichting Welzijn Doven Drenth; 154,10 
Stichting Welzijn voor Ouderen; 15.144,40 
Stichting Welzijnswerk Hoogeve; 14.492,00 
Stichting wereldwinkel Meppel; 1.449,23 
Stichting Wijkcentrum de Poele; 39.377,38 
Stichting ZoDus Livecollectief; 1.579,08 
Stichting Zwembad Meppel; 244.368,32 
Tafeltennisvereniging Deto; 160,31 
tafeltennisvereniging Meppel; 277,88 
Telefonische Hulpdienst Tegen; 2.523,58 
The Bake Shop; 966,15 
Thriathlonvereniging TZT 86; 1.569,78 
Toneelvereniging Tavenu; 2.882,78 
Trebokama; 579,69 
Trebokama; 1.477,78 
Vereniging Eigenaren Centrum M; 32.500,00 
Vereniging Popkoor afslag Nije; 1.322,16 
Verslavingszorg Noord Nederlan; 6.702,18 
Voedselbank Zuidwest-Drenthe; 10.627,65 
Vogelwerkgroep Vliegvlug; 241,54 
Volleybalvereniging Meppel AZ; 753,49 
Volonte Acrogym; 772,80 
W. Hogenkamp Beheer bv; 91.732,80 
Welzijn MensenWerk; 1.461.119,27 
Welzijn MensenWerk; 54.000,00 
Werkgroep Arme kant van Meppel; 268,59 
Wijkvereniging Oosterboer; 13.250,00 
YMCA Jeugdwerk; 483,08 
Zorggroep de Noorderboog; 34.608,12 
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
; 5.059.979,73 
