Openbare ruimte;Straatcode        (BAG-id);Huisnr van;Huisnr t/m;Postcode;Wijk;Woonplaats;Type;
Aldenhof;0268300000000269;7003;7023;6537 DZ;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;7101;7171;6537 DT;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;8001;8071;6537 CS;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;8101;8171;6537 CR;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;8200;8270;6537 CP;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;8301;8371;6537 CN;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;8400;8470;6537 CM;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;8500;8570;6537 CL;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;8600;8670;6537 CK;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;9201;9201;6537 EC;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000001584;;;;;Nijmegen;Administratief gebied;
Alfred Hitchcockstraat;0268300000001845;1;91;6515 LB;60 - Ressen;Nijmegen;Weg;
Alfred Hitchcockstraat;0268300000001845;4;96;6515 LB;60 - Ressen;Nijmegen;Weg;
Alicantestraat;0268300000001655;1;55;6663 NN;70 - Lent;Lent;Weg;
Alicantestraat;0268300000001655;10;50;6663 NN;70 - Lent;Lent;Weg;
Alligatorstraat;0268300000000844;1;21;6532 AR;11 - Hazenkamp;Nijmegen;Weg;
Alligatorstraat;0268300000000844;2;8;6532 AT;11 - Hazenkamp;Nijmegen;Weg;
Alligatorstraat;0268300000000844;23;47;6532 AS;11 - Hazenkamp;Nijmegen;Weg;
Alphons Sieberspad;0268300000000297;1;61;6532 AG;10 - Nije Veld;Nijmegen;Weg;
Alphons Sieberspad;0268300000000297;2;62;6532 AG;10 - Nije Veld;Nijmegen;Weg;
Altrade;0268300000001559;;;;;Nijmegen;Administratief gebied;
Amandelboomstraat;0268300000000313;1;37;6523 GK;06 - Hengstdal;Nijmegen;Weg;
Amandelboomstraat;0268300000000313;2;38;6523 GL;06 - Hengstdal;Nijmegen;Weg;
Ambachtsweg;0268300000000845;2;2;6541 DB;25 - Haven- en industrieterrein;Nijmegen;Weg;
Ambachtsweg;0268300000000845;3;59;6541 DA;25 - Haven- en industrieterrein;Nijmegen;Weg;
Ametiststraat;0268300000000846;1;47;6534 WE;16 - Hatert;Nijmegen;Weg;
Ampèrestraat;0268300000000847;;;;;Nijmegen;Weg;
Amstelstraat;0268300000000848;1;11;6541 XG;20 - Biezen;Nijmegen;Weg;
Amstelstraat;0268300000000848;2;28;6541 XH;20 - Biezen;Nijmegen;Weg;
Ananasstraat;0268300000000849;1;21;6543 ZH;22 - Hees;Nijmegen;Weg;
Ananasstraat;0268300000000849;2;24;6543 ZJ;22 - Hees;Nijmegen;Weg;
Ananta Toerstraat;0268300000001782;1;45;6515 ZH;60 - Ressen;Nijmegen;Weg;
Ananta Toerstraat;0268300000001782;4;56;6515 ZH;60 - Ressen;Nijmegen;Weg;
Andalusiëstraat;0268300000001644;2;186;6663 NA;70 - Lent;Lent;Weg;
Andantestraat;0268300000000850;1;37;6544 PH;24 - Neerbosch-Oost;Nijmegen;Weg;
Andantestraat;0268300000000850;2;32;6544 PJ;24 - Neerbosch-Oost;Nijmegen;Weg;
Andrea Palladiohof;0268300000001919;;;;;Lent;Weg;
Anemoonstraat;0268300000000851;1;47;6542 ZE;21 - Wolfskuil;Nijmegen;Weg;
Anemoonstraat;0268300000000851;2;8;6542 ZE;21 - Wolfskuil;Nijmegen;Weg;
Angerensteinstraat;0268300000000852;1;25;6535 JL;16 - Hatert;Nijmegen;Weg;
Angerensteinstraat;0268300000000852;12;54;6535 JP;16 - Hatert;Nijmegen;Weg;
Angerensteinstraat;0268300000000852;27;61;6535 JM;16 - Hatert;Nijmegen;Weg;
Angerensteinstraat;0268300000000852;63;81;6535 JN;16 - Hatert;Nijmegen;Weg;
Anjelierenweg;0268300000000853;27;29;6542 XP;21 - Wolfskuil;Nijmegen;Weg;
Anjelierenweg;0268300000000853;31;47;6542 XR;21 - Wolfskuil;Nijmegen;Weg;
Anjelierenweg;0268300000000853;36;60;6542 XW;21 - Wolfskuil;Nijmegen;Weg;
Anjelierenweg;0268300000000853;62;98;6542 XX;21 - Wolfskuil;Nijmegen;Weg;
Anjelierenweg;0268300000000853;75;75;6542 XS;21 - Wolfskuil;Nijmegen;Weg;
Anjelierenweg;0268300000000853;77;93;6542 XT;21 - Wolfskuil;Nijmegen;Weg;
Anna Bijnsstraat;0268300000000854;1;5;6531 BJ;10 - Nije Veld;Nijmegen;Weg;
Anna Bijnsstraat;0268300000000854;2;6;6531 BJ;10 - Nije Veld;Nijmegen;Weg;
Anna Blamanlaan;0268300000000103;2;36;6532 SP;12 - Goffert;Nijmegen;Weg;
Anna Maria Schuurmanpad;0268300000000005;;;;;Nijmegen;Weg;
Annabellastraat;0268300000000321;1;53;6515 CG;50 - Oosterhout;Nijmegen;Weg;
Annabellastraat;0268300000000321;2;34;6515 CH;50 - Oosterhout;Nijmegen;Weg;
Annie M.G. Schmidthof;0268300000001767;1;25;6515 XB;60 - Ressen;Nijmegen;Weg;
Annie M.G. Schmidthof;0268300000001767;2;26;6515 XB;60 - Ressen;Nijmegen;Weg;
Annie Romein-Verschoorlaan;0268300000000108;1;45;6532 SN;12 - Goffert;Nijmegen;Weg;
Annie Romein-Verschoorlaan;0268300000000108;2;36;6532 SH;12 - Goffert;Nijmegen;Weg;
Annie van Velzenhof;0268300000001914;1;85;6663 RK;70 - Lent;Lent;Weg;
Annie van Velzenhof;0268300000001914;4;26;6663 RK;70 - Lent;Lent;Weg;
Anthonie van Leeuwenhoeklaan;0268300000000482;;;;;Nijmegen;Weg;
Antillenweg;0268300000000855;1;7;6524 TA;03 - Galgenveld;Nijmegen;Weg;
