IMGEO_KLASSE;IMGEO_TYPE_PLUS;IMGEO_OBJECTBEGIN;IMGEO_BRONHOUDER;ID;IMGEO_LOKAALID;X;Y;LONG;LAT
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);64269528;G0518.14280CB6-92B6-0772-E053-530A0B0AF16A;77915.215;451336.83;4.263537596407846;52.04498424002819
Straatmeubilair;abri;2017-03-02;'s-Gravenhage (G);64125588;G0518.90A51F08-9733-4E56-B7CB-5683A6366377;81774.405;454676.734;4.319067274257053;52.07552273287801
Straatmeubilair;abri;2017-03-02;'s-Gravenhage (G);64125595;G0518.86ACE591-89C3-4508-8C61-EE336826B51C;81783.466;454654.1;4.319204280951349;52.075320523894696
Straatmeubilair;abri;2017-02-28;'s-Gravenhage (G);64118619;G0518.9DDE8FE4-C1DC-4FBB-92AB-73580077A9C8;78161.836;450077.517;4.267414958739368;52.033701368667224
Straatmeubilair;abri;2017-09-15;'s-Gravenhage (G);64274860;G0518.0719AD5F-DE45-408C-AC20-8BE7880AF5D8;81268.941;452785.505;4.312103834695196;52.05845958014211
Straatmeubilair;abri;2017-09-15;'s-Gravenhage (G);64274858;G0518.B442CB05-F4E3-4642-99F6-EC0011501C8E;81280.966;452732.722;4.312290539038042;52.057986829458784
Straatmeubilair;abri;2015-08-17;'s-Gravenhage (G);64164848;G0518.1E0A6F12-157D-E183-E053-530A0B0A8A7D;81181.944;456526.725;4.310026152982089;52.0920694963421
Straatmeubilair;abri;2017-04-13;'s-Gravenhage (G);64164583;G0518.28605B34-1659-4FE3-87E1-84CBE8CACD38;81307.6;456296.528;4.311909213095086;52.090017517505146
Straatmeubilair;abri;2017-04-18;'s-Gravenhage (G);64165032;G0518.7C6C5C53-90F3-461C-8FD2-AAFCB9CD21C3;81152.786;456609.131;4.309582891374918;52.0928061684009
Straatmeubilair;abri;2016-12-15;'s-Gravenhage (G);63739917;G0518.F6D32A8B-6E93-421C-8773-33DE2C7E925D;78784.955;454439.29;4.275521155641299;52.072985496799056
Straatmeubilair;abri;2015-10-12;'s-Gravenhage (G);64127035;G0518.22229732-70CC-9258-E053-530A0B0AC95B;85056.059;450788.537;4.367725257049165;52.04100387974675
Straatmeubilair;abri;2015-10-12;'s-Gravenhage (G);64127034;G0518.22229732-956B-9258-E053-530A0B0AC95B;85074.199;450772.643;4.367992869570125;52.04086332860827
Straatmeubilair;abri;2017-02-22;'s-Gravenhage (G);64112671;G0518.2CE16476-EAEE-4E25-ACF4-FA66D3BE6BCE;81768.743;454667.872;4.318986598872785;52.07544234317548
Straatmeubilair;abri;2015-09-14;'s-Gravenhage (G);66382111;G0518.2057AF33-CCFB-C1FE-E053-530A0B0ACA32;83570.125;455058.383;4.345177160584055;52.079187070631946
Straatmeubilair;abri;2014-06-19;'s-Gravenhage (G);64090797;G0518.FCB8EA52-C320-B4FA-E040-2A0A313C2F1B;76849.467;452960.606;4.247633648784444;52.059427298387426
Straatmeubilair;abri;2014-06-19;'s-Gravenhage (G);64090901;G0518.FCB8EA52-E716-B4FA-E040-2A0A313C2F1B;76880.283;452957.22;4.248083689309478;52.05940121658789
Straatmeubilair;abri;2017-02-23;'s-Gravenhage (G);64109421;G0518.A3A1F380-D84B-46F4-B081-A509EB8909C1;78306.84;450903.588;4.26934248343135;52.04114514558132
Straatmeubilair;abri;2017-02-23;'s-Gravenhage (G);64109422;G0518.A733AD02-ADE4-451B-BCAC-14C8067CFCE3;78314.146;450894.634;4.269450963155407;52.041065689261295
Straatmeubilair;abri;2022-02-07;'s-Gravenhage (G);66670321;G0518.AA3000CC-7425-4C24-9384-D35FFB3DC833;79503.422;456943.57;4.285444580113871;52.095589131159926
Straatmeubilair;abri;2017-04-04;'s-Gravenhage (G);64160926;G0518.A1AEDA2D-9720-4CCD-968F-C364E1EEBB7A;81663.847;455582.62;4.317260103364979;52.08364910348434
Straatmeubilair;abri;2017-04-04;'s-Gravenhage (G);64160921;G0518.B6876749-3AD2-493B-9A35-CB30936B027F;81666.76;455595.693;4.317299784852513;52.08376697348863
Straatmeubilair;abri;2017-04-05;'s-Gravenhage (G);64161162;G0518.3BE8AFDE-2052-4B21-8F97-79250E5C956C;81439.405;456028.412;4.313889984642838;52.08762555554256
Straatmeubilair;abri;2015-08-17;'s-Gravenhage (G);64161194;G0518.1E0A6F12-9856-E183-E053-530A0B0A8A7D;81461.84;455960.232;4.314231979112276;52.0870158189263
Straatmeubilair;abri;2017-05-04;'s-Gravenhage (G);64176151;G0518.9D653556-FF11-4D87-9C2F-7D20B961B152;78974.655;457662.86;4.277568934275966;52.10198074825543
Straatmeubilair;abri;2017-05-04;'s-Gravenhage (G);64176187;G0518.826C54E4-D711-4493-9E5B-B92CA1C1A752;79221.058;457315.516;4.281241934954277;52.09889309156026
Straatmeubilair;abri;2017-05-04;'s-Gravenhage (G);64176188;G0518.94864501-E086-41DA-BAB0-ADB372163722;79247.115;457354.245;4.281613548807854;52.099244703886534
Straatmeubilair;abri;2017-05-04;'s-Gravenhage (G);64176731;G0518.7361DC9E-9180-4207-8E44-3B9EFFD62688;78708.166;457246.348;4.273773323257544;52.09820102065426
Straatmeubilair;abri;2015-08-17;'s-Gravenhage (G);64163936;G0518.1E0A6F12-4B72-E183-E053-530A0B0A8A7D;81331.841;456230.823;4.31227706609467;52.089430269587616
Straatmeubilair;abri;2015-08-17;'s-Gravenhage (G);64165166;G0518.1E0A6F11-BE36-E183-E053-530A0B0A8A7D;81022.589;456844.512;4.307632224368878;52.0949040887163
