OBJECTID,PUIC,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,Shape__Area,Shape__Length
46,d65f8f43dab44d778cc9e2afb085908a,2021/05/06 20:11:57+00,L0004,Prorail,bestaand,0,096,a,96,096_a,Amsterdam Muiderpoort - Duivendrecht,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,,,123435.951,483274.401309,52.33648832,4.92408701,139.022,283,gerealiseerd,139.0223505,252.278877595825
47,8630c8c2bb734061937f7ade64b1e5ab,2015/08/04 15:27:54+00,L0004,Prorail,bestaand,0,564,d,564,564_d,Den Haag Binckhorst,Bkh-Gv,Den Haag Binckhorst - Den Haag HS ,,,83044.031825,454367.022,52.07290541,4.33764956,1220.054,283,gerealiseerd,1220.054363,622.53572287025
48,1118f301608944258f827113377d31e7,2015/08/04 15:27:54+00,L0004,Prorail,bestaand,0,564,d,564,564_d,Den Haag Binckhorst,Bkh-Gv,Den Haag Binckhorst - Den Haag HS ,,,83106.861636,454316.0435,52.07245543,4.33857659,1463.4,283,gerealiseerd,1463.400089,870.145944057912
49,d9b2b5402efa40e39f2ab0c43aaf9333,2022/05/25 10:45:43+00,L0004,Prorail,bestaand,0,586,,586,586__,Amsterdam Centraal,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,,,121301.190243,488323.2595,52.38173729,4.89226039,433.106,283,gerealiseerd,433.105794,491.690065311249
50,86f89b3bd0e84bed96a4c3eec3ef223d,2020/07/29 10:57:15+00,L0004,Prorail,bestaand,0,545,b,545,545_b,Roosendaal,Zlw-Np,Lage Zwaluwe - Nispen ,,,91140.677,395632.058278,51.54602306,4.46657443,246.564,283,gerealiseerd,246.5637385,87.8394860603265
51,ef3cce3346d05c80e0530b29a8c0e689,2022/12/13 09:51:38+00,L0004,Prorail,bestaand,0,144,a,144,144_a,Duivendrecht - Amsterdam Riekerpolder,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,,,119762.833082,483562.3865,52.33885337,4.87016578,194.501,283,gerealiseerd,194.5012765,170.708495580998
52,ac33d6305a177c19e0530b29a8c0b512,2020/08/10 10:23:53+00,L0004,Prorail,bestaand,0,011,,11,011__,Assen - Haren,Mp-Gn,Meppel - Groningen ,,,238033.2645,575794.532808,53.16241887,6.62869956,25.113,283,gerealiseerd,25.113304,42.2044260812693
53,ac33d6305a127c19e0530b29a8c0b512,2022/01/20 11:33:16+00,L0004,Prorail,bestaand,0,011,,11,011__,Assen - Haren,Mp-Gn,Meppel - Groningen ,,,238010.296,575872.965105,53.16312706,6.62837641,30.104,283,gerealiseerd,30.1040425,52.2152935288476
54,fce07b983cbb42e18dd0ceae9f64e545,2019/07/03 10:18:06+00,L0004,Prorail,bestaand,0,506,b,506,506_b,Amersfoort,Asd-Zp,Amsterdam Centraal - Zutphen ,,,153141.799077,462876.2375,52.15405685,5.36005107,21.95,283,gerealiseerd,21.950133,40.4428809709307
55,364f072288bb404d92d2c6ceeeb7e795,2019/10/21 11:18:33+00,L0004,Prorail,bestaand,0,209,,209,209__,Dieren - Apeldoorn,Dr-Apd,Dieren - Apeldoorn ,,,201540.456,457355.068023,52.10247743,6.06648446,537.385,283,gerealiseerd,537.3848185,318.006190181398
56,5677f5b580f54770967c6bcaf10d6552,2015/09/01 13:45:56+00,L0004,Prorail,bestaand,0,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,,,195211.866462,469122.983,52.20873833,5.97551361,59.297,283,gerealiseerd,59.2971555,35.0699233220339
57,79e27c10be1e44f4909961c3f7f87b7e,2015/07/14 10:20:53+00,L0004,Prorail,bestaand,0,009,,9,009__,Meppel - Leeuwarden,Zl-Lw,Zwolle - Leeuwarden ,,,204453.842383,533961.7055,52.7906738,6.12032578,140.755,283,gerealiseerd,140.75476,53.8587835076518
58,6723bf077bbb44b78d7eae88deddeb94,2016/02/08 12:50:06+00,L0004,Prorail,bestaand,0,664,b,664,664_b,Rotterdam Lombardijen,Bd-Rtd,Breda - Rotterdam Centraal ,,,96029.2695,432766.967325,51.88031279,4.53074402,101.029,283,gerealiseerd,101.0293605,79.9171100522466
59,aa87ca61db294b3ab89dfd9b8bc4a9b9,2019/09/23 09:55:07+00,L0004,Prorail,bestaand,1,664,b,664,664_b,Rotterdam Lombardijen,Bd-Rtd,Breda - Rotterdam Centraal ,,,95780.8015,433142.366613,51.88366032,4.5270713,375.47,283,gerealiseerd,375.4696125,209.877691887872
60,27bd8dcbd4b24139b4d65bcaba882dae,2015/08/04 15:27:54+00,L0004,Prorail,bestaand,0,564,d,564,564_d,Den Haag Binckhorst,Bkh-Gv,Den Haag Binckhorst - Den Haag HS ,,,83062.097178,454386.2115,52.07308021,4.33790897,1224.662,283,gerealiseerd,1224.6623885,616.646005806328
61,125208913beb42c69311f39ba20d82ee,2021/02/01 15:52:20+00,L0004,Prorail,bestaand,0,927,,927,927__,Watergraafsmeer,Wgm-Dmn,Watergraafsmeer - Diemen ,,,124808.248308,485454.244,52.3561565,4.94402564,1000.531,283,gerealiseerd,1000.531083,474.551152651474
62,08b0f78845f24ace9aac915cf9528909,2020/12/04 11:37:15+00,L0004,Prorail,bestaand,0,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,,,107031.75449,477687.9065,52.28509511,4.68420894,661.537,283,gerealiseerd,661.536751,810.820247351647
63,d17e8a3f9a984b0f845c950fbf176a3d,2015/10/08 14:55:01+00,L0004,Prorail,bestaand,0,927,,927,927__,Watergraafsmeer,Wgm-Dmn,Watergraafsmeer - Diemen ,,,124838.856097,485324.1365,52.35498886,4.94448658,981.396,283,gerealiseerd,981.3962925,687.695611153719
64,d8d58cb0cad710aae0530b29a8c01170,2022/03/07 11:00:18+00,L0004,Prorail,bestaand,0,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,,,201564.349,500843.609991,52.49331425,6.07283836,1389.333,283,gerealiseerd,1389.3328045,842.100434310714
65,8b1eaeacf1614768ad1be7dcd81e56c0,2015/09/07 13:11:59+00,L0004,Prorail,bestaand,0,940,,940,940__,Amersfoort Bokkeduinen,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,,,152926.957206,462865.87,52.15396291,5.35691182,762.28,283,gerealiseerd,762.2802035,498.346111120423
66,1a351093622043678dc9198a790f496a,2016/10/17 13:32:42+00,L0004,Prorail,bestaand,0,209,,209,209__,Dieren - Apeldoorn,Dr-Apd,Dieren - Apeldoorn ,,,202894.7795,454600.864228,52.07760847,6.0858631,134.11,283,gerealiseerd,134.1096655,150.612896880755
67,0eb11b1e271c4788a201315c78fdad66,2022/11/30 08:26:01+00,L0004,Prorail,bestaand,0,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,,,194649.383697,469184.6155,52.20933299,5.96729197,746.97,283,gerealiseerd,746.969895,212.440659518606
68,4bb7dfdfbb80472c9e0468c21d2b5efc,2019/07/03 10:18:06+00,L0004,Prorail,bestaand,0,506,b,506,506_b,Amersfoort,Asd-Zp,Amsterdam Centraal - Zutphen ,,,153141.010703,462882.107,52.1541096,5.36003952,18.456,283,gerealiseerd,18.455785,30.9308653041655
69,e20091f4139446458043c0f0c7fa27c4,2019/07/03 10:16:37+00,L0004,Prorail,bestaand,0,940,,940,940__,Amersfoort Bokkeduinen,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,,,152934.900742,462873.316,52.15402986,5.35702785,728.043,283,gerealiseerd,728.042914,495.973974475592
70,5109f433e0a24e4ebbdb6f2de6f6f178,2021/01/08 17:09:26+00,L0004,Prorail,bestaand,0,514,a,514,514_a,Nijmegen,Ah-Vl,Arnhem - Venlo ,,,187247.143441,427322.911,51.83356817,5.8550508,753.843,283,gerealiseerd,753.8434355,585.891888788774
71,9591d9a830804a1791a3b42d6337b832,2022/04/03 15:58:17+00,L0004,Prorail,bestaand,0,143,,143,143__,Leidschenveen - Leidschendam Lijnwerkplaats,Ldvn-Ldvwpl,Leidschenveen - Leidschendam werkplaats ,,,86725.705,454068.854012,52.07069187,4.39140232,584.749,283,gerealiseerd,584.7490615,329.746620895959
72,9fbd5f7a09f84747863a356fc8a8b51a,2016/03/21 11:40:11+00,L0004,Prorail,bestaand,0,564,d,564,564_d,Den Haag Binckhorst,Bkh-Gv,Den Haag Binckhorst - Den Haag HS ,,,83040.074201,454356.1285,52.072807,4.33759414,1242.898,283,gerealiseerd,1242.897997,638.457370664338
73,b440ed131db14d0897fee2ec93cf7f9b,2020/12/04 11:37:17+00,L0004,Prorail,bestaand,0,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,,,106881.044782,477506.438,52.28345107,4.68202625,767.47,283,gerealiseerd,767.470456,768.994464769796
74,adb820b0f1a54e8eb990c3450e71e070,2022/05/25 10:45:58+00,L0004,Prorail,bestaand,1,096,a,96,096_a,Amsterdam Muiderpoort - Duivendrecht,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,,,123595.522,482977.390729,52.33382811,4.92645591,82.264,283,gerealiseerd,82.2639475,96.327819139083
75,d82510daa2834c9f87833dc3327cb672,2022/12/13 13:43:51+00,L0004,Prorail,bestaand,0,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,,,161586.669891,383738.9225,51.44270675,5.48194041,105.528,283,gerealiseerd,105.5277885,143.137023240239
76,ef049d3b216c4fba991166da52945c1f,2015/04/09 14:59:59+00,L0004,Prorail,bestaand,0,531,d,531,531_d,Utrecht Centraal,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,,,134716.683424,456673.6295,52.09793974,5.09119068,72.971,283,gerealiseerd,72.9707255,38.2475370386553
77,5aeb5c24f79e4e9e8d26f0b3ed6c681f,2020/10/19 08:49:28+00,L0004,Prorail,bestaand,0,203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,,,257026.1955,534965.64998,52.79235077,6.89979301,184.075,283,gerealiseerd,184.075071,246.775426449544
78,5e790f6c2a3641f583a6c5cdd887dfc7,2015/05/13 15:32:44+00,L0004,Prorail,bestaand,0,217,,217,217__,Hoorn - Enkhuizen,Zd-Ekz,Zaandam - Enkhuizen ,,,147638.715694,523471.3785,52.69860582,5.2783096,1064.197,283,gerealiseerd,1064.197373,665.566730225069
79,df01b098cfc9443eb32c946e0856b0e6,2020/10/02 13:41:15+00,L0004,Prorail,bestaand,0,508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,,,189121.298702,444432.0485,51.9872333,5.88393762,363.04,283,gerealiseerd,363.0402075,379.570839751372
80,0340ffacf5b64f67b1fae8f3ab7d4700,2021/09/23 11:08:55+00,L0004,Prorail,bestaand,0,517,b,517,517_b,Venlo,Mt-Vl,Maastricht - Venlo ,,,210026.7695,374767.745362,51.35942661,6.17724606,784.653,283,gerealiseerd,784.6525165,765.287093493183
81,f011c6798802400983482637f62cdb83,2015/08/04 15:27:54+00,L0004,Prorail,bestaand,0,564,d,564,564_d,Den Haag Binckhorst,Bkh-Gv,Den Haag Binckhorst - Den Haag HS ,,,83049.612927,454377.536,52.07300062,4.33772874,1251.454,283,gerealiseerd,1251.454086,628.676341549628
82,32881121560d41ff82cead0192b42f8a,2020/06/08 16:39:23+00,L0004,Prorail,bestaand,0,614,c,614,614_c,s Hertogenbosch,Ut-Btl,Utrecht Centraal - Boxtel ,,,148745.42,412013.016263,51.69685471,5.29673388,277.319,283,gerealiseerd,277.3192095,372.52661736049
83,0b5b35a461e24357911a50f6aa7c18ef,2015/06/11 08:36:48+00,L0004,Prorail,bestaand,0,121,b,121,121_b,Breda - Lage Zwaluwe,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,,,108896.1925,401865.946847,51.60378982,4.7217061,225.532,283,gerealiseerd,225.531873,366.999191068036
84,69c5490d850f4ab59754cec25795920f,2016/09/08 12:05:50+00,L0004,Prorail,bestaand,0,121,b,121,121_b,Breda - Lage Zwaluwe,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,,,108886.762,401863.289432,51.60376516,4.72157033,343.916,283,gerealiseerd,343.9156625,367.435645873539
85,9baa94665cab4bd39baec65c618d88c9,2022/09/05 10:49:09+00,L0004,Prorail,bestaand,0,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,,,163296.039974,506827.4645,52.54901245,5.50951242,1351.372,283,gerealiseerd,1351.3715015,907.531556169007
