Ministerie;handelsnaam na kvk;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
BZ;Amc Congresorganisatie Amsterdam;;;;;1;1;;;;1
BZ;Amphia locatie Pasteurlaan Oosterhout;;;1;;;;;;;1
BZ;Amref - African Medical And Researc;;;1;;;;;;;1
BZ;Amref Aviation Nairobi;;;1;;;;;;;1
BZ;Aquarium Lda Maputo;;;;;;;;;1;1
BZ;Arabisch Vertaalbureau Abdellatif (Ava);;;1;;;;;;;1
BZ;Arboreus Boedapest;;;;;1;;;;;1
BZ;ARIZONA TRAVAL AND TOURISM;;;;;;;;;1;1
BZ;Asten Hotels S R.O. Praha;;;;;;;;;1;1
BZ;ATP Specials B.V.;;;;;;;;;1;1
BZ;Austria Trend Hotel Europa Wien;;;;;;;;;1;1
BZ;Avari Hotel Lahore;;;;;;;;;1;1
BZ;Avicenna Deventer;;;;;;1;;;;1
BZ;Axiell ALM Netherlands B.V.;;;;;;1;;;;1
BZ;B+B Vakmedianet B.V.;;;;;;1;;;;1
BZ;Balans & Impuls B.V.;;;1;;;;;;;1
BZ;Bally's Bowling;;;;;;;1;;;1
BZ;Banketbakkerij Maison Kelder B.V.;;;1;;;;;;;1
BZ;Bar Italia B.V.;;;;;;;1;;;1
BZ;Bar Restaurant Pavlov B.V.;;;1;1;;;1;;;1
BZ;Barbarossa Beach Bv Den Haag;;;;;;;1;;;1
BZ;Barendsen Import-Export Aalsmeer;;;1;1;;;1;;1;1
BZ;Barlow Bar & Restaurant Den Haag;;;;;;;1;;;1
BZ;Bas Heijne;;;;;;1;;;;1
BZ;Bastion Hotel Amsterdam Noord B.V.;;;;;;;;;1;1
BZ;Batus Management en Advies B.V.;;;;;;1;;;;1
BZ;Bcd Travel Nairobi;;;;;;;;;1;1
BZ;Beachclub Copacabana B.V.;;;;;;;1;;;1
BZ;Beachclub Indigo B.V.;;;;1;;;;;;1
BZ;Beachzone events;;;1;;;;;;;1
BZ;BEIJING LANDMARK TOWERS CO LTD;;;;;;;;;1;1
BZ;BELLIARD HOTEL INVESTMENTS SPRL;;;;;1;;;;;1
BZ;Bento Presentaties;;;;;;1;;;;1
BZ;Bert Hellinger Instituut Nederland;;;;;;1;;;;1
BZ;Besseling Travel B.V.;;;;;;;1;;;1
BZ;Between B.V.;;;;;1;;;;;1
BZ;BETWEEN THE BREAD;;;;;;;1;;;1
BZ;Birdview Psychologische En;;;1;;;;;;;1
BZ;BLOSSOM bloemisterij;;;;1;;;;;;1
BZ;Blowfish Hotel Lagos;;;;;;;;;1;1
BZ;Boerderij Meyendel Wassenaar;;;;;;;1;;;1
BZ;Boertien Vergouwen Overduin B.V.;;;;;;1;;;;1
BZ;Bookx B.V.;;;;;;;1;;;1
BZ;Boterwaag Den Haag B.V.;;;1;;;;1;;;1
BZ;Bouzy Wine And Food Den Haag;;;1;;;;;;;1
BZ;Brasserie Sequenza;;;1;;;;;;;1
BZ;Breizh B.V.;;;;;;;1;;;1
BZ;BRISTOL HOTEL AMMAN;;;;;;;;;1;1
BZ;Brussels Airport Company Nv Zavente;;;;;;;;;1;1
BZ;BuitenBusiness B.V.;;;;;;;1;;;1
BZ;Bureau Personal Development B.V.;;;;;;1;;;;1
BZ;Bureau Spraakwater;;;;;;1;;;;1
BZ;Bureau Van Es-RB&B;;;;;;1;;;;1
BZ;BuroCocon;;;;;;1;;;;1
BZ;Business Travels Pvt. Ltd.;;;;;;;;;1;1
BZ;Café Haags Filmhuis;;;1;1;;;;;;1
BZ;CafédeBieB@hotelroom11;;;;1;;;;;;1
BZ;Café-Restaurant Amier;;;;;;;1;;;1
BZ;Cafe Luxembourg;;;;;;;1;;;1
BZ;Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;;;1;;;1
BZ;Cape Heritage Hotel Cape Town;;;;;;;;;1;1
BZ;Capilla;;;;;;1;;;;1
BZ;Capriole Coffee Café B.V.;;;;;;;1;;;1
BZ;Carat Nederland B.V.;;;;;1;;;;;1
BZ;Carlson Wagonlit Travel Belgium Bru;;;;;;;;;1;1
BZ;Carlton Hotel Collection;;;;;;;;;1;1
BZ;Castellana Hotel Y Spa S.C.S. Carac;;;;;;;;;1;1
BZ;Centro Capital Centre Abu Dhabi;;;;;;;;;1;1
BZ;Cfc Langues Paris;;;;;;1;;;;1
BZ;Ciao! Ciao! B.V.;;;;;;;1;;;1
BZ;Cindrillon;;;;1;;;;;;1
BZ;Cloose;;;;;;;1;;;1
BZ;CM Partners B.V.;;;;;;1;;;;1
BZ;CoÃ¶p. Medisch Specialist. Bedrijf - Amphia U;;;1;;;;;;;1
BZ;CoÃ¶peratie Medici Oogzorg Rotterdam UA;;;1;;;;;;;1
BZ;COASTALRESORTS INDIA PVT. LTD.;;;;;;;;;1;1
BZ;COLONNA PALACE HOTEL;;;;;;;;;1;1
BZ;COMET CAR RENTAL;;;;;;;;;1;1
BZ;Connexxion Taxi Services B.V.;;;;;;;;;1;1
BZ;Copthorne Hotel Cardiff;;;;;;;;;1;1
BZ;COPTHORNE HOTEL HORLEY;;;;;;;;;1;1
BZ;Copthorne Tara Hotel London Londen;;;;;;;;;1;1
BZ;Corael;;;;;;1;;;;1
BZ;Corporate Traveller Johannesburg;;;;;;;;;1;1
BZ;Courtyard By Marriott Beograd;;;;;;;;;1;1
BZ;Courtyard By Marriott Moscow;;;;;;;;;1;1
BZ;Courtyard By Marriott Riyadh;;;;;;;;;1;1
BZ;Cpu / Cmk Centre Prive D'Urgence;;;1;;;;;;;1
BZ;Crane'S Nest Guesthouses Pretoria;;;;;;;;;1;1
BZ;CRAYON B.V.;;;;;;1;;;;1
BZ;CROWNE PLAZA BELGRADE;;1;;;;;;;;1
BZ;Culpepper B.V.;;;;;;;1;;;1
BZ;D & I COMPANY;;;;;;1;;;;1
BZ;Dagelijks Lekker B.V.;;;;;;;1;;;1
BZ;DataWeb B.V.;;;;;1;;;;;1
BZ;Daxtrio B.V.;;;1;;;;;;;1
BZ;De Blaauwe Kamer B.V.;;;;;;;1;;;1
BZ;De Boer Surakarta B.V.;;;;;;;1;;;1
BZ;De Franse Stap Culinair;;;;1;;;1;;;1
BZ;De Griekse Olijf;;;1;;;;;;;1
BZ;De Jonge Helden;;;;;;1;;;;1
BZ;De Kaag V.O.F.;;;;;;;1;;;1
BZ;De Ondersteen;;;;;;1;;;;1
BZ;De Oude Taveerne Diemen;;;;;;;;;1;1
BZ;De Passant;;;;;;;1;;;1
BZ;De Roo Taxi B.V.;;;;;;;;;1;1
BZ;De Schrijfster Journalistiek & Communicatie;;;;;;1;;;;1
BZ;De Waterreus;;;;1;;;;;;1
BZ;Debatrix Nederland Rotterdam;;;;;;1;;;;1
BZ;Den Haag Centrum v. Strategische Studies B.V.;;;;;;;1;;;1
BZ;Diner Thuis;;;;;;;1;;;1
BZ;Dino4 B.V.;;;;;;1;;;;1
BZ;Diontwikkeling Amsterdam;;;;;;1;;;;1
BZ;DIOR Opleidingen;;;;;;1;;;;1
BZ;Direct Students B.V.;;;;;1;;;;;1
BZ;Distinguished;;;;;;1;1;;;1
BZ;Don Quijote Nederland B.V.;;;;;;1;;;;1
BZ;Double Healix Educational Media B.V.;;;;;;1;;;;1
BZ;Double Tree By Hilton Toronto Downt;;;;;;;;;1;1
BZ;Double Tree Hotel Santiago;;;;;;;;;1;1
BZ;DROG;;;;;;1;;;;1
BZ;Dumont Nyc New York;;;;;;;;;1;1
BZ;Dunea Zoetermeer;;;;1;;;;;;1
BZ;Dutch Association of Corporate Treasurers;;;;;;1;;;;1
BZ;DVERI D.O.O.;;;;;;;1;;;1
BZ;E & M Export Management Reuver;;;;;;1;;;;1
BZ;ECOLE DE LANGUES MILANGA;;;;;;1;;;;1
BZ;Eduard Frauneder New York;;;;1;;;;;;1
BZ;Eerste Ned. Talenpraktikum Amsterdam (ENTA);;;;;;1;;;;1
BZ;Elgersma Media B.V.;;;1;;;;;;;1
BZ;Elisabeth Griffioen;;;;;;1;;;;1
BZ;Era - Academy Of European Law Trier;;;;;;1;;;;1
BZ;Eurest Amsterdam;;;;;;;1;;;1
BZ;EUROPEAN ACADEMY;;;;;;1;;;;1
BZ;Europees Instituut Voor Certified P;;;;;;1;;1;;1
BZ;EUROPROTOCOL;;;;;;1;;;;1
BZ;Events 2 be;;;;;;;1;;;1
BZ;EXECUTIVE RENT ACAR;;;;;;;;;1;1
BZ;Expertise in Labour Mobility B.V.;;;;;;1;;;;1
BZ;Explainit Company;;;;;;1;;;;1
BZ;FAIRPLAY PROPERTIES MANAGEMENT LTD.;;;;;;;;;1;1
BZ;Fairview Hotel Ltd Nairobi;;;;;;;;;1;1
BZ;Fa-Med Bv Amersfoort;;;1;;;;;;;1
BZ;Fest St. Peterburg;;;;;;;;;1;1
BZ;Fine Asian Gourmet Bv Den Haag;;;;1;;;;;;1
BZ;Fitis, Business & Geopolitics Analysis;;;;;;1;;;;1
BZ;Fitzpatrick Grand Central Hotel New;;;;;;;;;1;1
BZ;Flashbay Ltd London;;;;;1;;;;;1
BZ;Flughafen M�nchen;;;;;;;;;1;1
BZ;Folkuniversitetet Stockholm;;;;;;1;;;;1
BZ;Foodzie;;;;;;;1;;;1
BZ;FOREST PEOPLES PROGRAMME;;;;;;;;;1;1
BZ;Fortes Solutions B.V.;;;;;;1;;;;1
BZ;Fotogeniek;;;;;1;;;;;1
BZ;Frisse Zin;;;;;1;;;;;1
BZ;GARAGE D.A. ASHRUF;;;;;;;;;1;1
BZ;GBT III B.V.;;;;;;;;;1;1
BZ;Geschenkbezorgen.NL Haarlem;;;;1;;;;;;1
BZ;Gh Holding B.V.;;;;1;;;;;;1
BZ;Global Project Performance;;;;;;1;;;;1
BZ;Globetrotter Travel Management Serv;;;;;;;;;1;1
BZ;Glowgolf Rotterdam;;;;1;;;;;;1
BZ;GLS SPRACHENZENTRUM BERLIN;;;;;;1;;;;1
BZ;Goedhart Reclame V.O.F.;;;;1;;;;;;1
BZ;Gran Mercado B.V.;;;;;;;1;;;1
BZ;Grand Cafe De Tijd Den Haag;;;1;;;;1;;;1
BZ;Grand Hyatt Hotel Amman;;;;;;;;;1;1
BZ;Grand Hyatt Hotel Muscat;;;;;;;;;1;1
BZ;Granny's Corner;;;;;;;1;;;1
BZ;Gusto Mangia e Bevi;;;;;;;1;;;1
BZ;h eerlijk ondernemend;;;;;;;1;;;1
BZ;H.F. Meijer Opleidingen;;;;;;1;;;;1
BZ;Haagse Hogeschool Den Haag;;;;;;1;;;;1
BZ;Haagse Hogeschool Den Haag 2;;;;;;1;;;;1
BZ;Habtoor Grand Resort & Spa Dubai;;;;;;;;;1;1
BZ;Hackwise;;;;;;1;;;;1
BZ;Hamaici Belaid Alger;;;;;;;;;1;1
BZ;Hampshire Exploitatie I B.V.;;;;;;1;;;;1
BZ;Havana Den Haag;;;;;;;1;;;1
BZ;Hcch - Hague Conference On Private;;;;;;1;;;;1
BZ;Hemelaar-van Campenhout;;;;1;;;;;;1
BZ;Het Kabinet, Eten en Drinken;;;;1;;;;;;1
BZ;Het Nutshuis;;;1;;;;;;;1
BZ;Het Pleidooi;;;1;1;;;1;;;1
BZ;HIGHSTORM INVESTMENTS;;;;;;;;;1;1
BZ;Hilton Addis Abeba;;;;;;;;;1;1
BZ;Hilton Den Haag;;;;;;;1;;;1
BZ;HILTON LIMA;;;;;;1;;;1;1
BZ;Hilton Nicosia;;;;;;;;;1;1
BZ;Hof Der Muzen Den Haag;;;;;;;1;;;1
BZ;Holland Tour Guides B.V.;;;1;;;;;;;1
BZ;Horeca Exploitatie Maatschappij Zalmhuis B.V.;;;;1;;;;;;1
BZ;Hotel Berlaymont;;;;;;;;;1;1
BZ;Hotel Café Restaurant Centraal;;;;1;;;;;;1
BZ;Hotel De Wereld Restaurant O Mundo;;;;;;;1;;1;1
BZ;Hotel Des Indes B.V.;;;;;;;1;;;1
BZ;HOTEL DIVA;;;;;;;;;1;1
BZ;Hotel Dubrovnik Zagreb;;;;;;;;;1;1
BZ;HOTEL IMPERIALE;;;;;;;;;1;1
BZ;Hotel Maison Fl Paris;;;;;;;;;1;1
BZ;Hotel Melia Havana;;;;;;;;;1;1
BZ;Hotel Mon Repos (Mme Lina Lydie Kel;;;;;;;;;1;1
BZ;Hotel Okura Tokyo;;;;;;;;;1;1
BZ;Hotel Palomar Washington;;;;;;;;;1;1
BZ;HOTEL ROTHSCHILD;;;;;;;;;1;1
BZ;Hotel Silken Brussels;;;;;;;;;1;1
BZ;Hotel Torarica Paramaribo;;;;;;;;;1;1
BZ;How 2 perform optimal;;;;;;1;;;;1
BZ;HR Trend Institute B.V.;;;;;1;;;;;1
BZ;Hsbc Bank Usa, N.A. Buffalo, Ny;;;;;;;1;;1;1
BZ;HSK Interventie B.V.;;;;;;1;;;;1
BZ;HTM Specials B.V.;;;1;;;;;;1;1
BZ;Ibfd International Bureau Of Fiscal;;;;;;1;;;;1
BZ;Ibis Hotel Geneve;;;;;;;;;1;1
BZ;ICM Administratie B.V.;;;;;;1;;;;1
BZ;ICM Opleidingen & Trainingen B.V.;;;;;;1;;;;1
BZ;Icta Interv. Communicatie Training & Advies;;;;;;1;;;;1
BZ;IDGift B.V.;;;;1;;;;;;1
BZ;Iep Holding B.V.;;;;;;1;;;;1
BZ;IKAN Consultancy;;;;;;1;;;;1
