FID,x,y,id,complex_naam,complex_code,dsk_kw_code,naam,omschrijving,beheerobjectsoort,aard,netwerk,route,relatie_tot_weg,rdx,rdy,stichtingsjaar,archiefcode,beheerder_instantieid,beheerder,beheerder_id,se_anno_cad_data,gdb_geomattr_data,shape
duiker.6421,250832,466265,9406,Hagmolenbeek,34F-306,34F-306-02,Hagmolenbeek,Duiker in de Hagmolenbeek,Duiker,Droog,HWN,N18,niet RW,250.832,466.265,2009,34F-306-02,1678,RWS ON / ON District Oost,1678,,,POINT (250832 466265)
duiker.6425,140631,436179,9413,Bussersteeg,39C-112,39C-112-02,kw14a,Duiker in de Bussersteeg,Duiker,Droog,HWN,A2,in RW,140.631,436.179,2010,39C-112-02,1676,RWS MN / MN District Zuid,1676,,,POINT (140631 436179)
duiker.6426,141283,434799,9414,Hoge veld,39C-001,39C-001-05,duiker 15,Duiker in de rijksweg,Duiker,Droog,HWN,A2,in RW,141.283,434.799,2010,39C-001-05,1676,RWS MN / MN District Zuid,1676,,,POINT (141283 434799)
duiker.6427,141460,434790,9415,Hoge veld,39C-001,39C-001-06,Duiker 25,Duiker in de oostelijke toerit,Duiker,Droog,HWN,A2,in RW,141.46,434.79,2010,39C-001-06,1676,RWS MN / MN District Zuid,1676,,,POINT (141460 434790)
duiker.6449,34724,389756,9444,Knooppunt De Roode Leeuw,48B-002,48B-002-03,Naam Onbekend,Duiker,Duiker,Droog,HWN,A58,in RW,34.724,389.756,2010,48B-312-00,1217,n.v.t.,1217,,,POINT (34724 389756)
duiker.6464,13000,305000,9461,Duikers,85K-100-13,85K-100-1313,Duikers,v. 2010-11,Duiker,Droog,HWN,,,13,305,,85K-100-13,883,Nog niet bekend/Nog niet bekend,883,,,POINT (13000 305000)
duiker.6525,237308,484696,9534,Wierdensche Aa,28D-126,28D-126-01,Wierdensche Aa,Duiker in de Wierdensche Aa,Duiker,Droog,HWN,A35,in RW,237.308,484.696,2007,28D-126-01,1678,RWS ON / ON District Oost,1678,,,POINT (237308 484696)
duiker.6530,164545,506782,9539,Houtribweg,20G-006,20G-006-05,Karpertocht,Duiker in de toe- en afrit,Duiker,Droog,HWN,A6,in RW,164.545,506.782,2009,20G-006-05,1675,RWS MN / MN District Noord,1675,,,POINT (164545 506782)
duiker.6560,109463,524583,9571,Hoofdduiker N9,19A-104,19A-104-01,Hoofdduiker N9,Duiker onder de rijksweg,Duiker,Droog,HWN,N9,in RW,109.463,524.583,2011,19A-104-01,1667,RWS WNN / WNN District Noord,1667,,,POINT (109463 524583)
duiker.6585,120140,427134,9597,Wilhelminaduiker,38G-139,38G-139-01,Wilhelminaduiker,Duiker in de Buitenvliet,Duiker,Droog,HWN,A15,in RW,120.14,427.134,1961,38G-139-00,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (120140 427134)
