FID,bestem_zan,naamgebied,status,in_gebruik,m__windiep,volgorde,gebruik,diepte,regio,subregio,opp_m2,vol_new_m3,vol_m3_mvp,factor,alternatie,mijn_mer_s,objectnaam,vergun_h_1,regio_loca,volgorde_1,gdb_geomattr_data,shape
zoekgebied_mer_2018_2027.11,Kustlijnzorg,S7_ZD_di08,Nieuw,Nieuw,0,S7-16,geschikt,6,Zeeuwse delta,Walcheren,2927335.06184,0,7168981,2.45,kustwaarts,onbeperkt,S7S, ,0,K80; K80_81,,"POLYGON ((511098.96800000034 5719461.525900001, 510562.0104 5718402.747199999, 508887.13910000026 5718778.420700001, 509678.1924999999 5719922.888499999, 510932.7346000001 5721247.092499999, 511537.44909999985 5720546.420499999, 511098.96800000034 5719461.525900001), (509891.02419999987 5719034.2423, 510480.71279999986 5719662.2894, 511062.84750000015 5720282.291300001, 510563.1827999996 5720377.610400001, 510006.75850000046 5719816.194700001, 509361.19489999954 5719164.8401, 509891.02419999987 5719034.2423))"
zoekgebied_mer_2018_2027.12,Commercieel,S7_ZC_Di05,Vergund,Actief,6,S7-8,geschikt,6,Zeeuwse delta,Walcheren,1025618.01811,6120885.85506,3205056,1.92,kustwaarts,onbeperkt,S7U, Zandhandel Faasse bv & Van Ouwerkerk bv,Walcheren en Z. Vlaanderen,J69,,"POLYGON ((517779.84509999957 5722605.330399999, 517369.5981999999 5722891.6402, 518225.3671000004 5723584.4527, 518609.9287999999 5723328.671, 518988.3707999997 5723076.9604, 518197.1838999996 5722314.070800001, 517779.84509999957 5722605.330399999))"
zoekgebied_mer_2018_2027.13,Combi,N4_CO_ZZ01,Nieuw,Nieuw,6,N4-3,geschikt,6,Wadden,Wadden Oost,8339613.97284,18079670,10158100,1.92,zeewaarts,onbeperkt,Nieuw, ,Schiermonnikoog,E28,,"POLYGON ((709731.4055000003 5951484.2655, 713323.2737999996 5952578.680600001, 714010.1078000003 5950669.7684, 710517.6228 5949214.5688000005, 709731.4055000003 5951484.2655))"
zoekgebied_mer_2018_2027.14,Combi,L12_CO_ZZ01,Nieuw,Nieuw,6,L12-2,geschikt,6,Wadden,Wadden West,16217063.7352,0,10810040,1.92,zeewaarts,onbeperkt,Nieuw, ,Vlieland,B11,,"POLYGON ((620430.273 5927789.1974, 622428.4351000004 5929817.799000001, 624825.1549000004 5927482.253799999, 619824.5503000002 5924069.1447, 618225.0630999999 5924762.6109, 620430.273 5927789.1974))"
zoekgebied_mer_2018_2027.15,Kustlijnzorg,L17_ZD_Di01,Vergund,Actief,6,L17-4,deels,6,Wadden,Texel,6070558.45817,24106450,18970499,1.92,kustwaarts,onbeperkt,L17H,RWS-PPO-ICM-KLZ,Texel,A2,,"POLYGON ((603549.8148999996 5887454.160599999, 605126.9946999997 5886513.2619, 604268.0438999999 5884908.7958, 603623.7426000005 5883705.2815000005, 601926.6453 5884573.607899999, 603549.8148999996 5887454.160599999))"
zoekgebied_mer_2018_2027.16,Combi,M6_CO_ZZ01b,Nieuw,Nieuw,6,M6-1,geschikt,6,Wadden,Wadden Oost,5148745.69625,12220410,6364797,1.92,zeewaarts,onbeperkt,Nieuw, ,Ameland,D23a; D23b,,"POLYGON ((684020.5197999999 5949337.729499999, 680368.0459000003 5949337.730900001, 680315.2285000002 5951287.549900001, 681946.7287999997 5950810.6448, 682665.3380000005 5950644.3105, 684028.9757000003 5950103.096899999, 684020.5197999999 5949337.729499999))"
zoekgebied_mer_2018_2027.17,Commercieel,N7_ZC_On01b,Nieuw,Nieuw,2,N7-1,geschikt,2,Wadden,Wadden Oost,4591011.49142,6401932.76528,3328084,1.92,kustwaarts,onbeperkt,Nieuw, ,Schiermonnikoog,E25a; E25_Noord,,"POLYGON ((714223.6152999997 5946915.2782000005, 714428.2050999999 5946547.478, 714953.4206999997 5945652.5878, 712187.5997000001 5944471.417300001, 711507.2467999998 5945311.3672, 711212.6857000003 5945676.716499999, 714223.6152999997 5946915.2782000005))"
zoekgebied_mer_2018_2027.18,Kustlijnzorg,N7_ZD_On01,Nieuw,Nieuw,2,N7-2,geschikt,2,Wadden,Wadden Oost,4318234.13522,8636468.28396,4498161,1.92,kustwaarts,onbeperkt,Nieuw, ,Schiermonnikoog,E24,,"POLYGON ((709401.1776 5944531.7425, 710329.3705000002 5943150.3445999995, 707996.3431000002 5942071.128799999, 706942.7186000003 5943366.1894000005, 709401.1776 5944531.7425))"
zoekgebied_mer_2018_2027.19,Commercieel,N4_ZC_Di02,Vergund,Actief,6,N4-2,geschikt,2,Wadden,Wadden Oost,4806160.12373,0,10089930,1.92,kustwaarts,beperkt,N4B, ,Schiermonnikoog,E26; E26_west,,"POLYGON ((718267.1322999997 5953477.294399999, 718998.8229 5953770.954, 721586.5623000003 5955006.9727, 722316.7527999999 5953555.582900001, 720793.9226000002 5953112.163799999, 718745.2082000002 5952559.0754, 718267.1322999997 5953477.294399999))"
zoekgebied_mer_2018_2027.20,Kustlijnzorg,M8_ZD_Di01,Nieuw,Deels Nieuw,6,M8-2,geschikt,6,Wadden,Wadden West,3688521.29636,22131130,11526629,1.92,kustwaarts,onbeperkt,M8F (deels), ,Ameland,C16,,"POLYGON ((662926.4367000004 5934646.4048999995, 662641.4852 5935561.249500001, 665685.9677999998 5936716.053200001, 666165.8863000004 5935531.2546, 665139.3143999996 5935250.8484000005, 662926.4367000004 5934646.4048999995))"
zoekgebied_mer_2018_2027.21,Kustlijnzorg,M9_ZD_On01a,Nieuw,Nieuw,2,M9-2,geschikt,2,Wadden,Wadden Oost,2204090.46099,8736116.49722,4549945,1.92,kustwaarts,onbeperkt,Nieuw, ,Ameland,D18b,,"POLYGON ((689999.9530999996 5935929.233999999, 689369.6216000002 5935783.187100001, 689366.4452 5935830.8324, 689348.8650000002 5936072.8311, 689329.9859999996 5936349.6252, 689637.7898000004 5936385.805, 689629.1386000002 5936930.8267, 690378.7076000003 5937021.149599999, 691369.5587999998 5937114.2391, 692151.8583000004 5936427.827400001, 690872.9301000005 5936131.501599999, 689999.9530999996 5935929.233999999))"
zoekgebied_mer_2018_2027.22,Commercieel,M9_ZC_On01,Nieuw,Nieuw,2,M9-3,geschikt,2,Wadden,Wadden Oost,4720055.7115,10670450,5557526,1.92,kustwaarts,onbeperkt,Nieuw, ,Ameland,D19b,,"POLYGON ((684781.8804000001 5936349.479599999, 689160.0384999998 5936874.3806, 689225.0659999996 5936337.2919, 686999.5632999996 5936075.7377, 682487.0160999997 5935545.396400001, 680773.3734999998 5935559.9901, 679040.3125 5935574.7491, 678892.3964999998 5935661.914799999, 682431.5339000002 5936075.0896000005, 684781.8804000001 5936349.479599999))"
zoekgebied_mer_2018_2027.23,Combi,M7_CO_ZZ01a,Nieuw,Nieuw,6,M7-1,geschikt,6,Wadden,Wadden West,7949661.73132,19373060,10090134,1.92,zeewaarts,onbeperkt,Nieuw, ,Schiermonnikoog,C17a; C17b,,"POLYGON ((645256.2264 5936488.9964000005, 644326.4091999996 5936171.6777, 641400.2823999999 5935173.0787, 641438.2931000004 5938004.686799999, 644994.2769999998 5937972.934900001, 645042.0072999997 5936795.023600001, 645256.2264 5936488.9964000005))"
zoekgebied_mer_2018_2027.24,Kustlijnzorg,M10_ZD_Di01c,Vergund,Actief,6,M10-1,deels,2,Wadden,Wadden West,4360469.45363,13677760,2374611,1.92,kustwaarts,beperkt,M10B, ,Terschelling,C14a; C14b; C14c,,"POLYGON ((650672.9082000004 5929389.1636, 649457.7521000002 5928506.15, 648242.0895999996 5927622.7688, 646082.4983999999 5926053.4662, 645531.6492999997 5927552.9998, 646132.6456000004 5927767.641100001, 648875.6808000002 5928747.296499999, 650672.9082000004 5929389.1636))"
zoekgebied_mer_2018_2027.25,Commercieel,L12_ZC_On01,Vergund,Actief,2,M10-4,geschikt,2,Wadden,Wadden West,6181352.42715,6957499.52362,3617616,1.92,kustwaarts,onbeperkt,L12D en L12E,"SPAANSEN GRONDSTOF. EN LOG., DE VRIES & VD WIEL BV",Vlieland,B7; B9,,"POLYGON ((630491.1485000001 5916783.9684, 631059.4031999996 5915997.695, 631198.1053999998 5915784.7699, 631241.4736000001 5915712.244100001, 629762.8073000005 5914547.828400001, 628769.3129000003 5913722.0625, 627793.4342999998 5912881.7128, 627355.1624999996 5912490.7809999995, 627271.8688000003 5914339.387800001, 627340.0266000004 5914391.191400001, 628338.8547999999 5915134.8566, 628590.9173999997 5915322.9432, 629724.1198000005 5916178.4549, 630491.1485000001 5916783.9684))"
zoekgebied_mer_2018_2027.26,Kustlijnzorg,M10_ZD_On01,Nieuw,Nieuw,2,M8-4,geschikt,2,Wadden,Wadden West,1389836.61603,6931459.3881,3610135,1.92,kustwaarts,onbeperkt,Nieuw, ,Terschelling,C12,,"POLYGON ((654302.1242000004 5930730.8763, 654306.5122999996 5930281.649499999, 653599.1776999999 5929953.2447999995, 652211.8633000003 5929146.7404, 652172.4423000002 5929116.271299999, 652172.4423000002 5930031.820499999, 654302.1242000004 5930730.8763))"
zoekgebied_mer_2018_2027.27,Combi,L14_CO_ZZ01,Nieuw,Nieuw,6,L14-1,geschikt,6,Wadden,Texel,8922417.67642,21392750,11142058,1.92,zeewaarts,onbeperkt,Nieuw, ,Texel,A4a,,"POLYGON ((597336.1128000002 5894998.561799999, 599485.5225 5892547.7696, 598111.0367999999 5890408.861400001, 595721.7600999996 5891811.834799999, 597336.1128000002 5894998.561799999))"
zoekgebied_mer_2018_2027.28,Commercieel,Q2_ZC_On01c,Vergund,Actief,2,Q2-2,geschikt,2,Hollandse kust,Kop Noord-Holland,3856580.24928,9622589.33232,2628543,1.92,kustwaarts,onbeperkt,Q2A,Spaansen Grondstoffen en Logistiek,Den Helder,F29c; F29d,,"POLYGON ((603652.3843 5867106.7991, 604643.8664999995 5867693.072799999, 604566.3136999998 5865932.872199999, 603485.3085000003 5865909.614700001, 602296.7133 5865884.044399999, 602245.9424 5868275.751, 603542.0938999997 5867198.4662, 603652.3843 5867106.7991))"
zoekgebied_mer_2018_2027.29,Combi,L17_CO_On01a,Vergund,Actief,2,L17-2,geschikt,2,Wadden,Texel,5834782.56375,13942700,7261826,1.92,kustwaarts,beperkt,L17A, ,Texel,A1a,,"POLYGON ((607830.2309999997 5889297.5228, 606891.3953999998 5889803.92, 608038.2917 5891947.138800001, 609296.3838 5891975.738, 609504.1963999998 5891862.4037999995, 609779.9445000002 5891712.0198, 610749.5417999998 5891183.2311, 610585.2816000003 5890893.8083999995, 610314.3376000002 5890396.385199999, 610052.1163999997 5889894.3078000005, 609940.3450999996 5889670.880100001, 608962.1244999999 5890183.8884, 608476.4225000003 5890438.6051, 607830.2309999997 5889297.5228))"
zoekgebied_mer_2018_2027.30,Commercieel,L17_ZC_Di02,Vergund,Actief,6,L17-6,deels,6,Wadden,Texel,4921368.67041,19731450,15379267,1.92,kustwaarts,onbeperkt,L17B, ,Texel,A3,,"POLYGON ((602859.0725999996 5882297.410499999, 602908.4648000002 5882384.5472, 606190.8843 5882350.1746, 605934.9883000003 5880965.762700001, 602153.9252000004 5880991.4856, 602859.0725999996 5882297.410499999))"
zoekgebied_mer_2018_2027.31,Combi,L17_CO_On01b,Vergund,Actief,2,L17-3,geschikt,2,Wadden,Texel,3938226.25914,7838656.5438,4102318,1.92,kustwaarts,beperkt,L17A, ,Texel,A1c,,"POLYGON ((606637.7969000004 5882107.519099999, 606194.9676999999 5882347.9574, 606190.8843 5882350.1746, 603623.7426000005 5883705.2815000005, 604268.0438999999 5884908.7958, 605126.9946999997 5886513.2619, 605562.9480999997 5886311.2543, 604477.0168000003 5884168.207, 606379.4611 5883146.3050999995, 607011.8912000004 5882806.5940000005, 606637.7969000004 5882107.519099999))"
zoekgebied_mer_2018_2027.32,Combi,Q2_CO_Di01,Vergund, Actief,6,Q2-4,geschikt,6,Hollandse kust,Kop Noord-Holland,16732720.6365,100302100,52289752,1.92,kustwaarts,onbeperkt,Q2B,"Spaansen, DC Rivers. BV & De Vries&vd Wiel NV",Den Helder,F31,,"POLYGON ((602893.9792999998 5856127.493799999, 600224.5724999998 5856118.798699999, 600245.784 5861977.4022, 603296.9425999997 5861968.9552, 603182.4234999996 5860308.8552, 602893.9792999998 5856127.493799999))"
zoekgebied_mer_2018_2027.33,Kustlijnzorg,Q2_ZD_Di01,Vergund,Actief,6,Q2-3,geschikt,6,Hollandse kust,Kop Noord-Holland,5808928.08713,34758650,18152900,1.92,kustwaarts,onbeperkt,"Q2M, Q2G en Q2K",RWS-PPO-ICM-KLZ,Den Helder,F30,,"POLYGON ((600225.0011 5864553.0012, 603360.0011999998 5863062.0011, 603296.9425999997 5861968.9552, 600245.784 5861977.4022, 600153.0010000002 5861988.0012, 600225.0011 5864553.0012))"
zoekgebied_mer_2018_2027.34,Combi,Q2_CO_On01,Vergund,Actief,2,Q2-5,geschikt,2,Hollandse kust,Kop Noord-Holland,6446088.01059,20607640,10733268,1.92,kustwaarts,onbeperkt,Q2C,Spaansen Grondstoffen en Logistiek,Den Helder,F32a,,"POLYGON ((603182.4234999996 5860308.8552, 603296.9425999997 5861968.9552, 604383.8969999999 5861968.632099999, 604241.1549000004 5859707.3026, 604154.7435999997 5858338.369000001, 604015.5511999996 5856133.2743999995, 602893.9792999998 5856127.493799999, 603182.4234999996 5860308.8552))"
zoekgebied_mer_2018_2027.35,Combi,Q2_CO_ZZ01,Nieuw,Nieuw,6,Q2-6,deels,4,Hollandse kust,Kop Noord-Holland,16773334.2691,27763400,14460102,1.92,zeewaarts,beperkt,Nieuw, ,Den Helder,F33,,"POLYGON ((590332.4013 5855126.7546, 591676.9406000003 5858821.8367, 590367.5011 5861988.422599999, 593627.6190999998 5861841.4816, 593974.8607000001 5860490.056500001, 593199.8709000004 5860515.5211, 593199.8765000002 5858320.482899999, 594033.1284999996 5855259.699899999, 590332.4013 5855126.7546))"
zoekgebied_mer_2018_2027.36,Commercieel,Q2_ZC_On01a,Vergund,Actief,2,Q2-1,geschikt,4,Hollandse kust,Kop Noord-Holland,5661631.62688,12524820,6643308,1.92,kustwaarts,beperkt,Q2A,Spaansen Grondstoffen en Logistiek,Den Helder,F29a; F29b,,"POLYGON ((602191.1160000004 5870858.5293000005, 603776.5480000004 5870892.657199999, 604894.9928000001 5870916.7346, 604758.4215000002 5870293.105900001, 604693.2189999996 5868813.2173999995, 603589.4221000001 5868448.3224, 602232.6879000003 5868900.1665, 602191.1160000004 5870858.5293000005))"
zoekgebied_mer_2018_2027.37,Commercieel,Q5_ZC_On01,Vergund,Actief,2,Q5-2,geschikt,2,Hollandse kust,Noord-Holland zuid,3158762.76225,12389940,6474224,1.92,kustwaarts,onbeperkt,Q5C'N, ,Callantsoog - Egmond,G35,,"POLYGON ((603484.3757999996 5848483.962400001, 603511.5465000002 5848199.6241, 603543.6754000001 5847915.805500001, 603580.7522 5847632.590399999, 603622.7668000003 5847350.066299999, 603669.7045999998 5847068.318299999, 603721.5536000002 5846787.4307, 603778.2961999997 5846507.493000001, 603839.9151999997 5846228.587400001, 603900.0931000002 5845977.1249, 603906.4068999998 5845950.741800001, 603899.6325000003 5845977.0008000005, 603906.1475 5845937.910499999, 602900.7674000002 5845909.1854, 602398.898 5849155.304400001, 603439.4598000003 5849181.514699999, 603444.9418000001 5849053.8390999995, 603462.1725000003 5848768.729699999, 603484.3757999996 5848483.962400001))"
zoekgebied_mer_2018_2027.38,Commercieel,Q5_ZC_On02,Vergund,Actief,2,Q5-1,geschikt,2,Hollandse kust,Noord-Holland zuid,7747315.95907,25001980,12885774,1.92,kustwaarts,onbeperkt,Q5D,DC River B.V.,Callantsoog - Egmond,G34,,"POLYGON ((602201.4555000002 5849158.956900001, 602084.1448999997 5854720.4168, 603787.8147999998 5854756.8347, 603779.1295999996 5854699.991800001, 603697.5698999995 5854095.7497000005, 603626.5691 5853490.1786, 603566.1465999996 5852883.4596, 603516.3228000002 5852275.7787999995, 603477.1118999999 5851667.3214, 603448.5251000002 5851058.2719, 603430.5732000005 5850448.8159, 603423.1867000004 5849832.9991999995, 603432.5664999997 5849342.0646, 603439.4598000003 5849181.514699999, 602398.898 5849155.304400001, 602201.4555000002 5849158.956900001))"
zoekgebied_mer_2018_2027.39,Commercieel,Q8_ZC_Di01,Nieuw,Nieuw,6,Q8-4,deels,4,Hollandse kust,Noord-Holland zuid,10720598.7829,29213750,15147218,1.92,kustwaarts,beperkt,Nieuw, ,Egmond - Ijmuiden,L87_88; L88,,"POLYGON ((585211.0713999998 5821365.6635, 585980.2807999998 5822785.823899999, 587054.0832000002 5824943.214400001, 587040.9458999997 5823501.8926, 590770.5078999996 5823514.545499999, 589184.7665999997 5821272.940400001, 588873.2795000002 5820839.9341, 587018.7289000005 5821035.3826, 585943.4994999999 5821254.485200001, 585211.0713999998 5821365.6635))"
zoekgebied_mer_2018_2027.40,Kustlijnzorg,Q5_ZD_Di01,Nieuw,Nieuw,6,Q5-6,deels,4,Hollandse kust,Noord-Holland zuid,3913424.96544,13243470,6364892,1.92,kustwaarts,beperkt,Q5K, ,Callantsoog - Egmond,G37; G37_west,,"POLYGON ((597170.3613 5838676.264799999, 598417.9609000003 5839710.9636, 600005.4643999999 5839710.962400001, 598345.8702999996 5836922.7842999995, 597764.3732000003 5837793.0265999995, 597170.3613 5838676.264799999))"
zoekgebied_mer_2018_2027.41,Combi,Q10_CO_ZZ01,Nieuw,Nieuw,6,Q10-4,geschikt,6,Hollandse kust,Zuid-Holland noord,10405486.5417,62432920,32517145,1.92,zeewaarts,onbeperkt,Q10B',SPAANSEN GRONDSTOFFEN EN LOGISTIEK & DC RIVER B.V.,Zandvoort,M92,,"POLYGON ((578799.0669 5813777.773399999, 580121.9862000002 5813777.773399999, 582132.8234999999 5810232.3497, 578481.5662000002 5809279.8478, 578799.0669 5813777.773399999))"
zoekgebied_mer_2018_2027.42,Combi,Q5_CO_ZZ01,Nieuw,Nieuw,6,Q5-7,deels,4,Hollandse kust,Noord-Holland zuid,4038684.39789,16154740,8413926,1.92,zeewaarts,beperkt,Nieuw, ,Callantsoog - Egmond,G36b,,"POLYGON ((591909.1972000003 5841219.0887, 587940.4392999997 5838996.5843, 588097.2144999998 5840877.8873, 589306.6578000002 5840824.6406, 591896.3624 5841822.3237, 591909.1972000003 5841219.0887))"
zoekgebied_mer_2018_2027.43,Kustlijnzorg,Q8_ZD_Di01,Nieuw,Nieuw,6,Q8-5,geschikt,6,Hollandse kust,Noord-Holland zuid,4615476.71845,27719880,14423366,1.92,kustwaarts,onbeperkt,Nieuw, ,Egmond - IJmuiden,L87,,"POLYGON ((587040.9458999997 5823501.8926, 587054.0832000002 5824943.214400001, 589752.8388 5824943.212400001, 590770.5078999996 5823514.545499999, 587040.9458999997 5823501.8926))"
zoekgebied_mer_2018_2027.44,Kustlijnzorg,Q5_ZD_di02,Vergund,ntb,0,Q5-3,deels,4,Hollandse kust,Noord-Holland zuid,3720843.52096,0,5203977,2.86,kustwaarts,beperkt,Q5A, ,0,G38_noord,,"POLYGON ((601780.5219 5838131.8343, 600280.3103999998 5838247.7741, 600735.9567999998 5839061.101199999, 601919.5915000001 5841173.8848, 602858.6146999998 5841135.858999999, 601780.5219 5838131.8343))"
zoekgebied_mer_2018_2027.45,Combi,P18_CO_ZZ01,Vergund,Actief,6,P18-2,geschikt,6,Hollandse kust,Zuid-Holland zuid,15747994.516,94487970,49212483,1.92,zeewaarts,onbeperkt,P18B' en P18B,Zeezand & SCELVERINGHE SCHEEPVAART& DC RIVER B.V.,Maasvlakte,N104,,"POLYGON ((555096.8853000002 5771217.9717999995, 551527.3614999996 5770351.043199999, 551302.6491 5770353.534499999, 551259.7786999997 5774519.562899999, 555879.4379000003 5774570.6708, 555096.8853000002 5771217.9717999995))"
