FID,fi_code_p,gdb_geomattr_data,shape
bomen.51,Boom5+,,POINT (177599.4360000007 312308.33300000057)
bomen.52,Boom5+,,POINT (177453.39600000158 312312.438000001)
bomen.53,Boom5+,,POINT (177361.3599999994 312314.2470000014)
bomen.54,Boom5+,,POINT (177435.2899999991 312314.41000000015)
bomen.55,Boom5+,,POINT (177599.9910000004 312318.3570000008)
bomen.56,Boom5+,,POINT (177446.70100000128 312319.2129999995)
bomen.57,Boom5+,,POINT (177369.30900000036 312323.28500000015)
bomen.58,Boom5+,,POINT (177668.0949999988 312323.4070000015)
bomen.59,Boom5+,,POINT (177659.97100000083 312323.8990000002)
bomen.60,Boom5+,,POINT (177466.9450000003 312324.3260000013)
bomen.61,Boom5+,,POINT (177440.99799999967 312327.17599999905)
bomen.62,Boom5+,,POINT (177600.32400000095 312327.6779999994)
bomen.63,Boom5+,,POINT (177651.73699999973 312332.0450000018)
bomen.64,Boom5+,,POINT (177644.10799999908 312333.6259999983)
bomen.65,Boom5+,,POINT (176729.69299999997 312335.66600000113)
bomen.66,Boom5+,,POINT (177601.34899999946 312337.4759999998)
bomen.67,Boom5+,,POINT (177372.62200000137 312337.8060000017)
bomen.68,Boom5+,,POINT (177652.06700000167 312341.08399999887)
bomen.69,Boom5+,,POINT (177628.7589999996 312343.0329999998)
bomen.70,Boom5+,,POINT (177603.0549999997 312348.4479999989)
bomen.71,Boom5+,,POINT (176726.66000000015 312354.2179999985)
bomen.72,Boom5+,,POINT (177603.86300000176 312357.0780000016)
bomen.73,Boom5+,,POINT (177362.89799999818 312361.93400000036)
bomen.74,Boom5+,,POINT (177604.40199999884 312368.2670000009)
bomen.75,Boom5+,,POINT (177406.23200000077 312373.64400000125)
bomen.76,Boom5+,,POINT (177606.63899999857 312376.9219999984)
bomen.77,Boom5+,,POINT (177412.09899999946 312379.3530000001)
bomen.78,Boom5+,,POINT (177607.2100000009 312387.22399999946)
bomen.79,Boom5+,,POINT (177408.46599999815 312387.9990000017)
bomen.80,Boom5+,,POINT (177524.4389999993 312393.01300000027)
bomen.81,Boom5+,,POINT (177513.09899999946 312394.47300000116)
bomen.82,Boom5+,,POINT (177436.6889999993 312395.35500000045)
bomen.83,Boom5+,,POINT (177607.311999999 312396.80000000075)
bomen.84,Boom5+,,POINT (177490.66200000048 312399.8220000006)
bomen.85,Boom5+,,POINT (177444.68400000036 312401.4970000014)
bomen.86,Boom5+,,POINT (177564.9530000016 312403.3200000003)
bomen.87,Boom5+,,POINT (177552.22399999946 312403.35599999875)
bomen.88,Boom5+,,POINT (177468.60700000077 312404.28500000015)
bomen.89,Boom5+,,POINT (177530.56599999964 312406.5150000006)
bomen.90,Boom5+,,POINT (177440.5150000006 312406.686999999)
bomen.91,Boom5+,,POINT (177430.9750000015 312406.9970000014)
bomen.92,Boom5+,,POINT (177607.88100000098 312407.2199999988)
bomen.93,Boom5+,,POINT (177412.96200000122 312408.22100000083)
bomen.94,Boom5+,,POINT (177403.9530000016 312408.2679999992)
bomen.95,Boom5+,,POINT (177422.30600000173 312408.36100000143)
bomen.96,Boom5+,,POINT (177497.88599999994 312417.1640000008)
bomen.97,Boom5+,,POINT (177607.44299999997 312417.23600000143)
bomen.98,Boom5+,,POINT (177488.96599999815 312417.6730000004)
bomen.99,Boom5+,,POINT (177404.56899999827 312418.0850000009)
bomen.100,Boom5+,,POINT (177533.90199999884 312423.5720000006)
bomen.101,Boom5+,,POINT (177416.81599999964 312424.5069999993)
bomen.102,Boom5+,,POINT (177427.5399999991 312424.76300000027)
bomen.103,Boom5+,,POINT (177407.79100000113 312425.01900000125)
bomen.104,Boom5+,,POINT (177438.41600000113 312425.0929999985)
bomen.105,Boom5+,,POINT (177525.29199999943 312425.4140000008)
bomen.106,Boom5+,,POINT (177607.34899999946 312427.0159999989)
bomen.107,Boom5+,,POINT (177390.50499999896 312427.0949999988)
bomen.108,Boom5+,,POINT (177427.76900000125 312428.26199999824)
bomen.109,Boom5+,,POINT (177408.35599999875 312429.2749999985)
bomen.110,Boom5+,,POINT (177399.03299999982 312429.6009999998)
bomen.111,Boom5+,,POINT (177417.55999999866 312429.80900000036)
bomen.112,Boom5+,,POINT (177438.43100000173 312430.7030000016)
bomen.113,Boom5+,,POINT (177421.3599999994 312439.2589999996)
bomen.114,Boom5+,,POINT (177380.72899999842 312440.22300000116)
bomen.115,Boom5+,,POINT (177470.80099999905 312443.99599999934)
bomen.116,Boom5+,,POINT (177606.82200000063 312447.12099999934)
bomen.117,Boom5+,,POINT (177493.9210000001 312453.10500000045)
bomen.118,Boom5+,,POINT (177605.63599999994 312457.3020000011)
bomen.119,Boom5+,,POINT (177527.04800000042 312458.04399999976)
bomen.120,Boom5+,,POINT (177431.28599999845 312462.2129999995)
bomen.121,Boom5+,,POINT (177526.3900000006 312467.23000000045)
bomen.122,Boom5+,,POINT (177605.25400000066 312467.2340000011)
bomen.123,Boom5+,,POINT (177495.73099999875 312468.9849999994)
bomen.124,Boom5+,,POINT (177603.36199999973 312476.44900000095)
bomen.125,Boom5+,,POINT (177510.5399999991 312476.9200000018)
bomen.126,Boom5+,,POINT (177430.69999999925 312477.41600000113)
bomen.127,Boom5+,,POINT (177450.51099999994 312478.72399999946)
bomen.128,Boom5+,,POINT (177601.85700000077 312487.05900000036)
bomen.129,Boom5+,,POINT (177415.70100000128 312487.2190000005)
bomen.130,Boom5+,,POINT (177432.563000001 312487.7129999995)
bomen.131,Boom5+,,POINT (177601.00299999863 312496.50499999896)
bomen.132,Boom5+,,POINT (177599.64499999955 312507.23900000006)
bomen.133,Boom5+,,POINT (177598.1790000014 312516.1409999989)
bomen.134,Boom5+,,POINT (177435.89400000125 312520.4609999992)
bomen.135,Boom5+,,POINT (177597.7580000013 312525.8429999985)
bomen.136,Boom5+,,POINT (177596.33999999985 312546.0610000007)
bomen.137,Boom5+,,POINT (177395.83100000024 312549.31599999964)
bomen.138,Boom5+,,POINT (178074.89299999923 312562.4299999997)
bomen.139,Boom5+,,POINT (178073.8449999988 312565.6550000012)
bomen.140,Boom5+,,POINT (177495.89499999955 312566.91899999976)
bomen.141,Boom5+,,POINT (178069.98900000006 312571.80000000075)
bomen.142,Boom5+,,POINT (178067.44999999925 312578.54100000113)
bomen.143,Boom5+,,POINT (177596.09800000116 312589.88800000027)
bomen.144,Boom5+,,POINT (177596.72899999842 312605.42500000075)
bomen.145,Boom5+,,POINT (177597.06500000134 312621.35599999875)
bomen.146,Boom5+,,POINT (177599.70699999854 312634.82400000095)
bomen.147,Boom5+,,POINT (177575.38800000027 312635.8999999985)
bomen.148,Boom5+,,POINT (177544.89499999955 312639.93499999866)
bomen.149,Boom5+,,POINT (177565.41800000146 312644.9829999991)
bomen.150,Boom5+,,POINT (177538.1719999984 312645.2170000002)
bomen.151,Boom5+,,POINT (177575.8500000015 312645.5179999992)
bomen.152,Boom5+,,POINT (177557.51199999824 312648.85500000045)
bomen.153,Boom5+,,POINT (177565.77800000086 312650.0729999989)
bomen.154,Boom5+,,POINT (175876.88599999994 307621.4979999997)
bomen.155,Boom5+,,POINT (176482.93100000173 307640.6070000008)
bomen.156,Boom5+,,POINT (176444.48200000077 307775.1009999998)
bomen.157,Boom5+,,POINT (176462.54399999976 307794.7820000015)
bomen.158,Boom5+,,POINT (175980.6559999995 308040.0089999996)
bomen.159,Boom5+,,POINT (176507.1700000018 308079.13899999857)
bomen.160,Boom5+,,POINT (176518.56799999997 308089.7430000007)
bomen.161,Boom5+,,POINT (176447.14499999955 308093.1039999984)
bomen.162,Boom5+,,POINT (176498.86899999902 308096.3520000018)
bomen.163,Boom5+,,POINT (176437.80099999905 308098.868999999)
bomen.164,Boom5+,,POINT (176060.375 308156.72199999914)
bomen.165,Boom5+,,POINT (176050.05299999937 308161.9609999992)
bomen.166,Boom5+,,POINT (176063.85300000012 308206.51099999994)
bomen.167,Boom5+,,POINT (176297.3040000014 308426.01900000125)
bomen.168,Boom5+,,POINT (176529.58700000122 308458.1330000013)
bomen.169,Boom5+,,POINT (176540.44200000167 308464.4279999994)
bomen.170,Boom5+,,POINT (176719.2100000009 308608.8770000003)
bomen.171,Boom5+,,POINT (176440.83100000024 308625.1490000002)
bomen.172,Boom5+,,POINT (176740.85599999875 308639.7710000016)
bomen.173,Boom5+,,POINT (176748.13100000098 308649.7509999983)
bomen.174,Boom5+,,POINT (176452.1719999984 308662.88800000027)
bomen.175,Boom5+,,POINT (176534.28700000048 308678.3370000012)
bomen.176,Boom5+,,POINT (176546.85500000045 308690.9479999989)
bomen.177,Boom5+,,POINT (176470.0850000009 308693.9820000008)
bomen.178,Boom5+,,POINT (176485.69900000095 308696.8269999996)
bomen.179,Boom5+,,POINT (176552.33799999952 308698.0709999986)
bomen.180,Boom5+,,POINT (176493.48800000176 308705.17599999905)
bomen.181,Boom5+,,POINT (176557.09200000018 308709.4910000004)
bomen.182,Boom5+,,POINT (176565.06700000167 308724.6810000017)
bomen.183,Boom5+,,POINT (176812.1090000011 308874.5769999996)
bomen.184,Boom5+,,POINT (176920.58799999952 308878.35599999875)
bomen.185,Boom5+,,POINT (176633.5399999991 308889.0769999996)
bomen.186,Boom5+,,POINT (176812.72700000182 308889.6409999989)
bomen.187,Boom5+,,POINT (176671.05200000107 308903.6939999983)
bomen.188,Boom5+,,POINT (176643.40399999917 308905.6220000014)
bomen.189,Boom5+,,POINT (176678.33100000024 308911.3830000013)
bomen.190,Boom5+,,POINT (176813.37999999896 308914.89499999955)
bomen.191,Boom5+,,POINT (176645.85399999842 308921.81799999997)
bomen.192,Boom5+,,POINT (176811.87900000066 308922.8570000008)
bomen.193,Boom5+,,POINT (176645.15900000185 308938.7170000002)
bomen.194,Boom5+,,POINT (176809.14400000125 308941.1970000006)
bomen.195,Boom5+,,POINT (176662.75200000033 308950.6279999986)
bomen.196,Boom5+,,POINT (176814.52100000158 308962.7039999999)
bomen.197,Boom5+,,POINT (176818.84099999815 308977.6559999995)
bomen.198,Boom5+,,POINT (176821.9990000017 308985.7879999988)
bomen.199,Boom5+,,POINT (176825.72800000012 308992.36400000006)
bomen.200,Boom5+,,POINT (176829.20800000057 309000.76099999994)
bomen.201,Boom5+,,POINT (176707.46400000155 309013.93499999866)
bomen.202,Boom5+,,POINT (176766.53200000152 309076.3960000016)
bomen.203,Boom5+,,POINT (176764.186999999 309102.96499999985)
bomen.204,Boom5+,,POINT (176789.34600000083 309103.6570000015)
bomen.205,Boom5+,,POINT (176924.6240000017 309116.07499999925)
bomen.206,Boom5+,,POINT (176916.35399999842 309124.4519999996)
bomen.207,Boom5+,,POINT (176911.66899999976 309128.41699999943)
bomen.208,Boom5+,,POINT (176959.1860000007 309129.8740000017)
bomen.209,Boom5+,,POINT (176944.33100000024 309137.5390000008)
bomen.210,Boom5+,,POINT (176975.85599999875 309156.6279999986)
bomen.211,Boom5+,,POINT (176809.7650000006 309158.66699999943)
bomen.212,Boom5+,,POINT (176977.77100000158 309164.9970000014)
bomen.213,Boom5+,,POINT (176946.9759999998 309187.3929999992)
bomen.214,Boom5+,,POINT (176848.9299999997 309207.86499999836)
bomen.215,Boom5+,,POINT (176865.3839999996 309257.9059999995)
bomen.216,Boom5+,,POINT (176920.23699999973 309272.76300000027)
bomen.217,Boom5+,,POINT (176935.1860000007 309320.70600000024)
bomen.218,Boom5+,,POINT (176932.4699999988 309321.3570000008)
bomen.219,Boom5+,,POINT (176949.89799999818 309327.79199999943)
bomen.220,Boom5+,,POINT (176926.27699999884 309329.6810000017)
bomen.221,Boom5+,,POINT (176914.34600000083 309337.1499999985)
bomen.222,Boom5+,,POINT (176934.0249999985 309421.8920000009)
bomen.223,Boom5+,,POINT (176988.1409999989 309449.0549999997)
bomen.224,Boom5+,,POINT (176977.64799999818 309450.0689999983)
bomen.225,Boom5+,,POINT (176978.83300000057 309503.2120000012)
bomen.226,Boom5+,,POINT (177023.37200000137 309571.2829999998)
bomen.227,Boom5+,,POINT (177031.42799999937 309576.34800000116)
bomen.228,Boom5+,,POINT (177014.125 309577.7980000004)
bomen.229,Boom5+,,POINT (177021.6339999996 309577.9770000018)
bomen.230,Boom5+,,POINT (177031.50299999863 309582.0229999982)
bomen.231,Boom5+,,POINT (177031.40700000152 309586.32499999925)
bomen.232,Boom5+,,POINT (177027.3139999993 309589.56500000134)
bomen.233,Boom5+,,POINT (177017.7899999991 309591.243999999)
bomen.234,Boom5+,,POINT (177010.7340000011 309591.6460000016)
bomen.235,Boom5+,,POINT (176989.60399999842 309600.9789999984)
bomen.236,Boom5+,,POINT (177020.08399999887 309601.59699999914)
bomen.237,Boom5+,,POINT (176991.38699999824 309609.6220000014)
bomen.238,Boom5+,,POINT (177014.82200000063 309610.30000000075)
bomen.239,Boom5+,,POINT (177128.8740000017 310071.92599999905)
bomen.240,Boom5+,,POINT (177148.4690000005 310124.36499999836)
bomen.241,Boom5+,,POINT (177157.3299999982 310145.8520000018)
bomen.242,Boom5+,,POINT (177160.27899999917 310157.3979999982)
bomen.243,Boom5+,,POINT (177185.10200000182 310241.936999999)
bomen.244,Boom5+,,POINT (177215.1950000003 310354.8280000016)
bomen.245,Boom5+,,POINT (177404.30900000036 310421.45699999854)
bomen.246,Boom5+,,POINT (177388.73299999908 310421.9219999984)
bomen.247,Boom5+,,POINT (177381.3669999987 310422.13899999857)
bomen.248,Boom5+,,POINT (177411.55200000107 310422.3049999997)
bomen.249,Boom5+,,POINT (177373.67599999905 310422.5080000013)
bomen.250,Boom5+,,POINT (177396.17300000042 310422.58199999854)
bomen.251,Boom5+,,POINT (177419.33700000122 310422.6270000003)
bomen.252,Boom5+,,POINT (177435.23600000143 310422.63599999994)
bomen.253,Boom5+,,POINT (177443.13199999928 310422.63899999857)
bomen.254,Boom5+,,POINT (177367.28700000048 310422.80700000003)
bomen.255,Boom5+,,POINT (177427.76300000027 310422.8509999998)
bomen.256,Boom5+,,POINT (177458.58399999887 310422.9200000018)
bomen.257,Boom5+,,POINT (177465.9600000009 310423.1710000001)
bomen.258,Boom5+,,POINT (177489.2100000009 310423.1719999984)
bomen.259,Boom5+,,POINT (177505.3299999982 310423.2899999991)
bomen.260,Boom5+,,POINT (177339.39200000092 310426.7719999999)
bomen.261,Boom5+,,POINT (177342.65399999917 310430.0769999996)
bomen.262,Boom5+,,POINT (177365.7049999982 310430.3779999986)
bomen.263,Boom5+,,POINT (177337.58900000155 310431.93200000003)
bomen.264,Boom5+,,POINT (177371.15799999982 310432.7250000015)
bomen.265,Boom5+,,POINT (177357.55000000075 310434.4530000016)
bomen.266,Boom5+,,POINT (177345.3049999997 310434.55700000003)
bomen.267,Boom5+,,POINT (177264.16099999845 310434.93299999833)
bomen.268,Boom5+,,POINT (177341.09099999815 310438.67599999905)
bomen.269,Boom5+,,POINT (177302.34200000018 310438.83999999985)
bomen.270,Boom5+,,POINT (177348.5709999986 310439.16800000146)
bomen.271,Boom5+,,POINT (177325.2199999988 310442.44900000095)
bomen.272,Boom5+,,POINT (177331.6400000006 310442.5179999992)
bomen.273,Boom5+,,POINT (177266.4360000007 310443.3500000015)
bomen.274,Boom5+,,POINT (177305.2580000013 310444.15100000054)
bomen.275,Boom5+,,POINT (177338.12799999863 310445.2950000018)
bomen.276,Boom5+,,POINT (177317.10700000077 310446.438000001)
bomen.277,Boom5+,,POINT (177321.8999999985 310447.3830000013)
bomen.278,Boom5+,,POINT (177327.53799999878 310448.3740000017)
bomen.279,Boom5+,,POINT (177308.0390000008 310448.8920000009)
bomen.280,Boom5+,,POINT (177313.2419999987 310450.10500000045)
bomen.281,Boom5+,,POINT (177266.71299999952 310451.938000001)
bomen.282,Boom5+,,POINT (177310.811999999 310454.2010000013)
bomen.283,Boom5+,,POINT (177276.74799999967 310455.76199999824)
bomen.284,Boom5+,,POINT (177304.94000000134 310456.3979999982)
bomen.285,Boom5+,,POINT (177280.98600000143 310458.1000000015)
bomen.286,Boom5+,,POINT (177299.2100000009 310458.59800000116)
bomen.287,Boom5+,,POINT (177267.60200000182 310459.5370000005)
bomen.288,Boom5+,,POINT (177293.76900000125 310460.5159999989)
bomen.289,Boom5+,,POINT (177287.8990000002 310462.5709999986)
bomen.290,Boom5+,,POINT (177282.30799999833 310465.23800000176)
bomen.291,Boom5+,,POINT (177266.28700000048 310467.7030000016)
bomen.292,Boom5+,,POINT (177265.13800000027 310478.2679999992)
bomen.293,Boom5+,,POINT (177262.82299999893 310486.0020000003)
bomen.294,Boom5+,,POINT (177378.14499999955 310494.7049999982)
bomen.295,Boom5+,,POINT (177504.12799999863 310503.97100000083)
bomen.296,Boom5+,,POINT (177255.51999999955 310508.4770000018)
bomen.297,Boom5+,,POINT (177254.15799999982 310516.6420000009)
bomen.298,Boom5+,,POINT (177251.74799999967 310523.37000000104)
bomen.299,Boom5+,,POINT (177249.5 310530.4519999996)
bomen.300,Boom5+,,POINT (177247.44000000134 310538.43299999833)
bomen.301,Boom5+,,POINT (177245.38199999928 310545.5210000016)
bomen.302,Boom5+,,POINT (177243.125 310554.0300000012)
bomen.303,Boom5+,,POINT (177239.96799999848 310561.29399999976)
bomen.304,Boom5+,,POINT (177166.96499999985 310567.63800000027)
bomen.305,Boom5+,,POINT (177237.39299999923 310569.69200000167)
bomen.306,Boom5+,,POINT (177234.84600000083 310576.01000000164)
bomen.307,Boom5+,,POINT (177171.3740000017 310582.0610000007)
bomen.308,Boom5+,,POINT (177232.15300000086 310584.2890000008)
bomen.309,Boom5+,,POINT (177178.80600000173 310587.13500000164)
bomen.310,Boom5+,,POINT (177187.52600000054 310590.2259999998)
bomen.311,Boom5+,,POINT (177229.48299999908 310590.9849999994)
bomen.312,Boom5+,,POINT (177171.06500000134 310593.87000000104)
bomen.313,Boom5+,,POINT (177194.87000000104 310594.125)
bomen.314,Boom5+,,POINT (177161.30099999905 310594.40399999917)
bomen.315,Boom5+,,POINT (177202.04300000146 310597.1770000011)
bomen.316,Boom5+,,POINT (177260.20100000128 310598.5379999988)
bomen.317,Boom5+,,POINT (177226.38699999824 310598.9470000006)
bomen.318,Boom5+,,POINT (177186.96599999815 310599.91600000113)
bomen.319,Boom5+,,POINT (177159.69200000167 310600.1739999987)
bomen.320,Boom5+,,POINT (177209.29100000113 310601.35500000045)
bomen.321,Boom5+,,POINT (177247.95899999887 310603.19200000167)
bomen.322,Boom5+,,POINT (177268.49799999967 310605.94099999964)
bomen.323,Boom5+,,POINT (177223.5709999986 310606.09099999815)
bomen.324,Boom5+,,POINT (177251.74500000104 310611.06700000167)
bomen.325,Boom5+,,POINT (177292.58399999887 310614.8900000006)
bomen.326,Boom5+,,POINT (177218.09600000083 310620.54100000113)
bomen.327,Boom5+,,POINT (177240.67500000075 310621.381000001)
bomen.328,Boom5+,,POINT (177476.6160000004 310621.436999999)
bomen.329,Boom5+,,POINT (177498.08199999854 310621.493999999)
bomen.330,Boom5+,,POINT (177318.55900000036 310623.3289999999)
bomen.331,Boom5+,,POINT (177285.0940000005 310626.04100000113)
bomen.332,Boom5+,,POINT (177214.7969999984 310627.9979999997)
bomen.333,Boom5+,,POINT (177251.5399999991 310628.43400000036)
bomen.334,Boom5+,,POINT (177344.6799999997 310631.40300000086)
bomen.335,Boom5+,,POINT (177260.71799999848 310632.73699999973)
bomen.336,Boom5+,,POINT (177289.67799999937 310632.9840000011)
bomen.337,Boom5+,,POINT (177210.5450000018 310635.1220000014)
bomen.338,Boom5+,,POINT (177432.01099999994 310636.41000000015)
bomen.339,Boom5+,,POINT (177252.01000000164 310640.7969999984)
bomen.340,Boom5+,,POINT (177206.4539999999 310642.0879999995)
bomen.341,Boom5+,,POINT (177237.58999999985 310642.6469999999)
bomen.342,Boom5+,,POINT (177456.31799999997 310643.4910000004)
bomen.343,Boom5+,,POINT (177443.90900000185 310644.91800000146)
bomen.344,Boom5+,,POINT (177201.8990000002 310648.08999999985)
bomen.345,Boom5+,,POINT (177228.80700000003 310654.6970000006)
bomen.346,Boom5+,,POINT (177197.01000000164 310655.0450000018)
bomen.347,Boom5+,,POINT (177504.5540000014 310657.9530000016)
bomen.348,Boom5+,,POINT (177441.92399999872 310660.2879999988)
bomen.349,Boom5+,,POINT (177376.87700000033 310660.8579999991)
bomen.350,Boom5+,,POINT (177192.61400000006 310661.0489999987)
bomen.351,Boom5+,,POINT (177225.14600000158 310661.4759999998)
bomen.352,Boom5+,,POINT (177435.48900000006 310661.6409999989)
bomen.353,Boom5+,,POINT (177393.125 310662.13800000027)
bomen.354,Boom5+,,POINT (177491.7259999998 310664.8020000011)
bomen.355,Boom5+,,POINT (177423.47899999842 310665.9629999995)
bomen.356,Boom5+,,POINT (177379.67799999937 310667.0150000006)
bomen.357,Boom5+,,POINT (177309.8500000015 310667.63500000164)
bomen.358,Boom5+,,POINT (177187.40900000185 310667.83999999985)
bomen.359,Boom5+,,POINT (177416.72300000116 310668.83100000024)
bomen.360,Boom5+,,POINT (177409.21599999815 310670.7650000006)
bomen.361,Boom5+,,POINT (177279.9450000003 310670.8929999992)
bomen.362,Boom5+,,POINT (177266.4219999984 310673.0549999997)
bomen.363,Boom5+,,POINT (177390.89299999923 310675.6959999986)
bomen.364,Boom5+,,POINT (177238.14400000125 310675.9070000015)
bomen.365,Boom5+,,POINT (177493.57499999925 310676.7520000003)
bomen.366,Boom5+,,POINT (177224.0399999991 310677.7479999997)
bomen.367,Boom5+,,POINT (177314.73099999875 310678.0879999995)
bomen.368,Boom5+,,POINT (177228.1860000007 310687.3960000016)
bomen.369,Boom5+,,POINT (177174.83700000122 310687.45699999854)
bomen.370,Boom5+,,POINT (177228.95199999958 310705.15900000185)
bomen.371,Boom5+,,POINT (177159.25400000066 310716.76900000125)
bomen.372,Boom5+,,POINT (177242.74700000137 310724.46400000155)
bomen.373,Boom5+,,POINT (177158.9750000015 310725.06599999964)
bomen.374,Boom5+,,POINT (177387.68200000003 310819.5390000008)
bomen.375,Boom5+,,POINT (177575.65900000185 310819.7250000015)
bomen.376,Boom5+,,POINT (177034.1099999994 310835.1570000015)
bomen.377,Boom5+,,POINT (177397.7809999995 310840.22199999914)
bomen.378,Boom5+,,POINT (177284.72300000116 310845.14400000125)
bomen.379,Boom5+,,POINT (177020.84899999946 310848.7250000015)
bomen.380,Boom5+,,POINT (177400.17700000107 310848.98999999836)
bomen.381,Boom5+,,POINT (177405.1400000006 310857.02600000054)
bomen.382,Boom5+,,POINT (176969.33700000122 310865.07499999925)
bomen.383,Boom5+,,POINT (177001.39200000092 310888.3049999997)
bomen.384,Boom5+,,POINT (176957.39200000092 310892.0639999993)
bomen.385,Boom5+,,POINT (177001.74599999934 310896.0769999996)
bomen.386,Boom5+,,POINT (176955.66099999845 310900.2989999987)
bomen.387,Boom5+,,POINT (177207.2109999992 310900.4219999984)
bomen.388,Boom5+,,POINT (177196.89699999988 310900.6339999996)
bomen.389,Boom5+,,POINT (176988.58900000155 310901.2479999997)
bomen.390,Boom5+,,POINT (176996.6640000008 310903.9270000011)
bomen.391,Boom5+,,POINT (176951.19099999964 310910.95899999887)
bomen.392,Boom5+,,POINT (176982.00600000098 310912.81599999964)
bomen.393,Boom5+,,POINT (177010.6000000015 310918.7179999985)
bomen.394,Boom5+,,POINT (177088.82499999925 310924.91000000015)
bomen.395,Boom5+,,POINT (176967.30099999905 310941.8839999996)
bomen.396,Boom5+,,POINT (176959.62999999896 310952.54300000146)
bomen.397,Boom5+,,POINT (176950.45899999887 310952.84800000116)
bomen.398,Boom5+,,POINT (176949.69700000063 310957.15399999917)
bomen.399,Boom5+,,POINT (176972.52800000086 310957.58100000024)
bomen.400,Boom5+,,POINT (177202.17599999905 310964.188000001)
bomen.401,Boom5+,,POINT (177191.61199999973 310965.42500000075)
bomen.402,Boom5+,,POINT (177195.90100000054 310966.15900000185)
bomen.403,Boom5+,,POINT (177207.27199999988 310966.7569999993)
bomen.404,Boom5+,,POINT (176953.97300000116 310968.18499999866)
bomen.405,Boom5+,,POINT (177216.2740000002 310971.4290000014)
bomen.406,Boom5+,,POINT (177165.6640000008 310976.5639999993)
bomen.407,Boom5+,,POINT (177001.23200000077 310998.3200000003)
bomen.408,Boom5+,,POINT (177057.92500000075 311062.27800000086)
bomen.409,Boom5+,,POINT (177146.93299999833 311068.88800000027)
bomen.410,Boom5+,,POINT (177064.688000001 311070.5469999984)
bomen.411,Boom5+,,POINT (177069.79800000042 311079.83399999887)
