Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financi�n;Eindtotaal
Houthoff Coöperatief UA;;;;5;;;5
Human Competence;;;2;;;;2
I & O Research B.V.;;;2;;;;2
i3 groep;;;2;;;;2
iBabs B.V.;;;;;2;;2
IBM Nederland B.V.;;;3;;7;;7
ICTRecht B.V.;;;1;;;;1
In Creation;;;4;;;;4
In Je Kracht;;;1;;;;1
InnoValor B.V.;;2;;;;;2
Insocial B.V.;;;2;;;;2
Int. Knowledge & Networking (IKN) B.V.;;;;1;;;1
Intelligence Group B.V.;;;1;;;;1
Interactive Perception;;1;;;;;1
Interface Projects;;1;;;;;1
Interseco Security;;;1;;;;1
Ipsos B.V.;;;1;;;;1
Ivy Advocaten;;;;1;;;1
J. Duin B.V.;;;2;;;;2
J.S. Jonkers;;;2;;;;2
Jongens van de Photobooth;;;1;;;;1
Juridisch Adviesbureau Lamberti;;;;2;;;2
Kaats!;;;2;;;;2
Kantar Netherlands B.V.;;;2;;;;2
Keflavik B.V.;;;1;;;;1
Keijser Van der Velden N.V.;;;;1;;;1
Kennedy Van der Laan;;;1;;;;1
KERN Nederland B.V.;;;;;1;;1
Klinkaart B.V.;;1;;;;;1
KPN Corporate Market;;;3;;3;;4
Kurf Cartoons;;;1;;;;1
Lagerweij & Partner Consultants B.V.;;;;;1;;1
LocalFocus;;;;;2;;2
Loeper Advies;;;2;;;;2
Lois New Media;;1;;;;;1
LTP Advies B.V.;;;1;;;;1
MAAN consultancy;;1;;;;;1
Marketresponse Nederland B.V.;;;;;1;;1
Master Plaza Holding B.V.;;1;;;;;1
Max;;;4;;;;4
Maykin Media;;;;;3;;3
MBA Human Capital;;;2;;;;2
MediQuest B.V.;;;;;1;;1
Memo2 B.V.;;;2;;;;2
MetrixLab B.V.;;;2;;;;2
MindAffairs B.V.;;;2;;;;2
MobileInn;;;;;2;;2
Moongro;;;2;;;;2
Motivaction International B.V.;;;3;;;;3
MP Werving;;;1;;;;1
Mulder BizNiz;;;2;;;;2
MWM2 B.V.;;;4;;;;4
Nationaal Forensisch Onderzoeksbureau B.V.;;;1;;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;2;;;;2
Nederl. Categoriale Vakvereniging FinanciÃ«n;;3;;;;;3
No Labels Inc.;;;2;;;;2
Northwave B.V.;;;;;4;;4
Novius Adv.groep v. Inf. & Organisatie B.V.;;1;;;;;1
Nu Jij, Psychologisch Advies;;;1;;;;1
O&i management consultants B.V.;;;2;;;;2
onlinekabelshop.nl;;;1;;;;1
Oracle Nederland;;;;;7;;7
Organisatie-adviesbureau Op de Coul;;1;;;;;1
ORMIT B.V.;;;6;;;;6
OSN Nederland B.V.;;;;;1;;1
Panteia B.V.;;;2;;;;2
PBLQ B.V.;;;;;2;;2
Pels Rijcken & Droogleever Fortuijn N.V.;;;1;2;;;2
Pelta IT;;;;;2;;2
Perspective Bureau voor Marktonderzoek;;;2;;;;2
Planon B.V.;;;;;1;;1
PQR Holding;;;2;;;;2
PreFIS a.s.;;;;;3;;3
Pricewaterhousecoopers Advisory N.V.;;;3;;;;3
Privacy Company B.V.;;;1;;;;1
Protinus IT B.V.;;;2;;3;;4
Psycholog. Onderzoek en Advies Bureau Boosten;;;2;;;;2
PvIB: Platform voor informatiebeveiliging;;1;;;;;1
Questionmarkgroup B.V.;;;1;;;;1
Quint Wellington Redwood Nederland B.V.;;;;;3;;3
Reginbald Psychologisch Adviesbureau;;;3;;;;3
Right Marktonderzoek en Advies B.V.;;2;;;;;2
RSS Recruitment B.V.;;;2;;;;2
Ruhe Advies B.V.;;;2;;;;2
Ruigrok NetPanel;;;2;;;;2
RVC (Rob Vinke Consultancy);;1;;;;;1
Saint Gobain Construct. Prod. Nederland B.V.;;1;;;;;1
SAP Nederland B.V.;;;;;2;;2
Schakel Holding B.V.;;;1;;;;1
Schuberg Philis B.V.;;;;;6;;6
Secura B.V.;;;;;4;;4
Significance B.V.;;;2;;;;2
Simmons & Simmons LLP;;;;2;;;2
SiRM Healthcare B.V.;;;2;;;;2
Snackbar 'Willem';;1;;;;;1
SNS REAAL;;;;;;2;2
Social Pepper;;;2;;;;2
Soundfocus B.V.;;;1;;;;1
Sprengers Advocaten;;;;2;;;2
Steenvoud - Training & Advies;;;1;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;1;;;;7;7
Stg. Dr. Hilda Verwey-Jonker, I.v.O. van M.V.;;1;;;;;1
Stg. Escrow Waarb. Trip Advoc. & Notarissen;;;;1;;;1
Stg. Inst. voor Verz. in de Int.med.branche;;2;;;;;2
Stg. Kenniscentrum Center People & Buildings;;4;;;;;4
Stibbe B.V.;;;;4;;;4
Sticht. Int. Belasting Documentatie Bureau;;;2;;;;2
Stichting Accessibility;;;2;;;;2
Stichting De Ooievaart;;;1;;;;1
Stichting GXP;;;3;;;;3
Stichting Hanzehogeschool Groningen;;2;;;;;2
Stichting Saxion;;;2;;;;2
Stichting Toekomstbeeld der Techniek;;;1;;;;1
Stichting Werken op Maat;;2;;;;;2
Storys B.V.;;;;1;;;1
STPconsult;;;2;;;;2
Stroomt Holding B.V.;;;3;;;;3
Syspart B.V.;;;;;6;;6
't Leuve;;;1;;;;1
Tas Advies;;;2;;;;2
TeekensKarstens Advocaten B.V.;;;;2;;;2
Telindus-ISIT B.V.;;;;;1;;1
TEN HAVE Change Management B.V.;;;1;;;;1
The Careercoach;;;1;;;;1
The Culinary Force B.V.;;;1;;;;1
The Dj Company;;;1;;;;1
Tie Nederland B.V.;;3;;;;;3
Traxion Nederland B.V.;;;;;5;;5
Twisted Stranger B.V.;;;1;;;;1
Uitgetypt.nl;;;1;;;;1
UP learning B.V.;;;2;;2;;2
Value Insights Advisory B.V.;4;;;;;;4
Van Beek Art Supplies;;;1;;;;1
Van den Brekel Advocaten;;;;2;;;2
Van den Broek Consultancy & Juridisch advies;;;;1;;;1
Van Engelen B.V.;;;;;2;;2
Van Schoonhoven Legal2Practice;;;1;;;;1
Verbond van Verzekeraars;;;1;;;;1
Verdonck, Klooster & Associates B.V.;;;5;;;;5
Vereniging Informatica Alumni Windesheim;;1;;;;;1
Volendam Events;;1;;;;;1
vwd group Netherlands B.V.;;;;;2;;2
WEEELABEX Organisation;1;;;;;;1
Werken aan Werk, Werk aan Werken;;;1;;;;1
Wij Investments Unlimited Company;;;1;;;;1
Willems Ergonomie;;1;;;;;1
W-mediation;;;;1;;;1
Yuris Rechtshulp B.V.;;;;1;;;1
Eindtotaal;7;6;8;7;9;7;10
