FID,omschr,voorz_vop,voorz_fop,voorz_vri,rijrtnghrb,rijrtngzij,afbuiging,invent_oms,wegdeelltr,kmtr,wegnummer,fk_veld4,ibn,gdb_geomattr_data,shape
kruispunten_kenmerk.18,Pseudo T-kruispunt met voorrangsregeling,N,N,J,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Rechtdoor en rechtsaf toegestaan voor de linker zijstraat (D6R),,PRESIDENT KENNEDYLAAN,R,133.91499329,012,KPK0001085708,I,,POINT (195604.23090000078 444045.95430000126)
kruispunten_kenmerk.19,Pseudo T-kruispunt met voorrangsregeling,N,N,J,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij gelijkvloerse kruising (D6R + F7)",Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor de linker zijstraat (D4),,PRESIDENT KENNEDYLAAN,R,134.02999878,012,KPK0001085709,I,,POINT (195730.8035000004 444020.9316000007)
kruispunten_kenmerk.20,Pseudo T-kruispunt met voorrangsregeling,N,N,J,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Rechtdoor en rechtsaf toegestaan voor de linker zijstraat (D6R),,IJSSELWEG=A348,R,134.06799316,012,KPK0001085710,I,,POINT (195758.2573999986 443994.6653999984)
kruispunten_kenmerk.21,Pseudo T-kruispunt met voorrangsregeling,N,N,J,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij gelijkvloerse kruising (D6R + F7)",Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor de linker zijstraat (D4),,IJSSELWEG=A348,R,134.13000488,012,KPK0001085711,I,,POINT (195793.44999999925 443919.3244000003)
kruispunten_kenmerk.22,Rotonde,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,LELYWEG                        RIJKSSTRAATWEG,R,8.87699986,099,KPK0001087280,I,,POINT (120277.84409999847 544474.7168999985)
kruispunten_kenmerk.23,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,LELYWEG                        RIJKSSTRAATWEG,R,8.87699986,099,KPK0001087281,I,,POINT (120289.21070000157 544495.4193000011)
kruispunten_kenmerk.24,Pseudo kruispunt met voorrangsregeling,N,N,N,"Rechtdoor, rechtdoor met rechtsaf OF rechtdoor met linksaf toegestaan (D4 + D6R + D6L)",Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,AMSTELDIEPWEG                  RIJKSSTRAATWEG,R,9.1590004,099,KPK0001087282,I,,POINT (120568.39319999889 544536.6614999995)
kruispunten_kenmerk.25,Kruispunt met voorrangsregeling,N,N,N,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,GADERINGVIADUCT,R,49.79000092,015,KPK0001090131,I,,POINT (85321.06689999998 432266.4283000007)
kruispunten_kenmerk.26,Kruispunt met voorrangsregeling,N,N,N,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,N492,R,54.58200073,015,KPK0001090143,I,,POINT (89955.50450000167 431314.41310000047)
kruispunten_kenmerk.27,Kruispunt met voorrangsregeling,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,BOOTSWEG                       TAAIJERSWEG,R,6.4749999,059,KPK0001105811,I,,POINT (48645.294900000095 412209.4208999984)
kruispunten_kenmerk.28,T-kruispunt met een linksafvak in de hoofdrijbaan,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,VERSEPUTSEWEG,R,4.38899994,059,KPK0001105820,I,,POINT (49917.88089999929 410598.8242000006)
kruispunten_kenmerk.29,T-kruispunt met voorrangsregeling,N,N,J,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),,,OSDORPERWEG,R,5.61499977,200,KPK0001115962,I,,POINT (112230.52409999818 488624.1398999989)
kruispunten_kenmerk.30,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,PROVINCIALEWEG=N497,R,14.32299995,057,KPK0001116961,I,,POINT (65504.55070000142 429661.8531999998)
kruispunten_kenmerk.31,Rotonde,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,DALEBOUTSWEG,R,54.38999939,057,KPK0001119125,I,,POINT (40538.05469999835 411968.15349999815)
kruispunten_kenmerk.32,Rotonde,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,DALEBOUTSWEG,R,54.38999939,057,KPK0001119126,I,,POINT (40565.62999999896 411949.2501000017)
kruispunten_kenmerk.33,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,KRAAIJENSTEINWEG,R,54.98199844,057,KPK0001119128,I,,POINT (40134.85889999941 411506.9395999983)
kruispunten_kenmerk.34,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,KRAAIJENSTEINWEG,R,54.98199844,057,KPK0001119129,I,,POINT (40170.158100001514 411497.8189999983)
kruispunten_kenmerk.35,Kruispunt met voorrangsregeling,N,N,N,Rechtdoor met linksaf toegestaan (rechtsaf verbod) voor de linker hoofdrijbaan (D6L),Rechtdoor en rechtsaf toegestaan voor de linker zijstraat (D6R),,AMERSFOORTSESTRAATWEG,R,24.64500046,001,KPK0001122495,I,,POINT (142391.59200000018 475617.7419999987)
kruispunten_kenmerk.36,Kruispunt zonder voorrangsregeling,N,N,J,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),,,GROTE GENT                     VBW. C en D RW A65,R,121.19000244,002,KPK0001126295,I,,POINT (149072.34950000048 408376.05849999934)
kruispunten_kenmerk.37,Niet indeelbaar,N,N,N,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,OVERSTEEKPLAATS,R,33.68600082,004,KPK0001126837,I,,POINT (94680.90019999817 461723.2877999991)
kruispunten_kenmerk.38,Kruispunt met voorrangsregeling,N,N,J,Rechtdoor met rechtsaf toegestaan (linksaf verbod) voor de rechter hoofdrijbaan (D6R),Rechtdoor en linksaf toegestaan voor de rechter zijstraat (D6L),,EUROPAWEG,R,35.22600174,004,KPK0001126842,I,,POINT (93902.1975999996 460478.5131999999)
kruispunten_kenmerk.39,Kruispunt met voorrangsregeling,J,J,J,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,BUSBAAN,R,71.97499847,004,KPK0001127110,I,,POINT (84852.09160000086 436097.2474000007)
kruispunten_kenmerk.40,Kruispunt met voorrangsregeling,J,J,J,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,BUSBAAN,R,71.64700317,004,KPK0001127111,I,,POINT (84865.2190000005 436093.08100000024)
kruispunten_kenmerk.41,Niet indeelbaar,N,N,N,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,OVERSTEEKPLAATS,R,311.05300903,006,KPK0001129109,I,,POINT (184040.29320000112 552285.6726000011)
kruispunten_kenmerk.42,T-kruispunt met voorrangsregeling,N,N,N,Alleen rechtdoor toegestaan voor de rechter hoofdrijbaan (D4),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor de rechter zijstraat (D4),,CALAMITEITEN,R,51.01800156,009,KPK0001130411,I,,POINT (106092.77459999919 496123.0993999988)
kruispunten_kenmerk.43,T-kruispunt met voorrangsregeling,N,N,N,Alleen rechtdoor toegestaan voor de linker hoofdrijbaan (D4),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor de linker zijstraat (D4),,CALIMITEITEN,R,51.01599884,009,KPK0001130412,I,,POINT (106077.06309999898 496126.27540000156)
kruispunten_kenmerk.44,T-kruispunt met voorrangsregeling,N,N,N,Alleen rechtdoor toegestaan voor de rechter hoofdrijbaan (D4),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor de rechter zijstraat (D4),,CALAMITEITEN,R,52.70800018,009,KPK0001130520,I,,POINT (106588.70740000159 497734.1816999987)
kruispunten_kenmerk.45,T-kruispunt met voorrangsregeling,N,N,N,Alleen rechtdoor toegestaan voor de linker hoofdrijbaan (D4),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor de linker zijstraat (D4),,CALAMITEITEN,R,52.70800018,009,KPK0001130521,I,,POINT (106574.11300000176 497740.9012000002)
kruispunten_kenmerk.46,Pseudo T-kruispunt met voorrangsregeling,N,N,J,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Rechtdoor en rechtsaf toegestaan voor de linker zijstraat (D6R),,BS.,R,74.92299652,009,KPK0001130766,I,,POINT (111158.04679999873 514349.83839999884)
kruispunten_kenmerk.47,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,BERGERWEG,R,78.98000336,009,KPK0001130774,I,,POINT (110227.10429999977 517179.4589000009)
kruispunten_kenmerk.48,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,BERGERWEG,R,78.98000336,009,KPK0001130775,I,,POINT (110215.50349999964 517184.935800001)
kruispunten_kenmerk.49,Kruispunt met fysieke scheiding van de rijbanen,N,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,HELDERSEWEG	KOGELDIJK,R,81.68000031,009,KPK0001130778,I,,POINT (111450.51449999958 519520.8575000018)
kruispunten_kenmerk.50,Pseudo T-kruispunt met een linksafvak in de hoofdrijbaan,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,HEMMERWEG,R,90.79299927,009,KPK0001130784,I,,POINT (108079.85709999874 527242.1667000018)
kruispunten_kenmerk.51,T-kruispunt met voorrangsregeling,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,PARALLELWEG,R,93.34600067,009,KPK0001130785,I,,POINT (107398.17440000176 529658.1906000003)
kruispunten_kenmerk.52,Niet indeelbaar,N,N,N,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,OVERSTEEKPLAATS,R,93.40299988,009,KPK0001130787,I,,POINT (107388.97630000114 529714.4211999997)
kruispunten_kenmerk.53,Pseudo T-kruispunt met voorrangsregeling,N,J,N,Alle rijrichtingen toegestaan bij een zijstraat,,,PARALLELWEG,R,97.34899902,009,KPK0001130792,I,,POINT (109022.29520000145 533263.6550999992)
kruispunten_kenmerk.54,Pseudo T-kruispunt met voorrangsregeling,N,J,N,Alle rijrichtingen toegestaan bij een zijstraat,,,PARALLELWEG,R,97.84799957,009,KPK0001130808,I,,POINT (109229.11609999835 533711.2556999996)
kruispunten_kenmerk.55,Pseudo T-kruispunt met voorrangsregeling,N,J,N,Alle rijrichtingen toegestaan bij een zijstraat,,,PARALLELWEG,R,97.84799957,009,KPK0001130809,I,,POINT (109229.11609999835 533711.2556999996)
kruispunten_kenmerk.56,T-kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,PARALLELWEG,R,103.90100098,009,KPK0001130815,I,,POINT (112080.94619999826 538885.1165000014)
kruispunten_kenmerk.57,T-kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,Callantsogervaart,R,108.66600037,009,KPK0001130816,I,,POINT (113391.66479999945 543468.0207000002)
kruispunten_kenmerk.58,T-kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,Callantsogervaart,R,108.66600037,009,KPK0001130817,I,,POINT (113386.10770000145 543469.2126999982)
kruispunten_kenmerk.59,T-kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,SCHOOLWEG,R,110.82700348,009,KPK0001130818,I,,POINT (114257.72100000083 545466.3475000001)
kruispunten_kenmerk.60,T-kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,SCHOOLWEG,R,110.82700348,009,KPK0001130819,I,,POINT (114234.16409999877 545471.8709000014)
kruispunten_kenmerk.61,Pseudo kruispunt met fysieke scheiding van de rijbanen,J,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,KooYBUURT              RW.99,R,113.22200012,009,KPK0001130822,I,,POINT (115127.61780000106 547652.4732000008)
kruispunten_kenmerk.62,Pseudo kruispunt met fysieke scheiding van de rijbanen,J,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,KooYBUURT              RW.99,R,113.22200012,009,KPK0001130823,I,,POINT (115109.87669999897 547655.3134999983)
kruispunten_kenmerk.63,Kruispunt zonder voorrangsregeling,N,N,J,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij gelijkvloerse kruising (D6R + F7)",Rechtdoor en linksaf toegestaan voor de linker zijstraat (D6L),,RW.200 VBW.b                   RW.200 VBW.b,R,42.93000031,009,KPK0001130943,I,,POINT (108653.86710000038 488765.8979999982)
kruispunten_kenmerk.64,Kruispunt zonder voorrangsregeling,N,N,N,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij een zijstraat (D6R + F7)",Rechtdoor en linksaf toegestaan voor de rechter zijstraat (D6L),,'IND.ALKMAAR' (N242),R,74.76599884,009,KPK0001130959,I,,POINT (111262.96150000021 514306.44220000133)
kruispunten_kenmerk.65,Kruispunt met voorrangsregeling,N,N,N,"Alleen rechtdoor, keerverbod op linker hoofdrijbaan (D4 + F7)",Rechtdoor en rechtsaf toegestaan voor de linker zijstraat (D6R),,RW 9 VBW. r,R,74.80000305,009,KPK0001130960,I,,POINT (111235 514286)
kruispunten_kenmerk.66,Kruispunt zonder voorrangsregeling,N,N,N,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij een zijstraat (D6R + F7)",Alleen rechtdoor toegestaan en keerverbod voor de linker zijstraat (D4 + F7),,RW 9 VBW. S,R,74.86000061,009,KPK0001130961,I,,POINT (111187.19429999962 514299.8057000004)
kruispunten_kenmerk.67,Kruispunt met voorrangsregeling,N,N,N,Rechtdoor met rechtsaf toegestaan (linksaf verbod) voor de rechter hoofdrijbaan (D6R),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor de rechter zijstraat (D4),,'VONDELSTRAAT',R,74.8239975,009,KPK0001130962,I,,POINT (111260.97670000046 514372.02329999954)
kruispunten_kenmerk.68,Kruispunt zonder voorrangsregeling,N,N,N,"Alleen rechtdoor, keerverbod op rechter hoofdrijbaan (D4 + F7)",Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,'VONDELSTRAAT',R,74.875,009,KPK0001130963,I,,POINT (111228.51550000161 514389.4074999988)
kruispunten_kenmerk.69,Kruispunt met voorrangsregeling,N,N,N,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij een zijstraat (D6R + F7)",Alleen rechtdoor toegestaan en keerverbod voor de rechter zijstraat (D4 + F7),,RW 9 HFD. RECHTS,R,74.89299774,009,KPK0001130964,I,,POINT (111216 514390)
kruispunten_kenmerk.70,Pseudo kruispunt zonder voorrangsregeling,N,N,J,Rechtdoor met rechtsaf toegestaan (linksaf verbod) voor de rechter hoofdrijbaan (D6R),Rechtdoor met rechtsaf toegestaan en keerverbod voor beide zijstraten (D6R + F7),,SPOORWEGOVERGANG,R,9.47799969,010,KPK0001130970,I,,POINT (126619.22349999845 486779.6105999984)
kruispunten_kenmerk.71,Pseudo kruispunt zonder voorrangsregeling,N,N,J,Rechtdoor met rechtsaf toegestaan (linksaf verbod) voor de rechter hoofdrijbaan (D6R),Rechtdoor met rechtsaf toegestaan en keerverbod voor beide zijstraten (D6R + F7),,SPOORWEGOVERGANG,R,9.92700005,010,KPK0001130973,I,,POINT (126862.80930000171 486567.2096000016)
kruispunten_kenmerk.72,Pseudo kruispunt zonder voorrangsregeling,N,N,J,Rechtdoor met rechtsaf toegestaan (linksaf verbod) voor de rechter hoofdrijbaan (D6R),Rechtdoor met rechtsaf toegestaan en keerverbod voor beide zijstraten (D6R + F7),,SPOORWEGOVERGANG,R,10.08899975,010,KPK0001130974,I,,POINT (126629.36340000108 486771.63870000094)
kruispunten_kenmerk.73,T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alle rijrichtingen toegestaan bij een zijstraat,,,VBW.a & b =RW.  4              WILLEM VAN DER MADEWEG,R,0.05,011,KPK0001131808,I,,POINT (94682.31100000069 461733.2479999997)
kruispunten_kenmerk.74,T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alle rijrichtingen toegestaan bij een zijstraat,,,VBW.a & b =RW.  4              WILLEM VAN DER MADEWEG,R,0.05,011,KPK0001131810,I,,POINT (94685.33799999952 461747.93400000036)
kruispunten_kenmerk.75,T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alle rijrichtingen toegestaan bij een zijstraat,,,VBW.c & d =RW. 15,R,22.12899971,915,KPK0000606149,I,,POINT (102841.82239999995 430246.3238000013)
kruispunten_kenmerk.76,T-kruispunt met fysieke scheiding van de rijbanen,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,L,MIDDENVLIE,R,2.57399988,099,KPK0000736766,I,,POINT (114835.36809999868 547575.6829000004)
kruispunten_kenmerk.77,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,RW036,R,97.44400024,048,KPK0000817325,I,,POINT (224923.28700000048 507472.1640999988)
kruispunten_kenmerk.78,Kruispunt met voorrangsregeling,J,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,L,VBW.a EN VBW.d   RW 14         ZIJDEWEG,R,11.32400036,014,KPK0000821775,I,,POINT (84875.01799999923 457552.1127999984)
kruispunten_kenmerk.79,Kruispunt zonder voorrangsregeling,N,N,J,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij een zijstraat (D6R + F7)",Rechtdoor en rechtsaf toegestaan voor de linker zijstraat (D6R),,RW. 28 VBW.c                   RING ZUID,R,91.90699768,028,KPK0000822883,I,,POINT (201173.95600000024 502216.54030000046)
kruispunten_kenmerk.80,Rotonde,N,N,N,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij gelijkvloerse kruising (D6R + F7)",Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,OOST-WESTWEG=N255,R,66.49099731,057,KPK0000823374,I,,POINT (36316.289400000125 401367.85720000044)
kruispunten_kenmerk.81,Rotonde,N,N,N,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij gelijkvloerse kruising (D6R + F7)",,,GAPINGSEWEG,R,75.22499847,057,KPK0000823381,I,,POINT (31384.78299999982 396446.5364000015)
kruispunten_kenmerk.82,T-kruispunt met voorrangsregeling,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,PRESIDENT ROOSEVELTLAAN,R,78.08499908,057,KPK0000823395,I,,POINT (32347.401599999517 393775.37849999964)
kruispunten_kenmerk.83,T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Rechtdoor met linksaf toegestaan (rechtsaf verbod) voor de linker hoofdrijbaan (D6L),,,WEG NAAR DE VAL=N256,R,16.65999985,059,KPK0000852946,I,,POINT (55084.86490000039 407818.73330000043)
kruispunten_kenmerk.84,Pseudo kruispunt zonder voorrangsregeling,N,N,J,Rechtdoor met rechtsaf toegestaan (linksaf verbod) voor de rechter hoofdrijbaan (D6R),Rechtdoor met rechtsaf toegestaan en keerverbod voor beide zijstraten (D6R + F7),,N331,R,91.90000153,028,KPK0000874380,I,,POINT (201065.9349000007 502347.0020999983)
kruispunten_kenmerk.85,Rotonde,N,N,N,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij gelijkvloerse kruising (D6R + F7)",Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,OOST-WESTWEG=N255,R,66.49099731,057,KPK0000876230,I,,POINT (36305.919100001454 401390.9492000006)
kruispunten_kenmerk.86,Rotonde,N,N,N,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij gelijkvloerse kruising (D6R + F7)",,,GAPINGSEWEG,R,75.22499847,057,KPK0000876236,I,,POINT (31414.85810000077 396450.27320000157)
kruispunten_kenmerk.87,Pseudo rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,GESTERWEG                      ZUID GESTERWEG,R,20.47299957,099,KPK0000877718,I,,POINT (130793.1539000012 549085.9987999983)
kruispunten_kenmerk.88,T-kruispunt met voorrangsregeling,N,N,N,"Alleen rechtdoor, er geldt geen keerverbod op beide hoofdrijbanen (D4)",,,VBW.c =RW.  7,R,20.91600037,099,KPK0000877719,I,,POINT (131221.68609999865 549197.4492000006)
kruispunten_kenmerk.89,T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alle rijrichtingen toegestaan bij een zijstraat,,,VBW.c & d =RW. 15,R,22.13199997,915,KPK0000877782,I,,POINT (102849.1539000012 430261.0989000015)
kruispunten_kenmerk.90,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,NOORDEINDE,R,23.26000023,915,KPK0000877783,I,,POINT (103913.10049999878 429922.41420000046)
kruispunten_kenmerk.91,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,NIEUWEWEG,R,9.28800011,057,KPK0000891746,I,,POINT (70281.67159999907 431059.78599999845)
kruispunten_kenmerk.92,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,ZWARTEDIJK=N496                NOORDDIJK,R,11.94999981,057,KPK0000891747,I,,POINT (67678.4171999991 430606.5416000001)
kruispunten_kenmerk.93,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,NIEUWEWEG,R,9.28800011,057,KPK0000891749,I,,POINT (70291.87829999998 431025.09479999915)
kruispunten_kenmerk.94,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,ZWARTEDIJK=N496                NOORDDIJK,R,11.94999981,057,KPK0000891750,I,,POINT (67680.79500000179 430572.6015999988)
