nr,ID,Winkelgebied 2013,Verzorgingsgebiedniveau 2013,Type winkelcentrum,Verzorgingsgebied 2009,Bevolkingssamenstelling (2013),Bevolkingssamenstelling (2013),Inkomensniveau (2013),Werkzame personen (2013),Bevolkingsgroei (2013),Arbeidsplaatsen (2013)
32,32,4.7 TESSELSEPLEIN (SCHEVENINGEN),Buurt,Buurtcentrum,Buurt Duindorp,70,"1,06","90,2","66,70%","7,40%","7,60%"
33,33,4.8 FREDERIK HENDRIKLAAN (SCHEVENINGEN),Stadsdeel,Stedelijke winkelstraat,Stadsdeel Scheveningen,"67,2","1,02",132,"65,10%","4,50%","63,60%"
34,34,5.1 BANKASTRAAT (CENTRUM),Wijk,Wijkwinkelcentrum klein,Wijk Archipelbuurt,"68,1","1,03",195,"66,30%","0,80%","95,40%"
35,43,5.10 ZEEHELDENKWARTIER (CENTRUM),Stadsdeel,Stedelijke winkelstraat,Stadsdeel Centrum,"73,6","1,11","84,7","67,50%","0,30%","75,40%"
36,44,5.11 KONINGSTRAAT (CENTRUM),Wijk,Wijkwinkelcentrum klein,Wijk Kraayenstein,"69,5","1,05",121,"68,00%","14,90%","24,90%"
37,45,5.12 BOEKHORSTSTRAAT (CENTRUM),Den Haag,Binnenstad,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
38,46,5.13 DE PASSAGE (CENTRUM),Den Haag,Binnenstad,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
39,47,5.14 FREDERIKSTRAAT/ DENNEWEG (CENTRUM),Den Haag,Stedelijke winkelstraat,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
40,48,5.15 GROTE MARKTSTRAAT (CENTRUM),Den Haag,Binnenstad,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
41,49,5.16 HAAGSCHE BLUF (CENTRUM),Den Haag,Binnenstad,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
42,50,5.17 PLEINKWARTIER (CENTRUM),Den Haag,Binnenstad,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
43,51,5.18 HOFKWARTIER (CENTRUM),Den Haag,Binnenstad,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
44,52,5.19 HOOGSTRAAT/ NOORDEINDE (CENTRUM),Den Haag,Binnenstad,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
45,35,5.2 BAZAR (CENTRUM),Wijk,Wijkwinkelcentrum groot,Wijk Stationsbuurt,"79,3","1,2","81,9","73,30%","15,60%","105,20%"
46,53,5.20 SCHOOLSTRAAT (CENTRUM),Den Haag,Binnenstad,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
47,54,5.21 SPUISTRAAT/ VLAMINGSTRAAT (CENTRUM),Den Haag,Binnenstad,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
48,55,5.22 STATIONSWEG (CENTRUM),Wijk,Wijkwinkelcentrum groot,Wijk Stationsbuurt,"79,3","1,2","81,9","73,30%","15,60%","105,20%"
49,56,5.24 WAGENSTRAAT/ VENESTRAAT (CENTRUM),Den Haag,Binnenstad,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
50,57,5.25 CHINATOWN (CENTRUM),Den Haag,Binnenstad,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
51,58,5.26 TURFMARKT (CENTRUM),Den Haag,Binnenstad,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
52,36,5.3 HOBBEMASTRAAT (CENTRUM),Stadsdeel,Stedelijke winkelstraat,Stadsdeel Centrum,"73,6","1,11","84,7","67,50%","0,30%","75,40%"
53,37,5.4 HOEFKADE (CENTRUM),Wijk,Wijkwinkelcentrum klein,Wijk Schildersbuurt,"69,4","1,05","54,9","61,20%","-4,20%","14,50%"
54,38,5.5 HOFLANDPLEIN/ HAAGSE MARKT (CENTRUM),Wijk,Wijkwinkelcentrum klein,Wijken Groente- en Fruitmarkt/Transvaalkwartier,"70,9","1,07","58,8","64,70%","0,40%","27,30%"
55,39,5.6 KEMPSTRAAT (CENTRUM),Stadsdeel,Stedelijke winkelstraat,Stadsdeel Centrum,"73,6","1,11","84,7","67,50%","0,30%","75,40%"
56,40,5.7 PAUL KRUGERLAAN (CENTRUM),Stadsdeel,Stedelijke winkelstraat,Stadsdeel Centrum,"73,6","1,11","84,7","67,50%","0,30%","75,40%"
57,41,5.8 THE GLOBE (CENTRUM),Den Haag,Speciaal winkelgebied,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
58,42,5.9 VAILLANTLAAN (CENTRUM),Wijk,Wijkwinkelcentrum klein,Buurten Schildersbuurt-Noord/Schildersbuurt-West,"69,8","1,06","55,7","61,40%","-4,00%","14,80%"
59,59,6.1 GOEVERNEURPLEIN (LAAK),Wijk,Wijkwinkelcentrum groot,Wijk Laakkwartier en Spoorwijk,"74,1","1,12","71,2","68,60%","1,10%","34,80%"
60,60,6.2 LORENTZPLEIN (LAAK),Wijk,Wijkwinkelcentrum groot,Wijk Laakkwartier en Spoorwijk,"74,1","1,12","71,2","68,60%","1,10%","34,80%"
61,61,6.3 MEGASTORES (LAAK),Den Haag,Grootschalige concentratie,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
62,62,6.4 NEHERKADE/LAAKWEG (LAAK),Buurt,Wijkwinkelcentrum klein,Wijk Laakkwartier en Spoorwijk,"74,1","1,12","71,2","68,60%","1,10%","34,80%"
63,63,7.1 MARIAHOEVE (HAAGSE HOUT),Wijk,Wijkwinkelcentrum groot,Wijk Mariahoeve en Marlot,"62,4","0,95",110,"57,40%","1,40%","38,00%"
64,64,7.2 STUYVESANTPLEIN (HAAGSE HOUT),Wijk,Wijkwinkelcentrum klein,Wijk Bezuidenhout,"74,7","1,13",131,"71,40%","6,40%","183,70%"
65,65,7.3 THERESIASTRAAT (HAAGSE HOUT),Stadsdeel,Stedelijke winkelstraat,Stadsdeel Haagse Hout,"64,7","0,98",140,"61,60%","3,80%","111,10%"
66,66,7.4 VAN HOYTEMASTRAAT (HAAGSE HOUT),Wijk,Wijkwinkelcentrum groot,Wijk Benoordenhout,"56,1","0,85",184,"54,90%","3,20%","92,80%"
67,67,7.5 WEISSENBRUCHSTRAAT (HAAGSE HOUT),Wijk,Wijkwinkelcentrum klein,Wijk Benoordenhout,"56,1","0,85",184,"54,90%","3,20%","92,80%"
68,68,7.6 WILLEM ROYAARDSPLEIN (HAAGSE HOUT),Wijk,Wijkwinkelcentrum klein,Wijk Benoordenhout,"56,1","0,85",184,"54,90%","3,20%","92,80%"
69,69,7.7 URSULALAND (HAAGSE HOUT),Buurt,Buurtcentrum,Buurt Landen,"63,7","0,96","96,7","57,60%","4,20%","39,10%"
70,70,8.1 'T HOGE VEEN (LEIDSCHENVEEN-YPENBURG),Wijk,Wijkwinkelcentrum klein,Wijk Leidschenveen,"67,2","1,02",110,"65,30%","-7,60%","17,10%"
71,71,8.2 WINKELCENTRUM YPENBURG (LEIDSCHENVEEN-YPENBURG),Wijk,Wijkwinkelcentrum klein,Wijk Ypenburg,"67,8","1,03",111,"65,70%","-3,70%","13,80%"
