X,Y,OBJECTID,IDENTIFICATIE,KNOOPPUNTTYPE,TOELICHTING,KNOOPNUMMER,BREEDTE_PUT,LENGTE_PUT,HOOGTE_PUT,VORM,MATERIAAL,MAAIVELDHOOGTE,OORSPRONG_MAAIVELD,AANLEGJAAR,SECTIE,BEMALINGSGEBIED
4.78805287547855,51.5943548065081,256,RIO_INV_KNOOPPUNTEN.44659,Bijzondere putconstr,Watertappunten,52-0013,500,500,,Rechthoekig,Metselwerk,"2,74",Inmeting,2016/12/31,Watertappunten,3-1 Bosche Brug
4.82594067949243,51.6097615008457,257,RIO_INV_KNOOPPUNTEN.44660,Bijzondere putconstr,Watertappunten,52-0014,500,500,,Rechthoekig,Metselwerk,"4,99",Inmeting,2016/12/31,Watertappunten,11-4 Haenenveld
4.74217041334156,51.6048089718873,258,RIO_INV_KNOOPPUNTEN.44672,Bijzondere putconstr,Watertappunten,52-0026,500,500,,Rechthoekig,Metselwerk,"2,02",Inmeting,2016/12/31,Watertappunten,6-7 Hondsdonk
4.81245143122749,51.5659712184959,259,RIO_INV_KNOOPPUNTEN.44673,Bijzondere putconstr,Watertappunten,52-0027,500,500,,Rechthoekig,Metselwerk,3,Inmeting,2016/12/31,Watertappunten,0-1 Allerheiligenweg
4.7749428502641,51.5990605865754,260,RIO_INV_KNOOPPUNTEN.44683,Bijzondere putconstr,Watertappunten,52-0037,500,500,,Rechthoekig,Metselwerk,"2,25",Inmeting,2016/12/31,Watertappunten,6-8 Lunetstr/Emergemaal Noord
4.79804662106071,51.548760265302,261,RIO_INV_KNOOPPUNTEN.44666,Bijzondere putconstr,Watertappunten,52-0020,500,500,,Rechthoekig,Metselwerk,"5,07",Inmeting,2017/12/31,Watertappunten,8-1 Dorpstraat
4.75012360824468,51.5223987178344,262,RIO_INV_KNOOPPUNTEN.44679,Bijzondere putconstr,Watertappunten,52-0033,500,500,,Rechthoekig,Metselwerk,"7,53",Inmeting,2017/12/31,Watertappunten,1-11 Diunt
4.76354342802588,51.5861006261118,263,RIO_INV_KNOOPPUNTEN.44674,Bijzondere putconstr,Watertappunten,52-0028,500,500,,Rechthoekig,Metselwerk,"2,58",Inmeting,2016/12/31,Watertappunten,13-5 Lunetstr/Emergemaal Zuid
4.79278706844701,51.6060008989994,264,RIO_INV_KNOOPPUNTEN.44658,Bijzondere putconstr,Watertappunten,52-0012,500,500,,Rechthoekig,Metselwerk,"1,18",Inmeting,2015/12/31,Watertappunten,5-1 Nieuwe Kadijk
4.76463468162312,51.5792434829667,265,RIO_INV_KNOOPPUNTEN.44668,Bijzondere putconstr,Watertappunten,52-0022,500,500,,Rechthoekig,Metselwerk,"2,13",Inmeting,2016/12/31,Watertappunten,2-3 Verlaatbrug Oost
4.80787637485044,51.5897362018767,266,RIO_INV_KNOOPPUNTEN.44691,Bijzondere putconstr,Watertappunten,52-0045,500,500,,Rechthoekig,Metselwerk,"3,32",Inmeting,2017/12/31,Watertappunten,3-1 Bosche Brug
4.75837006298117,51.5752406762303,267,RIO_INV_KNOOPPUNTEN.44676,Bijzondere putconstr,Watertappunten,52-0030,500,500,,Rechthoekig,Metselwerk,"2,45",Inmeting,2016/12/31,Watertappunten,2-1 Verlaatbrug Noord  West
4.76069202272674,51.5812324146536,268,RIO_INV_KNOOPPUNTEN.44690,Bijzondere putconstr,Watertappunten,52-0044,500,500,,Rechthoekig,Metselwerk,"2,68",Inmeting,2015/12/31,Watertappunten,13-5 Lunetstr/Emergemaal Zuid
4.8326875263334,51.6027835361957,269,RIO_INV_KNOOPPUNTEN.44667,Bijzondere putconstr,Watertappunten,52-0021,500,500,,Rechthoekig,Metselwerk,"5,78",Inmeting,2016/12/31,Watertappunten,5-1 Nieuwe Kadijk
4.81340929585987,51.6075603122427,270,RIO_INV_KNOOPPUNTEN.44661,Bijzondere putconstr,Watertappunten,52-0015,500,500,,Rechthoekig,Metselwerk,"3,15",Inmeting,2016/12/31,Watertappunten,5-1 Nieuwe Kadijk
4.78275118798551,51.5663769453893,271,RIO_INV_KNOOPPUNTEN.44651,Bijzondere putconstr,Watertappunten,52-0005,500,500,,Rechthoekig,Metselwerk,"2,77",Inmeting,2013/12/31,Watertappunten,1-1 Piet Heinlaan
4.7949408699598,51.5899674120862,272,RIO_INV_KNOOPPUNTEN.44689,Bijzondere putconstr,Watertappunten,52-0043,500,500,,Rechthoekig,Metselwerk,"2,3",Inmeting,2017/12/31,Watertappunten,13-5 Lunetstr/Emergemaal Zuid
4.77934129168438,51.587111093922,273,RIO_INV_KNOOPPUNTEN.44677,Bijzondere putconstr,Watertappunten,52-0031,500,500,,Rechthoekig,Metselwerk,,,2016/12/31,Watertappunten,4-1 Markendaalseweg
4.75838723989016,51.5619879928837,274,RIO_INV_KNOOPPUNTEN.44650,Bijzondere putconstr,Watertappunten,52-0004,500,500,,Rechthoekig,Metselwerk,"2,81",Inmeting,2012/12/31,Watertappunten,1-2 Dr Schaepmanlaan
