;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Confina B.V.;;1;;2;2
Connected Strateg. Veranderingsprocessen B.V.;1;;;;1
Conserduc-Renofors Advies B.V.;1;;;;1
Conserduc-Renofors Restaur. & Conserver. B.V.;1;;;;1
Constructie-adviesbureau S3 B.V.;1;;;;1
Constructiebureau Bogaards B.V.;2;;;;2
Constructif B.V.;7;;;;7
Context creative studio;;1;;;1
Coomans Consultancy;1;;;;1
Coöperatie Bosgroep Noord-Oost Nederland UA;2;;;;2
Coöperatie Univé UA;;2;;4;4
Copier Water B.V.;3;;;;3
Copijn Bruine Beuk;4;;;;4
Copijn Realisatie B.V.;1;;;;1
Cor Buist Schilders;5;;;;5
Cor van Raaij Elektrotechniek B.V.;;;;1;1
Core Connections;;6;;7;7
Cormet Enjoy the Good Life B.V.;1;;;;1
Cornelissen Aannemingsbedrijf B.V.;7;;;;7
Cornelissen Service en Onderhoud B.V.;7;;;;7
Corstanje Services;2;;;;2
Cosource B.V.;5;;;;5
Cost Manag. of Real Estate Projects (CMREP);3;;;;3
Costo Transport- en Opslagtechniek B.V.;1;;;;1
Coteq Netbeheer B.V.;1;;;;1
CPR Extermination Services;1;;;;1
Crawford;2;;;;2
CRH Mobile Fencing & Security B.V.;6;;;;6
Crimson Historians and Urbanists;2;;;;2
Cristal Mechanical Services N.V.;3;;;;3
Croon advocaten N.V.;2;;;1;3
Croon Caribe;4;;;;4
Croon Elektrotechniek B.V.;7;;;;7
Crown Point B.V.;;2;;6;6
Crown Properties B.V.;;1;;;1
Cruxin;1;;;;1
CSC Crewing B.V.;;;;1;1
CSC Installatie B.V.;2;;;;2
CSN B.V.;;;;1;1
CSU B.V.;1;;;;1
Cubord Reclameborden B.V.;;;;1;1
Cuisine Royale B.V.;1;;;;1
Cumulus Nederland B.V.;1;;;;1
Cuppens en Zn. Aannemers B.V.;1;;;;1
Curacao Swimming Pool Sales en Services N.V.;1;;;;1
Curacaose Wegenbouw Mij. B.V.;2;;;;2
Curcon Holding B.V.;3;;;;3
Cushman & Wakefield Property Solutions B.V.;;1;;;1
Cushman & Wakefield V.O.F.;4;;;;4
CWF B.V.;6;;;;6
Cyclus Vastgoedonderhoud;4;;;;4
Daad Architecten;1;;;;1
Daan Spaansen;1;;;;1
DÃƒÂ© Vastgoedbeschermer B.V.;;;;2;2
Dakbedekkingsbedrijf Elro;6;;;;6
Damstra Service & Onderhoud;5;;;;5
DAP Advies B.V.;5;;;;5
DAS Nederl. Rechtsbijstand Verzeker.mij. N.V.;1;;;;1
Dassen Bouw B.V.;7;;;;7
Datapointsonline;1;;;;1
DBH Business Services International B.V.;;1;;1;1
DC16 B.V.;;;;9;9
DDC Consulting Gevelraad;2;;;;2
De 4 Linden Makelaardij;;;;1;1
de Architekten Cie. B.V.;6;;;;6
De Beeldenfabriek Ill. en Animatie B.V.;1;;;;1
de boer communicatie;1;;;;1
De Bosman Bedrijven B.V.;3;;;;3
De Burgt Horeca B.V.;1;;;;1
De Comme B.V.;5;;;;5
De Companje;1;;;;1
De Designpolitie;1;;;;1
De Duurzaamheidsrapporteurs;1;;;;1
De Goede Inspecties;1;;;;1
De Graaf en van Stijn B.V.;3;;;;3
De Groot Brandwachten B.V.;4;;;;4
De Groot en Visser B.V.;3;;;;3
De Groot Vroomshoop Bouwsystemen B.V.;7;;;;7
De Haan Westerhoff Projecten B.V.;4;;;;4
de houtwagen;1;;;;1
De Jager Totaal B.V.;5;;;;5
De Jong Bonaire B.V. Stratenmakersbedrijf;1;;;;1
de Jong Gortemaker Algra Arch. en Ing. B.V.;2;;;;2
De Kabath Vastgoedbescherming B.V.;;;;1;1
De Kerf & Van Sprang Notarissen B.V.;;;;1;1
De Kroon Specialist. Reinigingsdiensten B.V.;;;;2;2
De Meeuw Oirschot B.V.;2;;;4;4
De Melker Sanitair B.V.;1;;;;1
De Nieuwe Karmeliet;1;;;;1
De Raad Vastgoed B.V.;1;;;;1
De Roever Milieuadvisering;1;;;;1
De schapen van Paramoudra;1;;;;1
De Specialisten Groep B.V.;1;;;;1
De Stad B.V.;;1;;;1
de urbanisten;2;;;;2
De Vief Heringe;1;;;;1
De Vijverborgh B.V.;1;;;;1
De Visser Netherlands bv;1;;;;1
De Vlieg Techniek B.V.;7;;;;7
De Vries Projekt Design B.V.;1;;;;1
De Vroome Advies B.V.;2;;;;2
De Waard Makelaars B.V.;;;;1;1
De Wijde Blik B.V.;;;;1;1
De Witte Dame Monumenten B.V.;1;1;;2;2
Deba 2000 B.V.;5;;;;5
Debie & Verkuijl tuin park landschap;1;;;;1
DECO N.V.;5;;;;5
Decolux B.V.;3;;;;3
Decopox Kunststofvloeren B.V.;1;;;;1
Deerns Nederland B.V.;7;;;;7
Deka Immobolien Investment GMBH;;2;;9;9
Dekker Schildersbedrijf B.V.;2;;;;2
Dela Vastgoed B.V.;1;4;;6;6
DELAIR;2;;;;2
Delmeco Raadgevend Ingenieursbureau B.V.;2;;;;2
Delta Vorm Groep B.V.;2;;;;2
DELVA Landscape Architects;4;;;;4
Demix Architectuur;1;;;;1
Demton B.V.;;;;1;1
Den Haag Saturnusstraat 9 B.V.;;5;;5;6
Den Helder Airport C.V.;;1;;1;1
Den Ouden Aannemingsbedrijf B.V.;7;;;;7
Denc Netherlands B.V.;1;;;;1
Denios B.V.;1;;;;1
DeSteMi Pomptechniek B.V.;1;;;;1
Dgi Dak & Gevel Ingenieurs B.V.;2;;;2;3
DGMR Bouw B.V.;6;;;;6
DGMR Raadgevende Ingenieurs B.V.;2;;;;2
DHW Service B.V.;3;;;;3
Dieptescherpte B.V.;1;;;;1
Digital & Media Solutions B.V.;2;;;;2
Dime Real Estate B.V.;;;;2;2
Dimencegroep;;;;2;2
Dirkzwager advocaten & notarissen N.V.;;;;1;1
Dirmar Seon B.V.;;;;1;1
Discountoffice.nl B.V.;1;;;;1
DKC Elektrotechniek B.V.;1;;;;1
DKC Installatietechniek B.V.;2;;;;2
DKC Koudetechniek B.V.;2;;;;2
DKC Service & Onderhoud B.V.;5;;;;5
DLR Adviesgroep B.V.;1;;;;1
DNV GL Netherlands B.V.;1;;;;1
Dobbelsteen van den A.A.J.F.;1;;;;1
Dok Architecten B.V.;5;;;;5
Dolmans Landscaping Services Noord;6;;;;6
Donker Groep B.V.;1;;;;1
Donker Inspecties B.V.;3;;;;3
Doornebal Interieurs B.V.;5;;;;5
Doors 'N More Nv d.b.a. Rollfix;3;;;;3
Dorigo-Wierper B.V.;1;;;;1
dormakaba Nederland B.V.;2;;;;2
Dostal Wegenbouw b.v.;7;;;;7
Double U Building B.V.;;2;;5;5
dpcp B.V.;6;;;;6
DPI Animation House B.V.;1;;;1;1
Dr. Josepha Kempl - Muurpathologie;2;;;;2
DRA Debt Recovery Agency;;;;1;1
Dräger Nederland B.V.;1;;;;1
Dräger Safety Nederland B.V.;2;;;;2
Dralle Aufzuge Gmbh & Co. KG;1;;;;1
Drees & Sommer Netherlands B.V.;4;;;;4
Drieborgh C.V.;;2;;7;7
Drip For Drip;1;;;;1
DSS-de Swart Services B.V.;5;;;;5
Du Prie Bouw & Ontwikkeling B.V.;5;;;;5
Duif Advies;3;;;;3
Duijndam Holding B.V.;1;;;;1
Duijvelaar Pompen;4;;;;4
Duikbedrijf C.O.W. B.V.;3;;;;3
Duikers- & Bergingsbedrijf W. Smit B.V.;2;;;;2
Duke Faunabeheer;1;;;;1
Dukers & De Cock Eindhoven B.V.;4;;;;4
Dunea N.V.;3;4;;1;4
Duo2 B.V.;;;;9;9
Dura Vermeer Bouw Hengelo B.V.;8;;;;8
Dura Vermeer Bouw Heyma B.V.;7;;;;7
Dura Vermeer Divisie Bouw en Vastgoed B.V.;13;;;;13
Dura Vermeer Onderhoud en Renovatie Hengelo B.V.;1;;;;1
Durable Water Solutions B.V.;2;;;;2
Düring Restauratie van Keramiek en Glas;1;;;;1
DURO Ruimtelijke Ontwikkeling;1;;;;1
Dusseldorp Infra, Sloop en Mil.techn. B.V.;6;;;;6
Dutch Caribbean Safety Services B.V.;4;;;;4
Dutch Climate Projects;2;;;;2
Dutch Cycling Academy;1;;;;1
Dutch Property Company Rembrandt 4 B.V.;;;;;
Dutch Property Company Rembrandt 8 B.V.;;2;;;2
Dutch Water Tech B.V.;3;;;;3
DuurzaamNL B.V.;8;;;4;8
DVP B.V.;2;;;;2
DWA B.V.;5;;;;5
DWP B.V.;1;;;;1
Dynaf Caribbean;5;;;;5
Dynaf N.V.;2;;;;2
Dynamic No-Break B.V.;2;;;;2
Dynatherm;4;;;;4
E&E Survey;;;;1;1
E. Witte Bouw- en Aannemersbedrijf B.V.;;;;3;3
E.F.P.C.;2;;;;2
E.ON Benelux Levering B.V.;;;;1;1
E.v.M Onderhoudsbedrijf/Logistiek;1;;;;1
easy2rent B.V.;1;;;;1
Eco Assist;2;;;;2
Eco Reest B.V.;1;;;;1
Eco-bon-air;1;;;;1
Ecocert B.V.;2;;;;2
Ecogroen B.V.;2;;;;2
Ecologisch Adviesbureau Viridis B.V.;1;;;;1
Econsultancy B.V.;1;;;3;3
Ecoresult B.V.;1;;;;1
Ecos Energy;2;;;;2
Edu4Install;2;;;;2
Eduard Bos Electronic Publishing II B.V.;2;;;;2
Eemshaven Properties;;2;;2;2
Eenvoudpc;;1;;;1
Eetcafé Movies;1;;;;1
Efectis Nederland B.V.;2;;;;2
Eggen Bouw Management;1;;;;1
EGM Architecten B.V.;3;;;;3
Eijkelboom B.V.;8;;;3;8
Eijsbouts Fabriek van Torenuurwerken B.V.;4;;;;4
Eindhoven Airport N.V.;;4;;4;4
Electra Spark N.V.;4;;;;4
Electrotech. Installatiebureau Randstad B.V.;3;;;;3
Electro-Technisch Install.bdr. 'Leerkes' B.V.;1;;;;1
Elektra services;1;;;;1
Elektro Advies Oosterveld;1;;;;1
Elektro-Herrmann GmbH;1;;;;1
Elektroraad Expertise B.V.;2;;;;2
Elektrospekt B.V.;1;;;;1
Elektrotechniek Schuurmans B.V.;2;;;;2
Elektrotechnik Ralf Frenking;3;;;;3
Elektrotechnisch Inspectie Instituut;3;;;;3
Eline Hoftiezer;1;;;;1
Elinex Power Solutions B.V.;2;;;;2
Elite liften en roltrappen B.V.;3;;;;3
Ellen Mouthaan Makelaardij o.g.;;;;1;1
Elro Dakveiligheid B.V.;1;;;;1
Elsenga Installatietechniek B.V.;3;;;;3
Elycio Vertalers;1;;;;1
Emmius Notarissen;;;;1;1
Endenburg Elektrotechniek B.V.;7;;;;7
Endevoets Dakbedekkingen;2;;;;2
Endress + Hauser B.V.;1;;;;1
Eneco Services B.V.;2;;;1;2
Eneco Warmteproductie Utrecht B.V.;;;;2;2
Eneco Wind B.V.;1;;;;1
Eneco Zakelijk;;4;;1;4
Enerdeco B.V.;3;;;;3
Energie Consult Holland B.V.;1;;;;1
Energie Service Dijkstra;;;;1;1
Energy Management Consult B.V.;4;;;;4
Enexis Netbeheer B.V.;;;;2;2
Engelen-Groen Uden B.V.;7;;;1;7
Engelsman Hoveniers B.V.;7;;;1;7
ENGIE Services Noord locatie Leeuwarden;7;;;;7
ENGIE Services West B.V.;8;;;;8
ENGIE Services Zuid B.V.;8;;;1;8
Enkoo;3;;;;3
enterlye.com;7;;;;7
EPEA B.V.;1;;;;1
EPI Orange 21 B.V.;;1;;;1
EPM B.V.;3;;;;3
Epson Europe B.V.;;3;;5;5
E-quipment B.V.;1;;;;1
ER;2;;;1;2
ERCO Lighting B.V.;1;;;;1
Eric Alink Journalistiek en Tekstschrijven;1;;;;1
Erick Geene Handelsonderneming V.O.F.;2;;;;2
ERIKS Servicecenter Gelderland;3;;;;3
Erkamp Projekt Service B.V.;1;;;;1
Erven Bacilio M. Djaoen;;;;4;4
Essent Retail Energie B.V.;;1;;1;1
Eudokia Internet & Design;;;;1;1
Eureka Internationaal B.V.;1;;;;1
Eurocarbo Benelux B.V.;2;;;;2
Eurofiber Holding B.V.;2;;;;2
Eurofins Agro Testing Benelux Holding B.V.;2;;;;2
Euromate B.V.;1;;;;1
Europol;2;;;;2
Eurorope on & offshore equipment;2;;;;2
Eurosafe Solutions B.V.;1;;;;1
Eurotrapliften B.V.;2;;;;2
EusebiusBS (Arnhem) B.V.;;;;7;7
EV Consult B.V.;2;;;;2
Eva Holding B.V.;2;;;;2
EV-Box;1;;;;1
EVE Tilburg B.V.;1;;;;1
Everseal B.V.;;;;;
Ewac B.V.;2;;;;2
EWZ adviseurs;1;;;;1
Ex Interiors B.V.;4;;;;4
Expertise Bureau Noord B.V.;1;;;;1
Expl.mij. Automobielmusea in Nederland B.V.;1;;;;1
Exploitatie Dwarstocht 6 Zaandam B.V.;;;;3;3
Exploitatie Maatschappij Komfort B.V.;5;;;;5
Exploitatiebedrijf Wierts B.V.;2;;;;2
Exploitatiemaatschappij Busio B.V.;;;;3;3
Exploitatiemij. Havencompl. Lauwersoog B.V.;;;;2;2
Explosive Clearance Group B.V.;3;;;;3
F. Michielsen Beheer B.V.;;;;1;1
F.M.T. Beheer B.V.;1;;;;1
Fa. Jimmink Julianadorp;1;;;;1
Fa. Van Effrink & Malestein;4;;;;4
FACADE ADVISEURS VOOR GEVELBOUW B.V.;1;;;;1
Facilicom Facility Solutions B.V.;;;;1;1
Facilicom PPS B30 B.V.;;;;8;8
Facilicom PPS Doetinchem Exploitatie B.V.;;;;7;7
Facilicom Solutions B.V.;7;;;;7
Facilion B.V.;1;;;;1
FACTO GEO;1;;;;1
Fakton B.V.;;;;2;2
Fakton Executives B.V.;;;;1;1
Falco B.V.;3;;;;3
Farraig C.V.;;;;2;2
FELD;1;;;;1
Feld Technische Dienst en Groen Onderhoud;;;;2;2
Felspartners B.V.;2;;;;2
Fentech;3;;;;3
Ferretto Group Holland B.V.;1;;;;1
Fervet Opus B.V.;;;;1;1
Feuerstein Holding B.V.;5;;;;5
Fewiro Wijchen B.V.;8;;;;8
Fides B.V.;2;;;;2
Fides Expertise B.V.;3;;;;3
Fieten & Roos B.V.;4;;;;4
Figo Figo Heavy Equipment;2;;;;2
Fire Protection Support;3;;;;3
Fire Safety First B.V.;6;;;;6
Firesol B.V.;2;;;;2
Firma Hof der Muzen;1;;;;1
Firma Rhebergen;;;;1;1
Firma Schuurmans;2;;;;2
Firma Van Es Boomverzorging;2;;;;2
Flamma Brandwerende Applicaties B.V.;1;;;;1
Flora Nova Hoven.- en Groenvoorzieningen B.V.;1;;;;1
Florie Makelaardij;;;;2;2
Florisse De Maas B.V.;;;;7;7
Flux Landscape Architecture B.V.;2;;;;2
Flying Holland;1;;;;1
FN2 B.V.;;3;;7;7
Focus Amsterdam B.V.;1;;;;1
Formabouw B.V.;2;;;;2
Forteck Infra B.V.;3;;;;3
Fortron B.V.;5;;;;5
Foster en Gamko;1;;;;1
Fotex Netherlands B.V.;;;;7;7
Fource Automotive B.V.;1;;;;1
Franke Koffieservices;1;;;;1
Frens Construction N.V.;6;;;;6
Frensly J.E. Constancia Jefcon Airconditioning;1;;;;1
Frimex Service;1;;;;1
Frisia Makelaars o.g.;1;;;;1
Friso Civiel;1;;;;1
Frontwise Facades;2;;;;2
Fugro NL Land B.V.;2;;;;2
Fundashon Cas Bonairiano;;;;1;1
G & B Beheer B.V.;1;;;;1
G & C Holding B.V.;;;;2;2
G & S Bouw B.V.;4;;;;4
G.C. de Jong Construction B.V.;2;;;;2
GA Makelaars B.V.;;;;1;1
Gako Allround Schoonmaakbedrijf V.O.F.;1;;;;1
Galjema B.V. Technisch Adviesbureau;4;;;;4
Galvano Groothandel B.V.;;;;4;4
Garant Beveiliging;1;;;;1
Garden Care B.V.;1;;;;1
Garnet Bonaire B.V.;4;;;;4
Gate2 Vastgoed B.V.;;;;6;6
GEA Westfalia Separator Nederland B.V.;1;;;;1
Gebiedsmanagers B.V.;2;;;;2
Gebr. Barendsen B.V.;2;;;;2
Gebr. Griekspoor B.V.;3;;;;3
Gebr. Van der Veekens B.V.;;1;;2;2
Gebr. Van Kessel B.V.;5;;;;5
Gebr. Van Kessel Spec. Techn. en Prod. B.V.;4;;;;4
GEJO MAATSCHAP;;;;2;2
Gelders Isolatiebedrijf B.V.;2;;;;2
Geleijns B.V.;1;;;;1
Geluid Plus Adviseurs V.O.F.;1;;;;1
Gemeentelijke IJsselmeervisafslag;;1;;1;2
Generation Energy B.V.;1;;;;1
GeO Architecten B.V.;2;;;;2
Geo.xyz B.V.;2;;;;2
GeoComfort B.V.;2;;;;2
Geofox-Lexmond B.V.;1;;;;1
Geomaat B.V.;1;;;;1
Geomet B.V.;2;;;;2
Geonius Geotechniek B.V.;;;;1;1
GeoPhy B.V.;;;;1;1
Geosonda B.V.;1;;;;1
Geotron Caribbean, onderzoeksburo voor Grond;2;;;;2
Gerco Brandpreventie B.V.;5;;;;5
Gereedschapslijperij F.H.R. Orbons;1;;;;1
Gerritjan Huinink Fotografie;1;;;;1
Gerrits Glas- en Schilderwerken;4;;;;4
Gestopt B.V.;2;;;;2
Get out of here B.V.;1;;;;1
Geurts Boom en Groen;;;;1;1
Geveke B.V.;1;;;;1
Gevelliften.nl B.V.;2;;;;2
Gévier B.V.;1;;;;1
GEWI Technical Services N.V.;2;;;;2
GGB inBalans B.V.;4;;;9;9
GGB inBalans DBMO B.V.;1;;;;1
GGN Alkmaar;1;;;;1
GHG B.V.;;2;;4;4
Gielissen's Bedrijven B.V.;2;;;;2
Gietema Wevers notarissen B.V.;;;;1;1
Gijs Assmann;2;;;;2
Gispen Outlet Delft;1;;;;1
GL events World Forum Convention Center B.V.;2;;;;2
Glaspunt B.V.;1;;;;1
GMB Civiel B.V.;2;;;;2
GMB Drinkwaterservice;1;;;;1
GMB Rioleringstechnieken B.V.;5;;;;5
Gom Schoonhouden;2;;;;2
Gomperts Cooling Service N.V.;4;;;;4
Gorissen Bedrijfskeukens B.V.;1;;;;1
Goudappel Coffeng B.V.;1;;;;1
Gouweloos Elektrotechniek B.V.;7;;;;7
Gouwenberg vloeren.gordijnen.zonwering;4;;;;4
Gppc Fons Bergmans;1;;;;1
Grafisch Buro van Erkelens B.V.;;1;;;1
Grand & Johnson B.V.;;;;1;1
Grand Cafe Groningen;1;;;;1
Granny's Corner;1;1;;;1
Gras- en Groenvoeders Hoogland Marrum B.V.;5;;;;5
GrausBouw B.V.;2;;;;2
Greenchoice;;6;;;6
Grimbergen & Van Putten Elektrotechniek B.V.;1;;;;1
Grobbee Schilderwerk & Totaalonderhoud;1;;;;1
Groen-Totaal;2;;;;2
Grondbank De Bree;5;;;;5
Grondboorbedrijf Haitjema B.V.;5;;;;5
Grondboorbedrijf Klinge B.V.;4;;;;4
Grondslag Milieukundig Adviesbureau;2;;;;2
Groningen Airport Eelde N.V.;;1;;3;3
Groningen Seaports N.V.;;;;1;1
Groot Eco Advies;1;;;;1
Groothandelsgebouwen N.V.;;2;;4;4
Grottendieck Maatwerk;;;;1;1
GS Consultancy;2;;;;2
Guido Geelen B.V.;1;;;;1
Gunnebo Nederland B.V.;1;;;;1
Gusto di Casto B.V.;1;;;;1
GVR500 Building B.V.;;6;;7;7
GW Cross Media B.V.;;;;1;1
H&N Multiprotections B.V.;2;;;;2
H. Steeneveld;;;;1;1
H.E.P.' Heij Elektronische Produkten;1;;;;1
H.F.G. Hundertmark;2;;;;2
H.G.M. Nouwens;4;;;;4
H.J. Bischoff V.O.F.;1;;;;1
H.O.D. Nederland B.V.;;;;3;3
H.O.D. Presentie B.V.;;;;2;2
H.P.V. Lumiere Classique B.V.;1;;;;1
H+N+S B.V.;1;;;;1
H4a Groen B.V.;1;;;;1
Haagclean Products B.V.;2;;;;2
Haarsma Infra & Milieu B.V.;6;;;;6
Haase Garten- und Landschaftsbau Gm;2;;;;2
Hagemann & Henrichsmann;1;;;;1
Hakvoort Horeca B.V.;1;;;;1
Halvermuhlen Onr. Goed & Exploit. Mij.;;1;;4;4
Hamaland Advies;;;;1;1
Hamer B.V.;4;;;;4
Hamilton Consult B.V.;2;;;;2
Hammer Fachmârkte für Heim-Ausstattung GmbH & Co. Betriebs KG Wesel;1;;;;1
Hand.ond. Kroonpass. t.h.o.d.n. The Read Shop;1;;;;1
Handels- en Ingenieursbur. Bakker & Co. B.V.;1;;;;1
Handelsonderneming Bechtold;1;;;;1
Handwerksservice;2;;;;2
Hans Stassar Camping & Recreatie B.V.;1;;;;1
Hanzevast Real Estate;;1;;;1
Happel Cornelisse Verhoeven B.V.;5;;;;5
Harvado B.V.;4;;;;4
Harwig Communicatie & Veiligheid B.V.;8;;;;8
Hase GmbH + Co. KG;1;;;;1
Haskestaete Makelaardij B.V.;;;;1;1
HaskoningDHV Nederland B.V.;6;;;;6
Hatenboer-Water B.V.;2;;;;2
Hautvas en Cuyvers bvba;1;;;;1
Havenbedrijf Eemshaven B.V.;;;;1;1
Havengebouw Amsterdam B.V.;1;;;2;2
Haver Zonwering;1;;;;1
Hazenberg Bouw B.V.;8;;;;8
HBK 2000 Besturingstechniek B.V.;4;;;;4
He Adviseurs;2;;;;2
HEBB;2;;;;2
Hectas Facility Services C.V.;1;;;;1
Hefas Branddetectie B.V.;1;;;;1
Hegeman Bouw & Infra B.V.;5;;;;5
Heibrink Telecom Support B.V.;2;;;;2
Heijdra Milieu Services B.V.;1;;;;1
Heijmans Utiliteit;11;;;;11
Heijmans Utiliteit Metaal;4;;;;4
Heijmans Wegen B.V.;7;;;;7
Heilijgers Bouw B.V.;1;;;;1
Heinen & Partners B.V.;3;;;;3
Heko;2;;;;2
Hektec B.V.;1;;;;1
Hellemans Consultancy B.V.;2;;;;2
Helm bouwregie;3;;;;3
Helmut Baxmann Heizungsbau GmbH;1;;;;1
Hembrug Zaandam B.V.;1;;;1;1
Henk Patat B.V.;1;;;;1
Henriquez Enterprises N.V.;;;;2;2
Heras B.V.;8;;;1;8
Heras Ridderkerk;3;;;;3
Heras Zwolle;2;;;;2
Herbert Electrical Services;1;;;;1
HermanDeGroot Ingenieurs en Vastgoedstrategen;2;;;;2
Herruer Grond- Weg- en Waterbouw;1;;;1;1
Herruer Holding B.V.;4;1;;;4
Hertek B.V.;3;;;;3
Hesuma B.V.;2;;;;2
Het Bakkertje;1;;;;1
Het Blauwe Paard Restauratie Atelier;2;;;;2
Het kleine verschil B.V.;4;;;;4
Het Nederlands Openluchtmuseum;4;;;;4
Het NIC B.V.;2;;;;2
Het Sleutelhuis B.V.;1;;;;1
Heuvelman Ibis B.V.;7;;;;7
Hevo B.V.;4;;;;4
Hexta Hekwerk B.V.;2;;;;2
Heyligar Zorg;;;;2;2
HFB B.V.;1;;;;1
Hinke Fongers Beheer Tupla B.V.;;3;;6;6
HITA- Caribbean B.V.;2;;;;2
Hobéon SKO B.V.;2;;;;2
Hoefnagels Branddeuren B.V.;2;;;;2
Hoefnagels Safety Services B.V.;3;;;;3
Hoekstra & Partners Notarissen Zwolle;;;;5;5
Hofman Vastgoed B.V.;;;;4;4
Holding Beheermaatschappij Ropeni B.V.;1;1;;;1
Holding R. Bodar B.V.;1;;;;1
Holding van Landschoot B.V.;;;;3;3
Holl. Syst. Elektr. Beveiliging Den Haag B.V.;1;;;;1
Holland Manufacturing & Trading Company B.V.;5;;;;5
Hollands Licht B.V.;2;;;;2
Holtrop & Jansma B.V.;4;;;;4
Homij Technische Installaties B.V.;8;;;;8
Honeywell Building Solutions;7;;;;7
Hoog Catharijne Mall of the Netherlands B.V.;;;;3;3
Hoogers Kapsalon-Interieurs;1;;;;1
Hoogveld Geo;1;;;;1
Hootsmans Architectuurbureau B.V.;4;;;;4
Hörmann Nederland B.V.;1;;;;1
Horus Enterprises;2;;;;2
Hospitality Design B.V.;4;;;;4
Hostmanship Group Nederland B.V.;1;;;;1
House of Lords B.V.;1;;;;1
Hovart;1;;;;1
Hovek Projectinrichting B.V.;1;;;;1
Hoveniersbedrijf Hendriksen B.V.;2;;;;2
Hoveniersbedrijf Kees de Bruin B.V.;2;;;;2
Hoveniersbedrijf VITIS N.V.;3;;;;3
HR Groep;2;;;;2
HR Groep Streetcare B.V.;1;;;;1
HR Groep Wayfinding B.V.;1;;;;1
HTM Personenvervoer N.V.;2;;;;2
Hudson Zoetermeer B.V.;1;;;;1
Hugro Technics;1;;;;1
Huizer Constructions N.V.;6;;;;6
Hulscher B.V.;2;;;;2
Hulshoff Digitaal Archiveren B.V.;;;;5;5
HulstFlier Installateurs Elburg B.V.;1;;;;1
HumbleTech;3;;;;3
Humphrey's Arnhem B.V.;1;;;;1
Hunneman Milieu-Advies Raalte B.V.;1;;;;1
Huys te Voorn Vastgoed B.V.;;4;;6;7
HV Advies en Opleidingen;2;;;;2
HVB Constructie B.V.;4;;;;4
HVC Warmte B.V.;4;;;;4
HVS Consultant;1;;;;1
Hydroscope B.V.;5;;;;5
I.B.V. NV;2;;;;2
I.O.S. Boiten B.V.;4;;;;4
Ibis B.V.;1;;;;1
IBO Bonaire N.V.;2;;;;2
Icat Textielrestauratie B.V.;1;;;;1
ICS Adviseurs;3;;;;3
ID bouwen van architectuur B.V.;2;;;;2
Ideacura;;;;2;2
If Technology B.V.;3;;;;3
ifsa;2;;;;2
IGG bouweconomie;4;;;;4
Igluu B.V.;1;;;;1
IJbouw B.V.;6;;;;6
IKA Nederland;1;;;4;4
Imagination Technologies B.V.;2;;;;2
IMD Raadgevende Ingenieurs;4;;;;4
IMI Aero-Dynamiek B.V.;3;;;;3
Imming Logistics Fine Art B.V.;2;;;;2
Immolab B.V.;2;;;;2
IMNederland Credit Management Services;1;;;;1
in60seconds B.V.;1;;;;1
Inbo;4;;;2;4
Inbraakpreventie 'M.I.B.' B.V.;;;;1;1
Incassobureau Plaggemars;;;;1;1
Independent Consulting Engineers N.V.;1;;;;1
Independent Solar Systems B.V.;2;;;;2
Indisch Restaurant Garoeda;1;;;;1
Industrial Solutions Zuid-Oost B.V.;3;;;;3
Industrieel Klimmen B.V.;1;;;;1
Indutech;1;;;;1
Infoplaza B.V.;1;;;;1
Infrabouw B.V.;2;;;;2
Infrasoil B.V.;;;;2;1
Infrastructure Services & Projects B.V.;5;;;;5
Ing.bur. Beton en Staalkonstr. A. Palte B.V.;2;;;;2
Ing.bur. Bouwtechn. Goudstikker-de Vries B.V.;1;;;;1
Ing.bur. en Techn. Hand.ondernem. Autron B.V.;5;;;;5
Ingenieursbureau Haboldt B.V.;7;;;;7
Ingenieursbureau International N.V.;1;;;;1
Ingenieursbureau ISO3 B.V.;1;;;;1
Ingenieursbureau van Oossanen;1;;;;1
Ingenieursbureau Wassenaar B.V.;2;;;;2
Ingenieursburo van Ierssel B.V.;2;;;;2
Inh. Andreas Bölter;2;;;;2
Inham Hi-Safe Systems B.V.;2;;;;2
Initial B.V.;2;;;;2
Innotech B.V.;2;;;;2
Inprevo;3;;;;3
InPublic B.V.;1;;;;1
InPublic Ventures B.V.;4;;;;4
Insight Real Estate Management B.V.;;3;;7;7
Insignium B.V.;2;;;;2
Inspexx B.V.;7;;;;7
Insta Zuid B.V.;4;;;;4
Installatie Buro IBS Oele Schoo B.V.;1;;;;1
Installatiebedrijf Embrechts B.V.;3;;;;3
Installatiebedrijf G. van Dam B.V.;2;;;;2
Installatiebedrijf Hoogenboom Brielle B.V.;;;;1;1
Installatiebedrijf Nous B.V.;;;;1;1
Installatiebedrijf Rosmalen B.V.;2;;;;2
Instaver Systems B.V.;2;;;;2
Insted B.V.;2;;;;2
Instituut voor Agrarisch Recht;;;;1;1
Instock Hospitality B.V.;1;;;;1
Interart Interieurs;1;;;;1
Interfox;;;;1;1
Interparking Nederland B.V.;;;;5;5
Intersafe Groeneveld B.V.;7;;;;7
Interswitch;1;;;;1
Intertraining B.V.;1;;;;1
Iolan B.V.;6;;;;6
