OBJECTID,PUIC,REF_WISSEL_KRUISING_PUIC,REF_WISSEL_KRUISING_NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_T,OFFSET,OFFSET_T,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,OPC_GEBIED_NAAM,OPC_GEBIED_NR,TECHNIEKVELD,PGO_GEBIED_NAAM,BEHEERDER,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT,X,Y,Z,PGO_GEBIED_NR,GELDIG_VANAF,PUBLICATIEDATUM,PCA,IN_GEBRUIK,PRORAIL_GEBIED,LATITUDE,LONGITUDE,KM_GEOCODE
11,9e3fef8d-bd38-47f9-ae1a-bdcc3ee0fb64,fe4c54f5-47f5-40dc-bb44-49e398950197,53A,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,555523",-2.188359,"-2,188359",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195246.247,469158.537,17.163,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20905572,5.97602113,88.555523
12,91e752c2-8add-4697-8a05-1310cea8a40a,84c03450-3cd6-40bb-ad2c-9f004cca6a31,55,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,549944",-5.830316,"-5,830316",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195240.893,469162.49099999,17.157,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20909164,5.97594327,88.549944
13,d5607acf-4420-4ace-b65b-aaf71c65159c,05b290dd-3357-4f39-a212-f55501f76b28,57B,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,448777",11.466043,"11,466043",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,195138.86799999,469151.09299999,17.16499999,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20899664,5.97444933,88.448777
14,538b259e-e7f8-4ec5-8587-85a5fff52e73,73594280-2854-409a-bb62-5f0936658ce1,51,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,491285",-9.432216,"-9,432216",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195182.60699999,469169.44699999,17.164,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20915841,5.97509139,88.491285
15,65f39798-7381-42a9-9578-a0f0b105ad1b,dbece0c2-2744-4248-9523-74ff93056166,37A,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,033727",24.654454,"24,654454",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,194723.611,469162.57199999,17.19699999,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20912987,5.96837561,88.033727
16,ea6d634c-8baa-471e-b103-273f9bdfb71a,a544f100-6c85-4adc-8099-b49e9611ee3f,3217B,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,755732",-1.691953,"-1,691953",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203608.176,501671.53899999,2.236,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50057727,6.10305175,3.755732
17,4bee96b9-6b0d-4220-8854-84352d20b75d,5b6b34a2-c690-4532-abd5-f901f0f5be65,4437,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,480327",-0.671973,"-0,671973",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203370.366,501811.907,2.05399999,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50185981,6.09957018,3.480327
18,8c48bfb2-8721-4574-8f89-b95355700c52,387304c8-5049-426f-9419-38edeac8ea17,4415,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,377951",-15.004634,"-15,004634",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203290.488,501877.318,2.06,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.5024547,6.09840335,3.377951
19,6c73a16a-7a77-4627-b354-911750ffa46b,6f26363f-c535-469e-921d-ba634febb3cb,4235,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"2,400451",4.027133,"4,027133",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,202442.556,502352.791,1.897,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.5068019,6.085984,2.400451
20,689e9e8a-32e8-4022-adc1-5e44caafa9d9,04e394c2-48a9-4ba0-b393-7c54ced8bb43,4365,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,137302",-22.633222,"-22,633222",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203094.295,502013.651,2.02099999,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50369719,6.09553379,3.137302
21,356b6a96-063c-4255-abe6-8877486d8d5d,b58e34bc-daa1-4f0c-8480-ce3b77736a94,4105,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"1,688529",-2.149661,"-2,149661",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,201924.177,501998.815,1.88799999,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50366556,6.07829962,1.688529
22,c0170f38-260f-4b74-98fd-363d02e82b7f,65674a93-d6c9-4dd4-9163-ae4261a665b2,4047,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,866939",-28.583715,"-28,583715",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle Rangeerterrein,ZLR,NCBG,201693.51999999,501209.614,1.863,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.49659294,6.07479236,0.866939
23,5dd2e9ef-75ed-427c-9a35-fc89a8ba62a2,bd7d9ca6-7b2d-4a2b-be7b-56623cb2a32a,4483,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,944498",8.349556,"8,349556",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203763.67,501564.842,2.302,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.49960456,6.10532592,3.944498
24,63a2a3a3-85ae-4ded-b96c-55c3158bee27,edfd89e5-084b-49d4-b19c-05aa5b670c6f,4109,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"1,513601",9.262064,"9,262064",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle Rangeerterrein,ZLR,NCBG,201891.613,501826.113,1.865,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50211632,6.07779578,1.513601
25,b3d50799-eac4-4c79-af38-ce044d337ccc,e9a912c4-4639-4334-948c-771110043217,4231,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"2,217885",7.912872,"7,912872",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,202264.317,502360.559,1.91999999,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50688716,6.08336003,2.217885
26,e3943553-122c-4de4-b4ee-e30a35619dea,8cb3ddc2-5397-4788-ae38-7fab55bb2d37,4361,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,230662",-21.485696,"-21,485696",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203171.325,501963.335,1.982,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50323823,6.09666093,3.230662
27,6e631f01-510a-44c4-8ff1-0718dd1c9067,c1f3d651-4371-49b0-a95c-75367580532d,4095,60,Bestaand,604,a,604,604_a,Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,"47,514067",-0.299506,"-0,299506",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,201738.178,501425.617,1.90999999,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.4985303,6.07548017,47.514067
28,e7bbb279-ff24-4ace-a1bf-e3c15dc44a58,56ace4aa-b898-4311-88b1-0eb858e79584,4091,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"1,044057",-41.91028,"-41,910280",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,201730.86499999,501381.01199999,1.829,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.49813007,6.07536624,1.044057
29,e43cb12a-be75-450d-ab77-284dca95cff7,76347787-70ca-4644-a3c1-00d4a53a9ce9,4087,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"1,042161",-37.583193,"-37,583193",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,201734.709,501378.26,1.84,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.49810501,6.07542245,1.042161
30,ce07cd60-185b-414f-a192-4497830d6f0c,0cb36fe0-3cb0-4d46-bd92-4668c3aaffb5,4237,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"2,505167",2.587022,"2,587022",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,202537.867,502309.835,1.944,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50640759,6.0873816,2.505167
31,ad437a10-67fa-4773-a668-f0f48164fb9c,8101e534-49c1-4777-9626-04bdb7a7dd35,919,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,150261",32.659446,"32,659446",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL_NEDTRAIN,NCBG,203076.24799999,501959.913,2.032,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50321585,6.09526028,3.150261
32,8a5750bb-f69c-42c7-92dc-88e8cf6423f0,ccfe842a-c1b5-466c-9b4f-8492748511dc,4053,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,742096",3.866432,"3,866432",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle Rangeerterrein,ZLR,NCBG,201673.44899999,501076.074,1.847,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.49539455,6.07447815,0.742096
33,74b46b1f-c361-44f0-8a34-594ca8e31c6f,2ac4ac9c-4cbc-4145-b3ad-a9308ea074f1,4449,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,651670",-28.08725,"-28,087250",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203532.37299999,501748.02899999,2.24299999,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.5012714,6.10194662,3.65167
34,9f044bb5-c87c-4efc-ae1a-5b64aa74e01d,a55c6f39-01b4-4e26-a750-562ddcb297e8,912,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,509597",37.624986,"37,624986",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL_NEDTRAIN,NCBG,203376.265,501763.819,1.964,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50142714,6.09965008,3.509597
35,6cb00ab7-bf46-4484-bf7d-359b55f98868,0a4ddcac-37ba-4ac0-9d3d-41805918f00a,4081,60,Bestaand,604,a,604,604_a,Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,"47,414955",-0.257724,"-0,257724",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,201709.132,501330.76799999,1.822,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.49768039,6.07503919,47.414955
36,28cf273b-bb82-44a1-8693-d9010bd0b416,9940c21f-bf79-4d10-8bce-1421cd1a9e95,4435,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,523473",0.624006,"0,624006",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203406.86199999,501788.853,2.099,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.5016494,6.10010428,3.523473
37,bb7b316a-bade-4fe3-aecf-83f6c0ce733d,b607c09c-5f34-4597-a614-06464924c5a1,4369,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,197547",-21.738684,"-21,738684",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203143.472,501982.704,1.991,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50341475,6.09625354,3.197547
38,ee966085-d868-4fd6-a590-dbc10ac0bb28,c1a05605-c603-416d-ac88-0ac188392184,2821,60,Bestaand,604,a,604,604_a,Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,"45,771749",-4.116679,"-4,116679",Noord-Oost,NO,Gelderland,33,Baan,Veluwe,ProRail,Hattemerbroek Aansl.,HTBA,PPLG,200519.7,500338.20799999,11.86999999,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.48886073,6.05738962,45.771749
39,578bee11-e527-4609-836c-dc25e4f4a9d2,36664782-86e2-45f5-aa2d-82586cbda182,4245,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"2,468561",-4.967237,"-4,967237",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,202508.402,502332.362,1.933,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.5066126,6.08695086,2.468561
40,5cc803ac-26e3-4790-bae2-7a3a5a7092db,6a19b904-7b9b-4c45-874a-1281854b1530,4115,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"1,315461",3.825258,"3,825258",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle Rangeerterrein,ZLR,NCBG,201848.404,501632.69,1.865,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50038178,6.07713232,1.315461
41,234d071e-ac56-47bb-b842-40d554706597,0e1e78b2-f421-41e2-b07a-ecae9837ca5c,4375,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,088978",13.966638,"13,966638",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203035.377,502005.87,1.975,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50363244,6.094665,3.088978
42,39dfebbd-d0d6-4fbf-930d-8498a307dfe7,fac258a6-0d09-428c-b522-6665bfeed886,4259,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"2,567007",21.985867,"21,985867",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,202578.481,502262.05499999,1.927,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50597467,6.08797294,2.567007
43,45510f15-b849-4c8e-8718-0351a2b7ea13,ae558d8f-3952-4a18-ad02-68a3db676a53,4229,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"2,243061",9.532898,"9,532898",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,202289.138,502362.492,1.915,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50690238,6.08372586,2.243061
44,cc4fe9b2-0cdc-4d4b-8e2c-10761d602742,fec85c75-33d5-44d8-8853-bb4dc5ee4fc6,4089,60,Bestaand,604,a,604,604_a,Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,"47,485253",3.947405,"3,947405",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,201733.734,501396.76699999,1.863,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.49827141,6.07541069,47.485253
45,8233457d-e832-4535-964b-bf3eec177f1a,2769e64f-f978-4083-a1fa-429dbcbf4d3c,920,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,159663",24.191857,"24,191857",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL_NEDTRAIN,NCBG,203088.394,501962.438,2.032,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50323747,6.09543951,3.159663
46,5d550937-8481-4ce6-8921-2df67cd63bcc,450fbaee-55a1-4eff-82f9-3157fa93d55c,2825,60,Bestaand,604,a,604,604_a,Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,"45,771688",3.641751,"3,641751",Noord-Oost,NO,Gelderland,33,Baan,Veluwe,ProRail,Hattemerbroek Aansl.,HTBA,PPLG,200522.41,500330.938,11.849,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.48879517,6.05742853,45.771688
47,ca1f07d5-0d82-417a-a000-c31ba308f7e4,f845049d-9c86-440f-877d-8c3ef30cd011,913,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,464222",42.364162,"42,364162",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL_NEDTRAIN,NCBG,203334.385,501783.359,1.966,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.50160644,6.09903618,3.464222
48,b617a986-7a14-4660-88f3-99de5cda9ce2,ecb79aef-c739-407a-8145-91774b8995a4,4051,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,910171",-36.071319,"-36,071319",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle Rangeerterrein,ZLR,NCBG,201701.323,501251.80699999,1.869,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Onbekend,Noord,52.49697145,6.07491315,0.910171
