Leverancier;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
Academic Transit B.V.;;;;1;;;;1
Academie Lokale Belastingen;;;;;1;;;1
Academie van Arkel;;;;;1;;;1
Academie voor de Rechtspraktijk B.V.;;;;;1;;;1
Academie voor Interventiekunde;;;;;1;;;1
Academie voor leefstijl en gezondheid B.V.;;;;;1;;;1
Academie voor Medezeggenschap B.V.;;;;;2;;;2
Academie voor Organisatiecultuur B.V.;;;;;1;;;1
Academie voor Psychologica;;;;;1;;;1
Academy for Leadership B.V.;;;;;2;;;2
Academy Payroll Professionals;;;;;1;;;1
Acaleph Opleiding Training en Adviezen B.V.;;;;;1;;;1
Accent Mediation;;;;;1;;;1
Accenture B.V.;;;;;;;1;1
Accor Hospitality Nederland N.V.;;;;;;;1;1
Accountor Nederland B.V.;;;1;;;;;1
Accretio;;;;;1;;;1
Ace Letselschade Advocaten B.V.;;;1;;;;;1
aceConcepts;;;;;1;;;1
Achmea Schadeverzekeringen N.V.;;;;;;;1;1
Achterkamp Bedrijfsopleidingen B.V.;;;;;;;1;1
Achtienhonderdeenenvijftig (1851) B.V.;;;1;;;;1;1
ACM Opleidingen B.V.;;;;;1;;;1
Acta advocaten en mediators;;;1;;;;;1
Acteur en Theatermaker Ben van Bokhoven;;;1;;;;;1
Acteursbureau Kapok B.V.;;;;;1;;1;2
Active Professionals B.V.;;;;;1;;;1
Activiteitencommissie PI Zwolle;;;;;;1;;1
Activo Groep B.V.;;;1;;1;;;1
Acuive B.V.;;;;;1;;;1
Ad Astra Services B.V.;;;1;;;;;1
ad fontes;;;;;1;;;1
AD Productions;;;1;;;;;1
Ad Verbrugge B.V.;;;;;1;;;1
A'dam LookOut B.V.;;;;;;;1;1
AdEr;;;1;;;;;1
Adfoke;;1;;;;;;1
Adler International C.V.;;;1;;;;;1
Adlib Gebruikersgroep;;;1;;;;;1
ADO Hospitality & Events B.V.;;;1;;;;;1
Adoptiepraktijk Vinke;;;;;2;;;2
Adriaanse van der Weel Advocaten;;;;;;;1;1
Adriatika delicatessen;;;1;;;;;1
Adv. en Evenementen Organisatiebureau Jerrink;;;;;;;;
Advanced Mediation & Advanced Therapy;;;1;;;;;1
AdVentrim;;;;;1;;;1
Adventure Vlaardingen;;;1;;1;;;1
Advies en Begeleiding Een Helder Hoofd;;;;;1;;;1
Adviesbureau Atim B.V.;;;;;2;;;2
Adviesbureau Lei Seuren;;;1;;;;;1
Adviesbureau Van der Wal;;;;;1;;;1
Advisory Group Roshd;;;;;1;;;1
Advocaten Amsterdam Noord;;;;;1;;;1
Advocatenkantoor Dekker;;;;;;;1;1
Advocatenkantoor Dijkgraaf B.V.;;;1;;;;;1
Advocatenkantoor Roethof B.V.;;;;;;;1;1
Advocatenkantoor Senczuk;;;1;;;;;1
Advocatenkantoor Van de Loo;;;;;1;;;1
Advocatenkantoor van den Biggelaar;;;;;;;1;1
Advocatenkantoor Zuid-Oost Drenthe;;;;;1;;;1
Aegis Advocaten Noord B.V.;;1;;;;;;1
Afhaalbistro Flintstones;;;1;;;;;1
Agathon Coaching & Loopbaanadvies V.O.F.;;1;;;;;;1
Agathos M&O;;;1;;5;;;5
Agencynl B.V.;;;1;;;;;1
Agile Scrum Group B.V.;;;;;2;;;2
Agnes Wijma Coaching;;;1;;;;;1
Agripers B.V.;;;;1;;;;1
Aidsfonds;;;;;1;;;1
Aiki Art;;;1;;;;;1
Airbrush Beerepoot;;;1;;;;;1
AIVP R.K. Snijder;;;;;;;;
AKD N.V.;;;;;;;1;1
AL HAYAT restaurant;;;1;;;;1;1
Alambik distilleerderij V.O.F.;;;;;;;1;1
Alavanca;;;;;;;1;1
Albers Adviseert;;;;;;;1;1
Albert Heijn B.V.;;;1;;;;1;1
Albertema Peize Partyservice;;;;;;;1;1
Albertus Wijnen;;;2;;;;;2
Albron Nederland B.V.;;;;;1;;2;2
Albus Bakboord B.V.;;;;;;;1;1
Aletrino Mediations;;;;;1;;;1
Alex Aalders Bloemist;;;1;;;;;1
Alfabeta Tekst & Training;;;;;1;;;1
Alfa-college, locatie Leek;;;;;;;1;1
Alfred's Holding B.V.;;;;;;;1;1
Algemene Stichting Horeca Onderwijs;;;;;1;;;1
Al-Harbia Tolk- en Vertaalbureau;;;;;;;1;1
Alkemade Forensic Reasoning (AFR);;;;;1;;;1
All in Place;;;;;1;;;1
All4People B.V.;;;1;;;;;1
Allgifts.nl B.V.;;;1;;;;;1
Allianz Nederland Schadeverzekering;;;1;;;;;1
Allium;;;1;;;;;1
Allkoestiek B.V.;;1;;;;;;1
All-round Catering Service Hapjesgigant M & M;;;1;;;;;1
Alphen aan den Rijn Taxi Service;;;;;;;1;1
Alphens.NL B.V.;;;;1;;;;1
Alphensefeestwinkel;;;1;;;;;1
Altermind Begeleiding;;;1;;;;;1
Alvaro Pinto Lyon;;;1;;;;;1
Alvasi Reclame;;;1;;;;;1
Alvero Kantoormeubelverhuur B.V.;;;1;;;;;1
Amadore Hotel Restaurant Arion;;;2;;;;;2
Amazing Bread Company B.V.;;;1;;;;;1
Ambachtelijke Chocolade Enzo;;;1;;;;;1
Ambassador Advies;;;1;;;;;1
AMBIstudie;;;;;1;;;1
Ambius B.V.;;;;;;;1;1
Ambulance Oost locatie Almelo;;;;;;;;
Aminia B.V.;;;1;;;;;1
Ammerlaan IT Training & Advies;;;;;2;;;2
Amnesty International, Afdeling Nederland;;;1;;;;;1
Amplooi;;1;2;;1;;;2
Amstelparkrestaurant Rosarium B.V.;;;;;;;;
Amstelplein 4 B.V.;;;;;;;1;1
Amsterdam Dungeon B.V.;;;1;;;;;1
Amsterdam Hospitality Development II B.V.;;;;;1;;1;1
Amsterdam Training Point B.V.;;;;;1;;;1
Amsterdams ADR Instituut B.V.;;;;;2;;;2
Ancher Training en Coaching;;;;;1;;;1
AndereStart;;;;;2;;;2
AndereStart MBO B.V.;;;;;3;;;3
Andersson Elffers Felix;;;;;2;;;2
Andija B.V.;;;;;1;;;1
Aneeb;;;;;;;;
Angela Wijers Trainingen;;;;;1;;;1
Angie's Kitchen Beers & Bites;;;1;;;;1;1
Anita Hubner Msc - Stigmareduction & Mental H;;;;;;;1;1
Anje-Marijcke van Boxtel;;;;;1;;;1
Anke van der Vorst Leiderschap & Levenskunst;;;;;1;;;1
Annabelle de Jong;;;;;1;;;1
Anne & Max Zwolle Sassenstraat;;;1;;;;1;1
Anne Boermans Coaching en Counseling;;;;;2;;;2
Annelies Straub Konsult;;;;;1;;;1
Annemarie Wijnbergen, coaching, Train. & Med.;;;;;;;1;1
Annemiek van Dongen trainingen;;;;;;;1;1
Anoniem_J & V_100;;;;;;1;;1
Anoniem_J & V_1000;;1;;;;;;1
Anoniem_J & V_10003;;;;;;;1;1
Anoniem_J & V_1001;;;1;;;;1;1
Anoniem_J & V_10011;;;1;;;;;1
Anoniem_J & V_10014;;;;;;;1;1
Anoniem_J & V_10015;;;1;;;;;1
Anoniem_J & V_10017;;;1;;;;;1
Anoniem_J & V_10018;;;;;;;1;1
Anoniem_J & V_10019;;;1;;;;1;1
Anoniem_J & V_10020;;;1;;;;;1
Anoniem_J & V_10021;;;;;1;;;1
Anoniem_J & V_10024;;;1;;1;;;1
Anoniem_J & V_10029;;;1;;;;;1
Anoniem_J & V_10031;;;1;;;;;1
Anoniem_J & V_10032;;;1;;;;;1
Anoniem_J & V_10033;;;;;1;;;1
Anoniem_J & V_10034;;;;;1;;;1
Anoniem_J & V_10038;;1;1;;;;;1
Anoniem_J & V_1004;;;1;;;;;1
Anoniem_J & V_10041;;;1;;;;1;1
Anoniem_J & V_10048;;;1;;1;;;1
Anoniem_J & V_10049;;1;;;;;;1
Anoniem_J & V_10050;;;1;;;;;1
Anoniem_J & V_10051;;;1;;;;;1
Anoniem_J & V_10052;;;;1;;;;1
Anoniem_J & V_10053;;;1;;;;1;1
Anoniem_J & V_10054;;;;;;;1;1
Anoniem_J & V_10055;;1;;;;;;1
Anoniem_J & V_10056;;;;;;;1;1
Anoniem_J & V_10057;;1;;;;;;1
Anoniem_J & V_10058;;;1;;;;;1
Anoniem_J & V_10059;;;1;;;;;1
Anoniem_J & V_1006;;;;;1;;;1
Anoniem_J & V_10063;;;1;;;;;1
Anoniem_J & V_10064;;1;;;;;;1
Anoniem_J & V_10067;;;1;;;;;1
Anoniem_J & V_1007;;;1;;;;;1
Anoniem_J & V_10070;;;1;;;;;1
Anoniem_J & V_10072;;;;;;;1;1
Anoniem_J & V_10073;;;;;;;1;1
Anoniem_J & V_10074;;;;;;;1;1
Anoniem_J & V_10075;;;;;;;1;1
Anoniem_J & V_10076;;;1;;;;;1
Anoniem_J & V_10077;;;1;;;;;1
Anoniem_J & V_10078;;;;;;;1;1
Anoniem_J & V_10080;;;;;;;1;1
Anoniem_J & V_10081;;;1;;;;;1
Anoniem_J & V_10084;;;1;;;;;1
Anoniem_J & V_10087;;;;;;;1;1
Anoniem_J & V_10088;;;;;;;1;1
Anoniem_J & V_10096;;;1;;;;;1
Anoniem_J & V_10097;;;1;;;;;1
Anoniem_J & V_101;;;1;;;;;1
Anoniem_J & V_10100;;;1;;;;;1
Anoniem_J & V_10101;;;1;;;;1;1
Anoniem_J & V_10104;;;;;;;1;1
Anoniem_J & V_1011;;;1;;;;;1
Anoniem_J & V_10110;;;1;;;;1;1
Anoniem_J & V_10111;;;1;;;;;1
Anoniem_J & V_10112;;;;;;;1;1
Anoniem_J & V_10116;;;1;;;;;1
Anoniem_J & V_10117;;;1;;;;;1
Anoniem_J & V_10118;;;1;;;;1;1
Anoniem_J & V_10120;;;;;;;1;1
Anoniem_J & V_10122;;;;;;;1;1
Anoniem_J & V_10123;;;1;;;;1;1
Anoniem_J & V_10124;;;1;;;;;1
Anoniem_J & V_10125;;;1;;;;;1
Anoniem_J & V_10126;;;;;;;1;1
Anoniem_J & V_10127;;;1;;;;1;1
Anoniem_J & V_10128;;;1;;;;;1
Anoniem_J & V_10129;;;1;;;;1;1
Anoniem_J & V_1013;;;1;;;;;1
Anoniem_J & V_10130;;;;;;;1;1
Anoniem_J & V_10133;;;1;;;;;1
Anoniem_J & V_10134;;;;;;;1;1
Anoniem_J & V_10135;;;1;;;;;1
Anoniem_J & V_10137;;;1;;;;1;1
Anoniem_J & V_10144;;1;;;;;;1
Anoniem_J & V_10148;;;1;;;;;1
Anoniem_J & V_10149;;;1;;;;;1
Anoniem_J & V_10150;;;;;;;1;1
Anoniem_J & V_10151;;;;;;;1;1
Anoniem_J & V_10152;;;1;;;;;1
Anoniem_J & V_10155;;;1;;;;;1
Anoniem_J & V_10156;;;;;;;1;1
Anoniem_J & V_10160;;1;;;;;;1
Anoniem_J & V_10164;;;;;;;1;1
Anoniem_J & V_10165;;;1;;;;;1
Anoniem_J & V_10167;;;1;;;;;1
Anoniem_J & V_10170;;;;;1;;;1
Anoniem_J & V_10172;;;1;;;;1;1
Anoniem_J & V_10174;;;1;;;;;1
Anoniem_J & V_10175;;;;;;;1;1
Anoniem_J & V_10176;;;;;;;1;1
Anoniem_J & V_10177;;;;;;;1;1
Anoniem_J & V_10179;;;1;;;;1;1
Anoniem_J & V_10180;;;;;;;1;1
Anoniem_J & V_10183;;;1;;;;;1
Anoniem_J & V_10187;;;1;;;;;1
Anoniem_J & V_10203;;;1;;;;;1
Anoniem_J & V_10204;;1;;;;;;1
Anoniem_J & V_10205;;;1;;;;;1
Anoniem_J & V_1021;;;;;1;;;1
Anoniem_J & V_10210;;;1;;;;1;1
Anoniem_J & V_10213;;;1;;;;;1
Anoniem_J & V_10214;;;1;;;;;1
Anoniem_J & V_10216;;;1;;;;;1
Anoniem_J & V_10217;;;;;;;1;1
Anoniem_J & V_1022;;;1;;;;;1
Anoniem_J & V_10229;;;1;;;;;1
Anoniem_J & V_10231;;;;;;;1;1
Anoniem_J & V_10237;;1;;;;;;1
Anoniem_J & V_10238;;;;;;;1;1
Anoniem_J & V_1024;;;1;;;;;1
Anoniem_J & V_10240;;;1;;;;;1
Anoniem_J & V_10243;;;1;;;;;1
Anoniem_J & V_10245;;;;;;;1;1
Anoniem_J & V_10246;;;;;;;1;1
Anoniem_J & V_1025;;;;;;;1;1
Anoniem_J & V_10254;;;;1;;;;1
Anoniem_J & V_10255;;;;;1;;;1
Anoniem_J & V_10258;;;1;;;;;1
Anoniem_J & V_10259;;;;;;;1;1
Anoniem_J & V_10263;;;;;;;1;1
Anoniem_J & V_10265;;1;;;;;;1
Anoniem_J & V_10266;;;1;;;;;1
Anoniem_J & V_10268;;;1;;;;1;1
Anoniem_J & V_10269;;;;;;;1;1
Anoniem_J & V_1027;;;;;1;;;1
Anoniem_J & V_10273;;;;;;;1;1
Anoniem_J & V_10275;;;1;;;;;1
Anoniem_J & V_10290;;;;;;;1;1
Anoniem_J & V_10292;;;1;;;;;1
Anoniem_J & V_10294;;;1;;;;;1
Anoniem_J & V_10295;;;;;;;1;1
Anoniem_J & V_10298;;;1;;;;;1
Anoniem_J & V_10299;;;;;;;1;1
Anoniem_J & V_103;;;1;;;;;1
Anoniem_J & V_1030;;;1;;;;;1
Anoniem_J & V_10304;;;;;;;1;1
Anoniem_J & V_10305;;;1;;;;;1
Anoniem_J & V_10306;;;;1;;;;1
Anoniem_J & V_1031;;;1;;;;;1
Anoniem_J & V_10310;;;1;;;;;1
Anoniem_J & V_10312;;;1;;;;;1
Anoniem_J & V_10313;;;1;;;;1;1
Anoniem_J & V_10315;;;1;;;;;1
Anoniem_J & V_10318;;;1;;;;;1
Anoniem_J & V_10320;;;1;;;;;1
Anoniem_J & V_10322;;;1;;;;;1
Anoniem_J & V_10323;;;1;;;;;1
Anoniem_J & V_10324;;;1;;;;;1
Anoniem_J & V_10325;;;1;;;;1;1
Anoniem_J & V_10326;;;1;;;;;1
Anoniem_J & V_10329;;;1;;;;;1
Anoniem_J & V_10330;;;1;;;;;1
Anoniem_J & V_10331;;;1;;;;1;1
Anoniem_J & V_10336;;;;;;;1;1
Anoniem_J & V_10337;;;1;;;;;1
Anoniem_J & V_1034;;;1;;;;;1
Anoniem_J & V_10341;;;;;1;;;1
Anoniem_J & V_10347;;;1;;;;;1
Anoniem_J & V_10348;;;;;;;1;1
Anoniem_J & V_10349;;;1;;;;;1
Anoniem_J & V_10350;;;1;;;;1;1
Anoniem_J & V_10352;;;;;;;1;1
Anoniem_J & V_10353;;;1;;;;;1
Anoniem_J & V_10354;;;;;;;1;1
Anoniem_J & V_10355;;;1;;;;1;1
Anoniem_J & V_10356;;;;;;;1;1
Anoniem_J & V_10357;;;;;;;1;1
Anoniem_J & V_10360;;;1;;;;;1
Anoniem_J & V_10361;;;1;;;;1;1
Anoniem_J & V_10364;;;1;;;;;1
Anoniem_J & V_10365;;;1;;;;;1
Anoniem_J & V_10366;;;1;;;;;1
Anoniem_J & V_10367;;;;;;;1;1
Anoniem_J & V_10368;;;1;;;;1;1
Anoniem_J & V_10369;;;;;;;1;1
Anoniem_J & V_1037;;;1;;;;;1
Anoniem_J & V_10370;;;1;;;;;1
Anoniem_J & V_10371;;;;;;;1;1
Anoniem_J & V_10373;;;;;;;1;1
Anoniem_J & V_10374;;;;;;;1;1
Anoniem_J & V_10375;;;1;;;;1;1
Anoniem_J & V_10378;;;1;;;;1;1
Anoniem_J & V_10381;;;;;;;1;1
Anoniem_J & V_10382;;;1;;;;;1
Anoniem_J & V_10385;;;1;;;;;1
Anoniem_J & V_10386;;;;;;;1;1
Anoniem_J & V_10388;;;1;;;;;1
Anoniem_J & V_10389;;;;;1;;;1
Anoniem_J & V_10395;;;1;;;;;1
Anoniem_J & V_10396;;;;;;;1;1
Anoniem_J & V_10397;;;1;;;;1;1
Anoniem_J & V_10398;;;1;;;;1;1
Anoniem_J & V_10399;;;1;;;;1;1
Anoniem_J & V_1040;;;;;;;1;1
Anoniem_J & V_10401;;;1;;;;1;1
Anoniem_J & V_10403;;;;1;;;1;1
Anoniem_J & V_10404;;;1;;;;;1
Anoniem_J & V_10405;;;1;;;;;1
Anoniem_J & V_10406;;;;;;;1;1
Anoniem_J & V_10407;;;1;;;;;1
Anoniem_J & V_10408;;;1;;;;;1
Anoniem_J & V_10413;;;1;;;;;1
Anoniem_J & V_10417;;;1;;;;;1
Anoniem_J & V_10422;;1;;;;;;1
Anoniem_J & V_10423;;;1;;;;;1
Anoniem_J & V_10424;;;;;;;1;1
Anoniem_J & V_10430;;;1;;;;;1
Anoniem_J & V_10433;;;1;;;;;1
Anoniem_J & V_10434;;;;;;;1;1
Anoniem_J & V_10436;;;1;;;;;1
Anoniem_J & V_10437;;;1;;;;;1
Anoniem_J & V_10439;;;;;;;1;1
Anoniem_J & V_1044;;;1;;;;;1
Anoniem_J & V_10440;;;1;;;;;1
Anoniem_J & V_10441;;;1;;;;;1
Anoniem_J & V_10442;;;1;;;;;1
Anoniem_J & V_10445;;;1;;;;1;1
Anoniem_J & V_10446;;;1;;;;;1
Anoniem_J & V_10447;;;1;;;;;1
Anoniem_J & V_10448;;;1;;;;;1
Anoniem_J & V_10449;;;1;;;;;1
Anoniem_J & V_1045;;;;;;;1;1
Anoniem_J & V_10450;;;1;;;;;1
Anoniem_J & V_10451;;;1;;;;;1
Anoniem_J & V_10452;;;1;;;;;1
Anoniem_J & V_10453;;;1;;;;;1
Anoniem_J & V_10454;;;1;;;;;1
Anoniem_J & V_10456;;;1;;;;;1
Anoniem_J & V_10458;;;;;;;1;1
Anoniem_J & V_10459;;;1;;;;;1
Anoniem_J & V_10462;;;1;;;;;1
Anoniem_J & V_10467;;;;;;;1;1
Anoniem_J & V_10468;;;1;;;;;1
Anoniem_J & V_10470;;;;;;;1;1
Anoniem_J & V_10471;;;1;;;;;1
Anoniem_J & V_10472;;;;;;;1;1
Anoniem_J & V_10473;;;;;;;1;1
Anoniem_J & V_10475;;;1;;;;;1
Anoniem_J & V_10477;;;1;;;;;1
Anoniem_J & V_10478;;;1;;;;;1
Anoniem_J & V_10479;;1;1;;;;;1
Anoniem_J & V_1048;;;;;;;1;1
Anoniem_J & V_10488;;;;;;;1;1
Anoniem_J & V_10491;;;1;;;;;1
Anoniem_J & V_10492;;;1;;;;;1
Anoniem_J & V_10493;;;1;;;;;1
Anoniem_J & V_10496;;;1;;;;;1
Anoniem_J & V_10498;;;1;;;;;1
Anoniem_J & V_10499;;;1;;;;;1
Anoniem_J & V_1050;;;;;;;1;1
Anoniem_J & V_10504;;;;;;;1;1
Anoniem_J & V_10505;;;1;;;;;1
Anoniem_J & V_10506;;;1;;;;;1
Anoniem_J & V_10507;;;1;;;;;1
Anoniem_J & V_10508;;;1;;;;;1
Anoniem_J & V_1051;;1;1;;;;;1
Anoniem_J & V_10511;;;;;;;1;1
Anoniem_J & V_10513;;;1;;;;;1
Anoniem_J & V_10515;;;1;;;;;1
Anoniem_J & V_10516;;;1;;;;;1
Anoniem_J & V_1052;;;1;;;;1;1
Anoniem_J & V_10521;;;1;;;;;1
Anoniem_J & V_10522;;;;;1;;;1
Anoniem_J & V_10524;;;1;;;;;1
Anoniem_J & V_10525;;;1;;;;1;1
Anoniem_J & V_10529;;;1;;;;;1
Anoniem_J & V_1053;;;;;;;1;1
Anoniem_J & V_10531;;;1;;;;;1
Anoniem_J & V_10532;;;1;;;;;1
Anoniem_J & V_10533;;;1;;;;;1
Anoniem_J & V_10535;;;1;;;;;1
Anoniem_J & V_10536;;;1;;;;;1
Anoniem_J & V_10538;;;1;;;;;1
Anoniem_J & V_1054;;;;;;;1;1
Anoniem_J & V_10545;;;1;;;;;1
Anoniem_J & V_10547;;;;1;;;;1
Anoniem_J & V_10548;;;1;;;;;1
Anoniem_J & V_10549;;;1;;;;;1
Anoniem_J & V_10551;;;1;;;;;1
Anoniem_J & V_10552;;;1;;;;;1
Anoniem_J & V_10553;;;1;;;;;1
Anoniem_J & V_10557;;;1;;;;;1
Anoniem_J & V_10559;;;1;;;;;1
Anoniem_J & V_1056;;;;;1;;;1
Anoniem_J & V_10560;;;1;;;;;1
Anoniem_J & V_10561;;;;;;;1;1
Anoniem_J & V_10562;;;1;;;;;1
Anoniem_J & V_10564;;;;;;;1;1
Anoniem_J & V_10569;;;1;;;;;1
Anoniem_J & V_10572;;;;;1;;;1
Anoniem_J & V_10574;;;;;;;1;1
Anoniem_J & V_10577;;;1;;;;;1
Anoniem_J & V_10578;;;1;;;;;1
Anoniem_J & V_10582;;;1;;;;;1
Anoniem_J & V_10586;;;1;;;;;1
Anoniem_J & V_10591;1;;1;;;;;1
Anoniem_J & V_10592;;;1;;;;;1
Anoniem_J & V_10594;;;1;;;;;1
Anoniem_J & V_10598;;;1;;;;;1
Anoniem_J & V_10599;;;1;;;;1;1
Anoniem_J & V_106;;;1;;;;;1
Anoniem_J & V_10601;;;;;;;1;1
Anoniem_J & V_10602;;;1;;;;;1
Anoniem_J & V_10603;;;1;;;;;1
Anoniem_J & V_10604;;;1;;;;;1
Anoniem_J & V_10606;;;1;;;;;1
Anoniem_J & V_10609;;;;;;;1;1
Anoniem_J & V_1061;;;1;;;;1;1
Anoniem_J & V_10611;;;1;;;;;1
Anoniem_J & V_10612;;;1;;;;;1
Anoniem_J & V_10614;;;;1;;;;1
Anoniem_J & V_10615;;;1;;1;;;1
Anoniem_J & V_10617;;;1;;;;;1
Anoniem_J & V_10618;;;1;;;;;1
Anoniem_J & V_10620;;;1;;;;;1
Anoniem_J & V_10624;;;1;;;;;1
Anoniem_J & V_10626;;;1;;;;;1
Anoniem_J & V_1063;;;1;;;;1;1
Anoniem_J & V_10631;;;1;;;;;1
Anoniem_J & V_10633;;;1;;;;;1
Anoniem_J & V_10636;;;1;;;;;1
Anoniem_J & V_10639;;;1;;;;;1
Anoniem_J & V_1064;;;1;;;;;1
Anoniem_J & V_10647;;;1;;;;;1
Anoniem_J & V_1065;;;1;;;;;1
Anoniem_J & V_10652;;;1;;;;;1
Anoniem_J & V_10657;;;1;;;;;1
Anoniem_J & V_10666;;;1;;;;;1
Anoniem_J & V_10669;;;1;;;;;1
Anoniem_J & V_10671;;;;;1;;;1
Anoniem_J & V_10673;;;;;;;1;1
Anoniem_J & V_10678;;;;1;;;;1
Anoniem_J & V_10687;;;1;;;;;1
Anoniem_J & V_10688;;;;;;;1;1
Anoniem_J & V_1069;;;;;;;1;1
Anoniem_J & V_10694;;;1;;;;1;1
Anoniem_J & V_10695;;;1;;;;;1
Anoniem_J & V_10697;;;1;;;;;1
Anoniem_J & V_107;;;1;;;;;1
Anoniem_J & V_1070;;;1;;;;;1
Anoniem_J & V_10702;;;1;;;;1;1
Anoniem_J & V_10703;;;1;;;;;1
Anoniem_J & V_10706;;;1;;;;;1
Anoniem_J & V_1071;;;1;;;;;1
Anoniem_J & V_10710;;;1;;;;;1
Anoniem_J & V_10712;;;1;;;;;1
Anoniem_J & V_10715;;;1;;;;;1
Anoniem_J & V_10717;;1;1;;;;;1
Anoniem_J & V_10718;;;1;;;;;1
Anoniem_J & V_10721;;;;1;;;;1
Anoniem_J & V_10724;;1;;;;;;1
Anoniem_J & V_10725;;;;;;;1;1
Anoniem_J & V_10727;;;;;;;1;1
Anoniem_J & V_10728;;;1;;;;1;1
Anoniem_J & V_10729;;;1;;;;;1
Anoniem_J & V_10733;;;1;;;;;1
Anoniem_J & V_10734;;;1;;;;;1
Anoniem_J & V_10737;;;;;;;1;1
Anoniem_J & V_1074;;;1;;;;;1
Anoniem_J & V_10748;;;1;;;;;1
Anoniem_J & V_10749;;;1;;;;1;1
Anoniem_J & V_1075;;;1;;;;1;1
Anoniem_J & V_10762;;;1;;;;;1
Anoniem_J & V_10765;;;1;;;;;1
Anoniem_J & V_10769;;;1;;;;;1
Anoniem_J & V_1077;;;1;;;;;
Anoniem_J & V_10771;;;;;;;1;1
Anoniem_J & V_10779;;;1;;;;;1
Anoniem_J & V_10781;;;1;;;;;1
Anoniem_J & V_10783;;;;;1;;;1
Anoniem_J & V_10787;;;1;;;;;1
Anoniem_J & V_10789;;;1;;;;;1
Anoniem_J & V_10796;;;1;;;;;1
Anoniem_J & V_10797;;;1;;;;;1
Anoniem_J & V_108;;;1;;;;1;1
Anoniem_J & V_1080;;;;;;;1;1
Anoniem_J & V_10801;;;1;;;;;1
Anoniem_J & V_10804;;;1;;;;;1
Anoniem_J & V_10808;;;;;;;1;1
Anoniem_J & V_1081;;;;;;;2;2
Anoniem_J & V_10811;;;1;;;;;1
Anoniem_J & V_10812;;;1;;;;;1
Anoniem_J & V_10814;;;1;;;;;1
Anoniem_J & V_10815;;;1;;;;;1
Anoniem_J & V_10816;;;;;;;1;1
Anoniem_J & V_10818;;;1;;;;1;1
Anoniem_J & V_10823;;1;;;;;;1
Anoniem_J & V_10826;;;1;;;;;1
Anoniem_J & V_10832;;;1;;;;;1
Anoniem_J & V_10833;;;;;;;1;1
