Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
LifeGuard Academy B.V.;2;2;;;;;2
LinQue Consult B.V.;;;;;2;;2
Loeper Advies;;2;;;;;2
Lucky TV;1;;;;;;1
Madeleine B.V.;;;1;;;;1
Marc Pomp Economische Beleidsanalyse;1;;;;;;1
MARCO ZOON ORGANISEREN VAN COMMUNICEREN;1;;;;;;1
Mare Holland B.V.;2;;;;;;2
Marlies Hanse Tekstbureau;;;;;;1;1
Meantone;;;1;;;;1
MetrixLab B.V.;;;2;;;;2
Mindful Matters;2;;;;;;2
MMM Interactieve Communicatie;1;;;;;;1
Molen & Molen;;2;;;;;2
Moolenaar Fotografie;2;;;;;;2
Nationale Beeldbank B.V.;1;;;;;;1
Netherl. Facility Costs Index Coöperatie UA;;1;;;;;1
Network Music Europe B.V.;;;1;;;;1
NextThinking B.V.;1;;;;;;1
NIBUD Geldgripper B.V.;2;;;;;;2
Novagraaf Nederland B.V.;1;;;;;;1
Novum;1;;;;;;1
Oberman Groep B.V.;4;;;;;;4
Oliver Wyman B.V.;;;;;9;;9
Oracle Nederland;;;;;5;;5
Ordina Nederland B.V.;;;;;3;;3
OSN Nederland B.V.;;;;;4;;4
Otter Audio-Visueel;1;;;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;2;;;7;;;7
Planon B.V.;;;;;3;;3
PNA TopTrainees B.V.;;;;;2;;2
Policy Research Corporation Nederland B.V.;2;;;;;;2
Politea;1;;;;;;1
Prismata;1;;;;;;1
Protinus IT B.V.;;;;;2;;2
Public Partners;1;;;;;;1
Quint Wellington Redwood Nederland B.V.;;;;;3;;3
Radicand Economics;1;;;;;;1
Randstad Uitzendbureau;;;;;7;;7
Remmerswaal Coaching en Opleiding;1;;;;;;1
René Vorderman;;;1;;;;1
Renée Broekmeulen Tekst & Training;2;;;;;;2
Richardsconnections;1;;;;;;1
Roel Peeters;1;;;;;;1
Roorda Reclamebureau B.V.;;1;;;;;1
Ruhe Advies B.V.;;2;;;;;2
S. Joosten;1;;;;;;1
Sander Teepen;;;1;;;;1
Sardijn B.V.;1;;;;;;1
Scholten Awater B.V.;;;;;7;;7
Script;1;;;;;;1
Sdu Uitgevers B.V.;1;;;;;;1
Seven Stars B.V.;;;;;4;;4
Siemens Nederland N.V.;;;;;2;;2
Skils B.V.;1;;;;;;1
SNR Schouten & Nelissen Recovery B.V.;;;;;1;;1
Software Improvement Group B.V.;;;;;4;;4
Sprengers Advocaten;;;;1;;;1
Stg. Beheer Derdengelden Lemstra V.d. Korst;1;;;;;;1
Stg. ProDemos - Huis voor dem. en rechtsstaat;1;;;;;;1
Stichting De Ooievaart;1;;;;;;1
Stichting Fonds Instituut Clingendael;2;;;;;;2
Stichting Schrijvers School Samenleving;1;;;;;;1
Stichting Wetenschappelijk Onderzoek Verkeersveiligheid Swov;1;;;;;;1
Susanne Kleijn B.V.;;1;;;;;1
Syconomy;1;;;;;;1
TeamSupport Creating Together B.V.;1;;;;;;1
Ten Have;1;;;;;;1
The Boston Consulting Group B.V.;5;;;;;;5
Tint, Buro voor Grafische Vormgeving;2;;;;;;2
TNO B.V.;1;;;;;;1
Tolkservice Lucia;;1;;;;;1
Tonnaer Bykorf;;;;;1;;1
TriageExpert B.V.;;;;;3;;3
Triple I Human Capital;1;;;;;;1
USG Capacity;;;;;3;;3
Valerie Kuypers Fotografie;;1;;;;;1
Van den Broek Consultancy & Juridisch advies;1;;;;;;1
van der Maesen & Koch HRM-Advies;;2;;;;;2
Van Dijk Zakelijk B.V.;;;;;;1;1
Van Doorne N.V.;;;;7;;;7
Vanbinnenuit;2;;;;;;2
Veldkamp Marktonderzoek B.V.;;;1;;;;1
Verbond van Verzekeraars;1;;;;;;1
Verdonck, Klooster & Associates B.V.;;;;2;2;;3
Vertaal & Adviesbureau H. Abdel Gawad;;1;;;;;1
Viadesk;;;1;;;;1
vwd group Netherlands B.V.;;2;;;;;2
W.A.C. van Mossevelde;1;;;;;;1
WA Houtzager Holding B.V.;1;;;;;;1
Wijers Beheer B.V.;1;;;;;;1
Wijngaarden Beheer B.V.;1;;;;;;1
Wismeijer Science Translation;;1;;;;;1
Xerox (Nederland) B.V.;;;;;1;;1
Yune B.V.;1;;;;;;1
Zaker B.V.;2;;;;;;2
ZAPPtv;1;;;;;;1
Zilver Personal Touch;2;;;;;;2
Zorg Innovaties Nederland B.V.;1;;;;;;1
ZorgmarktAdvies;1;;;;;;1
Eindtotaal;7;5;3;8;11;6;11
