Leverancier;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Huisartsenpraktijk Mosa;;1;;;;;;;1
Huisartsenpraktijk Mostart;;1;;;;;;;1
Huisartsenpraktijk Nieuw West;;1;;;;;;;1
Huisartsenpraktijk Nieuwlandersingel;;1;;;;;;;1
Huisartsenpraktijk Ookmeer;;1;;;;;;;1
Huisartsenpraktijk Ottengraf B.V.;;1;;;;;;;1
Huisartsenpraktijk Poyraz B.V.;;1;;;;;;;1
Huisartsenpraktijk Rietbergen;;1;;;;;;;1
Huisartsenpraktijk Ruinen-Pesse B.V.;;1;;;;;;;1
Huisartsenpraktijk S.C. Haverkamp-Hoogeveen;;1;;;;;;;1
Huisartsenpraktijk Sagenhoek;;1;;;;;;;1
Huisartsenpraktijk Silverstaete;;1;;;;;;;1
Huisartsenpraktijk Slot;;1;;;;;;;1
Huisartsenpraktijk van Halteren;;1;;;;;;;1
Huisartsenpraktijk Vleutenseweg B.V.;;1;;;;;;;1
Huisartsenpraktijk Vleuterweide;;1;;;;;;;1
Huisartsenpraktijk Voordorp;;1;;;;;;;1
Huisartsenpraktijk Vos;;1;;;;;;;1
Huisartsenpraktijk Wantveld;;1;;;;;;;1
Huisartsenpraktijk Westeinder;;1;;;;;;;1
Huisartsenpraktijk Zaandam Oost;;1;;;;;;;1
Huisartsenpraktijk Zeswegen;;1;;;;;;;1
Huisartsprakijk Storm de Grave;;1;;;;;;;1
Huisartspraktijk A. Mungra;;1;;;;;;;1
Huisartspraktijk B. Balhuizen;;1;;;;;;;1
Huisartspraktijk Behets;;1;;;;;;;1
Huisartspraktijk Bicer;;1;;;;;;;1
Huisartspraktijk Dekeukeleire;;1;;;;;;;1
Huisartspraktijk Heiszwolf;;1;;;;;;;1
Huisartspraktijk M. Lachman;;1;;;;;;;1
Huisartspraktijk M.A. van Bodegom;;1;;;;;;;1
Huisartspraktijk Michon;;1;;;;;;;1
Huisartspraktijk Reuvekamp;;1;;;;;;;1
Huisartspraktijk Schoenmakers;;1;;;;;;;1
Huisartspraktijk Uitendaal;;1;;;;;;;1
Huisartspraktijk van Leenen;;1;;;;;;;1
Huisartspraktijk Van Willigen;;1;;;;;;;1
Huisartspraktijk Velthuijse;;1;;;;;;;1
Human Dimensions B.V.;;;;;2;;;;2
I.T.S. International Technical Service;;1;;;;;;;1
IADA V.O.F.;;;;;1;;;;1
IBSE-Technologie Consulting B.V.;;;;;;;1;;1
ICI B.V.;;;;;;;1;;1
ICM Opleidingen & Trainingen B.V.;;;;;2;;;;2
Icomos-Nederland;;;;;;;1;1;1
Idols Rijswijk B.V.;;;1;;;;;;1
Ikos Consult;;;;;1;;;;1
Il Lago B.V.;;;1;;;1;;;1
iLLustratief;;;;;1;;;;1
IMO IJkema;;;;;1;;;;1
Impuls B.V.;;1;;;;;;;1
In het huis van ...;;;1;;;;;;1
In Pace B.V.;;;1;;;;;;1
In Touch Women Resource Management B.V.;;;;;2;;;;2
InBalanzCoaching;;;;;1;;;;1
Incassobureau Plaggemars;;;1;;1;;;;1
Indiaas Restaurant Taj Mahal;;;1;;;;;;1
Infinite Financieel B.V.;;;;;1;;;;1
Infix B.V.;;;;;1;;;;1
Info.nl B.V.;;;;;;;;1;1
Information Security Academy B.V.;;;;;1;;;;1
ING Commercial Finance B.V.;;;1;;;;;;1
Inkesta B.V.;;;;;1;;;;1
Innofeet Zuidwolde Medisch Centrum Thijinge;;1;;;;;;;1
InsightsWorld B.V.;;;;;1;;;;1
Insite Media;;;;;1;;;;1
inspearit B.V.;;;;;1;;;;1
Inspire Circle of Professionals;;;;;1;;;;1
Inspire to Act;;;;;2;;;;2
Inst. for Hous. and Urban Devel. Stud. B.V.;;;;;1;;;;1
Instituut Onderw.ond.steun. Instondo B.V.;;;;;1;;;;1
Instituut van Internal Auditors Nederland;;;;;1;;1;;1
Instituut voor Arbeidsrecht B.V.;;;;;1;;;;1
Int Instituut Toepasbare Psych Bureau Land BV;;;;;1;;;;1
Intermenso;;1;;1;2;;;;3
International Risk Mitigation Services;;;;;;;2;;2
InterOp B.V.;;;;;1;;;;1
intoconferences;;;;;1;;;;1
Ipcom Nederland B.V.;;;;;;;1;;1
IPMA Certificering B.V.;;;;;2;;;;2
Ipsumite;;;;;1;;;;1
IPV Opleiding & Training B.V.;;;;;1;;;;1
Iris Huys;;1;;;;;;;1
Irish Flowers;;1;1;;1;;;;1
ISBW;;;;;1;;;;1
ISS Integrated Facility Services B.V.;;;1;;;;;;1
ISS Nederland B.V.;;;;;2;;;;2
IT Management Group;;;;;3;;;;3
Italia Leidsche Rijn;;;1;;;;;;1
ITB B.V.;;;;;1;;;;1
J. Miedema, huisarts;;1;;;;;;;1
J.C.M. Vrij Huisarts;;1;;;;;;;1
J.G.J. Heijmeskamp;;;1;;;;;;1
J.L. Stranders;;;;;1;;;;1
Jabugo bar Iberico Foodhallen B.V.;;;1;;;;;;1
James Watt Leisure B.V.;;;1;;;;;;1
Jan Hooikammer;;;;;1;;;;1
Jan van Hoof Galerie B.V.;;;1;;;;;;1
Janssen Rehabilitation Medicine & Consultancy;;1;;;;;;;1
JARO Events en Catering B.V.;;;;;1;;;;1
Jeu de Boulesbar B.V.;;;;;1;;;;1
JINC B.V.;;;;;2;;2;;2
Joan's Vitality Solutions;;;;;1;;;;1
Joyce Kool Coaching en Training;;;;;1;;;;1
Jurion;;;;;1;;;;1
Just Jolin;;;1;;;1;;;1
Jutta Hulshof;;;;;1;;;;1
Kaap Hoorn Exploitatie B.V.;;;1;;;1;;;1
Kaars Koffie B.V.;;;1;;;;;;1
Kaarsen-online;;;1;;;;;;1
Kaashuis Wrongel;;;1;;;1;;;1
Kamp Coaching - Training & Advies;;;;;1;;;;1
Keizer Culinair B.V.;;;1;;;;;;1
Kensas B.V.;;;;;1;;;;1
Kerst Company B.V.;;;1;;;;;;1
Kessels & Smit, Publishers B.V.;;;;;2;;;;2
Klantcontact Boosters B.V.;;;;;1;;;;1
Kloek B.V.;;;1;;;;;;1
Knaapen-Hagoort h.o.d.n.;;;1;;;;;;1
Knoflookrestaurant 'Look;;;1;;;;;;1
Koen de Snoo;;;;;1;;;;1
Koetsenruijter Conflictmanagement en Bemid.;;;;;1;;;;1
Kon. Ned. Veren. van Informatieprofessionals;;;;;1;;;;1
Kon. Verenig. van Archivarissen in Nederland;;;;;3;;;;3
Koninklijk Instituut van Ingenieurs;;;;;;;;1;1
Koos Overbeeke;;;;;1;;;;1
Koos Sikkens AGF Paterswolde;;;1;;;;;;1
KPN B.V.;;;;;;;;1;1
Krancher2 t.h.o.d.n. iQ Coaches Den Haag West;;;;;1;;;;1
Krommerijn;;;;1;;;;;1
Kruim Exploitatie Maatschappij (K.E.M.);;;1;;;;;;1
KSG Trainers & Consultants;;;;;2;;;;2
Kunstuitleen Voorburg;;;1;;;;;;1
L. Berbers;;;1;;;;;;1
L.J. Van Rooijen, huisarts;;1;;;;;;;1
L.M. de Vries;;;;;;;;1;1
La Bouquetterie;;;1;;;;;;1
La Red B.V.;;;;;1;;;;1
La Trattoria;;;;;;;;1;1
Land van Kokanje B.V.;;;1;;;1;;;1
Landelijke Vereniging van Vertrouwenspersonen;;;;;1;;;;1
Landgoed Remmerstein B.V.;;;1;;;;;;1
Landhuis Eten en Drinken;;;1;;;;;;1
Language Institute Regina Coeli B.V.;;;;;1;;;;1
Larijs trainingen;;;;;1;;;;1
Lasaulec B.V.;;1;;;;;;;1
Le Bistroquet B.V.;;;1;;;;;;1
Le Blanc Advies Process Management;;;;;1;;;;1
Leaseplan Nederland N.V.;;;;;;;;2;2
Ledschermbus.nl;;;1;;;;;;1
Leeuwendaal Advies B.V.;;;;;1;;;;1
LEF Marketing & Events B.V.;;;;;1;;;;1
Leids Congres Bureau B.V.;;;;;1;;;;1
Leidse Onderwijsinstellingen B.V.;;;;;1;;;;1
LeisureTeam B.V.;;;1;;;1;;;1
Lems design;;;1;;;;;;1
LENGG;;1;;;;;;;1
Leyhoeve Horeca Groningen B.V.;;;1;;;1;;1;1
l'Horizon Advies;;;1;;;;;;1
Lily Schuimer;;;;;2;;;;2
Little V Den Haag B.V.;;;1;;;;;;1
Lloyd Hotel B.V.;;;1;;;;;;1
Locatie Marketing en Management Company B.V.;;;;;2;;;;2
LOCOletter B.V.;;;1;;;;;;1
Logeion;;;;;1;;1;;2
Lola's Events;;;;;;;;1;1
Long John;;;1;;;;;;1
Loo Van Eck B.V.;;;;;1;;;;1
Loof training en advies B.V.;;;;;1;;;;1
Louisa Vijfschaft Juridisch Advies;;;;;1;;;;1
LTP Advies B.V.;;;;2;1;;;;2
LTP Holding B.V.;;;;;2;;;;2
Lucertis;;1;;;;;;;1
Luden B.V.;;;1;;;1;;;1
Lumage Managing Customer Relations B.V.;;;;;3;;;;3
LuxaLight B.V.;;;;;1;;;;1
M. Smit en L.I. Vos, huisartsen;;1;;;;;;;1
M.D. Lemckert, huisarts;;1;;;;;;;1
Maarsingh & Van Steijn Psynovatie B.V.;;1;1;;;;;;1
Maas International B.V.;;;1;;;;;;1
Maasstad Ziekenhuis;;1;;;;;;;1
Maatschap GEZ Medisch Centrum Ommedijk;;1;;;;;;;1
Maatschap H.J. Kieft en A. Kieft-Elzinga;;;1;;;;;;1
Maatschap Huisarts Haan & Andréa;;1;;;;;;;1
Maatschap Huisartsen 's-Hertogenbosch Noord;;1;;;;;;;1
Maatschap Huisartsenpraktijk Loosdrecht;;1;;;;;;;1
Maatschap Huisartsenpraktijk Markt;;1;;;;;;;1
Maatschap Huisartsenpraktijk Statenwold;;1;;;;;;;1
Maatschap Internisten IJsselland Ziekenhuis;;1;;;;;;;1
Maatschap Neurologie Eindhoven;;1;;;;;;;1
Maatschap Neurologie Zeeland;;1;;;;;;;1
Maatschap Polikliniek Revalidatie;;1;;;;;;;1
Maatschap S. Zwart en A. Zwart-Klok;;1;;;;;;;1
Maatschap Verwijs-Hollants Huisartsenpr.;;1;;;;;;;1
MAEK Academie;;;;;3;;;;3
Maestro;;;;;;1;;;1
Mainpress B.V.;;;;;1;;;;1
MaMa Kelly B.V.;;;1;;;;;;1
Mammamia B.V.;;;1;;;;;;1
Managen en Zo B.V.;;;;;1;;;;1
Mancave Groningen B.V.;;;1;;;1;;;1
Manta Beach;;;1;;;;;;1
Margrit ter Stege Bureau voor Loopbaanadvies;;;;;1;;;;1
Marianne Burggraaf Training en Coaching;;;;;1;;;;1
Marloes Rijken;;;1;;;;;;1
Marosel B.V.;;;;;4;;;;4
Martini Zknhs/C.B. Tandheelk. Martini Zknhs;;1;;;;;;;1
Matthieu Maas;;;;;2;;;;2
Mauritshuis;;;1;;;1;;;1
Max Kookt;;;1;;;;;;1
Maxilia B.V.;;;1;;;;;;1
Máxima Medisch Centrum;;1;;;;;;;1
Maximes Denneweg 10B B.V.;;;1;;;;;;1
Maxwise Trainingen;;;;;1;;;;1
McDaniel Consultancy, Services and Trade B.V.;;;;;1;;;;1
MdL-Coaching;;;;;1;;;;1
Meca B.V.;;;;;1;;;;1
Mediavrouw;;;;;1;;;;1
Medidata Management B.V.;;;;;1;;;;1
Medisch Centrum Gorecht;;1;;;;;;;1
Medisch Centrum Molenaar;;1;;;;;;;1
Medisch Centrum Oud West;;1;;;;;;;1
Medisch Specialisten Coöperatief RDGG UA;;1;;;;;;;1
Medisch Specialisten Noord West;;1;;;;;;;1
Medisch Specialistisch Bedrijf Isala;;1;;;;;;;1
Meerweg Exploitatie Haren B.V.;;;1;;;1;;;1
Meetingselect B.V.;;;1;;1;;;2;2
Meinardi Beheer B.V.;;;1;;;1;;;1
Merleyn;;;1;;;1;;;1
Metos B.V.;;1;;;;;;;1
Meulenberg Training & Coaching;;;;;1;;;;1
Meüs van der Poel Communicatiemanagement B.V.;;;;;1;;;;1
MiBoSo;;;1;;;1;;;1
Michel la Pierre - Life Improvement Coaching;;;;2;;;;;2
Michel Renses h.o.d.n. Makelaarnu Stadskanaal;;;;;1;;;;1
Michiel van Roon Holding B.V.;;;;;;1;;;1
Mindcampus B.V.;;;;;1;;;;1
Mindingyourbusiness;;;;;1;;;;1
Ministry of messages;;;;;1;;;;1
Mirjam Visser;;;;;1;;;;1
Mitra Drankencentrum Vogel;;;1;;;;;;1
Mitra Retail B.V.;;;1;;;1;;;1
MK Coaching;;;;;1;;;;1
MobiliteitNoord;;;;;1;;;;1
Moeke Vaatstra;;;1;;;1;;;1
Mondial Movers B.V.;1;;;;;;;;1
Monsterevents;;;1;;;1;;;1
Moodboost;;1;;;;;;;1
More Balls Than Most B.V.;;;;;1;;;;1
More Than Gifts B.V.;;;1;;;;;;1
Mosa Conference;;;;;1;;;;1
Moving Performance B.V.;;;;;1;;;;1
Moyee Nederland B.V.;;;1;;;1;;;1
Mr. Xi Asian Bistro;;;1;;;;;;1
MSB de Medici;;1;;;;;;;1
Munckhof Reizen B.V.;;;;;;;;1;1
Munckhof Taxi B.V.;;;;;;;;1;1
Museum Beelden aan Zee;;;1;;;;;;1
Museum Catering Den Haag B.V.;;;1;;;;;;1
MW Restaurant B.V.;;;1;;;;;;1
N.B.C. Exploitatie B.V.;;;;;1;;;;1
nai010 uitgevers/publishers;;;1;;;;;;1
Nano Technology Instruments- Europe B.V.;;;;;;;1;;1
Nationaal Gevangenismuseum;;;1;;;1;;;1
NaVijfen B.V.;;;1;;;1;;;1
NCOD Opleidingen B.V.;;;;;2;;;;2
NCOI Trainingen B.V.;;;;;3;;;1;3
Ned Academie voor Wetenschappen BV;;;;;1;;;;1
Nederl. Ber.ver. voor Contractmanagement;;;;;1;;;;1
Nederland. Vereniging voor Aanbestedingsrecht;;;;;1;;;;1
Nederlands Architectuur Forum;;;;;1;;;;1
Nederlands Debat Instituut Holding B.V.;;;;;1;;;;1
Nederlands Fotogenootschap;;;;;;;1;;1
Nederlandse GebarenChallenge;;;;;1;;;;1
Nederlandse School voor Openbaar Bestuur B.V.;;;;;4;;;;4
Nederlandse Vereniging voor Examens;;;;;;;1;;1
Nesma B.V.;;;;;1;;;;1
Neurologenpraktijk Midden-Nederland;;1;;;;;;;1
Neve;;;;;1;;;;1
NEVI-Purspective B.V.;;;;;2;;;;2
Neyzen Communicatie Advies & Management;;;;;1;;;;1
NGFG;;;;;1;;;;1
NGI B.V.;;;;;1;;;;1
NIBUD;;;;;2;;;;2
Nicky-Tax;;;;;;;;1;1
Niels van den Burg t.h.o.d.n. Zuivelhoeve;;;1;;;1;;;1
Nivoo Opleidingen B.V.;;;;;2;;;;2
NLJUG B.V.;;;;;1;;;;1
NLO Shieldmark B.V.;;;;;1;;;;1
NLUUG;;;;;1;;;;1
Nocada t.h.o.d.n. Ribsfactory Amersfoort;;;1;;;1;;;1
NoRisk Veiligheidsopleidingen B.V.;;;;;1;;;;1
Northwave Nederland B.V.;;;;;2;;;;2
NRC Media;;;1;;1;;;;1
NS Reizigers B.V.;;;;;;;;2;2
NS Stat. Ret.bdr. B.V./Kiosk hal (Amersfoort);;;1;;;;;;1
Nysingh advocaten - notarissen N.V.;;;;;1;;;;1
Ocean Tree B.V.;;;;;;;;1;1
OCR Promotions;;;1;;;;;;1
Odyssee B.V.;;;;;2;;;;2
Odyssey;;;;;2;;;;2
Office Athletes B.V.;;1;;;;;;1;1
Oil Consultants Ltd;;;;;1;;;;1
Okami;;;1;;;;;;1
Oma Toos B.V.;;;1;;;;;;1
Onderneem 't - Projecten;;;;;1;;;;1
Onemeeting.com B.V.;;;;;1;;;;1
Ontbijtservice Noorderland;;;1;;;1;;;1
Ontwerpstudio Carola Zee;;;1;;;;;;1
Open Ateliers B.V.;;;;;1;;;;1
Openbare Bibliotheek Meerburg;;;1;;;;;;1
Optelec Nederland B.V.;;2;;;;;;;2
Ordina N.V.;;;;;3;;;;3
ORM Massages;;;1;;;;;;1
OSR Juridische Opleidingen B.V.;;;;;1;;;;1
Oudaen B.V.;;;1;;;;;;1
Outpost24 Benelux B.V.;;;;;1;;;;1
OutSystems Benelux B.V.;;;;;2;;;;2
Over de Noordzee, bureau voor mens en werk;;;;;1;;;;1
P. Vlasveld Huisarts;;1;;;;;;;1
Paagman B.V.;;;1;;;;;;1
Papieren Tijger Beheer B.V.;;;;;1;;;;1
Parcival B.V.;;;;;1;;;;1
Partyboerderij Hijdra;;;1;;;;;;1
Pastis St. Leonards B.V.;;;1;;;;;;1
Paul Vergeer Bestuursadvies;;;;;2;;;;2
Pauwer Consult;;;;;2;;;;2
Paviljoen Malieveld;;;1;;;1;;;1
Paviljoen 'Sassenhein';;;1;;;1;;;1
Paviljoen van de Dame B.V.;;;1;;;1;;;1
Pavlov;;;1;;;;;;1
PBLQ B.V.;;;;;3;;;;3
Penta Scope B.V.;;;1;;1;1;;;1
PerfectView Holding B.V.;;;;;1;;;;1
Performa Uitgeverij B.V.;;;;;1;;;;1
Peter Paul Jongerius Organisatieontwikkeling;;;;;1;;;;1
PgUp;;;;;1;;;;1
Phaos Advies B.V.;;;;;2;;;;2
PHOENIX Opleidingen TA/NLP B.V.;;;;;1;;;;1
Phonsawan B.V.;;;1;;;1;;;1
Piet Butter B.V.;;;;;1;;1;;1
Pim Mulier B.V.;;;;;2;;;;2
Pino Evenementen & Congressen B.V.;;;;;;2;;;2
Pitch&Putt Groningen;;;1;;;1;;;1
Pizzeria Verlengde Hereweg B.V.;;;1;;;1;;;1
Plein 9 A B.V.;;;1;;;;;;1
Pluc B.V.;;;;;1;;;;1
POL Heteren B.V.;;1;;;;;;;1
Polikliniek Steenwijk;;1;;;;;;;1
Polteq Test Services B.V.;;;;;1;;;;1
Poorta/Feenstra Exploitatie;;;1;;;1;;;1
Pop-Up Uitjes;;;1;;;1;;;1
POSG B.V.;;;;5;;;;;5
PQR B.V.;;;;;1;;;;1
Prachtig B.V.;;;1;;;;;;1
Prakt. v. Psychoth. en Cons. G. van der Zalm;;1;;;;;;;1
Praktijk Camper, Huisartsen;;1;;;;;;;1
Praktijk Maria Derksen;;1;1;;;;;;1
Praktijk Novaster;;;;;1;;;;1
Praktijk voor Bewustzijnstraining;;;;;1;;;;1
Praktijk voor Fysiotherapie J. van Zeist;;1;;;;;;;1
Praktijk Yvonne de Vries;;;;;1;;;;1
PricewaterhouseCoopers Belastingadviseurs N.V;;;;;1;;;;1
Print X-Press;;;1;;;;;;1
Prodigy Security;;;;1;;;;;1
Proef Media B.V.;;;;;1;;;;1
Proeflokaal aan de Amstel;;;1;;;1;;;1
Progress Events B.V.;;;1;;;1;;;1
PromoPodium B.V.;;;1;;;1;;;1
Pronk Exploitatie B.V.;;;1;;;1;;;1
Pronk Juweel B.V.;;;1;;;;;;1
Pro-Tact B.V.;;;;4;;;;;4
Protinus IT B.V.;;;;;4;;;;4
Prowareness WeOn Groep B.V.;;;;;1;;;;1
Psych.bollenstreek/Psych.prakt. dir. hulp BV;;1;;;;;;;1
Psychoanalyse Praktijk M. Vysma;;1;;;;;;;1
Psychologen Praktijk Best B.V.;;1;;;;;;;1
Psychologisch Adviesbureau Leidekker;;2;;;;;;;2
Psychologische Praktijk WADAN;;1;;;;;;;1
Psycholoogpraktijk Marjan de Jong;;1;;;;;;;1
Psyon B.V.;;;;1;;;;;1
Purple Monkey;;;;;1;;;;1
Purple Monkey Publishing B.V.;;;;;1;;;;1
PvIB: Platform voor informatiebeveiliging;;;;;1;;;;1
PVO VESEC;;;;;1;;;;1
PWJ Digital Repair Services;;1;;;;;;;1
Qidos B.V.;;;;;1;;;;1
Q-Park Operations Netherlands B.V.;;;;;;;;2;2
Quint;;;;;2;;;;2
R. Woudstra;;;;1;;;;1;1
R.J. Verschoor, pr. psych. adv., ther./coach.;;1;;;;;;;1
R.K. Parochie Maria Laetitia;;1;;;;;;;1
R.Leddy, huisarts;;1;;;;;;;1
R.M. Foppen, huisarts;;1;;;;;;;1
Ravotte;;;1;;;;;;1
REBIS / N. Blaton;;;1;;;;;;1
RechtNet B.V.;;;;;1;;;;1
Recreatiepark De Postwagen B.V.;;;1;;;1;;1;1
Reddin Holding B.V.;;;;;1;;;;1
Reisinformatiegroep B.V.;;;;;;;;1;1
Reken erop!;;;;;;;1;;1
Relatiegeschenken.nl B.V.;;;1;;;;;;1
Restaurant & Catering Mennega;;;1;;;1;;;1
Restaurant Balije Park;;;1;;;;;;1
Restaurant Bo&Ro B.V.;;;1;;;1;;;1
Restaurant Catering De Gouden Zon;;;1;;;1;;;1
Restaurant De Gulzige Kater;;;1;;;1;;;1
Restaurant 'De Twee Provinciën';;;1;;;1;;;1
Restaurant De Zevende Hemel;;;1;;;1;;;1
Restaurant in den Doofpot;;;1;;;1;;;1
Restaurant La Vida;;;1;;;;;;1
Restaurant La Viña;;;1;;;;;;1
Restaurant Oké;;;1;;;;;;1
Restaurant ONZ;;;1;;;;;;1
Restaurant Papermoon;;;1;;;;;;1
Restaurant Poppe Zwolle;;;;;;1;;;1
Restaurant Spijs;;;1;;;;;;1
Restaurant Venster;;;1;;;;;;1
Restaurant Voilà;;;1;;;1;;;1
Ret-training;;1;;;1;;;;1
Revalidatie Friesland, locatie Sneek;;1;;;;;;;1
RevalidatieZorg Dordrecht;;1;;;;;;;1
Riet Brouwer;;;;;1;;;;1
Rijksmuseum Volkenkunde;;;1;;;;;;1
Rineke de Wit Music Projects;;;;;1;;;;1
RINO Training en Advies B.V.;;;;;1;;;;1
Ristorante Trattoria Impero Romano;;;1;;;;;;1
Robinvest Leusden B.V.;;1;;;;;;;1
Rodizio Rotterdam;;;1;;;1;;;1
Roestvrij Taal B.V.;;;;1;;;;;1
Rogier Kappen;;;;;1;;;;1
ROHDE & GRAHL B.V.;;1;;1;;;;;1
Roju B.V.;;1;;;;;;;1
Rondvaartbedrijf Kool;;;1;;;1;;;1
RONT Management Consultants B.V.;;;;;2;;;;2
Roodenburg Advies;;;;;1;;;;1
ROOST aan de Singel;;;1;;;;;;1
ROVC Technische Opleidingen B.V.;;;;;1;;;;1
Rozee B.V.;;;1;;;1;;;1
Ruby Rose;;;1;;;;;;1
Russell en Bakker B.V.;;;;;1;;;;1
S. Imik;;1;;;;;;;1
S.A. van der Laan, Praktijk voor Psychiatrie;;1;;;;;;;1
Saeed Academy;;;;;1;;;;1
Sally's B.V.;;;1;;;1;;;1
Samen door;;;1;;;;;1;1
Samenlevingsarchitect;;;;;1;;;;1
Samenwerking Noord;;;;;1;;;;1
Sanne van Balen;;;1;;;;;;1
Sannebloem;;;1;;;;;;1
Satéhuis;;;1;;;1;;1;1
Save and Care B.V.;;1;;;;;;;1
Saylus B.V.;;;;;1;;;;1
Scandinavisch Dorp;;;1;;;1;;;1
Schetsfabriek;;;1;;;;;;1
Schinkel Group B.V.;;;;;;;;1;1
Schoevers Trainingen B.V.;;;;;2;;;;2
Schouten & Nelissen B.V.;;;;;1;;;;1
Schouten & Nelissen Nederland B.V.;;;;;1;;;;1
ScienceWorks B.V.;;;;;2;;;;2
SCM Company B.V.;;;;;2;;;;2
SDL Holdings B.V.;;;;;1;;;;1
Security Academy Opleidingen B.V.;;;;;1;;;;1
SENSO Retail B.V.;;;1;;;;;1;1
Serkei-Coaching;;;;;1;;;;1
Servicekantoor Ipse de Bruggen;;;1;;;;;;1
SGE;;1;;;;;;;1
SHMC Interim B.V.;;;;;1;;;;1
Shufu State B.V.;;;1;;;1;;;1
Shuttel B.V.;;;;;;;;7;7
Si Barone;;;1;;;1;;;1
Signo Distribution International B.V.;;;;;1;;;;1
Simon de Vogel B.V.;;;1;;;;;;1
Simplefly B.V.;;;1;;;;;;1
Sioo B.V.;;;;;1;;;;1
Sirtaki;;;1;;;;;;1
Skils B.V.;;;;;1;;;;1
Smits Expo B.V.;;;1;;;;;;1
SNR Schouten & Nelissen Recovery B.V.;;;;;1;;;;1
Sociëteit 'De Hereeniging';;;1;;;;;;1
Sodexo B.V.;;;1;;;;;;1
Soenda B.V.;;;1;;;;;;1
Sogeti Nederland B.V.;;;;;1;;;;1
Solex Verhuur Friesland;;;1;;;;;;1
Solid Sense B.V.;;;;1;1;;;;1
SOS Sport en Events B.V.;;;1;;;;;;1
Spanjersberg Organisatie Advies;;;;;1;;;;1
Speakers Academy Special Projects B.V.;;;;;1;1;;;1
Speech Republic B.V.;;;;;1;;;;1
SPITZ congres & event B.V.;;;;;1;;;;1
SpiZe B.V.;;;1;;;;;;1
Sprengers Advocaten;;;;;1;;;;1
Sprinkles Bakery;;;1;;;;;;1
SRA;;;;;1;;;;1
ST Groep B.V.;;;;;1;;;;1
St. Adm.kantoor van Aandelen RITINIMARA B.V.;;;1;;;1;;;1
St. Het Ned. Kanker Inst.-AvLeeuwenhoek Zknhs;;1;;;;;;;1
ST. Nat. Coalitie Digitale Duurzaamheid;;;;;1;;;;1
St. Nederlandse Lokale Publieke Omroepen;;;;;;;;1;1
St. Studiefinanciering Curaçao in Nederland;;;;;;;;1;1
St. Vrienden Joods Historisch Museum Warschau;;;;;2;;;;2
Staatvandienst B.V.;;2;;;1;;;;2
Stadion Feijenoord N.V.;;;1;;;;;;1
Stadscafé De Observant;;;1;;1;;;;1
Stadslab Groningen B.V.;;;1;;;1;;;1
Stavoor B.V.;;;;;1;;;;1
Steakh. Partyhouse Snacks Cater. André Dokter;;;1;;;1;;;1
Stg Int. Centre Amazonian Ind. Knowledge;;;1;;;;;;1
Stg. ECHO, Expert.centr. Diversiteitsbeleid;;;;;1;;;;1
Stg. Geestelijke Gezondheidszorg Friesland;;1;;;;;;;1
Stg. Hoger Onderw.Markus Verbeek Praehep Opl.;;;;;1;;;;1
Stg. Innov. in Ber.ond. en Volwass.-Educat.;;;;;1;;;;1
Stg. Kempenhghe/Berkenschutse/Ec Kempenhaeghe;;1;;;;;;;1
Stg. Ned. Inst. voor Int. Betr. 'Clingend.';;;;;1;;;;1
Stg. Ned. Opl.&Kenn.centr. Arb. ond. Overdruk;;;;;1;;;;1
Sticht. Bevordering Beeldvorm. Int. Samenlev.;;;1;;;;;;1
Stichting 2Serve Kliniek;;1;;;;;;;1
Stichting Accessibility;;;;;2;;;;2
Stichting Administratiekantoor Zonnehoeve;;;;;1;;;;1
Stichting Agora Network;;;;;;;1;;1
Stichting Arq;;;;;1;;;;1
Stichting BENAIS Academy;;;;;1;;;;1
Stichting Bestuursbureau Noorderlink;;;;;2;;;;2
Stichting Beukenlaan;;;;;;;;1;1
Stichting Bijlmer Parktheater;;;1;;;;;;1
Stichting Bijzondere Kunst;;;1;;;;;;1
Stichting Building The Baileo;;;;;1;;;;1
Stichting COI;;;;;1;;;;1
Stichting De Letselschade Raad;;;;2;1;;;;2
Stichting De Nieuwe Regentes;;;;;1;;;;1
Stichting De Rots;;;;;2;;;;2
Stichting Dimence;;1;;;;;;;1
Stichting Docuprins;;;1;;;;;;1
Stichting Duivenvoorde;;;1;;;;;;1
Stichting Dutch Design Foundation;;;;;1;;;;1
Stichting European Culture;;;;;1;;;;1
Stichting Eurosonic Noorderslag;;;;;1;;;;1
Stichting GAD;;;;;1;;;;1
Stichting Gelders Restauratie Centrum;;;;;1;;;;1
Stichting Gezamenlijke Projecten Haagse Musea;;;;;1;;;;1
Stichting Gezondheidscentra Haarlemmermeer;;1;;;;;;;1
Stichting Groningen Declaration Network;;;;;2;;;;2
Stichting Grotius Academie;;;;;1;;;;1
Stichting Hanzehogeschool Groningen;;;1;;3;1;;1;3
Stichting Hogeschool Utrecht;;;;;1;;;;1
Stichting Huisartspraktijk Carnegiedreef;;1;;;;;;;1
Stichting Ingenieurs Publikaties;;;;;1;;;;1
