FID,vwk_id,vwk_begdtm,vwj_id_beg,vwj_id_end,vaktype,vrt_code,vrt_naam,vwg_nr,vwg_naam,begkm,endkm,gdb_geomattr_data,shape
vaarwegvakken.24,1784,1998-01-01T00:00:00,1726,1724,D,143d,Noordergat,2,"Zuid Vlije, Noordergat",0,0.40599999,,"LINESTRING (77727 406756, 77339 406875)"
vaarwegvakken.25,2127,1998-01-01T00:00:00,1425,1997,D,143,"Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",1,Zuid-Vlije,14.77200031,14.89999962,,"LINESTRING (76618 406211, 76503 406155)"
vaarwegvakken.26,1987,1998-01-01T00:00:00,1888,1792,D,141,"Zuid-Grevelingen, Grevelingen, Geul van Bommenede, Rede Brouwershaven",6,Geul van Bommenede,11.9090004,14.20800018,,"LINESTRING (57514 417369, 57503 417372, 57498 417374, 57254 417436, 56975 417457, 55226 417380)"
vaarwegvakken.27,1988,1998-01-01T00:00:00,1792,1889,D,141,"Zuid-Grevelingen, Grevelingen, Geul van Bommenede, Rede Brouwershaven",6,Geul van Bommenede,14.20800018,14.31099987,,"LINESTRING (55226 417380, 55130 417416)"
vaarwegvakken.28,2089,1998-01-01T00:00:00,1961,1963,D,137,Kanaal door Zuid-Beveland,2,Kanaal door Zuid-Beveland,0,2.00099993,,"LINESTRING (59855 393356, 59813 393156, 59636 392415, 59586 392265, 59436 391953, 59193 391581, 59157 391503)"
vaarwegvakken.29,2092,1998-01-01T00:00:00,1966,1968,D,137,Kanaal door Zuid-Beveland,4,"Zuider Voorhaven, Kanaal door Zuid-Beveland",7.94500017,9.53299999,,"LINESTRING (59371 385621, 59438 385384, 59483 385172, 59496 384918, 59500 384800, 59475 384678, 59416 384484, 59335 384306, 59223 384106)"
vaarwegvakken.30,2094,1998-01-01T00:00:00,1965,1966,D,137,Kanaal door Zuid-Beveland,5,Kanaal door Zuid-Beveland,7.63800001,7.94500017,,"LINESTRING (59289 385917, 59371 385621)"
vaarwegvakken.31,2096,1998-01-01T00:00:00,1968,555,D,137,Kanaal door Zuid-Beveland,6,"Westerschelde, Kanaal door Zuid Beveland",9.53299999,9.79399967,,"LINESTRING (59223 384106, 59096 383878)"
vaarwegvakken.32,2458,1998-01-01T00:00:00,2245,2246,D,138,Oosterschelde,6,"Binnenhaven Noordland, Roompotsluis",15.90400028,16.25600052,,"LINESTRING (37359 404648, 37190 404673, 37009 404685)"
vaarwegvakken.143,3487,1998-01-01T00:00:00,2334,3193,H,1204,"Tholen, haven te",1,"Tholen, haven te",0,0.75999999,,"LINESTRING (74312 393220, 74121 393296, 74064 393440, 74202 393815)"
vaarwegvakken.33,2459,1998-01-01T00:00:00,2246,2247,D,138,Oosterschelde,13,"Buitenhaven Noordland, Roompotsluis",16.25600052,17.04700089,,"LINESTRING (37009 404685, 36684 404754, 36603 404854, 36559 404954, 36503 405017, 36415 405023, 36367 405016)"
vaarwegvakken.34,2460,1998-01-01T00:00:00,2247,2239,D,138,Oosterschelde,9,Oude Roompot,17.04700089,18.62999916,,"LINESTRING (36367 405016, 36284 405004, 36172 404942, 35865 404661, 35624 404524, 35299 404424, 34962 404449)"
vaarwegvakken.35,2462,1998-01-01T00:00:00,2248,2249,D,138,Oosterschelde,4,Roompot,4.38100004,11.77799988,,"LINESTRING (47828 406827, 47341 406885, 47062 406823, 45165 405869, 41166 403812)"
vaarwegvakken.36,2467,1998-01-01T00:00:00,2250,2248,D,138,Oosterschelde,4,Roompot,2.5,4.38100004,,"LINESTRING (49587 406289, 48916 406698, 47828 406827)"
vaarwegvakken.37,2479,1998-01-01T00:00:00,2261,2249,D,138d,Voortzetting Oosterschelde en Schaar van Colijnsplaat,2,"Roompot, voortzetting Oosterschelde en Schaar van Colijnsplaat",8.32800007,9.29599953,,"LINESTRING (42116 403625, 42090 403627, 41166 403812)"
vaarwegvakken.38,2482,1998-01-01T00:00:00,2263,2261,D,138d,Voortzetting Oosterschelde en Schaar van Colijnsplaat,1,Schaar van Colijnsplaat,0,8.32800007,,"LINESTRING (50275 403017, 49782 403347, 48864 403603, 47915 403815, 47384 403791, 46719 403718, 45809 403665, 43080 403559, 42116 403625)"
vaarwegvakken.39,2483,1998-01-01T00:00:00,2264,2265,D,138e,Overloop van Zierikzee,1,Overloop van Zierikzee,0.38499999,1.83200002,,"LINESTRING (51445 404588, 51434 404573, 50650 403417, 50628 403394)"
vaarwegvakken.40,2485,1998-01-01T00:00:00,2265,2263,D,138e,Overloop van Zierikzee,3,"Schaar van Colijnsplaat, Overloop van Zierikzee",1.83200002,2.34800005,,"LINESTRING (50628 403394, 50275 403017)"
vaarwegvakken.41,2492,1998-01-01T00:00:00,2250,2271,D,138g,Hammen,2,"Roompot, Hammen",0,0.764,,"LINESTRING (49587 406289, 49492 407047)"
vaarwegvakken.42,2495,1998-01-01T00:00:00,2274,2276,D,138g,Hammen,1,Hammen,10.99300003,11.54199982,,"LINESTRING (42580 410637, 42432 410521, 42161 410283)"
vaarwegvakken.43,2497,1998-01-01T00:00:00,2277,2278,D,138h,Geul van de Roggenplaat,1,Geul van de Roggenplaat,0.498,4.08599997,,"LINESTRING (47386 407057, 46980 407268, 45142 407181, 43873 407413)"
vaarwegvakken.44,2499,1998-01-01T00:00:00,2248,2277,D,138h,Geul van de Roggenplaat,3,"Roompot, Geul van de Roggenplaat",0,0.498,,"LINESTRING (47828 406827, 47386 407057)"
vaarwegvakken.45,2502,1998-01-01T00:00:00,2239,2281,D,138j,Roompot,2,"Oude Roompot, Roompot",0,0.963,,"LINESTRING (34962 404449, 34404 403664)"
vaarwegvakken.46,3148,1998-01-01T00:00:00,1979,2854,H,865,Stukton bv,1,Stukton bv,0,0.354,,"LINESTRING (44181 356679, 44294 356692, 44429 356891)"
vaarwegvakken.47,3151,1998-01-01T00:00:00,1982,2857,H,868,Zijkanaal F (Kanaal van Gent naar Terneuzen),1,Zijkanaal F (Kanaal van Gent naar Terneuzen),0,0.29499999,,"LINESTRING (44709 361390, 44802 361368, 44824 361340, 44922 361209)"
vaarwegvakken.48,3152,1998-01-01T00:00:00,1983,2858,V,870,Zijkanaal E (Kanaal van Gent naar Terneuzen),2,Toeloop naar Zijkanaal E,0,0.25099999,,"LINESTRING (44820 361875, 44605 361912, 44588 361884)"
vaarwegvakken.49,3153,1998-01-01T00:00:00,2858,2859,H,870,Zijkanaal E (Kanaal van Gent naar Terneuzen),1,Zijkanaal E (Kanaal van Gent naar Terneuzen),0.25099999,0.85799998,,"LINESTRING (44588 361884, 44471 361685, 44452 361609, 44442 361311)"
vaarwegvakken.50,3158,1998-01-01T00:00:00,1986,2864,H,875,Zevenaarhaven,1,Zevenaarhaven,0,1.02499998,,"LINESTRING (46515 369674, 46609 369693, 47202 368978)"
vaarwegvakken.51,3159,1998-01-01T00:00:00,1987,2865,H,876,Massagoedhaven,1,Massagoedhaven,0,0.47799999,,"LINESTRING (46367 370355, 46544 370410, 46760 370213)"
vaarwegvakken.52,3173,1998-01-01T00:00:00,1620,2879,H,890,Ketelhaven te Goes,1,Ketelhaven te Goes,0,0.43700001,,"LINESTRING (51266 393150, 51305 393168, 51631 392946)"
vaarwegvakken.53,3174,1998-01-01T00:00:00,1621,2880,H,891,Houthaven te Goes,1,Houthaven te Goes,0,0.252,,"LINESTRING (51288 392755, 51317 392749, 51492 392612)"
vaarwegvakken.54,3175,1998-01-01T00:00:00,1963,2881,H,892,"Wemeldinge, haven te",1,"Wemeldinge, haven te",0,0.51800001,,"LINESTRING (59157 391503, 59031 391582, 59028 391951)"
vaarwegvakken.55,3176,1998-01-01T00:00:00,2245,2882,H,893,Binnenhaven te Noordland,1,Binnenhaven te Noordland,0,0.33199999,,"LINESTRING (37359 404648, 37437 404971)"
vaarwegvakken.56,3179,1998-01-01T00:00:00,2274,2885,V,897,Burghsluis,2,Toeloop naar Burghsluis,0,0.35600001,,"LINESTRING (42580 410637, 42362 410919)"
vaarwegvakken.57,3180,1998-01-01T00:00:00,2885,2886,H,897,Burghsluis,1,Burghsluis,0.35600001,0.671,,"LINESTRING (42362 410919, 42343 410944, 42083 410830)"
vaarwegvakken.58,3424,1998-01-01T00:00:00,3131,3132,H,1141,Werkhaven Bommenede,1,Werkhaven Bommenede,0.40000001,1.16600001,,"LINESTRING (57399 416986, 57372 416895, 57148 416262)"
vaarwegvakken.59,3491,1998-01-01T00:00:00,571,3197,V,1209,"Terneuzen, haven te",2,Toeloop naar Terneuzen,0,0.33500001,,"LINESTRING (46510 374121, 46390 373808)"
vaarwegvakken.60,3499,1998-01-01T00:00:00,1775,3237,D,141d3,Geul van Ossehoek,1,Geul van Ossehoek,2.39299989,2.78800011,,"LINESTRING (50051 420417, 49656 420398)"
vaarwegvakken.61,1985,1998-01-01T00:00:00,1786,1887,D,141,"Zuid-Grevelingen, Grevelingen, Geul van Bommenede, Rede Brouwershaven",4,Grevelingen,11.40499973,11.82499981,,"LINESTRING (57973 417174, 57736 417311, 57595 417348)"
vaarwegvakken.62,1986,1998-01-01T00:00:00,1887,1888,D,141,"Zuid-Grevelingen, Grevelingen, Geul van Bommenede, Rede Brouwershaven",6,Geul van Bommenede,11.82499981,11.9090004,,"LINESTRING (57595 417348, 57514 417369)"
vaarwegvakken.63,3423,1998-01-01T00:00:00,1888,3131,V,1141,Werkhaven Bommenede,2,Toeloop naar Werkhaven Bommenede,0,0.40000001,,"LINESTRING (57514 417369, 57399 416986)"
vaarwegvakken.64,377,1998-01-01T00:00:00,419,420,D,116a,Beerkanaal,1,Beerkanaal,1.59500003,2.52699995,,"LINESTRING (65562 442217, 65542 442138, 65343 441351, 65333 441314)"
vaarwegvakken.65,378,1998-01-01T00:00:00,420,421,D,116a,Beerkanaal,1,Beerkanaal,2.52699995,2.78500009,,"LINESTRING (65333 441314, 65270 441064)"
vaarwegvakken.66,379,1998-01-01T00:00:00,422,419,D,116a,Beerkanaal,1,Beerkanaal,1.12300003,1.59500003,,"LINESTRING (65678 442675, 65562 442217)"
vaarwegvakken.67,380,1998-01-01T00:00:00,423,422,D,116a,Beerkanaal,1,Beerkanaal,0.34599999,1.12300003,,"LINESTRING (65868 443428, 65678 442675)"
vaarwegvakken.68,381,1998-01-01T00:00:00,403,423,D,116a,Beerkanaal,2,"Calandkanaal, Beerkanaal",0,0.34599999,,"LINESTRING (65953 443763, 65868 443428)"
vaarwegvakken.69,382,1998-01-01T00:00:00,421,424,D,116a,Beerkanaal,1,Beerkanaal,2.78500009,3.83800006,,"LINESTRING (65270 441064, 65012 440043)"
vaarwegvakken.105,2144,1998-01-01T00:00:00,2008,2009,D,143a,Jachtensluis-Volkeraksluizen en Hellegat,2,Voorhavens Jachtensluis,1.55400002,2.91300011,,"LINESTRING (87339 412839, 87175 412661, 87029 412411, 86919 412242, 86725 412079, 86409 411882)"
vaarwegvakken.70,392,1998-01-01T00:00:00,433,401,D,115,Hartelkanaal,1,Hartelkanaal,9.13599968,16.15299988,,"LINESTRING (74951 434515, 74796 434799, 74612 435030, 73993 435574, 73081 436324, 72359 436793, 71815 437305, 71421 437812, 71096 438312, 69684 438943)"
vaarwegvakken.71,722,1998-01-01T00:00:00,703,704,D,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",2,Nieuwe Waterweg,40.05500031,42.98300171,,"LINESTRING (68127 443579, 67056 444084, 65487 444743, 65447 444755)"
vaarwegvakken.72,723,1998-01-01T00:00:00,704,404,D,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",6,Maasmond,42.98300171,44.09400177,,"LINESTRING (65447 444755, 64387 445087)"
vaarwegvakken.73,1755,1998-01-01T00:00:00,1672,1696,D,117,Vaarweg van het Hollandsch Diep via de Goereesesluis naar de Noordzee,2,Haringvliet,28.81399918,29.36599922,,"LINESTRING (65226 426268, 64716 426479)"
vaarwegvakken.74,1824,1998-01-01T00:00:00,1771,1770,D,141b,Geul van Herkingen,2,"Grevelingen, Geul van Herkingen",0,0.375,,"LINESTRING (62858 411988, 63223 412072)"
vaarwegvakken.75,1836,1998-01-01T00:00:00,1782,1783,D,141d,Grevelingen,1,Grevelingen,3.375,7.98799992,,"LINESTRING (56639 420265, 56312 420797, 56025 421169, 55835 421369, 55548 421484, 55267 421541, 54895 421560, 54489 421484, 54184 421417, 53745 421188, 53211 420825, 52906 420553)"
vaarwegvakken.76,1840,1998-01-01T00:00:00,1782,1787,D,141d1,Paardengeul,2,"Grevelingen, Paardengeul",0,0.42399999,,"LINESTRING (56639 420265, 56935 420569)"
vaarwegvakken.77,1841,1998-01-01T00:00:00,1788,1789,D,141d2,Hompelgeul,1,Hompelgeul,0.41,1.84500003,,"LINESTRING (52507 420648, 52253 420706, 51742 420843, 51420 420956, 51299 421006, 51188 421069, 51150 421095)"
vaarwegvakken.78,1842,1998-01-01T00:00:00,1783,1788,D,141d2,Hompelgeul,2,"Grevelingen, Hompelgeul",0,0.41,,"LINESTRING (52906 420553, 52553 420637, 52507 420648)"
vaarwegvakken.79,3009,1998-01-01T00:00:00,1630,2716,H,727,Tramhaven te Hellevoetsluis,1,Tramhaven te Hellevoetsluis,0,0.35800001,,"LINESTRING (68462 426518, 68527 426529, 68554 426534, 68610 426553, 68763 426690)"
vaarwegvakken.80,1792,1998-01-01T00:00:00,1734,1735,D,126,Mark en Dintel,2,Dintel,37.86800003,38.06299973,,"LINESTRING (84671 408113, 84540 408257)"
vaarwegvakken.81,2147,1998-01-01T00:00:00,1729,2010,D,143a,Jachtensluis-Volkeraksluizen en Hellegat,3,Hellegat,3.398,7.09700012,,"LINESTRING (85931 411867, 85819 411842, 85750 411823, 85664 411771, 85088 410823, 84806 410386, 84281 409567, 83793 408921)"
vaarwegvakken.82,2148,1998-01-01T00:00:00,2010,1998,D,143a,Jachtensluis-Volkeraksluizen en Hellegat,5,"Noord Volkerak, Jachtensluis-Volkeraksluizen en Hellegat",7.09700012,7.5079999,,"LINESTRING (83793 408921, 83545 408593)"
vaarwegvakken.83,3143,1998-01-01T00:00:00,1733,2849,H,860,Suiker Unie te Stampersgat,1,Suiker Unie te Stampersgat,0,0.27500001,,"LINESTRING (89133 403695, 89024 403600, 88936 403696)"
vaarwegvakken.84,3144,1998-01-01T00:00:00,1734,2850,H,861,Vluchthaven te Dinteloord,1,Vluchthaven te Dinteloord,0,0.47799999,,"LINESTRING (84671 408113, 85054 408399)"
vaarwegvakken.85,513,1998-01-01T00:00:00,537,538,D,108c,Noord Hollandsch Diep,1,Noord Hollandsch Diep,5.0079999,5.10599995,,"LINESTRING (89275 413914, 89246 413923, 89178 413927)"
vaarwegvakken.86,514,1998-01-01T00:00:00,538,539,D,108c,Noord Hollandsch Diep,2,"Hollandsch Diep, Noord Hollandsch Diep",5.10599995,5.8920002,,"LINESTRING (89178 413927, 88394 413980)"
vaarwegvakken.87,515,1998-01-01T00:00:00,540,537,D,108c,Noord Hollandsch Diep,1,Noord Hollandsch Diep,0.80599999,5.0079999,,"LINESTRING (93209 412473, 92823 412620, 92092 412957, 90305 413673, 89728 413785, 89275 413914)"
vaarwegvakken.88,703,1998-01-01T00:00:00,690,13,D,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",1,Nieuwe Maas,14.46399975,15.46199989,,"LINESTRING (90355 435038, 90332 435043, 89776 435212, 89396 435271, 89387 435272)"
vaarwegvakken.89,704,1998-01-01T00:00:00,13,691,D,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",1,Nieuwe Maas,15.46199989,15.5369997,,"LINESTRING (89387 435272, 89312 435277)"
vaarwegvakken.90,705,1998-01-01T00:00:00,691,692,D,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",1,Nieuwe Maas,15.5369997,15.91800022,,"LINESTRING (89312 435277, 88932 435306)"
vaarwegvakken.91,706,1998-01-01T00:00:00,692,693,D,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",1,Nieuwe Maas,15.91800022,16.10400009,,"LINESTRING (88932 435306, 88773 435318, 88747 435311)"
vaarwegvakken.92,708,1998-01-01T00:00:00,98,694,D,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",1,Nieuwe Maas,16.85000038,17.04199982,,"LINESTRING (88024 435127, 87839 435077)"
vaarwegvakken.93,709,1998-01-01T00:00:00,694,695,D,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",1,Nieuwe Maas,17.04199982,17.13500023,,"LINESTRING (87839 435077, 87749 435053)"
vaarwegvakken.94,710,1998-01-01T00:00:00,695,696,D,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",1,Nieuwe Maas,17.13500023,17.66900063,,"LINESTRING (87749 435053, 87249 434866)"
vaarwegvakken.95,711,1998-01-01T00:00:00,696,697,D,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",1,Nieuwe Maas,17.66900063,18.21800041,,"LINESTRING (87249 434866, 86735 434673)"
vaarwegvakken.96,712,1998-01-01T00:00:00,697,104,D,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",1,Nieuwe Maas,18.21800041,18.22800064,,"LINESTRING (86735 434673, 86728 434670, 86726 434669)"
vaarwegvakken.97,714,1998-01-01T00:00:00,698,699,D,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",1,Nieuwe Maas,18.99300003,19.28199959,,"LINESTRING (85972 434783, 85689 434843)"
vaarwegvakken.98,716,1998-01-01T00:00:00,111,700,D,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",1,Nieuwe Maas,20.0720005,20.37899971,,"LINESTRING (84918 435007, 84613 435040)"
vaarwegvakken.99,1372,1998-01-01T00:00:00,1356,1357,D,209,Schie en havens te Schiedam,3,Buitenhaven te Schiedam,3.82599998,4.54500008,,"LINESTRING (87170 436633, 87180 436630, 87282 436595, 87313 436576, 87360 436522, 87414 436446, 87456 436381, 87594 436090)"
vaarwegvakken.100,1374,1998-01-01T00:00:00,1358,695,D,209,Schie en havens te Schiedam,4,Voorhaven te Schiedam,5.02400017,5.59899998,,"LINESTRING (87672 435623, 87673 435615, 87711 435268, 87749 435053)"
vaarwegvakken.101,1736,1998-01-01T00:00:00,539,1692,D,117,Vaarweg van het Hollandsch Diep via de Goereesesluis naar de Noordzee,1,Hollandsch Diep,1.27600002,2.125,,"LINESTRING (88394 413980, 87945 414569, 87847 414615)"
vaarwegvakken.102,1757,1998-01-01T00:00:00,964,539,D,117,Vaarweg van het Hollandsch Diep via de Goereesesluis naar de Noordzee,1,Hollandsch Diep,0,1.27600002,,"LINESTRING (89259 413042, 88394 413980)"
vaarwegvakken.103,2130,1998-01-01T00:00:00,964,2000,D,143,"Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",5,Hollandsch Diep,0,0.477,,"LINESTRING (89259 413042, 88849 412799)"
vaarwegvakken.104,2143,1998-01-01T00:00:00,2007,2008,D,143a,Jachtensluis-Volkeraksluizen en Hellegat,1,Noord-Hellegat,0.87400001,1.55400002,,"LINESTRING (87801 413338, 87339 412839)"
vaarwegvakken.3859,4109,2020-07-01T00:00:00,3485,3486,D,406f,Borkum Reede,1,Borkum Reede,0,0.81099999,,"LINESTRING (242397.12999999896 618600.4340000004, 241655.75 618271.1499999985)"
vaarwegvakken.106,2145,1998-01-01T00:00:00,2009,1729,D,143a,Jachtensluis-Volkeraksluizen en Hellegat,3,Hellegat,2.91300011,3.398,,"LINESTRING (86409 411882, 86384 411867, 86304 411857, 86176 411867, 85962 411878, 85931 411867)"
vaarwegvakken.107,2146,1998-01-01T00:00:00,539,2007,D,143a,Jachtensluis-Volkeraksluizen en Hellegat,4,"Hollandsch Diep, Jachtensluis-Volkeraksluizen en Hellegat",0,0.87400001,,"LINESTRING (88394 413980, 87801 413338)"
vaarwegvakken.108,2246,1998-01-01T00:00:00,2081,2082,D,201,Vaarweg vanaf de Oude-Wetering via Leiden en Delft naar Rotterdam,6,Delfshavense Schie,48.45000076,50.68000031,,"LINESTRING (89321 437942, 89391 437852, 89605 437574, 89648 437491, 89698 437421, 89757 437343, 89892 437219, 90020 437053, 90109 436875, 90289 436459, 90440 436176, 90487 436104, 90509 436076)"
vaarwegvakken.109,2141,1998-01-01T00:00:00,2006,1726,D,143,"Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",1,Zuid-Vlije,12.13899994,13.53600025,,"LINESTRING (78970 407394, 77727 406756)"
vaarwegvakken.110,2142,1998-01-01T00:00:00,1726,1425,D,143,"Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",1,Zuid-Vlije,13.53600025,14.77200031,,"LINESTRING (77727 406756, 76618 406211)"
vaarwegvakken.111,371,1998-01-01T00:00:00,413,414,D,116,Calandkanaal met aanliggende havens,2,"Voorhaven zuidzijde Rozenburgsesluis, Calandkanaal",0.083,0.66399997,,"LINESTRING (75358 433653, 75297 434228, 75296 434231)"
vaarwegvakken.112,373,1998-01-01T00:00:00,417,413,D,116,Calandkanaal met aanliggende havens,4,Calandkanaal,0,0.083,,"LINESTRING (75366 433570, 75358 433653)"
vaarwegvakken.113,374,1998-01-01T00:00:00,414,415,D,116,Calandkanaal met aanliggende havens,5,Calandkanaal,0.66399997,0.91299999,,"LINESTRING (75296 434231, 75256 434477)"
vaarwegvakken.114,390,1998-01-01T00:00:00,432,417,D,115,Hartelkanaal,1,Hartelkanaal,7.74700022,8.10200024,,"LINESTRING (75486 433236, 75366 433570)"
vaarwegvakken.115,391,1998-01-01T00:00:00,417,433,D,115,Hartelkanaal,1,Hartelkanaal,8.10200024,9.13599968,,"LINESTRING (75366 433570, 75278 433799, 75134 434180, 74951 434515)"
vaarwegvakken.116,1740,1998-01-01T00:00:00,1689,1673,D,117,Vaarweg van het Hollandsch Diep via de Goereesesluis naar de Noordzee,2,Haringvliet,18.85499954,19.04899979,,"LINESTRING (72914 421671, 72768 421781, 72762 421790)"
vaarwegvakken.117,2678,1998-01-01T00:00:00,2339,2432,D,129c,"Zandvlietsluis, Vaarweg door",1,"Zandvlietsluis, Vaarweg door",0,2.30900002,,"LINESTRING (79318 373978, 77009 374016)"
