Leverancier;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9520 - BZK specifiek;9530 - DEF specifiek;Eindtotaal
Dekker Notaris(sen) Rotterdam B.V.;;;1;;1
DELA Natura- en levensverzekeringen N.V.;;;1;;1
Deloitte Finacial Advisory Services;;;2;;2
Delta Plus Systems Nederland B.V.;;;;2;2
Demton B.V.;;;4;;4
Den Engelsen Milieudiensten;;;1;;1
Den Hartog Heuff Notarissen;;;1;;1
Deutsche Rentenversicherung;;;1;;1
DGF Notarissen B.V.;;;1;;1
Dgi Dak & Gevel Ingenieurs B.V.;;;1;;1
DGMR Bouw B.V.;;;;2;2
dh.architectuur B.V.;;;;2;2
Dialogic Innovatie & Interactie;;;2;;2
Dirkzwager N.V.;;;1;;1
DJEU Scheepvaart B.V.;;;1;;1
DKC Service & Onderhoud B.V.;;;;3;3
DLA Piper Nederland N.V.;;;1;;1
DOOK;;;;1;1
dormakaba Nederland B.V.;;;;1;1
DPA Cauberg-Huygen B.V.;;;;2;2
DPI;;;2;;2
Drent Techniek B.V.;;;;2;2
Drost Juten Notarissen;;;1;;1
Dudink & Mossel Projectstoffering B.V.;;;2;;2
Dujardin Remmers Solutions;;;;2;2
Dura Vermeer Bouw Zuid B.V.;;;;1;1
Dura Vermeer Infra Regio Zuid Oost;;;;4;4
DuretTrip Notarissen N.V.;;;1;;1
DURO Ruimtelijke Ontwikkeling;;;2;;2
Dusseldorp Infra, Sloop en Mil.techn. B.V.;;;;3;3
Dutch Special Solutions B.V.;;;;1;1
DuurzaamNL B.V.;;;6;6;7
DWA B.V.;;;3;;3
Dynaf Caribbean;;;;5;5
Dynamic Design Floors;;;;2;2
Dynamis Taxaties Nederland B.V.;;;3;;3
E.M.N.;;;1;;1
Eaton Industries (Netherlands) B.V.;;;;2;2
Ebbenhage fiscaal adviseurs;;;1;;1
Eco Assist;;;;2;2
Eco Reest B.V.;;;;1;1
Ecogroen B.V.;;;1;4;4
Ecologica B.V.;;;;1;1
Ecologisch Adviesbureau Viridis B.V.;;;;4;4
Econsultancy B.V.;;;4;2;4
Ecoresult B.V.;;;;1;1
Eekhoff C S Notariaat;;;1;;1
Eelerwoude B.V.;;;;1;1
Eijkelboom B.V.;;;2;6;6
Elan Notarissen Praktijkvennootschap B.V.;;;1;;1
Elektro Service Doetinchem B.V.;;;1;;1
Elektrotechniek Schuurmans B.V.;;;;4;4
Elinex Power Solutions B.V.;;;;2;2
Ellen Mouthaan Makelaardij o.g.;;;1;;1
Ellens & Lentze Notariaat en Mediation B.V.;;;1;;1
Elro Dakbedekking B.V.;;;3;;3
Elsenga Installatietechniek B.V.;;;;5;5
Emmius Notarissen;;;1;;1
Endenburg Elektrotechniek B.V.;;;;3;3
Eneco Services B.V.;;;1;;1
Enerdeco B.V.;;;;3;3
Engelen-Groen Uden B.V.;;;;3;3
Engelsman Hoveniers B.V.;;;2;3;3
ENGIE Services West B.V.;;;;2;2
ENGIE Services Zuid B.V.;;;;;
Ennatuurlijk B.V.;;;;5;5
ERESDE B.V.;;;1;;1
Erik Jansen Fotografie;;;1;;1
ERIKS Servicecenter Gelderland;;;;1;1
Eurofiber Holding B.V.;;;1;;1
Eurosafe Solutions B.V.;;;;1;1
EV Consult B.V.;;;;2;2
Excalibur B.V.;;;1;;1
Explicit Solutions;;;;1;1
Exploitatiebedrijf Wierts B.V.;;;;2;2
Exploitatiemij. Oostelijk Zwembad B.V.;;;;3;3
Explosive Clearance Group B.V.;;;;7;7
Eyecatcher B.V.;;;;4;4
F. Michielsen Beheer B.V.;;;1;;1
Fa. Van Effrink & Malestein;;;;2;2
FAAD Electrical;;;;3;3
Facilicom Solutions B.V.;;;;5;5
Fakton Energy B.V.;;;1;;1
Falco B.V.;;;;1;1
FCX Systems INC;;;;6;6
Feddes/Olthof Landschapsarchitecten B.V.;;;;2;2
Feld Technische Dienst en Groen Onderhoud;;;3;;3
Feuerstein Holding B.V.;;;;5;5
Fewiro Wijchen B.V.;;;;5;5
Fibrecount B.V.;;;;1;1
Fieten & Roos B.V.;;;;3;3
FIMBLE;;2;;;2
Fin2ition B.V.;;;1;;1
Fire Safety First B.V.;;;;6;6
Firejob B.V.;;;;1;1
Firma Schuurmans;;;;2;2
Flanderijn Invordering B.V.;;;1;;1
FMF;;;;1;1
Fokkema Linssen;;;1;;1
Formatique;;;;2;2
Fotografie Hans Morren;;;1;;1
Fratersgoed B.V.;;;1;;1
Frensly J.E. Constancia Jefcon Airconditioning;;;;1;1
Fugro NL Land B.V.;;;;1;1
G. Bras & Zoon B.V.;;;;1;1
G. Hellinga B.V.;;;;1;1
G.H. Kromhof Beheer B.V.;;;;1;1
Gaari General Contractor;;;;1;1
Galjema B.V. Technisch Adviesbureau;;;2;;2
Gannexion B.V.;;;;1;1
Garnet Bonaire B.V.;;;;4;4
Gebr. Dijkhoff B.V.;;;;4;4
Gebr. Griekspoor B.V.;;;;3;3
Gebr. van Kessel B.V.;;;;6;6
Gebr. Van Kessel Spec. Techn. en Prod. B.V.;;;;2;2
General Security Services Bonaire N.V.;;;;1;1
Generation Energy B.V.;;;;3;3
GeO Architecten B.V.;;;;2;2
Geofox-Lexmond B.V.;;;;2;2
Geomaat B.V.;;;;1;1
Geonius Geodesie B.V.;;;;1;1
Geonius Geotechniek B.V.;;;;1;1
Geonius Milieu B.V.;;;;1;1
Geosonda B.V.;;;;1;1
Gerco Brandpreventie B.V.;;;;9;9
Gerco-Willems VGO;;;;7;7
Gerecht Incasso;;;1;;1
Gerritse Makelaardij B.V.;;;1;;1
Geurts Civiele Techniek;;;;1;1
GGN Mastering Credit N.V.;;;1;;1
Giesbers Servicebouw B.V.;;;5;6;7
GKB Realisatie B.V.;;;4;;4
GMB Rioleringstechnieken B.V.;;;;2;2
GMB Services B.V.;;;2;;2
Goedhart Bewind B.V.;;;1;;1
Gouwenberg vloeren.gordijnen.zonwering;;;;2;2
Gppc Fons Bergmans;;;;2;2
Graafmelding.nl B.V.;;;1;;1
Gradiënt natuurontwikkeling;;;2;;2
Graphorn Groen- en Infraprojekten B.V.;;;;1;1
GrausBouw B.V.;;;;1;1
Grimbergen & Van Putten Elektrotechniek B.V.;;;;1;1
Groenendijk Microfilm- en Scanservice B.V.;;;;1;1
Groenewegen Notarissen B.V.;;;1;;1
Grond- en Straatwerken Gebr. Brand;;;;1;1
Grondbank De Bree;;;;3;3
Grondboorbedrijf Haitjema B.V.;;;;1;1
GrondRR;;;;2;2
Grondslag Milieukundig Adviesbureau;;;1;3;3
Gunters en Meuser B.V.;;;;1;1
H.O.D. Nederland B.V.;;;1;;1
H.O.D. Presentie B.V.;;;2;;2
Haarsma Infra & Milieu B.V.;;;;2;2
Habenu-van de Kreeke Bouw B.V.;;;;5;5
Hafkamp Installatietechniek B.V.;;;;2;2
Halvermuhlen Onr. Goed & Exploit. Mij.;;;;5;5
Hamer B.V.;;;;2;2
Handel Bouw Advies B.V.;;;;1;1
Handelsonderneming Bechtold;;;;1;1
Hans Jungerius;;;;1;1
Hanze Luchttechniek B.V.;;;;2;2
HaskoningDHV Nederland B.V.;;;1;6;6
Hassell Enterprises N.V.;;;;1;1
Haver Zonwering;;;;2;2
HB Adviesbureau regio Amsterdam;;;2;;2
HBK 2000 Besturingstechniek B.V.;;;;4;4
HEBB;;;;1;1
Heemskerk & Feijen Notarissen;;;1;;1
Heerkens van Bavel Bouw B.V.;;;;6;6
Hefas Branddetectie B.V.;;;;4;4
Hegeman Bouw & Infra B.V.;;;;6;6
Heijdra Milieu Services B.V.;;;;1;1
Heijmans Infra B.V.;;;1;;1
Heijmans Utiliteit;;;;8;8
Heijmans Wegen;;;5;;5
Heijmans Wegen B.V.;;;;7;7
Hekkelman Advocaten Holding B.V.;;;1;;1
Hekkelman Notarissen;;;1;;1
Helders Klusbedrijf;;;3;;3
Hellema Notaris B.V.;;;1;;1
Heras B.V.;;;2;;2
Hereditatis Petitio B.V.;;;1;;1
Herruer Grond- Weg- en Waterbouw;;;1;2;2
Herruer Holding B.V.;;;1;;1
Hertek B.V.;;;;1;1
Het Notarieel;;;1;;1
Het Notarieel Meppel B.V.;;;1;;1
Het Notarieel Rijssen-Holten B.V.;;;1;;1
Het Stille Verzet;;;;3;3
Hexta Hekwerk B.V.;;;;2;2
Hilgen Netwerk Notarissen;;;1;;1
Hoek Voorhout B.V.;;;;1;1
Hoekstra & Partners Notarissen;;;1;;1
Hoekstra Verkeersmaterialen B.V.;;;;1;1
Hofsteenge & Wesseling Notarissen B.V.;;;1;;1
Hoge van Gerven Notarissen;;;1;;1
Holland Conditioning Parkeersystemen B.V.;;;;3;3
Hollandse Hoogte B.V.;;;1;;1
Hollema Bouw B.V.;;;;3;3
Holstein Restauratie Architectuur;;;2;;2
Holtman Notarissen B.V.;;;1;;1
Homij Technische Installaties B.V.;;;;2;2
Honeywell Building Solutions;;;;7;7
Hoogesteijn & Potma Notariaat;;;1;;1
Hoogveld Geo;;;;1;1
Hoppenbrouwers Techniek;;;;4;4
Hotel De Essenburgh B.V.;;;;1;1
Hotel-Café-Restaurant Haarhuis;;;;1;1
Hoveniersbedrijf Hendrickx;;;1;;1
Hoving Taxaties B.V.;;;1;;1
HR Groep Streetcare B.V.;;;;4;4
Huenges Wajer & Joosten Notarissen;;;1;;1
Huijbregts Notarissen B.V.;;;1;;1
Huizinga Services B.V.;;;1;;1
HulstFlier Installateurs Elburg B.V.;;;;4;4
Hunneman Milieu-Advies Raalte B.V.;;;;2;2
HV Advies en Opleidingen;;;;1;1
HVAC-Techniek;;;;1;1
HVB Constructie B.V.;;;;2;2
HydroLogic B.V.;;;;2;2
Hydroscope B.V.;;;;1;1
ICOP B.V.;;;;3;3
IDDS;;;;1;1
IEO Transformatoren B.V.;;;;2;2
If Technology B.V.;;;;2;2
IHC Hytech B.V.;;;;2;2
IJB Geotechniek B.V.;;;;1;1
IJsseloevers Notarissen;;;1;;1
IJzerman Gerechtsdeurwaarders & Incasso;;;1;;1
IKA Nederland;;;1;;1
IMD Raadgevende Ingenieurs;;;;2;2
Immocert;;;1;;1
Inbo;;;;2;2
Inbraakpreventie 'M.I.B.' B.V.;;;1;;1
Inbraakpreventiebureau Lijten;;;1;;1
Incendio B.V.;;;;1;1
Industrial Design & Development Services Oost;;;;2;2
Industrial Solutions Zuid-Oost B.V.;;;;4;4
Infrabouw B.V.;;;;5;5
Infrasoil B.V.;;;;2;2
Ing.bur. Beton en Staalkonstr. A. Palte B.V.;;;;2;2
Ing.bur. en Techn. Hand.ondernem. Autron B.V.;;;;7;7
Ingenieursbureau Haboldt B.V.;;;;7;7
Ingenieursbureau Inpijn-Blokpoel Son B.V.;;;;1;1
Ingenieursbureau International N.V.;;;;2;2
Ingenieursburo Kok;;;3;;3
Inpijn-Blokpoel Ingenieursbureau;;;;2;2
Inprevo;;;;2;2
Instacom Electrotech B.V.;;;3;;3
Installatie Buro IBS Oele Schoo B.V.;;;3;1;4
Installatiebedrijf Hoogenboom Brielle B.V.;;;1;;1
Installatiebedrijf Peters Didam B.V.;;;;1;1
Installatietechniek Raalte Projecten B.V.;;;;4;4
Int. Verhuisbedr. Joh. van Buuren & Zn. B.V.;;;1;;1
Integrix B.V.;;;1;;1
InterActie - Sportbedrijf Ermelo;;;;1;1
Intergarde Beveiligingstechniek B.V.;;;;1;1
Interplan Bouwsupport B.V.;;;1;;1
Interveste Beheer B.V.;;;1;;1
Int'l Airconditioning Supplies & Services;;;;2;2
Isocool N.V.;;;;3;3
ITN Installatietechniek B.V.;;;;7;7
Iv-Industrie B.V.;;;;1;1
J. van Esch B.V.;;;2;2;2
J.E. van Reekum, restauratie metalen kunstv.;;;;2;2
Jac. Boiten B.V.;;;;2;2
