Leverancier;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Complions-GRC B.V.;;;;;2;;;2
Conclusion Implementation B.V.;;;;4;;;;4
Connected Information Systems B.V.;;;1;;;;;1
Coolblue B.V.;1;1;2;;;;;2
Coöperatie SURF UA;;;;2;;;;2
Courtel Holding B.V.;;;1;;;;;1
Craneo Computerruimtes B.V.;1;;;;;;;1
Crewlink Ireland Ltd;;;1;;;;;1
CTM Solution B.V.;;;;1;;;;1
DataExpert B.V.;;;;2;;;;2
De Telecom Adviseur;;;;;;1;;1
De Wilt-Cyrox Groep B.V.;;1;;;;;;1
Delving B.V.;;;;;;;4;4
Denit Internet Services B.V.;;;;;;;2;2
Denkschets.nl;;;;;;;1;1
Detron Communication Solutions;;;;;;1;;1
Detron Lifecycle Services;;2;;4;;3;;5
Digiformat;1;;;;;;;1
DTG B.V.;;;;1;;;;1
Dynatos B.V.;;;;1;;;;1
EIC B.V.;;;;;;;3;3
EMMA Communicatie B.V.;;;;;;;2;2
Enexis Netbeheer B.V.;1;;;;;;;1
Enrise B.V.;;;;2;;;;2
ESN Automatisering B.V.;2;1;1;1;;;2;2
ESN Service en Netwerkbeheer B.V.;;2;;2;;;2;3
ESN Software B.V.;2;1;1;1;;1;1;2
Esprit Telecom;;;;;;1;;1
Esri Nederland;;;1;;;;;1
Exact Software Nederland B.V.;;;;2;;;;2
F. Haverkamp Holding B.V.;;;;;;;1;1
Falco Networks;;;;1;;;;1
Fast Flex B.V.;;;;6;;;;6
Fee B.V.;;;;;;2;;2
Fenicks Erfgoed;;;2;;;;;2
Floris Douma;;;;1;;;;1
Foleon B.V.;;;;1;;;;1
Foster & Freeman Netherlands B.V.;;2;;;;;;2
Gartner Nederland B.V.;;;;2;;;3;4
Geodan B.V.;;;;1;;;;1
Geodan Next B.V.;;;;1;;;;1
Geodirect B.V.;;;1;;;;;1
Get There Business Solutions;;;;4;;;;4
Get There ICT Solutions B.V.;;;;8;;;;8
Harvey Nash B.V.;;;;4;;;;4
HCL (Netherlands) B.V.;;;;;;;3;3
HeadFirst B.V.;;;;1;;;;1
Health2Work B.V.;;;1;;;;;1
iBabs B.V.;;;;2;;;1;2
ICTRecht Groningen;;;;;;;1;1
IJsfontein Interactive Space B.V.;;;;1;;;;1
Infoprojects;;;;;;;2;2
Infotopics B.V.;;;;;;;1;1
ING Commercial Finance B.V.;;;;1;;1;;1
Ingenico e-Commerce Solutions B.V.;;;1;;;;;1
Inkesta B.V.;;;1;;;;;1
Insight Enterprises Netherlands B.V.;;3;;7;4;;;7
Instituut Maatschappelijke Innovatie;;;;;;;2;2
Insyde B.V.;;;;1;;;;1
Intermax B.V.;;1;;;;;2;2
Interscience B.V.;;;;1;;;;1
Intimus International Netherlands B.V.;;1;;;;;;1
InVisionare;;;;;;;1;1
IPN Telecom N.V.;;;;;;4;;4
ISS Nederland B.V.;;;;;1;;;1
IT-Staffing Nederland B.V.;;;;9;;;;9
iWelcome B.V.;;;;;;;1;1
Jeol (Europe) B.V.;5;;;;;;;5
Jolanda van der Burg Management Services;;;;;;;1;1
JS Consultancy Detachering B.V.;;;;5;;;;5
Kabelshop B.V.;;1;;;;;;1
Kamera Express;2;;;;;;;2
KPN B.V.;;;;;2;3;1;3
KPN Consulting B.V.;;;;5;;;;5
KPN HotSpots;7;;;;;;3;7
Levarne B.V.;;;;1;;;;1
LINKIT B.V.;;;;6;;;7;7
LJS Automatisering B.V.;2;;;;;;;2
Locatienet B.V.;;;;1;;;;1
Logicworks B.V.;;;;1;;;;1
Logizmic B.V.;;;;;;;3;3
Mainfreight B.V.;1;;;;;;;1
Manufacturing Investments B.V.;;;;;;2;;2
Maqina;1;;;;;;;1
Maro B.V.;1;;;;;;;1
Media Markt Leeuwarden B.V.;1;;;;;;;1
Microfix B.V.;1;;;;;;;1
Mindbus B.V.;;;;1;;;;1
Mulder-Hardenberg B.V.;1;1;;;;;;1
Netcompany Netherlands B.V.;;;;4;;;6;6
Networking4all B.V.;;;;1;;;;1
Nienke Westerhof Productions;;;;;;1;;1
Nieuwland B.V.;;;;1;;;;1
Notiz Hotel;;;;;;;1;1
OCLC B.V.;;;;2;;;;2
Octrooibureau Lioc;;;;1;;;;1
One Fox B.V.;;;;;;;1;1
One Swan;;;;;;;2;2
Onvio B.V.;;;;1;;;;1
Ooxo.nl;;;;;;;1;1
Optelec Nederland B.V.;1;;;;;;;1
Oracle Nederland;;;;1;;;;1
Ordina Beheer & Outsourcing;;;;;;;5;5
Ordina Business Consulting & Solutions B.V.;;;;4;;;6;6
Ordina N.V.;;;;7;;;;7
Pardon Consult;;;;1;;;;1
Passionned Nederland B.V.;;;;;;;1;1
PCI Nederland B.V.;1;;;;;;2;2
PerfectView Holding B.V.;;;;;;1;;1
PerkinElmer Nederland B.V.;;;;;;;1;1
Picturae ICT B.V.;;;;5;;;;5
Planon B.V.;;;;2;;;;2
PostNL Data Solutions B.V.;;;1;1;;1;;1
PQR B.V.;4;4;;5;;;;6
Presenter B.V.;;;;;;;4;4
Prima Focus;;;;1;;;;1
ProConCoa;;;;;;;1;1
Proserve B.V.;;;;;;;1;1
Protinus IT B.V.;4;7;7;7;7;4;2;8
QuoVadis Trustlink B.V.;;;;4;;;;4
Reflex Online B.V.;;;;;;1;;1
Repromat B.V.;;5;;;;;;5
Ricoh Nederland SSC Kerkrade;;;;;;1;1;1
RoadTripp B.V.;;;;;;;2;2
ROHDE & GRAHL B.V.;;1;1;;;;;1
Rubicon B.V.;;;;;;;1;1
SAP Nederland B.V.;;;2;7;;;;7
SCENZA Holding B.V.;;;;1;;;;1
Sdu Uitgevers B.V.;;;;2;;;;2
Sectra Communications B.V.;;;;;;2;;2
Sharply;;;;;;;1;1
Siko B.V.;;;;1;;;;1
Simplefly B.V.;;;1;;;;;1
Sketch B.V.;;;;;;;1;1
SLB Diensten B.V.;;;1;1;;;;2
Slim V.O.F.;;;1;;;;;1
SLTN IT Products B.V.;;2;;1;;;;2
SmartAgreements B.V.;;;1;;;;1;2
Smartphone Repair Company;1;;;;;;;1
Software Borg;;;;1;1;;;1
SoftwareONE B.V.;;2;;5;;;;5
Sogeti Nederland B.V.;;;;7;;;;7
Solvinity;1;1;;;;;1;1
SQL Integrator B.V.;;;;7;;;;7
Square Information Solutions;;;;1;;;;1
Sticht. Internet Domeinregistratie Nederland;;;;;;;1;1
Stichting Accessibility;;;;;;;1;1
Stichting ANP Foundation;;;;1;;;;1
Stichting Beheer Derdengelden X Pact;;;;;;;2;2
stichting government roaming nederland;1;;;;;;;1
Stichting Pleio;;;;1;;;;1
Stijlgeit;;;;2;;;;2
SURFmarket;;;;3;;;;3
SURFnet B.V.;;;;4;4;4;;5
TCN SIG Telehousing Exploitatie B.V.;3;5;;;;;3;5
Tele2 Nederland B.V.;;;;;2;6;;6
Telecom M.L.;;;;;;;1;1
Telindus-ISIT B.V.;1;;;2;;;;2
TenderData;;;;1;;;;1
Ter Hoeven & Partners B.V.;2;;;;;;;2
The Shipwreck Survey;;;;;;;1;1
Ticket Team B.V.;;;;2;;;;2
Tijdlab;;;2;;;;;2
TIM The Innovation Marketplace;;;;1;;;;1
T-Mobile Netherlands B.V.;;;;;1;;;1
Toner-Online;1;;;;;;;1
TouchFix B.V.;;1;;;;;;1
Transip B.V.;;;;;;;1;1
Triple A Services;;;;2;;2;2;3
Trivident B.V.;;;;;;;1;1
TweakPhone;;;;;;;1;1
Uniscape B.V.;1;;;;;;;1
USoft B.V.;;;;4;;;;4
Van Dongen Pijnacker B.V.;1;;;;;;;1
Veenman B.V.;2;1;;;;;;2
Verdonck, Klooster & Associates B.V.;;;;;;;2;2
Verint Netherlands B.V.;;;;2;;;;2
Vodafone;;;;;;6;;6
Vodafone Libertel B.V.;;;;;;2;;2
VoipZeker B.V.;;;;;;1;;1
Voomies Communications;;;;;;;1;1
Warpnet B.V.;1;1;;;;;;1
Webstate B.V.;1;1;;2;;;;2
Welocate B.V.;1;1;;;;1;;1
Weolcan B.V.;;2;;;;;;2
Xerox (Nederland) B.V.;2;2;;;;1;5;5
Xolphin B.V.;;;1;;;;;1
Xperience4All B.V.;;;;;;;1;1
XS4ALL Internet B.V.;;;;;;1;;1
XTANDIT B.V.;1;1;;;;;;1
Ylab;;;;2;;;;2
Zie Displays;;;;;;;1;1
Ziggo B.V.;;;;;;2;;2
Ziggo Services B.V.;;;;;;1;;1
Ziggo Zakelijk Services B.V.;;;;;;1;;1
Eindtotaal;9;9;7;11;7;7;9;12
