Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
Prima Vista;;;1;;1
Printerette Digishop B.V.;;;;1;1
Projectil;;;1;;1
Promopodium B.V.;;;1;;1
Protinus IT B.V.;;;1;;1
Publicount;1;;;;1
PubMedia B.V.;1;;;;1
Q Delft B.V.;;;1;;1
Rechtnet B.V.;;;;1;1
Reclamestudio Guthschmidt B.V.;;;;2;2
Reed Business B.V.;;;;2;2
Rendement Uitgeverij B.V.;1;;;1;1
Rene Verleg Fotografie;;;;2;2
Reporterservice B.V.;;;;1;1
Restauratie-Atelier Sterken B.V.;1;;;;1
Rob Gieling Fotografie;;;;1;1
Roorda Reclamebureau B.V.;;;;1;1
Ruben Jorksveld Fotografie;;;;1;1
Ruijs Visual Computing B.V.;1;;;;1
Sabel Communicatie B.V.;;;;1;1
Sander Grip;;;;1;1
Sander's Schetsontwerp;;;1;;1
Scheltema B.V.;;;;1;1
Schwandt Infographics B.V.;;;;1;1
Sdu Uitgevers B.V.;1;;;1;1
Segerentekst;;;;1;1
Sendsteps B.V.;;;1;;1
Show Rental;;;1;;1
Silence on Pluto;;;;1;1
Simone Eleveld;;;;1;1
SmartHealth;;;1;;1
Smile Licht en Geluid Utrecht B.V.;;;1;;1
SoftDirect;1;;;;1
Soundfocus;;;;1;1
SPPIM;;;1;;1
St. De Balie Centr. Th. Polit. & Litteratuur;;;1;;1
Sterra;;;;1;1
Stg. KNMP Fnds./Greshoff-Opwijrda-Hegewisch;1;;;;1
Stg. Nat. Instituut voor Budgetvoorlichting;1;;;;1
Stg. Onderz. van de Econ. Van de Lag. Overh.;1;;;;1
Stg. Public. en Reproductierechten Organ. Pro;;;;1;1
Stichting Aveleijn;;;;1;1
Stichting Centrum Facility Management (Cfm);1;;;;1
Stichting De Ooievaart;;;;1;1
Stichting e-hulp.nl;;;1;;1
Stichting Facility Performance Standard;1;;;;1
Stichting Heden Den Haag;;;;1;1
Stichting Het Zuidelijk Toneel;;;1;;1
Stichting Immuno Valley;1;;;;1
Stichting Initiatiefgroep Hl7 Nederland;1;;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;;;1;1
Stichting Into D'mentia Nederland;;;1;;1
Stichting Jeugdbescherming Regio Amsterdam;;;;1;1
Stichting Makkelijk Lezen;;;;1;1
Stichting Omring;;;;1;1
Stichting Pharos;;;;2;2
Stichting Reprorecht;;;;1;1
Stichting Rutgers;;;1;;1
Stichting Stenden Hogeschool;;;;1;1
Stichting Vakblad Natuur Bos Landschap;1;;;;1
Stichting ZorgVeilig.nl;;;1;;1
Strak;;;;1;1
Studio 38C;;;;1;1
Studio Buitenhof 5;;;;1;1
Studio Hersenstal;;;1;;1
SURFmarket;3;;;;3
Tangram B.V.;1;;;;1
Tekstwereld;;;;1;1
Textcetera;;;;2;2
The COW Company B.V.;;;1;;1
The Language Lab Talenservice B.V.;;;;1;1
The Oddshop B.V.;;;;4;4
Things To Make And Do;;;;2;2
Thomson Reuters Holdings B.V.;1;;;;1
Tjitske Sluis Foto's;;;;2;2
Tjoonk Geluidstechniek;;;;1;1
TMG Landelijke Media B.V.;1;;;;1
Tochtstrips.nl;;;1;;1
Tom van Dijk;;;;2;2
Toons at Work Studio;;;;1;1
Transmedia B.V.;2;;;;2
Trouw B.V.;1;;;;1
Truus van Gog Fotografie;;;;1;1
Uitgeverij Zeggenschap;;;;1;1
UPTODATE;1;;;;1
V.O.F. Boekbinderij Verschoor;;;;1;1
Vakmedianet Management B.V.;1;;;1;1
Van Dijk Zakelijk B.V.;4;;1;4;5
Van Stockum, Belinfante & Coebergh B.V.;;;;1;1
Veen Magazines B.V.;;;;1;1
Veilingmeester B.V.;;1;;;1
Veldkamp Marktonderzoek B.V.;;;;1;1
Ventoux B.V.;;;;2;2
Ver. Nationaal Netwerk voor Risicomanagement;1;;;;1
Vereniging BVF Platform;1;;;;1
Vereniging Nederlandstalige Sap-Gebruikers;1;;;;1
Vereniging van Milieuprofessionals;1;;1;;1
Vereniging Werkgevers Ambulancezorg;;;;2;2
Verenso;;;1;;1
Vergouwen Overduin B.V.;;;1;;1
VERHUUR LICHT GELUID;;;;1;1
Vidal B.V.;1;;;;1
Video Sound & Vision;;;1;;1
VNU Exhibitions Europe B.V.;;;2;;2
VOC Uitgevers B.V.;1;;;;1
Vorm Vijf Ontwerpteam B.V.;;;;1;1
Weekbladpers Tijdschriften;1;;;;1
Whisky- en Wijnhandel Verhaar;;;1;;1
Wigbold Illustratieve vormgeving;;;;1;1
Wilkens c.s.;;;;1;1
Wolters Kluwer Technology B.V.;2;;;;2
XDialogue B.V.;;;;1;1
Xerox (Nederland) B.V.;;;;1;1
Xerox Services B.V.;;;1;1;1
You Name It !;;;1;;1
Yune B.V.;;;;1;1
YVI Beheer B.V.;;;;1;1
Zaaks! B.V.;;;;2;2
Zanders Consulting & Training B.V.;;;;1;1
Zeeuwse Bibliotheek;;;;1;1
Ziggo B.V.;1;;;1;1
Zoom Media B.V.;;;;2;2
Eindtotaal;6;1;6;7;7
