OBJECTID,VERSIE,POSITIONELE_NAUWKEURIGHEID_MM,OBEGINTIJD,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,STATUS,OPPERVLAKTE,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,DOCUMENT,Shape__Area,Shape__Length
75,01,283,2021/10/29 00:00:00+00,0,2022/08/03 14:16:34+00,,50.467,Westerkwartier,G1969,bestaand,,50.446681885,33.9373261186744
76,01,283,2015/02/24 00:00:00+00,0,2015/10/16 07:18:07+00,,101.828,Dordrecht,G0505,bestaand,,101.8283175,76.6650298779384
77,01,283,2015/03/05 00:00:00+00,0,2015/10/16 07:18:07+00,,15.308,Dordrecht,G0505,bestaand,,15.3077865,30.1542117821137
78,01,283,2014/06/17 00:00:00+00,0,2015/10/22 11:05:10+00,,11.254,Dordrecht,G0505,bestaand,,11.25216612,21.530489041947
79,01,283,2014/05/06 00:00:00+00,0,2022/02/09 10:54:19+00,,8.931,Dordrecht,G0505,bestaand,,8.9305175,31.0173731103248
80,01,283,2014/04/08 00:00:00+00,0,2015/11/05 14:50:46+00,,21.721,Dordrecht,G0505,bestaand,,21.7213795,18.6359018937561
81,01,283,2014/04/08 00:00:00+00,0,2015/11/05 14:50:46+00,,58.31,Dordrecht,G0505,bestaand,,58.309909,51.533657567951
82,01,283,2014/04/08 00:00:00+00,0,2015/11/05 14:50:46+00,,25.706,Dordrecht,G0505,bestaand,,25.7059365,20.1189231526071
83,01,283,2014/04/08 00:00:00+00,0,2015/11/05 14:50:46+00,,13.179,Dordrecht,G0505,bestaand,,13.1786235,26.5822808642421
84,01,283,2014/04/08 00:00:00+00,0,2022/09/06 20:08:04+00,,5.798,Dordrecht,G0505,bestaand,,5.798275,31.440528474685
85,01,283,2014/04/08 00:00:00+00,0,2015/11/05 14:50:46+00,,20.672,Dordrecht,G0505,bestaand,,20.671772,18.9730701008725
86,01,283,2014/03/25 00:00:00+00,0,2015/11/05 14:50:46+00,,57.294,Dordrecht,G0505,bestaand,,57.294297,43.5472407169518
87,01,283,2013/12/13 00:00:00+00,0,2015/11/05 14:50:46+00,,29.474,Dordrecht,G0505,bestaand,,29.46410463,80.2414130459443
88,01,283,2013/12/19 00:00:00+00,0,2015/11/05 14:50:46+00,,182.593,Dordrecht,G0505,bestaand,,182.593358,217.491928152404
89,01,283,2013/07/24 00:00:00+00,0,2015/11/05 14:50:46+00,,4.146,Dordrecht,G0505,bestaand,,4.146031,10.8334465011265
90,01,283,2014/04/10 00:00:00+00,0,2015/11/05 14:50:46+00,,4.561,Dordrecht,G0505,bestaand,,4.560903,11.9989477577794
91,01,283,2013/07/18 00:00:00+00,0,2015/11/05 14:50:46+00,,21.169,Dordrecht,G0505,bestaand,,21.168759,18.9171896052916
92,01,283,2014/04/09 00:00:00+00,0,2015/11/05 14:50:46+00,,5.103,Dordrecht,G0505,bestaand,,5.103144,9.95842626260121
93,01,283,2013/07/24 00:00:00+00,0,2015/11/05 14:50:46+00,,21.257,Dordrecht,G0505,bestaand,,21.2567285,24.6203301367949
94,01,283,2019/10/16 00:00:00+00,0,2019/10/28 08:18:46+00,,161.514,Zaanstad,G0479,bestaand,,161.51411,273.723256247535
95,01,283,2015/11/12 00:00:00+00,0,2019/09/17 15:29:29+00,,31.031,Hardenberg,G0160,bestaand,,31.030564,76.2851593239425
96,01,283,2014/05/21 00:00:00+00,0,2015/11/06 09:11:47+00,,4.767,Dordrecht,G0505,bestaand,,4.7666045,8.73375320774029
97,01,283,2014/05/06 00:00:00+00,0,2015/11/06 09:11:47+00,,5.791,Dordrecht,G0505,bestaand,,5.790623,21.1953176878737
98,01,283,2014/03/05 00:00:00+00,0,2016/11/08 16:04:40+00,,3.819,Dordrecht,G0505,bestaand,,3.81863,13.2390036825129
99,01,283,2014/05/21 00:00:00+00,0,2015/11/06 09:11:47+00,,4.685,Dordrecht,G0505,bestaand,,4.684587,8.65769600219745
100,01,283,2014/05/21 00:00:00+00,0,2015/11/06 09:11:47+00,,4.757,Dordrecht,G0505,bestaand,,4.756982,8.72412588725591
101,01,283,2014/05/21 00:00:00+00,0,2015/11/06 09:11:47+00,,4.783,Dordrecht,G0505,bestaand,,4.7825045,8.74750526892644
102,01,283,2014/03/05 00:00:00+00,0,2015/11/06 09:11:47+00,,4.687,Dordrecht,G0505,bestaand,,4.6871525,10.6217935939297
103,01,283,2020/06/05 00:00:00+00,0,2022/06/17 18:27:54+00,,57.737,Apeldoorn,G0200,bestaand,,57.7366385,144.082593368459
104,01,283,2014/06/18 00:00:00+00,0,2015/11/06 08:29:42+00,,3.587,Dordrecht,G0505,bestaand,,3.5867245,11.7909912103584
105,01,283,2015/08/06 00:00:00+00,0,2015/11/06 08:29:42+00,,19.93,Dordrecht,G0505,bestaand,,19.928917625,109.135590999223
106,01,283,2019/02/14 00:00:00+00,0,2019/02/14 11:29:00+00,,123.577,Brummen,G0213,bestaand,,123.577077,81.2002473414743
107,01,283,2019/02/14 00:00:00+00,0,2019/02/14 11:29:00+00,,65.348,Brummen,G0213,bestaand,,65.3480525,47.8545271735254
108,01,283,2016/01/07 00:00:00+00,0,2016/01/15 13:45:35+00,,7.144,Dronten,G0303,bestaand,,7.144105,10.832326244215
109,01,283,2020/06/09 00:00:00+00,0,2020/11/05 12:10:32+00,,38.242,Lansingerland,G1621,bestaand,,38.2421615,110.699669628114
110,01,283,2020/06/09 00:00:00+00,0,2020/06/16 08:44:24+00,,14.151,Lansingerland,G1621,bestaand,,14.151105,25.2264791532137
111,01,283,2015/12/08 00:00:00+00,0,2015/12/08 16:25:55+00,,58.862,Veenendaal,G0345,bestaand,,58.861965,59.9047009761929
112,01,283,2018/09/24 00:00:00+00,0,2018/09/24 14:53:41+00,,4.806,Brummen,G0213,bestaand,,4.806494,20.2208618228304
113,01,283,2015/09/24 00:00:00+00,0,2015/11/18 10:25:20+00,,29.562,Harderwijk,G0243,bestaand,,29.56229,51.3335546727734
114,01,283,2015/09/24 00:00:00+00,0,2015/11/18 10:25:20+00,,13.522,Harderwijk,G0243,bestaand,,13.52191,22.1051925289271
115,01,283,2015/09/24 00:00:00+00,0,2019/07/10 14:42:38+00,,52.208,Harderwijk,G0243,bestaand,,52.24417291,86.5256002048881
116,01,283,2015/09/24 00:00:00+00,0,2015/11/18 10:25:20+00,,20.397,Harderwijk,G0243,bestaand,,20.3968475,25.9752292897963
117,01,283,2015/09/24 00:00:00+00,0,2015/11/18 10:25:20+00,,8.926,Harderwijk,G0243,bestaand,,8.926494,15.1175392823173
118,01,283,2015/09/24 00:00:00+00,0,2015/11/18 10:25:20+00,,28.116,Harderwijk,G0243,bestaand,,28.1162185,52.8601778970546
119,01,283,2015/09/24 00:00:00+00,0,2015/11/18 10:25:20+00,,35.406,Harderwijk,G0243,bestaand,,35.420596205,51.75958241464
120,01,283,2015/09/24 00:00:00+00,0,2015/11/18 10:25:20+00,,20.487,Harderwijk,G0243,bestaand,,20.503784235,35.9773409816277
121,01,283,2015/09/24 00:00:00+00,0,2015/11/18 10:25:20+00,,29.686,Harderwijk,G0243,bestaand,,29.686078,50.0583030861544
122,01,283,2022/02/23 00:00:00+00,0,2022/02/23 03:16:00+00,,20.965,Hattem,G0244,bestaand,,20.964888,52.9422537063346
123,01,283,2022/02/23 00:00:00+00,0,2022/02/23 03:16:00+00,,20.203,Hattem,G0244,bestaand,,20.2031105,53.204923517784
124,01,283,2015/07/07 00:00:00+00,0,2016/01/05 16:19:00+00,,55.774,Barendrecht,G0489,bestaand,,55.7737655,62.0727843791919
125,01,283,2015/07/01 00:00:00+00,0,2016/01/05 16:19:00+00,,99.502,Barendrecht,G0489,bestaand,,99.501655,72.519394323213
126,01,283,2015/07/02 00:00:00+00,0,2016/01/05 16:19:00+00,,10.033,Barendrecht,G0489,bestaand,,10.033128,22.8794042380497
127,01,283,2015/07/02 00:00:00+00,0,2016/01/05 16:19:00+00,,8.995,Barendrecht,G0489,bestaand,,8.995173,22.758992517676
128,01,283,2014/06/17 00:00:00+00,0,2021/12/15 13:38:56+00,,13.736,Dordrecht,G0505,bestaand,,13.7342953,21.9999739595866
129,01,283,2014/04/07 00:00:00+00,0,2015/11/05 14:50:46+00,,6.637,Dordrecht,G0505,bestaand,,6.636526,10.3858490893937
130,01,283,2014/04/07 00:00:00+00,0,2015/11/05 14:50:46+00,,12.204,Dordrecht,G0505,bestaand,,12.2040625,14.4367671164188
131,01,283,2021/10/26 00:00:00+00,0,2021/10/29 16:23:52+00,,30.091,Dronten,G0303,bestaand,,30.090907,38.7843663448443
132,01,283,2019/10/21 00:00:00+00,0,2019/10/28 08:18:46+00,,133.385,Zaanstad,G0479,bestaand,,133.41935703,330.090370808761
133,01,283,2019/10/21 00:00:00+00,0,2019/10/28 08:18:46+00,,30.176,Zaanstad,G0479,bestaand,,30.1761555,37.9557827729939
134,01,283,2019/10/16 00:00:00+00,0,2019/10/28 08:18:46+00,,34.217,Zaanstad,G0479,bestaand,,34.19206004,126.344078493623
135,01,283,2019/10/16 00:00:00+00,0,2019/10/28 08:18:46+00,,2.397,Zaanstad,G0479,bestaand,,2.3969115,7.16392940230613
136,01,283,2019/10/16 00:00:00+00,0,2019/10/28 08:18:46+00,,73.736,Zaanstad,G0479,bestaand,,73.73532997,99.1103563739217
137,01,283,2019/10/16 00:00:00+00,0,2019/10/28 08:18:46+00,,107.183,Zaanstad,G0479,bestaand,,107.182055235,168.795458421063
138,01,283,2019/10/16 00:00:00+00,0,2019/10/28 08:18:46+00,,92.122,Zaanstad,G0479,bestaand,,92.13050619,153.383437366921
139,01,283,2019/10/17 00:00:00+00,0,2019/10/28 08:18:46+00,,357.118,Zaanstad,G0479,bestaand,,357.32790541,872.546238406662
140,01,283,2019/10/16 00:00:00+00,0,2019/10/28 08:18:46+00,,42.565,Zaanstad,G0479,bestaand,,42.565181185,52.9153025254577
141,01,283,2019/10/21 00:00:00+00,0,2019/10/28 08:18:46+00,,16.92,Zaanstad,G0479,bestaand,,16.9195445,17.1970838362762
142,01,283,2015/07/01 00:00:00+00,0,2016/01/05 16:19:00+00,,79.117,Barendrecht,G0489,bestaand,,79.11283357,58.1167319697106
143,01,283,2014/02/14 00:00:00+00,0,2021/04/26 06:33:55+00,,40.992,Haarlemmermeer,G0394,bestaand,,40.9919115,122.332880491262
144,01,283,2014/04/14 00:00:00+00,0,2014/04/14 15:09:06+00,,70.266,Haarlemmermeer,G0394,bestaand,,70.2655155,62.6430838707192
145,01,283,2014/04/09 00:00:00+00,0,2014/04/09 13:20:14+00,,111.607,Haarlemmermeer,G0394,bestaand,,111.607073,55.3046790293942
146,01,283,2014/04/14 00:00:00+00,0,2014/04/14 15:09:07+00,,216.44,Haarlemmermeer,G0394,bestaand,,216.4402265,74.0488174523618
147,01,283,2013/12/18 00:00:00+00,0,2013/12/18 16:25:41+00,,34.296,Haarlemmermeer,G0394,bestaand,,34.2960975,34.3018690491375
148,01,283,2014/02/14 00:00:00+00,0,2014/02/14 12:20:46+00,,9.222,Haarlemmermeer,G0394,bestaand,,9.221825905,13.7377611172571
149,01,283,2015/12/22 00:00:00+00,0,2015/12/23 10:10:08+00,,20.1,Bodegraven-Reeuwijk,G1901,bestaand,,20.100699435,83.7901046718053
150,01,283,2015/12/22 00:00:00+00,0,2015/12/23 10:10:08+00,,32.663,Bodegraven-Reeuwijk,G1901,bestaand,,32.662713,59.905920028768
151,01,283,2015/12/22 00:00:00+00,0,2015/12/23 10:10:08+00,,9.684,Bodegraven-Reeuwijk,G1901,bestaand,,9.684169,22.8866526951258
152,01,283,2015/12/22 00:00:00+00,0,2021/04/07 16:24:16+00,,14.833,Bodegraven-Reeuwijk,G1901,bestaand,,14.831766745,32.7908920523415
153,01,283,2015/12/22 00:00:00+00,0,2015/12/23 10:10:08+00,,7.905,Bodegraven-Reeuwijk,G1901,bestaand,,7.9052495,23.3365300616532
154,01,283,2015/12/22 00:00:00+00,0,2022/09/01 09:05:53+00,,5.85,Bodegraven-Reeuwijk,G1901,bestaand,,5.849734,15.7660250819158
155,01,283,2015/12/22 00:00:00+00,0,2015/12/23 10:10:08+00,,6.327,Bodegraven-Reeuwijk,G1901,bestaand,,6.3274255,15.1125247341984
156,01,283,2015/12/22 00:00:00+00,0,2021/04/07 16:24:16+00,,7.445,Bodegraven-Reeuwijk,G1901,bestaand,,7.444953,20.7195829112598
157,01,283,2015/02/24 00:00:00+00,0,2020/08/20 16:40:58+00,,44.512,Tiel,G0281,bestaand,,44.512031,91.0027716804534
158,01,283,2015/02/24 00:00:00+00,0,2015/02/24 15:57:49+00,,20.657,Tiel,G0281,bestaand,,20.6566265,21.694664253865
159,01,283,2015/02/24 00:00:00+00,0,2020/11/09 11:22:16+00,,51.812,Tiel,G0281,bestaand,,51.8124035,39.3062809002025
160,01,283,2015/02/24 00:00:00+00,0,2020/11/06 13:24:54+00,,34.403,Tiel,G0281,bestaand,,34.4028765,33.7034578586448
161,01,283,2015/02/24 00:00:00+00,0,2021/07/14 11:24:49+00,,58.376,Tiel,G0281,bestaand,,58.37469062,39.1287005373988
162,01,283,2015/02/24 00:00:00+00,0,2020/11/09 11:23:43+00,,23.885,Tiel,G0281,bestaand,,23.885274,21.3512628892546
163,01,283,2015/02/24 00:00:00+00,0,2021/06/10 13:58:58+00,,15.104,Tiel,G0281,bestaand,,15.10082945,15.9444832179643
164,01,283,2015/02/24 00:00:00+00,0,2015/02/24 15:59:14+00,,7.97,Tiel,G0281,bestaand,,7.9703125,17.4438043914386
165,01,283,2015/02/24 00:00:00+00,0,2020/11/09 14:34:28+00,,23.607,Tiel,G0281,bestaand,,23.59210485,23.3398030829984
166,01,283,2015/02/24 00:00:00+00,0,2020/10/30 12:39:55+00,,23.219,Tiel,G0281,bestaand,,23.218686,28.1730574224798
167,01,283,2015/02/24 00:00:00+00,0,2015/02/24 15:57:37+00,,8.954,Tiel,G0281,bestaand,,8.9537715,45.9482222967696
168,01,283,2015/02/24 00:00:00+00,0,2020/11/06 13:41:19+00,,14.544,Tiel,G0281,bestaand,,14.5407596,15.4749180916355
169,01,283,2015/02/24 00:00:00+00,0,2020/11/09 14:33:14+00,,20.529,Tiel,G0281,bestaand,,20.5286725,21.4238045234959
170,01,283,2015/02/24 00:00:00+00,0,2015/02/24 15:57:55+00,,43.584,Tiel,G0281,bestaand,,43.5839065,78.2052437614916
171,01,283,2018/08/14 00:00:00+00,0,2018/08/31 07:44:07+00,,5.317,Dordrecht,G0505,bestaand,,5.316727,13.1721462467938
172,01,283,2018/08/14 00:00:00+00,0,2018/08/31 07:44:07+00,,9.997,Dordrecht,G0505,bestaand,,9.997266,23.5200830054766
173,01,283,2018/08/01 00:00:00+00,0,2018/08/31 07:44:07+00,,6.314,Dordrecht,G0505,bestaand,,6.312996215,12.2507776536687
174,01,283,2018/08/14 00:00:00+00,0,2018/08/31 07:44:07+00,,13.617,Dordrecht,G0505,bestaand,,13.6169835,30.8970551828303
175,01,283,2015/12/08 00:00:00+00,0,2015/12/08 16:22:08+00,,38.244,Veenendaal,G0345,bestaand,,38.2444995,36.4602528862629
176,01,283,2016/12/02 00:00:00+00,0,2018/10/23 07:42:28+00,,465.451,Apeldoorn,G0200,bestaand,,465.52101987,428.454023079468
177,01,283,2020/03/30 00:00:00+00,0,2022/10/19 13:09:07+00,,3.115,Stichtse Vecht,G1904,bestaand,,3.1154865,15.3300158533191
178,01,283,2015/12/08 00:00:00+00,0,2016/07/04 15:18:26+00,,83.362,Veenendaal,G0345,bestaand,,83.361782,74.5633451661577
179,01,283,2020/03/30 00:00:00+00,0,2021/04/19 11:24:19+00,,14.661,Stichtse Vecht,G1904,bestaand,,14.6609925,58.6093013339798
180,01,283,2020/03/31 00:00:00+00,0,2021/04/19 11:24:19+00,,4.015,Stichtse Vecht,G1904,bestaand,,4.014936,18.4359615406942
181,01,283,2020/03/30 00:00:00+00,0,2021/04/19 11:24:19+00,,21.822,Stichtse Vecht,G1904,bestaand,,21.8215355,39.4410842200955
182,01,283,2020/03/30 00:00:00+00,0,2021/04/19 11:24:19+00,,13.639,Stichtse Vecht,G1904,bestaand,,13.638556,23.7226384585139
183,01,283,2015/12/08 00:00:00+00,0,2015/12/08 16:22:08+00,,4.182,Veenendaal,G0345,bestaand,,4.182013,10.4322422550213
184,01,283,2015/12/08 00:00:00+00,0,2020/05/27 15:43:03+00,,351.12,Veenendaal,G0345,bestaand,,351.20233872,221.653837452478
185,01,283,2015/11/12 00:00:00+00,0,2017/05/10 08:15:23+00,,19.851,Ommen,G0175,bestaand,,19.851441,76.2287227728673
