OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,BRON,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET_T,X,Y,LATITUDE,LONGITUDE
15,edba766a-3454-44d9-ba2f-a98bd0aa84be,,,Bestaand,Arcadis,Aml-Hgl,Almelo - Hengelo ,606,a,606,606_a,Almelo,0.557427,"0,557427","-83,236298",241301.907,486429.488,52.35896772,6.65413303
16,a59e36ac-adb1-4869-b8aa-5f0165a5f286,,,Bestaand,Arcadis,Aml-Hgl,Almelo - Hengelo ,606,a,606,606_a,Almelo,0.280648,"0,280648","24,398258",241032.044,486555.833,52.3601454,6.65020464
17,2b551148-7c60-4bb6-8b45-f2be03b6d623,,60,Bestaand,Fugro,Bon-Bonoh,Born-Born Overlaadhaven ,851,a,851,851_a,Born Franciscushaven,100.543418,"100,543418","5,982733",184606.749,339973.958,51.0485836,5.80940076
18,372bf6df-2fa1-4a26-a1a8-b99af8fdab39,,60,Bestaand,Fugro,Mt-Vl,Maastricht - Venlo ,553,c,553,553_c,Sittard,21.717063,"21,717063","-53,380431",188016.256,334713.196,51.00110998,5.85753755
19,175b97fa-a063-4cd7-991f-6ff366f82937,,60,Bestaand,Fugro,Otw-Otwrw,Oosterhout Weststad - Oosterhout Weststad Rederijweg ,823,b,823,823_b,Oosterhout Weststad,100.279925,"100,279925","-2,862609",116532.257,408277.462,51.66199301,4.83121807
20,30e4ad87-c4f5-4b87-bb81-c2f0c4625540,,,Bestaand,Arcadis,Awhv-Asho,Amsterdam Westhaven (gebied) - Amsterdam Sloterdijk Noord Hornweg ,486,c,486,486_c,Amsterdam Westhaven (gebied),204.986259,"204,986259","-6,926403",115380.055,491379.87,52.40881227,4.80493756
21,30dd59d6-cbee-40fa-a3c0-72cdb219a5d7,,,Bestaand,Arcadis,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,486,b,486,486_b,Amsterdam Westhaven (gebied),77.675044,"77,675044","-6,984891",119277.748,489764.776,52.39456473,4.86238864
22,890c0ee3-3a31-4162-8605-b0eb00e5969f,,,Bestaand,Arcadis,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,486,b,486,486_b,Amsterdam Westhaven (gebied),75.711907,"75,711907","-20,426251",117737.446,490889.29,52.40456854,4.83963538
23,6da37d2f-e158-4ecb-9d9f-be0c7d400fa3,,,Bestaand,Arcadis,Awhv-Chv,Amsterdam Westhaven (gebied) - Amsterdam Coenhaven ,485,d,485,485_d,Amsterdam Hemhaven (gebied),101.004774,"101,004774","18,591688",119120.041,490797.867,52.40383906,4.85996135
24,ce78fe81-4997-42b9-98f7-912c673852fd,,,Bestaand,Arcadis,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,25.629324,"25,629324","4,978472",169735.304,558154.951,53.01013904,5.60674677
25,d9f121d0-cfa7-484d-be6b-cbe18749bc63,,,Bestaand,Arcadis,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,36.396036,"36,396036","4,914515",160258.665,554667.657,52.97897757,5.46549946
26,7cdebac4-efbf-49f2-a501-acffb7c702e5,,60,Bestaand,Fugro,Lindk-Nrdwg,Lindtsedijk - Noordweg ,822,c,822,822_c,Zwijndrecht Groote Lindt,300.380552,"300,380552","-1,713721",102099.749,424675.686,51.80820081,4.62013984
27,cd6fb9f2-ed02-4a3f-a154-7c239d80293e,,60,Bestaand,Fugro,Zwd-Zwdi,Zwijndrecht - Zwijndrecht Groote Lindt ,822,a,822,822_a,Zwijndrecht Groote Lindt,101.817782,"101,817782","-2,960774",102842.94,424346.05,51.8053081,4.63096497
28,7c537b0b-6386-4f50-a316-bce3ebeb248f,,60,Bestaand,Fugro,Tb-Vga,Tilburg - Vught Aansluiting ,124,a,124,124_a,Tilburg - Vught Aansl.,3.889203,"3,889203","-20,263877",136815.208,398915.74,51.57887002,5.12485476
29,a3061c99-3d6a-4e07-a50c-f4991f5a7b03,,60,Bestaand,Fugro,Mt-Glk,Maastricht - Lanaken (B) ,520,c,520,520_c,Maastricht,36.870095,"36,870095","48,458276",177130.402,318709.308,50.85778194,5.70148387
30,43e75dd4-60e5-4112-9610-d5abb089f3b6,,60,Bestaand,Fugro,Mt-Vl,Maastricht - Venlo ,520,a,520,520_a,Maastricht,0.775165,"0,775165","61,401182",177347.789,318347.14,50.85451808,5.70454876
31,1e6acb9e-7b95-472e-8afe-34e44a7c48a3,,60,Bestaand,Fugro,Sloe-Qh,Sloehaven Emplacement - Quarleshaven ,817,e,817,817_e,Vlissingen Sloehaven,205.367279,"205,367279","15,377598",37568.322,388570.392,51.47393661,3.69685912
32,ad421bc2-7a4d-476a-81cf-8a8c916c4a37,,60,Bestaand,Fugro,Frkws-Bww,Frankrijkweg Sloegebied - Belgiëweg West ,817,i,817,817_i,Vlissingen Sloehaven,401.839288,"401,839288","-2,715230",39718.704,386178.197,51.4528853,3.7285829
33,118ec1f7-a654-4008-841b-01dd4f1592e4,,120,Bestaand,Fugro,Bot-Mvt,"Rotterdam, Botlek - Rotterdam, Emplacement Maasvlakte",950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,39.810558,"39,810558","-14,405908",62344.797,438614.336,51.92827361,4.04006027
34,df1f0a2b-e655-47ed-a636-f50e80c13b24,,120,Bestaand,Fugro,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,11.456635,"11,456635","-7,220390",85588.924,432610.52,51.87770413,4.37916633
35,06f6119f-adb8-4e64-beaa-ca15f5e7f29a,,60,Bestaand,Fugro,Wd-Ledn,Woerden - Leiden Centraal ,623,,623,623__,Alphen a/d Rijn,17.644097,"17,644097","16,217100",104883.528,460099.493,52.12683256,4.65532799
36,d20d5a24-840f-491d-ae18-f3ec7960e2f2,,,Bestaand,Arcadis,Brvalw-Brvalo,Betuweroute Valburg West - Betuweroute Valburg Oost ,938,,938,938__,CUP Valburg,0.170704,"0,170704","-22,806766",181925.557,435326.679,51.90578922,5.77847102
37,3f456c43-79b4-4b32-afaa-eee526525f83,,60,Bestaand,Fugro,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,132,,132,132__,Moordrecht Aansl. - Rotterdam Kleiweg,49.076525,"49,076525","-32,722481",94644.432,440061.045,51.94571946,4.50935423
38,d5cdbc35-140e-4f02-8ee2-eae71bf10c58,,120,Bestaand,Fugro,Bd-Rtd,Breda - Rotterdam Centraal ,663,a,663,663_a,Rotterdam Barendrecht,40.746011,"40,746011","-15,110331",96714.66,431408.337,51.8681742,4.54092738
39,be4d849b-1b3d-488f-98d8-14eb75ca6ae7,,,Bestaand,Arcadis,Hdr-Zd,Den Helder - Zaandam ,524,b,524,524_b,Zaandam,70.507806,"70,507806","57,722020",115725.418,495303.501,52.44409921,4.80955317
40,766c493c-4098-4f2f-b42c-4a5c562c3738,,,Bestaand,Arcadis,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,172.25195,"172,251950","-11,229384",116114.536,493630.827,52.42909447,4.81547018
41,3c10f170-dc2d-4e5f-96da-0afa5ea09340,,60,Bestaand,Arcadis,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,098,,98,098__,Breukelen - Utrecht Centraal,28.547726,"28,547726","3,701140",131375.322,460312.482,52.13051297,5.04217567
42,a234dbde-8075-49ee-bd8e-5bb510297945,,60,Bestaand,Arcadis,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,529,,529,529__,Breukelen,22.934432,"22,934432","4,812202",127873.567,464523.498,52.16820012,4.99069927
43,609eed72-8020-4308-b03d-1cf04c7950cb,,60,Bestaand,Arcadis,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,080,,80,080__,Amsterdam Bijlmer - Nieuwersluis=Loenen,10.405981,"10,405981","-10,991905",127202.687,476508.683,52.2758852,4.97990883
44,8d7b84c5-262d-46bb-bc37-2bfc448f6154,,60,Bestaand,Fugro,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,536,,536,536__,Den Haag HS,61.753911,"61,753911","-11,977877",81496.023,453588.892,52.06570964,4.3152415
45,cf2c5ca4-52f2-401c-9d51-cb67d051f16e,,60,Bestaand,Fugro,Gd-Gvc,Gouda - Den Haag Centraal ,560,a,560,560_a,Den Haag Centraal,24.792712,"24,792712","29,448876",82486.265,454880.423,52.07744691,4.32940611
46,a3852618-834b-43e4-823e-c7ba7e83916d,,60,Bestaand,Fugro,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,536,,536,536__,Den Haag HS,60.700866,"60,700866","17,959038",82296.357,454265.236,52.07189344,4.32676735
47,548783ee-c80e-4deb-8ab8-2adbf4fa4275,,60,Bestaand,Arcadis,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,534,b,534,534_b,Leiden Centraal,46.099166,"46,099166","27,311335",92728.348,464273.144,52.16310639,4.4770754
48,4fa79541-ee60-4168-ae76-7dc7bbd8b23a,,60,Bestaand,Arcadis,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,534,b,534,534_b,Leiden Centraal,46.75873,"46,758730","1,823747",92313.845,463761.197,52.15845865,4.47111249
49,0afb778b-a868-49ea-98b2-ae47b795b6f6,,60,Bestaand,Arcadis,Wd-Ledn,Woerden - Leiden Centraal ,103,,103,103__,Alphen a/d Rijn - Leiden Centraal,31.001318,"31,001318","13,928683",92878.996,463435.156,52.15559234,4.4794302
50,db5186a8-1ccb-413a-a8e6-d95c61259754,,60,Bestaand,Arcadis,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,534,b,534,534_b,Leiden Centraal,44.889016,"44,889016","14,189367",93509.728,465197.561,52.17150166,4.48832681
51,e632ac8d-a5d3-4dd6-8aaa-4dcc96bbb42b,,60,Bestaand,Arcadis,Wd-Ledn,Woerden - Leiden Centraal ,103,,103,103__,Alphen a/d Rijn - Leiden Centraal,29.041836,"29,041836","3,980704",94228.14,462185.284,52.14450964,4.49936642
52,dcdfd2e0-77a4-40b8-95a7-5d79f8ccb020,,,Bestaand,Arcadis,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,80.263692,"80,263692","15,564903",121390.689,488268.801,52.38125344,4.89357952
53,1d4855c0-9307-4513-abfb-f1714e618f2c,,,Bestaand,Arcadis,Asd-Zp,Amsterdam Centraal - Zutphen ,588,,588,588__,Amsterdam Dijksgracht,1.400806,"1,400806","2,798543",123206.266,487667.611,52.37595848,4.92030105
54,6ec8bbdb-bb69-46bd-813d-510986956903,,,Bestaand,Arcadis,Wgm-Dmn,Watergraafsmeer - Diemen ,927,,927,927__,Watergraafsmeer,904.992806,"904,992806","152,355515",124939.737,485211.481,52.35398199,4.94597647
55,04c70f05-2c23-4798-bed4-31c77d132c83,,,Bestaand,Arcadis,Asd-Zp,Amsterdam Centraal - Zutphen ,528,b,528,528_b,Hilversum,28.771036,"28,771036","-17,457893",141163.706,470599.322,52.22330135,5.1847103
56,aaef563b-9c35-4239-9a7c-4f170040dad1,,,Bestaand,Arcadis,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,531,d,531,531_d,Utrecht Centraal,1.060843,"1,060843","70,356274",135225.696,456579.485,52.09711195,5.09862423
57,d0fe5051-7e79-4080-9d36-95e1a2433583,,,Bestaand,Arcadis,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,531,c,531,531_c,Utrecht Centraal,35.713384,"35,713384","62,909941",136273.281,455170.485,52.0844843,5.11398938
58,63a82528-49cf-4aab-8f19-3b3a986716b4,,,Bestaand,Arcadis,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,547,c,547,547_c,Lunetten Aansl.,37.633376,"37,633376","10,613206",137731.929,453970.545,52.07374663,5.13533075
59,eefb8a21-6907-49fc-90e0-49b6cf421176,,,Bestaand,Arcadis,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,70.281947,"70,281947","15,471203",189807.202,491666.117,52.41170985,5.89877451
60,ee0035d4-1906-44a1-aee5-e5e85ffabe25,,,Bestaand,Arcadis,Ahg-Va,Arnhem Goederenstation - Velperpoort Aansl. ,437,a,437,437_a,Arnhem Goederenstation - Velperbroek Aansl.,0.533285,"0,533285","-52,862257",192262.966,443279.685,51.97667385,5.92954656
61,5636d687-72d9-4511-b923-1be8723822ee,,120,Bestaand,Fugro,Bot-Mvt,"Rotterdam, Botlek - Rotterdam, Emplacement Maasvlakte",950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,41.16745,"41,167450","-33,507218",61740.951,439835.812,51.9391489,4.03095154
62,4b59704e-7da6-42f3-99ff-9204eb950bb3,,60,Bestaand,Fugro,Ht-Nm,s-Hertogenbosch - Nijmegen ,047,,47,047__,s Hertogenbosch - Nijmegen,41.580634,"41,580634","12,565071",165258.608,419717.942,51.76605046,5.5358124
63,efc95fac-393b-43d6-9bc4-7f9c1440647d,,60,Bestaand,Fugro,Bd-Ehv,Breda - Eindhoven ,617,a,617,617_a,Boxtel,39.156008,"39,156008","40,308102",150235.39,399486.739,51.58427634,5.31845504
64,14d5f790-a802-4938-ad44-44cb3266a5e1,,,Bestaand,Arcadis,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,035,,35,035__,Lunetten - De Haar Aansl.,40.516051,"40,516051","-7,567004",140266.794,452727.499,52.06264735,5.17235757
65,b085791e-b94b-44d4-9f69-193fc5d81099,,,Bestaand,Arcadis,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,035,,35,035__,Lunetten - De Haar Aansl.,38.415929,"38,415929","-14,228509",138324.589,453480.962,52.06936443,5.1439991
66,3b31aa4b-5485-449a-8282-76e90dfc404d,,,Bestaand,Arcadis,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,108,,108,108__,De Haar Aansl. - Ede=Wageningen,67.268307,"67,268307","4,580819",166760.547,451153.688,52.04857246,5.5586456
67,73f0426f-25f9-445e-8c0e-569ae6201dbd,,60,Bestaand,Fugro,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,54.454872,"54,454872","15,586759",158254.404,386498.553,51.46754094,5.43403485
68,87648315-10e6-492b-b7a5-496d3c2bad47,,60,Bestaand,Fugro,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,47.28903,"47,289030","12,911617",154372.156,392504.228,51.52153301,5.3781536
69,4d0ac8d3-4caa-4159-a7c9-595a631119d4,,60,Bestaand,Fugro,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,52.492276,"52,492276","16,686800",157002.075,388012.904,51.4811588,5.41602074
70,abd4474e-1965-4fa4-aa9b-fa1026e1c6f1,,60,Bestaand,Fugro,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,52.68812,"52,688120","14,951703",157127.969,387862.863,51.47980966,5.41783216
71,c2b3c8ca-3b68-4027-a74f-30227c875c2e,,60,Bestaand,Fugro,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,52.843438,"52,843438","15,344921",157227.09,387742.571,51.47872802,5.41925826
72,4ad5f10f-3329-47bf-a0e5-37dd593a3933,,60,Bestaand,Fugro,Vl-Ehv,Venlo - Eindhoven ,516,a,516,516_a,Blerick,2.144535,"2,144535","121,941410",207935.745,376795.566,51.37785187,6.14752844
73,f2f137de-cebb-4141-a917-d2ea33494a7e,,60,Bestaand,Fugro,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,8.789088,"8,789088","-24,084636",202508.788,380618.691,51.41269735,6.07009939
74,a957829c-f549-466e-83f1-c619fd5ae8f6,,60,Bestaand,Fugro,Nvss-Bvss,Nievelsteenstraat - Bart van Slobbestraat ,066,b,66,066_b,Landgraaf - Haanrade Grens,100.744119,"100,744119","-3,268805",203253.836,323307.298,50.89750577,6.07307263
75,7a55cb67-1ad5-439b-9b3c-e8607052b835,,60,Bestaand,Fugro,Nvss-Bvss,Nievelsteenstraat - Bart van Slobbestraat ,066,b,66,066_b,Landgraaf - Haanrade Grens,100.479949,"100,479949","-3,428634",203163.698,323058.986,50.89528146,6.07175849
76,74981ceb-95bb-4be3-affb-f2afc4b5fe10,,60,Bestaand,Fugro,Nvss-Bvss,Nievelsteenstraat - Bart van Slobbestraat ,066,b,66,066_b,Landgraaf - Haanrade Grens,100.094841,"100,094841","3,430509",203052.989,322692.779,50.89199918,6.07013649
77,51450661-1cc0-4b6e-a4bc-603425040c54,,60,Bestaand,Fugro,Std-Hz,Sittard - Herzogenrath (D) ,504,b,504,504_b,Heerlen,18.191171,"18,191171","-13,077227",196088.549,322585.139,50.89157348,5.97114919
78,125906a9-c1f2-4ec0-9a82-6801f0b3e123,,60,Bestaand,Fugro,Std-Hz,Sittard - Herzogenrath (D) ,504,b,504,504_b,Heerlen,17.133871,"17,133871","-16,276148",195166.166,323083.632,50.8961196,5.9580961
79,6a5903dc-3013-4592-9f8f-eb4ce8f35c71,,,Bestaand,Arcadis,Ah-Zl,Arnhem - Zwolle ,503,c,503,503_c,Deventer,44.004444,"44,004444","9,811262",207474.726,474876.59,52.25941639,6.15580145
80,48ce7cf3-e1d5-435f-8698-3aa4a7b75b0d,,,Bestaand,Arcadis,Ww-Zv,Winterswijk-Zevenaar ,212,,212,212__,Winterswijk - Zevenaar,33.831982,"33,831982","-15,545236",217223.524,441489.179,51.95834608,6.2924762
81,adf288e8-f897-4d37-a2f2-b31cd8438088,,60,Bestaand,Arcadis,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,32.121745,"32,121745","5,519899",97990.754,470921.96,52.22342799,4.55286176
82,415508c9-c1dc-4aa6-a4e1-021936a05b96,,60,Bestaand,Arcadis,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,20.228882,"20,228882","-78,058555",107122.332,477745.42,52.28562024,4.68552768
83,114c3426-8128-435c-9cb1-f5473df36991,,60,Bestaand,Arcadis,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,20.777651,"20,777651","-78,847743",106748.843,477352.757,52.28205871,4.68011049
84,5176abb4-09e0-4e7f-9c08-14a47208405b,,60,Bestaand,Arcadis,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,17.149069,"17,149069","-0,141242",109832.815,478951.556,52.29668912,4.72508748
85,1fc9d3f5-df30-456c-9eb9-dfa32e6ae498,,120,Bestaand,Fugro,Bottha-Botbh,Botlek Theemsweg Aansl. - Botlek Brittanniëhaven ,476,b,476,476_b,Rotterdam Europoort 2,201.110312,"201,110312","-10,202096",76241.099,433647.93,51.88578331,4.2431983
86,cb92269f-3c9c-4a0a-87c0-df312b287030,,120,Bestaand,Fugro,Bottha-Botbh,Botlek Theemsweg Aansl. - Botlek Brittanniëhaven ,476,b,476,476_b,Rotterdam Europoort 2,201.970852,"201,970852","-18,209954",75581.264,434112.416,51.88986379,4.23350873
87,9c666836-fd80-4342-b186-3bb0d0e6942d,,,Bestaand,Arcadis,Hea-Emn,Herfte Aansl. - Emmen ,751,,751,751__,Mariënberg,34.209799,"34,209799","16,014777",235836.13,503204.3,52.51053665,6.57796132
88,bf3b7a9c-ab25-4fd9-8472-e5b7bd5f3090,,,Bestaand,Arcadis,Aml-Amlbp,Almelo - Almelo Racc. Bedrijvenpark N.W. Twente  ,857,a,857,857_a,Almelo Gem. Stamlijn,1.435722,"1,435722","10,415083",238848.539,487993.553,52.37340253,6.61851545
89,2d38acdc-e18d-4779-861c-d98da3242716,,,Bestaand,Arcadis,Mp-Gn,Meppel - Groningen ,011,,11,011__,Assen - Haren,68.74738,"68,747380","56,602078",238214.049,574982.768,53.15509921,6.63119264
90,c6cca0d7-841d-447e-97d8-259cf630a734,,,Bestaand,Arcadis,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,144,a,144,144_a,Duivendrecht - Amsterdam Riekerpolder,157.041485,"157,041485","6,689110",118174.736,483450.433,52.33774327,4.8468762
91,4255c41c-cae9-4737-b4d9-c31550ec9a27,,,Bestaand,Arcadis,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,144,a,144,144_a,Duivendrecht - Amsterdam Riekerpolder,157.04349,"157,043490","-8,349082",118173.903,483435.284,52.33760707,4.84686564
92,3cc08b19-0abd-47db-af1e-6b39195660f2,,,Bestaand,Arcadis,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,027,,27,027__,Diemen - Duivendrecht,149.033125,"149,033125","-0,409659",125382.245,482460.507,52.32928195,4.95271352
93,14cff8c7-7ade-44a3-9aa9-8beef3a8e483,,,Bestaand,Arcadis,Asd-Zp,Amsterdam Centraal - Zutphen ,128,,128,128__,Diemen Aansl. - Weesp Aansl.,13.444409,"13,444409","-14,817617",131859.565,480286.589,52.31005464,5.04788256
94,d0ea6959-c928-46f3-a530-9ebc0666a34d,,,Bestaand,Arcadis,Hlm-Hlmjl,Haarlem - Haarlem Julianalaan ,527,f,527,527_f,Haarlem,500.864094,"500,864094","5,547878",103187.097,489195.59,52.38816603,4.62609716
95,bc7c69e1-b799-4439-9610-50ed75218e1c,,,Bestaand,Arcadis,Hlm-Utg,Haarlem - Uitgeest ,076,,76,076__,Santpoort Noord - Uitgeest,11.966933,"11,966933","-11,564861",105601.774,499402.537,52.48011713,4.66005965
96,a35c31e4-ac28-4b49-9bd0-cd5cce6018f4,,,Bestaand,Arcadis,Hlm-Utg,Haarlem - Uitgeest ,076,,76,076__,Santpoort Noord - Uitgeest,10.957707,"10,957707","3,621899",105000.842,498618.896,52.47302014,4.65133183
97,5cac1faa-171c-422f-af7c-8834d0bf09da,,,Bestaand,Arcadis,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,527,c,527,527_c,Haarlem,17.173138,"17,173138","18,931380",103696.498,489235.945,52.38857656,4.63357319
98,678a8f7a-8861-4bc6-97cc-cdddec6434ac,,,Bestaand,Arcadis,Hlm-Utg,Haarlem - Uitgeest ,076,,76,076__,Santpoort Noord - Uitgeest,8.649985,"8,649985","4,661994",105259.357,496347.566,52.45263169,4.65547404
99,7f57ce18-eb46-4e52-ad55-77fad0b0a8c2,,,Bestaand,Arcadis,Hlm-Utg,Haarlem - Uitgeest ,556,,556,556__,Santpoort Noord,5.743311,"5,743311","-8,170871",103643.251,494112.754,52.43239872,4.63204439
100,6a73308f-6273-4f06-a361-c79816eb48f0,,,Bestaand,Arcadis,Hlm-Utg,Haarlem - Uitgeest ,076,,76,076__,Santpoort Noord - Uitgeest,11.323257,"11,323257","-7,024450",105142.026,498955.122,52.47605462,4.65335941
101,a5827448-d676-4391-8258-0c17e281143f,,60,Bestaand,Arcadis,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,44.939309,"44,939309","4,524125",162216.697,506719.888,52.54806133,5.4935979
