FID,arc_length,filenaam,links,rechts,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_vliestr_2010.49,42031.8984375,vliestroom_48,337.9,-364,2010-09-07T00:00:00,,,"LINESTRING (133051.4840000011 575899.313000001, 170747.875 594491.313000001)"
vlieglijnen_vliestr_2010.50,40573.6015625,vliestroom_49,342.8,-328.7,2010-09-07T00:00:00,,,"LINESTRING (170729.5469999984 594128.75, 134364.625 576134)"
vlieglijnen_vliestr_2010.51,42061.30078125,vliestroom_50,1036.3,-412.6,2010-09-07T00:00:00,,,"LINESTRING (134316.8280000016 575702.313000001, 171968.8440000005 594450)"
vlieglijnen_vliestr_2010.52,40601.6015625,vliestroom_51,348.2,-336.5,2010-09-07T00:00:00,,,"LINESTRING (171017.75 593528.188000001, 134627.5469999984 575521.438000001)"
vlieglijnen_vliestr_2010.53,42166.5,vliestroom_52,940.8,-345.6,2010-09-07T00:00:00,,,"LINESTRING (134600.7190000005 575159.063000001, 172397.0469999984 593852.688000001)"
vlieglijnen_vliestr_2010.54,41480.80078125,vliestroom_53,348.5,-1043.2,2010-09-07T00:00:00,,,"LINESTRING (171450.4530000016 592925.75, 134217.9530000016 574639.188000001)"
vlieglijnen_vliestr_2010.55,41022,vliestroom_54,359.7,-377.4,2010-09-07T00:00:00,,,"LINESTRING (171505.3440000005 592606.813000001, 134694.2030000016 574503)"
vlieglijnen_vliestr_2010.56,42686.6015625,vliestroom_55,535.4,-2474.8,2010-09-07T00:00:00,,,"LINESTRING (172234.0469999984 592548.563000001, 133826.3440000005 573920.875)"
vlieglijnen_vliestr_2010.57,39160.3984375,vliestroom_56_1,356.2,-365,2010-09-07T00:00:00,,,"LINESTRING (172824.7030000016 592527.688000001, 137700.2340000011 575212.688000001)"
vlieglijnen_vliestr_2010.58,5385,vliestroom_56_2,334.8,-326.8,2010-09-07T00:00:00,,,"LINESTRING (136180.7969999984 574417.063000001, 140999.8440000005 576820.188000001)"
vlieglijnen_vliestr_2010.59,38547,vliestroom_57,349.9,-366.7,2010-08-07T00:00:00,,,"LINESTRING (171962.4219999984 591738.875, 137390.6559999995 574690)"
vlieglijnen_vliestr_2010.60,39187.1015625,vliestroom_58,329.4,-368.8,2010-08-07T00:00:00,,,"LINESTRING (136797.5159999989 574032.938000001, 171941.8440000005 591368)"
vlieglijnen_vliestr_2010.61,32421.80078125,vliestroom_59,365.7,-358.5,2010-08-07T00:00:00,,,"LINESTRING (168037.2969999984 589070.75, 138956.875 574735.313000001)"
vlieglijnen_vliestr_2010.62,31611.69921875,vliestroom_60,350.1,-364.6,2010-08-07T00:00:00,,,"LINESTRING (168057.2340000011 588702.625, 139708.813000001 574714.563000001)"
vlieglijnen_vliestr_2010.63,28744.69921875,vliestroom_61,342.9,-370.6,2010-08-07T00:00:00,,,"LINESTRING (166784.7030000016 587668.5, 140988.0159999989 574988.188000001)"
vlieglijnen_vliestr_2010.64,28184.09960938,vliestroom_62,351.7,-362.1,2010-08-07T00:00:00,,,"LINESTRING (166387.938000001 587112.5, 141101.7340000011 574664.625)"
vlieglijnen_vliestr_2010.65,27745.19921875,vliestroom_63,337.2,-386.7,2010-08-07T00:00:00,,,"LINESTRING (166758.2190000005 586929.313000001, 141862.75 574681.375)"
vlieglijnen_vliestr_2010.66,26174.69921875,vliestroom_64,364.5,-403.1,2010-08-07T00:00:00,,,"LINESTRING (165897.0940000005 586094.938000001, 142396.9219999984 574568.5)"
vlieglijnen_vliestr_2010.67,24293.19921875,vliestroom_65,346.3,-371.4,2010-08-07T00:00:00,,,"LINESTRING (163867.4840000011 584750.063000001, 142064.6409999989 574035.688000001)"
vlieglijnen_vliestr_2010.68,21143.59960938,vliestroom_66,355,-369.4,2010-08-07T00:00:00,,,"LINESTRING (163091.875 584023.813000001, 144129.9690000005 574669.688000001)"
vlieglijnen_vliestr_2010.69,18921,vliestroom_67,348.2,-374.3,2010-07-01T00:00:00,,,"LINESTRING (161591.938000001 582866.688000001, 144601.6409999989 574540.063000001)"
vlieglijnen_vliestr_2010.70,17645.40039063,vliestroom_68,373.9,-349.3,2010-06-22T00:00:00,,,"LINESTRING (144510.0940000005 574119.375, 160341.9059999995 581911.313000001)"
vlieglijnen_vliestr_2010.71,16070.5,vliestroom_69,362,-365.8,2010-06-22T00:00:00,,,"LINESTRING (160641.2340000011 581693.688000001, 146217.0780000016 574608.25)"
vlieglijnen_vliestr_2010.72,14626.59960938,vliestroom_70,345.9,-371.3,2010-06-22T00:00:00,,,"LINESTRING (159234.063000001 580620.125, 146097.688000001 574188)"
vlieglijnen_vliestr_2010.73,13782.40039063,vliestroom_71,341.6,-355.6,2010-06-22T00:00:00,,,"LINESTRING (160080.7190000005 580692, 147712.813000001 574610.063000001)"
vlieglijnen_vliestr_2010.74,11104.40039063,vliestroom_72,359.5,-373.3,2010-06-22T00:00:00,,,"LINESTRING (158668.6090000011 579584.813000001, 148688.813000001 574715.438000001)"
vlieglijnen_vliestr_2010.75,11140.70019531,vliestroom_73,337,-357.5,2010-06-22T00:00:00,,,"LINESTRING (159462.938000001 579640.438000001, 149471.2969999984 574712.75)"
vlieglijnen_vliestr_2010.76,10550.20019531,vliestroom_74,416.4,-323.9,2010-06-22T00:00:00,,,"LINESTRING (149100.6559999995 574057.5, 158505.7969999984 578837.625)"
vlieglijnen_vliestr_2010.77,2270.5300293,vliestroom_75,365.6,-363.4,2010-07-01T00:00:00,,,"LINESTRING (158483.4059999995 578478.375, 156588.8440000005 577227)"
vlieglijnen_vliestr_2010.78,3504.87011719,vliestroom_76,399,-347.4,2010-07-01T00:00:00,,,"LINESTRING (155973.5159999989 576640.625, 159026.5469999984 578362)"
vlieglijnen_vliestr_2010.79,8521.66992188,vliestroom_77,296.4,-367.8,2010-07-01T00:00:00,,,"LINESTRING (159071.2969999984 577960.875, 151531.563000001 573989.563000001)"
vlieglijnen_vliestr_2010.80,3597.55004883,vliestroom_78,345.5,-346.2,2010-07-01T00:00:00,,,"LINESTRING (159406.7030000016 577781.375, 156180.1719999984 576190.188000001)"
vlieglijnen_vliestr_2010.81,2228.04003906,vliestroom_79,323,-350.8,2010-07-01T00:00:00,,,"LINESTRING (158410.813000001 576868.625, 156396.5469999984 575916.313000001)"
vlieglijnen_vliestr_2010.82,3950.20996094,vliestroom_80,347.4,-361,2010-07-01T00:00:00,,,"LINESTRING (160003.1559999995 577361.125, 156483.9530000016 575566.875)"
vlieglijnen_vliestr_2010.83,2336.61010742,vliestroom_81,348.3,-364.4,2010-07-01T00:00:00,,,"LINESTRING (158553.9840000011 576275.688000001, 156500.7030000016 575160.438000001)"
vlieglijnen_vliestr_2010.84,3716.94995117,vliestroom_82,347.6,-364.1,2010-07-01T00:00:00,,,"LINESTRING (159725.5159999989 576499.125, 156427.7969999984 574784.25)"
