Leveranciersnaam;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Alewijnse Nijmegen B.V.;;6;;;;6
Alfen B.V.;;;;;6;6
Algemeen Pensioenfonds;;;;;4;4
All2Design B.V.;;;;;2;2
Allekante B.V.;;1;;;;1
Allfence;;1;;;;1
ALLIANDER;;;2;;;2
ALLSAFE MINI OPSLAG;;1;;;;1
Allsafe Mini Opslag Breda B.V.;;;;;4;4
Allsorb Air Filter B.V.;;2;;;;2
Alltech Gas Solutions B.V.;;1;;;;1
ALM Afbouwgroep;;1;;;;1
Almere Tours;;1;;;;1
Alp Lift B.V.;;1;;;;1
Alphaplan B.V.;;2;;;;2
Alphatron Security Systems B.V.;;;;;5;5
Alsta B.V.;;1;;;;1
Altavilla B.V.;;3;;;1;3
Altena Services B.V.;;4;;;;4
Alup Grassair Kompressoren B.V.;;1;;;;1
Alvero Kantoormeubelverhuur B.V.;;1;;;;1
AM B.V.;;1;;;;1
Ambius B.V.;;1;;;;1
AME Support;;;;;1;1
Amenddak;;1;;;;1
AML B.V.;;3;;;;3
Amutron B.V.;;4;;;4;4
Anglican Church The Bottom, Saba;;;;;1;1
Anoniem 10;;5;;;;5
Anoniem 100;;1;;;;1
Anoniem 101;;1;;;;1
Anoniem 106;;;;;1;1
Anoniem 107;;1;;;;1
Anoniem 109;;2;;;;2
Anoniem 11;;4;;;;4
Anoniem 113;;5;;;;5
Anoniem 115;;3;;;;3
Anoniem 116;;1;;;;1
Anoniem 118;;1;;;;1
Anoniem 127;;1;;;;1
Anoniem 129;;2;;;;2
Anoniem 13;;2;;;;2
Anoniem 132;;2;;;;2
Anoniem 138;;5;;;2;5
Anoniem 139;;;;;2;2
Anoniem 141;;4;;;;4
Anoniem 152;;1;;;;1
Anoniem 156;;2;;;;2
Anoniem 161;;2;;;;2
Anoniem 162;;2;;;;2
Anoniem 163;;5;;;7;7
Anoniem 165;;;;;9;9
Anoniem 166;;2;;;;2
Anoniem 167;;3;;;;3
Anoniem 173;;;2;;3;4
Anoniem 174;;3;;;;3
Anoniem 175;;1;;;;1
Anoniem 182;;6;;;;6
Anoniem 186;;1;;;;1
Anoniem 187;;;;;2;2
Anoniem 214;;7;;;7;7
Anoniem 216;;2;;;;2
Anoniem 219;;2;;;;2
Anoniem 220;;1;;;;1
Anoniem 221;;2;;;;2
Anoniem 224;;1;;;;1
Anoniem 225;;1;;;;1
Anoniem 238;;2;;;;2
Anoniem 24;;4;;;2;4
Anoniem 240;;6;;;;6
Anoniem 241;;1;;;;1
Anoniem 246;;;;;1;1
Anoniem 247;;;;;1;1
Anoniem 25;;;;;2;2
Anoniem 250;;2;;;;2
Anoniem 258;;1;;;;1
Anoniem 260;;2;;;;2
Anoniem 261;;3;;;;3
Anoniem 263;;;;;1;1
Anoniem 264;;1;;;;1
Anoniem 266;;1;;;;1
Anoniem 270;;;;;1;1
Anoniem 271;;1;;;;1
Anoniem 274;;;;;1;1
Anoniem 277;;4;;;;4
Anoniem 281;;2;;;;2
Anoniem 283;;;;;2;2
Anoniem 289;;1;;;;1
Anoniem 29;;1;;;;1
Anoniem 293;;1;;;;1
Anoniem 295;;2;;;;2
Anoniem 300;;;;;2;2
Anoniem 302;;1;;;;1
Anoniem 303;;6;;;;6
Anoniem 304;;2;;;;2
Anoniem 313;;4;;;;4
Anoniem 316;;2;;;;2
Anoniem 32;;;;;2;2
Anoniem 324;;;2;;;2
Anoniem 325;;1;;;;1
Anoniem 327;;1;;;;1
Anoniem 331;;3;;;;3
Anoniem 333;;;;;4;4
Anoniem 338;;1;;;;1
Anoniem 339;;;;;1;1
Anoniem 345;;;1;;1;1
Anoniem 348;;2;;;;2
Anoniem 349;;1;;;;1
Anoniem 35;;;;;4;4
Anoniem 357;;2;;;;2
Anoniem 365;;1;;;;1
Anoniem 37;;1;;;;1
Anoniem 374;;8;;;;8
Anoniem 38;;2;;;;2
Anoniem 385;;1;;;;1
Anoniem 386;;;;;2;2
Anoniem 389;;3;;;;3
Anoniem 404;;1;;;1;2
Anoniem 407;;7;;;;7
Anoniem 410;;1;;;;1
Anoniem 414;;2;;;;2
Anoniem 415;;;;;1;1
Anoniem 418;;1;;;;1
Anoniem 425;;;;;2;2
Anoniem 426;;9;;;4;9
Anoniem 429;;;2;;2;2
Anoniem 432;;1;;;;1
Anoniem 433;;1;;;;1
Anoniem 435;;5;;;6;6
Anoniem 438;;4;;;;4
Anoniem 44;;1;;1;;1
Anoniem 440;;1;;;;1
Anoniem 445;;3;;;;3
Anoniem 448;;5;;;;5
Anoniem 45;;7;;;;7
Anoniem 450;;1;;;;1
Anoniem 455;;6;;;;6
Anoniem 457;;2;;;;2
Anoniem 459;;1;;;;1
Anoniem 46;;5;;;;5
Anoniem 467;;5;;;;5
Anoniem 47;;;;;2;2
Anoniem 472;;;2;;4;4
Anoniem 473;;1;;;;1
Anoniem 476;;1;;;;1
Anoniem 479;;2;;;;2
Anoniem 48;;1;;;;1
Anoniem 484;;1;;;;1
Anoniem 485;;1;;;;1
Anoniem 488;;1;;;;1
Anoniem 49;;1;;;;1
Anoniem 494;;1;;;;1
Anoniem 50;;1;;;;1
Anoniem 502;;;1;;4;4
Anoniem 503;;2;;;;2
Anoniem 504;;1;;;;1
Anoniem 506;;1;;;;1
Anoniem 507;;2;;;;2
Anoniem 51;;5;;;;5
Anoniem 514;;1;;;;1
Anoniem 52;;2;;;;2
Anoniem 53;;2;;;;2
Anoniem 531;;2;;;;2
Anoniem 532;;1;;;;1
Anoniem 533;;;;;3;3
Anoniem 539;;1;;;;1
Anoniem 54;;1;;;;1
Anoniem 540;;;;;1;1
Anoniem 546;;1;;;2;2
Anoniem 549;;2;;;;2
Anoniem 55;;6;;;;6
Anoniem 551;;;2;;5;6
Anoniem 558;;3;;;;3
Anoniem 56;;1;;;;1
Anoniem 560;;1;;;;1
Anoniem 57;;4;;;6;6
Anoniem 570;;;;;2;2
Anoniem 577;;1;;;;1
Anoniem 578;;1;;;;1
Anoniem 58;;2;;;;2
Anoniem 580;;;;;2;2
Anoniem 584;;1;;;;1
Anoniem 588;;;;;1;1
Anoniem 59;;2;;;;2
Anoniem 593;;1;;;1;1
Anoniem 597;;2;;;;2
Anoniem 600;;2;;;;2
Anoniem 602;;;;;2;2
Anoniem 606;;1;;;;1
Anoniem 614;;1;;;;1
Anoniem 618;;1;;;;1
Anoniem 619;;;;;1;1
Anoniem 621;;7;;;;7
Anoniem 622;;2;;;;2
Anoniem 624;;2;;;;2
Anoniem 64;;3;;;;3
Anoniem 644;;7;;;7;8
Anoniem 654;;2;;;;2
Anoniem 655;;1;;;;1
Anoniem 66;;1;;;;1
Anoniem 67;;2;;;;2
Anoniem 674;;1;;;;1
Anoniem 678;;1;;;;1
Anoniem 68;;1;;;;1
Anoniem 683;;;1;;2;2
Anoniem 688;;2;;;;2
Anoniem 690;;9;;;3;9
Anoniem 696;;1;;;;1
Anoniem 702;;;1;;2;2
Anoniem 703;;5;;;;5
Anoniem 71;;;;;2;2
Anoniem 711;;2;;;;2
Anoniem 713;;2;2;;;2
Anoniem 714;;1;;;;1
Anoniem 717;;1;;;;1
Anoniem 718;;1;;;;1
Anoniem 720;;1;;;;1
Anoniem 722;;;;;5;5
Anoniem 723;;1;;;;1
Anoniem 727;;1;;;;1
Anoniem 732;;;;;2;2
Anoniem 736;;1;;;;1
Anoniem 745;;5;;;;5
Anoniem 757;;1;;;;1
Anoniem 76;;;;;2;2
Anoniem 760;;1;;;;1
Anoniem 763;;;2;;7;7
Anoniem 770;;1;;;;1
Anoniem 772;;;3;;6;6
Anoniem 773;;2;;;;2
Anoniem 780;;1;;;;1
Anoniem 787;;1;;;;1
Anoniem 788;;2;;;;2
Anoniem 791;;6;;;2;6
Anoniem 792;;1;;;;1
Anoniem 794;;;;;2;2
Anoniem 795;;1;;;3;3
Anoniem 798;;3;;;;3
Anoniem 80;;2;;;;2
Anoniem 801;;;;;1;1
Anoniem 802;;2;;;8;8
Anoniem 809;;3;;;;3
Anoniem 810;;2;;;;2
Anoniem 811;;1;;;;1
Anoniem 812;;1;;;;1
Anoniem 813;;1;;;;1
Anoniem 815;;1;;;2;2
Anoniem 816;;1;;;;1
Anoniem 82;;1;;;;1
Anoniem 824;;;;;5;5
Anoniem 828;;1;;;;1
Anoniem 83;;3;;;;3
Anoniem 831;;;;;1;1
Anoniem 835;;;4;;7;7
Anoniem 840;;1;;;1;1
Anoniem 841;;4;;;;4
Anoniem 85;;2;;;;2
Anoniem 857;;2;;;;2
Anoniem 858;;2;;;;2
Anoniem 859;;2;;;;2
Anoniem 860;;2;;;;2
Anoniem 861;;1;;;;1
Anoniem 862;;;;;7;7
Anoniem 863;;;;;2;2
Anoniem 864;;2;;;;2
Anoniem 865;;5;;;;5
Anoniem 866;;2;;;;2
Anoniem 96;;2;;;;2
Ansho;;1;;;;1
Ansul Brandbeveiliging;;1;;;;1
Antea Nederland B.V.;;5;;;;5
antOons;;1;;;;1
AnylinQ B.V.;;4;;;;4
APF International;;;;;5;5
APO IMMO KAP INZ.ZKN;;;4;;5;5
Appel Bouw B.V.;;1;;;;1
Aprisco B.V.;;;1;;4;4
Aprisco II B.V.;;;1;;;1
Aprisco Retail Parks B.V.;;;2;;6;6
Aqua Assistance B.V.;;3;;;;3
Aquaco B.V.;;1;;;;1
Aquastyle;;1;;;;1
AquaVisie;;1;;;;1
Arcadis;;4;;;;4
ARCADIS Nederland;;5;;;;5
Archisign;;1;;;;1
Archisupport B.V.;;2;;;;2
Architechniek;;1;;;;1
Architecten aan de Maas B.V.;;2;;;;2
Architectenbureau Cepezed B.V.;;4;;;;4
Architectenbureau JAN;;1;;;;1
Architectuur Instituut Rotterdam (AIR) Stichting;;1;;;;1
Architektenburo Veldman Rietbroek Smit B.V.;;2;;;;2
Archivolt Architecten B.V.;;2;;;;2
Arets-Ergonomie B.V.;;;;;2;2
Aries B.V.;;1;;;;1
Armaex B.V.;;2;;;;2
Artas Beheer B.V.;;1;;;;1
Articon;;2;;;1;2
Artiestenverloningen B.V.;;1;;;;1
Artikraak;;1;;;;1
Artju Holding B.V.;;1;;;;1
Arttenders B.V.;;2;;;;2
ARTTRA Cultureel Organisatiebureau;;1;;;;1
Arup B.V.;;6;;;;6
ASA International N.V.;;;;;1;1
ASB Security B.V.;;2;;;;2
Asbest Assist B.V.;;2;;;;2
Asbestbureau B.V.;;1;;;;1
Asbestverwijdering Amstelland B.V.;;2;;;;2
Asbestverwijdering Flory B.V.;;1;;;1;2
Asbreuk Service B.V.;;2;;;;2
A-scape;;2;;;;2
Ascoma;;1;;;;1
Asiaquest Ventures Holding N.V.;;;;;4;4
ASR Dutch Mobility Office Custodian B.V.;;;;;4;4
ASR Dutch Mobility Office Fund;;;3;;;3
ASR Levensverzekering N.V.;;;4;;6;6
ASSA ABLOY Entrance Systems;;3;;;;3
Assa Abloy Ned B.V.;;2;;;1;2
Assist Explore B.V.;;2;;;;2
Asta Advies;;4;;;;4
Atelier Jurjen Creman;;1;;;;1
AtoomClub Amsterdam A10 B.V.;;;;;3;3
Atoomclub Management B.V.;;;;;2;2
ATS Tanner Banding Systems B.V.;;4;;;2;4
Autarkis B.V.;;2;;;;2
Automatic Signal Rijsenhout B.V.;;4;;;;4
Automotive Publishing B.V.;;1;;;;1
Auxilium B.V.;;1;;;;1
AVG Milieutechniek Heijen BV;;1;;;;1
Axess BV;;1;;;;1
Axis Holding B.V.;;;;;4;4
B & C Milieuconsultancy B.V.;;2;;;;2
B&G Hekwerk B.V.;;1;;;;1
B&S Vastgoed Nederland N.V.;;;5;;7;7
B.V. Architectenbureau Cees Dam;;2;;;;2
B.V. Bouwbedrijf Breumelhof;;2;;;4;5
B.V. Exploitatie Reservegronden Flevoland;;1;;;;1
B.V. Handel- en Exploitatiemij. Ruygrok;;;;;2;2
B.V. Mij. Onr. Goed. 'Het Middenstandshuis';;;;;4;4
B.V. Ned. Instrumenten Compagnie 'Nedinsco';;;;;2;2
B.V. Ondernemingshuis Kantorenpark Sittard;;;1;;1;1
B.V. Sport;;;;;1;1
B.V. Technisch Bureau Jacot;;2;;;;2
B.V. Technisch Bureau 'Massier';;6;;;;6
B2 Projecten B.V.;;3;;;;3
Badminton Combinatie Zeeland;;1;;;;1
Baggerbedrijf De Boer;;6;;;;6
Baggerbedrijf West Friesland B.V.;;6;;;;6
Bakker & Bakker Vastgoed;;;2;;2;2
Ballast Nedam Infra B.V.;;1;;;;1
Ballast Nedam Infra Midden;;;;;2;2
Balmoral Int. Land Property Holdings B.V.;;2;;;;2
BAM Bouw en Techniek B.V.;;12;;;;12
BAM Bouw en Techniek Grote Projecten;;5;;;;5
BAM Bouw en Techniek regio Zuidwest;;5;;;;5
BAM Infra B.V.;;4;;;;4
BAM Infra Energie & Water Zuid B.V.;;;;;3;3
BAM Infra Rail B.V.;;4;;;3;4
BAM Infra Regionaal B.V.;;3;;;;3
BAM Infra Regionaal Helmond;;4;;;4;5
BAM Infra Telecom B.V.;;2;;;;2
BAM Techniek;;1;;;;1
Banens B.V.;;;;;2;2
Banens totaaltechniek B.V.;;1;;;;1
Barbara Schoonhoven Restauratie en Onderzoek van Schilderijen;;1;;;;1
Bartels Ingenieursbureau;;2;;;;2
Barth Installatietechniek B.V.;;2;;;;2
Basalt Bouwadvies B.V.;;4;;;;4
Basalt Wegenbouw B.V.;;2;;;5;5
Base Consultancy B.V.;;2;;;;2
Base Projecten B.V.;;2;;;;2
Basis B.V.;;4;;;;4
Bastion Zuid B.V.;;;;;7;7
BAYERNFONDS IMMOBILIENVERWALTUNG GMBH & CO. OBJECT HOLLAND 2 KG;;;6;;8;8
Bayernfonds Immobilienverwaltung GMBH&Co object Holland 1 KG;;5;7;;8;9
BBA Binnenmilieu B.V.;;3;;;;3
BBC Bouwmanagement B.V.;;2;;;;2
bbn adviseurs;;2;;;;2
BCN Groep;;2;;;;2
bct architecten, ingenieurs en adviseurs B.V.;;4;;;;4
BDA Dak- en Geveladvies B.V.;;4;;;;4
BDG Architecten Ingenieurs Zwolle B.V.;;2;;;;2
BDZ4Eurojust;;5;;;;5
Beelen Nederland B.V.;;1;;;;1
Beelen Sloopwerken B.V.;;4;;;;4
Beerstra Installatietechniek;;1;;;;1
Beheer en Onderhoud IOB BV;;2;;;;2
Beheer Kaya Grandi Stichting;;;;;5;5
Beheer Stadhuisplein C.V.;;;;;6;6
Beheeraccent;;2;;;;2
Beheersmaatschappij Hegeman Nijverdal B.V.;;;;;6;6
Bejan Bouw & BetonTechniek B.V.;;1;;;;1
BeKaZet Vastgoed B.V.;;;;;4;4
Belgisch BiercafÃƒÂ© Olivier B.V.;;1;;;;1
Ben van Schoor BV;;;;;2;2
Berci Florian Beheer B.V.;;1;;;;1
Bergh Zorgt;;1;;;;1
Berki Brandbeveiliging B.V.;;4;;;;4
Bernadottelaan C.V.;;;;;6;6
Best Building Service B.V.;;2;;;;2
Best Drinks B.V.;;1;;;;1
Best Value Group B.V.;;2;;;;2
Betamac B.V.;;2;;;;2
Beuk Touringcars;;1;;;;1
Beukenstein;;;;;4;4
Beveco Gebouwautomatisering B.V.;;3;;;;3
Bewaarder Vastgoed Maatschap APF II Stichting;;;2;;;2
bGrid B.V.;;1;;;;1
Bierman Henket architecten B.V.;;6;;;;6
Biga groep;;;;;2;2
Bijlsma Hijs- en Heftechniek Joure B.V.;;1;;;;1
Bilfinger Tebodin Netherlands B.V.;;;;;1;1
Bioclear earth B.V.;;;;;2;2
Biolab Research & Solutions B.V.;;2;;;;2
Bizinline B.V.;;1;;;;1
BJ projectmanagement B.V.;;1;;;;1
BK Ingenieurs B.V.;;3;;;3;4
Blenchi Adviesbureau;;1;;;;1
Bliksembeveiliging Mulhuijzen B.V.;;2;;;;2
Bliksembeveiliging Mulhuyzen B.V.;;1;;;;1
Bloemsierkunst Futura;;1;;;;1
Blomsma Safety Components B.V.;;1;;;;1
Blonk Advies B.V.;;1;;;;1
Blygold Nederland B.V.;;2;;;;2
Blygold Schiphol B.V.;;4;;;;4
BNP Paribas Leasing Solutions N.V.;;;;;6;6
Boag B.V.;;4;;;;4
Bobeja Bonaire B.V.;;;;;5;5
Bodac B.V.;;2;;;2;2
Bodem Belang B.V.;;1;;;;1
BOdG Ruimtelijk Advies B.V.;;2;;;;2
Boekweit Vastgoed Beheer B.V.;;;;;3;3
Boels Verhuur Zaandam;;1;;;;1
Bokali B.V.;;1;;;;1
Bokelweg B.V.;;;1;;;1
Bolidt Kunststoftoepassing B.V.;;1;;;2;2
Bolman Cleaning Services B.V.;;2;;;;2
Bombs Away B.V.;;2;;;;2
Bonaire werf- en Jachhaven N.V. harbor village marina;;;;;2;2
Booms & Kuipers technisch adviesbureau B.V.;;2;;;;2
Boon Edam B.V.;;2;;;;2
Boon Edam Nederland B.V.;;1;;;;1
Boon Landmeten & Hydrografie B.V.;;1;;;;1
BOOT organiserend ingenieursburo B.V.;;5;;;;5
Bordewijk Advies B.V.;;1;;;;1
Borrenbergs Bouwbedrijf B.V.;;8;;;2;8
Bos;;5;;;;5
Bos Tuingereedschappen;;3;;;;3
Bosch Security Systems B.V.;;1;;;;1
Bosch Sicherheitssysteme GmbH;;1;;;;1
Bosch Thermotechniek B.V.;;1;;;;1
Bosland Adviesbureau;;2;;;;2
Boti;;3;;;;3
Botterweck B.V.;;3;;;2;3
bouAd adviesgroep;;3;;;;3
Bouter B.V.;;7;;;;7
Bouw- en Aannemingsbedrijf Ooijevaar B.V.;;6;;;;6
Bouw- en Restauratieadviesburo Holtzer;;3;;;;3
Bouwbedrijf aan de Stegge Twello B.V.;;4;;;;4
Bouwbedrijf Buiteveld B.V.;;2;;;;2
Bouwbedrijf De Boer B.V.;;2;;;;2
Bouwbedrijf 'De Delta' B.V.;;2;;;;2
Bouwbedrijf De Zwart B.V.;;6;;;;6
Bouwbedrijf Kreeft B.V.;;7;;;7;7
Bouwbedrijf Lammersen B.V.;;3;;;;3
Bouwbedrijf Meliskerke B.V.;;4;;;;4
Bouwbedrijf Pennings B.V.;;7;;;;7
Bouwbedrijf Van der Kolk Emmeloord B.V.;;2;;;;2
Bouwbedrijf Van der Spek B.V.;;6;;;;6
Bouwbedrijf Van Grunsven B.V.;;;;;2;2
Bouwbedrijf van Laar B.V.;;1;;;;1
Bouwbedrijf van Norel B.V.;;7;;;;7
Bouwbedrijf Van Rijn Houten B.V.;;2;;;;2
Bouwburo Vitruvius B.V.;;2;;;;2
Bouwcomb. Dura Vermeer Trebbe Gerechtsg. VOF;;7;;;;7
Bouwinvest Dutch Institutional Office Fund NV;;;7;;8;9
Bouwkundig Bureau Oudewaal;;3;;;;3
Bouwmaatschappij Bonaire B.V.;;8;;;;8
Bouwonderneming Jager B.V.;;4;;;;4
Bouwonderneming Stout B.V.;;9;;;;9
Bouwstart;;2;;;;2
Bouwstudio PelserHartman B.V.;;2;;;;2
Bowling Scheveningen B.V.;;1;;;;1
BPD Ontwikkeling B.V.;;1;;;;1
BPF Onroer. Goed Lease en Financieringen B.V.;;;2;;;2
Brabant Water N.V.;;2;2;;1;3
Brabantse Montage Dakbedekkingen B.V.;;3;;;;3
Brain of buildings high-security B.V.;;4;;;;4
Brain of buildings tech-engineering B.V.;;4;;;;4
Brakel Atmos B.V.;;1;;;;1
Brand Compartimentering en Afdichtingen B.V.;;4;;;;4
Brand Nederland B.V. Technisch Bureau;;1;;;;1
Brands Holding B.V.;;1;;;;1
Brandsma Dakservice;;5;;;3;5
BRAND-VEILIG TOTAALAANPAK B.V.;;1;;;;1
Brasserie de Houtrib;;1;;;;1
Brayé Stallenreiniging;;1;;;;1
Breda Bouw B.V.;;4;;;7;7
Breedveld & Schroder;;5;;;;5
Breijer Contractonderhoud B.V.;;9;;;1;9
Breijer Glas B.V.;;1;;;;1
Breijer Projecten B.V.;;2;;;;2
Breman Kloekke Elektrotechniek B.V.;;2;;;;2
Breman Meppel B.V.;;3;;;;3
Breur IJzerhandel Vlietlaan B.V.;;4;;;;4
BRI Klimaattechniek BV;;4;;;;4
Bright Property Management B.V.;;;;;6;6
Brink Groep B.V.;;2;;;;2
Brink Management & Advies B.V.;;7;;;;7
Brinkel & Janssen Vastgoed Holding B.V.;;;3;;5;6
Brix Groep B.V.;;4;;;;4
Brondool B.V.;;2;;;;2
Bronnenberg bv;;1;;;;1
Brug8 B.V.;;1;;;;1
Bruijs en Streep restauratie;;2;;;;2
Bruil Infra Deelnemingen B.V.;;;;;6;6
Bruynzeel Home Products B.V.;;1;;;;1
BRUYNZEEL STORAGE SYSTEMS;;1;;;;1
Bsign mooi houtwerk;;2;;;;2
BTL Realisatie B.V.;;7;;;;7
BTS;;1;;;;1
BTS Uitgeest B.V.;;2;;;;2
BUILDINGDOCTER.EU SERVICES;;1;;;;1
BuildingLabel Projects B.V.;;1;;;;1
Buiting Advies B.V.;;1;;;;1
Buko Infrasupport;;2;;;;2
Buko Verhuur B.V.;;4;;;;4
Bulldozerbedrijf J. van Lingen;;4;;;;4
Bun Projectontwikkeling B.V.;;1;;;;1
Bur. v. Bouwhist. Ond. & Rest. K.C. v.d. Ende;;4;;;;4
Bureau De wit B.V.;;1;;;;1
Bureau G.I.T.;;1;;;;1
Bureau Meervelt;;;;;1;1
Bureau Verbeek;;;;;2;2
Bureau Vlaardingerbroek B.V.;;1;;;;1
Bureau voor bouwhistorisch onderzoek;;1;;;;1
BUREAU VOOR BOUWHISTORISCH ONDERZOEK EN RESTAURATIE F. FRANKEN;;2;;;;2
Bureau voor Overheidscommunicatie B.V.;;2;;;;2
Bureau Waardenburg B.V.;;1;;;;1
bureau ZWIRT;;2;;;;2
Burgland Bouw B.V.;;4;;;;4
Burgy Bouwbedrijf B.V.;;7;;;;7
Buro Antares;;;;;4;4
Buro Bakker;;;;;1;1
Buro Bentheimer;;1;;;;1
Buro DSB zorg voor buitenkunst;;1;;;;1
Buro Vloeradvies B.V.;;1;;;;1
BURO38;;1;;;;1
BUSS IMMOBILIENFONDS HOLLAND 1 GMBH & CO. KG;;;5;;7;7
Buster Bouwcontrol B.V.;;3;;;;3
Buveco Gasdetection B.V.;;2;;;;2
B-Vak;;1;;;;1
BViT Noordwijk;;1;;;;1
C.V. RRE Bokelweg;;;1;;3;3
C.V. Vastgoed Paterswoldseweg 814;;;3;;6;6
C2N B.V.;;3;;;;3
Cafe/Restaurant De Eeuwige Jachtvelden;;1;;;;1
Cafe/Restaurant Schlemmer;;1;;;;1
CAG;;4;;;;4
CAG AMned B.V.;;2;;;;2
Capriole Coffee Service;;1;;;;1
CarBon6 B.V.;;1;5;;7;7
CARIBBEAN ENGINEERING & CONSULTANCY COMPANY;;2;;;;2
Carlton Beach Club;;1;;;;1
Caro Beheer B.V.;;1;;;;1
Carrier Airconditioning Benelux B.V.;;1;;;;1
Castor (Orion) B.V.;;2;;;4;4
Catec B.V.;;1;;;;1
CBRE B.V.;;3;;;;3
CBRE DOF Custodian B.V.;;;6;;7;7
CBRE DRES Custodian II B.V.;;;;;4;4
CDR Vastgoed B.V.;;;2;;4;4
Cedric;;2;;;;2
Cegelec B.V.;;1;;;;1
Centraal Bureau Bouwbegeleiding B.V.;;4;;;;4
CENTURIO B.V.;;1;;;;1
CertiQ B.V.;;2;;;;2
CertWell B.V.;;1;;;;1
Chalet V B.V.;;;3;;6;6
Chalet X B.V.;;;6;;6;7
Chalet XV B.V.;;;4;;5;6
Charelli B.V.;;1;;;;1
Chelle B.V.;;1;;;;1
Christalessa Pensioenfonds Steven Gibbs Stichting;;;;;3;3
Chubb Fire & Security B.V.;1;6;;;3;6
Chubb Fire & Security Groningen;;2;;;;2
Churchill Tower I B.V.;;;;;7;7
Ciat Nederland B.V.;;1;;;;1
Cie. Assist B.V.;;2;;;;2
