Kenteken,Soort erkenning keuringsinstantie,Meld datum door keuringsinstantie,Meld tijd door keuringsinstantie,Gebrek identificatie,Soort erkenning omschrijving,Aantal gebreken geconstateerd,Meld datum door keuringsinstantie DT
0013ZZ,AZ,20220321,1518,AC4,APK Zware voertuigen,1,03/21/2022 03:18:00 PM
0014ZZ,AZ,20201224,947,270,APK Zware voertuigen,1,12/24/2020 09:47:00 AM
0014ZZ,AZ,20201224,947,587,APK Zware voertuigen,1,12/24/2020 09:47:00 AM
0014ZZ,AZ,20211229,947,203,APK Zware voertuigen,3,12/29/2021 09:47:00 AM
0014ZZ,AZ,20211229,947,265,APK Zware voertuigen,1,12/29/2021 09:47:00 AM
0014ZZ,AZ,20211229,947,589,APK Zware voertuigen,2,12/29/2021 09:47:00 AM
0014ZZ,AZ,20221230,930,197,APK Zware voertuigen,1,12/30/2022 09:30:00 AM
0014ZZ,AZ,20221230,930,203,APK Zware voertuigen,5,12/30/2022 09:30:00 AM
0014ZZ,AZ,20221230,930,589,APK Zware voertuigen,2,12/30/2022 09:30:00 AM
0014ZZ,AZ,20221230,930,979,APK Zware voertuigen,1,12/30/2022 09:30:00 AM
0015DG,AL,20200813,1336,RA2,APK Lichte voertuigen,1,08/13/2020 01:36:00 PM
0015PT,AL,20200814,1507,AC4,APK Lichte voertuigen,1,08/14/2020 03:07:00 PM
0015PT,AL,20200814,1507,RA2,APK Lichte voertuigen,1,08/14/2020 03:07:00 PM
0016NF,AL,20201120,1543,115,APK Lichte voertuigen,1,11/20/2020 03:43:00 PM
0016NF,AL,20201120,1543,203,APK Lichte voertuigen,1,11/20/2020 03:43:00 PM
0016NF,AL,20201120,1543,408,APK Lichte voertuigen,1,11/20/2020 03:43:00 PM
0021JK,AL,20200311,1236,AC4,APK Lichte voertuigen,1,03/11/2020 12:36:00 PM
0022XD,AL,20210422,1427,391,APK Lichte voertuigen,1,04/22/2021 02:27:00 PM
0022XD,AL,20210422,1427,393,APK Lichte voertuigen,1,04/22/2021 02:27:00 PM
0023JB,AL,20210924,1417,RA2,APK Lichte voertuigen,1,09/24/2021 02:17:00 PM
0023NF,AL,20200713,1002,210,APK Lichte voertuigen,1,07/13/2020 10:02:00 AM
0023NF,AL,20200713,1002,524,APK Lichte voertuigen,1,07/13/2020 10:02:00 AM
0023NF,AL,20200713,1002,RA2,APK Lichte voertuigen,1,07/13/2020 10:02:00 AM
0023PZ,AL,20200423,1034,314,APK Lichte voertuigen,2,04/23/2020 10:34:00 AM
0023PZ,AL,20200423,1034,507,APK Lichte voertuigen,1,04/23/2020 10:34:00 AM
0023PZ,AL,20200423,1034,RA2,APK Lichte voertuigen,1,04/23/2020 10:34:00 AM
0023TU,AL,20210401,1537,226,APK Lichte voertuigen,1,04/01/2021 03:37:00 PM
0023TU,AL,20210401,1537,250,APK Lichte voertuigen,1,04/01/2021 03:37:00 PM
0023TU,AL,20210401,1537,428,APK Lichte voertuigen,1,04/01/2021 03:37:00 PM
0023UR,AL,20220512,1131,507,APK Lichte voertuigen,1,05/12/2022 11:31:00 AM
0023ZZ,AZ,20210108,1140,AC4,APK Zware voertuigen,1,01/08/2021 11:40:00 AM
0023ZZ,AZ,20220426,1626,203,APK Zware voertuigen,1,04/26/2022 04:26:00 PM
0023ZZ,AZ,20220426,1626,205,APK Zware voertuigen,1,04/26/2022 04:26:00 PM
0023ZZ,AZ,20220426,1626,245,APK Zware voertuigen,1,04/26/2022 04:26:00 PM
0023ZZ,AZ,20220426,1626,250,APK Zware voertuigen,9,04/26/2022 04:26:00 PM
0023ZZ,AZ,20220426,1626,261,APK Zware voertuigen,2,04/26/2022 04:26:00 PM
0023ZZ,AZ,20220426,1626,270,APK Zware voertuigen,1,04/26/2022 04:26:00 PM
0023ZZ,AZ,20220426,1626,330,APK Zware voertuigen,2,04/26/2022 04:26:00 PM
0023ZZ,AZ,20220426,1626,470,APK Zware voertuigen,1,04/26/2022 04:26:00 PM
0023ZZ,AZ,20220426,1626,AC4,APK Zware voertuigen,1,04/26/2022 04:26:00 PM
0025XM,AL,20200615,1059,388,APK Lichte voertuigen,1,06/15/2020 10:59:00 AM
0025XM,AL,20200615,1059,497,APK Lichte voertuigen,1,06/15/2020 10:59:00 AM
0025XM,AL,20200615,1059,520,APK Lichte voertuigen,1,06/15/2020 10:59:00 AM
0025XM,AL,20220624,1626,250,APK Lichte voertuigen,1,06/24/2022 04:26:00 PM
0025XM,AL,20220624,1626,392,APK Lichte voertuigen,1,06/24/2022 04:26:00 PM
0025XM,AL,20220624,1626,516,APK Lichte voertuigen,1,06/24/2022 04:26:00 PM
0025ZL,AL,20210308,1613,361,APK Lichte voertuigen,1,03/08/2021 04:13:00 PM
0026JB,AL,20210119,1221,AC4,APK Lichte voertuigen,1,01/19/2021 12:21:00 PM
0026JB,AL,20210119,1221,AC5,APK Lichte voertuigen,1,01/19/2021 12:21:00 PM
0026JB,AL,20210119,1221,RA2,APK Lichte voertuigen,1,01/19/2021 12:21:00 PM
0026JB,AL,20230119,1435,516,APK Lichte voertuigen,1,01/19/2023 02:35:00 PM
0026JB,AL,20230119,1435,AC4,APK Lichte voertuigen,1,01/19/2023 02:35:00 PM
0026JB,AL,20230119,1435,RA2,APK Lichte voertuigen,1,01/19/2023 02:35:00 PM
0026NR,AL,20201016,1052,RA2,APK Lichte voertuigen,1,10/16/2020 10:52:00 AM
0026PS,AL,20200323,1604,RA2,APK Lichte voertuigen,1,03/23/2020 04:04:00 PM
0026VM,AL,20210113,955,115,APK Lichte voertuigen,1,01/13/2021 09:55:00 AM
0026VM,AL,20210113,955,145,APK Lichte voertuigen,1,01/13/2021 09:55:00 AM
0026VM,AL,20210113,955,181,APK Lichte voertuigen,1,01/13/2021 09:55:00 AM
0026VM,AL,20210118,1616,115,APK Lichte voertuigen,1,01/18/2021 04:16:00 PM
0026VM,AL,20210118,1616,145,APK Lichte voertuigen,1,01/18/2021 04:16:00 PM
0026VM,AL,20210118,1616,181,APK Lichte voertuigen,1,01/18/2021 04:16:00 PM
0026VM,AL,20210118,1616,287,APK Lichte voertuigen,1,01/18/2021 04:16:00 PM
0026VM,AL,20210118,1616,392,APK Lichte voertuigen,1,01/18/2021 04:16:00 PM
0026ZZ,AZ,20200805,1315,AC4,APK Zware voertuigen,1,08/05/2020 01:15:00 PM
0026ZZ,AZ,20210413,846,540,APK Zware voertuigen,1,04/13/2021 08:46:00 AM
0026ZZ,AZ,20210413,846,AC4,APK Zware voertuigen,1,04/13/2021 08:46:00 AM
0027FD,AL,20200622,1452,RA2,APK Lichte voertuigen,1,06/22/2020 02:52:00 PM
0027XM,AL,20200515,1633,036,APK Lichte voertuigen,1,05/15/2020 04:33:00 PM
0027XM,AL,20200515,1633,AC1,APK Lichte voertuigen,1,05/15/2020 04:33:00 PM
0027XM,AL,20220906,1349,186,APK Lichte voertuigen,1,09/06/2022 01:49:00 PM
0027XM,AL,20220906,1349,259,APK Lichte voertuigen,1,09/06/2022 01:49:00 PM
0027XM,AL,20220906,1349,516,APK Lichte voertuigen,1,09/06/2022 01:49:00 PM
0027XM,AL,20220906,1349,AC1,APK Lichte voertuigen,1,09/06/2022 01:49:00 PM
0027XM,AL,20220906,1349,RA2,APK Lichte voertuigen,1,09/06/2022 01:49:00 PM
0027ZZ,AZ,20210628,1236,AC4,APK Zware voertuigen,1,06/28/2021 12:36:00 PM
0028HL,AL,20201005,1533,AC1,APK Lichte voertuigen,1,10/05/2020 03:33:00 PM
0028HL,AL,20201005,1533,RA2,APK Lichte voertuigen,1,10/05/2020 03:33:00 PM
0028VR,AL,20210510,1001,190,APK Lichte voertuigen,1,05/10/2021 10:01:00 AM
0028VR,AL,20210510,1001,388,APK Lichte voertuigen,1,05/10/2021 10:01:00 AM
0028VR,AL,20210510,1001,RA2,APK Lichte voertuigen,1,05/10/2021 10:01:00 AM
0030ZZ,AZ,20210706,1058,AC4,APK Zware voertuigen,1,07/06/2021 10:58:00 AM
0033RB,AZ,20210203,1647,584,APK Zware voertuigen,1,02/03/2021 04:47:00 PM
0033RB,AZ,20220120,1658,571,APK Zware voertuigen,1,01/20/2022 04:58:00 PM
0033VG,AL,20210827,1417,178,APK Lichte voertuigen,1,08/27/2021 02:17:00 PM
0033VG,AL,20210827,1417,205,APK Lichte voertuigen,2,08/27/2021 02:17:00 PM
0033VG,AL,20210827,1417,391,APK Lichte voertuigen,1,08/27/2021 02:17:00 PM
0033VG,AL,20210827,1417,393,APK Lichte voertuigen,1,08/27/2021 02:17:00 PM
0033VG,AL,20210827,1417,516,APK Lichte voertuigen,1,08/27/2021 02:17:00 PM
0033VG,AL,20210827,1417,524,APK Lichte voertuigen,1,08/27/2021 02:17:00 PM
0033VG,AL,20210908,1445,178,APK Lichte voertuigen,1,09/08/2021 02:45:00 PM
0033VG,AL,20210908,1445,203,APK Lichte voertuigen,2,09/08/2021 02:45:00 PM
0033VG,AL,20210908,1445,391,APK Lichte voertuigen,1,09/08/2021 02:45:00 PM
0033VG,AL,20210908,1445,393,APK Lichte voertuigen,1,09/08/2021 02:45:00 PM
0033VG,AL,20210908,1445,516,APK Lichte voertuigen,1,09/08/2021 02:45:00 PM
0033VG,AL,20210908,1445,524,APK Lichte voertuigen,1,09/08/2021 02:45:00 PM
0034TR,AL,20200610,1459,210,APK Lichte voertuigen,4,06/10/2020 02:59:00 PM
0034TR,AL,20200610,1459,516,APK Lichte voertuigen,2,06/10/2020 02:59:00 PM
0034XA,AL,20220318,952,AC4,APK Lichte voertuigen,1,03/18/2022 09:52:00 AM
0034ZZ,AZ,20210105,839,067,APK Zware voertuigen,1,01/05/2021 08:39:00 AM
0034ZZ,AZ,20210105,839,545,APK Zware voertuigen,1,01/05/2021 08:39:00 AM
0034ZZ,AZ,20210105,839,588,APK Zware voertuigen,1,01/05/2021 08:39:00 AM
0034ZZ,AZ,20210105,839,999,APK Zware voertuigen,1,01/05/2021 08:39:00 AM
0034ZZ,AZ,20210105,839,AC4,APK Zware voertuigen,1,01/05/2021 08:39:00 AM
0034ZZ,AZ,20210105,1003,067,APK Zware voertuigen,1,01/05/2021 10:03:00 AM
0034ZZ,AZ,20210105,1003,544,APK Zware voertuigen,1,01/05/2021 10:03:00 AM
0034ZZ,AZ,20210105,1003,588,APK Zware voertuigen,1,01/05/2021 10:03:00 AM
0034ZZ,AZ,20210105,1003,AC4,APK Zware voertuigen,1,01/05/2021 10:03:00 AM
0034ZZ,AZ,20220523,1030,270,APK Zware voertuigen,1,05/23/2022 10:30:00 AM
0034ZZ,AZ,20220523,1030,351,APK Zware voertuigen,1,05/23/2022 10:30:00 AM
0034ZZ,AZ,20220523,1030,589,APK Zware voertuigen,1,05/23/2022 10:30:00 AM
0034ZZ,AZ,20220523,1030,AC4,APK Zware voertuigen,1,05/23/2022 10:30:00 AM
0035PL,AL,20200619,1148,RA2,APK Lichte voertuigen,1,06/19/2020 11:48:00 AM
0035ZV,AL,20201111,927,115,APK Lichte voertuigen,1,11/11/2020 09:27:00 AM
0035ZV,AL,20201111,927,145,APK Lichte voertuigen,1,11/11/2020 09:27:00 AM
0035ZV,AL,20201111,927,188,APK Lichte voertuigen,1,11/11/2020 09:27:00 AM
0035ZV,AL,20201111,927,210,APK Lichte voertuigen,1,11/11/2020 09:27:00 AM
0035ZV,AL,20201111,927,AC4,APK Lichte voertuigen,1,11/11/2020 09:27:00 AM
0036VX,AL,20210820,1653,289,APK Lichte voertuigen,1,08/20/2021 04:53:00 PM
0036VX,AL,20210820,1653,391,APK Lichte voertuigen,1,08/20/2021 04:53:00 PM
0036VX,AL,20210820,1653,516,APK Lichte voertuigen,1,08/20/2021 04:53:00 PM
0036VX,AL,20210820,1653,AC4,APK Lichte voertuigen,1,08/20/2021 04:53:00 PM
0036VX,AL,20210820,1653,RA2,APK Lichte voertuigen,1,08/20/2021 04:53:00 PM
0036ZJ,AL,20200518,1217,RA2,APK Lichte voertuigen,1,05/18/2020 12:17:00 PM
0036ZZ,AZ,20201126,1410,203,APK Zware voertuigen,3,11/26/2020 02:10:00 PM
0036ZZ,AZ,20201126,1410,205,APK Zware voertuigen,2,11/26/2020 02:10:00 PM
0036ZZ,AZ,20201126,1410,295,APK Zware voertuigen,1,11/26/2020 02:10:00 PM
0036ZZ,AZ,20201126,1410,542,APK Zware voertuigen,3,11/26/2020 02:10:00 PM
0036ZZ,AZ,20201126,1410,548,APK Zware voertuigen,2,11/26/2020 02:10:00 PM
0036ZZ,AZ,20201126,1410,589,APK Zware voertuigen,3,11/26/2020 02:10:00 PM
0036ZZ,AZ,20211228,1230,203,APK Zware voertuigen,1,12/28/2021 12:30:00 PM
0036ZZ,AZ,20211228,1230,270,APK Zware voertuigen,1,12/28/2021 12:30:00 PM
0036ZZ,AZ,20211228,1230,352,APK Zware voertuigen,1,12/28/2021 12:30:00 PM
0036ZZ,AZ,20211228,1230,584,APK Zware voertuigen,6,12/28/2021 12:30:00 PM
0036ZZ,AZ,20221018,1233,589,APK Zware voertuigen,4,10/18/2022 12:33:00 PM
0037ZZ,AZ,20201116,846,203,APK Zware voertuigen,7,11/16/2020 08:46:00 AM
0037ZZ,AZ,20201116,846,205,APK Zware voertuigen,1,11/16/2020 08:46:00 AM
0037ZZ,AZ,20201116,846,542,APK Zware voertuigen,1,11/16/2020 08:46:00 AM
0037ZZ,AZ,20221223,1329,AC4,APK Zware voertuigen,1,12/23/2022 01:29:00 PM
0038ZZ,AZ,20210112,951,270,APK Zware voertuigen,2,01/12/2021 09:51:00 AM
0039XX,AL,20201016,1220,188,APK Lichte voertuigen,1,10/16/2020 12:20:00 PM
0039XX,AL,20201016,1220,210,APK Lichte voertuigen,4,10/16/2020 12:20:00 PM
0039XX,AL,20201016,1220,AC1,APK Lichte voertuigen,1,10/16/2020 12:20:00 PM
0039XX,AL,20201016,1220,OP2,APK Lichte voertuigen,1,10/16/2020 12:20:00 PM
0039ZZ,AZ,20210108,1346,203,APK Zware voertuigen,3,01/08/2021 01:46:00 PM
0039ZZ,AZ,20210108,1346,270,APK Zware voertuigen,1,01/08/2021 01:46:00 PM
0039ZZ,AZ,20210108,1346,AC4,APK Zware voertuigen,1,01/08/2021 01:46:00 PM
0039ZZ,AZ,20220117,1305,203,APK Zware voertuigen,3,01/17/2022 01:05:00 PM
0039ZZ,AZ,20220117,1305,AC4,APK Zware voertuigen,1,01/17/2022 01:05:00 PM
0040SL,AL,20210218,1430,186,APK Lichte voertuigen,1,02/18/2021 02:30:00 PM
0040SL,AL,20210218,1430,250,APK Lichte voertuigen,1,02/18/2021 02:30:00 PM
0040SL,AL,20210218,1430,516,APK Lichte voertuigen,1,02/18/2021 02:30:00 PM
0040SL,AL,20210218,1430,524,APK Lichte voertuigen,1,02/18/2021 02:30:00 PM
0040SL,AL,20210218,1430,RA2,APK Lichte voertuigen,1,02/18/2021 02:30:00 PM
0040VN,AL,20220705,1107,210,APK Lichte voertuigen,1,07/05/2022 11:07:00 AM
0040VN,AL,20220705,1107,516,APK Lichte voertuigen,1,07/05/2022 11:07:00 AM
0042FE,AL,20200626,1050,RA2,APK Lichte voertuigen,1,06/26/2020 10:50:00 AM
0043AT,AL,20201020,1530,115,APK Lichte voertuigen,1,10/20/2020 03:30:00 PM
0043AT,AL,20201020,1530,210,APK Lichte voertuigen,4,10/20/2020 03:30:00 PM
0043AT,AL,20201020,1530,297,APK Lichte voertuigen,2,10/20/2020 03:30:00 PM
0043AT,AL,20201020,1530,516,APK Lichte voertuigen,2,10/20/2020 03:30:00 PM
0043AT,AL,20201020,1530,556,APK Lichte voertuigen,1,10/20/2020 03:30:00 PM
0043AT,AL,20201020,1530,571,APK Lichte voertuigen,1,10/20/2020 03:30:00 PM
0045NE,AL,20200512,1638,556,APK Lichte voertuigen,2,05/12/2020 04:38:00 PM
0045UE,AL,20210729,1006,AC2,APK Lichte voertuigen,1,07/29/2021 10:06:00 AM
0045UE,AL,20210729,1006,RA2,APK Lichte voertuigen,1,07/29/2021 10:06:00 AM
0045ZZ,AZ,20200217,1414,261,APK Zware voertuigen,1,02/17/2020 02:14:00 PM
0045ZZ,AZ,20200217,1414,280,APK Zware voertuigen,1,02/17/2020 02:14:00 PM
0045ZZ,AZ,20200217,1414,548,APK Zware voertuigen,1,02/17/2020 02:14:00 PM
0045ZZ,AZ,20210219,930,289,APK Zware voertuigen,3,02/19/2021 09:30:00 AM
0045ZZ,AZ,20210219,930,610,APK Zware voertuigen,4,02/19/2021 09:30:00 AM
0045ZZ,AZ,20230111,1628,052,APK Zware voertuigen,1,01/11/2023 04:28:00 PM
0045ZZ,AZ,20230111,1628,203,APK Zware voertuigen,1,01/11/2023 04:28:00 PM
0045ZZ,AZ,20230111,1628,287,APK Zware voertuigen,1,01/11/2023 04:28:00 PM
0045ZZ,AZ,20230111,1628,358,APK Zware voertuigen,1,01/11/2023 04:28:00 PM
0045ZZ,AZ,20230111,1628,584,APK Zware voertuigen,1,01/11/2023 04:28:00 PM
0045ZZ,AZ,20230111,1628,AC4,APK Zware voertuigen,1,01/11/2023 04:28:00 PM
0046FN,AL,20200921,1022,186,APK Lichte voertuigen,2,09/21/2020 10:22:00 AM
0046FN,AL,20200921,1022,241,APK Lichte voertuigen,2,09/21/2020 10:22:00 AM
0046RB,AL,20201012,1648,AC4,APK Lichte voertuigen,1,10/12/2020 04:48:00 PM
0046XE,AL,20200616,1055,AC1,APK Lichte voertuigen,1,06/16/2020 10:55:00 AM
0046XE,AL,20200616,1055,OP2,APK Lichte voertuigen,1,06/16/2020 10:55:00 AM
0046XE,AL,20200616,1055,RA2,APK Lichte voertuigen,1,06/16/2020 10:55:00 AM
0046XE,AL,20220510,959,AC1,APK Lichte voertuigen,1,05/10/2022 09:59:00 AM
0046XE,AL,20220510,959,AC3,APK Lichte voertuigen,1,05/10/2022 09:59:00 AM
0046XE,AL,20220510,959,AC4,APK Lichte voertuigen,1,05/10/2022 09:59:00 AM
0046XE,AL,20220510,959,RA2,APK Lichte voertuigen,1,05/10/2022 09:59:00 AM
0046ZZ,AZ,20201218,1354,AC1,APK Zware voertuigen,1,12/18/2020 01:54:00 PM
0046ZZ,AZ,20220105,1646,203,APK Zware voertuigen,2,01/05/2022 04:46:00 PM
0046ZZ,AZ,20230120,1345,190,APK Zware voertuigen,2,01/20/2023 01:45:00 PM
0046ZZ,AZ,20230120,1345,205,APK Zware voertuigen,1,01/20/2023 01:45:00 PM
0046ZZ,AZ,20230120,1345,261,APK Zware voertuigen,2,01/20/2023 01:45:00 PM
0046ZZ,AZ,20230120,1345,285,APK Zware voertuigen,1,01/20/2023 01:45:00 PM
0046ZZ,AZ,20230120,1345,289,APK Zware voertuigen,6,01/20/2023 01:45:00 PM
0049ZZ,AZ,20210115,1547,270,APK Zware voertuigen,1,01/15/2021 03:47:00 PM
0049ZZ,AZ,20220218,1355,470,APK Zware voertuigen,1,02/18/2022 01:55:00 PM
0049ZZ,AZ,20230119,853,203,APK Zware voertuigen,3,01/19/2023 08:53:00 AM
0049ZZ,AZ,20230119,853,270,APK Zware voertuigen,1,01/19/2023 08:53:00 AM
0049ZZ,AZ,20230119,853,589,APK Zware voertuigen,1,01/19/2023 08:53:00 AM
0050US,AL,20210722,1112,AC1,APK Lichte voertuigen,1,07/22/2021 11:12:00 AM
0050US,AL,20210722,1112,RA2,APK Lichte voertuigen,1,07/22/2021 11:12:00 AM
0053XK,AL,20230119,900,374,APK Lichte voertuigen,1,01/19/2023 09:00:00 AM
0053XK,AL,20230119,900,507,APK Lichte voertuigen,1,01/19/2023 09:00:00 AM
0053XK,AL,20230119,900,673,APK Lichte voertuigen,1,01/19/2023 09:00:00 AM
0053XK,AL,20230119,900,RA2,APK Lichte voertuigen,1,01/19/2023 09:00:00 AM
0053ZZ,AZ,20200217,1141,205,APK Zware voertuigen,2,02/17/2020 11:41:00 AM
0053ZZ,AZ,20200217,1141,AC4,APK Zware voertuigen,1,02/17/2020 11:41:00 AM
0053ZZ,AZ,20210205,1422,AC4,APK Zware voertuigen,1,02/05/2021 02:22:00 PM
0053ZZ,AZ,20220128,1328,205,APK Zware voertuigen,4,01/28/2022 01:28:00 PM
0053ZZ,AZ,20220128,1328,241,APK Zware voertuigen,1,01/28/2022 01:28:00 PM
0053ZZ,AZ,20220128,1328,AC4,APK Zware voertuigen,1,01/28/2022 01:28:00 PM
0054NG,AL,20201001,1628,289,APK Lichte voertuigen,2,10/01/2020 04:28:00 PM
0054XM,AL,20200515,1319,AC4,APK Lichte voertuigen,1,05/15/2020 01:19:00 PM
0054XM,AL,20220621,1135,190,APK Lichte voertuigen,2,06/21/2022 11:35:00 AM
0054XM,AL,20220621,1135,289,APK Lichte voertuigen,1,06/21/2022 11:35:00 AM
0054XM,AL,20220621,1135,392,APK Lichte voertuigen,1,06/21/2022 11:35:00 AM
0054XM,AL,20220621,1135,AC4,APK Lichte voertuigen,1,06/21/2022 11:35:00 AM
0055NN,AL,20200826,1251,190,APK Lichte voertuigen,2,08/26/2020 12:51:00 PM
0055NN,AL,20200826,1251,250,APK Lichte voertuigen,2,08/26/2020 12:51:00 PM
0055SL,AL,20201027,928,309,APK Lichte voertuigen,1,10/27/2020 09:28:00 AM
0055SL,AL,20201027,928,497,APK Lichte voertuigen,1,10/27/2020 09:28:00 AM
0055SL,AL,20201027,928,RA2,APK Lichte voertuigen,1,10/27/2020 09:28:00 AM
0057TN,AL,20200730,1440,RA2,APK Lichte voertuigen,1,07/30/2020 02:40:00 PM
0059FN,AL,20200729,1603,AC4,APK Lichte voertuigen,1,07/29/2020 04:03:00 PM
0059MB,AL,20210416,1629,AC1,APK Lichte voertuigen,1,04/16/2021 04:29:00 PM
0059TL,AL,20200616,1505,117,APK Lichte voertuigen,1,06/16/2020 03:05:00 PM
0059TL,AL,20200616,1505,203,APK Lichte voertuigen,4,06/16/2020 03:05:00 PM
0059TL,AL,20200616,1505,391,APK Lichte voertuigen,1,06/16/2020 03:05:00 PM
0059TL,AL,20200616,1505,507,APK Lichte voertuigen,1,06/16/2020 03:05:00 PM
0059TL,AL,20200616,1505,AC3,APK Lichte voertuigen,1,06/16/2020 03:05:00 PM
0060ZZ,AZ,20210205,1425,483,APK Zware voertuigen,1,02/05/2021 02:25:00 PM
0060ZZ,AZ,20220623,1632,203,APK Zware voertuigen,2,06/23/2022 04:32:00 PM
0060ZZ,AZ,20220623,1632,234,APK Zware voertuigen,1,06/23/2022 04:32:00 PM
0066SB,AL,20230109,1625,077,APK Lichte voertuigen,1,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,115,APK Lichte voertuigen,1,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,158,APK Lichte voertuigen,1,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,226,APK Lichte voertuigen,1,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,250,APK Lichte voertuigen,1,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,289,APK Lichte voertuigen,2,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,307,APK Lichte voertuigen,1,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,310,APK Lichte voertuigen,1,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,355,APK Lichte voertuigen,1,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,361,APK Lichte voertuigen,2,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,373,APK Lichte voertuigen,1,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,388,APK Lichte voertuigen,1,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,507,APK Lichte voertuigen,1,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,570,APK Lichte voertuigen,1,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,576,APK Lichte voertuigen,2,01/09/2023 04:25:00 PM
0066SB,AL,20230109,1625,916,APK Lichte voertuigen,2,01/09/2023 04:25:00 PM
0067ZE,AL,20220328,1343,584,APK Lichte voertuigen,1,03/28/2022 01:43:00 PM
0068PE,AL,20200602,1402,RA2,APK Lichte voertuigen,1,06/02/2020 02:02:00 PM
0068UK,AL,20200217,952,203,APK Lichte voertuigen,1,02/17/2020 09:52:00 AM
0068UK,AL,20200217,952,AC4,APK Lichte voertuigen,1,02/17/2020 09:52:00 AM
0068UK,AL,20200217,952,RA2,APK Lichte voertuigen,1,02/17/2020 09:52:00 AM
0068UK,AL,20220124,1338,RA2,APK Lichte voertuigen,1,01/24/2022 01:38:00 PM
0068VX,AL,20210914,1012,355,APK Lichte voertuigen,1,09/14/2021 10:12:00 AM
0068VX,AL,20210914,1012,408,APK Lichte voertuigen,1,09/14/2021 10:12:00 AM
0068VX,AL,20210914,1012,674,APK Lichte voertuigen,1,09/14/2021 10:12:00 AM
0072DS,AL,20200415,1444,186,APK Lichte voertuigen,2,04/15/2020 02:44:00 PM
